,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2013-04,6.190B,6.190B,4.434B,1.756B,1.019B,,,8.352M,3.07M,-5.282M,,1.019B,737.17M,3.07M,8.352M,-5.282M,,-5.282M,731.88M,279.00M,452.89M,,,,,870.78M,130.54M,740.24M,,2013-04,,,0.315,0.315,,,,,,2013-04,1.439B,1.465B,0.0575,,2013-04,AOR,Restated
2013-01,7.724B,7.724B,5.515B,2.209B,1.240B,,,8.597M,3.52M,-5.077M,,1.240B,969.76M,3.52M,8.597M,-5.077M,,-5.077M,964.69M,359.84M,604.84M,,,,,1.110B,136.56M,973.28M,,2013-01,,,0.4147,0.4147,,,,,,2013-01,1.448B,1.474B,0.00,,2013-01,AOR,Restated
2012-10,6.411B,6.411B,4.566B,1.845B,1.090B,,,8.569M,2.48M,-6.089M,,1.090B,754.56M,2.48M,8.569M,-6.089M,,-6.089M,748.47M,286.92M,461.55M,,,,,882.94M,125.91M,757.04M,,2012-10,,,0.315,0.315,,,,,,2012-10,1.463B,1.491B,0.0575,,2012-10,AOR,Restated
2012-07,5.946B,5.946B,4.275B,1.670B,978.51M,,,12.07M,2.892M,-9.182M,,978.51M,691.97M,2.892M,12.07M,-9.182M,,-9.182M,682.79M,261.70M,421.09M,,,,,820.69M,125.82M,694.86M,,2012-07,,,0.285,0.285,,,,,,2012-07,1.474B,1.502B,0.115,,2012-07,AOR,Restated
2012-04,5.798B,5.798B,4.166B,1.632B,942.13M,,,11.59M,2.765M,-8.827M,,942.13M,690.23M,2.765M,11.59M,-8.827M,,-8.827M,681.40M,262.20M,419.20M,,,,,813.64M,120.64M,693.00M,,2012-04,,,0.28,0.28,,,,,,2012-04,1.484B,1.512B,0.0475,,2012-04,AOR,Restated
2012-01,6.710B,6.710B,4.884B,1.825B,1.058B,,,12.00M,2.927M,-9.071M,,1.058B,767.65M,2.927M,12.00M,-9.071M,,-9.071M,758.58M,283.26M,475.31M,,,,,899.34M,128.76M,770.58M,,2012-01,,,0.3183,0.3183,,0.00,,,,2012-01,1.501B,1.528B,0.0475,,2012-01,AOR,Restated
2011-10,5.793B,5.793B,4.167B,1.627B,954.24M,,,11.90M,3.354M,-8.551M,,954.24M,672.30M,3.354M,11.90M,-8.551M,,-8.551M,663.75M,257.26M,406.49M,,,,,796.16M,120.50M,675.66M,,2011-10,,,0.27,0.27,,0.00,,,,2011-10,1.509B,1.532B,0.0475,,2011-10,AOR,Restated
2011-07,5.468B,5.468B,3.976B,1.492B,923.69M,,,11.32M,2.209M,-9.109M,,923.69M,568.55M,2.209M,11.32M,-9.109M,,-9.109M,559.44M,211.10M,348.34M,,,,,690.97M,120.21M,570.76M,,2011-07,,,0.23,0.23,,0.00,,,,2011-07,1.527B,1.551B,0.0475,,2011-07,AOR,Restated
2011-04,5.220B,5.220B,3.827B,1.393B,954.47M,,,11.46M,2.545M,-8.917M,,954.47M,438.56M,2.545M,11.46M,-8.917M,,-8.917M,429.65M,163.70M,265.95M,,,,,557.34M,116.23M,441.11M,,2011-04,,,0.17,0.17,,0.00,,,,2011-04,1.552B,1.576B,0.0375,,2011-04,AOR,Restated
2011-01,6.332B,6.332B,4.666B,1.666B,1.122B,,,12.37M,3.226M,-9.145M,,1.111B,555.02M,3.226M,12.37M,-9.145M,,-9.145M,534.33M,203.52M,330.80M,,,,,663.68M,116.98M,546.70M,,2011-01,,,0.21,0.215,,0.00,,,,2011-01,1.567B,1.591B,0.0375,,2011-01,AOR,Restated
