,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,8.291B,13.08B,21.37B,3.904B,3.904B,1.882B,827.00M,228.00M,2.937B,2.449B,,38.04B,,,,,,,16.35B,-8.37B,7.977B,9.908B,7.112B,17.02B,22.52B,3.298B,4.428B,55.24B,93.28B,10.22B,579.00M,,10.80B,,10.80B,,,19.16B,,19.16B,,,1.528B,31.48B,29.79B,,29.79B,2.314B,2.314B,2.007B,8.079B,40.18B,71.66B,1.76B,63.15B,16.01B,51.27B,,,,-10.04B,19.61B
2017-12,6.006B,14.67B,20.68B,3.667B,3.667B,1.729B,693.00M,233.00M,2.655B,2.00B,,36.54B,0.0,334.00M,3.917B,12.20B,,,16.45B,-8.246B,8.203B,9.401B,7.235B,16.64B,21.95B,330.00M,4.23B,51.35B,87.90B,2.288B,757.00M,,3.045B,5.259B,8.304B,,,16.50B,,16.50B,,,1.533B,27.19B,31.18B,,31.18B,2.522B,2.522B,1.905B,8.021B,41.72B,68.92B,1.76B,60.43B,15.86B,50.68B,,,,-10.30B,17.07B
2017-09,12.53B,14.83B,27.36B,3.664B,3.664B,1.639B,741.00M,228.00M,2.608B,2.993B,,38.40B,,,,,,,16.73B,-8.424B,8.306B,9.473B,7.091B,16.56B,22.76B,,4.48B,52.11B,90.52B,10.21B,355.00M,,10.57B,,10.57B,,,16.63B,,16.63B,,,437.00M,27.63B,32.47B,,32.47B,4.313B,4.313B,33.00M,3.946B,40.73B,68.36B,1.76B,64.76B,15.70B,50.26B,,,,-9.843B,22.12B
2017-06,11.72B,15.51B,27.22B,4.024B,4.024B,1.709B,828.00M,253.00M,2.79B,2.866B,,38.96B,,,,,,,19.11B,-10.44B,8.672B,9.449B,7.743B,17.19B,22.00B,,4.318B,52.18B,91.15B,10.36B,351.00M,,10.71B,,10.71B,,,17.83B,,17.83B,,,283.00M,28.83B,31.80B,,31.80B,4.33B,4.33B,88.00M,4.092B,40.23B,69.06B,1.76B,64.89B,15.47B,49.63B,,,,-10.49B,22.00B
2017-03,12.12B,13.08B,25.20B,3.702B,3.702B,1.654B,962.00M,269.00M,2.885B,2.67B,,40.25B,,,,,,,20.04B,-10.30B,9.746B,10.01B,8.759B,18.77B,17.98B,,4.454B,50.95B,91.20B,10.25B,268.00M,,10.52B,,10.52B,,,15.91B,,15.91B,,,2.226B,28.66B,31.54B,,31.54B,3.899B,3.899B,191.00M,4.041B,39.48B,68.13B,1.76B,65.10B,15.20B,48.97B,,,,-10.21B,22.88B
2016-12,8.555B,13.65B,22.20B,3.856B,3.856B,1.565B,844.00M,266.00M,2.675B,2.481B,,34.01B,0.0,589.00M,4.574B,16.09B,,,21.26B,-10.62B,10.64B,10.63B,10.50B,21.13B,17.25B,,4.248B,53.26B,87.27B,2.682B,679.00M,,3.361B,4.887B,8.248B,,,16.02B,,16.02B,692.00M,692.00M,710.00M,26.53B,29.68B,,29.68B,3.753B,3.753B,158.00M,4.081B,37.52B,64.05B,1.76B,65.50B,14.99B,47.99B,,,,-11.20B,23.06B
2016-09,11.15B,14.42B,25.57B,4.082B,4.082B,1.513B,952.00M,286.00M,2.751B,3.091B,,37.96B,,,,,,,21.29B,-10.12B,11.17B,10.86B,11.38B,22.25B,18.03B,,4.526B,55.97B,93.93B,11.15B,396.00M,,11.55B,,11.55B,,,15.56B,,15.56B,,,682.00M,27.79B,31.66B,,31.66B,4.243B,4.243B,169.00M,3.984B,39.89B,67.68B,1.76B,66.46B,14.88B,46.81B,,,,-10.21B,26.08B
2016-06,9.647B,14.43B,24.08B,4.768B,4.768B,1.655B,1.034B,316.00M,3.005B,3.332B,,35.87B,,,,,,,23.13B,-10.47B,12.66B,11.20B,12.48B,23.69B,17.50B,,4.37B,58.22B,94.09B,10.24B,375.00M,,10.61B,,10.61B,,,18.80B,,18.80B,,,138.00M,29.54B,29.25B,,29.25B,4.497B,4.497B,201.00M,3.963B,37.71B,67.26B,1.76B,66.92B,14.71B,46.60B,,,,-10.15B,26.64B
2016-03,8.748B,13.46B,22.21B,4.147B,4.147B,1.629B,1.117B,306.00M,3.052B,3.314B,,36.51B,,,,,,,22.98B,-10.37B,12.61B,11.40B,12.63B,24.03B,13.80B,,4.314B,54.75B,91.26B,9.626B,275.00M,,9.901B,,9.901B,,,19.84B,,19.84B,,,1.242B,30.99B,26.99B,,26.99B,4.337B,4.337B,215.00M,3.82B,35.15B,66.13B,1.76B,64.98B,14.51B,45.55B,,,,-10.79B,24.91B
2015-12,7.309B,12.59B,19.90B,3.941B,3.941B,1.564B,1.032B,306.00M,2.902B,2.752B,,33.40B,0.0,717.00M,4.914B,16.72B,,,22.35B,-9.783B,12.57B,11.29B,12.84B,24.13B,15.79B,,4.11B,56.60B,90.00B,2.795B,775.00M,,3.57B,4.742B,8.312B,,,15.80B,,15.80B,743.00M,743.00M,1.133B,26.93B,28.31B,,28.31B,4.691B,4.691B,210.00M,4.301B,37.30B,64.23B,1.76B,65.02B,14.02B,45.07B,,,,-10.17B,25.55B
2015-09,9.983B,12.79B,22.77B,4.028B,4.028B,1.505B,1.095B,310.00M,2.91B,3.029B,,36.59B,,,,,,,22.64B,-10.02B,12.62B,11.36B,13.06B,24.42B,14.93B,,4.446B,56.41B,93.01B,9.877B,383.00M,,10.26B,,10.26B,,,20.24B,,20.24B,,,1.048B,31.54B,25.95B,,25.95B,5.053B,5.053B,218.00M,4.194B,35.20B,66.74B,1.76B,65.21B,13.72B,43.82B,,,,-10.81B,26.05B
2015-06,8.805B,12.14B,20.95B,4.976B,4.976B,1.671B,1.206B,347.00M,3.224B,3.159B,,32.80B,,,,,,,25.29B,-10.92B,14.36B,11.71B,14.37B,26.08B,15.77B,,4.517B,60.74B,93.54B,9.997B,437.00M,,10.43B,,10.43B,,,18.34B,,18.34B,,,81.00M,28.85B,25.98B,,25.98B,5.785B,5.785B,223.00M,4.283B,36.04B,64.90B,1.76B,65.20B,13.49B,43.29B,,,,-8.736B,28.42B
2015-03,8.211B,11.84B,20.05B,4.461B,4.461B,1.572B,1.285B,362.00M,3.219B,3.605B,,32.12B,,,,,,,24.98B,-10.64B,14.35B,11.99B,14.06B,26.05B,13.90B,,4.602B,58.90B,91.02B,8.853B,689.00M,,9.542B,,9.542B,,,16.42B,,16.42B,,,158.00M,26.12B,26.09B,,26.09B,5.432B,5.432B,241.00M,4.296B,35.82B,61.94B,1.76B,63.52B,13.36B,42.74B,,,,-7.069B,28.84B
2014-12,8.958B,12.72B,21.68B,4.466B,4.466B,1.615B,1.134B,351.00M,3.10B,3.066B,,32.99B,0.0,972.00M,5.541B,18.74B,,,25.26B,-10.62B,14.63B,12.10B,14.27B,26.37B,13.62B,,4.407B,59.04B,92.02B,2.089B,911.00M,,3.00B,5.637B,8.637B,,,22.68B,,22.68B,,,58.00M,32.37B,19.06B,,19.06B,5.636B,5.636B,241.00M,4.389B,29.09B,61.46B,1.76B,63.41B,13.15B,42.22B,,,,-5.777B,30.32B
2014-09,11.08B,12.63B,23.71B,5.081B,5.081B,1.645B,1.267B,365.00M,3.277B,3.277B,,35.45B,,,,,,,25.54B,-10.80B,14.74B,12.19B,14.77B,26.96B,14.32B,,4.85B,60.86B,96.31B,10.52B,528.00M,,11.04B,,11.04B,,,21.70B,,21.70B,,,16.00M,32.76B,20.11B,,20.11B,6.391B,6.391B,240.00M,3.383B,29.88B,62.64B,1.76B,63.97B,12.90B,41.36B,,,,-3.843B,33.43B
2014-06,11.62B,9.991B,21.61B,5.87B,5.87B,1.822B,1.362B,352.00M,3.536B,2.856B,,33.87B,,,,,,,25.53B,-10.61B,14.92B,12.30B,15.14B,27.44B,14.46B,,4.805B,61.62B,95.49B,10.58B,454.00M,,11.03B,,11.03B,,,21.60B,,21.60B,,,,32.63B,18.64B,,18.64B,6.469B,6.469B,230.00M,3.447B,28.56B,61.19B,1.76B,63.19B,12.68B,40.57B,,,,-2.986B,34.07B
2014-03,9.131B,10.30B,19.43B,5.233B,5.233B,1.718B,1.279B,360.00M,3.357B,3.029B,,31.05B,,,,,,,25.26B,-10.40B,14.86B,12.34B,15.25B,27.60B,13.13B,,4.655B,60.24B,91.29B,9.959B,296.00M,,10.26B,,10.26B,,,19.80B,,19.80B,,,,30.06B,18.64B,,18.64B,6.257B,6.257B,268.00M,3.414B,28.31B,58.37B,1.76B,61.94B,12.33B,39.78B,,,,-3.594B,32.65B
2013-12,10.41B,9.854B,20.27B,4.873B,4.873B,1.692B,1.24B,345.00M,3.277B,2.886B,,31.30B,0.0,1.011B,5.605B,17.55B,,865.00M,25.03B,-10.06B,14.97B,12.31B,15.30B,27.61B,11.51B,,4.661B,58.75B,90.06B,1.933B,759.00M,,2.692B,6.261B,8.953B,,,17.92B,,17.92B,,,,27.81B,19.15B,,19.15B,6.152B,6.152B,267.00M,3.498B,28.80B,56.62B,1.76B,61.66B,12.28B,39.09B,,,,-3.432B,33.17B
2013-09,11.12B,9.341B,20.46B,5.116B,5.116B,1.683B,1.297B,341.00M,3.321B,2.68B,,31.58B,,,,,,,24.40B,-9.853B,14.55B,12.41B,15.09B,27.50B,11.54B,,4.27B,57.86B,89.43B,10.59B,418.00M,,11.01B,,11.01B,,,22.03B,,22.03B,,,,33.04B,14.17B,,14.17B,5.307B,5.307B,333.00M,4.445B,23.92B,56.97B,1.76B,61.19B,12.12B,38.24B,,,,-4.699B,32.13B
2013-06,9.406B,9.807B,19.21B,5.516B,5.516B,1.909B,1.397B,337.00M,3.643B,3.055B,,32.57B,,,,,,,24.15B,-9.602B,14.55B,12.66B,15.05B,27.71B,10.83B,,3.855B,56.94B,89.51B,10.05B,447.00M,,10.49B,,10.49B,,,21.51B,,21.51B,,,468.00M,32.47B,14.18B,,14.18B,5.298B,5.298B,408.00M,4.934B,24.41B,56.88B,1.76B,59.98B,11.99B,37.42B,,,,-4.083B,32.22B
2013-03,9.162B,9.266B,18.43B,5.007B,5.007B,1.899B,1.375B,333.00M,3.607B,3.294B,,31.52B,,,,,,,23.94B,-9.395B,14.54B,12.29B,15.10B,27.39B,11.08B,,3.922B,56.93B,88.45B,9.447B,382.00M,,9.829B,,9.829B,,,20.83B,,20.83B,,,446.00M,31.10B,14.29B,,14.29B,5.214B,5.214B,414.00M,4.949B,24.45B,55.56B,1.76B,58.55B,11.66B,36.28B,,,,-3.211B,32.48B
2012-12,8.442B,8.109B,16.55B,4.759B,4.759B,1.773B,1.171B,320.00M,3.264B,2.781B,,30.33B,0.0,997.00M,5.307B,16.20B,,979.00M,23.49B,-9.01B,14.48B,12.26B,15.08B,27.34B,10.45B,,3.585B,55.85B,86.17B,1.969B,860.00M,,2.829B,5.277B,8.106B,,,17.87B,,17.87B,,,796.00M,27.82B,14.74B,,14.74B,4.981B,4.981B,378.00M,5.468B,25.18B,53.01B,1.76B,58.04B,11.38B,35.01B,,,,-3.385B,32.79B
2012-09,9.615B,8.468B,18.08B,5.083B,5.083B,1.88B,1.263B,304.00M,3.447B,3.099B,,29.71B,,,,,,,24.52B,-9.128B,15.39B,12.38B,15.39B,27.78B,10.15B,,3.629B,56.94B,86.65B,9.803B,656.00M,,10.46B,,10.46B,,,16.55B,,16.55B,,,,27.01B,16.18B,,16.18B,5.197B,5.197B,380.00M,4.678B,26.06B,53.06B,1.76B,57.32B,11.28B,34.21B,,,,-2.941B,33.21B
2012-06,9.337B,7.629B,16.97B,5.397B,5.397B,1.991B,1.305B,291.00M,3.587B,3.375B,,29.32B,,,,,,,23.92B,-8.743B,15.17B,12.36B,15.39B,27.75B,9.236B,,3.663B,55.82B,85.15B,9.775B,615.00M,,10.39B,,10.39B,,,16.09B,,16.09B,,,,26.48B,16.39B,,16.39B,4.99B,4.99B,360.00M,4.658B,26.04B,52.52B,880.00M,56.16B,11.91B,33.31B,,,,-3.369B,32.27B
2012-03,10.66B,5.115B,15.78B,4.814B,4.814B,1.921B,1.294B,227.00M,3.442B,3.988B,,28.02B,,,,,,,23.96B,-8.655B,15.30B,12.34B,15.55B,27.89B,8.911B,,3.77B,55.87B,83.90B,9.717B,365.00M,,10.08B,,10.08B,,,14.76B,,14.76B,,,,24.85B,16.35B,,16.35B,4.819B,4.819B,400.00M,4.663B,25.83B,50.68B,880.00M,54.52B,11.56B,32.36B,,,,-1.775B,32.82B
2011-12,12.80B,1.232B,14.04B,4.92B,4.92B,1.68B,1.198B,214.00M,3.092B,3.45B,,25.50B,0.0,1.141B,5.24B,15.50B,,1.266B,23.15B,-8.212B,14.94B,12.22B,15.45B,27.67B,8.374B,,3.495B,54.48B,79.97B,2.172B,767.00M,,2.939B,5.384B,8.323B,,,14.91B,,14.91B,,,,24.28B,13.66B,,13.66B,4.694B,4.694B,286.00M,5.42B,23.77B,48.05B,1.76B,53.62B,10.33B,31.30B,,,,-2.774B,31.64B
2011-09,12.68B,3.815B,16.50B,5.131B,5.131B,1.751B,1.209B,212.00M,3.172B,3.391B,,28.19B,,,,,,,22.64B,-8.118B,14.52B,12.07B,15.41B,27.48B,8.337B,,3.219B,53.56B,81.75B,9.837B,264.00M,,10.10B,,10.10B,,,15.48B,,15.48B,,,,25.58B,13.71B,,13.71B,4.561B,4.561B,290.00M,4.404B,22.67B,48.25B,880.00M,52.96B,11.06B,30.52B,,,,-1.174B,33.21B
2011-06,10.17B,3.851B,14.02B,5.63B,5.63B,1.749B,1.28B,208.00M,3.237B,3.655B,,26.54B,,,,,,,22.93B,-7.995B,14.93B,12.00B,15.46B,27.46B,8.456B,,2.701B,53.55B,80.09B,8.986B,396.00M,,9.382B,,9.382B,,,14.81B,,14.81B,,,,24.19B,11.37B,,11.37B,4.706B,4.706B,282.00M,4.393B,20.47B,44.67B,880.00M,51.82B,10.66B,28.50B,,,,287.00M,35.14B
2011-03,9.075B,3.202B,12.28B,4.533B,4.533B,1.591B,1.233B,209.00M,3.033B,3.699B,,23.54B,,,,,,,22.33B,-7.50B,14.83B,11.95B,15.40B,27.35B,7.588B,,2.74B,52.52B,76.06B,8.291B,233.00M,,8.524B,,8.524B,,,13.40B,,13.40B,,,,21.92B,12.68B,,12.68B,4.421B,4.421B,317.00M,4.437B,21.54B,43.46B,880.00M,50.10B,10.39B,28.55B,,,,-535.00M,32.28B
2010-12,8.517B,2.82B,11.34B,4.43B,4.43B,1.425B,1.029B,196.00M,2.65B,3.162B,,21.58B,0.0,1.122B,4.883B,15.70B,,,21.71B,-6.979B,14.73B,11.66B,15.24B,26.91B,7.585B,,2.121B,51.34B,72.92B,1.887B,273.00M,-273.00M,1.887B,6.972B,8.859B,8.10B,1.276B,9.376B,,9.376B,,,273.00M,18.51B,14.04B,,14.04B,4.261B,4.261B,314.00M,4.794B,23.10B,41.60B,880.00M,49.28B,10.06B,27.76B,,,,-1.45B,31.00B
2010-09,10.51B,2.756B,13.26B,3.72B,3.72B,1.32B,655.00M,284.00M,2.259B,3.248B,,23.10B,,,,,,,15.91B,-6.766B,9.145B,3.882B,8.377B,12.26B,7.48B,,2.10B,30.98B,54.09B,7.691B,429.00M,,8.12B,,8.12B,,,8.937B,,8.937B,,,214.00M,17.27B,4.456B,,4.456B,1.384B,1.384B,295.00M,2.777B,8.617B,25.89B,880.00M,44.54B,9.013B,25.15B,,,,-1.381B,27.91B
2010-06,7.735B,2.431B,10.17B,4.001B,4.001B,1.428B,645.00M,290.00M,2.363B,2.044B,,18.57B,,,,,,,15.64B,-6.71B,8.931B,3.81B,8.299B,12.11B,6.738B,,2.092B,29.87B,48.44B,6.202B,450.00M,,6.652B,,6.652B,,,7.282B,,7.282B,,,,13.93B,4.427B,,4.427B,1.556B,1.556B,290.00M,2.719B,8.702B,22.64B,880.00M,43.49B,8.751B,25.30B,,,,-2.298B,25.52B
2010-03,5.684B,3.11B,8.794B,3.705B,3.705B,1.402B,643.00M,282.00M,2.327B,2.382B,,17.21B,,,,,,,15.79B,-6.752B,9.036B,3.905B,8.41B,12.32B,6.749B,,2.095B,30.20B,47.40B,5.963B,404.00M,,6.367B,,6.367B,,,7.216B,,7.216B,,,,13.58B,4.419B,,4.419B,1.481B,1.481B,285.00M,2.763B,8.663B,22.25B,880.00M,42.14B,8.646B,25.34B,,,,-1.445B,24.87B
2009-12,7.021B,2.192B,9.213B,3.758B,3.758B,1.366B,697.00M,291.00M,2.354B,2.226B,,17.55B,0.0,699.00M,3.816B,11.95B,,,16.47B,-6.906B,9.561B,4.224B,8.604B,12.83B,6.755B,,1.976B,31.12B,48.67B,1.41B,264.00M,-264.00M,1.41B,5.247B,6.657B,6.749B,51.00M,6.80B,,6.80B,,,264.00M,13.72B,5.059B,,5.059B,1.58B,1.58B,547.00M,2.965B,9.604B,23.32B,880.00M,41.54B,8.537B,25.40B,,,,-757.00M,24.80B
2009-09,8.846B,279.00M,9.125B,3.465B,3.465B,1.323B,712.00M,306.00M,2.341B,2.061B,,16.99B,,,,,,,15.77B,-6.674B,9.099B,4.10B,8.525B,12.62B,6.481B,,1.91B,30.12B,47.11B,6.755B,469.00M,,7.224B,,7.224B,,,6.186B,,6.186B,,,,13.41B,5.028B,,5.028B,1.123B,1.123B,467.00M,3.124B,9.275B,22.68B,880.00M,40.94B,8.227B,24.34B,,,,-1.753B,23.96B
2009-06,7.647B,298.00M,7.945B,3.746B,3.746B,1.375B,778.00M,330.00M,2.483B,2.198B,,16.37B,,,,,,,15.47B,-6.57B,8.904B,4.092B,8.535B,12.63B,6.292B,,1.859B,29.68B,46.05B,6.356B,780.00M,,7.136B,,7.136B,,,6.431B,,6.431B,,,,13.57B,5.017B,,5.017B,902.00M,902.00M,441.00M,3.051B,8.97B,22.54B,880.00M,40.00B,8.111B,24.17B,,,,-1.74B,23.08B
2009-03,6.816B,263.00M,7.079B,3.139B,3.139B,1.254B,731.00M,313.00M,2.298B,2.198B,,14.71B,,,,,,,14.64B,-6.21B,8.425B,3.988B,8.426B,12.41B,5.757B,,1.793B,28.39B,43.10B,5.651B,356.00M,,6.007B,,6.007B,,,7.162B,,7.162B,,,,13.17B,5.017B,,5.017B,865.00M,865.00M,396.00M,2.944B,8.826B,22.00B,880.00M,38.91B,8.021B,24.21B,,,,-2.893B,20.71B
2008-12,4.701B,278.00M,4.979B,3.09B,3.09B,1.191B,706.00M,290.00M,2.187B,1.92B,,12.18B,0.0,657.00M,3.408B,10.34B,,,14.40B,-6.074B,8.326B,4.029B,8.476B,12.50B,5.779B,,1.733B,28.34B,40.52B,1.37B,252.00M,,1.622B,4.835B,6.457B,6.066B,465.00M,6.531B,,6.531B,,,,12.99B,2.781B,,2.781B,877.00M,877.00M,390.00M,3.011B,6.669B,19.66B,880.00M,38.51B,7.966B,24.21B,,,,-2.674B,20.47B
2008-09,7.797B,287.00M,8.084B,3.674B,3.674B,1.313B,800.00M,208.00M,2.321B,2.741B,,16.82B,,,,,,,14.96B,-6.429B,8.527B,4.011B,8.776B,12.79B,,,10.05B,31.36B,48.18B,7.659B,,,7.659B,281.00M,7.94B,8.111B,536.00M,8.647B,,8.647B,,,,16.59B,2.877B,,2.877B,2.168B,2.168B,,2.803B,7.848B,24.44B,880.00M,38.40B,7.927B,24.22B,,,,759.00M,23.74B
2008-06,6.571B,286.00M,6.857B,4.073B,4.073B,1.477B,826.00M,228.00M,2.531B,2.628B,,16.09B,,,,,,,15.12B,-6.412B,8.712B,4.062B,8.867B,12.93B,,,10.00B,31.64B,47.73B,7.978B,,,7.978B,359.00M,8.337B,7.752B,531.00M,8.283B,,8.283B,,,,16.62B,2.874B,,2.874B,1.788B,1.788B,,3.267B,7.929B,24.55B,880.00M,37.39B,7.805B,24.24B,,,,1.352B,23.18B
2008-03,6.199B,221.00M,6.42B,3.50B,3.50B,1.355B,835.00M,257.00M,2.447B,2.521B,,14.89B,,,,,,,14.83B,-6.158B,8.675B,4.334B,8.283B,12.62B,,,10.82B,32.12B,47.00B,7.805B,,,7.805B,368.00M,8.173B,,,7.415B,,7.415B,,,,15.59B,3.259B,,3.259B,1.838B,1.838B,,3.287B,8.384B,23.97B,880.00M,36.84B,7.662B,23.55B,,,,1.199B,23.03B
