,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2015-09,11.43B,11.43B,4.577B,6.85B,2.603B,1.604B,4.207B,,138.00M,155.00M,17.00M,,4.207B,2.643B,155.00M,138.00M,17.00M,-935.00M,17.00M,1.725B,272.00M,1.453B,,,-4.00M,,1.449B,1.449B,2.345B,482.00M,1.863B,0.33,,,0.33,0.33,0.33,,,0.33,0.33,4.349B,4.399B,0.33
2015-06,12.16B,12.16B,4.748B,7.408B,2.66B,1.544B,4.204B,,128.00M,149.00M,21.00M,,4.204B,3.204B,149.00M,128.00M,21.00M,1.136B,21.00M,4.361B,1.25B,3.111B,,,-3.00M,,3.108B,3.108B,4.977B,488.00M,4.489B,0.71,,,0.71,0.71,0.71,,,0.71,0.71,4.355B,4.408B,0.33
2015-03,10.71B,10.71B,4.103B,6.608B,2.431B,1.648B,4.079B,,447.00M,155.00M,-292.00M,,4.079B,2.529B,155.00M,447.00M,-292.00M,-256.00M,-292.00M,1.981B,415.00M,1.566B,,,-9.00M,,1.557B,1.557B,2.901B,473.00M,2.428B,0.36,,,0.36,0.36,0.35,,,0.35,0.35,4.365B,4.422B,0.33
2014-12,10.87B,10.87B,4.357B,6.515B,2.423B,1.915B,4.338B,,139.00M,158.00M,19.00M,,4.338B,2.177B,158.00M,139.00M,19.00M,-1.12B,19.00M,1.076B,305.00M,771.00M,,,-1.00M,,770.00M,770.00M,1.714B,499.00M,1.215B,0.18,,,0.18,0.18,0.17,,,0.17,0.17,4.372B,4.438B,0.305
2014-09,11.98B,11.98B,4.63B,7.346B,2.686B,1.821B,4.507B,,113.00M,169.00M,56.00M,,4.507B,2.839B,169.00M,113.00M,56.00M,-235.00M,56.00M,2.66B,538.00M,2.122B,,,-8.00M,,2.114B,2.114B,3.283B,510.00M,2.773B,0.48,,,0.48,0.48,0.48,,,0.48,0.48,4.383B,4.445B,0.305
2014-06,12.57B,12.57B,4.819B,7.755B,2.566B,1.818B,4.384B,,107.00M,144.00M,37.00M,,4.384B,3.371B,144.00M,107.00M,37.00M,-24.00M,37.00M,3.384B,779.00M,2.605B,,,-10.00M,,2.595B,2.595B,3.985B,494.00M,3.491B,0.59,,,0.59,0.59,0.58,,,0.58,0.58,4.391B,4.454B,0.305
2014-03,10.58B,10.58B,4.083B,6.493B,2.236B,1.753B,3.989B,-128.00M,124.00M,123.00M,-1.00M,,3.989B,2.504B,123.00M,124.00M,-1.00M,-298.00M,-1.00M,2.205B,579.00M,1.626B,,,-7.00M,,1.619B,1.713B,2.802B,473.00M,2.329B,0.37,,,0.3915,0.37,0.36,,,0.3812,0.36,4.401B,4.464B,0.305
2013-12,11.04B,11.04B,4.315B,6.725B,630.00M,3.689B,4.319B,,149.00M,153.00M,4.00M,,4.319B,2.406B,153.00M,149.00M,4.00M,-182.00M,4.00M,2.228B,520.00M,1.708B,,,2.00M,,1.71B,1.71B,2.91B,533.00M,2.377B,0.39,,,0.39,0.39,0.38,,,0.38,0.38,4.41B,4.482B,0.28
2013-09,12.03B,12.03B,4.793B,7.237B,3.069B,1.355B,4.424B,,90.00M,136.00M,46.00M,,4.424B,2.813B,136.00M,90.00M,46.00M,521.00M,46.00M,3.38B,925.00M,2.455B,,,-8.00M,,2.447B,2.447B,3.967B,497.00M,3.47B,0.55,,,0.55,0.55,0.54,,,0.54,0.54,4.426B,4.498B,0.28
2013-06,12.75B,12.75B,4.989B,7.76B,3.044B,1.341B,4.385B,,122.00M,129.00M,7.00M,,4.385B,3.375B,129.00M,122.00M,7.00M,143.00M,7.00M,3.525B,831.00M,2.694B,,,-18.00M,,2.676B,2.676B,4.121B,474.00M,3.647B,0.6,,,0.6,0.6,0.59,,,0.59,0.59,4.446B,4.527B,0.28
2013-03,11.04B,11.04B,4.324B,6.711B,2.942B,1.24B,4.182B,,102.00M,116.00M,14.00M,,4.182B,2.529B,116.00M,102.00M,14.00M,-199.00M,14.00M,2.344B,575.00M,1.769B,,,-18.00M,,1.751B,1.751B,2.919B,473.00M,2.446B,0.39,,,0.39,0.39,0.39,,,0.39,0.39,4.455B,4.53B,0.28
2012-12,11.46B,11.46B,4.628B,6.827B,2.975B,1.455B,4.43B,,95.00M,126.00M,31.00M,,4.43B,2.397B,126.00M,95.00M,31.00M,-51.00M,31.00M,2.377B,487.00M,1.89B,,,-24.00M,,1.866B,1.866B,2.985B,513.00M,2.472B,0.42,,,0.42,0.42,0.41,,,0.41,0.41,4.477B,4.557B,0.255
2012-09,12.34B,12.34B,4.853B,7.487B,3.274B,1.356B,4.63B,,102.00M,118.00M,16.00M,,4.63B,2.857B,118.00M,102.00M,16.00M,211.00M,16.00M,3.084B,755.00M,2.329B,,,-18.00M,,2.311B,2.311B,3.70B,514.00M,3.186B,0.51,,,0.51,0.51,0.5,,,0.5,0.5,4.502B,4.587B,0.255
2012-06,13.08B,13.08B,5.224B,7.861B,3.061B,1.436B,4.497B,,112.00M,112.00M,0.00,,4.497B,3.364B,112.00M,112.00M,0.00,259.00M,0.00,3.623B,823.00M,2.80B,,,-12.00M,,2.788B,2.788B,4.243B,508.00M,3.735B,0.62,,,0.62,0.62,0.61,,,0.61,0.61,4.511B,4.592B,0.255
2012-03,11.14B,11.14B,4.348B,6.789B,2.937B,1.244B,4.181B,,88.00M,115.00M,27.00M,,4.181B,2.608B,115.00M,88.00M,27.00M,90.00M,27.00M,2.725B,658.00M,2.067B,,,-13.00M,,2.054B,2.054B,3.26B,447.00M,2.813B,0.45,,,0.45,0.45,0.45,,,0.45,0.45,4.525B,4.601B,0.255
2011-12,11.04B,11.04B,4.403B,6.637B,,,4.406B,,104.00M,127.00M,23.00M,,3.949B,2.688B,127.00M,104.00M,23.00M,-495.00M,23.00M,2.216B,539.00M,1.677B,,,-20.00M,,1.657B,1.657B,2.851B,531.00M,2.32B,0.37,,,0.37,0.37,0.36,,,0.36,0.36,4.535B,4.61B,0.235
2011-09,12.25B,12.25B,4.875B,7.373B,,,4.523B,-32.00M,116.00M,141.00M,25.00M,96.00M,4.619B,2.754B,141.00M,116.00M,25.00M,148.00M,25.00M,2.927B,681.00M,2.246B,,,-22.00M,,2.224B,2.249B,3.509B,466.00M,3.043B,0.49,0.0,,0.4954,0.49,0.48,0.0,,0.4853,0.48,4.571B,4.653B,0.235
2011-06,12.74B,12.74B,4.989B,7.748B,,,4.417B,362.00M,84.00M,121.00M,37.00M,152.00M,4.569B,3.179B,121.00M,84.00M,37.00M,583.00M,37.00M,3.799B,992.00M,2.807B,,,-7.00M,,2.80B,2.533B,4.354B,471.00M,3.883B,0.61,0.0,,0.5516,0.61,0.6,0.0,,0.5426,0.6,4.58B,4.66B,0.235
2011-03,10.52B,10.52B,3.948B,6.569B,2.835B,1.241B,4.076B,117.00M,113.00M,94.00M,-19.00M,209.00M,4.285B,2.284B,94.00M,113.00M,-19.00M,251.00M,-19.00M,2.516B,600.00M,1.916B,,,-13.00M,,1.903B,1.814B,3.115B,486.00M,2.629B,0.415,0.0,,0.3956,0.415,0.41,0.0,,0.3909,0.41,4.584B,4.662B,0.235
2010-12,10.49B,10.49B,4.279B,6.215B,,,4.547B,,487.00M,97.00M,-390.00M,,4.273B,1.942B,97.00M,487.00M,-390.00M,4.653B,-390.00M,6.205B,443.00M,5.762B,,,-13.00M,,5.749B,5.749B,7.201B,509.00M,6.692B,1.24,,,1.24,1.24,1.235,,,1.235,1.235,4.622B,4.694B,0.22
