,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-12,5.802B,5.802B,5.402B,400.00M,208.00M,-52.00M,,,,47.00M,255.00M,145.00M,,,,-52.00M,,61.00M,22.00M,39.00M,,,39.00M,72.25M,261.00M,116.00M,145.00M,,0.11,0.00,0.2058,0.11,,0.11,0.00,0.2039,0.11,,347.00M,354.00M,0.04,,,
2002-09,5.761B,5.761B,5.315B,446.00M,205.00M,-38.00M,,,,,258.00M,188.00M,,,,-38.00M,,129.00M,45.00M,84.00M,,,84.00M,108.74M,299.00M,111.00M,188.00M,,0.24,0.00,0.3111,0.24,,0.24,0.00,0.3097,0.24,,348.00M,355.00M,0.04,,,
2002-06,5.902B,5.902B,5.438B,464.00M,217.00M,-4.00M,,,,,217.00M,247.00M,,,,-4.00M,,167.00M,60.00M,107.00M,,,107.00M,109.56M,371.00M,124.00M,247.00M,,0.31,0.00,0.3174,0.31,,0.30,0.00,0.3072,0.30,,348.00M,355.00M,0.04,,,
2002-03,5.839B,5.839B,5.442B,397.00M,218.00M,,,,,,218.00M,179.00M,,,,,,103.00M,38.00M,65.00M,,,65.00M,65.00M,294.00M,115.00M,179.00M,,0.19,0.00,0.19,0.19,,0.18,0.00,0.18,0.18,,348.00M,355.00M,0.04,,,
2001-12,5.865B,5.865B,5.355B,510.00M,237.00M,,,,,,237.00M,273.00M,,,,,,194.00M,67.00M,127.00M,,,127.00M,127.00M,390.00M,117.00M,273.00M,,0.36,0.00,0.36,0.36,,0.36,0.00,0.36,0.36,,348.00M,355.00M,0.04,,,
2001-09,5.02B,5.02B,4.634B,386.00M,219.00M,-3.00M,,,,,219.00M,167.00M,,,,-3.00M,,84.00M,36.00M,48.00M,,-18.00M,48.00M,49.80M,280.00M,113.00M,167.00M,,0.22,0.00,0.2283,0.22,,0.22,0.00,0.2281,0.22,,218.00M,222.00M,0.04,,,
2001-06,1.917B,1.917B,1.719B,198.00M,140.00M,1.00M,,,,,140.00M,58.00M,,,,1.00M,,31.00M,12.00M,19.00M,,-2.00M,19.00M,18.39M,130.00M,72.00M,58.00M,,0.09,0.00,0.0872,0.09,,0.09,0.00,0.0872,0.09,,221.00M,222.00M,0.04,,,
2001-03,1.857B,1.857B,1.72B,137.00M,114.00M,-4.00M,,,,,114.00M,23.00M,,,,-4.00M,,-10.00M,-3.00M,-6.00M,,1.00M,-6.00M,-3.20M,98.00M,75.00M,23.00M,,-0.03,0.00,-0.0173,-0.03,,-0.03,0.00,-0.0173,-0.03,,221.00M,221.00M,0.04,,,
2000-12,1.769B,1.769B,1.587B,182.00M,114.00M,-1.00M,,,,,114.00M,68.00M,,,,-1.00M,,41.00M,14.00M,27.00M,,,27.00M,27.66M,143.00M,75.00M,68.00M,,0.12,0.00,0.1230,0.12,,0.12,0.00,0.1229,0.12,,223.00M,224.00M,0.04,,,
2000-09,1.891B,1.891B,2.148B,-256.30M,-85.70M,8.10M,,,,,-303.30M,47.00M,,,,8.10M,,26.60M,8.80M,17.80M,,,17.80M,12.38M,123.40M,76.40M,47.00M,,0.08,0.00,0.0556,0.08,,0.08,0.00,0.0559,0.08,,221.70M,224.80M,0.04,,,
2000-06,1.807B,1.807B,1.473B,334.20M,172.60M,-4.60M,,,,,246.40M,87.80M,,,,-4.60M,,60.10M,19.60M,40.50M,,5.70M,40.50M,43.60M,161.60M,73.80M,87.80M,,0.18,0.00,0.1938,0.18,,0.18,0.00,0.1938,0.18,,224.60M,225.00M,0.04,,,
2000-03,1.791B,1.791B,1.430B,361.00M,197.40M,-0.30M,,,,,269.70M,91.30M,,,,-0.30M,,57.50M,21.80M,35.70M,,-3.70M,35.70M,35.89M,163.60M,72.30M,91.30M,,0.16,0.00,0.1608,0.16,,0.16,0.00,0.1608,0.16,,225.70M,225.70M,0.04,,,
1999-12,1.779B,1.779B,1.403B,376.10M,181.70M,-2.20M,,,,,253.20M,122.90M,,,,-2.20M,,89.80M,32.80M,57.00M,,-2.20M,57.00M,58.40M,194.40M,71.50M,122.90M,,0.25,0.00,0.2561,0.25,,0.25,0.00,0.2561,0.25,,227.80M,228.40M,0.04,,,
1999-09,1.816B,1.816B,1.421B,394.60M,244.20M,15.30M,,,,,316.90M,77.70M,,,,15.30M,,60.00M,18.90M,41.10M,,-2.50M,41.10M,30.62M,150.40M,72.70M,77.70M,,0.18,0.00,0.1342,0.18,,0.18,0.00,0.1342,0.18,,228.94M,228.94M,0.04,,,
1999-06,1.881B,1.881B,1.465B,415.90M,184.40M,-13.90M,,,,,259.30M,156.60M,,,,-13.90M,,109.10M,40.70M,68.40M,,-3.10M,68.40M,77.11M,231.50M,74.90M,156.60M,,0.30,0.00,0.3382,0.30,,0.30,0.00,0.3382,0.30,,228.00M,228.00M,0.025,,,
1999-03,1.841B,1.841B,1.458B,383.30M,179.10M,2.20M,,,,,249.10M,134.20M,,,,2.20M,,101.60M,37.00M,64.60M,,-2.90M,64.60M,63.20M,204.20M,70.00M,134.20M,,0.28,0.00,0.2739,0.28,,0.28,0.00,0.2739,0.28,,230.71M,230.71M,0.025,,,
1998-12,1.825B,1.825B,1.454B,370.20M,178.30M,4.50M,,,,,251.80M,118.40M,,,,4.50M,,88.60M,32.80M,55.80M,,-3.00M,55.80M,52.97M,191.90M,73.50M,118.40M,,0.24,0.00,0.2278,0.24,,0.24,0.00,0.2278,0.24,,232.50M,232.50M,0.025,,,
1998-09,2.069B,2.069B,1.685B,383.80M,378.80M,-0.80M,,,,,457.00M,-73.20M,,,,-0.80M,,-111.20M,-21.40M,-89.80M,,,-89.80M,-89.15M,5.00M,78.20M,-73.20M,,-0.40,0.00,-0.3972,-0.40,,-0.40,0.00,-0.3972,-0.40,,233.80M,233.80M,0.025,,,
1998-06,1.954B,1.954B,1.584B,369.70M,192.50M,4.00M,,,,,262.10M,107.60M,,,,4.00M,,74.00M,27.40M,46.60M,,,46.60M,44.08M,177.20M,69.60M,107.60M,,0.20,0.00,0.1892,0.20,,0.20,0.00,0.1892,0.20,,233.00M,233.00M,0.025,,,
1998-03,1.871B,1.871B,1.540B,331.10M,188.80M,3.20M,,,,,259.40M,71.70M,,,,3.20M,,36.90M,13.60M,23.30M,,,23.30M,21.28M,142.30M,70.60M,71.70M,,0.10,0.00,0.0913,0.10,,0.10,0.00,0.0913,0.10,,233.00M,233.00M,0.025,,,
1997-12,1.521B,1.521B,1.208B,312.40M,156.90M,0.60M,,,,,214.50M,97.90M,,,,0.60M,,71.30M,26.40M,44.90M,,,44.90M,44.52M,155.50M,57.60M,97.90M,,0.21,0.00,0.2082,0.21,,0.21,0.00,0.2082,0.21,,213.81M,213.81M,0.025,,,
1997-09,1.662B,1.662B,1.352B,310.20M,149.90M,0.80M,,,,,208.00M,102.20M,,,,0.80M,,75.80M,28.00M,47.80M,,,47.80M,47.30M,160.30M,58.10M,102.20M,,0.21,0.00,0.2078,0.21,,0.21,0.00,0.2078,0.21,,225.92M,225.92M,0.025,,,
1997-06,1.591B,1.591B,1.273B,318.20M,161.20M,,,,,,218.30M,99.90M,,,,,,71.80M,26.60M,45.20M,,,45.20M,45.20M,157.00M,57.10M,99.90M,,0.21,0.00,0.21,0.21,,0.21,0.00,0.21,0.21,,215.24M,215.24M,0.025,,,
1997-03,1.574B,1.574B,1.262B,312.60M,150.50M,-2.10M,,,,,207.80M,104.80M,,,,-2.10M,,76.50M,28.30M,48.20M,,,48.20M,49.52M,162.10M,57.30M,104.80M,,0.22,0.00,0.2260,0.22,,0.22,0.00,0.2260,0.22,,219.09M,219.09M,0.025,,,
1996-12,1.528B,1.528B,1.228B,299.50M,148.60M,41.50M,,,,,206.50M,93.00M,,,,41.50M,,105.60M,61.00M,44.60M,,,44.60M,19.70M,150.90M,57.90M,93.00M,,0.21,0.00,0.0928,0.21,,0.20,0.00,0.0883,0.20,,212.38M,223.00M,0.02,,,
1996-09,1.691B,1.691B,1.416B,275.00M,162.90M,2.40M,,,,,222.40M,52.60M,,,,2.40M,,23.10M,8.50M,14.60M,,0.00,14.60M,13.08M,112.10M,59.50M,52.60M,,0.07,0.00,0.0629,0.07,,0.07,0.00,0.0631,0.07,,215.13M,219.09M,0.02,,,
1996-06,1.628B,1.628B,1.346B,282.40M,166.00M,-0.30M,,,,,226.00M,56.40M,,,,-0.30M,,23.20M,8.60M,14.60M,,,14.60M,14.79M,116.40M,60.00M,56.40M,,0.07,0.00,0.0709,0.07,,0.07,0.00,0.0709,0.07,,208.57M,208.57M,0.02,,,
1996-03,1.588B,1.588B,1.304B,283.90M,167.20M,1.40M,,,,,228.70M,55.20M,,,,1.40M,,23.10M,8.70M,14.40M,,-0.40M,14.40M,13.53M,116.70M,61.50M,55.20M,,0.07,0.00,0.0658,0.07,,0.07,0.00,0.0658,0.07,,205.71M,205.71M,0.02,,,
1995-12,1.547B,1.547B,1.228B,318.50M,154.80M,-7.60M,,,,,213.10M,105.40M,,,,-7.60M,,66.50M,23.20M,43.30M,,3.70M,43.30M,48.25M,163.70M,58.30M,105.40M,,0.20,0.00,0.2229,0.20,,0.20,0.00,0.2229,0.20,,216.50M,216.50M,0.02,,,
1995-09,1.480B,1.480B,1.150B,329.40M,153.90M,3.90M,,,,,208.70M,120.70M,,,,3.90M,,94.40M,35.60M,58.80M,,0.60M,58.80M,56.37M,175.50M,54.80M,120.70M,,0.2667,0.00,0.2556,0.2667,,0.2667,0.00,0.2556,0.2667,,220.33M,220.33M,0.0133,,,
1995-06,1.362B,1.362B,1.05B,312.30M,141.00M,4.60M,,,,,191.90M,120.40M,,,,4.60M,,93.60M,35.90M,57.70M,,-0.90M,57.70M,54.86M,171.30M,50.90M,120.40M,,0.27,0.00,0.2567,0.27,,0.27,0.00,0.2567,0.27,,213.70M,213.70M,0.0133,,,
1995-03,1.343B,1.343B,1.030B,313.30M,147.90M,-15.30M,,,,,197.50M,115.80M,,,,-15.30M,,77.80M,27.40M,50.40M,,5.60M,50.40M,60.31M,165.90M,50.10M,115.80M,,0.23,0.00,0.2752,0.23,,0.23,0.00,0.2752,0.23,,219.13M,219.13M,0.0133,,,
1994-12,1.326B,1.326B,1.015B,311.50M,147.70M,-5.10M,,,,,196.80M,114.70M,,,,-5.10M,,84.20M,32.00M,52.20M,,,52.20M,55.36M,163.80M,49.10M,114.70M,,0.24,0.00,0.2545,0.24,,0.24,0.00,0.2545,0.24,,217.50M,217.50M,0.0133,,,
1994-09,1.388B,1.388B,1.082B,306.30M,141.90M,3.70M,,,,,189.00M,117.30M,,,,3.70M,,96.40M,37.60M,58.80M,,,58.80M,56.54M,164.40M,47.10M,117.30M,,0.2633,0.00,0.2526,0.2633,,0.2633,0.00,0.2533,0.2633,,210.00M,225.56M,0.0133,,,
1994-06,1.308B,1.308B,1.012B,295.70M,134.10M,-211.40M,,,,,181.20M,114.50M,,,,-211.40M,,-121.30M,27.10M,-148.40M,,,-148.40M,-21.56M,163.50M,49.00M,114.50M,,-0.67,0.00,-0.0973,-0.67,,-0.67,0.00,-0.0973,-0.67,,221.49M,221.49M,0.0133,,,
1994-03,1.262B,1.262B,1.001B,260.50M,126.70M,3.00M,,,,,172.80M,87.70M,,,,3.00M,,70.70M,27.60M,43.10M,,,43.10M,41.27M,134.30M,46.60M,87.70M,,0.19,0.00,0.1819,0.19,,0.19,0.00,0.1819,0.19,,226.84M,226.84M,0.0133,,,
1993-12,1.153B,1.153B,889.80M,263.00M,119.70M,-7.90M,,,,,165.30M,97.70M,,,,-7.90M,,72.80M,28.40M,44.40M,,,44.40M,49.22M,143.30M,45.60M,97.70M,,0.20,0.00,0.2217,0.20,,0.20,0.00,0.2217,0.20,,222.00M,222.00M,0.0067,,,
1993-09,1.237B,1.237B,983.10M,253.70M,133.60M,26.60M,,,,,178.40M,75.30M,,,,26.60M,,85.10M,44.00M,41.10M,,,41.10M,25.14M,120.10M,44.80M,75.30M,,0.19,0.00,0.1163,0.19,,0.18,0.00,0.1098,0.18,,216.66M,227.51M,0.0067,,,
1993-06,1.217B,1.217B,933.60M,283.30M,127.50M,-7.20M,,,,,171.40M,111.90M,,,,-7.20M,,86.60M,32.90M,53.70M,,,53.70M,58.16M,158.50M,46.60M,111.90M,,0.24,0.00,0.2600,0.24,,0.24,0.00,0.2600,0.24,,223.75M,223.75M,0.0067,,,
1993-03,1.170B,1.170B,899.60M,270.80M,128.10M,2.50M,,,,,180.00M,90.80M,,,,2.50M,,74.40M,28.30M,46.10M,,,46.10M,44.55M,142.70M,51.90M,90.80M,,0.21,0.00,0.2029,0.21,,0.21,0.00,0.2029,0.21,,219.52M,219.52M,0.0067,,,
1992-12,1.083B,1.083B,845.30M,238.00M,115.40M,-7.00M,,,,,148.60M,89.40M,,,,-7.00M,,63.50M,24.10M,39.40M,,,39.40M,43.74M,122.60M,33.20M,89.40M,,0.18,0.00,0.1998,0.18,,0.18,0.00,0.1998,0.18,,218.89M,218.89M,0.0067,,,
1992-09,1.150B,1.150B,883.40M,266.20M,110.70M,1.00M,,,,,172.50M,93.70M,,,,1.00M,,75.90M,28.40M,47.50M,,,47.50M,46.87M,155.50M,61.80M,93.70M,,0.23,0.00,0.2270,0.23,,0.22,0.00,0.2171,0.22,,206.71M,217.40M,0.0067,,,
1992-06,1.022B,1.022B,796.80M,225.10M,101.40M,2.10M,,,,,137.80M,87.30M,,,,2.10M,,71.60M,27.30M,44.30M,,,44.30M,43.00M,123.70M,15.00M,87.30M,,0.21,0.00,0.2038,0.21,,0.21,0.00,0.2038,0.21,,210.95M,210.95M,0.0067,,,
1992-03,1.040B,1.040B,820.70M,219.80M,104.60M,0.90M,,,,,140.60M,79.20M,,,,0.90M,,60.40M,23.60M,36.80M,,,36.80M,36.25M,115.50M,36.30M,79.20M,,0.18,0.00,0.1773,0.18,,0.18,0.00,0.1773,0.18,,204.44M,204.44M,0.0067,,,
1991-12,956.70M,956.70M,748.80M,207.90M,100.60M,2.20M,,,,,136.40M,71.50M,,,,2.20M,,53.20M,21.30M,31.90M,,,31.90M,30.58M,107.30M,35.80M,71.50M,,0.15,0.00,0.1438,0.15,,0.15,0.00,0.1438,0.15,,212.67M,212.67M,0.0067,,,
1991-09,1.072B,1.072B,846.50M,225.30M,113.30M,,,,,,136.50M,88.80M,,,,,,71.60M,28.60M,43.00M,,,43.00M,43.00M,112.00M,23.20M,88.80M,,0.22,0.00,0.22,0.22,,0.21,0.00,0.21,0.21,,192.17M,203.88M,0.0067,,,
1991-06,1.017B,1.017B,786.00M,230.90M,99.00M,,,,,,139.80M,91.10M,,,,,,67.70M,27.10M,40.60M,,,40.60M,40.60M,131.90M,40.80M,91.10M,,0.19,0.00,0.19,0.19,,0.19,0.00,0.19,0.19,,213.68M,213.68M,0.0067,,,
1991-03,932.20M,932.20M,716.90M,215.30M,97.30M,,,,,,135.70M,79.60M,,,,,,55.20M,22.10M,33.10M,,,33.10M,33.10M,118.00M,38.40M,79.60M,,0.16,0.00,0.16,0.16,,0.16,0.00,0.16,0.16,,206.88M,206.88M,0.0033,,,
1990-12,901.20M,901.20M,689.20M,212.00M,105.00M,,,,,,138.40M,73.60M,,,,,,48.20M,19.30M,28.90M,,,28.90M,28.90M,107.00M,33.40M,73.60M,,0.14,0.00,0.14,0.14,,0.14,0.00,0.14,0.14,,206.43M,206.43M,0.0033,,,
1990-09,1.014B,1.014B,763.00M,250.90M,109.80M,,,,,,148.10M,102.80M,,,,,,62.20M,25.00M,37.20M,,,37.20M,37.20M,141.10M,38.30M,102.80M,,0.18,0.00,0.18,0.18,,0.18,0.00,0.18,0.18,,208.57M,208.57M,0.0033,,,
1990-06,978.70M,978.70M,757.20M,221.50M,104.00M,,,,,,132.60M,88.90M,,,,,,55.80M,22.30M,33.50M,,,33.50M,33.50M,117.50M,28.60M,88.90M,,0.17,0.00,0.17,0.17,,0.17,0.00,0.17,0.17,,197.06M,197.06M,0.0033,,,
1990-03,931.90M,931.90M,729.40M,202.50M,94.10M,,,,,,122.30M,80.20M,,,,,,43.80M,17.50M,26.30M,,,26.30M,26.30M,132.00M,51.80M,80.20M,,0.13,0.00,0.13,0.13,,0.13,0.00,0.13,0.13,,202.31M,202.31M,0.0033,,,
1989-12,900.80M,900.80M,732.30M,168.50M,89.90M,,,,,,94.60M,73.90M,,,,,,38.30M,15.30M,23.00M,,,23.00M,23.00M,78.60M,4.70M,73.90M,,0.12,0.00,0.12,0.12,,0.12,0.00,0.12,0.12,,191.67M,191.67M,0.0033,,,
1989-09,894.80M,894.80M,635.20M,259.60M,86.70M,,,,,,171.50M,88.10M,,,,,,51.40M,19.80M,31.60M,,,31.60M,31.60M,88.10M,,88.10M,,0.16,0.00,0.16,0.16,,0.16,0.00,0.16,0.16,,198.85M,198.85M,0.0033,,,
1989-06,606.10M,606.10M,480.40M,125.70M,73.90M,,,,,,73.90M,51.80M,,,,,,47.30M,19.80M,27.50M,,,27.50M,27.50M,51.80M,,51.80M,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,183.33M,183.33M,0.0033,,,
1989-03,534.90M,534.90M,,,,,,,,,,534.90M,,,,,,,,21.70M,,,21.70M,,534.90M,,534.90M,,0.11,0.00,0.11,0.11,,0.11,0.00,0.11,0.11,,191.33M,191.33M,0.0033,,,
1988-12,502.40M,502.40M,,,,,,,,,,502.40M,,,,,,,,19.90M,,,19.90M,,502.40M,,502.40M,,0.11,0.00,0.11,0.11,,0.11,0.00,0.11,0.11,,191.33M,191.33M,0.0033,,,
1988-09,538.00M,538.00M,,,,,,,,,,-1.273B,,,,,,,,24.60M,,,24.60M,,-1.273B,,-1.273B,,,,,,,,,,,,195.48M,195.48M,0.00,,,
1988-06,497.10M,497.10M,,,,,,,,,,497.10M,,,,,,,,21.10M,,,21.10M,,497.10M,,497.10M,,0.11,0.00,0.11,0.11,,0.11,0.00,0.11,0.11,,195.48M,195.48M,0.0033,,,
1988-03,463.10M,463.10M,,,,,,,,,,463.10M,,,,,,,,17.90M,,,17.90M,,463.10M,,463.10M,,0.09,0.00,0.09,0.09,,0.09,0.00,0.09,0.09,,195.48M,195.48M,0.0033,,,
1987-12,437.70M,437.70M,,,,,,,,,,437.70M,,,,,,,,17.80M,,,17.80M,,437.70M,,437.70M,,0.09,0.00,0.09,0.09,,0.09,0.00,0.09,0.09,,192.02M,192.02M,0.0033,,,
1987-09,502.50M,502.50M,,,,,,,,,,-1.137B,,,,,,,,18.70M,,,18.70M,,-1.137B,,-1.137B,,,,,,,,,,,,192.16M,192.16M,0.0033,,,
1987-06,437.90M,437.90M,,,,,,,,,,437.90M,,,,,,,,17.60M,,,17.60M,,437.90M,,437.90M,,0.09,0.00,0.09,0.09,,0.09,0.00,0.09,0.09,,192.16M,192.16M,0.0033,,,
1987-03,417.80M,417.80M,,,,,,,,,,417.80M,,,,,,,,16.10M,,,16.10M,,417.80M,,417.80M,,0.09,0.00,0.09,0.09,,0.09,0.00,0.09,0.09,,192.16M,192.16M,0.0033,,,
1986-12,427.70M,427.70M,,,,,,,,,,427.70M,,,,,,,,15.50M,,,15.50M,,427.70M,,427.70M,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,191.54M,191.54M,0.0022,,,
1986-09,460.00M,460.00M,,,,,,,,,,-928.60M,,,,,,,,14.60M,,,14.60M,,-928.60M,,-928.60M,,,,,,,,,,,,191.54M,191.54M,0.0022,,,
1986-06,417.60M,417.60M,,,,,,,,,,417.60M,,,,,,,,13.40M,,,13.40M,,417.60M,,417.60M,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,200.91M,200.91M,0.0022,,,
1986-03,331.90M,331.90M,,,,,,,,,,331.90M,,,,,,,,11.30M,,,11.30M,,331.90M,,331.90M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,200.91M,200.91M,0.0011,,,
1985-12,294.20M,294.20M,,,,,,,,,,294.20M,,,,,,,,10.80M,,,10.80M,,294.20M,,294.20M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,191.32M,191.32M,0.0011,,,
1985-09,291.10M,291.10M,,,,,,,,,,-755.70M,,,,,,,,8.70M,,,8.70M,,-755.70M,,-755.70M,,,,,,,,,,,,191.18M,191.18M,0.0011,,,
1985-06,286.80M,286.80M,,,,,,,,,,286.80M,,,,,,,,9.40M,,,9.40M,,286.80M,,286.80M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,189.31M,189.31M,0.0011,,,
1985-03,289.30M,289.30M,,,,,,,,,,289.30M,,,,,,,,8.50M,,,8.50M,,289.30M,,289.30M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,171.26M,171.26M,0.0006,,,
1984-12,268.50M,268.50M,,,,,,,,,,268.50M,,,,,,,,8.30M,,,8.30M,,268.50M,,268.50M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,175.53M,175.53M,,,,
1984-09,208.00M,208.00M,,,,,,,,,,-498.90M,,,,,,,,6.40M,,,6.40M,,-498.90M,,-498.90M,,,,,,,,,,,,175.53M,175.53M,,,,
1984-06,189.50M,189.50M,,,,,,,,,,189.50M,,,,,,,,5.20M,,,5.20M,,189.50M,,189.50M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,175.53M,175.53M,,,,
1984-03,185.80M,185.80M,,,,,,,,,,185.80M,,,,,,,,4.40M,,,4.40M,,185.80M,,185.80M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,171.26M,171.26M,,,,
