,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2012-06,73.00M,167.00M,,,124.00M,124.00M,22.00M,-42.00M,,,,,,,-79.00M,265.00M,,-186.00M,,-186.00M,0.00,3.00M,2.00M,-181.00M,,148.00M,,148.00M,,-81.00M,-81.00M,-15.00M,-15.00M,32.00M,-55.00M,29.00M,,723.00M,113.00M,-8.00M,828.00M,,,1.026B,-878.00M,-81.00M,,AOR,Restated
2012-03,166.00M,,,,123.00M,123.00M,29.00M,14.00M,,,,,,,-216.00M,116.00M,,-162.00M,,-162.00M,,-15.00M,14.00M,-163.00M,,-5.00M,,-5.00M,,-78.00M,-78.00M,-14.00M,-14.00M,,7.00M,-90.00M,,857.00M,-137.00M,3.00M,723.00M,,,11.00M,-16.00M,-78.00M,,AOR,Restated
2011-12,156.00M,,,,122.00M,122.00M,24.00M,27.00M,,,,,,,9.00M,338.00M,,-182.00M,,-182.00M,,3.00M,3.00M,-176.00M,,20.00M,,20.00M,,-50.00M,-50.00M,-15.00M,-15.00M,,22.00M,-23.00M,,716.00M,139.00M,2.00M,857.00M,,,45.00M,-25.00M,-50.00M,,AOR,Restated
2011-09,95.00M,,,,122.00M,122.00M,35.00M,15.00M,,,,,,,75.00M,360.00M,,-174.00M,,-174.00M,,-1.00M,2.00M,-173.00M,,-271.00M,,-271.00M,,-97.00M,-97.00M,-14.00M,-14.00M,,-110.00M,-441.00M,,981.00M,-254.00M,-11.00M,716.00M,,,32.00M,-303.00M,-97.00M,,AOR,Restated
2011-06,188.00M,,,,128.00M,128.00M,-9.00M,-6.00M,,,,,,,182.00M,483.00M,,-150.00M,,-150.00M,,1.00M,1.00M,-148.00M,,-49.00M,,-49.00M,,-89.00M,-89.00M,-45.00M,-15.00M,,7.00M,-146.00M,,794.00M,189.00M,-2.00M,981.00M,,,83.00M,-132.00M,-89.00M,,AOR,Restated
2011-03,156.00M,,,,128.00M,128.00M,21.00M,20.00M,,,,,,,-493.00M,-168.00M,,-161.00M,,-161.00M,,-1.00M,53.00M,-109.00M,,-64.00M,,-64.00M,,-14.00M,-14.00M,15.00M,-15.00M,,35.00M,-58.00M,,1.122B,-335.00M,7.00M,794.00M,,,-44.00M,-20.00M,-14.00M,,AOR,Restated
2010-12,294.00M,,,,128.00M,128.00M,39.00M,20.00M,,,,,,,-110.00M,371.00M,,-158.00M,,-158.00M,,-79.00M,23.00M,-214.00M,,-1.00M,,-1.00M,,-7.00M,-7.00M,-15.00M,-15.00M,,10.00M,-13.00M,,978.00M,144.00M,0.00,1.122B,,,44.00M,-45.00M,-7.00M,,AOR,Restated
2010-09,208.00M,,,,125.00M,125.00M,22.00M,-40.00M,,,,,,,-31.00M,349.00M,,-146.00M,,-146.00M,,1.00M,9.00M,-136.00M,,-58.00M,,-58.00M,,-6.00M,-6.00M,-15.00M,-15.00M,,10.00M,-69.00M,,834.00M,144.00M,0.00,978.00M,,,-17.00M,-41.00M,-6.00M,,AOR,Restated
2010-06,242.00M,,,,125.00M,125.00M,-5.00M,69.00M,,,,,,,166.00M,597.00M,,-140.00M,,-140.00M,,-1.00M,4.00M,-137.00M,,-421.00M,-15.00M,-436.00M,,-11.00M,-11.00M,-44.00M,-14.00M,,17.00M,-444.00M,,812.00M,16.00M,6.00M,834.00M,,,2.00M,-438.00M,-11.00M,,AOR,Restated
2010-03,156.00M,,,,124.00M,124.00M,-2.00M,42.00M,,,,,,,-381.00M,-61.00M,,-151.00M,,-151.00M,,-3.00M,23.00M,-131.00M,,-488.00M,15.00M,-473.00M,,-14.00M,-14.00M,15.00M,-15.00M,,152.00M,-350.00M,,1.364B,-542.00M,-10.00M,812.00M,,,6.00M,-479.00M,-14.00M,,AOR,Restated
2009-12,159.00M,,,,123.00M,123.00M,3.00M,5.00M,,,,,,,257.00M,547.00M,,-113.00M,,-113.00M,,-1.00M,18.00M,-96.00M,,-67.00M,,-67.00M,,-17.00M,-17.00M,-15.00M,-15.00M,,3.00M,-96.00M,,1.004B,355.00M,5.00M,1.364B,,,9.00M,-76.00M,-17.00M,,AOR,Restated
2009-09,-458.00M,,,,130.00M,130.00M,-7.00M,-25.00M,,,,,,,44.00M,276.00M,,-120.00M,,-120.00M,-22.00M,-39.00M,52.00M,-129.00M,,-87.00M,,-72.00M,,-8.00M,-8.00M,-16.00M,-16.00M,0.00,117.00M,21.00M,,845.00M,168.00M,-9.00M,1.004B,,,1.00M,-88.00M,-8.00M,,AOR,Restated
2009-06,130.00M,,,,130.00M,130.00M,52.00M,9.00M,,,,,,,-44.00M,277.00M,,-88.00M,,-88.00M,5.00M,3.00M,19.00M,-61.00M,,-241.00M,,-241.00M,,-7.00M,-7.00M,-44.00M,-14.00M,-4.00M,74.00M,-192.00M,,817.00M,24.00M,4.00M,845.00M,,,0.00,-241.00M,-7.00M,,AOR,Restated
2009-03,-119.00M,,,,131.00M,131.00M,-19.00M,48.00M,,,,,,,223.00M,264.00M,,-76.00M,,-76.00M,-24.00M,-3.00M,67.00M,-36.00M,,742.00M,,742.00M,,-3.00M,-3.00M,,-15.00M,4.00M,-311.00M,417.00M,,166.00M,645.00M,6.00M,817.00M,,,752.00M,-10.00M,-3.00M,,AOR,Restated
2008-12,-104.00M,,,,122.00M,122.00M,-59.00M,40.00M,,,,,,,144.00M,143.00M,,-84.00M,,-84.00M,-52.00M,15.00M,-80.00M,-201.00M,,58.00M,,58.00M,,-1.00M,-1.00M,,-15.00M,,-73.00M,-31.00M,,250.00M,-89.00M,5.00M,166.00M,,,99.00M,-41.00M,-1.00M,,,Restated
2008-09,48.00M,,,,119.00M,119.00M,33.00M,,,,,,,307.00M,-30.00M,253.00M,,-95.00M,3.00M,-92.00M,,11.00M,-3.00M,-84.00M,,,,-201.00M,275.00M,-5.00M,270.00M,,-14.00M,,-20.00M,35.00M,,55.00M,204.00M,-9.00M,250.00M,,275.00M,,,-5.00M,,,
2008-06,9.00M,,,,123.00M,123.00M,-31.00M,,,,,,,-210.00M,-210.00M,-109.00M,,-120.00M,4.00M,-116.00M,,7.00M,-16.00M,-125.00M,,,,123.00M,4.00M,-9.00M,-5.00M,,-14.00M,,128.00M,232.00M,,53.00M,-2.00M,4.00M,55.00M,,4.00M,,,-9.00M,,,
2008-03,-5.00M,,,,124.00M,124.00M,67.00M,,,,,,,-228.00M,-228.00M,-42.00M,,-110.00M,9.00M,-101.00M,,-21.00M,4.00M,-118.00M,,,,241.00M,2.00M,-12.00M,-10.00M,,-14.00M,,-60.00M,157.00M,,55.00M,-3.00M,1.00M,53.00M,,2.00M,,,-12.00M,,,
2007-12,34.00M,,,,127.00M,127.00M,-34.00M,,,,,,,59.00M,59.00M,186.00M,,-100.00M,10.00M,-90.00M,,22.00M,-4.00M,-72.00M,,,,-74.00M,2.00M,-4.00M,-2.00M,,-14.00M,,-13.00M,-103.00M,,42.00M,11.00M,2.00M,55.00M,,2.00M,,,-4.00M,,,
2007-09,32.00M,7.00M,,,128.00M,128.00M,-28.00M,,,,,,,410.00M,234.00M,373.00M,,-121.00M,11.00M,-110.00M,,14.00M,-6.00M,-102.00M,,,,-204.00M,14.00M,-7.00M,7.00M,,-14.00M,,-71.00M,-282.00M,,48.00M,-11.00M,5.00M,42.00M,,14.00M,,,-7.00M,,,
2007-06,111.00M,-1.00M,,,130.00M,130.00M,-26.00M,,,,,,,-252.00M,-252.00M,-38.00M,,-70.00M,57.00M,-13.00M,,2.00M,2.00M,-9.00M,,,,37.00M,27.00M,-16.00M,11.00M,,-14.00M,,26.00M,60.00M,,34.00M,13.00M,1.00M,48.00M,,27.00M,,,-16.00M,,,
2007-03,68.00M,-4.00M,,,128.00M,128.00M,-19.00M,,,,,,,-155.00M,-155.00M,18.00M,,-51.00M,6.00M,-45.00M,,-4.00M,-1.00M,-50.00M,,,,-25.00M,25.00M,-14.00M,11.00M,,-14.00M,,46.00M,18.00M,,45.00M,-14.00M,3.00M,34.00M,,25.00M,,,-14.00M,,,
2006-12,57.00M,-3.00M,,,128.00M,128.00M,78.00M,,,,,,,65.00M,65.00M,325.00M,,-43.00M,2.00M,-41.00M,,774.00M,7.00M,740.00M,,,,-1.018B,8.00M,-24.00M,-16.00M,,-14.00M,,,-1.048B,,28.00M,17.00M,,45.00M,,8.00M,,,-24.00M,,,
2006-09,-56.00M,-16.00M,,,134.00M,134.00M,-19.00M,,,,,,,93.00M,101.00M,171.00M,,-61.00M,7.00M,-54.00M,,12.00M,2.00M,-40.00M,,,,-133.00M,11.00M,-12.00M,-1.00M,,-14.00M,,,-148.00M,,44.00M,-17.00M,1.00M,28.00M,,11.00M,,,-12.00M,,,
2006-06,-52.00M,-6.00M,,,130.00M,130.00M,10.00M,,,,,,,-139.00M,-139.00M,-57.00M,,-113.00M,1.00M,-112.00M,,50.00M,1.00M,-61.00M,,,,126.00M,12.00M,-10.00M,2.00M,,-14.00M,,,114.00M,,39.00M,-4.00M,9.00M,44.00M,,12.00M,,,-10.00M,,,
2006-03,-127.00M,52.00M,,,128.00M,128.00M,-72.00M,,,,,,,-2.00M,-2.00M,-21.00M,,-168.00M,2.00M,-166.00M,,-792.00M,5.00M,-953.00M,,,,998.00M,16.00M,-8.00M,8.00M,,-13.00M,,,993.00M,,30.00M,19.00M,-10.00M,39.00M,,16.00M,,,-8.00M,,,
2005-12,39.00M,,,,125.00M,125.00M,-49.00M,,,,,,,79.00M,79.00M,194.00M,,-189.00M,11.00M,-178.00M,,3.00M,5.00M,-170.00M,,,,-7.00M,3.00M,-12.00M,-9.00M,,-14.00M,,,-30.00M,,40.00M,-6.00M,-4.00M,30.00M,,3.00M,,,-12.00M,,,
2005-09,117.00M,-4.00M,,,124.00M,124.00M,-81.00M,,,,,,,-151.00M,-103.00M,78.00M,,-176.00M,32.00M,-144.00M,,-5.00M,-14.00M,-163.00M,,,,100.00M,8.00M,-9.00M,-1.00M,,-14.00M,,,85.00M,,32.00M,0.00,8.00M,40.00M,,8.00M,,,-9.00M,,,
