,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,164.00M,,164.00M,1.709B,116.00M,1.825B,597.00M,,22.00M,,265.00M,2.957B,,,31.66B,-10.79B,20.87B,2.293B,867.00M,3.16B,2.852B,70.00M,58.00M,,159.00M,30.88B,33.84B,920.00M,160.00M,1.08B,132.00M,1.212B,741.00M,741.00M,,741.00M,,588.00M,2.541B,2.58B,12.18B,0.00,12.18B,1.936B,1.936B,,762.00M,58.00M,475.00M,,415.00M,20.94B,23.48B,4.163B,5.848B,,,-123.00M,9.888B
2017-12,66.00M,,66.00M,758.00M,98.00M,1.856B,779.00M,,23.00M,,254.00M,3.081B,3.278B,,31.42B,-10.70B,20.72B,2.293B,867.00M,3.16B,2.797B,73.00M,51.00M,,161.00M,30.69B,33.77B,1.171B,158.00M,1.329B,111.00M,1.44B,730.00M,730.00M,,730.00M,,642.00M,2.812B,2.54B,12.18B,1.00M,12.18B,1.888B,1.888B,,985.00M,47.00M,478.00M,,445.00M,20.96B,23.78B,3.989B,5.643B,,,-120.00M,9.512B
2017-09,63.00M,,63.00M,1.395B,166.00M,1.561B,816.00M,,23.00M,,276.00M,2.815B,,,30.92B,-10.62B,20.31B,2.293B,883.00M,3.176B,2.634B,74.00M,62.00M,,175.00M,30.26B,33.07B,994.00M,148.00M,1.142B,131.00M,1.273B,768.00M,768.00M,,768.00M,,557.00M,2.598B,2.501B,11.79B,1.00M,11.80B,4.396B,4.396B,,928.00M,48.00M,480.00M,,463.00M,20.62B,23.22B,3.978B,5.515B,,,-120.00M,9.373B
2017-06,62.00M,,62.00M,1.451B,92.00M,1.543B,743.00M,,22.00M,,180.00M,2.631B,,,30.60B,-10.54B,20.06B,2.291B,890.00M,3.181B,2.55B,70.00M,58.00M,,168.00M,29.95B,32.58B,988.00M,296.00M,1.284B,105.00M,1.389B,832.00M,832.00M,,832.00M,,526.00M,2.747B,2.467B,11.36B,2.00M,11.36B,4.293B,4.293B,,1.055B,63.00M,483.00M,,477.00M,20.26B,23.01B,3.968B,5.245B,,,-125.00M,9.088B
2017-03,82.00M,,82.00M,1.408B,101.00M,1.509B,640.00M,,20.00M,,248.00M,2.567B,,,30.29B,-10.42B,19.87B,2.292B,837.00M,3.129B,2.442B,71.00M,73.00M,,168.00M,29.58B,32.15B,910.00M,148.00M,1.058B,131.00M,1.189B,72.00M,72.00M,,72.00M,,573.00M,1.834B,2.432B,11.76B,3.00M,11.76B,4.27B,4.27B,,1.085B,93.00M,494.00M,,426.00M,20.63B,22.46B,3.958B,5.365B,,,-129.00M,9.194B
2016-12,92.00M,,92.00M,708.00M,71.00M,1.593B,772.00M,,21.00M,,237.00M,2.762B,3.125B,,30.03B,-10.30B,19.73B,2.286B,842.00M,3.128B,2.273B,73.00M,34.00M,,170.00M,29.28B,32.04B,1.079B,148.00M,1.227B,96.00M,1.323B,513.00M,513.00M,,513.00M,,601.00M,2.437B,2.391B,11.26B,7.00M,11.27B,4.162B,4.162B,,1.188B,98.00M,488.00M,,442.00M,20.10B,22.54B,4.03B,5.114B,,,-133.00M,9.011B
2016-09,66.00M,,66.00M,1.25B,87.00M,1.337B,793.00M,130.00M,21.00M,,192.00M,2.595B,,,28.75B,-10.20B,18.55B,2.018B,91.00M,2.109B,2.226B,75.00M,46.00M,,175.00M,26.87B,29.46B,813.00M,138.00M,951.00M,115.00M,1.066B,425.00M,425.00M,,425.00M,,478.00M,1.969B,2.463B,9.471B,7.00M,9.478B,4.14B,4.14B,,1.28B,99.00M,19.00M,,332.00M,18.34B,20.31B,4.137B,5.131B,,,-138.00M,9.13B
2016-06,32.00M,,32.00M,1.18B,82.00M,1.262B,717.00M,,22.00M,,172.00M,2.258B,,,28.37B,-10.08B,18.30B,2.018B,97.00M,2.115B,2.101B,77.00M,35.00M,,159.00M,26.51B,28.77B,745.00M,269.00M,1.014B,91.00M,1.105B,340.00M,340.00M,,340.00M,,438.00M,1.883B,2.422B,9.331B,12.00M,9.343B,4.026B,4.026B,,1.311B,94.00M,21.00M,,319.00M,18.09B,19.97B,4.129B,4.791B,,,-142.00M,8.778B
2016-03,35.00M,,35.00M,1.185B,80.00M,1.265B,660.00M,,23.00M,,270.00M,2.362B,,,28.27B,-10.15B,18.13B,2.018B,90.00M,2.108B,1.979B,79.00M,53.00M,,157.00M,26.20B,28.56B,649.00M,131.00M,780.00M,119.00M,899.00M,827.00M,827.00M,,827.00M,,483.00M,2.209B,2.406B,8.746B,12.00M,8.758B,4.006B,4.006B,,1.329B,96.00M,23.00M,,265.00M,17.44B,19.65B,4.118B,4.909B,,,-140.00M,8.887B
2015-12,37.00M,,37.00M,656.00M,72.00M,1.348B,803.00M,,23.00M,,235.00M,2.575B,2.263B,,28.12B,-10.09B,18.03B,2.018B,89.00M,2.107B,1.936B,85.00M,54.00M,,179.00M,26.09B,28.66B,809.00M,131.00M,940.00M,89.00M,1.029B,972.00M,972.00M,,972.00M,,527.00M,2.528B,2.371B,8.745B,15.00M,8.76B,3.923B,3.923B,,1.361B,86.00M,23.00M,,269.00M,17.34B,19.87B,4.123B,4.794B,,,-145.00M,8.772B
2015-09,67.00M,,67.00M,1.242B,79.00M,1.321B,840.00M,,21.00M,,361.00M,2.70B,,,28.01B,-10.15B,17.87B,2.018B,89.00M,2.107B,1.883B,82.00M,48.00M,,248.00M,25.95B,28.65B,835.00M,131.00M,966.00M,119.00M,1.085B,653.00M,653.00M,,653.00M,,535.00M,2.273B,2.354B,8.848B,8.00M,8.856B,4.022B,4.022B,,1.422B,27.00M,21.00M,,269.00M,17.55B,19.82B,4.117B,4.845B,,,-150.00M,8.812B
2015-06,230.00M,,230.00M,1.251B,113.00M,1.364B,731.00M,,21.00M,,256.00M,2.691B,,,27.58B,-10.00B,17.58B,2.018B,90.00M,2.108B,1.921B,82.00M,36.00M,,248.00M,25.66B,28.35B,848.00M,255.00M,1.103B,91.00M,1.194B,467.00M,467.00M,,467.00M,,571.00M,2.232B,2.341B,8.826B,9.00M,8.835B,3.914B,3.914B,,1.507B,22.00M,18.00M,,304.00M,17.56B,19.79B,4.11B,4.58B,,,-151.00M,8.539B
2015-03,99.00M,,99.00M,1.534B,73.00M,1.607B,633.00M,,24.00M,,351.00M,2.788B,,,27.12B,-9.889B,17.24B,2.018B,100.00M,2.118B,1.911B,88.00M,40.00M,,245.00M,25.28B,28.07B,825.00M,124.00M,949.00M,116.00M,1.065B,166.00M,166.00M,,166.00M,,608.00M,1.839B,2.206B,8.828B,10.00M,8.838B,3.858B,3.858B,,1.662B,23.00M,13.00M,,299.00M,17.55B,19.39B,4.093B,4.727B,,,-155.00M,8.665B
2014-12,48.00M,,48.00M,731.00M,94.00M,1.598B,804.00M,,120.00M,,314.00M,3.012B,2.476B,,26.54B,-9.718B,16.82B,2.018B,102.00M,2.12B,1.869B,90.00M,44.00M,,259.00M,24.89B,27.90B,973.00M,122.00M,1.095B,86.00M,1.181B,672.00M,672.00M,,672.00M,,724.00M,2.577B,2.144B,8.34B,3.00M,8.343B,3.701B,3.701B,,1.795B,8.00M,15.00M,,322.00M,16.98B,19.56B,3.904B,4.578B,,,-155.00M,8.327B
2014-09,60.00M,,60.00M,1.257B,120.00M,1.377B,793.00M,,61.00M,,396.00M,2.755B,,,26.17B,-9.67B,16.50B,2.018B,108.00M,2.126B,1.847B,87.00M,29.00M,,243.00M,23.62B,26.38B,873.00M,122.00M,995.00M,110.00M,1.105B,927.00M,927.00M,,927.00M,,773.00M,2.805B,2.09B,7.906B,3.00M,7.909B,3.546B,3.546B,,785.00M,19.00M,17.00M,,321.00M,15.38B,18.19B,3.90B,4.402B,,,-133.00M,8.169B
2014-06,75.00M,,75.00M,1.40B,126.00M,1.526B,619.00M,,110.00M,,293.00M,2.721B,,,25.84B,-9.529B,16.31B,2.018B,112.00M,2.13B,1.841B,90.00M,26.00M,,220.00M,23.47B,26.19B,946.00M,238.00M,1.184B,86.00M,1.27B,740.00M,740.00M,,740.00M,,809.00M,2.819B,2.063B,7.809B,4.00M,7.813B,3.50B,3.50B,,871.00M,29.00M,18.00M,,311.00M,15.34B,18.16B,3.896B,4.246B,,,-134.00M,8.008B
2014-03,98.00M,,98.00M,1.811B,140.00M,1.951B,480.00M,,57.00M,,308.00M,2.973B,,,25.38B,-9.399B,15.98B,2.018B,118.00M,2.136B,1.791B,92.00M,17.00M,,193.00M,23.19B,26.16B,945.00M,116.00M,1.061B,118.00M,1.179B,1.444B,1.444B,,1.444B,,946.00M,3.569B,2.029B,6.918B,5.00M,6.923B,3.39B,3.39B,,958.00M,16.00M,20.00M,,310.00M,14.46B,18.02B,3.894B,4.36B,,,-137.00M,8.117B
2013-12,52.00M,,52.00M,727.00M,127.00M,1.669B,628.00M,,123.00M,,235.00M,2.806B,2.292B,,25.12B,-9.323B,15.80B,2.018B,122.00M,2.14B,1.794B,102.00M,27.00M,,198.00M,23.13B,25.94B,962.00M,116.00M,1.078B,90.00M,1.168B,1.029B,1.029B,,1.029B,,992.00M,3.189B,2.005B,7.203B,11.00M,7.214B,3.321B,3.321B,,1.003B,43.00M,33.00M,,344.00M,14.79B,17.98B,3.907B,4.15B,,,-136.00M,7.921B
2013-09,71.00M,,71.00M,1.239B,81.00M,1.32B,725.00M,,64.00M,0.00,297.00M,2.549B,,,24.80B,-9.284B,15.51B,2.018B,122.00M,2.14B,1.723B,104.00M,26.00M,,198.00M,23.68B,26.23B,866.00M,116.00M,982.00M,114.00M,1.096B,1.167B,1.167B,,1.167B,,745.00M,3.008B,1.972B,6.838B,8.00M,6.846B,3.29B,3.29B,,1.938B,21.00M,34.00M,,339.00M,15.31B,18.32B,3.885B,4.142B,,,-151.00M,7.876B
2013-06,46.00M,,46.00M,1.314B,102.00M,1.416B,627.00M,,112.00M,0.00,205.00M,2.496B,,,24.36B,-9.166B,15.19B,2.018B,138.00M,2.156B,1.654B,106.00M,27.00M,,199.00M,23.45B,25.94B,808.00M,229.00M,1.037B,97.00M,1.134B,1.095B,1.095B,,1.095B,,733.00M,2.962B,1.948B,6.797B,9.00M,6.806B,3.28B,3.28B,,2.057B,16.00M,35.00M,,334.00M,15.40B,18.36B,3.762B,3.945B,,,-155.00M,7.552B
2013-03,218.00M,,218.00M,1.46B,89.00M,1.549B,540.00M,,65.00M,8.00M,333.00M,2.769B,,,23.94B,-9.07B,14.87B,2.018B,135.00M,2.153B,1.651B,109.00M,17.00M,,196.00M,23.18B,25.95B,711.00M,108.00M,819.00M,123.00M,942.00M,840.00M,840.00M,,840.00M,,694.00M,2.476B,1.91B,7.209B,9.00M,7.218B,3.245B,3.245B,,2.123B,14.00M,36.00M,,334.00M,15.84B,18.32B,3.683B,4.069B,,,-156.00M,7.596B
2012-12,65.00M,,65.00M,650.00M,126.00M,1.462B,761.00M,,122.00M,,397.00M,2.915B,1.921B,,23.63B,-8.947B,14.68B,2.018B,135.00M,2.153B,1.591B,112.00M,39.00M,,197.00M,23.42B,26.34B,848.00M,107.00M,955.00M,93.00M,1.048B,1.057B,1.057B,,1.057B,,663.00M,2.768B,1.878B,7.002B,12.00M,7.014B,3.191B,3.191B,,2.658B,26.00M,38.00M,,362.00M,16.16B,18.93B,3.587B,3.944B,,,-158.00M,7.373B
2012-09,59.00M,0.00,59.00M,1.235B,,1.235B,785.00M,,69.00M,58.00M,401.00M,2.73B,,,23.44B,-9.038B,14.40B,2.02B,67.00M,2.087B,1.566B,114.00M,63.00M,,190.00M,23.18B,25.91B,724.00M,107.00M,831.00M,122.00M,953.00M,,731.00M,,731.00M,146.00M,479.00M,2.309B,1.683B,7.108B,12.00M,7.12B,3.331B,3.331B,,2.557B,30.00M,42.00M,,458.00M,16.17B,18.48B,3.567B,3.969B,,,-147.00M,7.389B
2012-06,185.00M,0.00,185.00M,1.403B,,1.403B,710.00M,,110.00M,65.00M,356.00M,3.05B,,,23.08B,-8.929B,14.15B,2.02B,67.00M,2.087B,1.518B,117.00M,75.00M,,189.00M,23.02B,26.08B,728.00M,207.00M,935.00M,94.00M,1.029B,,887.00M,,887.00M,211.00M,508.00M,2.635B,1.641B,7.199B,13.00M,7.212B,3.323B,3.323B,,2.565B,62.00M,42.00M,,446.00M,16.26B,18.89B,3.549B,3.744B,,,-151.00M,7.142B
2012-03,57.00M,0.00,57.00M,1.384B,,1.384B,666.00M,,86.00M,62.00M,419.00M,2.951B,,,22.78B,-8.856B,13.92B,2.02B,70.00M,2.09B,1.536B,120.00M,78.00M,,188.00M,22.90B,25.85B,690.00M,100.00M,790.00M,121.00M,911.00M,,843.00M,,843.00M,238.00M,538.00M,2.53B,1.615B,7.075B,18.00M,7.093B,3.251B,3.251B,,2.642B,99.00M,43.00M,,451.00M,16.17B,18.70B,3.453B,3.804B,,,-153.00M,7.104B
2011-12,68.00M,,68.00M,720.00M,90.00M,1.407B,791.00M,,147.00M,51.00M,510.00M,3.196B,1.884B,,22.54B,-8.795B,13.75B,2.02B,73.00M,2.093B,1.462B,123.00M,74.00M,,199.00M,22.81B,26.01B,782.00M,99.00M,881.00M,95.00M,976.00M,945.00M,945.00M,,945.00M,,707.00M,2.628B,1.739B,7.164B,23.00M,7.187B,3.116B,3.116B,,2.782B,89.00M,44.00M,,396.00M,16.33B,18.96B,3.417B,3.75B,,,-158.00M,7.009B
2011-09,46.00M,0.00,46.00M,1.327B,,1.327B,776.00M,,73.00M,130.00M,450.00M,2.911B,,,22.31B,-8.89B,13.42B,2.02B,74.00M,2.094B,1.42B,124.00M,59.00M,,192.00M,21.87B,24.78B,708.00M,99.00M,807.00M,121.00M,928.00M,522.00M,522.00M,,522.00M,,650.00M,2.10B,1.56B,7.47B,27.00M,7.497B,3.144B,3.144B,,1.896B,135.00M,39.00M,,399.00M,15.67B,17.77B,3.418B,3.698B,,,-146.00M,6.97B
2011-06,61.00M,109.00M,170.00M,1.448B,,1.448B,685.00M,,118.00M,127.00M,223.00M,2.771B,,,22.12B,-8.839B,13.28B,2.02B,71.00M,2.091B,1.501B,127.00M,49.00M,,4.756B,21.81B,24.58B,733.00M,199.00M,932.00M,101.00M,1.033B,477.00M,477.00M,,477.00M,,736.00M,2.246B,1.69B,7.47B,37.00M,7.507B,3.034B,3.034B,1.976B,,74.00M,39.00M,,1.228B,15.51B,17.76B,0.00,3.516B,3.415B,,-146.00M,6.785B
2011-03,197.00M,122.00M,319.00M,1.513B,,1.513B,536.00M,,67.00M,132.00M,233.00M,2.80B,,,21.73B,-8.676B,13.05B,2.02B,69.00M,2.089B,1.482B,130.00M,59.00M,,4.876B,21.69B,24.49B,631.00M,95.00M,726.00M,134.00M,860.00M,899.00M,899.00M,,899.00M,,796.00M,2.555B,1.686B,6.977B,38.00M,7.015B,2.704B,2.704B,1.974B,,90.00M,44.00M,,1.628B,15.10B,17.65B,0.00,3.513B,3.428B,,-148.00M,6.793B
2010-12,65.00M,0.00,65.00M,1.753B,,1.753B,662.00M,,120.00M,139.00M,297.00M,3.167B,,,21.57B,-8.582B,12.99B,2.02B,156.00M,2.176B,1.457B,123.00M,77.00M,,117.00M,21.73B,24.90B,729.00M,95.00M,824.00M,111.00M,935.00M,,1.075B,,1.075B,142.00M,597.00M,2.749B,1.498B,7.046B,43.00M,7.089B,2.707B,2.707B,,2.141B,110.00M,45.00M,,507.00M,15.38B,18.13B,0.00,3.431B,3.44B,,-149.00M,6.722B
2010-06,124.00M,175.00M,299.00M,1.314B,,1.314B,565.00M,,87.00M,151.00M,165.00M,2.581B,,,21.14B,-8.366B,12.77B,2.024B,58.00M,2.082B,1.252B,127.00M,108.00M,,5.112B,21.45B,24.03B,684.00M,89.00M,773.00M,114.00M,887.00M,,1.335B,,1.335B,,709.00M,2.931B,,6.59B,43.00M,6.633B,2.289B,2.289B,700.00M,,145.00M,43.00M,,4.735B,14.50B,17.43B,0.00,3.305B,3.405B,,-153.00M,6.557B
2010-03,193.00M,265.00M,458.00M,1.463B,,1.463B,443.00M,,39.00M,163.00M,167.00M,2.733B,,,20.92B,-8.27B,12.65B,2.024B,54.00M,2.078B,1.336B,130.00M,150.00M,,5.122B,21.47B,24.20B,637.00M,88.00M,725.00M,148.00M,873.00M,,677.00M,,677.00M,,932.00M,2.482B,,7.248B,47.00M,7.295B,2.273B,2.273B,2.037B,,184.00M,44.00M,,3.337B,15.13B,17.61B,0.00,3.309B,3.388B,,-146.00M,6.551B
2009-12,52.00M,209.00M,261.00M,1.655B,,1.655B,509.00M,,84.00M,167.00M,201.00M,2.877B,,,20.59B,-8.157B,12.43B,2.024B,54.00M,2.078B,1.415B,113.00M,116.00M,,5.165B,21.32B,24.20B,723.00M,88.00M,811.00M,114.00M,925.00M,,998.00M,,998.00M,,722.00M,2.645B,,7.319B,51.00M,7.37B,2.181B,2.181B,2.168B,,198.00M,38.00M,,3.317B,15.23B,17.88B,0.00,3.168B,3.257B,,-147.00M,6.278B
2009-09,83.00M,271.00M,354.00M,1.217B,,1.217B,585.00M,,28.00M,226.00M,244.00M,2.654B,,,20.50B,-8.11B,12.40B,2.037B,57.00M,2.094B,1.421B,114.00M,163.00M,,5.118B,21.30B,23.96B,578.00M,87.00M,665.00M,149.00M,814.00M,,375.00M,,375.00M,,787.00M,1.976B,,7.82B,54.00M,7.874B,2.179B,2.179B,776.00M,,252.00M,36.00M,,4.63B,15.71B,17.69B,0.00,3.142B,3.235B,,-141.00M,6.236B
2009-06,42.00M,319.00M,361.00M,1.281B,,1.281B,459.00M,,69.00M,207.00M,158.00M,2.535B,,,20.36B,-7.966B,12.39B,2.037B,58.00M,2.095B,1.326B,117.00M,155.00M,,5.274B,21.36B,23.90B,611.00M,87.00M,698.00M,117.00M,815.00M,,368.00M,,368.00M,,893.00M,2.076B,,7.889B,54.00M,7.943B,2.116B,2.116B,798.00M,,269.00M,38.00M,,4.514B,15.64B,17.72B,0.00,3.072B,3.214B,,-145.00M,6.141B
2009-03,88.00M,281.00M,369.00M,1.662B,,1.662B,432.00M,,22.00M,199.00M,182.00M,2.866B,,,20.21B,-7.887B,12.32B,2.037B,59.00M,2.096B,1.257B,119.00M,,,5.526B,21.32B,24.19B,727.00M,87.00M,814.00M,144.00M,958.00M,,848.00M,,848.00M,,1.027B,2.833B,,7.438B,57.00M,7.495B,1.993B,1.993B,2.225B,,308.00M,,,3.182B,15.20B,18.04B,0.00,3.076B,3.192B,,-157.00M,6.152B
2008-12,86.00M,316.00M,402.00M,1.832B,,1.832B,539.00M,,86.00M,227.00M,242.00M,3.328B,,,20.06B,-7.834B,12.23B,2.037B,70.00M,2.107B,1.28B,115.00M,140.00M,,5.389B,21.26B,24.59B,899.00M,86.00M,985.00M,119.00M,1.104B,,1.106B,,1.106B,,803.00M,3.013B,,7.679B,62.00M,7.741B,2.054B,2.054B,871.00M,,344.00M,43.00M,,,11.01B,18.55B,0.00,2.985B,3.175B,,-165.00M,5.995B
2008-09,223.00M,,223.00M,1.695B,,1.695B,770.00M,,,,1.035B,3.723B,,,19.91B,-7.837B,12.07B,,,2.123B,,,,,5.772B,19.96B,23.69B,931.00M,87.00M,1.018B,1.058B,2.076B,,1.517B,,1.517B,,,3.593B,,7.38B,64.00M,7.444B,2.05B,99.00M,,,,45.00M,,,7.543B,17.65B,0.00,2.952B,3.172B,,-128.00M,5.996B
2008-06,445.00M,,445.00M,1.877B,,1.877B,583.00M,,,,989.00M,3.894B,,,19.67B,-7.778B,11.90B,,,2.124B,,,,,5.993B,20.01B,23.91B,1.173B,86.00M,1.259B,1.885B,3.144B,,690.00M,,690.00M,,,3.834B,,7.221B,65.00M,7.286B,1.926B,102.00M,,,,61.00M,,,7.388B,17.94B,0.00,2.862B,3.169B,,-130.00M,5.901B
