,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-06,2.028B,2.028B,771.00M,1.257B,,10.00M,77.00M,124.00M,2.00M,-122.00M,-3.00M,969.00M,288.00M,2.00M,124.00M,-122.00M,10.00M,-122.00M,176.00M,-24.00M,200.00M,,,2.00M,,202.00M,195.50M,548.00M,248.00M,300.00M,1.19,0.0,,,1.1520000000000001,1.19,1.19,0.0,,,1.1520000000000001,1.19,169.00M,170.00M,0.5875
2011-03,2.431B,2.431B,1.071B,1.36B,,14.00M,83.00M,126.00M,3.00M,-123.00M,11.00M,970.00M,390.00M,3.00M,126.00M,-123.00M,14.00M,-123.00M,281.00M,103.00M,178.00M,,,-2.00M,,176.00M,167.13M,652.00M,245.00M,407.00M,1.04,0.0,,,0.9875,1.04,1.04,0.0,,,0.9878,1.04,169.00M,170.00M,0.56
2010-12,2.141B,2.141B,3.391B,-1.25B,,,75.00M,125.00M,3.00M,-122.00M,,-1.606B,356.00M,3.00M,125.00M,-122.00M,-7.00M,-122.00M,227.00M,63.00M,164.00M,,,-4.00M,,152.00M,160.00M,604.00M,252.00M,352.00M,0.94,-0.04,,,0.94,0.9,0.94,-0.04,,,0.94,0.9,168.00M,172.00M,0.56
2010-09,2.139B,2.139B,763.00M,1.376B,,10.00M,69.00M,142.00M,3.00M,-139.00M,,989.00M,387.00M,3.00M,142.00M,-139.00M,10.00M,-139.00M,258.00M,92.00M,166.00M,,,-3.00M,,163.00M,156.57M,671.00M,271.00M,400.00M,0.97,0.0,,,0.9319,0.97,0.96,0.0,,,0.9222,0.96,169.00M,170.00M,0.56
2010-06,1.792B,1.792B,608.00M,1.184B,,8.00M,80.00M,136.00M,3.00M,-133.00M,595.00M,928.00M,256.00M,3.00M,136.00M,-133.00M,8.00M,-133.00M,131.00M,44.00M,87.00M,,,-1.00M,,86.00M,80.69M,520.00M,253.00M,267.00M,0.51,0.0,,,0.4786,0.51,0.51,0.0,,,0.4786,0.51,169.00M,169.00M,0.53
2010-03,2.453B,2.453B,995.00M,1.458B,,11.00M,82.00M,140.00M,3.00M,-137.00M,653.00M,986.00M,472.00M,3.00M,140.00M,-137.00M,11.00M,-137.00M,346.00M,116.00M,230.00M,,,-1.00M,,229.00M,221.69M,737.00M,251.00M,486.00M,1.38,0.0,,,1.3359999999999999,1.38,1.38,0.0,,,1.3359999999999999,1.38,166.00M,166.00M,0.53
2009-12,2.121B,2.121B,846.00M,1.275B,,22.00M,71.00M,136.00M,2.00M,-134.00M,635.00M,988.00M,287.00M,2.00M,136.00M,-134.00M,22.00M,-134.00M,175.00M,54.00M,121.00M,,,-1.00M,,120.00M,104.79M,593.00M,282.00M,311.00M,0.73,0.0,,,0.6372,0.73,0.73,0.0,,,0.6372,0.73,164.00M,164.00M,0.53
2009-09,1.95B,1.95B,735.00M,1.215B,,20.00M,63.00M,143.00M,11.00M,-132.00M,554.00M,883.00M,332.00M,11.00M,143.00M,-132.00M,20.00M,-132.00M,220.00M,69.00M,151.00M,,,,,151.00M,137.27M,629.00M,266.00M,363.00M,0.92,0.0,,,0.8368,0.92,0.92,0.0,,,0.8368,0.92,165.00M,165.00M,0.53
2009-06,1.688B,1.688B,577.00M,1.111B,,27.00M,61.00M,134.00M,3.00M,-131.00M,595.00M,896.00M,215.00M,3.00M,134.00M,-131.00M,27.00M,-131.00M,111.00M,27.00M,84.00M,,,-1.00M,,83.00M,62.57M,485.00M,240.00M,245.00M,0.51,0.0,,,0.3854,0.51,0.51,0.0,,,0.3854,0.51,164.00M,164.00M,0.53
2009-03,2.255B,2.255B,960.00M,1.295B,,10.00M,80.00M,132.00M,3.00M,-129.00M,588.00M,900.00M,395.00M,3.00M,132.00M,-129.00M,10.00M,-129.00M,276.00M,97.00M,179.00M,,,-1.00M,,178.00M,171.51M,640.00M,232.00M,408.00M,1.09,0.0,,,1.05,1.09,1.09,0.0,,,1.05,1.09,163.00M,163.00M,0.53
2008-12,2.17B,2.17B,974.00M,1.196B,,11.00M,75.00M,132.00M,6.00M,-126.00M,595.00M,894.00M,302.00M,6.00M,132.00M,-126.00M,11.00M,-126.00M,187.00M,57.00M,130.00M,0.00,,-1.00M,,129.00M,121.35M,543.00M,224.00M,319.00M,0.79,0.0,,,0.7431,0.79,0.79,0.0,,,0.7431,0.79,163.00M,163.00M,0.53
2008-09,2.338B,2.338B,1.034B,1.304B,,12.00M,71.00M,125.00M,5.00M,-120.00M,623.00M,929.00M,375.00M,5.00M,125.00M,-120.00M,12.00M,-120.00M,267.00M,97.00M,170.00M,8.00M,,-1.00M,,177.00M,161.36M,627.00M,235.00M,392.00M,1.03,0.05,,,0.9831,1.08,1.03,0.05,,,0.9831,1.08,163.00M,163.00M,0.53
2008-06,2.251B,2.251B,1.032B,1.219B,,9.00M,78.00M,122.00M,4.00M,-118.00M,768.00M,1.062B,157.00M,4.00M,122.00M,-118.00M,9.00M,-118.00M,48.00M,18.00M,30.00M,-4.00M,,-4.00M,,28.00M,20.38M,386.00M,215.00M,170.00M,0.17,0.0,,0.0368,0.1355,0.17,0.17,0.0,,0.0368,0.1355,0.17,163.00M,163.00M,0.53
2008-03,2.57B,2.57B,1.266B,1.304B,,138.00M,80.00M,,,,699.00M,1.005B,299.00M,,,,138.00M,,316.00M,116.00M,200.00M,12.00M,,-1.00M,,212.00M,112.66M,525.00M,225.00M,299.00M,1.23,0.08,,,0.6909,1.31,1.23,0.07,,,0.6942,1.3,162.00M,163.00M,0.53
2007-12,2.208B,2.208B,956.00M,1.252B,,30.00M,81.00M,,,,622.00M,923.00M,329.00M,,,,30.00M,,227.00M,36.00M,191.00M,64.00M,,-1.00M,,255.00M,165.76M,549.00M,210.00M,329.00M,1.17,0.39,,,1.012,1.56,1.16,0.39,,,1.003,1.55,160.00M,161.00M,0.53
2007-09,2.128B,2.128B,763.00M,1.365B,,22.00M,76.00M,,,,755.00M,1.079B,286.00M,,,,22.00M,,186.00M,34.00M,152.00M,,,-1.00M,,152.00M,134.02M,535.00M,249.00M,286.00M,0.93,0.27,,,0.821,1.2,0.92,0.27,,,0.8117,1.19,165.00M,166.00M,0.53
2007-06,1.677B,1.677B,698.00M,979.00M,,884.00M,110.00M,,,,796.00M,1.146B,-167.00M,,,,884.00M,,591.00M,243.00M,348.00M,37.00M,,-1.00M,,385.00M,-226.60M,75.00M,242.00M,-167.00M,2.0,0.21,,,-1.3019999999999998,2.21,1.99,0.21,,,-1.2930000000000001,2.2,174.00M,175.00M,0.53
2007-03,2.463B,2.463B,1.135B,1.328B,,-1.00M,90.00M,,,,734.00M,1.048B,280.00M,,,,-1.00M,,147.00M,51.00M,96.00M,38.00M,,-1.00M,,134.00M,96.65M,505.00M,225.00M,280.00M,0.54,0.22,,,0.5437,0.76,0.54,0.22,,,0.5437,0.76,176.00M,177.00M,0.53
2006-12,1.431B,1.431B,770.00M,661.00M,,101.00M,60.00M,,,,46.00M,295.00M,366.00M,,,,101.00M,,133.00M,37.00M,96.00M,46.00M,0.00,-191.00M,,142.00M,23.10M,579.00M,213.00M,366.00M,0.54,0.26,0.0,,0.1281,0.8,0.53,0.26,0.0,,0.1204,0.79,177.00M,178.00M,0.53
2006-09,2.196B,2.196B,629.00M,1.567B,,-15.00M,74.00M,,,,771.00M,1.20B,367.00M,,,,-15.00M,,248.00M,59.00M,189.00M,-1.00M,,10.00M,,188.00M,200.43M,722.00M,355.00M,367.00M,1.07,-0.01,,,1.135,1.06,1.07,-0.01,,,1.1340000000000001,1.06,177.00M,178.00M,0.515
2006-06,1.895B,1.895B,588.00M,1.307B,,-125.00M,83.00M,,,,906.00M,1.21B,97.00M,,,,-125.00M,,-40.00M,-8.00M,-32.00M,-1.00M,,109.00M,,-33.00M,68.00M,318.00M,221.00M,97.00M,-0.18,-0.01,,,0.385,-0.19,-0.18,-0.01,,,0.385,-0.19,177.00M,177.00M,0.515
2006-03,2.635B,2.635B,1.06B,1.575B,,7.00M,92.00M,,,,1.021B,1.338B,237.00M,,,,7.00M,,194.00M,58.00M,136.00M,-1.00M,1.00M,71.00M,,136.00M,131.09M,462.00M,225.00M,237.00M,0.76,0.0,0.0,,0.7323,0.77,0.76,0.0,0.0056,,0.7324,0.76,177.00M,178.00M,0.515
2005-12,1.784B,1.784B,1.084B,700.00M,,-201.00M,8.00M,,,,-192.00M,-36.00M,736.00M,,,,-201.00M,,136.00M,52.00M,84.00M,301.00M,,-246.00M,,382.00M,208.15M,945.00M,209.00M,736.00M,0.48,1.72,,,1.177,2.18,0.48,1.71,,,1.1740000000000002,2.16,178.00M,179.00M,0.515
2005-09,2.06B,2.06B,839.00M,1.221B,,122.00M,66.00M,,,,973.00M,1.278B,-57.00M,,,,122.00M,,39.00M,10.00M,29.00M,-25.00M,,88.00M,,4.00M,-61.72M,182.00M,239.00M,-57.00M,0.17,-0.15,,,-0.3454,0.02,0.17,-0.15,,,-0.3425,0.02,176.00M,177.00M,0.515
2005-06,1.941B,1.941B,638.00M,1.303B,,15.00M,89.00M,,,,927.00M,1.232B,71.00M,,,,15.00M,,36.00M,3.00M,33.00M,-4.00M,,68.00M,,29.00M,19.25M,287.00M,216.00M,71.00M,0.19,-0.02,,,0.111,0.17,0.19,-0.02,,,0.1114,0.17,174.00M,175.00M,0.515
2005-03,2.309B,2.309B,969.00M,1.34B,,77.00M,91.00M,,,,893.00M,1.192B,148.00M,,,,77.00M,,164.00M,38.00M,126.00M,-4.00M,,53.00M,,122.00M,66.84M,356.00M,208.00M,148.00M,0.72,-0.02,,,0.38,0.7,0.72,-0.02,,,0.382,0.7,174.00M,175.00M,0.515
2004-12,1.911B,1.911B,573.00M,1.338B,,40.00M,81.00M,,,,886.00M,1.171B,167.00M,,,,40.00M,,162.00M,38.00M,124.00M,-8.00M,,65.00M,,116.00M,93.38M,375.00M,208.00M,167.00M,0.6935,-0.0522,,,0.5155,0.6413,-0.43,-0.0522,,,-0.6018,0.6413,172.00M,178.19M,0.515
2004-09,1.586B,1.586B,316.00M,1.27B,,62.00M,86.00M,,,,872.00M,1.148B,122.00M,,,,62.00M,,134.00M,37.00M,97.00M,-4.00M,,66.00M,,93.00M,52.12M,312.00M,190.00M,122.00M,0.56,-0.02,,,0.3006,0.54,0.56,-0.02,,,0.3021,0.54,173.00M,174.00M,0.515
2004-06,1.501B,1.501B,377.00M,1.124B,,80.00M,60.00M,,,,851.00M,1.09B,34.00M,,,,80.00M,,53.00M,18.00M,35.00M,,,51.00M,,35.00M,-17.83M,213.00M,179.00M,34.00M,0.2,0.0,,,-0.1054,0.2,0.2,0.0,,,-0.1036,0.2,173.00M,174.00M,0.515
2004-03,2.093B,2.093B,741.00M,1.352B,,46.00M,85.00M,,,,783.00M,1.035B,317.00M,,,,46.00M,,272.00M,75.00M,197.00M,-7.00M,,30.00M,,190.00M,163.68M,484.00M,167.00M,317.00M,1.16,-0.04,,,0.964,1.12,1.15,-0.04,,,0.954,1.11,170.00M,170.00M,0.515
2003-12,1.692B,1.692B,483.00M,1.209B,,6.00M,79.00M,,,,734.00M,953.00M,256.00M,,,,6.00M,,162.00M,-67.00M,229.00M,0.00,0.00,19.00M,88.00M,229.00M,225.40M,396.00M,140.00M,256.00M,0.7638,-0.0067,0.0,,0.7423,0.7569,0.14,-0.0067,-0.0375,,0.1186,0.7569,168.00M,168.61M,0.515
