,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2012-12,83.00M,,,,91.00M,,271.00M,-49.00M,,1.00M,-185.00M,30.00M,,75.00M,57.00M,-4.00M,110.00M,83.00M,480.00M,-598.00M,,-598.00M,,8.00M,-52.00M,-585.00M,72.00M,142.00M,214.00M,10.00M,,10.00M,-107.00M,-107.00M,-6.00M,111.00M,59.00M,6.00M,65.00M,10.00M,264.00M,-192.00M,,,
2012-09,230.00M,,,,0.00,,265.00M,15.00M,,15.00M,117.00M,-76.00M,-6.00M,-31.00M,-301.00M,7.00M,333.00M,43.00M,568.00M,-383.00M,,-383.00M,,-5.00M,36.00M,-352.00M,-308.00M,59.00M,-249.00M,9.00M,,9.00M,-101.00M,-101.00M,-1.00M,-342.00M,185.00M,-126.00M,59.00M,9.00M,-1.00M,-307.00M,,,
2012-06,147.00M,,,,12.00M,,250.00M,23.00M,,,39.00M,-44.00M,5.00M,49.00M,140.00M,-60.00M,-20.00M,109.00M,541.00M,-447.00M,,-447.00M,,-4.00M,-38.00M,-489.00M,442.00M,-274.00M,168.00M,10.00M,,10.00M,-100.00M,-100.00M,-2.00M,76.00M,57.00M,128.00M,185.00M,10.00M,496.00M,-54.00M,,,
2012-03,158.00M,,,,-19.00M,,232.00M,58.00M,,,81.00M,125.00M,1.00M,-53.00M,159.00M,13.00M,-135.00M,191.00M,620.00M,-392.00M,,-392.00M,,-4.00M,53.00M,-343.00M,-86.00M,-106.00M,-192.00M,10.00M,,10.00M,-99.00M,-99.00M,-7.00M,-288.00M,68.00M,-11.00M,57.00M,10.00M,0.00,-86.00M,,,
2011-12,157.00M,,,,,,243.00M,97.00M,,40.00M,-110.00M,-14.00M,,-70.00M,,206.00M,-50.00M,6.00M,522.00M,-455.00M,,-455.00M,,11.00M,-64.00M,-508.00M,-23.00M,143.00M,120.00M,0.00,0.00,0.00,-100.00M,-100.00M,-12.00M,8.00M,46.00M,22.00M,68.00M,0.00,271.00M,-294.00M,0.00,,
2011-09,185.00M,,,,,,259.00M,109.00M,-8.00M,-8.00M,116.00M,-92.00M,,-35.00M,,-109.00M,-98.00M,-218.00M,327.00M,-310.00M,,-310.00M,,-11.00M,36.00M,-285.00M,-79.00M,125.00M,46.00M,0.00,0.00,0.00,-99.00M,-99.00M,-4.00M,-57.00M,61.00M,-15.00M,46.00M,0.00,361.00M,-440.00M,0.00,,
2011-06,200.00M,,,,,,248.00M,-34.00M,-3.00M,-3.00M,75.00M,-148.00M,,92.00M,,-95.00M,102.00M,26.00M,437.00M,-449.00M,,-449.00M,,-9.00M,-65.00M,-523.00M,-80.00M,151.00M,71.00M,0.00,-9.00M,-9.00M,-95.00M,-95.00M,-17.00M,-50.00M,197.00M,-136.00M,61.00M,0.00,547.00M,-627.00M,-9.00M,,
2011-03,178.00M,,,,,,245.00M,48.00M,11.00M,11.00M,-10.00M,125.00M,,-10.00M,,204.00M,-69.00M,240.00M,722.00M,-270.00M,,-270.00M,,-8.00M,34.00M,-244.00M,-94.00M,-150.00M,-244.00M,0.00,-9.00M,-9.00M,-95.00M,-95.00M,2.00M,-346.00M,65.00M,132.00M,197.00M,0.00,,-94.00M,-9.00M,,
2010-12,156.00M,,,,-5.00M,,252.00M,284.00M,,-5.00M,-278.00M,67.00M,,106.00M,,83.00M,-327.00M,-366.00M,316.00M,-281.00M,,-281.00M,0.00,-8.00M,-103.00M,-392.00M,16.00M,130.00M,146.00M,10.00M,0.00,10.00M,-95.00M,-95.00M,-4.00M,57.00M,84.00M,-19.00M,65.00M,10.00M,19.00M,-3.00M,0.00,,
2010-09,166.00M,,,,-1.00M,,271.00M,101.00M,,5.00M,97.00M,-166.00M,,-42.00M,,-68.00M,-5.00M,-184.00M,358.00M,-303.00M,,-303.00M,0.00,-81.00M,42.00M,-342.00M,26.00M,20.00M,46.00M,3.00M,0.00,3.00M,-89.00M,-89.00M,-16.00M,-56.00M,124.00M,-40.00M,84.00M,3.00M,595.00M,-569.00M,0.00,,
2010-06,317.00M,,,,0.00,,253.00M,36.00M,,-230.00M,146.00M,-122.00M,,16.00M,,-122.00M,40.00M,-42.00M,334.00M,-276.00M,,-276.00M,0.00,3.00M,-48.00M,-321.00M,-1.00M,0.00,-1.00M,14.00M,0.00,14.00M,-88.00M,-88.00M,-7.00M,-82.00M,193.00M,-69.00M,124.00M,14.00M,0.00,-1.00M,0.00,,
2010-03,,,,,1.00M,,251.00M,36.00M,,230.00M,114.00M,88.00M,,-68.00M,,190.00M,-25.00M,299.00M,817.00M,-239.00M,,-239.00M,19.00M,4.00M,45.00M,-171.00M,-90.00M,-327.00M,-417.00M,9.00M,0.00,9.00M,-88.00M,-88.00M,-9.00M,-505.00M,52.00M,141.00M,193.00M,9.00M,,-90.00M,0.00,,
2009-12,121.00M,,,,-14.00M,,282.00M,64.00M,,,-360.00M,75.00M,,124.00M,,,-147.00M,-308.00M,145.00M,-216.00M,,-133.00M,0.00,-41.00M,-95.00M,-269.00M,-2.00M,122.00M,120.00M,8.00M,,8.00M,-88.00M,-88.00M,53.00M,93.00M,83.00M,-31.00M,52.00M,8.00M,64.00M,56.00M,,,
2009-09,151.00M,,,,1.00M,,266.00M,53.00M,,,22.00M,-125.00M,,-92.00M,,-96.00M,193.00M,-98.00M,373.00M,-206.00M,,-206.00M,0.00,14.00M,7.00M,-185.00M,-65.00M,4.00M,-61.00M,9.00M,,9.00M,-87.00M,-87.00M,-8.00M,-147.00M,42.00M,41.00M,83.00M,9.00M,0.00,-61.00M,,,
2009-06,84.00M,,,,6.00M,,240.00M,22.00M,,,379.00M,-28.00M,,-81.00M,,-124.00M,-36.00M,110.00M,462.00M,-287.00M,,-287.00M,,-38.00M,-29.00M,-354.00M,94.00M,-129.00M,-35.00M,9.00M,,9.00M,-87.00M,-87.00M,-41.00M,-154.00M,88.00M,-46.00M,42.00M,9.00M,363.00M,-398.00M,,,
2009-03,179.00M,,,,-3.00M,,232.00M,66.00M,,,126.00M,106.00M,,-59.00M,,220.00M,-28.00M,365.00M,839.00M,-326.00M,,-326.00M,,30.00M,40.00M,-256.00M,-86.00M,-414.00M,-500.00M,9.00M,,9.00M,-86.00M,-86.00M,-4.00M,-581.00M,86.00M,2.00M,88.00M,9.00M,,-500.00M,,,
2008-12,130.00M,-128.00M,128.00M,0.00,-16.00M,,224.00M,68.00M,,,-97.00M,230.00M,,996.00M,,,-994.00M,135.00M,541.00M,-377.00M,-253.00M,-630.00M,253.00M,-156.00M,58.00M,-475.00M,297.00M,-411.00M,-114.00M,0.00,0.00,0.00,-86.00M,-86.00M,-3.00M,-203.00M,223.00M,-137.00M,86.00M,0.00,226.00M,-340.00M,0.00,59.00M,496.00M
2008-09,178.00M,-16.00M,0.00,-16.00M,-32.00M,,235.00M,100.00M,,,187.00M,-187.00M,,-359.00M,,-153.00M,-486.00M,-998.00M,-517.00M,-342.00M,0.00,-342.00M,-289.00M,30.00M,5.00M,-596.00M,-77.00M,1.055B,978.00M,0.00,0.00,0.00,-86.00M,-86.00M,-1.00M,891.00M,445.00M,-222.00M,223.00M,0.00,286.00M,692.00M,0.00,,
2008-06,33.00M,-15.00M,-128.00M,30.00M,23.00M,,215.00M,-10.00M,,,68.00M,-96.00M,,208.00M,81.00M,-183.00M,304.00M,382.00M,643.00M,-325.00M,-7.00M,-332.00M,-96.00M,-53.00M,10.00M,-471.00M,406.00M,-984.00M,273.00M,0.00,-3.00M,-3.00M,-172.00M,-86.00M,-2.00M,182.00M,77.00M,354.00M,445.00M,0.00,798.00M,-1.376B,-3.00M,-3.00M,-110.00M
2008-03,212.00M,,,,-124.00M,,225.00M,190.00M,,,99.00M,149.00M,,-127.00M,-81.00M,336.00M,13.00M,389.00M,892.00M,-329.00M,260.00M,-69.00M,82.00M,,6.00M,19.00M,,,-851.00M,,-13.00M,-13.00M,,-86.00M,-4.00M,-954.00M,120.00M,-43.00M,77.00M,,,,-13.00M,3.00M,110.00M
2007-12,255.00M,,,,-146.00M,,210.00M,54.00M,,45.00M,-485.00M,125.00M,,182.00M,27.00M,,66.00M,-85.00M,333.00M,-343.00M,286.00M,-57.00M,336.00M,,-541.00M,-262.00M,,,12.00M,,-22.00M,-22.00M,,-86.00M,-4.00M,-100.00M,156.00M,-29.00M,123.00M,,,,-22.00M,12.00M,145.00M
2007-09,197.00M,,,,-47.00M,,249.00M,94.00M,,14.00M,142.00M,-52.00M,,-307.00M,-38.00M,-145.00M,-313.00M,-713.00M,-206.00M,-335.00M,,-335.00M,0.00,,116.00M,-219.00M,,,39.00M,,-353.00M,-353.00M,,-91.00M,0.00,-405.00M,993.00M,-830.00M,156.00M,,,,-353.00M,205.00M,121.00M
2007-06,385.00M,,,,-916.00M,,242.00M,2.00M,,-14.00M,138.00M,-141.00M,,173.00M,98.00M,-133.00M,532.00M,667.00M,366.00M,-246.00M,-5.00M,-251.00M,1.145B,,141.00M,1.035B,,,-179.00M,,-278.00M,-278.00M,,-93.00M,-2.00M,-552.00M,144.00M,849.00M,993.00M,,,,-278.00M,108.00M,116.00M
2007-03,134.00M,,,,-48.00M,,225.00M,-6.00M,,,103.00M,148.00M,,-42.00M,-97.00M,278.00M,-63.00M,327.00M,632.00M,-375.00M,5.00M,-370.00M,113.00M,,33.00M,-224.00M,,,-262.00M,,-55.00M,-55.00M,,-94.00M,,-411.00M,147.00M,-3.00M,144.00M,,,,-55.00M,1.00M,155.00M
2006-12,142.00M,,,,6.00M,,213.00M,4.00M,,-48.00M,-254.00M,94.00M,,192.00M,244.00M,,-320.00M,-44.00M,273.00M,-359.00M,269.00M,-90.00M,-15.00M,,-249.00M,-354.00M,,,299.00M,8.00M,-51.00M,-43.00M,,-91.00M,-2.00M,163.00M,65.00M,82.00M,147.00M,8.00M,,,-51.00M,36.00M,150.00M
2006-09,188.00M,,,,-40.00M,,355.00M,-29.00M,,2.00M,695.00M,-143.00M,,-260.00M,94.00M,,-593.00M,-207.00M,269.00M,-326.00M,10.00M,-316.00M,0.00,,79.00M,-237.00M,,,42.00M,9.00M,0.00,9.00M,,-92.00M,-2.00M,-43.00M,76.00M,-11.00M,65.00M,9.00M,,,0.00,21.00M,108.00M
2006-06,-33.00M,,,,-47.00M,,221.00M,-11.00M,,122.00M,-324.00M,-210.00M,,97.00M,,-158.00M,644.00M,49.00M,301.00M,-383.00M,34.00M,-349.00M,-76.00M,,82.00M,-343.00M,,,138.00M,,-2.00M,-2.00M,,-91.00M,-2.00M,43.00M,75.00M,1.00M,76.00M,,,,-2.00M,31.00M,141.00M
2006-03,136.00M,,,,-22.00M,,225.00M,64.00M,,,324.00M,210.00M,,-97.00M,,158.00M,-385.00M,210.00M,613.00M,-335.00M,,-335.00M,49.00M,,26.00M,-260.00M,,,-263.00M,,-8.00M,-8.00M,,-91.00M,-4.00M,-366.00M,88.00M,-13.00M,75.00M,,,,-8.00M,1.00M,127.00M
2005-12,382.00M,,,,-200.00M,,209.00M,26.00M,,,-132.00M,184.00M,,-97.00M,-21.00M,345.00M,-288.00M,-9.00M,408.00M,-356.00M,353.00M,-3.00M,,43.00M,-361.00M,-321.00M,,,4.00M,0.00,-1.00M,-1.00M,,-92.00M,-1.00M,-90.00M,91.00M,-3.00M,88.00M,0.00,,,-1.00M,1.00M,133.00M
2005-09,4.00M,,,,-111.00M,,239.00M,56.00M,,,-501.00M,-190.00M,,387.00M,74.00M,-111.00M,67.00M,-274.00M,-86.00M,-279.00M,38.00M,-241.00M,,-109.00M,173.00M,-177.00M,,,189.00M,172.00M,-1.00M,171.00M,,-89.00M,-3.00M,268.00M,86.00M,5.00M,91.00M,172.00M,,,-1.00M,57.00M,132.00M
2005-06,29.00M,,,,-31.00M,,216.00M,14.00M,,,183.00M,-154.00M,,29.00M,2.00M,-272.00M,250.00M,38.00M,266.00M,-232.00M,16.00M,-216.00M,,,24.00M,-192.00M,,,44.00M,,-2.00M,-2.00M,,-89.00M,-1.00M,-48.00M,60.00M,26.00M,86.00M,,,,-2.00M,21.00M,128.00M
