,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2012-09,247.00M,,-44.00M,5.00M,-38.00M,68.00M,19.00M,87.00M,87.00M,-7.00M,8.00M,3.00M,-52.00M,45.00M,,49.00M,48.00M,,274.00M,416.00M,,,2012-09,-100.00M,3.00M,3.00M,-24.00M,34.00M,2.00M,-85.00M,2012-09,-3.00M,,-3.00M,56.00M,-80.00M,-24.00M,-127.00M,-127.00M,-10.00M,-164.00M,,1.504B,435.00M,105.00M,2.044B,2012-09,56.00M,0.00,-3.00M,-80.00M,,2012-09,Restated
2012-06,337.00M,,39.00M,-4.00M,35.00M,67.00M,17.00M,84.00M,84.00M,-10.00M,,9.00M,9.00M,-92.00M,,-50.00M,-180.00M,,436.00M,114.00M,,,2012-06,-98.00M,0.00,0.00,-67.00M,-3.00M,0.00,-168.00M,2012-06,-2.00M,,-2.00M,18.00M,-100.00M,-82.00M,-121.00M,-121.00M,-10.00M,-215.00M,,1.41B,186.00M,-92.00M,1.504B,2012-06,18.00M,0.00,-2.00M,-100.00M,,2012-06,Restated
2012-03,354.00M,,-20.00M,-20.00M,-28.00M,66.00M,17.00M,83.00M,83.00M,35.00M,,11.00M,11.00M,-101.00M,,-119.00M,151.00M,,-889.00M,-958.00M,,,2012-03,-51.00M,1.00M,1.00M,-60.00M,-5.00M,-1.00M,-116.00M,2012-03,-4.00M,,-4.00M,77.00M,0.00,77.00M,-121.00M,-121.00M,-97.00M,-145.00M,,2.113B,-764.00M,61.00M,1.41B,2012-03,77.00M,248.00M,-252.00M,0.00,,2012-03,Restated
2011-12,260.00M,,,4.00M,26.00M,67.00M,15.00M,82.00M,82.00M,87.00M,0.00,5.00M,5.00M,21.00M,,195.00M,-142.00M,,176.00M,250.00M,,,2011-12,-75.00M,-1.00M,-1.00M,-104.00M,-2.00M,-2.00M,-184.00M,2011-12,-3.00M,672.00M,669.00M,39.00M,0.00,39.00M,-122.00M,-122.00M,-702.00M,-116.00M,,1.714B,410.00M,-11.00M,2.113B,2011-12,39.00M,0.00,669.00M,0.00,,2011-12,Restated
2011-09,135.00M,,,1.00M,73.00M,67.00M,18.00M,85.00M,85.00M,18.00M,0.00,4.00M,4.00M,192.00M,,145.00M,-8.00M,,21.00M,350.00M,,,2011-09,-63.00M,3.00M,3.00M,-21.00M,31.00M,-2.00M,-52.00M,2011-09,494.00M,-672.00M,-178.00M,11.00M,-126.00M,-115.00M,-123.00M,-123.00M,-4.00M,-420.00M,,1.659B,193.00M,-138.00M,1.714B,2011-09,11.00M,496.00M,-674.00M,-126.00M,,2011-09,Restated
2011-06,289.00M,,,6.00M,7.00M,66.00M,16.00M,82.00M,82.00M,-37.00M,,5.00M,5.00M,102.00M,,348.00M,-2.00M,,-88.00M,360.00M,,,2011-06,-75.00M,0.00,0.00,-9.00M,33.00M,-2.00M,-53.00M,2011-06,-4.00M,,-4.00M,23.00M,-235.00M,-212.00M,-118.00M,-118.00M,-9.00M,-343.00M,,1.33B,310.00M,19.00M,1.659B,2011-06,23.00M,0.00,-4.00M,-235.00M,,2011-06,Restated
2011-03,331.00M,,,-19.00M,-19.00M,67.00M,16.00M,83.00M,83.00M,110.00M,,7.00M,7.00M,-172.00M,,-579.00M,-73.00M,,-64.00M,-888.00M,,,2011-03,-67.00M,1.00M,1.00M,-103.00M,0.00,1.00M,-168.00M,2011-03,-2.00M,,-2.00M,89.00M,,89.00M,-117.00M,-117.00M,-98.00M,-128.00M,,1.894B,-672.00M,108.00M,1.33B,2011-03,89.00M,0.00,-2.00M,,,2011-03,Restated
2010-12,206.00M,,,-19.00M,66.00M,69.00M,14.00M,83.00M,83.00M,56.00M,,4.00M,4.00M,32.00M,,302.00M,67.00M,,-144.00M,257.00M,,,2010-12,-78.00M,3.00M,3.00M,-236.00M,33.00M,-4.00M,-282.00M,2010-12,-2.00M,,-2.00M,13.00M,-86.00M,-73.00M,-119.00M,-119.00M,-5.00M,-199.00M,,1.695B,191.00M,8.00M,1.894B,2010-12,13.00M,0.00,-2.00M,-86.00M,,2010-12,Restated
2010-09,171.00M,,,4.00M,-49.00M,68.00M,16.00M,84.00M,84.00M,-62.00M,,3.00M,3.00M,177.00M,,-270.00M,-9.00M,,-267.00M,-369.00M,,,2010-09,-50.00M,-5.00M,-5.00M,1.025B,1.00M,-1.00M,970.00M,2010-09,-553.00M,0.00,-553.00M,10.00M,0.00,10.00M,-112.00M,-112.00M,-11.00M,-666.00M,,1.51B,82.00M,103.00M,1.695B,2010-09,10.00M,0.00,-553.00M,0.00,,2010-09,
2010-06,242.00M,,,-17.00M,-13.00M,74.00M,19.00M,93.00M,93.00M,-78.00M,,5.00M,5.00M,-352.00M,,600.00M,0.00,,26.00M,274.00M,,,2010-06,-63.00M,7.00M,7.00M,8.00M,38.00M,-1.00M,-11.00M,2010-06,-2.00M,,-2.00M,8.00M,0.00,8.00M,-112.00M,-112.00M,-3.00M,-109.00M,,1.167B,403.00M,-60.00M,1.51B,2010-06,8.00M,,-2.00M,0.00,,2010-06,Restated
2010-03,252.00M,,,-8.00M,18.00M,80.00M,17.00M,97.00M,97.00M,100.00M,,6.00M,6.00M,-73.00M,,-655.00M,-7.00M,,11.00M,-724.00M,,,2010-03,-80.00M,1.00M,1.00M,-87.00M,19.00M,5.00M,-142.00M,2010-03,-2.00M,,-2.00M,10.00M,,10.00M,-109.00M,-109.00M,-55.00M,-156.00M,,1.777B,-549.00M,-61.00M,1.167B,2010-03,10.00M,,-2.00M,,,2010-03,Restated
2009-12,25.00M,,,-22.00M,-12.00M,78.00M,10.00M,88.00M,88.00M,17.00M,0.00,3.00M,3.00M,-127.00M,,402.00M,233.00M,-64.00M,-330.00M,114.00M,,,2009-12,-96.00M,0.00,0.00,-66.00M,36.00M,4.00M,-122.00M,2009-12,-2.00M,,-2.00M,6.00M,32.00M,38.00M,,-109.00M,-33.00M,-106.00M,,1.813B,7.00M,-43.00M,1.777B,2009-12,6.00M,0.00,-2.00M,32.00M,,2009-12,Restated
2009-09,225.00M,,,-20.00M,-13.00M,78.00M,16.00M,94.00M,94.00M,9.00M,0.00,8.00M,319.00M,144.00M,,178.00M,-34.00M,24.00M,10.00M,322.00M,,,2009-09,-66.00M,3.00M,3.00M,4.00M,9.00M,-4.00M,-54.00M,2009-09,-2.00M,,-2.00M,8.00M,-32.00M,-24.00M,,-115.00M,21.00M,-120.00M,,1.291B,467.00M,55.00M,1.813B,2009-09,8.00M,0.00,-2.00M,-32.00M,,2009-09,Restated
2009-06,-189.00M,,,34.00M,61.00M,77.00M,16.00M,93.00M,93.00M,0.00,315.00M,,4.00M,-107.00M,,169.00M,-183.00M,153.00M,-102.00M,-70.00M,,,2009-06,-74.00M,3.00M,3.00M,66.00M,2.00M,5.00M,2.00M,2009-06,-401.00M,,-401.00M,9.00M,,9.00M,,-105.00M,-1.00M,-498.00M,,1.414B,-282.00M,159.00M,1.291B,2009-06,9.00M,1.00M,-402.00M,,,2009-06,Restated
2009-03,180.00M,,,16.00M,28.00M,74.00M,16.00M,90.00M,90.00M,16.00M,,,,9.00M,,-628.00M,-44.00M,-113.00M,12.00M,-764.00M,,,2009-03,-69.00M,1.00M,1.00M,-2.00M,6.00M,2.00M,-62.00M,2009-03,395.00M,,395.00M,11.00M,,11.00M,,-102.00M,-44.00M,260.00M,,1.685B,-252.00M,-19.00M,1.414B,2009-03,11.00M,397.00M,-2.00M,,,2009-03,Restated
2008-12,91.00M,,,20.00M,14.00M,83.00M,19.00M,102.00M,102.00M,47.00M,540.00M,,98.00M,289.00M,,-207.00M,-9.00M,250.00M,66.00M,389.00M,,,2008-12,-52.00M,0.00,334.00M,44.00M,64.00M,-54.00M,2.00M,2008-12,-260.00M,,-2.00M,-53.00M,0.00,-53.00M,,-104.00M,,-198.00M,,1.461B,545.00M,-321.00M,1.685B,2008-12,-53.00M,0.00,-260.00M,0.00,,2008-12,Restated
2008-09,-13.00M,,,-12.00M,48.00M,81.00M,17.00M,98.00M,98.00M,-16.00M,-540.00M,,454.00M,252.00M,,347.00M,120.00M,-197.00M,-37.00M,485.00M,,,2008-09,-110.00M,9.00M,-325.00M,-78.00M,6.00M,58.00M,-115.00M,2008-09,256.00M,,-2.00M,96.00M,24.00M,120.00M,,-102.00M,,16.00M,,1.165B,417.00M,-121.00M,1.461B,2008-09,96.00M,,256.00M,24.00M,,2008-09,
