,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2014-07,2.878B,3.032B,2.533B,5.564B,585.40M,585.40M,17.10M,,87.10M,104.20M,240.70M,,253.60M,,6.748B,0.0,265.70M,605.70M,1.233B,,14.00M,103.90M,2.222B,-1.124B,1.098B,988.10M,107.00M,1.095B,26.40M,,241.00M,263.80M,2.724B,9.472B,183.10M,,183.10M,,183.10M,,,,,,,1.656B,1.656B,318.40M,2.401B,1.494B,,1.494B,,1.420B,1.420B,320.80M,3.235B,5.636B,0.30M,36.10M,3.791B,,,,9.10M,3.837B
2014-04,2.174B,2.291B,2.712B,5.003B,855.90M,855.90M,17.60M,,104.80M,122.40M,219.40M,,270.30M,,6.471B,0.0,265.70M,541.70M,1.209B,,72.90M,102.90M,2.192B,-1.084B,1.109B,988.10M,121.50M,1.110B,36.00M,,245.00M,243.10M,2.742B,9.214B,247.00M,,247.00M,73.00M,320.00M,,,,,,,1.654B,1.654B,313.00M,2.695B,990.10M,,990.10M,,1.446B,1.446B,296.20M,2.733B,5.427B,0.30M,1.10M,3.776B,,,,9.10M,3.786B
2014-01,1.990B,2.153B,2.917B,5.069B,584.30M,584.30M,18.90M,,99.30M,118.20M,210.60M,,247.00M,,6.229B,0.0,265.70M,540.60M,1.274B,,61.20M,102.30M,2.244B,-1.116B,1.129B,988.10M,136.10M,1.124B,40.40M,,224.30M,253.70M,2.771B,9.001B,186.60M,,186.60M,,186.60M,,,,,,,1.566B,1.566B,374.00M,2.424B,995.20M,,995.20M,,1.393B,1.393B,272.70M,2.661B,5.085B,0.30M,0.00,3.909B,0.00,,,6.70M,3.916B
2013-10,2.089B,2.260B,3.012B,5.273B,590.40M,590.40M,10.80M,,105.10M,115.90M,192.30M,7.70M,241.00M,,6.42B,0.0,265.70M,540.80M,1.263B,,39.60M,101.80M,2.211B,-1.068B,1.143B,988.10M,150.90M,1.139B,39.50M,,211.80M,244.20M,2.777B,9.197B,223.80M,,223.80M,,223.80M,,,,,,,1.526B,1.526B,352.40M,2.409B,995.00M,,995.00M,,1.406B,1.406B,267.20M,2.668B,5.077B,0.30M,115.50M,3.998B,0.00,,,6.30M,4.120B
2013-07,1.328B,1.797B,3.287B,5.084B,533.30M,533.30M,13.60M,,102.90M,116.50M,212.60M,8.30M,246.90M,,6.202B,0.0,265.70M,540.50M,1.242B,,23.20M,101.00M,2.172B,-1.009B,1.163B,988.10M,165.70M,1.154B,42.20M,,209.40M,247.50M,2.816B,9.018B,218.70M,,218.70M,,218.70M,,,,,,,1.529B,1.529B,341.90M,2.330B,994.80M,,994.80M,,1.412B,1.412B,262.80M,2.670B,5.000B,0.40M,2.313B,4.633B,2.927B,,,-1.30M,4.018B
2013-04,1.635B,3.277B,3.676B,6.953B,800.90M,800.90M,16.30M,,123.20M,139.50M,271.50M,,253.70M,,8.418B,0.0,265.50M,534.80M,1.219B,,19.90M,100.30M,2.139B,-968.40M,1.171B,988.10M,180.60M,1.169B,42.00M,,200.40M,242.20M,2.824B,11.24B,259.70M,,259.70M,,259.70M,,,,1.258B,,1.258B,1.563B,1.563B,401.80M,3.831B,994.60M,,994.60M,,1.446B,1.446B,253.50M,2.694B,6.525B,0.50M,2.897B,4.739B,2.927B,,,8.70M,4.718B
2013-01,1.069B,3.082B,3.642B,6.724B,633.80M,633.80M,21.70M,,151.20M,172.90M,247.30M,7.80M,262.90M,,8.049B,0.0,265.50M,496.40M,1.191B,,68.30M,99.30M,2.120B,-931.10M,1.189B,978.10M,193.80M,1.172B,42.20M,,174.00M,240.00M,2.817B,10.87B,221.20M,,221.20M,,221.20M,,,,1.243B,,1.243B,1.477B,1.477B,398.90M,3.621B,994.30M,,994.30M,,1.399B,1.399B,226.90M,2.620B,6.241B,0.50M,2.850B,4.694B,2.927B,,,8.60M,4.625B
2012-10,1.275B,1.817B,3.754B,5.571B,615.00M,615.00M,52.90M,,160.30M,213.20M,233.50M,6.60M,248.40M,,6.888B,0.0,247.60M,447.60M,1.167B,,99.90M,104.50M,2.067B,-934.20M,1.132B,905.20M,193.10M,1.098B,46.50M,,190.30M,198.70M,2.666B,9.554B,246.60M,,246.60M,,246.60M,,,1.229B,1.229B,,1.229B,1.408B,1.408B,378.20M,3.574B,,,,,1.362B,1.362B,216.30M,1.578B,5.152B,0.50M,2.735B,4.586B,2.927B,,,8.20M,4.402B
2012-07,843.50M,1.529B,3.912B,5.441B,584.90M,584.90M,65.20M,,138.50M,203.70M,275.90M,7.90M,228.00M,-0.70M,6.741B,0.0,247.60M,444.00M,1.135B,,90.30M,100.00M,2.017B,-877.50M,1.139B,905.20M,214.60M,1.120B,46.30M,,179.60M,180.40M,2.665B,9.406B,275.60M,,275.60M,,275.60M,,,1.216B,1.216B,,1.216B,1.404B,1.404B,346.90M,3.460B,,,,,1.363B,1.363B,207.30M,1.570B,5.030B,0.50M,2.766B,4.532B,2.927B,,,5.20M,4.376B
2012-04,649.80M,1.550B,3.849B,5.398B,830.90M,830.90M,30.90M,,130.60M,161.50M,225.40M,201.60M,8.60M,,6.826B,0.0,247.60M,417.90M,1.091B,,107.10M,96.50M,1.960B,-823.30M,1.137B,905.20M,236.00M,1.141B,51.00M,,203.80M,172.60M,2.706B,9.532B,233.10M,,233.10M,,233.10M,,,,1.202B,,1.202B,1.366B,1.366B,377.60M,3.520B,,,,,1.449B,1.449B,206.90M,1.656B,5.176B,0.50M,2.805B,4.410B,2.927B,,,4.90M,4.356B
2012-01,,2.421B,2.445B,4.866B,685.40M,685.40M,15.60M,0.00,138.20M,153.80M,,,,462.40M,6.168B,0.0,206.10M,417.30M,1.034B,,107.70M,92.80M,1.858B,-775.70M,1.082B,905.20M,257.50M,1.163B,51.00M,,183.90M,174.50M,2.654B,8.822B,220.20M,,220.20M,,220.20M,0.00,,,0.00,,0.00,1.309B,1.309B,358.80M,2.158B,1.189B,,1.189B,,1.236B,1.236B,197.30M,2.623B,4.780B,0.50M,2.625B,4.339B,2.927B,,,4.60M,4.042B
2011-10,,2.269B,2.373B,4.642B,625.20M,625.20M,29.80M,0.50M,133.00M,163.30M,190.00M,4.50M,205.40M,,5.83B,0.0,206.10M,417.30M,941.30M,,156.30M,82.50M,1.804B,-757.40M,1.046B,904.00M,279.10M,1.183B,56.00M,,213.30M,175.60M,2.674B,8.504B,273.20M,,273.20M,,273.20M,0.00,,,0.00,,0.00,1.247B,1.247B,331.10M,2.122B,1.176B,,1.176B,,1.192B,1.192B,211.10M,2.579B,4.701B,0.50M,2.512B,4.211B,2.927B,,,7.00M,3.803B
2011-07,,2.543B,2.171B,4.714B,597.00M,597.00M,17.20M,0.40M,120.60M,138.20M,,,,388.30M,5.838B,0.0,206.10M,417.00M,876.10M,,132.10M,83.40M,1.715B,-721.40M,993.30M,904.00M,300.80M,1.205B,60.10M,,,350.00M,2.608B,8.446B,250.80M,,250.80M,,250.80M,1.163B,,,1.163B,,1.163B,1.241B,1.241B,298.90M,3.171B,101.90M,,101.90M,,1.142B,1.142B,206.10M,1.450B,4.621B,0.50M,2.652B,4.084B,2.927B,,,15.20M,3.825B
2011-04,1.169B,2.757B,2.417B,5.175B,742.60M,742.60M,7.60M,,100.90M,108.50M,188.40M,5.30M,145.70M,,6.365B,0.0,204.70M,406.20M,807.40M,,91.90M,79.30M,1.590B,-677.90M,911.60M,760.30M,53.00M,813.30M,65.10M,,213.20M,130.40M,2.134B,8.499B,232.80M,,232.80M,,232.80M,,,1.150B,1.150B,,1.150B,1.227B,1.227B,325.80M,3.373B,,,,,1.088B,1.088B,192.90M,1.281B,4.654B,0.50M,2.674B,3.970B,2.927B,,,12.80M,3.845B
2011-01,,1.919B,2.836B,4.756B,541.50M,541.50M,3.50M,0.20M,93.50M,97.20M,,,,204.40M,5.599B,0.0,204.70M,405.10M,737.60M,,80.20M,75.70M,1.503B,-641.10M,862.20M,737.00M,,737.00M,69.20M,35.40M,,460.90M,2.165B,7.763B,183.60M,,183.60M,,183.60M,,,,,,,1.177B,1.177B,269.00M,1.942B,1.138B,,1.138B,,966.40M,966.40M,203.50M,2.308B,4.25B,0.50M,2.480B,3.953B,2.927B,,,7.20M,3.513B
2010-10,,1.771B,2.610B,4.382B,446.60M,446.60M,8.90M,0.10M,75.70M,84.70M,,,,218.30M,5.131B,0.0,204.70M,402.00M,55.70M,684.40M,62.10M,76.00M,1.485B,-639.60M,845.30M,737.00M,38.80M,775.80M,69.80M,,,415.80M,2.107B,7.238B,175.90M,,175.90M,277.60M,453.50M,,,,,,,1.136B,1.136B,245.40M,1.834B,1.125B,,1.125B,,866.40M,866.40M,204.10M,2.196B,4.030B,0.50M,2.307B,3.816B,2.927B,,,11.00M,3.207B
2010-07,,1.612B,2.309B,3.921B,372.50M,372.50M,8.20M,0.20M,82.00M,90.40M,,,,210.40M,4.594B,0.0,204.70M,395.20M,731.90M,,43.80M,75.00M,1.451B,-625.20M,825.40M,737.00M,43.20M,780.20M,71.20M,,,374.80M,2.052B,6.646B,149.90M,,149.90M,188.80M,338.70M,,,,,,,1.127B,1.127B,199.90M,1.665B,1.113B,,1.113B,,821.00M,821.00M,196.10M,2.130B,3.796B,0.50M,2.143B,3.629B,2.927B,,,4.80M,2.850B
2010-04,,1.705B,2.019B,3.724B,471.50M,471.50M,9.40M,0.20M,103.30M,112.90M,,,,228.70M,4.537B,0.0,204.70M,394.80M,691.80M,,37.00M,73.70M,1.402B,-597.60M,804.40M,681.00M,,681.00M,72.80M,25.10M,,374.00M,1.957B,6.494B,184.60M,,184.60M,,184.60M,0.00,,,0.00,,0.00,1.135B,1.135B,212.20M,1.911B,1.102B,,1.102B,,779.50M,779.50M,171.90M,2.053B,3.964B,0.50M,2.001B,3.454B,2.927B,,,2.80M,2.530B
2010-01,,1.976B,1.257B,3.233B,457.54M,457.54M,1.78M,0.173M,70.10M,72.05M,143.95M,,110.60M,,4.017B,,,,,,,,,,797.96M,680.99M,30.02M,711.01M,72.82M,,369.44M,,1.951B,5.969B,139.14M,6.803M,145.95M,201.19M,347.13M,,,,,,,1.065B,1.065B,,1.682B,1.089B,140.26M,1.230B,,730.37M,730.37M,,1.960B,3.642B,0.449M,1.856B,3.392B,2.927B,,,6.321M,2.327B
2009-10,,1.729B,1.227B,2.956B,318.03M,318.03M,1.64M,0.236M,59.26M,61.14M,115.52M,,140.35M,,3.591B,,,,,,,,,,780.38M,680.99M,34.97M,715.96M,116.41M,,361.18M,,1.974B,5.565B,118.81M,3.02M,121.83M,399.86M,521.69M,,,,,,,1.017B,1.017B,,1.539B,1.078B,,1.078B,,704.84M,704.84M,139.40M,1.922B,3.461B,0.442M,1.748B,3.276B,2.927B,,,6.425M,2.103B
2009-07,,1.784B,878.41M,2.663B,331.66M,331.66M,5.156M,0.078M,56.42M,61.66M,112.66M,,164.93M,,3.334B,,,,,,,,,,796.27M,680.99M,40.14M,721.12M,128.50M,,335.30M,,1.981B,5.315B,122.19M,2.073M,124.26M,306.61M,430.87M,,,,,,,1.029B,1.029B,,1.460B,1.067B,,1.067B,,685.77M,685.77M,153.50M,1.906B,3.366B,0.44M,1.652B,3.220B,2.927B,,,3.504M,1.949B
