,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2006-06,122.35M,203.48M,325.82M,,,207.56M,,,533.39M,,,,,,,,4.665B,1.206B,,,,5.872B,6.762B,749.82M,82.32M,832.14M,832.14M,,,,832.14M,2.389B,,2.389B,308.80M,,,2.389B,3.560B,3.106M,100.21M,2.741B,0.70M,49.03M,2.893B
2006-03,158.88M,206.58M,365.46M,,,219.40M,,,584.85M,,,,,,,,4.398B,1.145B,,,,5.543B,6.376B,662.52M,82.26M,744.78M,744.78M,,,,744.78M,2.212B,,2.212B,240.89M,,,2.212B,3.273B,3.104M,73.79M,2.736B,0.70M,49.69M,2.862B
2005-12,,,,,,,,,,,,,,,,,,,,,,,5.535B,,,,,,,,,,,,,,,,3.147B,,,,,,2.387B
2005-09,69.94M,205.00M,274.94M,,,209.07M,,,484.00M,,,,,,,,3.553B,918.94M,,,,4.472B,5.168B,520.65M,77.90M,598.56M,598.56M,,,,598.56M,1.836B,,1.836B,124.17M,,,1.836B,2.700B,2.973M,30.36M,2.242B,0.70M,69.45M,2.345B
2005-06,47.38M,190.48M,237.86M,,,202.11M,,,439.97M,,,,,,,,3.536B,840.28M,,,,4.376B,4.990B,,,508.24M,508.24M,,,,508.24M,1.758B,,1.758B,114.12M,,,1.758B,2.562B,1.833M,22.92M,2.232B,0.70M,57.24M,2.314B
2005-03,96.14M,171.97M,268.11M,,,198.56M,,,466.67M,,,,,,,,3.419B,800.11M,,,,4.219B,4.839B,522.81M,71.89M,594.70M,594.70M,,,,594.70M,1.619B,,1.619B,112.54M,,,1.619B,2.444B,1.831M,11.13M,2.221B,0.70M,47.70M,2.282B
2004-12,0.00,123.77M,123.77M,,,,,,123.77M,,,,,,,,3.458B,,,,,3.458B,4.750B,,,,,,,,,2.119B,,2.119B,106.89M,,,2.119B,2.406B,1.124M,-3.749M,2.201B,,,2.236B
2004-09,134.03M,64.46M,198.49M,,,180.46M,,,378.94M,,,,,,,,3.206B,649.00M,,,,3.855B,4.377B,,,441.99M,441.99M,,,,441.99M,1.377B,,1.377B,102.59M,,,1.377B,2.063B,1.82M,-8.068M,2.189B,0.70M,28.97M,2.211B
2004-06,55.35M,45.61M,100.96M,,,157.83M,,,258.79M,,,,,,,,3.302B,623.21M,,,,3.925B,4.322B,,,476.72M,476.72M,,,,476.72M,1.362B,,1.362B,97.31M,,,1.362B,2.054B,1.812M,-19.81M,2.164B,0.70M,23.60M,2.170B
2004-03,55.69M,46.28M,101.97M,,,159.57M,,,261.54M,,,,,,,,3.762B,581.24M,,,,4.343B,4.767B,,,546.21M,546.21M,,,,546.21M,1.701B,,1.701B,124.10M,,,1.701B,2.484B,1.811M,-24.94M,2.159B,0.70M,22.84M,2.159B
