,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,304.08M,304.08M,86.58M,217.50M,22.40M,22.40M,-7.646M,2.131M,,49.94M,,-49.94M,,105.91M,111.58M,,49.94M,-49.94M,55.50M,-49.94M,117.14M,0.052M,143.98M,,,0.108M,14.59M,144.09M,94.79M,248.47M,81.38M,167.09M,0.3,,,,0.1836,0.3,0.3,,,,0.1839,0.3,423.40M,424.52M,0.28
2017-12,493.82M,315.22M,88.66M,226.56M,27.97M,27.97M,-33.05M,1.429M,,52.13M,,-52.13M,,114.42M,112.14M,,52.13M,-52.13M,59.23M,-52.13M,119.24M,1.344M,146.67M,,,0.33M,11.43M,84.90M,179.68M,256.39M,85.02M,171.37M,0.0992,,0.0,,0.1763,0.17,0.0991,,0.0741,,0.1762,0.17,423.73M,423.73M,0.28
2017-09,235.36M,294.84M,81.39M,213.46M,21.52M,21.52M,-4.697M,0.701M,,47.26M,,-47.26M,,110.67M,102.79M,,47.26M,-47.26M,-3.596M,-47.26M,51.94M,-0.697M,81.68M,,40.53M,-1.186M,12.06M,121.03M,83.32M,187.64M,88.44M,99.19M,0.1437,,0.0,,0.1504,0.24,0.1436,,0.0955,,0.1502,0.24,423.69M,424.31M,0.27
2017-06,236.20M,297.18M,84.22M,212.96M,19.96M,19.96M,-29.72M,2.096M,,46.09M,,-46.09M,,117.33M,95.63M,,46.09M,-46.09M,-28.28M,-46.09M,21.26M,-1.034M,134.79M,,19.88M,-11.26M,11.56M,143.42M,141.36M,162.62M,95.27M,67.35M,0.2628,,0.0,,0.3049,0.31,0.2626,,0.0468,,0.3046,0.31,423.65M,424.94M,0.27
2017-03,235.46M,293.59M,83.63M,209.96M,22.23M,22.23M,-1.617M,1.404M,,46.48M,,-46.48M,,115.71M,94.25M,,46.48M,-46.48M,-0.344M,-46.48M,47.43M,-0.493M,76.53M,,1.686M,-1.482M,11.56M,76.73M,76.02M,185.98M,92.07M,93.91M,0.15,0.0,0.0,,0.1523,0.15,0.15,0.0,0.004,,0.1523,0.15,423.38M,424.15M,0.27
2016-12,58.01M,297.03M,112.42M,184.61M,-3.044M,-3.044M,-25.14M,-0.189M,,43.07M,,-43.07M,,87.65M,96.96M,,43.07M,-43.07M,69.93M,-43.07M,123.82M,5.291M,156.62M,,,-2.413M,11.56M,78.27M,178.27M,257.77M,90.88M,166.89M,0.16,0.0,0.0,,0.2169,0.16,0.16,0.0,0.0256,,0.2167,0.16,423.12M,424.13M,0.27
2016-09,285.08M,285.08M,73.02M,212.06M,27.98M,27.98M,-55.75M,1.092M,,46.55M,,-46.55M,,125.90M,86.15M,,46.55M,-46.55M,-51.39M,-46.55M,-11.79M,61.43M,-51.32M,,9.771M,-1.997M,11.56M,-43.54M,-19.87M,131.59M,96.83M,34.76M,-0.1556,,0.0,,-0.076,-0.13,-0.1556,,0.0233,,-0.076,-0.13,420.07M,420.07M,0.255
2016-06,291.49M,291.49M,71.74M,219.75M,29.93M,29.93M,-52.21M,1.185M,,50.48M,,-50.48M,,113.87M,105.88M,,50.48M,-50.48M,-53.22M,-50.48M,2.176M,-0.246M,165.58M,,39.27M,-1.437M,11.56M,203.41M,195.47M,135.41M,82.75M,52.66M,0.3627,,0.0,,0.4377,0.46,0.3614,,0.0937,,0.4361,0.46,417.75M,419.30M,0.255
2016-03,297.20M,297.20M,71.84M,225.36M,31.93M,31.93M,-5.84M,3.475M,,52.45M,,-52.45M,,120.26M,105.10M,,52.45M,-52.45M,-6.01M,-52.45M,46.64M,12.11M,115.26M,,26.90M,-1.441M,11.56M,140.71M,118.14M,183.94M,84.86M,99.09M,0.2463,,0.0,,0.2568,0.31,0.2454,,0.0649,,0.2559,0.31,412.63M,414.14M,0.255
2015-12,300.87M,300.87M,80.73M,220.14M,33.41M,33.41M,-17.48M,0.751M,,56.15M,1.05M,-57.60M,,120.26M,99.88M,1.05M,56.15M,-57.60M,-12.40M,-57.60M,29.88M,48.30M,339.12M,,39.59M,0.49M,13.36M,379.28M,350.09M,172.13M,86.10M,86.03M,0.87,0.0,0.0,,0.8955,0.87,0.87,0.0,0.0958,,0.8955,0.87,411.67M,411.67M,0.255
2015-09,288.38M,288.38M,74.40M,213.98M,27.31M,27.31M,-6.058M,1.92M,,54.03M,5.692M,-47.89M,,132.94M,81.04M,5.692M,54.03M,-47.89M,-5.443M,-47.89M,27.71M,2.844M,53.42M,0.00,27.66M,-3.512M,14.57M,77.57M,55.34M,185.45M,103.71M,81.74M,0.15,0.0,0.0,,0.1632,0.15,0.15,0.0,0.067,,0.1632,0.15,411.49M,412.69M,0.24
2015-06,294.06M,294.06M,75.82M,218.24M,29.31M,29.31M,-15.46M,1.107M,,56.13M,32.10M,-23.11M,,110.57M,107.67M,32.10M,56.13M,-23.11M,-14.99M,-23.11M,69.57M,-3.628M,101.11M,0.00,26.50M,-0.609M,14.57M,127.00M,109.78M,205.86M,80.16M,125.70M,0.27,0.0,0.0,,0.2926,0.27,0.27,0.0,0.0641,,0.2925,0.27,411.32M,413.09M,0.24
2015-03,283.46M,283.46M,73.53M,209.93M,32.70M,32.70M,-6.391M,2.297M,,52.58M,,-51.44M,,109.57M,100.36M,,52.58M,-51.44M,-7.159M,-51.44M,41.76M,12.72M,280.76M,-0.075M,32.06M,-2.397M,14.57M,310.34M,282.81M,168.90M,74.57M,94.33M,0.72,0.0,0.0,,0.7308,0.72,0.71,0.0,0.0772,,0.7207,0.71,410.43M,415.40M,0.24
2014-12,264.51M,264.51M,71.10M,193.42M,27.68M,27.68M,-11.42M,0.788M,,49.82M,0.323M,-48.92M,,101.23M,92.19M,0.323M,49.82M,-48.92M,-15.66M,-48.92M,27.62M,7.745M,74.46M,-23.70M,0.00,2.02M,14.57M,52.78M,84.69M,150.62M,73.18M,77.44M,0.14,-0.05,0.0,,0.1601,0.09,0.14,-0.05,0.0,,0.1599,0.09,409.75M,412.09M,0.24
2014-09,255.23M,255.23M,65.59M,189.64M,28.63M,28.63M,-2.591M,0.901M,,51.22M,0.264M,-50.54M,,96.66M,92.98M,0.264M,51.22M,-50.54M,-3.988M,-50.54M,38.45M,5.252M,105.45M,91.86M,0.00,-2.601M,14.57M,194.71M,105.09M,160.29M,70.62M,89.67M,0.21,0.23,0.0,,0.2155,0.44,0.21,0.23,0.0,,0.2154,0.44,409.33M,411.10M,0.225
2014-06,245.96M,245.96M,63.20M,182.76M,28.77M,28.77M,-25.64M,1.741M,,52.47M,0.326M,-51.72M,,92.63M,90.13M,0.326M,52.47M,-51.72M,-26.12M,-51.72M,12.29M,0.94M,128.99M,-37.43M,0.389M,-2.438M,14.57M,89.51M,150.23M,132.39M,67.63M,64.76M,0.28,-0.1,0.0,,0.3379,0.18,0.27,-0.1,0.0009,,0.3273,0.18,408.90M,413.34M,0.225
2014-03,228.19M,228.19M,58.73M,169.46M,37.12M,37.12M,-0.161M,1.452M,,50.24M,0.053M,-48.49M,,94.63M,74.83M,0.053M,50.24M,-48.49M,-2.585M,-48.49M,23.75M,8.515M,75.60M,20.26M,0.00,-8.86M,14.57M,87.00M,66.84M,135.66M,61.67M,74.00M,0.14,0.04,0.0,,0.1403,0.18,0.14,0.04,0.0,,0.1403,0.18,408.37M,409.44M,0.225
2013-12,205.08M,205.08M,56.42M,148.66M,31.32M,31.32M,51.64M,-0.784M,,49.84M,7.383M,-41.49M,,84.42M,64.24M,7.383M,49.84M,-41.49M,54.13M,-41.49M,76.88M,6.07M,100.93M,-40.90M,0.352M,1.224M,14.57M,61.61M,54.59M,193.15M,66.44M,126.71M,0.1,0.01,0.0,,-0.0165,0.11,0.1,0.01,0.0009,,-0.0163,0.11,408.15M,408.93M,0.225
2013-09,221.46M,221.46M,55.24M,166.22M,30.83M,30.83M,-58.65M,2.102M,,53.95M,0.416M,-52.61M,,90.86M,75.36M,0.416M,53.95M,-52.61M,-55.12M,-52.61M,-32.37M,23.76M,50.59M,6.058M,0.54M,-1.425M,14.57M,55.76M,87.29M,85.96M,64.38M,21.58M,0.08,0.02,0.0,,0.1734,0.1,0.08,0.02,0.0013,,0.1732,0.1,408.06M,408.87M,0.21
2013-06,227.12M,227.12M,58.09M,169.03M,31.32M,31.32M,-24.84M,3.019M,,55.02M,6.479M,-47.11M,,93.01M,76.02M,6.479M,55.02M,-47.11M,-26.68M,-47.11M,2.23M,-12.20M,80.68M,-27.41M,0.00,-2.133M,14.57M,51.14M,94.69M,121.52M,64.27M,57.25M,0.16,-0.07,0.0,,0.1996,0.09,0.16,-0.07,0.0,,0.1995,0.09,407.64M,408.83M,0.21
2013-03,227.02M,227.02M,57.44M,169.57M,34.02M,34.02M,-0.398M,1.832M,,53.50M,2.641M,-49.87M,,94.83M,74.74M,2.641M,53.50M,-49.87M,-3.40M,-49.87M,21.47M,15.57M,64.34M,5.624M,0.54M,-2.738M,14.57M,67.77M,61.86M,137.74M,62.77M,74.97M,0.12,0.01,0.0,,0.1206,0.13,0.12,0.01,0.0013,,0.1206,0.13,406.66M,407.67M,0.21
2012-12,128.94M,128.94M,37.37M,91.58M,28.37M,28.37M,-9.963M,-1.554M,,53.51M,0.928M,-51.16M,,60.99M,30.58M,0.928M,53.51M,-51.16M,-12.47M,-51.16M,-33.05M,2.022M,7.688M,83.73M,0.24M,-3.274M,13.66M,88.38M,10.89M,85.24M,64.78M,20.46M,0.03,0.11,0.0,,0.0459,0.14,0.03,0.11,0.0006,,0.0459,0.14,406.35M,406.81M,0.21
2012-09,222.86M,222.86M,57.43M,165.44M,29.88M,29.88M,0.00,0.888M,,56.47M,0.595M,-53.78M,,94.62M,70.82M,0.595M,56.47M,-53.78M,-2.528M,-53.78M,14.51M,5.52M,43.72M,13.36M,0.00,-2.143M,21.62M,54.94M,41.58M,137.75M,66.77M,70.97M,0.03,0.04,0.0,,0.03,0.07,0.03,0.04,0.0,,0.03,0.07,405.81M,406.75M,0.19
2012-06,226.52M,226.52M,57.66M,168.85M,30.91M,30.91M,-0.092M,2.551M,,56.78M,0.35M,-54.44M,,93.19M,75.66M,0.35M,56.78M,-54.44M,0.862M,-54.44M,22.08M,3.302M,75.36M,-7.028M,4.059M,-3.275M,20.84M,69.11M,72.16M,145.17M,66.31M,78.86M,0.14,-0.02,0.0,,0.1402,0.12,0.14,-0.02,0.01,,0.1402,0.12,405.56M,406.48M,0.19
2012-03,223.99M,223.99M,57.83M,166.16M,34.41M,34.41M,-0.233M,3.097M,,57.28M,0.164M,-55.11M,,97.07M,69.09M,0.164M,57.28M,-55.11M,-3.103M,-55.11M,10.88M,4.054M,54.60M,4.552M,0.00,-5.51M,15.57M,53.64M,49.23M,133.04M,64.88M,68.16M,0.09,0.0,0.0,,0.0904,0.09,0.09,0.0,0.0,,0.0904,0.09,406.27M,407.28M,0.19
2011-12,167.21M,167.21M,41.41M,125.80M,,28.37M,-3.167M,,,55.14M,1.623M,-51.98M,,76.43M,49.37M,1.623M,55.14M,-51.98M,5.956M,-51.98M,3.35M,11.46M,22.81M,27.24M,,-3.762M,14.84M,46.40M,21.11M,120.82M,62.33M,58.49M,0.02,0.06,,,0.0251,0.08,0.02,0.06,,,0.025,0.08,406.56M,408.52M,0.19
2011-09,213.02M,213.02M,58.60M,154.43M,,30.85M,-6.692M,,,56.12M,0.375M,-53.79M,,87.72M,66.71M,0.375M,56.12M,-53.79M,-4.243M,-53.79M,8.683M,4.443M,48.67M,9.924M,,-3.612M,14.84M,54.98M,49.41M,125.33M,60.53M,64.80M,0.07,0.03,,,0.0807,0.1,0.07,0.03,,,0.0807,0.1,406.56M,407.29M,0.18
2011-06,220.07M,220.07M,58.82M,161.26M,,29.61M,-2.949M,,,55.60M,8.932M,-44.73M,,88.74M,72.52M,8.932M,55.60M,-44.73M,-2.502M,-44.73M,25.28M,5.64M,42.30M,-0.984M,0.00,-2.606M,14.84M,38.71M,41.64M,142.84M,61.95M,80.88M,0.06,0.0,0.0,,0.0648,0.06,0.06,0.0,0.0,,0.0648,0.06,406.56M,407.56M,0.18
2011-03,225.14M,225.14M,65.81M,159.33M,,29.75M,-0.303M,,,55.37M,4.865M,-48.67M,,93.40M,65.93M,4.865M,55.37M,-48.67M,-0.138M,-48.67M,17.12M,4.209M,30.76M,1.263M,,-3.059M,14.84M,28.96M,27.93M,138.82M,66.33M,72.49M,0.03,0.0,,,0.0306,0.03,0.03,0.0,,,0.0306,0.03,406.44M,407.36M,0.18
2010-12,201.63M,201.63M,42.58M,159.05M,,56.38M,-30.90M,,,51.72M,5.415M,-36.90M,,111.22M,47.83M,5.415M,51.72M,-36.90M,-32.33M,-36.90M,-21.39M,-0.514M,9.95M,34.35M,,-9.587M,14.84M,37.15M,30.52M,92.93M,62.60M,30.32M,-0.02,0.07,,,0.0542,0.05,-0.02,0.07,,,0.0542,0.05,406.18M,406.58M,0.18
2010-09,207.23M,207.23M,60.36M,146.87M,,19.37M,-9.387M,,,57.71M,4.55M,-53.16M,,79.18M,67.69M,4.55M,57.71M,-53.16M,-8.156M,-53.16M,6.374M,2.708M,31.82M,1.173M,,-2.656M,12.86M,30.33M,35.26M,125.94M,61.86M,64.08M,0.04,0.0,,,0.055,0.04,0.04,0.0,,,0.055,0.04,405.85M,406.25M,0.16
2010-06,208.32M,208.32M,61.32M,147.00M,,15.01M,-2.75M,,,58.17M,5.177M,-52.99M,,72.82M,74.18M,5.177M,58.17M,-52.99M,-2.326M,-52.99M,18.87M,-0.101M,26.41M,0.87M,,-2.666M,11.82M,24.61M,25.25M,138.62M,61.58M,77.04M,0.04,-0.01,,,0.0437,0.03,0.04,-0.01,,,0.0437,0.03,405.70M,406.01M,0.16
2010-03,213.35M,213.35M,64.41M,148.94M,,28.14M,9.589M,,,55.55M,6.089M,-49.46M,,84.40M,64.54M,6.089M,55.55M,-49.46M,10.63M,-49.46M,25.71M,1.145M,53.57M,1.138M,,-3.874M,11.82M,50.84M,40.54M,142.85M,61.59M,81.26M,0.09,0.01,,,0.0674,0.1,0.09,0.01,,,0.0674,0.1,405.56M,405.71M,0.16
2009-12,260.55M,260.55M,62.66M,197.88M,,24.69M,-24.33M,,,56.08M,10.73M,-45.36M,,83.96M,113.93M,10.73M,56.08M,-45.36M,-51.23M,-45.36M,17.34M,-27.94M,48.27M,0.355M,,-0.314M,11.82M,52.18M,63.77M,133.15M,59.72M,73.42M,0.15,-0.03,,,0.1913,0.12,0.15,-0.03,,,0.1913,0.12,383.25M,383.25M,0.16
2009-09,190.09M,190.09M,57.61M,132.48M,,27.94M,19.37M,,,54.53M,9.236M,-45.29M,,83.32M,49.17M,9.236M,54.53M,-45.29M,28.66M,-45.29M,32.53M,-0.691M,42.17M,1.478M,,-3.537M,11.82M,40.11M,26.04M,143.70M,56.64M,87.06M,0.07,0.0,,,0.0366,0.07,0.07,0.0,,,0.0367,0.07,376.56M,378.13M,0.06
2009-06,202.14M,202.14M,54.44M,147.70M,,26.10M,-126.26M,,,50.93M,5.213M,-45.72M,,81.63M,66.07M,5.213M,50.93M,-45.72M,-126.26M,-45.72M,-105.91M,-0.692M,-120.49M,-12.93M,,-2.784M,11.82M,-134.65M,2.164M,0.552M,55.27M,-54.97M,-0.36,-0.04,,0.0042,-0.0194,-0.4,-0.36,-0.04,,0.0042,-0.0194,-0.4,368.25M,368.25M,0.06
2009-03,207.68M,207.68M,58.62M,149.06M,,29.35M,6.599M,,,46.52M,7.921M,-38.60M,,86.05M,63.01M,7.921M,46.52M,-38.60M,6.599M,-38.60M,31.01M,-0.682M,41.34M,0.43M,,-3.368M,11.82M,38.42M,33.68M,134.22M,56.14M,77.53M,0.1,0.0,,0.0001,0.0842,0.1,0.1,0.0,,0.0001,0.0842,0.1,271.08M,271.16M,0.44
2008-12,213.57M,213.57M,57.87M,155.70M,,35.96M,-35.50M,,,52.26M,7.514M,-44.74M,,89.06M,66.64M,7.514M,52.26M,-44.74M,-112.94M,-44.74M,-91.05M,-33.58M,-63.27M,8.851M,,1.116M,11.82M,-51.52M,-39.75M,14.31M,52.92M,-38.79M,-0.3,0.04,,,-0.2165,-0.26,-0.3,0.04,,,-0.2165,-0.26,268.39M,268.39M,0.44
2008-09,208.05M,208.05M,54.11M,153.94M,,30.59M,-4.75M,,,52.78M,7.092M,-45.68M,,83.60M,70.33M,7.092M,52.78M,-45.68M,19.28M,-45.68M,43.93M,12.34M,110.07M,10.52M,,-12.01M,11.82M,108.58M,101.48M,149.73M,53.02M,96.71M,0.34,0.04,,,0.3533,0.38,0.34,0.03,,,0.3532,0.37,256.16M,258.93M,0.44
2008-06,182.97M,182.97M,50.16M,132.82M,,25.69M,-4.108M,,,53.60M,16.27M,-37.33M,-15.77M,60.38M,72.44M,16.27M,53.60M,-37.33M,-4.108M,-37.33M,31.00M,-1.138M,99.79M,0.657M,,-6.099M,11.82M,94.37M,96.36M,135.93M,51.33M,84.60M,0.32,0.01,,0.0001,0.3305,0.33,0.32,0.0,,0.0001,0.3304,0.32,253.74M,257.32M,0.4
2008-03,226.33M,226.33M,53.93M,172.40M,,24.76M,3.882M,,,53.96M,21.99M,-31.97M,,73.38M,99.02M,21.99M,53.96M,-31.97M,3.882M,-31.97M,48.95M,9.41M,102.04M,5.377M,,-9.513M,11.82M,98.47M,89.39M,152.16M,49.25M,102.91M,0.33,0.01,,0.0022,0.3176,0.34,0.32,0.01,,0.0022,0.3077,0.34,252.93M,255.92M,0.4
2007-12,246.15M,177.11M,51.42M,125.70M,,26.84M,,,,55.71M,,-55.71M,43.76M,123.35M,2.349M,,55.71M,-55.71M,-122.24M,-55.71M,5.128M,-9.632M,81.46M,1.581M,,-9.738M,10.93M,83.04M,131.72M,114.23M,53.39M,60.84M,0.29,0.0,,,0.29,0.29,0.29,0.0,,,0.29,0.28,252.74M,256.96M,0.4
2007-09,172.24M,172.24M,45.31M,126.93M,,29.55M,,,,58.83M,,-58.83M,-31.58M,45.78M,81.15M,,58.83M,-58.83M,39.31M,-58.83M,22.32M,0.348M,75.49M,2.136M,0.00,-10.66M,2.909M,78.00M,75.87M,129.71M,48.56M,81.15M,0.3,0.0,0.0,,0.3,0.3,0.29,0.0,0.0,,0.29,0.29,252.33M,256.50M,0.4
2007-06,169.26M,169.26M,45.31M,123.94M,,24.79M,5.30M,,,52.52M,,-52.52M,-25.75M,45.27M,78.67M,,52.52M,-52.52M,47.52M,-52.52M,26.15M,-2.974M,99.36M,18.42M,8.64M,-9.734M,2.909M,128.02M,97.52M,125.78M,47.10M,78.67M,0.39,0.11,0.0,,0.3763,0.5,0.38,0.11,0.0336,,0.3666,0.49,252.07M,257.40M,0.36
2007-03,184.27M,184.27M,42.34M,141.93M,,22.70M,,,,46.10M,,-46.10M,,64.27M,77.66M,,46.10M,-46.10M,30.16M,-46.10M,27.87M,-30.11M,100.90M,11.24M,41.62M,-4.164M,2.909M,153.76M,100.90M,116.18M,42.22M,73.96M,0.39,0.21,0.0,,0.39,0.6,0.38,0.21,0.1617,,0.38,0.59,251.36M,257.42M,0.36
2006-12,155.68M,155.68M,,,,21.42M,0.882M,,,,,,42.58M,105.24M,50.44M,,,,0.882M,,37.89M,3.612M,86.72M,44.11M,0.00,-6.687M,2.91M,131.90M,86.99M,92.71M,42.27M,50.44M,0.34,0.19,0.0,,0.3368,0.53,0.3318,0.18,0.0,,0.3286,0.5112,247.84M,252.58M,0.36
2006-09,149.12M,149.12M,,,22.62M,22.62M,-0.159M,,,,,,40.28M,98.56M,50.56M,,,,-0.159M,,32.31M,2.454M,87.01M,4.418M,0.00,-5.722M,2.909M,91.43M,87.16M,87.53M,36.97M,50.56M,0.35,0.02,0.0,,0.3506,0.37,0.3417,0.0179,0.0,,0.3423,0.3596,241.00M,246.15M,0.36
2006-06,145.99M,145.99M,,,16.56M,16.56M,-3.134M,,,,,,4.877M,55.73M,90.26M,,,,-3.134M,,44.57M,-3.257M,88.64M,18.71M,0.00,-8.015M,2.909M,108.74M,91.91M,126.10M,35.84M,90.26M,0.36,0.08,0.0,,0.3678,0.44,0.35,0.08,0.0,,0.3576,0.43,240.55M,246.05M,0.33
2006-03,137.16M,137.16M,,,,,11.93M,,,,,,7.309M,37.00M,100.16M,,,,11.93M,,51.48M,1.577M,81.04M,15.15M,0.00,-5.742M,2.909M,96.20M,69.48M,129.85M,29.69M,100.16M,0.34,0.07,0.0,,0.2894,0.41,0.33,0.07,0.0,,0.2805,0.4,228.67M,233.62M,0.33
2005-12,120.06M,120.06M,,,,17.64M,-4.275M,,,,,,148.15M,188.81M,-68.75M,,,,-4.275M,,46.01M,4.057M,88.10M,19.57M,,-1.582M,2.91M,107.67M,92.00M,-41.27M,27.48M,-68.75M,0.37,0.09,,,0.3871,0.46,0.37,0.08,,,0.3868,0.45,227.63M,231.72M,0.33
2005-09,128.31M,128.31M,,,,14.08M,-1.81M,,,,,,-7.381M,32.60M,95.71M,,,,-1.81M,,39.64M,-0.935M,76.22M,8.439M,,-3.612M,2.909M,85.34M,77.99M,122.38M,26.67M,95.71M,0.33,0.03,,,0.3348,0.36,0.32,0.03,,,0.3247,0.36,227.02M,231.73M,0.33
2005-06,185.16M,125.82M,,,12.75M,12.75M,6.598M,,-71.79M,,,,64.65M,32.32M,93.50M,,,,12.09M,,51.24M,-2.252M,77.00M,6.284M,,-3.881M,2.909M,83.84M,69.74M,121.21M,27.71M,93.50M,0.33,0.03,,0.0025,0.298,0.36,0.32,0.03,,0.0024,0.2885,0.35,226.44M,230.54M,0.305
