,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2014-09,1.473B,1.568B,529.00M,1.039B,432.00M,,-11.00M,83.00M,,-83.00M,,517.00M,522.00M,,83.00M,-83.00M,3.00M,-83.00M,442.00M,155.00M,287.00M,,-7.00M,,280.00M,281.95M,988.00M,463.00M,525.00M,,0.41,,0.4143,0.41,,0.41,,0.4129,0.41,,449.00M,682.00M,,AOR,Restated
2014-06,1.536B,1.61B,515.00M,1.095B,406.00M,,26.00M,83.00M,,-83.00M,,481.00M,614.00M,,83.00M,-83.00M,61.00M,-83.00M,592.00M,208.00M,384.00M,,-5.00M,78.00M,379.00M,362.75M,1.105B,430.00M,675.00M,,0.55,,0.5144,0.55,,0.54,,0.5165,0.54,,457.00M,692.00M,,AOR,Restated
2014-03,1.346B,1.411B,482.00M,929.00M,409.00M,,-3.00M,81.00M,,-81.00M,,492.00M,437.00M,,81.00M,-81.00M,-7.00M,-81.00M,349.00M,118.00M,231.00M,,-1.00M,,230.00M,239.24M,863.00M,433.00M,430.00M,,0.33,,0.3497,0.33,,0.33,,0.3431,0.33,,468.00M,704.00M,,AOR,Restated
2013-12,1.457B,1.537B,475.00M,1.062B,449.00M,,-5.00M,78.00M,,-78.00M,,535.00M,527.00M,,78.00M,-78.00M,10.00M,-78.00M,459.00M,169.00M,290.00M,,-1.00M,,289.00M,292.79M,963.00M,426.00M,537.00M,,0.205,0.00,0.2130,0.205,,0.2025,0.00,0.2079,0.2025,,472.00M,707.00M,,AOR,Restated
2013-09,1.316B,1.375B,435.00M,940.00M,390.00M,,18.00M,80.00M,,-80.00M,,470.00M,470.00M,,80.00M,-80.00M,29.00M,-80.00M,419.00M,163.00M,256.00M,,-1.00M,51.00M,255.00M,237.31M,887.00M,388.00M,499.00M,,0.36,,0.3234,0.36,,0.35,,0.3254,0.35,,483.00M,719.00M,,AOR,Restated
2013-06,1.411B,1.467B,437.00M,1.03B,394.00M,,-9.00M,80.00M,,-80.00M,,472.00M,558.00M,,80.00M,-80.00M,3.00M,-80.00M,481.00M,181.00M,300.00M,,0.00,,300.00M,294.42M,950.00M,389.00M,561.00M,,0.415,,0.3984,0.415,,0.41,,0.4023,0.41,,336.30M,726.00M,,AOR,Restated
2013-03,1.091B,1.156B,342.00M,814.00M,365.00M,,-1.00M,68.00M,,-68.00M,,397.00M,417.00M,,68.00M,-68.00M,28.00M,-68.00M,377.00M,146.00M,231.00M,,0.00,,231.00M,271.92M,708.00M,263.00M,445.00M,,0.32,,0.4407,0.32,,0.315,,0.3707,0.315,,339.10M,734.00M,,AOR,Restated
2012-12,1.123B,1.20B,328.00M,872.00M,355.00M,,-2.00M,64.00M,,-64.00M,,385.00M,487.00M,,64.00M,-64.00M,-18.00M,-64.00M,405.00M,181.00M,224.00M,0.00,0.00,,224.00M,225.30M,726.00M,257.00M,469.00M,,0.3308,0.00,0.3347,0.3308,,0.3308,0.00,0.3308,0.3308,,334.60M,,,AOR,Restated
2012-09,1.017B,1.076B,296.00M,780.00M,314.00M,,-1.00M,68.00M,,-68.00M,,341.00M,439.00M,,68.00M,-68.00M,-22.00M,-68.00M,349.00M,134.00M,215.00M,-9.00M,-1.00M,,205.00M,214.62M,660.00M,243.00M,417.00M,,0.29,-0.01,0.2918,0.28,,0.285,-0.01,0.2858,0.275,,338.45M,750.00M,,AOR,Restated
2012-06,1.074B,1.126B,298.00M,828.00M,307.00M,,-2.00M,61.00M,,-61.00M,,338.00M,490.00M,,61.00M,-61.00M,-8.00M,-61.00M,421.00M,127.00M,294.00M,-1.00M,0.00,,293.00M,295.40M,727.00M,245.00M,482.00M,,0.385,0.00,0.3889,0.385,,0.385,0.00,0.3868,0.385,,354.65M,768.00M,,AOR,Restated
2012-03,1.029B,1.085B,296.00M,789.00M,311.00M,,-1.00M,55.00M,,-55.00M,,340.00M,449.00M,,55.00M,-55.00M,-51.00M,-55.00M,343.00M,120.00M,223.00M,-1.00M,-1.00M,,221.00M,222.65M,635.00M,237.00M,398.00M,,0.29,0.00,0.2918,0.29,,0.285,0.00,0.2858,0.285,,368.00M,780.00M,,AOR,Restated
2011-12,860.00M,1.106B,316.00M,790.00M,316.00M,,-13.00M,54.00M,,-54.00M,,345.00M,445.00M,,54.00M,-54.00M,-45.00M,-54.00M,346.00M,9.00M,337.00M,0.00,-1.00M,,336.00M,348.66M,1.275B,875.00M,400.00M,,0.425,0.00,0.4529,0.425,,0.42,0.00,0.4360,0.42,,453.50M,792.00M,,AOR,Restated
2011-09,1.08B,1.08B,328.00M,752.00M,293.00M,,-7.00M,56.00M,,-56.00M,,322.00M,430.00M,,56.00M,-56.00M,-7.00M,-56.00M,367.00M,127.00M,240.00M,-3.00M,0.00,,237.00M,244.58M,453.00M,30.00M,423.00M,,0.30,-0.005,0.3084,0.30,,0.30,-0.005,0.3057,0.295,,543.00M,802.00M,,AOR,Restated
2011-06,1.067B,1.067B,288.00M,779.00M,300.00M,,-2.00M,49.00M,,-49.00M,,330.00M,449.00M,,49.00M,-49.00M,-2.00M,-49.00M,398.00M,144.00M,254.00M,,0.00,,254.00M,255.28M,477.00M,30.00M,447.00M,,0.315,0.00,0.3173,0.315,,0.31,0.00,0.3116,0.31,,556.00M,820.00M,,AOR,Restated
2011-03,951.00M,951.00M,273.00M,678.00M,269.00M,,121.00M,49.00M,,-49.00M,,299.00M,379.00M,,49.00M,-49.00M,121.00M,-49.00M,451.00M,146.00M,305.00M,,0.00,,305.00M,223.17M,530.00M,30.00M,500.00M,,0.375,0.00,0.2299,0.375,,0.37,0.00,0.2712,0.37,,564.00M,828.00M,,AOR,Restated
2010-12,719.00M,948.00M,231.00M,717.00M,280.00M,,61.00M,48.00M,,-48.00M,,310.00M,407.00M,,48.00M,-48.00M,-25.00M,-48.00M,334.00M,122.00M,212.00M,-15.00M,-6.00M,0.00,191.00M,167.28M,1.129B,747.00M,382.00M,,0.24,-0.02,0.1719,0.225,,0.24,-0.02,0.1944,0.225,,568.88M,850.00M,,AOR,Restated
2010-09,926.00M,926.00M,261.00M,665.00M,306.00M,,-31.00M,49.00M,,-49.00M,,338.00M,327.00M,,49.00M,-49.00M,-31.00M,-49.00M,247.00M,83.00M,164.00M,25.00M,-3.00M,,186.00M,181.58M,329.00M,33.00M,296.00M,,0.19,0.03,0.2261,0.22,,0.185,0.03,0.2089,0.215,,569.88M,862.00M,,AOR,Restated
2010-06,963.00M,963.00M,254.00M,709.00M,304.00M,,-173.00M,48.00M,,-48.00M,,337.00M,372.00M,,48.00M,-48.00M,-173.00M,-48.00M,151.00M,41.00M,110.00M,,-3.00M,1.00M,107.00M,233.03M,232.00M,33.00M,199.00M,,0.125,0.00,0.3461,0.125,,0.125,0.00,0.2712,0.125,,570.00M,862.00M,,AOR,Restated
2010-03,869.00M,869.00M,267.00M,602.00M,284.00M,,-7.00M,58.00M,,-58.00M,,317.00M,285.00M,,58.00M,-58.00M,-7.00M,-58.00M,220.00M,47.00M,173.00M,,-4.00M,,169.00M,174.50M,312.00M,34.00M,278.00M,,0.20,0.00,0.2097,0.20,,0.195,0.00,0.2014,0.195,,569.00M,858.00M,,AOR,Restated
2009-12,950.00M,950.00M,293.00M,657.00M,303.00M,,243.00M,,,-66.00M,,592.00M,65.00M,,,-66.00M,243.00M,-66.00M,242.00M,82.00M,160.00M,-4.00M,-5.00M,0.00,151.00M,-5.661M,315.00M,37.00M,278.00M,,0.18,-0.005,-0.1029,0.18,,0.18,-0.005,-0.0077,0.175,,568.00M,856.00M,,AOR,Restated
2009-09,837.00M,837.00M,251.00M,586.00M,324.00M,,-3.00M,,,-65.00M,,363.00M,223.00M,,,-65.00M,-3.00M,-65.00M,155.00M,52.00M,103.00M,1.00M,-4.00M,6.00M,100.00M,100.99M,262.00M,-298.00M,223.00M,,0.11,0.00,0.1135,0.11,,0.11,0.00,0.1123,0.11,,566.00M,854.00M,,AOR,Restated
2009-06,865.00M,865.00M,251.00M,614.00M,295.00M,,-27.00M,,,-60.00M,-252.00M,82.00M,532.00M,,,-60.00M,-27.00M,-60.00M,445.00M,264.00M,181.00M,,-2.00M,2.00M,179.00M,196.55M,744.00M,212.00M,532.00M,,0.21,0.00,0.2412,0.21,,0.21,0.00,0.2307,0.21,,563.26M,848.00M,,AOR,Restated
2009-03,815.00M,815.00M,252.00M,563.00M,274.00M,,-1.00M,57.00M,,-57.00M,,312.00M,251.00M,,57.00M,-57.00M,-1.00M,-57.00M,193.00M,70.00M,123.00M,,-4.00M,,119.00M,119.64M,454.00M,204.00M,250.00M,,0.14,0.00,0.1411,0.14,,0.14,0.00,0.1408,0.14,,562.52M,844.00M,,AOR,Restated
2008-12,904.00M,904.00M,266.00M,638.00M,270.00M,,-87.00M,,,-60.00M,,310.00M,328.00M,,,-60.00M,-87.00M,-60.00M,181.00M,67.00M,114.00M,1.00M,-9.00M,,106.00M,159.80M,368.00M,37.00M,328.00M,,0.13,-0.01,0.2274,0.125,,0.13,-0.01,0.1942,0.12,,562.52M,854.00M,,,Restated
2008-09,845.00M,845.00M,262.00M,583.00M,224.00M,,-21.00M,,,-61.00M,,274.00M,309.00M,,,-61.00M,-21.00M,-61.00M,227.00M,93.00M,134.00M,40.00M,-40.00M,,134.00M,107.65M,377.00M,68.00M,309.00M,,0.155,0.065,0.1793,0.22,,0.155,0.065,0.1776,0.22,,562.52M,604.00M,,,Restated
2008-06,885.00M,885.00M,254.00M,631.00M,370.00M,,18.00M,66.00M,,-66.00M,,419.00M,212.00M,,66.00M,-66.00M,18.00M,-66.00M,164.00M,82.00M,82.00M,,-39.00M,,43.00M,31.30M,294.00M,64.00M,230.00M,,0.08,0.00,0.0592,0.08,,0.08,0.00,0.0593,0.08,,562.49M,564.00M,,,Restated
2008-03,809.00M,809.00M,242.00M,567.00M,251.00M,,-16.00M,69.00M,,-69.00M,,298.00M,269.00M,,69.00M,-69.00M,-16.00M,-69.00M,184.00M,110.00M,74.00M,,-40.00M,,34.00M,44.40M,316.00M,63.00M,253.00M,,0.06,0.00,0.0785,0.06,,0.06,0.00,0.0784,0.06,,562.26M,564.00M,,,Restated
2007-12,17.00M,17.00M,23.00M,-6.00M,-2.00M,,1.00M,,,,,-2.00M,-4.00M,,,,-15.00M,,-18.00M,-6.00M,-12.00M,-158.00M,,,-170.00M,-12.67M,14.00M,18.00M,-4.00M,,-0.02,-0.28,-0.0212,-0.30,,-0.02,-0.28,-0.0212,-0.30,,562.06M,568.00M,,,
