,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-09,439.00M,439.00M,1.344B,1.344B,233.00M,74.00M,274.00M,2.364B,,,,,,,,,492.00M,7.301B,3.439B,10.74B,1.087B,184.00M,12.50B,14.87B,,116.00M,26.00M,158.00M,300.00M,581.00M,881.00M,23.00M,23.00M,164.00M,164.00M,67.00M,1.135B,6.485B,6.485B,681.00M,681.00M,5.00M,32.00M,309.00M,7.507B,8.642B,,5.00M,2.604B,6.798B,3.195B,2.00M,,,8.00M,6.22B,,AOR,Restated
2013-06,375.00M,375.00M,1.332B,1.332B,269.00M,75.00M,214.00M,2.265B,,,,,,,,,460.00M,7.278B,3.399B,10.68B,1.097B,188.00M,12.42B,14.69B,,116.00M,56.00M,172.00M,344.00M,462.00M,806.00M,23.00M,23.00M,122.00M,122.00M,51.00M,1.002B,6.455B,6.455B,656.00M,656.00M,4.00M,31.00M,270.00M,7.412B,8.414B,,5.00M,2.349B,6.758B,2.747B,2.00M,,,-96.00M,6.269B,,AOR,Restated
2013-03,2.36B,2.36B,1.148B,1.148B,304.00M,74.00M,127.00M,4.013B,,,,,,,,,377.00M,6.501B,2.263B,8.764B,1.105B,162.00M,10.41B,14.42B,,67.00M,53.00M,96.00M,216.00M,717.00M,933.00M,22.00M,22.00M,100.00M,100.00M,46.00M,1.101B,6.407B,6.407B,428.00M,428.00M,2.00M,33.00M,210.00M,7.078B,8.179B,,5.00M,2.052B,6.716B,2.482B,2.00M,,,-51.00M,6.24B,,AOR,Restated
2012-12,1.201B,1.201B,1.13B,1.13B,203.00M,74.00M,122.00M,2.73B,293.00M,,,878.00M,,,1.171B,-783.00M,388.00M,6.399B,2.166B,8.565B,1.095B,152.00M,10.20B,12.93B,,71.00M,59.00M,131.00M,261.00M,476.00M,737.00M,31.00M,31.00M,123.00M,123.00M,55.00M,946.00M,5.212B,5.212B,272.00M,272.00M,2.00M,0.00,207.00M,5.691B,6.637B,,5.00M,2.075B,6.689B,2.482B,2.00M,,,4.00M,6.291B,,AOR,Restated
2012-09,1.553B,1.553B,,1.079B,194.00M,62.00M,107.00M,2.995B,,,,,,,,,368.00M,6.314B,2.034B,8.348B,821.00M,155.00M,9.692B,12.69B,,54.00M,53.00M,85.00M,192.00M,244.00M,436.00M,21.00M,21.00M,133.00M,133.00M,,826.00M,5.21B,5.21B,260.00M,260.00M,2.00M,,124.00M,5.594B,6.42B,,5.00M,1.851B,6.665B,2.248B,2.00M,,,-8.00M,6.265B,,AOR,Restated
2012-06,1.698B,1.698B,,1.155B,174.00M,77.00M,110.00M,3.214B,,,,,,,,,368.00M,6.312B,1.964B,8.276B,817.00M,135.00M,9.596B,12.81B,,56.00M,107.00M,104.00M,267.00M,165.00M,432.00M,20.00M,20.00M,98.00M,98.00M,,757.00M,5.206B,5.206B,263.00M,263.00M,2.00M,,111.00M,5.58B,6.337B,,5.00M,1.646B,6.637B,1.794B,2.00M,,,-23.00M,6.471B,,AOR,Restated
2012-03,1.044B,1.044B,,1.062B,174.00M,72.00M,99.00M,2.451B,,,,,,,,,374.00M,6.294B,1.901B,8.195B,778.00M,137.00M,9.484B,11.94B,,63.00M,87.00M,100.00M,250.00M,208.00M,458.00M,19.00M,19.00M,91.00M,91.00M,,740.00M,4.218B,4.218B,321.00M,321.00M,3.00M,,88.00M,4.627B,5.367B,,5.00M,1.353B,6.609B,1.39B,2.00M,,,-12.00M,6.565B,,AOR,Restated
2011-12,1.048B,1.048B,1.042B,1.042B,175.00M,73.00M,93.00M,2.431B,290.00M,,,825.00M,,,1.115B,-736.00M,379.00M,6.291B,1.873B,8.164B,807.00M,132.00M,9.482B,11.91B,,53.00M,38.00M,86.00M,177.00M,403.00M,580.00M,26.00M,26.00M,113.00M,113.00M,27.00M,746.00M,4.219B,4.219B,337.00M,337.00M,2.00M,,92.00M,4.648B,5.394B,,5.00M,1.132B,6.505B,1.102B,2.00M,,,-23.00M,6.517B,,AOR,Restated
2011-09,1.032B,1.032B,,976.00M,155.00M,53.00M,83.00M,2.299B,,,,,,,,,371.00M,6.299B,1.87B,8.169B,816.00M,146.00M,9.502B,11.80B,,48.00M,,,48.00M,438.00M,486.00M,20.00M,20.00M,123.00M,123.00M,78.00M,707.00M,4.229B,4.229B,354.00M,354.00M,1.00M,,108.00M,4.691B,5.398B,,5.00M,796.00M,6.46B,837.00M,2.00M,,,-22.00M,6.402B,,AOR,Restated
2011-06,1.095B,1.095B,,908.00M,160.00M,65.00M,93.00M,2.321B,,,,,,,,,382.00M,6.302B,1.894B,8.196B,806.00M,131.00M,9.515B,11.84B,,48.00M,,,48.00M,364.00M,412.00M,22.00M,22.00M,98.00M,98.00M,82.00M,614.00M,4.235B,4.235B,373.00M,373.00M,1.00M,,100.00M,4.708B,5.322B,,5.00M,559.00M,6.441B,482.00M,2.00M,,,-10.00M,6.513B,,AOR,Restated
2011-03,453.00M,453.00M,,866.00M,150.00M,76.00M,84.00M,1.629B,,,,,,,,,389.00M,6.301B,1.872B,8.173B,781.00M,136.00M,9.479B,11.11B,,62.00M,,,62.00M,,62.00M,21.00M,21.00M,113.00M,113.00M,458.00M,654.00M,3.591B,3.591B,352.00M,352.00M,3.00M,,100.00M,4.043B,4.697B,,5.00M,305.00M,6.386B,272.00M,2.00M,,,-16.00M,6.408B,,AOR,Restated
2010-12,466.00M,466.00M,,880.00M,225.00M,81.00M,83.00M,1.735B,0.00,284.00M,,769.00M,,,1.053B,-654.00M,399.00M,6.434B,1.85B,8.284B,,601.00M,9.284B,11.02B,,87.00M,,55.00M,142.00M,338.00M,480.00M,20.00M,20.00M,114.00M,114.00M,171.00M,785.00M,3.598B,3.598B,304.00M,304.00M,8.00M,,99.00M,4.001B,4.786B,,5.00M,0.00,6.358B,105.00M,2.00M,,,-33.00M,6.225B,,AOR,Restated
2010-09,1.016B,1.016B,,843.00M,197.00M,,81.00M,2.137B,,,,,,,,,389.00M,6.435B,1.844B,8.279B,,593.00M,9.261B,11.40B,,52.00M,42.00M,58.00M,152.00M,312.00M,464.00M,18.00M,18.00M,,,310.00M,792.00M,3.595B,3.595B,,,12.00M,,316.00M,3.911B,4.703B,,5.00M,75.00M,6.664B,38.00M,2.00M,,,-23.00M,6.683B,,AOR,Restated
2010-06,713.00M,713.00M,,836.00M,185.00M,,81.00M,1.815B,,,,,,,,,401.00M,6.442B,1.831B,8.273B,,585.00M,9.259B,11.07B,,43.00M,19.00M,55.00M,117.00M,239.00M,356.00M,17.00M,17.00M,,,235.00M,608.00M,3.594B,3.594B,,,28.00M,,358.00M,3.952B,4.56B,,5.00M,-111.00M,6.636B,,2.00M,,,-44.00M,6.486B,,AOR,Restated
2010-03,691.00M,691.00M,,773.00M,184.00M,,73.00M,1.721B,,,,,,,,,405.00M,6.442B,1.813B,8.255B,,571.00M,9.231B,10.95B,,62.00M,80.00M,50.00M,192.00M,203.00M,395.00M,256.00M,256.00M,,,283.00M,934.00M,3.235B,3.235B,,,74.00M,,350.00M,3.585B,4.519B,,5.00M,-224.00M,6.618B,,2.00M,,,-40.00M,6.359B,,AOR,Restated
2009-12,623.00M,623.00M,,812.00M,90.00M,71.00M,75.00M,1.671B,0.00,280.00M,,703.00M,,,983.00M,-574.00M,409.00M,6.433B,1.85B,8.283B,,589.00M,9.281B,10.95B,,63.00M,,50.00M,113.00M,333.00M,446.00M,38.00M,38.00M,91.00M,91.00M,208.00M,783.00M,3.457B,3.457B,268.00M,268.00M,72.00M,,175.00M,3.90B,4.683B,,5.00M,-387.00M,6.60B,0.00,2.00M,,,-21.00M,6.197B,,AOR,Restated
2009-09,401.00M,401.00M,,775.00M,165.00M,,76.00M,1.417B,,,,,,,,,417.00M,6.438B,1.879B,8.317B,,590.00M,9.324B,10.74B,,,,,,,394.00M,39.00M,39.00M,,,329.00M,762.00M,3.472B,3.472B,,,14.00M,,465.00M,3.937B,4.699B,,5.00M,-531.00M,6.589B,,2.00M,,,-35.00M,6.028B,,AOR,Restated
2009-06,339.00M,339.00M,,759.00M,155.00M,,78.00M,1.331B,,,,,,,,,410.00M,6.439B,1.895B,8.334B,,621.00M,9.365B,10.70B,,,,,,,564.00M,421.00M,421.00M,,,242.00M,1.227B,3.053B,3.053B,,,15.00M,,498.00M,3.551B,4.778B,,5.00M,-632.00M,6.555B,,2.00M,,,-25.00M,5.903B,,AOR,Restated
2009-03,142.00M,142.00M,,740.00M,150.00M,,80.00M,1.112B,,,,,,,,,384.00M,6.889B,1.894B,8.783B,,196.00M,9.363B,10.48B,,,,,,,371.00M,586.00M,586.00M,,,217.00M,1.174B,3.137B,3.137B,,,24.00M,,487.00M,3.624B,4.798B,,5.00M,-817.00M,6.55B,,2.00M,,,-85.00M,5.653B,,AOR,Restated
2008-12,100.00M,100.00M,,780.00M,107.00M,49.00M,73.00M,1.109B,0.00,29.00M,169.00M,617.00M,,82.00M,897.00M,-502.00M,395.00M,6.891B,1.879B,8.77B,,210.00M,9.375B,10.48B,,71.00M,,53.00M,124.00M,297.00M,421.00M,466.00M,466.00M,93.00M,93.00M,90.00M,1.07B,3.331B,3.331B,246.00M,246.00M,25.00M,,276.00M,3.853B,4.923B,,5.00M,-936.00M,6.545B,,2.00M,,,-78.00M,5.536B,,,Restated
2008-09,92.00M,92.00M,764.00M,764.00M,,,250.00M,1.106B,,,,,,,412.00M,,412.00M,7.096B,1.541B,8.637B,,290.00M,9.339B,10.44B,,418.00M,,,418.00M,,418.00M,349.00M,349.00M,,,253.00M,1.02B,3.555B,3.555B,,,,,351.00M,3.906B,4.926B,,5.00M,-1.042B,6.559B,,2.00M,,,-3.00M,5.519B,,,Restated
2008-06,226.01M,226.01M,178.20M,178.20M,13.91M,,3.956M,422.08M,,,,,,,482.58M,-226.62M,255.96M,1.910B,,1.910B,,3.432B,5.597B,6.019B,,42.39M,,,42.39M,69.84M,112.23M,,,22.60M,22.60M,,134.83M,,,1.286B,1.286B,,,21.68M,1.307B,1.442B,,2.812M,-1.174B,5.729B,,,,,18.96M,4.577B,,,Restated
2008-03,222.58M,222.58M,172.62M,172.62M,15.32M,,3.752M,414.28M,,,,,,,489.36M,-226.62M,262.74M,1.910B,,1.910B,,3.349B,5.522B,5.936B,,48.56M,,,48.56M,65.38M,113.93M,,,23.47M,23.47M,,137.40M,,,1.252B,1.252B,,,21.83M,1.274B,1.411B,,2.811M,-1.219B,5.729B,,,,,12.55M,4.525B,,,Restated
2007-12,8.00M,8.00M,10.00M,10.00M,2.00M,,352.00M,372.00M,0.00,,18.00M,11.00M,,,29.00M,-24.00M,5.00M,1.782B,1.00M,1.783B,,3.706B,5.494B,5.866B,,1.00M,,,1.00M,5.00M,6.00M,,,,,114.00M,120.00M,,,1.227B,1.227B,,,24.00M,1.251B,1.371B,,3.00M,-1.253B,5.728B,,,,,17.00M,4.495B,,,
2007-09,157.46M,157.46M,152.41M,152.41M,15.42M,,11.08M,336.38M,,,,,,,449.48M,-170.98M,278.50M,2.076B,,2.076B,,3.363B,5.717B,6.053B,,32.98M,,,32.98M,58.45M,91.44M,,,21.79M,21.79M,,113.23M,,,1.240B,1.240B,,,29.81M,1.270B,1.383B,,2.808M,-1.083B,5.727B,,,,,23.08M,4.670B,,,
2007-06,174.66M,174.66M,140.50M,140.50M,12.90M,,4.086M,332.16M,,,,,,,453.27M,-170.98M,282.29M,2.075B,,2.075B,,3.352B,5.709B,6.042B,,30.97M,,,30.97M,61.16M,92.13M,,,27.78M,27.78M,,119.91M,,,1.237B,1.237B,,,30.54M,1.268B,1.388B,,2.805M,-1.090B,5.719B,,,,,22.77M,4.654B,,,
