,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2013-12,2.724B,2.777B,1.193B,1.584B,,-123.00M,286.00M,41.00M,,,,52.00M,4.00M,-48.00M,,327.00M,1.257B,4.00M,52.00M,-48.00M,-52.00M,-48.00M,1.157B,307.00M,850.00M,-9.00M,841.00M,789.57M,1.285B,76.00M,1.209B,4.98,,4.676,4.98,4.86,,4.563,4.86,169.00M,173.28M,1.68
2013-09,2.424B,2.472B,1.132B,1.34B,,334.00M,334.00M,40.00M,,,,52.00M,8.00M,-44.00M,,374.00M,966.00M,8.00M,52.00M,-44.00M,26.00M,-44.00M,948.00M,219.00M,729.00M,1.00M,730.00M,705.39M,1.071B,71.00M,1.00B,4.3,,4.155,4.3,4.21,,4.0680000000000005,4.21,169.81M,173.37M,1.68
2013-06,2.422B,2.482B,1.128B,1.354B,,465.00M,465.00M,40.00M,,,,53.00M,4.00M,-49.00M,,505.00M,849.00M,4.00M,53.00M,-49.00M,118.00M,-49.00M,918.00M,212.00M,706.00M,23.00M,729.00M,619.72M,1.043B,72.00M,971.00M,4.27,,3.63,4.27,4.19,,3.562,4.19,170.65M,173.87M,1.68
2013-03,2.38B,2.449B,1.169B,1.28B,,331.00M,331.00M,40.00M,,,,54.00M,6.00M,-48.00M,,371.00M,909.00M,6.00M,54.00M,-48.00M,89.00M,-48.00M,950.00M,284.00M,666.00M,-34.00M,632.00M,589.22M,1.076B,72.00M,1.004B,3.69,,3.44,3.69,3.62,,3.375,3.62,171.30M,174.56M,1.68
2012-12,2.469B,2.539B,1.093B,1.446B,,17.00M,401.00M,40.00M,,,,57.00M,9.00M,-48.00M,,441.00M,1.005B,9.00M,57.00M,-48.00M,-19.00M,-48.00M,938.00M,288.00M,650.00M,40.00M,690.00M,676.14M,1.071B,76.00M,995.00M,4.02,,3.9389999999999996,4.02,3.93,,3.8510000000000004,3.93,171.49M,175.20M,1.5
2012-09,2.274B,2.32B,1.079B,1.241B,,327.00M,327.00M,39.00M,,,,57.00M,10.00M,-47.00M,,366.00M,875.00M,10.00M,57.00M,-47.00M,77.00M,-47.00M,905.00M,250.00M,655.00M,-13.00M,642.00M,588.08M,1.036B,74.00M,962.00M,3.72,,3.407,3.72,3.65,,3.343,3.65,172.36M,175.45M,1.5
2012-06,2.182B,2.229B,1.037B,1.192B,,324.00M,324.00M,39.00M,,,,52.00M,8.00M,-44.00M,,363.00M,829.00M,8.00M,52.00M,-44.00M,4.00M,-44.00M,789.00M,229.00M,560.00M,-6.00M,554.00M,558.95M,913.00M,72.00M,841.00M,3.13,,3.158,3.13,3.08,,3.108,3.08,177.01M,179.59M,1.5
2012-03,2.199B,2.249B,1.088B,1.161B,,307.00M,307.00M,39.00M,,,,49.00M,9.00M,-40.00M,,346.00M,815.00M,9.00M,49.00M,-40.00M,63.00M,-40.00M,838.00M,263.00M,575.00M,-3.00M,572.00M,520.62M,960.00M,73.00M,887.00M,3.19,,2.903,3.19,3.14,,2.858,3.14,179.02M,181.92M,1.5
2011-12,2.023B,2.227B,3.93B,-1.703B,,-2.519B,-2.519B,39.00M,,4.00M,,48.00M,9.00M,-39.00M,,-2.543B,840.00M,9.00M,48.00M,-39.00M,14.00M,-39.00M,815.00M,232.00M,583.00M,-28.00M,555.00M,532.11M,940.00M,77.00M,863.00M,3.1,,2.972,3.1,3.04,,2.9139999999999997,3.04,178.50M,182.09M,1.375
2011-09,2.225B,2.225B,90.00M,2.135B,,1.299B,1.299B,39.00M,,-16.00M,,49.00M,12.00M,-37.00M,20.00M,1.358B,777.00M,12.00M,49.00M,-37.00M,-75.00M,-37.00M,665.00M,95.00M,570.00M,25.00M,595.00M,659.29M,790.00M,76.00M,714.00M,3.28,0.0,3.639,3.28,3.23,0.0,3.5839999999999996,3.23,179.03M,181.83M,1.375
2011-06,2.347B,2.347B,100.00M,2.247B,,1.322B,1.322B,38.00M,,-5.00M,,41.00M,4.00M,-37.00M,21.00M,1.381B,866.00M,4.00M,41.00M,-37.00M,13.00M,-37.00M,842.00M,220.00M,622.00M,-3.00M,619.00M,609.40M,956.00M,73.00M,883.00M,3.26,0.0,3.2089999999999996,3.26,3.21,0.0,3.16,3.21,187.87M,190.58M,1.375
2011-03,2.282B,2.282B,109.00M,2.173B,,1.313B,1.313B,40.00M,,-15.00M,,38.00M,9.00M,-29.00M,22.00M,1.375B,798.00M,9.00M,38.00M,-29.00M,44.00M,-29.00M,813.00M,249.00M,564.00M,4.00M,568.00M,537.48M,924.00M,73.00M,851.00M,2.92,0.0,2.761,2.92,2.89,0.0,2.733,2.89,191.80M,194.30M,1.375
2010-12,2.287B,2.493B,3.798B,-1.305B,,-2.206B,-2.206B,40.00M,,16.00M,,35.00M,10.00M,-25.00M,,-2.245B,940.00M,10.00M,35.00M,-25.00M,43.00M,-25.00M,958.00M,309.00M,649.00M,8.00M,657.00M,604.16M,1.072B,79.00M,993.00M,3.39,,3.113,3.39,3.34,,3.068,3.34,191.06M,193.93M,1.0
2010-09,2.092B,2.092B,105.00M,1.987B,,1.214B,1.214B,40.00M,,12.00M,,37.00M,10.00M,-27.00M,26.00M,1.28B,707.00M,10.00M,37.00M,-27.00M,105.00M,-27.00M,785.00M,201.00M,584.00M,-33.00M,551.00M,472.89M,896.00M,74.00M,822.00M,2.85,0.0,2.44,2.85,2.83,0.0,2.424,2.83,190.49M,192.33M,1.0
2010-06,2.032B,2.032B,97.00M,1.935B,,1.171B,1.171B,40.00M,,-29.00M,,38.00M,5.00M,-33.00M,27.00M,1.238B,697.00M,5.00M,38.00M,-33.00M,-42.00M,-33.00M,622.00M,233.00M,389.00M,43.00M,432.00M,458.27M,739.00M,79.00M,660.00M,2.23,0.0,2.3680000000000003,2.23,2.21,0.0,2.346,2.21,190.98M,192.57M,1.0
2010-03,1.995B,1.995B,873.00M,1.122B,,,402.00M,40.00M,,1.00M,,40.00M,4.00M,-36.00M,26.00M,468.00M,654.00M,4.00M,40.00M,-36.00M,38.00M,-36.00M,656.00M,228.00M,428.00M,-5.00M,423.00M,398.21M,774.00M,78.00M,696.00M,2.2,0.0,2.069,2.2,2.17,0.0,2.041,2.17,189.68M,192.15M,1.0
2009-12,1.544B,1.544B,106.00M,1.438B,,986.00M,986.00M,39.00M,,0.00,,23.00M,4.00M,-19.00M,24.00M,1.049B,389.00M,4.00M,23.00M,-19.00M,37.00M,-19.00M,407.00M,150.00M,257.00M,-1.00M,256.00M,232.64M,494.00M,64.00M,430.00M,1.66,0.0,1.507,1.66,1.61,0.0,1.46,1.61,152.23M,155.92M,0.78
2009-09,1.14B,1.14B,119.00M,1.021B,,605.00M,605.00M,36.00M,,0.00,,15.00M,4.00M,-11.00M,23.00M,664.00M,357.00M,4.00M,15.00M,-11.00M,89.00M,-11.00M,435.00M,101.00M,334.00M,-17.00M,317.00M,248.66M,510.00M,60.00M,450.00M,2.31,0.0,1.797,2.31,2.27,0.0,1.767,2.27,133.27M,135.90M,0.78
2009-06,1.029B,1.029B,515.00M,514.00M,,,191.00M,36.00M,,0.00,,15.00M,4.00M,-11.00M,26.00M,253.00M,261.00M,4.00M,15.00M,-11.00M,88.00M,-11.00M,338.00M,94.00M,244.00M,-26.00M,218.00M,154.47M,411.00M,58.00M,353.00M,1.62,0.0,1.135,1.62,1.59,0.0,1.114,1.59,130.93M,133.36M,0.78
2009-03,987.00M,987.00M,478.00M,509.00M,,,153.00M,36.00M,,-22.00M,,15.00M,8.00M,-7.00M,27.00M,216.00M,293.00M,8.00M,15.00M,-7.00M,-194.00M,-7.00M,92.00M,30.00M,62.00M,22.00M,84.00M,214.74M,164.00M,57.00M,107.00M,0.63,0.0,1.6340000000000001,0.63,0.62,0.0,1.6119999999999999,0.62,130.22M,131.80M,0.78
2008-12,1.064B,1.064B,-1.353B,2.417B,,,1.973B,35.00M,,-38.00M,,15.00M,13.00M,-2.00M,33.00M,2.041B,376.00M,13.00M,15.00M,-2.00M,-448.00M,-2.00M,-74.00M,-7.00M,-67.00M,191.00M,52.00M,457.62M,-1.00M,58.00M,-59.00M,0.39,0.0,3.513,0.39,0.39,0.0,3.513,0.39,129.89M,129.89M,0.78
2008-09,1.313B,1.313B,617.00M,696.00M,,,171.00M,37.00M,,0.00,,18.00M,20.00M,2.00M,34.00M,242.00M,454.00M,20.00M,18.00M,2.00M,-143.00M,2.00M,313.00M,117.00M,196.00M,-21.00M,217.00M,306.55M,392.00M,61.00M,331.00M,1.62,0.0,2.31,1.62,1.59,0.0,2.267,1.59,129.79M,132.27M,0.78
2008-06,1.387B,1.387B,704.00M,683.00M,,,208.00M,37.00M,,0.00,,18.00M,14.00M,-4.00M,33.00M,278.00M,405.00M,14.00M,18.00M,-4.00M,,-4.00M,401.00M,147.00M,254.00M,-20.00M,274.00M,274.00M,477.00M,58.00M,419.00M,2.04,0.0,2.04,2.04,2.0,0.0,2.0,2.0,129.57M,132.03M,0.78
2008-03,1.30B,1.30B,625.00M,675.00M,,,212.00M,37.00M,,0.00,,18.00M,18.00M,0.00,30.00M,279.00M,396.00M,18.00M,18.00M,0.00,-20.00M,0.00,376.00M,130.00M,246.00M,-5.00M,241.00M,254.09M,453.00M,59.00M,394.00M,1.81,0.0,1.912,1.81,1.77,0.0,1.869,1.77,128.90M,131.62M,0.78
2007-12,1.445B,1.445B,-1.118B,2.562B,,,2.157B,-42.23M,,-478.46M,,20.98M,21.80M,0.819M,-20.11M,2.094B,468.05M,21.80M,20.98M,0.819M,25.54M,0.819M,494.41M,164.91M,329.50M,-9.331M,320.17M,639.03M,574.00M,58.61M,515.39M,2.29,0.0,4.772,2.29,2.25,0.0,4.686,2.25,128.45M,130.91M,0.67
2007-09,1.298B,1.298B,638.59M,659.49M,,,199.81M,59.85M,,117.90M,,9.815M,20.11M,10.29M,128.11M,387.77M,271.72M,20.11M,9.815M,10.29M,117.90M,10.29M,399.91M,63.17M,336.74M,-81.54M,255.20M,155.93M,469.57M,48.70M,409.72M,1.99,0.0,1.215,1.99,1.94,0.0,1.1840000000000002,1.94,128.16M,131.32M,0.67
2007-06,87.83M,1.097B,539.85M,557.17M,,,215.38M,59.79M,,210.20M,,10.22M,13.74M,3.515M,,275.17M,282.00M,13.74M,10.22M,3.515M,210.20M,3.515M,495.72M,125.01M,370.71M,-148.46M,222.24M,65.05M,565.73M,27.07M,505.94M,1.73,0.0,0.5071,1.73,1.69,0.0,0.4936,1.69,128.54M,131.38M,0.67
2007-03,1.005B,1.005B,,,,202.16M,202.16M,52.59M,,150.36M,,,,,478.39M,733.14M,272.23M,,,,150.36M,,429.96M,109.91M,320.06M,-124.67M,195.39M,83.46M,339.85M,67.62M,272.23M,1.52,0.0,0.6511,1.52,1.48,0.0,0.6314,1.48,128.81M,131.90M,0.67
2006-12,1.019B,1.019B,,,,,1.158B,26.90M,,-43.16M,,,,,-619.97M,565.27M,280.28M,,,,-6.165M,,282.46M,99.04M,185.82M,,169.82M,197.85M,355.98M,43.70M,312.28M,1.459,,1.7,1.459,1.459,,1.7,1.459,116.41M,116.41M,0.42
2006-09,323.06M,323.06M,,,,,75.83M,3.735M,,-1.737M,,,,,214.48M,294.05M,29.01M,,,,-1.737M,,30.92M,11.11M,18.91M,,18.91M,20.03M,39.79M,10.78M,29.01M,0.29,0.0,0.3072,0.29,0.28,0.0,0.2965,0.28,64.76M,67.48M,0.42
2006-06,360.73M,360.73M,,,,,67.63M,2.029M,,1.608M,,,,,194.39M,264.05M,96.68M,,,,1.608M,,101.50M,37.24M,63.40M,,63.40M,62.39M,106.09M,9.408M,96.68M,0.99,0.0,0.9741,0.99,0.95,0.0,0.9347,0.95,64.14M,66.65M,0.42
2006-03,410.72M,395.66M,,,,52.20M,52.20M,2.029M,,9.294M,-295.63M,,,,537.04M,295.63M,100.03M,,,,9.294M,,113.12M,41.62M,70.86M,0.642M,70.86M,64.99M,109.14M,9.109M,100.03M,1.11,0.0,1.018,1.11,1.06,0.0,0.972,1.06,64.07M,66.73M,0.42
2005-12,369.11M,369.11M,,,,,625.29M,2.028M,,-37.25M,,,,,-435.22M,192.10M,112.40M,,,,-13.03M,,116.44M,42.83M,73.62M,-0.698M,72.92M,96.47M,164.02M,8.488M,155.53M,1.13,0.0,1.4980000000000002,1.13,1.09,0.0,1.4409999999999998,1.09,64.00M,67.07M,0.3
2005-09,300.81M,300.81M,,,,,51.52M,2.54M,,21.44M,,,,,167.07M,221.14M,79.67M,,,,21.44M,,99.10M,37.08M,62.02M,-0.904M,61.12M,47.70M,87.21M,7.543M,79.67M,0.95,0.0,0.7406,0.95,0.92,0.0,0.7189,0.92,64.09M,66.71M,0.3
2005-06,271.39M,271.39M,,,,,46.40M,1.656M,,6.027M,,,,,141.44M,189.49M,81.90M,,,,6.027M,,85.86M,31.32M,54.54M,-1.20M,53.34M,49.51M,89.64M,7.74M,81.90M,0.83,0.0,0.7705,0.83,0.8,0.0,0.7427,0.8,64.35M,66.80M,0.3
2005-03,259.87M,250.08M,,,,46.17M,46.17M,1.281M,,9.786M,-183.50M,,,,319.55M,183.50M,66.58M,,,,9.786M,,74.35M,27.33M,46.54M,-0.487M,46.54M,40.35M,73.71M,7.131M,66.58M,0.72,0.0,0.6237,0.72,0.7,0.0,0.6075,0.7,64.29M,66.88M,0.3
2004-12,96.99M,188.68M,,,,,36.82M,0.201M,,7.823M,,,,,95.83M,132.85M,55.83M,,,,7.823M,,63.48M,12.92M,59.01M,-9.254M,49.75M,43.52M,61.05M,5.224M,55.83M,0.78,0.0,0.6821,0.78,0.75,0.0,0.656,0.75,63.68M,66.27M,0.25
2004-09,171.00M,171.00M,,,,,29.26M,0.283M,,6.647M,,,,,163.83M,193.38M,-22.38M,,,,6.647M,,-16.69M,-7.265M,-10.20M,0.385M,-9.814M,-13.80M,-17.02M,5.357M,-22.38M,-0.15,0.0,-0.2126,-0.15,-0.15,0.0,-0.2126,-0.15,63.68M,63.68M,0.25
2004-06,162.01M,183.81M,,,,,31.36M,0.232M,,0.00,,,,,89.64M,121.23M,62.58M,,,,,,78.07M,26.52M,51.55M,-3.552M,48.00M,48.00M,67.74M,5.156M,62.58M,0.75,0.0,0.75,0.75,0.73,0.0,0.73,0.73,63.65M,65.77M,0.25
2004-03,160.32M,181.82M,,,,,31.30M,0.231M,,0.80M,,,,,74.43M,105.96M,75.86M,,,,0.80M,,75.58M,20.09M,55.49M,-0.284M,55.21M,54.62M,80.81M,4.949M,75.86M,0.87,0.0,0.8608,0.87,0.84,0.0,0.8311,0.84,63.78M,65.81M,0.25
2003-12,91.69M,161.21M,,,,,31.09M,0.231M,,5.498M,,,,,68.14M,99.46M,61.75M,,,,5.498M,,67.00M,25.35M,41.56M,-0.209M,41.36M,37.94M,67.23M,5.48M,61.75M,0.64,0.0,0.5866,0.64,0.63,0.0,0.578,0.63,64.04M,65.69M,0.2
2003-09,150.34M,150.34M,,,,,25.67M,0.231M,,6.086M,,,,,66.80M,92.70M,57.64M,,,,6.086M,,63.58M,23.58M,40.11M,-0.054M,40.05M,36.22M,63.07M,5.422M,57.64M,0.62,0.0,0.5606,0.62,0.61,0.0,0.5517,0.61,64.50M,65.69M,0.2
