,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2016-06,795.00M,-2.00M,-33.00M,-35.00M,,,77.00M,77.00M,-43.00M,,117.00M,-263.00M,-354.00M,239.00M,,,-68.00M,-183.00M,467.00M,-37.00M,,-37.00M,-30.00M,38.00M,,-20.00M,0.00,,0.00,,-279.00M,-279.00M,-376.00M,-376.00M,,392.00M,-263.00M,4.981B,184.00M,-100.00M,5.065B,,0.00,0.00,-279.00M,532.00M,64.00M
2016-03,647.00M,3.00M,-3.00M,0.00,,,56.00M,56.00M,98.00M,,172.00M,-411.00M,-270.00M,326.00M,,,-1.193B,-1.137B,-565.00M,-30.00M,,-30.00M,,70.00M,,46.00M,,0.00,0.00,,-562.00M,-562.00M,-419.00M,-419.00M,,434.00M,-547.00M,6.083B,-1.066B,-36.00M,4.981B,,0.00,,-562.00M,107.00M,40.00M
2015-12,869.00M,-10.00M,-32.00M,-42.00M,,,99.00M,99.00M,-83.00M,,117.00M,-209.00M,379.00M,-328.00M,,,346.00M,397.00M,1.157B,-61.00M,,-61.00M,-185.00M,-87.00M,,-323.00M,787.00M,-787.00M,0.00,,-278.00M,-278.00M,-361.00M,-361.00M,47.00M,228.00M,-364.00M,5.673B,470.00M,-60.00M,6.083B,,0.00,0.00,-278.00M,263.00M,55.00M
2015-09,832.00M,4.00M,-8.00M,-4.00M,,,68.00M,68.00M,-73.00M,,128.00M,-33.00M,-208.00M,54.00M,,,580.00M,426.00M,1.351B,-26.00M,,-26.00M,0.00,-21.00M,,-37.00M,0.00,0.00,0.00,,-276.00M,-276.00M,-362.00M,-362.00M,79.00M,50.00M,-509.00M,4.907B,805.00M,-39.00M,5.673B,,0.00,0.00,-276.00M,305.00M,40.00M
2015-06,826.00M,-13.00M,-18.00M,-31.00M,,,65.00M,65.00M,-87.00M,,126.00M,-168.00M,497.00M,-421.00M,,,182.00M,258.00M,1.005B,-36.00M,,-36.00M,0.00,22.00M,,23.00M,-750.00M,787.00M,37.00M,,-279.00M,-279.00M,-364.00M,-364.00M,,131.00M,-475.00M,4.277B,553.00M,77.00M,4.907B,,787.00M,-750.00M,-279.00M,575.00M,59.00M
2015-03,825.00M,19.00M,-33.00M,-14.00M,,,63.00M,63.00M,87.00M,,143.00M,1.00M,-750.00M,654.00M,,,-1.527B,-1.623B,-509.00M,-98.00M,,-98.00M,-88.00M,49.00M,,-128.00M,,,,,-498.00M,-498.00M,-389.00M,-389.00M,,171.00M,-716.00M,5.723B,-1.353B,-93.00M,4.277B,,,,-498.00M,133.00M,40.00M
2014-12,806.00M,16.00M,-25.00M,-9.00M,,,63.00M,63.00M,-73.00M,,117.00M,131.00M,504.00M,-542.00M,,,261.00M,223.00M,1.271B,-26.00M,,-26.00M,0.00,-5.00M,,-18.00M,973.00M,-1.997B,-1.024B,,-256.00M,-256.00M,-322.00M,-322.00M,1.00M,9.00M,-1.592B,6.149B,-339.00M,-87.00M,5.723B,,-24.00M,-1.00B,-256.00M,-235.00M,-106.00M
2014-09,873.00M,1.00M,-41.00M,-40.00M,,,70.00M,70.00M,-133.00M,,100.00M,-105.00M,1.538B,-1.538B,,,497.00M,497.00M,1.284B,-6.00M,,-6.00M,0.00,72.00M,,163.00M,-805.00M,997.00M,192.00M,,-256.00M,-256.00M,-324.00M,-324.00M,3.00M,49.00M,-336.00M,5.127B,1.111B,-89.00M,6.149B,,192.00M,0.00,-256.00M,-1.688B,-400.00M
2014-06,841.00M,-7.00M,-53.00M,-60.00M,,,72.00M,72.00M,-63.00M,,109.00M,-594.00M,-1.34B,1.49B,,,268.00M,418.00M,738.00M,-19.00M,,-19.00M,0.00,-45.00M,,-39.00M,464.00M,,464.00M,,-257.00M,-257.00M,-326.00M,-326.00M,,122.00M,3.00M,4.394B,702.00M,31.00M,5.127B,,344.00M,120.00M,-257.00M,518.00M,98.00M
2014-03,744.00M,-47.00M,-39.00M,-86.00M,,,73.00M,73.00M,165.00M,,127.00M,216.00M,-624.00M,521.00M,,,-1.349B,-1.452B,-206.00M,-15.00M,,-15.00M,0.00,140.00M,,133.00M,877.00M,,877.00M,,-575.00M,-575.00M,-366.00M,-366.00M,,128.00M,64.00M,4.39B,-9.00M,13.00M,4.394B,,997.00M,-120.00M,-575.00M,178.00M,50.00M
2013-12,850.00M,-27.00M,-48.00M,-75.00M,,,76.00M,76.00M,-149.00M,,108.00M,-29.00M,2.075B,-2.257B,,,526.00M,344.00M,1.166B,-34.00M,,-34.00M,-58.00M,-148.00M,,-208.00M,-67.00M,0.00,-67.00M,,-259.00M,-259.00M,-286.00M,-286.00M,28.00M,4.00M,-580.00M,3.987B,378.00M,25.00M,4.39B,,,-67.00M,-259.00M,318.00M,97.00M
2013-09,729.00M,-19.00M,-25.00M,-44.00M,,,71.00M,71.00M,-81.00M,,109.00M,136.00M,-2.046B,2.057B,,,208.00M,219.00M,1.146B,-14.00M,,-14.00M,-240.00M,-44.00M,,-285.00M,-82.00M,0.00,-82.00M,,-269.00M,-269.00M,-287.00M,-287.00M,-18.00M,37.00M,-619.00M,3.668B,242.00M,77.00M,3.987B,,0.00,-82.00M,-269.00M,254.00M,46.00M
2013-06,706.00M,-6.00M,-35.00M,-41.00M,,,72.00M,72.00M,-56.00M,,104.00M,233.00M,361.00M,-390.00M,,,136.00M,107.00M,1.14B,-28.00M,,-28.00M,,-6.00M,,-21.00M,-931.00M,0.00,-931.00M,-1.00M,-254.00M,-255.00M,-286.00M,-286.00M,13.00M,71.00M,-1.388B,3.942B,-269.00M,-5.00M,3.668B,-1.00M,0.00,-931.00M,-254.00M,414.00M,108.00M
2013-03,666.00M,-21.00M,-50.00M,-71.00M,,,72.00M,72.00M,93.00M,,127.00M,-38.00M,-376.00M,597.00M,,,-897.00M,-676.00M,190.00M,-18.00M,,-18.00M,,24.00M,,31.00M,-80.00M,-100.00M,-180.00M,1.00M,-461.00M,-460.00M,-309.00M,-309.00M,5.00M,139.00M,-805.00M,4.606B,-584.00M,-80.00M,3.942B,1.00M,0.00,-180.00M,-461.00M,78.00M,53.00M
2012-12,650.00M,-11.00M,-51.00M,-62.00M,,,76.00M,76.00M,-19.00M,,107.00M,-358.00M,201.00M,-375.00M,,,121.00M,-53.00M,354.00M,-29.00M,,-29.00M,0.00,292.00M,,285.00M,34.00M,0.00,34.00M,-6.00M,-170.00M,-176.00M,-256.00M,-256.00M,0.00,115.00M,-283.00M,4.223B,356.00M,27.00M,4.606B,-6.00M,0.00,34.00M,-170.00M,139.00M,108.00M
2012-09,655.00M,-14.00M,-65.00M,-79.00M,,,74.00M,74.00M,-75.00M,,109.00M,27.00M,-371.00M,399.00M,,,271.00M,299.00M,1.021B,-23.00M,,-23.00M,-55.00M,55.00M,,-4.00M,-29.00M,0.00,-29.00M,2.00M,-170.00M,-168.00M,-259.00M,-259.00M,3.00M,27.00M,-426.00M,3.595B,591.00M,37.00M,4.223B,2.00M,0.00,-29.00M,-170.00M,281.00M,41.00M
2012-06,560.00M,21.00M,-14.00M,7.00M,,,72.00M,72.00M,-32.00M,,121.00M,107.00M,222.00M,-230.00M,,,130.00M,122.00M,967.00M,-57.00M,,-57.00M,-2.00M,-21.00M,,-60.00M,1.397B,0.00,1.397B,2.00M,-1.043B,-1.041B,-260.00M,-260.00M,5.00M,57.00M,158.00M,2.552B,1.065B,-22.00M,3.595B,2.00M,1.495B,-98.00M,-1.043B,465.00M,84.00M
2012-03,575.00M,-39.00M,-45.00M,-84.00M,,,73.00M,73.00M,65.00M,,114.00M,74.00M,-344.00M,320.00M,,,-903.00M,-927.00M,-102.00M,-41.00M,,-41.00M,-210.00M,-248.00M,,-487.00M,-76.00M,0.00,-76.00M,2.00M,-262.00M,-260.00M,-285.00M,-285.00M,39.00M,189.00M,-393.00M,3.506B,-982.00M,28.00M,2.552B,2.00M,,-76.00M,-262.00M,91.00M,43.00M
2011-12,583.00M,-81.00M,-19.00M,-92.00M,,,77.00M,77.00M,-29.00M,-63.00M,122.00M,126.00M,127.00M,-208.00M,,,200.00M,119.00M,873.00M,-29.00M,,-29.00M,0.00,-23.00M,,-18.00M,-53.00M,0.00,-53.00M,2.00M,-102.00M,-100.00M,,-245.00M,3.00M,85.00M,-310.00M,2.983B,545.00M,-22.00M,3.506B,2.00M,0.00,-53.00M,-102.00M,143.00M,86.00M
2011-09,570.00M,10.00M,57.00M,68.00M,,,76.00M,76.00M,-70.00M,20.00M,133.00M,81.00M,-2.00M,671.00M,,,-311.00M,358.00M,1.236B,-59.00M,,-59.00M,0.00,-23.00M,,-82.00M,-58.00M,-500.00M,-558.00M,1.00M,-129.00M,-128.00M,,-249.00M,0.00,-4.00M,-939.00M,2.796B,215.00M,-28.00M,2.983B,1.00M,0.00,-558.00M,-129.00M,170.00M,37.00M
2011-06,622.00M,22.00M,-3.00M,11.00M,,,73.00M,73.00M,-86.00M,21.00M,105.00M,20.00M,129.00M,106.00M,,,-128.00M,107.00M,873.00M,-76.00M,,-76.00M,0.00,-13.00M,,-89.00M,1.419B,600.00M,2.019B,1.00M,-2.548B,-2.547B,,-248.00M,4.00M,1.00M,-771.00M,2.779B,13.00M,4.00M,2.796B,1.00M,2.096B,-77.00M,-2.548B,517.00M,65.00M
2011-03,564.00M,9.00M,-58.00M,-50.00M,,,73.00M,73.00M,48.00M,22.00M,137.00M,17.00M,-130.00M,-721.00M,,,-116.00M,-967.00M,-156.00M,-83.00M,,-83.00M,0.00,68.00M,,-15.00M,-4.00M,-100.00M,-104.00M,1.00M,-106.00M,-105.00M,,-272.00M,9.00M,7.00M,-465.00M,3.367B,-636.00M,48.00M,2.779B,1.00M,,-104.00M,-106.00M,132.00M,39.00M
2010-12,649.00M,-85.00M,-14.00M,-86.00M,,,79.00M,79.00M,-39.00M,-79.00M,110.00M,149.00M,2.00M,85.00M,,,189.00M,276.00M,1.073B,-35.00M,,-35.00M,-7.00M,-158.00M,0.00,-147.00M,0.00,0.00,0.00,2.00M,0.00,2.00M,,-194.00M,3.00M,23.00M,-166.00M,2.636B,760.00M,-29.00M,3.367B,2.00M,0.00,0.00,0.00,228.00M,63.00M
2010-09,584.00M,13.00M,-98.00M,-92.00M,,,74.00M,74.00M,-47.00M,26.00M,114.00M,-9.00M,-58.00M,474.00M,,,39.00M,455.00M,1.105B,-30.00M,,-30.00M,-8.00M,-40.00M,0.00,-78.00M,-4.00M,-344.00M,-348.00M,2.00M,-147.00M,-145.00M,,-193.00M,1.00M,53.00M,-632.00M,2.183B,395.00M,58.00M,2.636B,2.00M,0.00,-348.00M,-147.00M,73.00M,37.00M
2010-06,389.00M,-4.00M,14.00M,12.00M,,,79.00M,79.00M,34.00M,27.00M,113.00M,30.00M,-117.00M,8.00M,,,-101.00M,-210.00M,474.00M,-22.00M,,-22.00M,0.00,-352.00M,2.00M,-372.00M,-24.00M,-436.00M,-460.00M,1.00M,-3.00M,-2.00M,,-193.00M,0.00,38.00M,-617.00M,2.703B,-515.00M,-5.00M,2.183B,1.00M,0.00,-460.00M,-3.00M,215.00M,73.00M
2010-03,428.00M,14.00M,-43.00M,-37.00M,,,78.00M,78.00M,55.00M,26.00M,108.00M,-7.00M,-146.00M,-759.00M,,,90.00M,-815.00M,-164.00M,-44.00M,,-44.00M,-8.00M,23.00M,-1.00M,-30.00M,-148.00M,-1.354B,-1.502B,1.00M,-114.00M,-113.00M,,-196.00M,6.00M,50.00M,-1.755B,4.708B,-1.949B,-56.00M,2.703B,1.00M,,-1.502B,-114.00M,67.00M,26.00M
2009-12,257.00M,0.00,-9.00M,26.00M,,,64.00M,64.00M,10.00M,24.00M,85.00M,-40.00M,65.00M,3.00M,,,56.00M,142.00M,568.00M,-15.00M,,-15.00M,-5.597B,80.00M,2.00M,-5.53B,2.489B,2.035B,4.524B,2.50B,-5.00M,2.495B,,-106.00M,3.00M,4.00M,6.92B,2.763B,1.958B,-13.00M,4.708B,2.50B,4.529B,-5.00M,-5.00M,98.00M,0.00
2009-09,334.00M,20.00M,-92.00M,-90.00M,,,60.00M,60.00M,-40.00M,23.00M,73.00M,0.00,-135.00M,283.00M,,,49.00M,197.00M,557.00M,-19.00M,,-19.00M,0.00,13.00M,-1.00M,-7.00M,0.00,-1.00M,-1.00M,0.00,-1.00M,-1.00M,,-108.00M,4.00M,40.00M,-66.00M,2.305B,484.00M,-26.00M,2.763B,0.00,0.00,-1.00M,-1.00M,65.00M,26.00M
2009-06,244.00M,245.00M,-77.00M,20.00M,,,58.00M,58.00M,-15.00M,26.00M,77.00M,0.00,-106.00M,253.00M,,,-157.00M,-10.00M,400.00M,-17.00M,,-17.00M,-158.00M,89.00M,0.00,-86.00M,-3.00M,0.00,-3.00M,303.00M,-1.00M,302.00M,,-103.00M,10.00M,-110.00M,96.00M,1.793B,410.00M,102.00M,2.305B,303.00M,-2.00M,-1.00M,-1.00M,340.00M,26.00M
2009-03,62.00M,,166.00M,297.00M,,,57.00M,57.00M,-44.00M,27.00M,82.00M,2.00M,112.00M,-602.00M,,,-119.00M,-609.00M,-126.00M,-16.00M,,-16.00M,0.00,121.00M,-1.00M,104.00M,72.00M,0.00,72.00M,1.00M,-39.00M,-38.00M,,-105.00M,1.00M,-131.00M,-201.00M,2.032B,-223.00M,-16.00M,1.793B,1.00M,72.00M,0.00,-39.00M,,
2008-12,-67.00M,431.00M,162.00M,591.00M,,,58.00M,58.00M,-146.00M,33.00M,74.00M,7.00M,278.00M,-207.00M,,,-126.00M,210.00M,760.00M,-64.00M,,-64.00M,30.00M,-10.00M,6.00M,-23.00M,3.00M,0.00,3.00M,1.00M,-2.00M,-1.00M,,-106.00M,2.00M,-220.00M,-322.00M,1.793B,415.00M,-176.00M,2.032B,1.00M,0.00,3.00M,-2.00M,-432.00M,-61.00M
2008-09,196.00M,-19.00M,156.00M,142.00M,,,61.00M,61.00M,-21.00M,34.00M,71.00M,7.00M,303.00M,-71.00M,,,-47.00M,185.00M,675.00M,-32.00M,,-32.00M,-5.00M,-55.00M,40.00M,-52.00M,-4.00M,-100.00M,-104.00M,2.00M,-1.00M,1.00M,,-105.00M,4.00M,35.00M,-169.00M,1.428B,454.00M,-89.00M,1.793B,2.00M,200.00M,-304.00M,-1.00M,137.00M,28.00M
2008-06,254.00M,19.00M,-6.00M,-31.00M,,,58.00M,58.00M,-25.00M,33.00M,63.00M,-101.00M,-30.00M,163.00M,,,127.00M,260.00M,611.00M,-15.00M,,-15.00M,0.00,-122.00M,-48.00M,-185.00M,-110.00M,0.00,-110.00M,2.00M,-7.00M,-5.00M,,-104.00M,13.00M,15.00M,-191.00M,1.194B,235.00M,-1.00M,1.428B,2.00M,100.00M,-210.00M,-7.00M,237.00M,4.00M
2008-03,246.00M,,10.00M,51.00M,,,59.00M,59.00M,-42.00M,30.00M,70.00M,100.00M,-324.00M,-342.00M,,,122.00M,-544.00M,-130.00M,-25.00M,,-25.00M,,-111.00M,2.00M,-134.00M,-93.00M,,-93.00M,1.00M,-36.00M,-35.00M,,-104.00M,5.00M,22.00M,-205.00M,1.656B,-469.00M,7.00M,1.194B,1.00M,,-93.00M,-36.00M,58.00M,29.00M
2007-12,684.17M,,-21.59M,-152.22M,,,58.61M,58.61M,-5.424M,28.97M,45.48M,-351.02M,-98.34M,85.95M,,,-25.49M,-82.88M,225.68M,-26.06M,,-26.06M,-549.73M,-249.89M,,-818.67M,-66.10M,-150.00M,-216.10M,3.402M,-12.90M,-9.495M,,-87.41M,25.61M,241.21M,-46.19M,2.321B,-639.18M,-25.10M,1.656B,3.402M,-216.78M,0.683M,-12.90M,-257.41M,-22.91M
2007-09,255.20M,,300.10M,-557.41M,,,48.70M,48.70M,-142.04M,28.76M,51.09M,354.69M,-100.46M,285.52M,,,214.87M,399.92M,438.92M,-22.64M,,-22.64M,-0.074M,-29.93M,,-52.64M,612.48M,90.00M,702.48M,-0.212M,-83.34M,-83.56M,,-88.82M,7.652M,15.76M,553.52M,1.356B,939.80M,24.53M,2.321B,-0.212M,703.16M,-0.683M,-83.34M,154.65M,9.226M
2007-06,222.24M,,-346.51M,-73.38M,-46.06M,-21.56M,27.07M,27.07M,-61.96M,50.27M,91.43M,2.749M,199.06M,99.70M,,,-149.59M,149.17M,407.59M,-34.32M,,-34.32M,11.30M,-8.297M,5.709M,-25.61M,261.62M,-190.00M,71.62M,-28.38M,-122.36M,-150.75M,,-88.35M,36.74M,69.81M,-60.93M,1.019B,321.05M,16.37M,1.356B,-28.38M,621.62M,,-122.36M,102.76M,13.68M
2007-03,195.39M,,,,46.06M,21.56M,67.62M,67.62M,103.43M,,,-4.418M,-277.26M,-470.17M,,,-99.79M,-847.22M,-485.20M,-27.98M,,-27.98M,-53.50M,-83.89M,-5.709M,-171.08M,,550.00M,550.00M,32.19M,-164.40M,-132.20M,,-88.42M,,183.22M,512.60M,1.160B,-143.68M,2.203M,1.019B,32.19M,,,-164.40M,,
2006-12,169.82M,,,,,,43.70M,43.70M,-10.04M,,,-64.21M,-26.82M,318.25M,-87.00M,,-2.571M,201.87M,483.14M,-36.99M,,-36.99M,661.89M,-140.98M,-779.77M,-295.85M,0.00,0.00,0.00,-2.66M,-6.385M,-9.045M,,-54.87M,,56.73M,-4.18M,943.90M,183.12M,33.21M,1.16B,-2.66M,,,-6.385M,,
2006-09,18.91M,,,,,,10.78M,10.78M,-17.01M,,,27.26M,40.78M,120.79M,,,4.162M,165.74M,205.69M,-19.48M,,-19.48M,-340.67M,-6.895M,779.77M,412.73M,0.00,0.00,0.00,4.086M,-23.39M,-19.30M,,-27.02M,,2.658M,-43.67M,368.69M,574.75M,0.468M,943.90M,4.086M,,,-23.39M,,
2006-06,63.40M,,,,,,9.408M,9.408M,-10.84M,,,20.50M,-49.39M,-2.433M,57.17M,109.18M,-102.78M,11.74M,94.21M,-12.93M,,-12.93M,-49.21M,-11.84M,,-73.99M,,0.00,0.00,0.133M,-1.187M,-1.054M,,-27.22M,,5.727M,-22.55M,368.10M,-2.325M,2.914M,368.69M,0.133M,,,-1.187M,,
2006-03,70.86M,,,,,,9.109M,9.109M,-5.117M,,,29.45M,-48.58M,-34.61M,-57.17M,-109.18M,83.19M,-166.35M,-62.04M,-14.60M,,-14.60M,0.00,-25.29M,,-39.89M,,0.00,0.00,4.441M,-0.039M,4.402M,,-26.89M,,7.884M,-14.60M,484.22M,-116.54M,0.411M,368.10M,4.441M,,,-0.039M,,
