,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,6.081B,,6.081B,2.677B,,2.677B,,8.758B,,,,,,,,1.287B,-698.00M,589.00M,13.22B,17.38B,30.60B,3.687B,,,172.39B,207.26B,216.02B,1.421B,1.421B,,1.421B,,,,1.421B,5.036B,5.036B,3.516B,3.516B,788.00M,44.00M,561.00M,172.67B,182.57B,184.00B,2.00M,17.53B,18.86B,4.108B,,-301.00M,31.98B
2017-12,7.038B,,7.038B,2.699B,,2.699B,,9.737B,0.0,6.00M,62.00M,645.00M,,33.00M,504.00M,1.25B,-658.00M,592.00M,13.22B,17.39B,30.61B,3.474B,,,175.83B,210.50B,220.24B,1.161B,1.161B,,1.161B,,,,1.161B,5.014B,5.014B,3.527B,3.527B,2.153B,50.00M,416.00M,176.12B,187.23B,188.39B,2.00M,16.94B,19.26B,3.967B,,-432.00M,31.80B
2017-09,6.247B,,6.247B,3.183B,,3.183B,,9.43B,,,,,,,,1.279B,-708.00M,571.00M,13.23B,17.40B,30.63B,3.214B,,,176.73B,211.14B,220.57B,1.652B,1.652B,,1.652B,,,,1.652B,5.00B,5.00B,4.966B,4.966B,1.614B,55.00M,320.00M,176.92B,188.82B,190.47B,2.00M,15.06B,19.14B,3.697B,,-473.00M,30.04B
2017-06,5.582B,,5.582B,2.984B,,2.984B,,8.566B,,,,,,,,1.22B,-671.00M,549.00M,13.20B,17.42B,30.62B,3.136B,,,174.62B,208.92B,217.49B,1.52B,1.52B,,1.52B,,,,1.52B,4.97B,4.97B,4.981B,4.981B,1.14B,61.00M,271.00M,174.99B,186.35B,187.87B,2.00M,14.52B,19.04B,3.433B,,-575.00M,29.56B
2017-03,5.814B,,5.814B,3.227B,,3.227B,,9.041B,,,,,,,,1.182B,-636.00M,546.00M,13.11B,17.34B,30.45B,2.954B,,,187.59B,221.54B,230.59B,2.00B,2.00B,,2.00B,,,,2.00B,5.619B,5.619B,5.03B,5.03B,769.00M,50.00M,309.00M,187.65B,199.38B,201.38B,2.00M,14.07B,18.93B,3.171B,,-677.00M,29.16B
2016-12,6.175B,,6.175B,2.115B,,2.115B,,8.29B,0.0,6.00M,62.00M,611.00M,,5.00M,476.00M,1.16B,-601.00M,559.00M,13.12B,17.36B,30.48B,2.603B,,,178.24B,211.89B,220.18B,880.00M,880.00M,,880.00M,,,,880.00M,4.915B,4.915B,4.84B,4.84B,1.88B,52.00M,194.00M,178.32B,190.15B,191.03B,2.00M,13.66B,19.34B,3.185B,,-716.00M,29.10B
2016-09,5.615B,,5.615B,2.601B,,2.601B,,8.216B,,,,,,,,1.195B,-631.00M,564.00M,13.12B,17.39B,30.51B,3.142B,,,184.31B,218.52B,226.74B,1.354B,1.354B,,1.354B,,,,1.354B,4.961B,4.961B,4.832B,4.832B,1.481B,57.00M,600.00M,184.55B,196.42B,197.78B,2.00M,13.18B,19.24B,2.919B,,-598.00M,28.90B
2016-06,5.237B,,5.237B,2.885B,,2.885B,,8.122B,,,,,,,,1.197B,-621.00M,576.00M,13.13B,17.41B,30.54B,2.66B,,,180.16B,213.93B,222.06B,1.615B,1.615B,,1.615B,,,,1.615B,4.95B,4.95B,4.899B,4.899B,1.064B,67.00M,520.00M,180.37B,191.80B,193.42B,2.00M,12.68B,19.13B,2.69B,,-560.00M,28.57B
2016-03,5.084B,,5.084B,2.526B,,2.526B,,7.61B,,,,,,,,1.173B,-592.00M,581.00M,13.12B,17.35B,30.47B,2.76B,,,181.54B,215.35B,222.96B,1.385B,1.385B,,1.385B,,,,1.385B,4.968B,4.968B,4.937B,4.937B,672.00M,75.00M,517.00M,182.01B,193.10B,194.49B,2.00M,12.27B,19.03B,2.432B,,-474.00M,28.39B
2015-12,6.231B,,6.231B,2.237B,,2.237B,,8.468B,0.0,6.00M,32.00M,571.00M,,51.00M,491.00M,1.151B,-570.00M,581.00M,13.12B,17.37B,30.50B,2.608B,,,183.11B,216.79B,225.26B,1.068B,1.068B,,1.068B,,,,1.068B,4.93B,4.93B,4.851B,4.851B,1.971B,77.00M,464.00M,183.40B,195.61B,196.68B,2.00M,12.03B,19.40B,2.489B,,-448.00M,28.50B
2015-09,5.749B,,5.749B,2.542B,,2.542B,,8.291B,,,,,,,,1.167B,-624.00M,543.00M,12.96B,17.36B,30.32B,2.288B,,,180.77B,213.92B,222.22B,1.343B,1.343B,,1.343B,,,,1.343B,4.95B,4.95B,4.921B,4.921B,1.561B,87.00M,258.00M,180.96B,192.65B,193.99B,2.00M,11.53B,19.33B,2.318B,,-408.00M,28.14B
2015-06,4.971B,,4.971B,2.347B,,2.347B,,7.318B,,,,,,,,1.18B,-635.00M,545.00M,12.97B,17.39B,30.36B,2.337B,,,196.44B,229.69B,237.01B,1.284B,1.284B,,1.284B,,,,1.284B,4.947B,4.947B,4.999B,4.999B,1.137B,96.00M,258.00M,196.51B,207.85B,209.14B,2.00M,11.05B,19.25B,2.191B,,-339.00M,27.78B
2015-03,4.572B,,4.572B,2.836B,,2.836B,,7.408B,,,,,,,,1.142B,-605.00M,537.00M,12.98B,17.43B,30.40B,6.099B,,,198.27B,235.31B,242.71B,1.714B,1.714B,,1.714B,,,,1.714B,8.902B,8.902B,5.077B,5.077B,684.00M,101.00M,180.00M,198.68B,213.52B,215.24B,2.00M,10.61B,19.13B,1.927B,,-439.00M,27.38B
2014-12,6.001B,,6.001B,2.12B,,2.12B,,8.121B,0.0,4.00M,31.00M,536.00M,,5.00M,478.00M,1.054B,-587.00M,467.00M,12.96B,17.34B,30.30B,5.241B,,,195.66B,231.67B,239.79B,1.035B,1.035B,,1.035B,,,,1.035B,8.311B,8.311B,4.989B,4.989B,1.865B,119.00M,35.00M,196.07B,211.27B,212.31B,2.00M,10.14B,19.39B,1.894B,,-273.00M,27.37B
2014-09,6.324B,,6.324B,2.631B,,2.631B,,8.955B,,,,,,,,1.148B,-680.00M,468.00M,12.97B,17.38B,30.34B,4.834B,,,178.21B,213.86B,222.81B,1.576B,1.576B,,1.576B,,,,1.576B,8.826B,8.826B,5.056B,5.056B,1.487B,129.00M,49.00M,178.58B,194.00B,195.58B,2.00M,9.66B,19.27B,1.657B,,-169.00M,27.11B
2014-06,5.497B,,5.497B,4.207B,,4.207B,,9.704B,,,,,,,,1.167B,-671.00M,496.00M,12.97B,17.42B,30.39B,4.628B,,,186.48B,221.99B,231.69B,3.091B,3.091B,,3.091B,,,,3.091B,8.635B,8.635B,5.177B,5.177B,1.079B,138.00M,47.00M,186.64B,201.58B,204.67B,2.00M,9.113B,19.18B,1.416B,,1.00M,26.88B
2014-03,4.585B,,4.585B,2.868B,,2.868B,,7.453B,,,,,,,,1.149B,-641.00M,508.00M,12.98B,17.46B,30.43B,4.275B,,,173.63B,208.84B,216.30B,1.615B,1.615B,,1.615B,,,,1.615B,8.18B,8.18B,5.241B,5.241B,668.00M,135.00M,88.00M,173.89B,188.07B,189.68B,2.00M,8.604B,19.09B,1.18B,,-35.00M,26.48B
2013-12,4.551B,,4.551B,2.247B,,2.247B,,6.798B,0.0,,31.00M,600.00M,4.00M,,501.00M,1.136B,-611.00M,525.00M,12.98B,17.50B,30.48B,4.476B,,,177.59B,213.08B,219.87B,1.084B,1.084B,,1.084B,,,,1.084B,7.308B,7.308B,5.085B,5.085B,1.747B,156.00M,54.00M,177.98B,192.17B,193.26B,2.00M,8.23B,19.47B,1.21B,,-35.00M,26.46B
2013-09,4.08B,,4.08B,4.311B,,4.311B,,8.391B,,,,,,,,1.172B,-649.00M,523.00M,12.94B,17.51B,30.45B,3.985B,,,169.37B,204.33B,212.72B,3.322B,3.322B,,3.322B,,,,3.322B,7.006B,7.006B,5.237B,5.237B,1.322B,146.00M,41.00M,169.64B,183.25B,186.57B,2.00M,7.678B,19.39B,993.00M,,-79.00M,26.00B
2013-06,3.793B,,3.793B,2.249B,,2.249B,,6.042B,,,,,,,,1.138B,-614.00M,524.00M,12.90B,17.32B,30.22B,3.933B,,,153.02B,187.70B,193.74B,1.271B,1.271B,,1.271B,,,,1.271B,7.083B,7.083B,5.318B,5.318B,948.00M,166.00M,70.00M,153.30B,166.72B,167.99B,2.00M,7.233B,19.30B,750.00M,,-198.00M,25.59B
2013-03,4.232B,,4.232B,2.618B,,2.618B,,6.85B,,,,,,,,1.122B,-593.00M,529.00M,12.90B,17.36B,30.27B,4.225B,,,158.87B,193.89B,200.74B,1.657B,1.657B,,1.657B,,,,1.657B,8.019B,8.019B,5.379B,5.379B,602.00M,286.00M,36.00M,159.41B,173.45B,175.11B,2.00M,6.822B,19.21B,523.00M,,-166.00M,25.34B
2012-12,4.903B,,4.903B,2.25B,,2.25B,,7.153B,0.0,4.00M,30.00M,613.00M,,,482.00M,1.129B,-572.00M,557.00M,12.91B,17.40B,30.31B,4.014B,,,158.42B,193.30B,200.45B,1.055B,1.055B,,1.055B,100.00M,100.00M,,1.155B,8.089B,8.089B,5.293B,5.293B,1.547B,182.00M,32.00M,158.75B,173.71B,174.87B,2.00M,6.473B,19.42B,432.00M,,-59.00M,25.40B
2012-09,4.515B,,4.515B,2.464B,,2.585B,,7.10B,,,,,,,,1.124B,-564.00M,560.00M,12.91B,17.44B,30.35B,3.547B,,26.00M,151.24B,185.73B,192.83B,1.427B,1.442B,1.204B,2.646B,1.943B,1.943B,9.00M,4.598B,6.186B,6.186B,5.311B,5.311B,,252.00M,,151.42B,162.92B,167.52B,2.00M,6.066B,19.32B,274.00M,,-58.00M,25.06B
2012-06,3.639B,,3.639B,2.084B,71.00M,2.155B,,5.794B,,,,,,,,1.115B,-544.00M,571.00M,12.89B,17.44B,30.33B,3.387B,,31.00M,142.37B,176.69B,182.48B,,1.042B,848.00M,1.89B,1.539B,1.539B,9.00M,3.438B,6.185B,6.185B,5.385B,5.385B,,250.00M,,142.55B,154.12B,157.56B,2.00M,5.697B,19.22B,124.00M,,-126.00M,24.67B
2012-03,2.647B,,2.647B,2.312B,139.00M,2.451B,,5.098B,,,,,,,,1.059B,-514.00M,545.00M,12.90B,17.48B,30.38B,3.505B,,34.00M,145.96B,180.42B,185.52B,,1.284B,551.00M,1.835B,1.647B,1.647B,9.00M,3.491B,4.69B,4.69B,5.429B,5.429B,,300.00M,,146.30B,156.42B,159.92B,1.00M,5.39B,20.11B,104.00M,,-90.00M,25.30B
2011-12,3.56B,,3.56B,1.96B,,2.102B,,5.662B,0.0,4.00M,30.00M,533.00M,,1.00M,452.00M,1.02B,-483.00M,537.00M,12.79B,17.36B,30.15B,3.27B,,38.00M,140.24B,174.23B,179.90B,923.00M,945.00M,,945.00M,100.00M,100.00M,,1.045B,6.264B,6.264B,5.323B,5.323B,1.383B,222.00M,92.00M,140.52B,153.58B,154.63B,1.00M,5.118B,20.28B,219.00M,,-127.00M,25.05B
2011-09,2.983B,,2.983B,2.073B,145.00M,2.218B,,5.201B,,,,,,,,1.063B,-518.00M,545.00M,12.80B,17.40B,30.19B,1.525B,,45.00M,136.77B,169.08B,174.28B,,1.194B,1.105B,2.299B,100.00M,100.00M,,2.399B,4.69B,4.69B,5.366B,5.366B,,212.00M,,136.89B,146.94B,149.34B,1.00M,4.815B,20.15B,128.00M,,-110.00M,24.73B
2011-06,2.861B,1.331B,4.192B,2.084B,,2.235B,,6.427B,,,,,,,,1.015B,-494.00M,521.00M,12.80B,17.43B,30.24B,1.598B,,54.00M,146.21B,178.62B,185.05B,1.128B,1.151B,874.00M,2.025B,600.00M,600.00M,,2.625B,4.688B,4.688B,5.44B,5.44B,,246.00M,,147.62B,157.75B,160.38B,1.00M,4.441B,20.02B,0.00,,-40.00M,24.42B
2011-03,2.779B,,2.779B,2.223B,,2.359B,,5.138B,,,,,,,,939.00M,-460.00M,479.00M,12.80B,17.47B,30.28B,1.528B,,60.00M,140.94B,173.28B,178.42B,1.366B,1.392B,538.00M,1.93B,,,,1.93B,3.255B,3.255B,5.526B,5.526B,,237.00M,,141.00B,149.78B,151.71B,2.00M,4.077B,22.46B,2.00M,1.00M,-52.00M,26.48B
2010-12,3.46B,,3.46B,2.095B,,2.245B,,5.705B,0.0,4.00M,30.00M,442.00M,,26.00M,352.00M,854.00M,-426.00M,428.00M,12.80B,17.51B,30.32B,2.852B,,66.00M,139.09B,172.75B,178.46B,1.068B,1.125B,1.52B,2.645B,100.00M,100.00M,,2.745B,4.537B,4.537B,5.477B,5.477B,,240.00M,,139.37B,149.38B,152.12B,2.00M,3.798B,22.50B,111.00M,1.00M,-96.00M,26.09B
2010-09,2.636B,,2.636B,2.052B,,2.22B,,4.856B,,,,,,,,822.00M,-393.00M,429.00M,12.64B,17.55B,30.19B,1.512B,,75.00M,137.44B,169.65B,174.50B,1.234B,1.385B,1.146B,2.531B,100.00M,100.00M,,2.631B,3.258B,3.258B,,5.548B,,280.00M,,137.39B,146.19B,148.82B,2.00M,3.354B,22.40B,124.00M,1.00M,-95.00M,25.40B
2010-06,2.183B,,2.183B,1.989B,158.00M,2.147B,,4.33B,,,,,,,,805.00M,-372.00M,433.00M,12.64B,17.59B,30.23B,1.463B,,91.00M,125.72B,157.94B,162.27B,,1.277B,798.00M,2.075B,444.00M,444.00M,,2.519B,3.262B,3.262B,5.601B,5.601B,,200.00M,,125.73B,134.59B,137.11B,2.00M,2.991B,22.28B,0.00,1.00M,-186.00M,24.95B
2010-03,2.703B,,2.703B,1.868B,170.00M,2.038B,,4.741B,,,,,,,,816.00M,-366.00M,450.00M,12.64B,17.63B,30.27B,1.096B,,100.00M,131.41B,163.32B,168.06B,,1.428B,616.00M,2.044B,880.00M,880.00M,,2.924B,3.286B,3.286B,5.577B,5.577B,,220.00M,,131.40B,140.27B,143.19B,2.00M,2.777B,22.17B,3.00M,1.00M,-165.00M,24.65B
2009-12,4.708B,,4.708B,1.718B,189.00M,1.907B,,6.615B,0.0,4.00M,30.00M,373.00M,,15.00M,324.00M,746.00M,-303.00M,443.00M,12.68B,17.67B,30.35B,1.049B,,103.00M,139.57B,171.51B,178.12B,840.00M,1.345B,1.482B,2.827B,2.234B,2.234B,,5.061B,3.434B,3.434B,5.571B,5.571B,,273.00M,,139.46B,148.46B,153.52B,2.00M,2.436B,22.13B,3.00M,1.00M,-96.00M,24.33B
2009-09,2.763B,,2.763B,1.219B,91.00M,1.31B,,4.073B,,,,,,,,566.00M,-316.00M,250.00M,5.718B,6.335B,12.05B,1.041B,,106.00M,3.857B,17.31B,21.38B,,819.00M,584.00M,1.403B,200.00M,200.00M,,1.603B,944.00M,944.00M,1.729B,1.729B,,231.00M,,3.813B,6.486B,8.089B,2.00M,2.286B,11.00B,0.00,1.00M,-88.00M,13.06B
2009-06,2.305B,,2.305B,1.067B,104.00M,1.171B,,3.476B,,,,,,,,547.00M,-295.00M,252.00M,5.723B,6.371B,12.09B,957.00M,,111.00M,3.519B,16.93B,20.41B,,747.00M,386.00M,1.133B,200.00M,200.00M,,1.333B,944.00M,944.00M,1.767B,1.767B,,213.00M,,3.407B,6.118B,7.451B,2.00M,2.076B,10.89B,0.00,1.00M,-81.00M,12.74B
2009-03,1.793B,,1.793B,953.00M,110.00M,1.063B,,2.856B,,,,,,,,533.00M,-277.00M,256.00M,5.736B,6.405B,12.14B,1.137B,,120.00M,2.713B,16.37B,19.22B,,667.00M,221.00M,888.00M,200.00M,200.00M,,1.088B,946.00M,946.00M,1.783B,1.783B,,201.00M,,3.132B,5.861B,6.949B,1.00M,1.961B,10.47B,25.00M,1.00M,-192.00M,12.07B
2008-12,2.032B,,2.032B,901.00M,,1.21B,,3.242B,0.0,4.00M,29.00M,304.00M,,26.00M,156.00M,519.00M,-259.00M,260.00M,5.533B,6.441B,11.97B,1.429B,,135.00M,2.884B,16.68B,19.92B,545.00M,648.00M,,648.00M,200.00M,200.00M,,1.674B,942.00M,942.00M,1.826B,1.826B,,491.00M,,2.922B,5.69B,7.364B,1.00M,1.982B,10.47B,58.00M,,-186.00M,12.07B
2008-09,1.793B,2.146B,3.939B,1.209B,241.42M,1.450B,,5.389B,,,,,,,,514.80M,-240.51M,274.30M,5.544B,6.477B,12.02B,,,,,12.30B,21.70B,,847.78M,825.56M,1.673B,200.00M,200.00M,,1.873B,946.69M,946.69M,2.039B,2.039B,,868.99M,,,2.986B,8.641B,1.312M,2.043B,10.41B,66.82M,0.126M,-53.62M,12.19B
2008-06,1.428B,1.942B,3.369B,1.569B,204.48M,1.774B,,5.143B,,,,,,,,265.40M,,265.40M,5.535B,6.507B,12.04B,,,,,12.31B,22.02B,,1.124B,666.19M,1.790B,300.00M,300.00M,,2.090B,946.55M,946.55M,1.993B,1.993B,,544.39M,,,2.940B,9.343B,1.312M,1.930B,10.34B,92.07M,0.126M,91.50M,12.13B
2008-03,1.194B,1.923B,3.117B,1.491B,,1.491B,,4.608B,,,,,,,,270.61M,,270.61M,5.500B,6.544B,12.04B,1.923B,254.34M,,,14.49B,21.82B,,1.104B,419.49M,1.523B,300.00M,300.00M,,1.823B,1.059B,1.059B,2.019B,2.019B,,579.50M,,,3.077B,9.423B,1.312M,1.760B,10.29B,144.48M,0.126M,91.62M,11.81B
2007-12,1.656B,,1.656B,1.236B,,1.411B,,3.067B,0.0,4.00M,29.00M,306.00M,,8.00M,145.00M,492.00M,-226.00M,266.00M,5.52B,6.553B,12.07B,2.00B,,175.00M,4.98B,19.49B,22.56B,789.00M,903.00M,,903.00M,300.00M,300.00M,,2.29B,947.00M,947.00M,2.06B,2.06B,,578.00M,,5.09B,8.097B,10.39B,1.00M,1.622B,10.27B,184.00M,,71.00M,11.60B
2007-09,2.321B,2.681B,5.001B,1.156B,96.61M,1.253B,,6.254B,,,,,,,,250.48M,,250.48M,5.455B,5.789B,11.24B,2.681B,,,,14.17B,23.08B,,776.93M,807.87M,1.585B,450.00M,450.00M,,2.035B,1.193B,1.193B,1.792B,1.792B,,1.459B,,,2.985B,10.35B,1.30M,1.387B,10.07B,276.42M,0.126M,85.48M,11.27B
2007-06,1.356B,2.484B,3.840B,1.078B,78.09M,1.156B,,4.996B,,,,,,,,245.12M,,245.12M,5.462B,5.820B,11.28B,2.484B,,250.73M,,14.26B,21.99B,937.24M,937.24M,518.30M,1.456B,360.00M,360.00M,,1.816B,343.74M,343.74M,1.938B,1.938B,,1.409B,,,2.282B,9.480B,1.30M,1.228B,10.03B,222.03M,0.126M,62.37M,11.10B
2007-03,1.019B,2.195B,3.214B,1.282B,72.49M,1.355B,,4.568B,,,,,,,,226.71M,,226.71M,5.307B,5.851B,11.16B,2.195B,,165.32M,,13.75B,20.88B,902.08M,902.08M,345.90M,1.248B,550.00M,550.00M,,1.798B,375.98M,375.98M,1.865B,1.865B,,1.084B,,,2.241B,8.799B,1.30M,1.094B,9.978B,119.45M,0.126M,45.41M,11.00B
2006-12,1.160B,,1.160B,964.37M,,1.078B,,2.415B,0.0,3.564M,29.00M,223.78M,,4.555M,113.72M,374.62M,-159.83M,214.78M,5.257B,5.882B,11.14B,2.098B,,,4.603B,18.05B,20.47B,753.84M,997.68M,,997.68M,,,,2.049B,253.17M,253.17M,1.739B,1.739B,,1.109B,,4.538B,6.530B,8.579B,1.30M,993.82M,9.799B,57.35M,0.126M,44.67M,10.78B
2006-09,943.90M,1.616B,2.560B,1.044B,,1.044B,,3.604B,,,,,,,,193.75M,,193.75M,3.505B,5.882B,9.387B,1.616B,,88.47M,,11.29B,17.87B,,748.55M,865.30M,1.614B,,,,1.614B,531.36M,531.36M,,,,868.40M,,,531.36M,6.399B,1.30M,878.93M,9.772B,52.04M,0.126M,7.352M,10.61B
2006-06,368.69M,347.25M,715.94M,438.28M,,438.28M,,1.154B,,,,,,,,142.53M,,142.53M,199.38M,290.29M,489.68M,347.25M,,59.45M,,1.039B,1.924B,,110.76M,474.64M,585.40M,,,,585.40M,253.17M,253.17M,,,,19.95M,,,253.17M,862.82M,0.651M,878.34M,189.92M,33.81M,,6.049M,1.041B
2006-03,368.10M,338.36M,706.46M,387.28M,,387.28M,,1.094B,,,,,,,,136.97M,,136.97M,200.35M,292.14M,492.49M,338.36M,,48.62M,,1.016B,1.841B,,174.63M,384.97M,559.60M,,,,559.60M,253.79M,253.79M,,,,16.37M,,,253.79M,835.74M,0.652M,840.03M,187.95M,43.16M,,3.46M,988.94M
2005-12,484.22M,298.67M,782.89M,310.42M,29.16M,339.58M,,1.122B,,,,,,,,129.45M,,129.45M,189.81M,294.17M,483.98M,298.67M,,,,912.10M,1.848B,,63.89M,522.64M,586.52M,,,,586.52M,265.68M,265.68M,0.00,0.00,,9.614M,,,265.68M,916.14M,0.653M,806.88M,171.09M,59.06M,,2.673M,922.24M
2005-09,396.51M,292.27M,688.78M,274.67M,,274.67M,,963.45M,,,,,,,,123.69M,,123.69M,,491.71M,491.71M,292.27M,,,,907.66M,1.673B,,80.48M,409.99M,490.47M,,,,490.47M,250.00M,250.00M,,,,9.586M,,,250.00M,796.33M,0.653M,753.18M,184.43M,62.79M,,4.49M,867.19M
2005-06,367.39M,282.81M,650.19M,243.80M,,243.80M,,893.99M,,,,,,,,115.32M,,115.32M,,499.99M,499.99M,282.81M,,,,898.12M,1.563B,,49.34M,317.20M,366.54M,,,,366.54M,250.00M,250.00M,,,,10.58M,,,250.00M,698.35M,0.655M,711.24M,211.00M,59.25M,,4.68M,853.62M
