,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2018-03,3.554B,12.64B,16.20B,4.879B,4.879B,1.242B,3.75B,2.154B,7.146B,,3.408B,31.63B,,,,,104.40B,-60.66B,43.74B,24.35B,12.36B,36.70B,12.92B,744.00M,,982.00M,743.00M,96.97B,128.60B,4.415B,,4.415B,9.586B,14.00B,,,,,3.842B,3.842B,0.00,0.00,,19.96B,24.77B,24.77B,1.564B,2.479B,4.043B,,3.082B,37.67B,57.63B,26.43B,44.42B,,-683.00M,70.97B
2017-12,3.433B,10.57B,14.00B,5.607B,5.607B,738.00M,4.213B,2.032B,6.983B,,2.908B,29.50B,27.39B,,57.19B,15.81B,100.40B,-59.29B,41.11B,24.39B,12.74B,37.13B,12.29B,,860.00M,840.00M,801.00M,93.75B,123.25B,2.928B,,2.928B,7.535B,10.46B,,37.00M,,1.739B,1.776B,1.776B,1.656B,1.656B,,17.42B,25.04B,25.04B,3.046B,0.00,3.046B,,3.791B,35.94B,53.36B,26.07B,42.08B,,862.00M,69.88B
2017-09,9.075B,8.429B,17.50B,5.954B,5.954B,1.115B,3.965B,1.849B,6.929B,,2.767B,33.15B,,,,,97.52B,-58.05B,39.47B,24.39B,13.06B,37.45B,14.03B,543.00M,,789.00M,1.187B,93.93B,127.09B,3.554B,,3.554B,8.482B,12.04B,,,21.00M,4.121B,4.142B,4.142B,1.706B,1.706B,,20.69B,27.50B,27.50B,2.943B,,2.943B,,4.152B,34.59B,55.28B,26.55B,42.78B,,1.61B,71.81B
2017-06,11.69B,14.24B,25.93B,5.397B,5.397B,1.014B,3.775B,1.535B,6.324B,,2.967B,40.62B,,,,,94.65B,-56.52B,38.13B,14.10B,8.867B,22.97B,15.37B,2.725B,,753.00M,1.121B,81.49B,122.11B,3.671B,,3.671B,7.062B,10.73B,,,13.00M,4.117B,4.13B,4.13B,1.587B,1.587B,,18.78B,27.86B,27.86B,2.502B,,2.502B,,3.469B,33.83B,52.61B,25.78B,41.67B,,1.174B,69.50B
2017-03,4.934B,12.36B,17.30B,4.921B,4.921B,786.00M,3.412B,1.603B,5.801B,,2.903B,36.06B,,,,,92.08B,-55.17B,36.91B,14.10B,9.157B,23.26B,16.71B,360.00M,,915.00M,1.016B,79.59B,115.65B,3.221B,,3.221B,7.422B,10.64B,,,,,5.073B,5.073B,1.698B,1.698B,1.746B,21.30B,20.68B,20.68B,2.285B,,2.285B,,3.658B,26.62B,47.93B,25.89B,40.09B,,863.00M,67.72B
2016-12,5.56B,11.54B,17.10B,4.69B,4.69B,695.00M,3.19B,1.668B,5.553B,,2.956B,35.51B,26.63B,,52.61B,10.87B,90.10B,-53.93B,36.17B,14.10B,9.494B,23.59B,15.32B,236.00M,,907.00M,1.243B,77.82B,113.33B,2.475B,,2.475B,6.09B,8.565B,,,25.00M,4.609B,4.634B,4.634B,1.718B,1.718B,1.92B,20.30B,20.65B,20.65B,1.73B,,1.73B,,3.538B,25.92B,46.22B,25.37B,40.75B,,106.00M,67.11B
2016-09,4.752B,13.02B,17.77B,4.952B,4.952B,688.00M,3.443B,1.652B,5.783B,,2.612B,36.22B,,,,,88.77B,-54.06B,34.71B,13.87B,9.524B,23.39B,14.88B,311.00M,324.00M,730.00M,1.185B,76.00B,112.22B,3.181B,,3.181B,6.624B,9.805B,,450.00M,16.00M,3.107B,3.573B,3.573B,1.724B,1.724B,1.881B,20.09B,24.04B,24.04B,1.211B,,1.211B,,2.869B,28.12B,48.22B,25.07B,37.64B,,400.00M,64.00B
2016-06,3.885B,13.80B,17.69B,4.426B,4.426B,651.00M,3.218B,1.931B,5.80B,,3.273B,31.19B,,,,,87.12B,-53.31B,33.80B,16.99B,10.82B,27.81B,13.75B,558.00M,310.00M,701.00M,1.247B,78.64B,109.83B,3.42B,,3.42B,5.115B,8.535B,,1.442B,15.00M,3.103B,4.56B,4.56B,2.807B,2.807B,,18.71B,24.05B,24.05B,1.293B,,1.293B,,3.517B,28.86B,47.57B,24.32B,37.13B,,-80.00M,62.26B
2016-03,3.061B,12.03B,15.09B,4.216B,4.216B,628.00M,2.98B,2.143B,5.751B,,2.339B,27.40B,,,,,84.84B,-52.20B,32.64B,16.94B,11.14B,28.08B,14.00B,755.00M,323.00M,682.00M,1.097B,78.07B,105.47B,3.163B,,3.163B,6.303B,9.466B,,921.00M,75.00M,2.598B,3.594B,3.594B,2.632B,2.632B,,17.53B,21.78B,21.78B,1.247B,,1.247B,,2.851B,25.87B,43.40B,24.09B,36.53B,,560.00M,62.07B
2015-12,15.31B,10.00B,25.31B,4.787B,4.787B,532.00M,2.893B,1.742B,5.167B,,2.982B,38.32B,25.58B,,48.46B,9.359B,83.40B,-51.54B,31.86B,11.33B,3.933B,15.26B,12.37B,642.00M,318.00M,1.051B,1.008B,63.14B,101.46B,2.063B,,2.063B,5.567B,7.63B,,,41.00M,2.593B,2.634B,2.634B,2.188B,2.188B,56.00M,15.65B,20.04B,20.04B,954.00M,,954.00M,,2.841B,23.83B,39.48B,23.41B,37.61B,,60.00M,61.98B
2015-09,7.065B,13.78B,20.84B,4.101B,4.101B,557.00M,2.69B,1.718B,4.965B,1.992B,4.304B,36.20B,,,,,83.00B,-51.40B,31.60B,11.03B,4.022B,15.05B,12.03B,650.00M,490.00M,640.00M,1.344B,62.35B,98.55B,2.449B,,2.449B,6.61B,9.059B,,0.00,41.00M,1.088B,1.129B,1.129B,2.16B,2.16B,,15.08B,20.06B,20.06B,2.502B,,2.502B,,2.909B,25.47B,40.55B,23.00B,34.43B,,-335.00M,58.00B
2015-06,4.454B,9.416B,13.87B,3.86B,3.86B,490.00M,2.668B,1.66B,4.818B,1.895B,2.267B,26.71B,,,,,82.33B,-49.64B,32.68B,11.04B,4.226B,15.26B,12.44B,464.00M,490.00M,597.00M,1.355B,63.78B,90.49B,2.359B,,2.359B,5.398B,7.757B,,0.00,23.00M,1.095B,1.118B,1.118B,2.082B,2.082B,,13.53B,12.12B,12.12B,3.251B,,3.251B,,2.996B,18.36B,31.89B,22.62B,34.42B,,645.00M,58.60B
2015-03,4.244B,9.874B,14.12B,3.246B,3.246B,528.00M,2.19B,1.70B,4.418B,2.048B,2.636B,26.47B,,,,,81.29B,-47.99B,33.30B,10.77B,4.211B,14.98B,11.60B,316.00M,,638.00M,1.76B,63.10B,89.57B,2.775B,,2.775B,6.932B,9.707B,,,,,1.121B,1.121B,2.196B,2.196B,,15.04B,12.11B,12.11B,3.462B,,3.462B,,3.125B,18.70B,33.73B,22.40B,32.46B,,68.00M,55.83B
2014-12,2.561B,11.49B,14.05B,4.427B,4.427B,462.00M,2.375B,1.436B,4.273B,1.958B,3.018B,27.73B,22.99B,,44.44B,12.28B,79.71B,-46.47B,33.24B,10.86B,4.446B,15.31B,12.34B,416.00M,312.00M,622.00M,1.304B,64.17B,91.90B,2.748B,,2.748B,5.987B,8.735B,0.00,500.00M,16.00M,1.08B,1.596B,1.596B,2.205B,2.205B,,16.01B,12.06B,12.06B,3.775B,,3.775B,,3.278B,19.11B,35.12B,21.78B,33.42B,,666.00M,56.78B
2014-09,3.143B,12.45B,15.59B,3.647B,3.647B,496.00M,2.292B,1.327B,4.115B,1.674B,2.479B,27.51B,,,,,78.50B,-45.37B,33.14B,10.56B,4.379B,14.94B,12.03B,362.00M,,545.00M,1.582B,63.11B,90.62B,2.597B,,2.597B,6.023B,8.62B,,,,,1.164B,1.164B,2.189B,2.189B,,14.90B,12.10B,12.10B,3.551B,,3.551B,,3.07B,18.72B,33.63B,21.89B,33.23B,,946.00M,56.99B
2014-06,3.049B,14.26B,17.31B,3.489B,3.489B,503.00M,2.071B,1.369B,3.943B,2.255B,2.008B,29.01B,,,,,77.14B,-44.03B,33.12B,10.62B,4.697B,15.32B,11.50B,421.00M,,512.00M,1.39B,62.79B,91.79B,2.96B,,2.96B,4.697B,7.657B,,,,,14.00M,14.00M,2.171B,2.171B,,12.25B,13.18B,13.18B,4.187B,,4.187B,,2.928B,20.30B,32.55B,22.48B,35.65B,,1.12B,59.25B
2014-03,4.777B,14.27B,19.05B,3.505B,3.505B,463.00M,1.803B,1.497B,3.763B,2.507B,1.733B,30.55B,,,,,75.29B,-42.79B,32.50B,10.62B,4.963B,15.58B,10.24B,806.00M,,449.00M,1.342B,61.38B,91.93B,3.01B,,3.01B,6.356B,9.366B,,,,,36.00M,36.00M,2.171B,2.171B,,13.55B,13.17B,13.17B,4.302B,,4.302B,,2.868B,20.34B,33.89B,22.17B,34.72B,,1.156B,58.04B
2013-12,5.674B,14.41B,20.09B,3.582B,3.582B,458.00M,1.998B,1.716B,4.172B,2.594B,1.649B,32.08B,21.10B,,40.54B,11.78B,73.42B,-41.99B,31.43B,10.51B,5.15B,15.66B,10.00B,952.00M,,434.00M,1.274B,60.27B,92.36B,2.969B,,2.969B,5.099B,8.068B,24.00M,0.00,257.00M,,281.00M,281.00M,2.096B,2.096B,,13.57B,13.16B,13.16B,4.397B,,4.397B,,2.972B,20.53B,34.10B,21.54B,35.48B,,1.243B,58.26B
2013-09,4.881B,14.26B,19.15B,3.719B,3.719B,505.00M,2.259B,1.769B,4.533B,2.435B,1.517B,31.35B,,,,,71.63B,-41.28B,30.35B,10.47B,5.434B,15.90B,10.28B,815.00M,,376.00M,1.478B,59.20B,90.55B,2.996B,,2.996B,5.906B,8.902B,,,,,350.00M,350.00M,2.093B,2.093B,,13.88B,13.16B,13.16B,4.384B,,4.384B,,3.683B,21.22B,35.10B,21.11B,33.29B,,1.048B,55.45B
2013-06,3.778B,13.57B,17.35B,3.474B,3.474B,487.00M,2.22B,1.835B,4.542B,2.121B,1.561B,29.05B,,,,,69.50B,-40.16B,29.34B,10.00B,5.62B,15.62B,9.141B,797.00M,,369.00M,1.336B,56.61B,85.66B,2.864B,,2.864B,4.31B,7.174B,,,,,263.00M,263.00M,1.971B,1.971B,,11.39B,13.15B,13.15B,3.709B,,3.709B,,3.573B,20.43B,31.82B,20.68B,33.02B,,145.00M,53.84B
2013-03,5.698B,11.38B,17.07B,3.536B,3.536B,451.00M,2.129B,1.778B,4.358B,2.109B,1.601B,28.68B,,,,,67.44B,-39.02B,28.42B,9.756B,5.807B,15.56B,8.175B,626.00M,,367.00M,1.257B,54.41B,83.08B,2.654B,,2.654B,5.654B,8.308B,,,,,88.00M,88.00M,1.901B,1.901B,,11.80B,13.14B,13.14B,3.427B,,3.427B,,3.521B,20.09B,31.89B,20.10B,31.51B,,-410.00M,51.19B
2012-12,8.478B,9.684B,18.16B,3.833B,3.833B,478.00M,2.219B,2.037B,4.734B,2.117B,2.512B,31.36B,18.81B,,39.03B,8.206B,66.05B,-38.06B,27.98B,9.71B,6.235B,15.94B,7.111B,644.00M,,358.00M,952.00M,52.99B,84.35B,3.023B,,3.023B,4.659B,7.682B,,,,,312.00M,312.00M,1.932B,1.932B,,12.90B,13.14B,13.14B,3.412B,,3.412B,,3.702B,20.25B,33.15B,19.46B,32.14B,,-399.00M,51.20B
2012-09,3.52B,6.945B,10.46B,3.938B,3.938B,614.00M,2.363B,2.342B,5.319B,1.633B,1.659B,23.01B,,,,,64.17B,-37.01B,27.16B,9.623B,6.221B,15.84B,4.393B,,,,4.033B,51.43B,74.44B,3.188B,,3.188B,4.435B,7.623B,,,,,56.00M,56.00M,1.954B,1.954B,,11.95B,7.10B,7.10B,2.904B,,2.904B,,3.215B,13.22B,25.17B,19.28B,30.49B,,-501.00M,49.27B
2012-06,5.223B,8.425B,13.65B,3.544B,3.544B,655.00M,2.068B,2.181B,4.904B,1.517B,2.172B,25.78B,,,,,62.00B,-36.02B,25.98B,9.442B,5.974B,15.42B,1.167B,,,,4.008B,46.57B,72.35B,3.269B,,3.269B,3.242B,6.511B,,,,,92.00M,92.00M,1.915B,1.915B,,10.54B,7.093B,7.093B,2.775B,,2.775B,,3.167B,13.04B,23.57B,18.88B,30.75B,,-857.00M,48.78B
2012-03,4.429B,9.324B,13.75B,4.037B,4.037B,646.00M,2.048B,1.795B,4.489B,1.794B,1.348B,25.42B,,,,,60.60B,-35.58B,25.03B,9.388B,6.064B,15.45B,1.317B,,,,4.60B,46.40B,71.82B,2.993B,,2.993B,5.087B,8.08B,,,,,362.00M,362.00M,2.001B,2.001B,,11.94B,7.088B,7.088B,2.793B,,2.793B,,3.235B,13.12B,25.06B,18.38B,28.98B,,-604.00M,46.76B
2011-12,5.065B,9.772B,14.84B,3.65B,3.65B,644.00M,1.68B,1.772B,4.096B,1.70B,1.589B,25.87B,17.88B,,34.35B,5.839B,58.07B,-34.45B,23.63B,9.254B,6.267B,15.52B,4.249B,715.00M,,335.00M,800.00M,45.25B,71.12B,2.956B,,2.956B,3.948B,6.904B,,,,,247.00M,247.00M,1.929B,1.929B,,12.03B,7.084B,7.084B,2.617B,,2.617B,,3.479B,13.18B,25.21B,17.04B,29.66B,,-781.00M,45.91B
2011-09,7.057B,8.141B,15.20B,3.821B,3.821B,614.00M,1.494B,1.851B,3.959B,2.011B,1.709B,26.70B,,,,,56.82B,-34.66B,22.16B,9.138B,6.445B,15.58B,1.374B,,,,4.739B,43.85B,70.55B,2.999B,,2.999B,4.657B,7.656B,,,,,66.00M,66.00M,1.917B,1.917B,,11.91B,7.076B,7.076B,2.762B,,2.762B,192.00M,2.495B,12.52B,24.43B,16.25B,29.90B,,-32.00M,46.12B
2011-06,4.635B,6.912B,11.55B,3.359B,3.359B,546.00M,1.45B,2.034B,4.03B,1.973B,2.193B,23.10B,,,,,54.87B,-34.09B,20.78B,9.141B,6.70B,15.84B,1.884B,,,,4.484B,42.99B,66.09B,2.742B,,2.742B,3.606B,6.348B,,,,,71.00M,71.00M,1.824B,1.824B,,10.35B,2.09B,2.09B,2.215B,,2.215B,188.00M,2.519B,7.012B,17.37B,16.24B,32.01B,,466.00M,48.72B
2011-03,4.188B,7.79B,11.98B,3.542B,3.542B,585.00M,1.783B,1.731B,4.099B,1.906B,1.27B,22.80B,,,,,53.01B,-33.45B,19.56B,9.069B,6.872B,15.94B,2.843B,,,,4.414B,42.76B,65.55B,2.757B,729.00M,3.486B,4.676B,8.162B,,,,,54.00M,54.00M,1.813B,1.813B,,11.56B,2.083B,2.083B,1.783B,,1.783B,267.00M,2.505B,6.638B,18.20B,16.27B,30.60B,,481.00M,47.35B
2010-12,5.498B,16.39B,21.88B,2.867B,2.867B,471.00M,1.887B,1.399B,3.757B,1.488B,1.614B,31.61B,0.00,17.42B,30.42B,2.639B,50.48B,-32.58B,17.90B,4.531B,860.00M,5.391B,4.034B,,,,4.251B,31.58B,63.19B,2.29B,,2.29B,3.364B,5.654B,,,,,38.00M,38.00M,747.00M,747.00M,,9.327B,2.077B,2.077B,926.00M,,926.00M,,1.426B,4.429B,13.76B,16.18B,32.92B,,333.00M,49.43B
2010-06,5.514B,12.79B,18.30B,2.43B,2.43B,407.00M,1.637B,1.301B,3.345B,1.206B,1.18B,26.46B,,,,,48.42B,-31.47B,16.95B,4.481B,,4.481B,4.863B,,,,4.937B,31.23B,57.69B,2.126B,0.00,2.126B,5.014B,7.14B,,,,,215.00M,215.00M,582.00M,582.00M,,7.937B,2.058B,2.058B,586.00M,,586.00M,,1.269B,3.913B,11.85B,15.74B,29.87B,,231.00M,45.84B
2010-03,4.988B,5.927B,10.92B,2.192B,2.192B,464.00M,1.473B,1.049B,2.986B,1.423B,6.208B,23.72B,,,,,47.96B,-30.94B,17.03B,4.452B,,4.452B,5.252B,,,,5.317B,32.05B,55.77B,1.912B,916.00M,2.828B,5.101B,7.929B,,,,,330.00M,330.00M,653.00M,653.00M,,8.912B,2.052B,2.052B,881.00M,,881.00M,,1.028B,3.961B,12.87B,15.47B,27.02B,,414.00M,42.90B
2009-12,3.987B,9.933B,13.92B,2.273B,2.273B,437.00M,1.469B,1.029B,2.935B,1.216B,813.00M,21.16B,0.00,16.69B,28.34B,2.796B,47.82B,-30.60B,17.22B,4.421B,,4.421B,4.952B,,,,5.34B,31.94B,53.10B,1.883B,,1.883B,2.495B,4.378B,,,,,172.00M,172.00M,593.00M,593.00M,,7.591B,2.049B,2.049B,555.00M,,555.00M,193.00M,1.003B,3.80B,11.39B,14.99B,26.32B,,393.00M,41.70B
2009-09,4.109B,5.15B,9.259B,2.025B,2.025B,398.00M,1.072B,1.02B,2.49B,1.26B,4.213B,19.25B,,,,,48.62B,-31.26B,17.35B,4.421B,,4.421B,4.377B,,,,5.597B,31.75B,51.00B,1.907B,471.00M,2.378B,4.746B,7.124B,,,,,23.00M,23.00M,602.00M,602.00M,,7.749B,2.201B,2.201B,,,,,2.013B,4.214B,11.96B,14.76B,24.04B,,233.00M,39.03B
2009-06,3.826B,5.195B,9.021B,1.938B,1.938B,385.00M,1.209B,1.211B,2.805B,1.217B,3.486B,18.47B,,,,,48.47B,-30.96B,17.52B,3.932B,,3.932B,3.515B,,,,5.632B,30.59B,49.06B,1.726B,,1.726B,4.849B,6.575B,,,,,24.00M,24.00M,480.00M,480.00M,,7.079B,1.174B,1.174B,,,,,1.761B,2.935B,10.01B,14.00B,25.20B,,-153.00M,39.05B
2009-03,3.536B,4.256B,7.792B,2.086B,2.086B,380.00M,1.448B,1.217B,3.045B,1.337B,3.882B,18.14B,,,,,49.01B,-31.20B,17.82B,3.932B,,3.932B,2.925B,,,,5.64B,30.31B,48.45B,1.669B,,1.669B,4.173B,5.842B,,,,,31.00M,31.00M,468.00M,468.00M,,6.341B,1.17B,1.17B,,,,,1.879B,3.049B,9.39B,13.84B,25.61B,,-390.00M,39.06B
2008-12,3.35B,5.331B,8.681B,1.712B,1.712B,608.00M,1.577B,1.559B,3.744B,1.39B,4.344B,19.87B,0.00,16.56B,28.83B,2.73B,48.12B,-30.54B,17.57B,3.932B,,3.932B,3.276B,,,,5.819B,30.60B,50.47B,2.39B,140.00M,2.53B,4.723B,7.253B,,,,,102.00M,102.00M,463.00M,463.00M,,7.818B,1.185B,1.185B,46.00M,,46.00M,,1.877B,3.108B,10.93B,13.40B,26.54B,,-393.00M,39.55B
2008-09,3.704B,4.583B,8.287B,2.737B,2.737B,583.00M,1.427B,1.388B,3.398B,1.43B,5.571B,21.42B,,,,,47.37B,-30.34B,17.03B,3.924B,,3.924B,,,,,10.35B,31.30B,52.72B,2.507B,,2.507B,6.438B,8.945B,,,,,467.00M,467.00M,656.00M,656.00M,,10.07B,1.889B,1.889B,36.00M,,36.00M,,1.815B,3.74B,13.81B,12.74B,26.30B,,-136.00M,38.91B
2008-06,4.079B,4.312B,8.391B,2.399B,2.399B,580.00M,1.355B,1.33B,3.265B,1.209B,4.514B,19.78B,,,,,46.53B,-29.81B,16.72B,3.915B,,3.915B,,,,,11.98B,32.61B,52.39B,2.379B,,2.379B,4.813B,7.192B,,,,,175.00M,175.00M,665.00M,665.00M,,8.032B,1.892B,1.892B,171.00M,,171.00M,,1.936B,3.999B,12.03B,12.45B,27.78B,,129.00M,40.36B
2008-03,5.883B,4.993B,10.88B,2.725B,2.725B,545.00M,1.361B,1.366B,3.272B,1.143B,4.048B,22.06B,,,,,46.93B,-30.26B,16.67B,3.916B,,3.916B,,,,,10.74B,31.32B,53.39B,2.338B,,2.338B,4.859B,7.197B,,,,,189.00M,189.00M,643.00M,643.00M,639.00M,8.668B,1.99B,1.99B,170.00M,,170.00M,,1.899B,4.059B,12.73B,12.12B,28.47B,,72.00M,40.66B
2007-12,7.307B,5.49B,12.80B,2.576B,2.576B,507.00M,1.46B,1.403B,3.37B,1.186B,3.956B,23.88B,0.00,15.27B,27.75B,3.031B,46.05B,-29.13B,16.92B,3.916B,,3.916B,,,,,10.93B,31.77B,55.65B,2.361B,,2.361B,5.104B,7.465B,,,,,142.00M,142.00M,625.00M,625.00M,339.00M,8.571B,1.98B,1.98B,411.00M,,411.00M,,1.927B,4.318B,12.89B,11.65B,30.85B,,261.00M,42.76B
2007-09,5.844B,7.177B,13.02B,2.933B,2.933B,538.00M,1.647B,1.353B,3.538B,1.088B,846.00M,21.43B,,,,,46.97B,-29.98B,16.98B,3.917B,,3.917B,,,,,10.71B,31.61B,53.04B,2.338B,,2.338B,4.654B,6.992B,,,,,137.00M,137.00M,628.00M,628.00M,6.00M,7.763B,1.853B,1.853B,454.00M,,454.00M,,2.067B,4.374B,12.14B,10.70B,29.98B,,232.00M,40.90B
