,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,184.90M,,,261.60M,261.60M,,0.00,12.10M,,12.10M,31.50M,-59.70M,-50.40M,,,13.30M,-65.30M,393.30M,,-27.00M,,-27.00M,0.00,,-65.70M,-0.90M,-93.60M,,-1.525B,-1.525B,,,,-48.80M,-48.80M,8.50M,-5.50M,-1.571B,,1.765B,-1.271B,-13.10M,481.20M,,,0.00,-1.525B,,,AOR,Restated
2018-03,176.20M,,,263.50M,263.50M,,,13.90M,,13.90M,146.20M,-39.60M,-19.10M,,,-50.60M,36.90M,490.50M,,-26.70M,,-26.70M,,,-60.40M,-14.60M,-101.70M,,924.30M,924.30M,,,,-48.60M,-48.60M,47.90M,-81.80M,841.80M,,524.40M,1.231B,10.40M,1.765B,,,1.150B,-225.20M,,,AOR,Restated
2017-12,1.231B,,,264.50M,264.50M,,272.00M,13.60M,,0.60M,-185.00M,3.80M,432.90M,,,145.30M,397.00M,402.90M,,-46.20M,,-46.20M,,0.00,-81.30M,-0.70M,-128.20M,,-300.00M,-300.00M,,,,-48.60M,-48.60M,12.90M,102.80M,-232.90M,,480.80M,41.80M,1.80M,524.40M,,,0.00,-300.00M,,,AOR,Restated
2017-09,98.80M,,,266.50M,266.50M,,32.70M,12.40M,,1.30M,120.40M,-54.20M,-4.40M,,,-10.00M,51.80M,463.50M,,-36.00M,,-36.00M,,0.00,-83.10M,-1.40M,-120.50M,,-298.20M,-298.20M,,,,-48.50M,-48.50M,27.10M,-1.10M,-320.70M,,450.00M,22.30M,8.50M,480.80M,,,192.70M,-490.90M,,,AOR,Restated
2017-06,184.10M,,,264.10M,264.10M,,26.80M,13.70M,,16.30M,199.30M,-56.40M,-187.50M,,,-19.90M,-64.50M,440.50M,,-30.70M,,-30.70M,,-4.00M,-86.20M,-8.10M,-129.00M,,-900.00M,-900.00M,,,,-48.40M,-48.40M,39.40M,-4.00M,-913.00M,,1.040B,-601.50M,12.00M,450.00M,,,0.00,-900.00M,,,AOR,Restated
2017-03,299.30M,,,267.60M,267.60M,,,14.00M,,14.60M,27.00M,-13.30M,-224.10M,,,-109.70M,-320.10M,275.40M,,-43.10M,,-43.10M,,,-86.40M,-3.60M,-133.10M,,250.00M,250.00M,,,,-48.10M,-48.10M,66.10M,-11.90M,256.10M,,634.10M,398.40M,7.00M,1.040B,,,400.00M,-150.00M,,,AOR,Restated
2016-12,69.70M,,,252.00M,252.00M,,3.10M,11.40M,,22.40M,-61.30M,33.70M,223.10M,,,173.00M,368.50M,627.20M,,-54.60M,,-54.60M,,0.00,-81.40M,-10.80M,-146.80M,,-276.50M,-276.50M,,0.00,0.00,-48.10M,-48.10M,23.10M,-7.60M,-309.10M,,475.30M,171.30M,-12.50M,634.10M,,,1.074B,-1.35B,0.00,,AOR,Restated
2016-09,157.90M,,,288.10M,288.10M,,0.00,15.20M,,14.50M,40.50M,-16.00M,-73.10M,,,-74.50M,-123.10M,352.60M,,-56.40M,,-56.40M,,-1.259B,-94.20M,35.20M,-1.374B,,535.70M,535.70M,,0.00,0.00,-47.90M,-47.90M,34.90M,-3.50M,519.20M,,976.30M,-502.50M,1.50M,475.30M,,,750.00M,-214.30M,0.00,,AOR,Restated
2016-06,-31.70M,,,252.30M,252.30M,,28.00M,18.00M,,132.70M,-37.40M,21.90M,21.70M,,,-25.90M,-19.70M,379.60M,,-46.10M,,-46.10M,,-184.10M,-23.30M,-12.70M,-266.20M,,-119.10M,-119.10M,,0.00,0.00,-47.80M,-47.80M,47.30M,-0.80M,-120.40M,,996.80M,-7.00M,-13.50M,976.30M,,,-0.30M,-118.80M,0.00,,AOR,Restated
2016-03,108.70M,,,246.90M,246.90M,,,12.70M,,153.70M,-83.40M,38.30M,-150.00M,,,-54.10M,-249.20M,272.80M,,-27.60M,,-27.60M,,,138.10M,-14.70M,95.80M,,-399.70M,-399.70M,,-415.50M,-415.50M,-44.60M,-44.60M,31.30M,-4.40M,-832.90M,,1.459B,-464.30M,1.80M,996.80M,,,0.30M,-400.00M,-415.50M,,AOR,Restated
2015-12,126.70M,,11.90M,284.30M,284.30M,,0.00,11.70M,-79.20M,107.00M,-85.50M,-8.90M,256.60M,,,1.90M,164.10M,462.50M,,-49.10M,,-49.10M,,0.00,107.90M,9.90M,68.70M,,-372.70M,-372.70M,,-150.00M,-150.00M,-44.80M,-44.80M,28.20M,0.90M,-538.40M,,1.467B,-7.20M,-0.40M,1.459B,,,-0.70M,-372.00M,-150.00M,,AOR,Restated
2015-09,22.20M,,-12.30M,239.50M,239.50M,,,13.50M,76.50M,126.60M,88.70M,-55.70M,-462.20M,,,61.80M,-367.40M,98.60M,,-53.80M,,-53.80M,,52.80M,71.50M,23.60M,94.10M,,-150.10M,-150.10M,,,,-37.60M,-37.60M,42.40M,1.10M,-144.20M,,1.425B,48.50M,-6.20M,1.467B,,,-0.10M,-150.00M,,,AOR,Restated
2015-06,-173.80M,,3.40M,99.60M,99.60M,,0.00,8.30M,-17.70M,174.20M,-65.90M,-82.90M,362.30M,,,-110.30M,103.20M,197.20M,,-30.40M,,-30.40M,,-7.813B,37.00M,17.70M,-7.789B,,260.10M,260.10M,,0.00,0.00,-37.40M,-37.40M,7.10M,-9.10M,220.70M,,8.794B,-7.371B,1.80M,1.425B,,,3.001B,-2.741B,0.00,,AOR,Restated
2015-03,171.10M,,,89.00M,89.00M,,,12.90M,8.60M,0.40M,6.60M,-57.90M,-164.00M,,,24.80M,-190.50M,91.50M,,-34.40M,,-34.40M,,,105.30M,-3.00M,67.90M,,7.629B,7.629B,,0.00,0.00,-37.30M,-37.30M,27.50M,-50.60M,7.569B,,1.083B,7.728B,-17.80M,8.794B,,,7.628B,0.80M,0.00,,AOR,Restated
2014-12,153.70M,,,92.60M,92.60M,,,12.40M,-34.10M,0.40M,1.90M,-31.90M,246.00M,,,11.40M,227.40M,361.90M,,-49.20M,,-49.20M,,-54.30M,127.50M,4.70M,28.70M,,-249.10M,-249.10M,,-0.40M,-0.40M,-37.50M,-37.50M,30.20M,-6.30M,-263.10M,,967.30M,127.50M,-11.50M,1.083B,,,2.30M,-251.40M,-0.40M,,AOR,Restated
2014-09,168.30M,,,90.90M,90.90M,,,12.80M,2.80M,0.80M,-27.60M,-47.50M,-27.00M,,,82.20M,-19.90M,255.70M,,-32.30M,,-32.30M,,0.00,-189.70M,-7.40M,-229.40M,,0.90M,0.90M,,0.00,0.00,-37.10M,-37.10M,35.60M,-15.30M,-15.90M,,968.70M,10.40M,-11.80M,967.30M,,,0.00,0.90M,0.00,,AOR,Restated
2014-06,176.10M,,,91.30M,91.30M,,,13.00M,5.40M,1.70M,-20.00M,-28.60M,15.50M,,,-0.30M,-33.40M,254.10M,,-32.00M,,-32.00M,,0.00,-136.90M,-1.40M,-170.30M,,0.30M,0.30M,,0.00,0.00,-36.90M,-36.90M,80.70M,-44.50M,-0.40M,,882.70M,83.40M,2.60M,968.70M,,,-0.20M,0.50M,0.00,,AOR,Restated
2014-03,221.10M,,,101.00M,101.00M,,,11.20M,14.80M,2.50M,5.30M,-56.60M,-131.60M,,,21.10M,-161.80M,188.80M,,-31.40M,,-31.40M,,,-67.00M,,-98.40M,,0.20M,0.20M,,-400.50M,-400.50M,-34.00M,-34.00M,138.20M,5.40M,-290.70M,,1.081B,-200.30M,2.40M,882.70M,,,0.20M,,-400.50M,,AOR,Restated
2013-12,254.80M,,,90.10M,90.10M,,,11.40M,8.00M,2.90M,-41.30M,-33.00M,191.90M,,,-58.40M,59.20M,300.20M,,-22.80M,,-22.80M,,,20.40M,66.40M,-10.20M,,1.80M,1.80M,,-242.50M,-242.50M,-34.00M,-34.00M,149.40M,3.10M,-122.20M,,917.40M,167.80M,-4.60M,1.081B,,,,1.80M,-242.50M,,AOR,Restated
2013-09,154.10M,,,91.90M,91.90M,,,10.90M,5.10M,2.70M,57.00M,-28.90M,-14.90M,,,14.80M,28.00M,292.70M,,-36.90M,,-36.90M,,,-108.30M,-5.50M,-150.70M,,0.80M,0.80M,,-17.50M,-17.50M,-33.90M,-33.90M,108.70M,2.20M,60.30M,,709.90M,202.30M,5.20M,917.40M,,,,0.80M,-17.50M,,AOR,Restated
2013-06,151.70M,,,91.40M,91.40M,,,12.20M,6.60M,1.60M,-45.80M,-26.50M,-25.30M,,,23.80M,-73.80M,189.70M,,-22.40M,,-22.40M,,,-86.60M,-65.60M,-174.60M,,0.00,0.00,,-68.80M,-68.80M,-33.60M,-33.60M,149.70M,-0.20M,47.10M,,657.00M,62.20M,-9.30M,709.90M,,,,0.00,-68.80M,,AOR,Restated
2013-03,218.00M,,,85.10M,85.10M,,,14.00M,10.10M,0.80M,-44.20M,-59.70M,-13.70M,,,-29.90M,-147.50M,180.50M,,-17.90M,,-17.90M,,,79.70M,-8.80M,53.00M,,-100.10M,-100.10M,,-392.00M,-392.00M,-30.90M,-30.90M,67.00M,3.50M,-452.50M,,884.30M,-219.00M,-8.30M,657.00M,,,,-100.10M,-392.00M,,AOR,Restated
2012-12,152.30M,,,90.20M,90.20M,,,13.30M,0.60M,2.30M,-11.30M,-14.20M,73.30M,,,30.30M,78.10M,368.00M,,-43.30M,,-43.30M,,,-161.20M,38.90M,-224.60M,,99.80M,99.80M,,-139.90M,-139.90M,-31.20M,-31.20M,12.80M,0.40M,-58.10M,,801.50M,85.30M,-2.50M,884.30M,,,0.00,99.80M,-139.90M,,AOR,Restated
2012-09,177.70M,,,82.70M,82.70M,,,13.90M,1.80M,0.50M,52.70M,-23.60M,38.80M,,,0.50M,68.40M,345.00M,,-27.10M,,-27.10M,,,-56.20M,-2.10M,-85.40M,,-4.20M,-4.20M,,-97.60M,-97.60M,-31.50M,-31.50M,16.10M,0.90M,-116.30M,,651.00M,143.30M,7.20M,801.50M,,,0.00,-4.20M,-97.60M,,AOR,Restated
2012-06,214.00M,,,93.40M,93.40M,,,15.00M,0.90M,1.00M,-32.70M,-23.70M,-23.00M,,,-13.40M,-92.80M,231.50M,,-24.80M,,-24.80M,,,-73.30M,-19.80M,-117.90M,,0.60M,0.60M,,-106.50M,-106.50M,-31.70M,-31.70M,7.70M,-3.10M,-133.00M,,674.00M,-19.40M,-3.60M,651.00M,,,147.30M,-146.70M,-106.50M,,AOR,Restated
2012-03,208.90M,,,96.80M,96.80M,,,12.80M,5.00M,1.00M,-54.20M,-6.00M,17.90M,,,-74.80M,-117.10M,207.40M,,-19.50M,,-19.50M,,,-109.80M,-34.90M,-164.20M,,1.00M,1.00M,,-141.60M,-141.60M,0.00,0.00,10.30M,1.20M,-129.10M,,768.30M,-85.90M,-8.40M,674.00M,,,,1.00M,-141.60M,,AOR,Restated
2011-12,156.10M,,,94.30M,94.30M,-30.30M,,14.40M,11.90M,1.80M,-23.50M,34.90M,69.10M,,,64.40M,144.90M,393.10M,,82.90M,,82.90M,,,-208.30M,,-213.30M,,174.60M,174.60M,-34.00M,-143.50M,-177.50M,,0.00,,-3.00M,37.50M,,553.00M,217.30M,-2.00M,768.30M,,-34.00M,174.60M,,-143.50M,,AOR,Restated
2011-09,191.20M,,,90.90M,90.90M,1.10M,,14.40M,-0.40M,1.80M,36.30M,-5.90M,19.20M,,,2.00M,51.60M,350.60M,,-77.50M,,-77.50M,,,-171.10M,,-248.60M,,375.00M,375.00M,4.90M,-549.30M,-544.40M,,0.00,,0.40M,-169.00M,,624.10M,-67.00M,-4.10M,553.00M,,4.90M,375.00M,0.00,-549.30M,,AOR,Restated
2011-06,203.80M,,,88.60M,88.60M,3.30M,,17.40M,-1.20M,3.40M,-5.50M,-8.00M,-48.80M,,,-2.00M,-64.30M,251.00M,,-55.80M,,-55.80M,,,-39.80M,,-95.60M,,0.00,0.00,12.10M,-121.10M,-109.00M,,0.00,,1.20M,-107.80M,,575.60M,47.60M,0.90M,624.10M,,12.10M,0.00,0.00,-121.10M,,AOR,Restated
2011-03,208.90M,,,86.10M,86.10M,6.20M,,14.30M,-2.40M,4.40M,-70.50M,-13.80M,-4.90M,,,-46.10M,-135.30M,182.20M,,-63.40M,,-63.40M,,,-3.50M,,-66.90M,,0.20M,0.20M,17.00M,-236.10M,-219.10M,,,,2.40M,-216.50M,,668.90M,-101.20M,7.90M,575.60M,,17.00M,0.20M,,-236.10M,,AOR,Restated
2010-12,34.90M,,,90.70M,90.70M,-75.90M,,16.60M,4.00M,0.10M,-19.90M,18.90M,85.30M,,,-17.70M,66.60M,341.00M,,86.00M,,94.50M,,,-476.60M,,-491.50M,,-2.20M,-2.20M,,-101.00M,-101.00M,,,,-12.70M,-99.00M,,918.60M,-249.50M,-0.20M,668.90M,,,0.00,,-101.00M,,AOR,Restated
2010-09,562.00M,,,83.70M,83.70M,0.50M,,14.80M,-0.10M,-370.90M,38.20M,-20.60M,29.50M,,,-16.80M,30.30M,320.30M,,-63.90M,,-63.90M,,,-79.60M,,-143.50M,,0.00,0.00,,-225.70M,-225.70M,,,,4.90M,-220.80M,,953.70M,-44.00M,8.90M,918.60M,,,0.00,,-225.70M,,AOR,
2010-06,-205.40M,,,80.90M,80.90M,1.20M,,17.90M,-0.30M,370.90M,-18.80M,10.30M,-73.10M,,,89.10M,7.50M,272.70M,,-58.90M,,-58.90M,,,4.80M,,-54.10M,,0.00,0.00,,-85.40M,-85.40M,,,,3.50M,-81.90M,,821.20M,136.70M,-4.20M,953.70M,,,0.00,,-85.40M,,AOR,Restated
2010-03,205.40M,,,84.90M,84.90M,1.70M,,12.70M,-0.70M,1.30M,-32.50M,17.20M,-34.80M,,,4.30M,-45.80M,259.50M,,-50.90M,,-50.90M,,,13.10M,,-37.80M,,0.00,0.00,,-93.50M,-93.50M,,,,5.60M,-87.90M,,691.70M,133.80M,-4.30M,821.20M,,,0.00,,-93.50M,,AOR,Restated
2009-12,155.20M,,,87.80M,87.80M,,,17.60M,2.50M,2.60M,-15.50M,58.50M,12.90M,,,10.60M,66.50M,385.50M,,-52.20M,,-49.30M,-2.90M,-39.50M,-41.60M,,-133.30M,,849.30M,519.30M,1.90M,-519.30M,-517.40M,,,,0.30M,2.20M,,439.70M,254.40M,-2.40M,691.70M,,1.90M,857.80M,,-519.30M,,AOR,Restated
2009-09,149.90M,,,88.20M,88.20M,,,17.60M,0.40M,-1.90M,40.70M,29.50M,-19.10M,,,47.00M,98.10M,352.30M,,-55.90M,,-48.90M,-7.00M,7.80M,-17.70M,-7.80M,-73.60M,,-59.00M,-59.00M,7.60M,-66.60M,-59.00M,,,-3.60M,-0.70M,-122.30M,,277.50M,156.40M,5.80M,439.70M,,7.60M,141.00M,,-66.60M,,AOR,Restated
2009-06,210.10M,,,81.80M,81.80M,,,23.00M,0.10M,-24.50M,-23.50M,-19.60M,-52.80M,,,0.50M,-95.40M,195.10M,,-72.70M,,-54.40M,-18.30M,-7.80M,-17.20M,7.80M,-89.90M,,-10.00M,-10.00M,-3.30M,-36.40M,-39.70M,,,3.60M,0.00,-46.10M,,212.80M,59.10M,5.60M,277.50M,,-3.30M,-210.00M,,-36.40M,,AOR,Restated
2009-03,202.20M,,,79.60M,79.60M,,,17.10M,0.10M,4.20M,-6.30M,-32.20M,-66.60M,,,-13.50M,-118.60M,184.60M,,-83.80M,,-76.20M,-7.60M,,-0.60M,,-84.40M,,210.00M,210.00M,3.30M,-301.40M,-298.10M,,,,-7.80M,-95.90M,,212.60M,4.30M,-4.10M,212.80M,,3.30M,210.00M,,-301.40M,,AOR,Restated
2008-12,167.50M,38.80M,0.00,79.10M,79.10M,,,19.50M,1.90M,42.30M,-32.50M,-41.60M,-33.10M,,,1.80M,-105.40M,206.90M,,-221.60M,,-112.20M,-109.40M,,18.60M,,-584.80M,,-220.00M,110.00M,2.80M,-48.10M,-45.30M,,,,0.00,64.70M,,542.40M,-313.20M,-16.60M,212.60M,,2.80M,-220.00M,,-48.10M,,AOR,Restated
2008-09,214.70M,-30.10M,-30.10M,66.80M,66.80M,,,11.00M,0.10M,1.40M,70.00M,-50.90M,23.20M,,,1.70M,44.00M,307.90M,,-134.70M,,-134.70M,0.00,,31.80M,,-102.90M,,0.00,0.00,9.00M,-48.70M,-39.70M,,,,0.50M,-39.20M,,388.10M,165.80M,-11.50M,542.40M,,9.00M,0.00,,-48.70M,,,Restated
2008-06,227.10M,-8.70M,-8.70M,67.40M,67.40M,,,24.50M,3.00M,1.50M,-28.80M,-41.30M,33.80M,,,2.10M,-34.20M,280.60M,,-130.10M,,-130.10M,0.00,,4.50M,,-125.60M,,220.00M,220.00M,28.40M,-495.90M,-467.50M,,,,4.40M,-243.10M,,476.00M,-88.10M,0.20M,388.10M,,28.40M,220.00M,,-495.90M,,,Restated
2008-03,239.30M,,,61.80M,61.80M,,,14.90M,1.00M,0.30M,-53.10M,-14.30M,18.10M,,,-25.30M,-74.60M,242.70M,,-110.90M,,-110.90M,0.00,,0.00,,-110.90M,,0.00,0.00,16.80M,-144.30M,-127.50M,,,,1.60M,-125.90M,,463.90M,5.90M,6.20M,476.00M,,16.80M,,,-144.30M,,,Restated
2007-12,263.80M,,,62.40M,62.40M,,,,,17.80M,-16.30M,8.40M,63.30M,,-35.50M,-5.90M,14.00M,421.90M,,-107.20M,,-107.20M,,-52.20M,,,-159.40M,,,,4.00M,-115.70M,-111.70M,,,,0.50M,-111.20M,,313.00M,151.30M,-0.40M,463.90M,,4.00M,,,-115.70M,,,
2007-09,44.50M,,,58.20M,58.20M,,,,,13.20M,58.00M,-29.60M,-3.80M,,37.50M,-11.20M,50.90M,166.80M,,-80.80M,,-80.80M,,4.00M,,,-76.80M,,,,13.70M,-155.40M,-141.70M,,,,0.90M,-140.80M,,358.70M,-50.80M,5.10M,313.00M,,13.70M,,,-155.40M,,,
2007-06,231.50M,,,56.00M,56.00M,,,,,24.60M,9.20M,-17.20M,20.20M,,-14.50M,-7.10M,-9.40M,302.70M,,-90.00M,,-90.00M,,-112.10M,,5.90M,-196.20M,,,,53.10M,-131.80M,-78.70M,,,,5.60M,-73.10M,,326.00M,33.40M,-0.70M,358.70M,,53.10M,,,-131.80M,,,
2007-03,233.40M,,,53.40M,53.40M,,,,,28.80M,-63.40M,-19.60M,-17.80M,,18.60M,-40.40M,-122.60M,193.00M,,-53.20M,,-53.20M,,,,-5.90M,-59.10M,,,,79.00M,-173.40M,-94.40M,,,,20.00M,-74.40M,,265.70M,59.50M,0.80M,326.00M,,79.00M,,,-173.40M,,,
2006-12,244.70M,,,52.60M,52.60M,,,,,21.50M,-29.00M,-4.70M,-52.60M,,1.10M,13.50M,-71.70M,247.10M,,-90.90M,0.00,-90.90M,,-19.60M,,-1.80M,-112.30M,,,0.00,15.90M,-167.90M,-152.00M,,,,4.30M,-147.70M,,275.60M,-12.90M,3.00M,265.70M,,15.90M,,,-167.90M,,,
2006-09,183.30M,,,51.30M,51.30M,,,,,18.30M,52.60M,-23.50M,38.70M,,-4.70M,-30.30M,32.80M,285.70M,,-62.60M,0.00,-62.60M,,0.00,,0.00,-62.60M,,,18.80M,9.20M,-314.50M,-305.30M,,,,1.20M,-285.30M,,335.80M,-62.20M,2.00M,275.60M,,9.20M,,,-314.50M,,,
2006-06,200.90M,,,47.30M,47.30M,,,,,21.40M,-34.60M,2.00M,6.20M,,46.20M,15.80M,35.60M,305.20M,,-60.90M,0.00,-60.90M,,-8.50M,,-5.00M,-74.40M,,,,5.10M,-309.30M,-304.20M,,,,0.70M,-303.50M,,403.80M,-72.70M,4.70M,335.80M,,5.10M,,,-309.30M,,,
2006-03,205.60M,,,46.20M,46.20M,,,,,18.40M,-65.90M,-13.00M,-22.20M,,26.10M,7.50M,-67.50M,202.70M,,-53.90M,16.20M,-37.70M,,,,,-37.70M,,,,11.10M,-7.10M,4.00M,,,,1.80M,5.80M,,233.20M,170.80M,-0.20M,403.80M,,11.10M,,,-7.10M,,,
2005-12,199.60M,,34.70M,49.70M,49.70M,,,,,,3.50M,-3.60M,-9.20M,85.00M,-111.50M,2.30M,-33.50M,250.50M,,-39.80M,,-39.80M,,,-20.40M,-2.00M,-106.30M,,,0.00,1.60M,,-2.50M,,,,0.00,-2.50M,,91.80M,141.70M,-0.30M,233.20M,,1.60M,,,,,,
2005-09,168.60M,,0.50M,45.60M,45.60M,,,,,,27.80M,-17.00M,-29.80M,-79.90M,127.80M,-12.00M,16.90M,231.60M,,67.30M,,67.30M,,,-129.60M,0.00,-62.30M,,,-180.00M,23.00M,,23.00M,,,,0.00,-157.00M,,78.80M,12.30M,0.70M,91.80M,,23.00M,,,,,,
2005-06,190.70M,,2.10M,45.30M,45.30M,,,,,,-13.50M,-34.20M,19.00M,50.70M,-16.30M,-0.20M,5.50M,243.60M,,-71.80M,,-71.80M,,,,-0.50M,-72.30M,,,-154.30M,7.70M,,7.70M,,,,0.00,-146.60M,,57.00M,24.70M,-2.90M,78.80M,,7.70M,,,,,,
2005-03,173.60M,,2.00M,45.10M,45.10M,,,,,,-53.10M,-24.40M,-20.10M,29.20M,,0.20M,-68.20M,152.50M,,-61.00M,,-61.00M,,,,-9.20M,-70.20M,,,-221.00M,44.40M,,44.40M,,,,-1.90M,-178.50M,,154.60M,-96.20M,-1.40M,57.00M,,44.40M,,,,,,
2004-12,200.00M,,3.30M,46.70M,46.70M,,,,,,-6.40M,-12.70M,22.90M,,17.10M,-13.00M,7.90M,257.90M,,65.50M,,65.50M,,-49.40M,,-140.10M,-124.00M,,,-36.30M,6.30M,,6.30M,,,,0.00,-30.00M,,45.30M,103.90M,5.40M,154.60M,,6.30M,,,,,,
