,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,481.20M,,481.20M,1.335B,1.335B,198.30M,235.60M,1.725B,,2.158B,500.20M,,,,4.475B,0.00,28.80M,1.904B,3.259B,,94.20M,5.286B,-3.300B,1.987B,10.60B,7.997B,18.59B,,436.20M,21.02B,25.49B,,355.70M,211.70M,,567.40M,,567.40M,,100.00M,100.00M,100.00M,1.186B,1.854B,9.394B,9.394B,1.081B,1.081B,,18.90M,1.10M,343.80M,11.59B,13.45B,,3.10M,10.33B,8.597B,6.722B,,,-163.00M,12.04B,,AOR,Restated
2018-03,1.765B,,1.765B,1.418B,1.418B,188.80M,233.80M,1.703B,,2.126B,465.50M,,,,5.775B,0.00,29.30M,1.880B,3.221B,,116.40M,5.247B,-3.216B,2.031B,10.73B,8.236B,18.96B,,409.80M,21.41B,27.18B,,347.30M,194.70M,,542.00M,181.80M,723.80M,,1.625B,1.625B,1.625B,1.076B,3.424B,9.466B,9.466B,1.092B,1.092B,,21.00M,1.10M,423.50M,11.76B,15.18B,,3.10M,10.19B,8.577B,6.722B,,,-51.30M,12.00B,,AOR,Restated
2017-12,524.40M,,524.40M,1.544B,1.544B,249.60M,200.00M,1.619B,,2.068B,428.00M,,,,4.565B,0.00,29.00M,1.838B,3.106B,,110.70M,5.084B,-3.045B,2.039B,10.67B,8.353B,19.02B,,388.80M,21.45B,26.01B,,330.20M,165.20M,,495.40M,775.00M,1.270B,,1.225B,1.225B,1.225B,319.10M,3.070B,8.894B,8.894B,1.102B,1.102B,,23.10M,-0.30M,445.80M,11.21B,14.28B,,3.10M,10.02B,8.515B,6.722B,,,-83.20M,11.74B,,AOR,Restated
2017-09,480.80M,,480.80M,1.318B,1.318B,220.40M,189.60M,1.674B,,2.084B,549.80M,,,,4.433B,0.00,29.40M,1.834B,3.041B,,111.30M,5.015B,-2.967B,2.049B,10.90B,8.465B,19.37B,,565.80M,21.98B,26.42B,,327.10M,289.60M,,616.70M,,616.70M,,1.225B,1.225B,1.225B,1.168B,3.010B,9.175B,9.175B,2.880B,2.880B,,25.10M,0.40M,877.60M,12.96B,15.97B,,3.00M,8.837B,8.494B,6.724B,,,-159.90M,10.45B,,AOR,Restated
2017-06,450.00M,,450.00M,1.423B,1.423B,234.30M,169.80M,1.620B,,2.024B,527.20M,,,,4.424B,0.00,29.20M,1.832B,2.961B,,113.60M,4.936B,-2.879B,2.057B,10.87B,8.544B,19.41B,,568.20M,22.04B,26.46B,,360.20M,219.60M,,579.80M,,579.80M,,1.329B,1.329B,1.329B,1.087B,2.996B,9.327B,9.327B,2.909B,2.909B,,27.20M,0.60M,919.80M,13.18B,16.18B,,3.00M,8.788B,8.482B,6.729B,,,-264.40M,10.28B,,AOR,Restated
2017-03,1.040B,,1.040B,1.600B,1.600B,252.50M,149.20M,1.575B,,1.977B,463.30M,,,,5.080B,0.00,30.90M,1.787B,2.861B,,115.70M,4.795B,-2.742B,2.053B,10.69B,8.651B,19.34B,,519.00M,21.91B,26.99B,,335.90M,183.00M,,518.90M,,518.90M,,,975.00M,975.00M,1.162B,2.656B,10.54B,10.54B,2.973B,2.973B,,,0.80M,887.10M,14.40B,17.05B,,3.10M,8.650B,8.435B,6.731B,,,-423.80M,9.933B,,AOR,Restated
2016-12,634.10M,,634.10M,1.604B,1.604B,260.80M,141.70M,1.557B,,1.959B,465.70M,,,,4.664B,0.00,37.00M,1.790B,2.745B,,99.80M,4.672B,-2.634B,2.038B,10.64B,8.785B,19.43B,,553.60M,22.02B,26.68B,,364.50M,183.50M,,548.00M,864.10M,1.412B,,575.60M,575.60M,575.60M,168.00M,2.382B,10.63B,10.63B,3.031B,3.031B,218.60M,31.40M,1.00M,244.00M,14.63B,17.01B,,3.10M,8.467B,8.368B,6.736B,,,-434.00M,9.669B,,AOR,Restated
2016-09,475.30M,13.40M,488.70M,1.604B,1.604B,256.60M,127.90M,1.686B,,2.07B,535.80M,,,,4.698B,0.00,39.00M,1.838B,2.883B,,120.00M,4.881B,-2.800B,2.081B,10.77B,9.001B,19.77B,,486.40M,22.34B,27.04B,,266.30M,167.10M,,433.40M,,433.40M,,,575.80M,575.80M,1.303B,2.312B,11.01B,11.01B,3.084B,3.084B,,,0.70M,887.50M,14.98B,17.29B,,3.00M,8.443B,8.344B,6.741B,,,-303.40M,9.746B,,AOR,Restated
2016-06,976.30M,0.00,976.30M,1.593B,1.593B,237.00M,129.00M,1.596B,,1.962B,518.90M,,,,5.051B,0.00,39.40M,1.809B,2.800B,,113.70M,4.762B,-2.728B,2.034B,9.977B,8.387B,18.36B,,523.40M,20.92B,25.97B,,243.80M,193.60M,,437.40M,,437.40M,,,500.00M,500.00M,1.164B,2.101B,10.53B,10.53B,2.824B,2.824B,,,0.90M,963.10M,14.32B,16.42B,,3.00M,8.332B,8.294B,6.741B,,,-339.30M,9.548B,,AOR,Restated
2016-03,996.80M,13.40M,1.010B,1.568B,1.568B,253.10M,134.10M,1.696B,,2.083B,420.70M,,,,5.082B,0.00,39.40M,1.782B,2.584B,,115.50M,4.521B,-2.482B,2.039B,10.14B,8.474B,18.62B,,559.20M,21.22B,26.30B,,252.60M,165.60M,,418.20M,906.10M,1.324B,,,,,,1.515B,11.12B,11.12B,3.015B,3.015B,,,1.30M,989.20M,15.12B,16.64B,,3.00M,8.408B,8.234B,6.741B,,,-242.90M,9.660B,,AOR,Restated
2015-12,1.459B,164.60M,1.624B,1.446B,1.446B,280.10M,146.10M,1.828B,,2.254B,529.20M,,,,5.854B,0.00,39.60M,1.789B,2.491B,,108.40M,4.428B,-2.365B,2.063B,9.934B,8.746B,18.68B,,563.80M,21.31B,27.16B,,284.80M,147.20M,,432.00M,775.90M,1.208B,,,,,144.10M,1.618B,11.47B,11.47B,3.150B,3.150B,264.60M,26.80M,1.50M,741.10M,15.65B,17.27B,,3.00M,8.348B,8.195B,6.329B,,,-329.00M,9.888B,,AOR,Restated
2015-09,1.467B,343.30M,1.810B,1.385B,1.385B,301.40M,141.40M,1.915B,,2.358B,475.80M,,365.80M,,6.395B,0.00,40.90M,1.639B,2.458B,,150.90M,4.289B,-2.300B,1.989B,7.680B,9.824B,17.50B,,802.20M,20.29B,26.69B,,223.60M,208.30M,,431.90M,686.30M,1.118B,,225.00M,225.00M,225.00M,167.00M,1.786B,11.69B,11.69B,2.349B,2.349B,,,1.70M,500.30M,14.91B,16.70B,,3.00M,8.265B,8.156B,6.180B,,,-253.10M,9.992B,,AOR,Restated
2015-06,1.425B,459.00M,1.884B,1.490B,1.490B,283.30M,148.30M,2.010B,,2.441B,551.70M,,384.50M,,6.752B,0.00,41.50M,1.619B,2.406B,,146.50M,4.213B,-2.215B,1.999B,7.731B,9.942B,17.67B,,781.70M,20.45B,27.20B,,268.20M,134.00M,,402.20M,891.70M,1.294B,,300.00M,300.00M,300.00M,212.90M,2.163B,11.75B,11.75B,2.363B,2.363B,,,1.80M,443.20M,14.92B,17.08B,,3.00M,8.232B,8.11B,6.181B,,,-40.50M,10.12B,,AOR,Restated
2015-03,8.794B,488.40M,9.282B,869.80M,869.80M,188.00M,101.40M,927.60M,,1.217B,246.80M,,301.70M,,11.92B,0.00,20.10M,1.294B,2.029B,,127.60M,3.470B,-2.170B,1.301B,2.417B,578.30M,2.995B,,976.90M,5.273B,17.19B,,174.90M,57.50M,,232.40M,576.30M,808.70M,,,,,,908.70M,9.061B,9.061B,,,,,2.00M,637.20M,9.698B,10.61B,,2.70M,8.427B,4.364B,6.181B,,,-31.50M,6.581B,,AOR,Restated
2014-12,1.083B,612.50M,1.696B,912.10M,912.10M,181.30M,87.80M,924.20M,,1.193B,317.20M,,194.90M,,4.313B,0.00,20.40M,1.283B,1.988B,,115.80M,3.407B,-2.122B,1.285B,2.514B,603.50M,3.118B,,941.70M,5.345B,9.658B,,145.20M,80.30M,,225.50M,471.30M,696.80M,,,,,159.50M,1.024B,1.402B,1.402B,45.90M,45.90M,307.20M,24.00M,1.80M,113.80M,2.082B,3.106B,,2.70M,8.362B,4.331B,6.184B,,,38.10M,6.550B,,AOR,Restated
2014-09,967.30M,779.80M,1.747B,947.60M,947.60M,176.30M,86.10M,915.10M,,1.178B,136.20M,,324.30M,,4.333B,0.00,20.70M,1.343B,2.008B,,94.70M,3.466B,-2.187B,1.279B,2.533B,620.30M,3.153B,,905.80M,5.338B,9.671B,,149.10M,49.00M,,198.10M,,198.10M,,,250.00M,250.00M,644.90M,1.093B,1.426B,1.426B,,,,,1.90M,429.90M,2.036B,3.130B,,2.70M,8.166B,4.286B,6.184B,,,268.50M,6.540B,,AOR,Restated
2014-06,968.70M,729.30M,1.698B,950.20M,950.20M,173.80M,84.90M,888.50M,,1.147B,130.30M,,304.10M,,4.230B,0.00,21.70M,1.371B,1.987B,,84.40M,3.464B,-2.189B,1.275B,2.611B,646.50M,3.258B,,875.50M,5.408B,9.638B,,171.80M,134.60M,,306.40M,,306.40M,,,,,646.50M,952.90M,1.687B,1.687B,,,,,2.00M,545.70M,2.233B,3.186B,,2.70M,8.036B,4.240B,6.185B,,,356.10M,6.450B,,AOR,Restated
2014-03,882.70M,705.40M,1.588B,939.10M,939.10M,174.70M,85.90M,865.30M,,1.126B,96.30M,,297.30M,,4.047B,0.00,21.70M,1.356B,1.925B,,75.10M,3.378B,-2.142B,1.236B,2.623B,671.00M,3.294B,,803.50M,5.333B,9.380B,,155.30M,155.10M,,310.40M,530.70M,841.10M,,,,,,918.70M,1.680B,1.680B,,,,,2.40M,543.60M,2.224B,3.142B,,2.60M,7.897B,4.146B,6.186B,,,375.70M,6.235B,,AOR,Restated
2013-12,1.081B,727.00M,1.808B,936.60M,936.60M,180.10M,77.40M,817.00M,,1.074B,107.10M,,271.90M,,4.198B,0.00,21.70M,1.353B,1.883B,,58.20M,3.316B,-2.092B,1.225B,2.611B,707.70M,3.319B,,839.30M,5.383B,9.581B,,146.30M,221.20M,,367.50M,401.00M,768.50M,,,,,109.20M,1.032B,1.663B,1.663B,,,329.00M,9.30M,2.80M,132.60M,2.249B,3.280B,,2.60M,7.713B,4.001B,5.786B,,,367.10M,6.297B,,AOR,Restated
2013-09,917.40M,588.40M,1.506B,898.90M,898.90M,176.60M,71.70M,833.60M,,1.082B,98.00M,,252.60M,,3.837B,0.00,21.80M,1.302B,1.925B,,89.60M,3.338B,-2.104B,1.234B,2.603B,712.20M,3.315B,,971.10M,5.520B,9.357B,,146.60M,41.70M,,188.30M,,188.30M,,,,,615.90M,804.20M,1.686B,1.686B,,,,,3.30M,728.20M,2.414B,3.218B,,2.60M,7.511B,3.844B,5.546B,,,324.80M,6.136B,,AOR,Restated
2013-06,709.90M,525.90M,1.236B,942.50M,942.50M,164.40M,69.50M,819.00M,,1.053B,121.30M,,239.20M,,3.592B,0.00,21.80M,1.280B,1.885B,,82.80M,3.269B,-2.044B,1.225B,2.577B,719.00M,3.296B,,984.10M,5.506B,9.097B,,165.20M,44.10M,,209.30M,,209.30M,,,,,595.00M,804.30M,1.688B,1.688B,,,,,3.70M,715.40M,2.404B,3.208B,,2.60M,7.389B,3.729B,5.532B,,,296.90M,5.886B,,AOR,Restated
2013-03,657.00M,544.20M,1.201B,912.50M,912.50M,148.20M,63.70M,827.20M,,1.039B,100.80M,,210.40M,,3.464B,0.00,21.70M,1.228B,1.853B,,123.30M,3.225B,-2.006B,1.220B,2.535B,722.70M,3.258B,,803.60M,5.281B,8.745B,,174.30M,41.40M,,215.70M,484.90M,700.60M,,,,,,763.30M,1.703B,1.703B,,,,,4.80M,566.10M,2.269B,3.032B,,2.60M,7.271B,3.582B,5.464B,,,316.10M,5.708B,,AOR,Restated
2012-12,884.30M,671.60M,1.556B,884.60M,884.60M,156.70M,52.30M,786.30M,,995.30M,76.30M,,196.60M,,3.709B,0.00,22.10M,1.233B,1.822B,,117.80M,3.194B,-1.984B,1.211B,2.572B,740.70M,3.312B,,780.50M,5.304B,9.012B,,184.10M,22.80M,,206.90M,347.90M,554.80M,100.00M,0.10M,100.10M,100.10M,92.30M,866.00M,1.687B,1.687B,,,210.80M,33.90M,5.40M,135.50M,2.280B,3.146B,,2.60M,7.086B,3.501B,5.072B,,,343.90M,5.861B,,AOR,Restated
2012-09,801.50M,687.40M,1.489B,874.90M,874.90M,142.30M,56.90M,794.90M,,994.10M,72.30M,,201.70M,,3.632B,0.00,22.30M,1.226B,1.807B,,102.10M,3.157B,-1.972B,1.186B,2.649B,760.50M,3.409B,,557.50M,5.152B,8.784B,,141.10M,43.00M,,184.10M,,184.10M,,,0.30M,0.30M,571.10M,755.50M,1.734B,1.734B,,,,,5.90M,463.60M,2.198B,2.953B,,2.60M,6.966B,3.482B,4.937B,,,311.20M,5.825B,,AOR,Restated
2012-06,651.00M,684.90M,1.336B,906.70M,906.70M,140.40M,61.40M,754.20M,,956.00M,83.10M,,196.60M,,3.478B,0.00,22.10M,1.215B,1.765B,,83.20M,3.085B,-1.908B,1.177B,2.610B,776.90M,3.386B,,575.00M,5.138B,8.616B,,137.20M,12.20M,,149.40M,,149.40M,,,3.40M,3.40M,530.30M,683.10M,1.726B,1.726B,,,,,6.20M,494.70M,2.221B,2.904B,,2.60M,6.819B,3.448B,4.840B,,,275.50M,5.706B,,AOR,Restated
2012-03,674.00M,555.10M,1.229B,895.00M,895.00M,142.90M,60.30M,733.80M,,937.00M,64.70M,,196.70M,,3.322B,0.00,22.10M,1.212B,1.736B,,81.00M,3.051B,-1.858B,1.193B,2.658B,784.30M,3.443B,,645.90M,5.281B,8.604B,,126.00M,48.10M,,174.10M,,174.10M,,,144.60M,144.60M,543.10M,861.80M,1.573B,1.573B,,,,,6.90M,507.50M,2.080B,2.942B,,2.60M,6.636B,3.422B,4.733B,,,327.60M,5.655B,,AOR,Restated
2011-12,768.30M,455.50M,1.224B,838.80M,838.80M,139.00M,47.80M,743.00M,,929.80M,73.70M,,210.50M,,3.277B,0.00,22.30M,1.197B,1.718B,,76.40M,3.013B,-1.806B,1.207B,2.626B,798.50M,3.424B,,606.90M,5.239B,8.515B,,143.30M,8.60M,,151.90M,349.30M,501.20M,143.00M,0.30M,143.30M,143.30M,106.10M,867.10M,1.548B,1.548B,,,261.10M,27.80M,7.60M,170.50M,2.133B,3.000B,,2.50M,6.427B,3.399B,4.593B,,,271.40M,5.507B,,AOR,Restated
2011-09,553.00M,424.90M,977.90M,827.90M,827.90M,130.20M,47.20M,791.00M,,968.40M,68.50M,,230.60M,,3.073B,0.00,22.50M,1.197B,1.675B,,59.60M,2.954B,-1.744B,1.210B,2.634B,794.70M,3.429B,,486.20M,5.126B,8.199B,,108.60M,39.60M,,148.20M,,148.20M,,,,,526.40M,674.60M,1.544B,1.544B,,,,,8.20M,372.00M,1.916B,2.590B,,2.50M,6.303B,3.375B,4.450B,,,370.10M,5.600B,,AOR,Restated
2011-06,624.10M,321.40M,945.50M,888.40M,888.40M,129.20M,53.50M,792.40M,,975.10M,66.70M,,232.60M,,3.108B,0.00,22.30M,1.199B,1.628B,,65.90M,2.916B,-1.703B,1.213B,2.694B,811.50M,3.506B,,422.40M,5.141B,8.249B,,124.00M,31.10M,,155.10M,391.80M,546.90M,,,,,43.20M,679.00M,1.147B,1.147B,,,,,,407.10M,1.554B,2.233B,,2.50M,6.111B,3.355B,3.901B,,,447.50M,6.016B,,AOR,Restated
2011-03,575.60M,290.60M,866.20M,876.30M,876.30M,131.50M,54.90M,772.00M,,958.40M,104.10M,,225.70M,,3.031B,0.00,22.30M,1.185B,1.587B,,65.20M,2.860B,-1.642B,1.218B,2.677B,830.40M,3.507B,,361.40M,5.087B,8.118B,,127.30M,24.00M,,151.30M,,151.30M,,,,,562.10M,713.40M,1.140B,1.140B,,,,,,399.80M,1.54B,2.253B,,2.50M,5.908B,3.325B,3.781B,,,409.70M,5.864B,,AOR,Restated
2010-12,668.90M,265.10M,934.00M,775.90M,775.90M,132.10M,47.00M,757.30M,,936.40M,127.70M,,235.70M,,3.010B,0.00,22.00M,1.162B,1.538B,,66.50M,2.788B,-1.574B,1.214B,2.581B,827.10M,3.408B,,368.50M,4.990B,8.000B,,129.60M,48.90M,,178.50M,405.90M,584.40M,,,,,,702.50M,1.142B,1.142B,,,,,0.00,384.00M,1.526B,2.229B,,2.50M,5.699B,3.294B,3.545B,,,321.00M,5.771B,,AOR,Restated
2010-06,953.70M,33.00M,986.70M,765.10M,765.10M,120.70M,58.00M,707.10M,,885.80M,127.60M,,217.60M,,2.983B,0.00,21.50M,1.120B,1.256B,161.60M,60.50M,2.620B,-1.449B,1.171B,2.638B,818.50M,3.456B,,217.80M,4.844B,7.827B,,115.00M,25.40M,,140.40M,,140.40M,,,,,461.40M,601.80M,1.131B,1.131B,,,,,,360.40M,1.491B,2.093B,,2.50M,5.473B,3.253B,3.218B,,,224.10M,5.734B,,AOR,Restated
2010-03,821.20M,50.20M,871.40M,767.10M,767.10M,130.70M,57.10M,708.70M,,896.50M,118.00M,,220.80M,,2.874B,0.00,21.60M,1.144B,1.384B,,61.00M,2.611B,-1.420B,1.190B,2.712B,834.00M,3.546B,,211.40M,4.948B,7.822B,,136.00M,67.90M,,203.90M,,203.90M,,,,,451.30M,655.20M,1.127B,1.127B,,,,,,325.90M,1.453B,2.108B,,2.50M,5.308B,3.232B,3.133B,,,304.90M,5.714B,,AOR,Restated
2009-12,691.70M,66.40M,758.10M,751.40M,751.40M,146.60M,48.00M,718.60M,,913.20M,105.40M,,209.90M,,2.738B,0.00,21.80M,1.148B,1.369B,,62.00M,2.600B,-1.379B,1.222B,2.784B,858.00M,3.642B,,184.30M,5.048B,7.786B,,134.60M,57.50M,,192.10M,498.60M,690.70M,,,,,,690.70M,1.128B,1.128B,,,29.40M,,,204.80M,1.456B,2.147B,,2.50M,5.102B,3.215B,3.040B,,,358.60M,5.639B,,AOR,Restated
2009-09,439.70M,,439.70M,743.20M,743.20M,162.00M,47.20M,762.90M,,972.10M,65.50M,2.80M,225.50M,,2.449B,0.00,21.80M,1.114B,1.361B,,76.00M,2.573B,-1.333B,1.240B,2.883B,873.90M,3.757B,,202.50M,5.199B,7.648B,,121.00M,15.60M,,136.60M,,136.60M,,,,,540.10M,676.70M,600.20M,600.20M,,,,,0.00,392.50M,992.70M,1.669B,,2.50M,4.948B,3.198B,2.521B,,,351.20M,5.979B,,AOR,Restated
2009-06,277.50M,,277.50M,768.70M,768.70M,167.80M,54.10M,759.00M,,980.90M,81.80M,2.70M,217.10M,,2.329B,0.00,21.50M,1.091B,1.341B,,84.20M,2.537B,-1.283B,1.254B,2.815B,874.60M,3.689B,,189.80M,5.133B,7.462B,,144.00M,16.40M,,160.40M,,160.40M,,,,,508.80M,669.20M,653.50M,653.50M,,,,,0.00,333.80M,987.30M,1.656B,,2.50M,4.798B,3.177B,2.454B,,,282.40M,5.806B,,AOR,Restated
2009-03,212.80M,,212.80M,725.60M,725.60M,159.80M,55.30M,731.90M,,947.00M,103.40M,2.70M,204.20M,,2.196B,0.00,21.40M,1.012B,1.311B,,139.50M,2.485B,-1.227B,1.257B,2.754B,857.80M,3.612B,,167.10M,5.036B,7.232B,,156.30M,69.00M,,225.30M,,225.30M,,,,,478.30M,703.60M,660.40M,660.40M,,,,,0.00,312.50M,972.90M,1.676B,,2.50M,4.588B,3.154B,2.418B,,,228.70M,5.555B,,AOR,Restated
2008-12,212.60M,0.00,212.60M,732.80M,732.80M,144.50M,52.60M,731.20M,,928.30M,103.90M,2.70M,198.30M,,2.179B,0.00,21.70M,992.70M,1.298B,,149.00M,2.462B,-1.198B,1.264B,2.775B,872.10M,3.647B,,149.40M,5.060B,7.239B,,186.40M,26.60M,,213.00M,,213.00M,,,,,558.10M,771.10M,460.10M,460.10M,,,,,3.60M,353.90M,814.00M,1.585B,,2.50M,4.386B,3.138B,2.116B,,,240.00M,5.650B,,AOR,Restated
