,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,2.008B,2.008B,583.70M,1.424B,,791.30M,791.30M,99.10M,149.50M,,-50.50M,75.30M,,-75.30M,37.50M,1.077B,346.50M,,75.30M,-75.30M,-53.40M,-75.30M,217.80M,32.90M,184.90M,,0.10M,185.00M,227.87M,554.70M,261.60M,293.10M,,0.91,,,1.121,0.91,,0.90,,,1.110,0.90,,203.30M,204.60M,0.24,,AOR,Restated
2018-03,2.018B,2.018B,575.80M,1.442B,,801.70M,801.70M,95.70M,150.80M,,-46.00M,78.00M,,-78.00M,42.60M,1.091B,351.00M,,78.00M,-78.00M,-49.60M,-78.00M,223.40M,47.20M,176.20M,,-1.50M,174.70M,210.99M,564.90M,263.50M,301.40M,,0.86,,,1.039,0.86,,0.85,,,1.027,0.85,,203.00M,204.60M,0.24,,AOR,Restated
2017-12,2.068B,2.068B,591.40M,1.477B,,,865.10M,95.00M,151.50M,,-359.50M,77.80M,,-79.20M,45.90M,1.158B,319.40M,,77.80M,-79.20M,-364.40M,-79.20M,-124.20M,-1.355B,1.231B,,0.20M,1.231B,1.447B,218.10M,264.50M,-46.40M,,6.21,,,7.275,6.21,,6.16,,,7.217,6.16,,202.50M,204.00M,0.24,,AOR,Restated
2017-09,1.813B,1.813B,500.90M,1.312B,,,711.70M,91.20M,152.70M,,-94.30M,82.30M,0.60M,-81.70M,51.10M,1.007B,305.50M,0.60M,82.30M,-81.70M,-96.60M,-81.70M,127.20M,28.40M,98.80M,,0.00,98.80M,172.05M,476.00M,266.50M,209.50M,,0.49,,,0.8521,0.49,,0.48,,,0.8390,0.48,,202.30M,204.00M,0.24,,AOR,Restated
2017-06,1.950B,1.950B,527.70M,1.422B,,752.20M,752.20M,92.60M,147.70M,,-99.30M,82.30M,0.30M,-82.00M,49.90M,1.042B,379.40M,0.30M,82.30M,-82.00M,-101.00M,-82.00M,196.40M,12.30M,184.10M,,0.10M,184.20M,277.28M,542.80M,264.10M,278.70M,,0.91,,,1.371,0.91,,0.90,,,1.357,0.90,,201.80M,203.70M,0.24,,AOR,Restated
2017-03,1.972B,1.972B,512.90M,1.460B,,848.80M,848.80M,91.10M,152.00M,,-129.60M,82.90M,0.50M,-82.40M,,1.092B,367.60M,0.50M,82.90M,-82.40M,-130.10M,-82.40M,265.20M,-34.10M,299.30M,,0.10M,299.40M,377.16M,615.70M,267.60M,348.10M,,1.49,,,1.877,1.49,,1.47,,,1.853,1.47,,201.10M,203.10M,0.24,,AOR,Restated
2016-12,1.998B,1.998B,621.80M,1.376B,,523.00M,523.00M,95.70M,141.20M,,-384.00M,87.20M,,-89.90M,,813.30M,562.50M,,87.20M,-89.90M,-441.80M,-89.90M,30.80M,-38.90M,69.70M,,-0.10M,69.60M,300.00M,370.00M,252.00M,118.00M,,0.33,,,1.480,0.33,,0.33,,,1.467,0.33,,200.30M,202.70M,0.24,,AOR,Restated
2016-09,1.833B,1.833B,479.30M,1.354B,,831.40M,831.40M,95.60M,164.30M,0.00,-66.70M,91.50M,0.60M,-90.90M,,1.091B,262.20M,0.60M,91.50M,-90.90M,-67.80M,-90.90M,103.50M,-54.40M,157.90M,,0.90M,158.80M,198.82M,483.10M,288.10M,195.00M,,0.79,,,0.99,0.79,,0.78,,,0.9772,0.78,,200.10M,202.90M,0.24,,AOR,Restated
2016-06,1.934B,1.934B,640.10M,1.294B,,806.80M,806.80M,88.60M,133.80M,1.10M,-63.10M,88.10M,0.80M,-87.30M,,1.029B,264.70M,0.80M,88.10M,-87.30M,-66.90M,-87.30M,110.50M,142.20M,-31.70M,,0.40M,-31.30M,6.56M,450.90M,252.30M,198.60M,,-0.16,,,0.0299,-0.16,,-0.16,,,0.0299,-0.16,,199.40M,199.40M,0.24,,AOR,Restated
2016-03,1.904B,1.904B,640.60M,1.263B,,716.90M,716.90M,85.70M,126.60M,,-88.70M,88.20M,1.30M,-86.90M,,929.20M,334.20M,1.30M,88.20M,-86.90M,-92.50M,-86.90M,154.80M,46.10M,108.70M,,0.10M,108.80M,171.08M,489.90M,246.90M,243.00M,,0.54,,,0.8513,0.54,,0.54,,,0.8480,0.54,,200.10M,202.20M,0.24,,AOR,Restated
2015-12,1.934B,1.934B,669.30M,1.264B,,1.100B,1.100B,85.90M,161.40M,,296.40M,90.00M,2.00M,-88.00M,,1.347B,-82.90M,2.00M,90.00M,-88.00M,304.10M,-88.00M,133.20M,6.50M,126.70M,,0.30M,127.00M,-154.94M,507.50M,284.30M,223.20M,,0.67,,,-0.7168,0.67,,0.66,,,-0.7146,0.66,,203.30M,205.10M,0.22,,AOR,Restated
2015-09,1.762B,1.762B,552.10M,1.210B,,692.30M,692.30M,83.30M,122.60M,,-195.90M,90.80M,2.30M,-88.50M,,898.20M,311.90M,2.30M,90.80M,-88.50M,-191.60M,-88.50M,31.80M,9.60M,22.20M,,,22.20M,146.99M,362.10M,239.50M,122.60M,,0.11,,,0.7232,0.11,,0.11,,,0.7167,0.11,,203.50M,205.70M,0.22,,AOR,Restated
2015-06,1.168B,1.168B,294.30M,873.30M,,444.20M,444.20M,51.30M,33.00M,,-476.90M,82.70M,2.50M,-80.20M,,528.50M,344.80M,2.50M,82.70M,-80.20M,-503.20M,-80.20M,-238.60M,-64.80M,-173.80M,,0.20M,-173.60M,174.06M,-56.30M,99.60M,-155.90M,,-1.00,,,1.010,-1.00,,-1.00,,,1.010,-1.00,,173.00M,173.00M,0.22,,AOR,Restated
2015-03,1.134B,1.134B,284.90M,849.50M,,424.10M,424.10M,48.30M,20.40M,,-86.80M,23.10M,2.60M,-20.50M,,492.80M,356.70M,2.60M,23.10M,-20.50M,-109.40M,-20.50M,226.80M,55.70M,171.10M,,0.30M,171.40M,236.93M,338.90M,89.00M,249.90M,,1.01,,,1.395,1.01,,0.99,,,1.369,0.99,,170.00M,172.90M,0.22,,AOR,Restated
2014-12,1.223B,1.223B,313.80M,909.10M,,666.70M,666.70M,50.80M,20.50M,,55.20M,16.00M,3.50M,-12.50M,,738.00M,171.10M,3.50M,16.00M,-12.50M,33.90M,-12.50M,192.50M,38.80M,153.70M,,0.10M,153.80M,109.73M,301.10M,92.60M,208.50M,,0.90,,,0.6401,0.90,,0.90,,,0.6442,0.90,,169.60M,172.30M,0.22,,AOR,Restated
2014-09,1.106B,1.106B,295.90M,810.10M,,422.80M,422.80M,45.90M,20.60M,,-65.60M,16.30M,3.00M,-13.30M,,489.30M,320.80M,3.00M,16.30M,-13.30M,-77.70M,-13.30M,229.80M,56.90M,172.90M,,0.20M,173.10M,222.46M,337.00M,90.90M,246.10M,,1.02,,,1.312,1.02,,1.01,,,1.297,1.01,,169.00M,171.70M,0.22,,AOR,Restated
2014-06,1.183B,1.183B,331.60M,851.30M,,436.10M,436.10M,48.00M,22.20M,,-84.10M,15.80M,2.90M,-12.90M,,506.30M,345.00M,2.90M,15.80M,-12.90M,-95.70M,-12.90M,236.40M,60.30M,176.10M,,0.40M,176.50M,239.15M,343.50M,91.30M,252.20M,,1.05,,,1.422,1.05,,1.03,,,1.396,1.03,,168.40M,171.00M,0.22,,AOR,Restated
2014-03,1.162B,1.162B,303.70M,857.80M,,444.50M,444.50M,47.40M,29.20M,,-36.60M,15.00M,2.50M,-12.50M,,521.10M,336.70M,2.50M,15.00M,-12.50M,-38.30M,-12.50M,285.90M,64.80M,221.10M,,0.40M,221.50M,249.79M,401.90M,101.00M,300.90M,,1.31,,,1.477,1.31,,1.29,,,1.455,1.29,,169.10M,171.80M,0.22,,AOR,Restated
2013-12,1.241B,1.241B,321.40M,919.30M,,525.60M,525.60M,46.00M,,,85.10M,16.50M,4.20M,-12.30M,,656.10M,263.20M,4.20M,16.50M,-12.30M,79.10M,-12.30M,330.00M,75.20M,254.80M,,0.50M,255.30M,189.59M,436.60M,90.10M,346.50M,,1.38,,,0.9953,1.38,,1.36,,,0.9815,1.36,,170.80M,173.60M,0.20,,AOR,Restated
2013-09,1.074B,1.074B,328.80M,745.50M,,438.00M,438.00M,49.40M,,,-46.40M,17.10M,3.80M,-13.30M,,487.40M,258.10M,3.80M,17.10M,-13.30M,-46.40M,-13.30M,198.40M,44.30M,154.10M,,0.30M,154.40M,190.45M,307.40M,91.90M,215.50M,,0.91,,,1.122,0.91,,0.90,,,1.109,0.90,,170.00M,172.20M,0.20,,AOR,Restated
2013-06,1.170B,1.170B,323.60M,845.90M,,458.00M,458.00M,54.90M,,,-122.60M,18.30M,3.90M,-14.40M,,512.90M,333.00M,3.90M,18.30M,-14.40M,-122.60M,-14.40M,196.00M,44.30M,151.70M,,0.40M,152.10M,246.99M,305.70M,91.40M,214.30M,,0.90,,,1.462,0.90,,0.89,,,1.446,0.89,,168.80M,170.70M,0.20,,AOR,Restated
2013-03,1.139B,1.139B,292.90M,846.00M,,460.80M,460.80M,53.50M,,,-33.50M,18.20M,3.70M,-14.50M,,514.30M,331.70M,3.70M,18.20M,-14.50M,-33.50M,-14.50M,283.70M,65.70M,218.00M,,0.60M,218.60M,244.36M,387.00M,85.10M,301.90M,,1.30,,,1.453,1.30,,1.28,,,1.431,1.28,,168.70M,170.70M,0.20,,AOR,Restated
2012-12,1.180B,1.180B,298.90M,881.60M,,565.70M,565.70M,55.30M,,,-55.60M,18.90M,4.90M,-14.00M,,625.50M,256.10M,4.90M,18.90M,-14.00M,-55.60M,-14.00M,186.50M,34.20M,152.30M,,0.50M,152.80M,198.20M,295.60M,90.20M,205.40M,,0.89,,,1.153,0.89,,0.88,,,1.141,0.88,,172.80M,173.90M,0.18,,AOR,Restated
2012-09,1.026B,1.026B,255.70M,769.80M,,430.00M,430.00M,53.50M,,,-36.90M,18.30M,3.80M,-14.50M,,483.50M,286.30M,3.80M,18.30M,-14.50M,-36.90M,-14.50M,234.90M,57.20M,177.70M,,0.40M,178.10M,206.03M,335.90M,82.70M,253.20M,,1.02,,,1.180,1.02,,1.02,,,1.179,1.02,,174.10M,175.30M,0.18,,AOR,Restated
2012-06,1.125B,1.125B,281.90M,843.10M,,453.30M,453.30M,57.20M,,,-30.70M,18.10M,3.80M,-14.30M,,510.50M,332.60M,3.80M,18.10M,-14.30M,-30.70M,-14.30M,287.60M,73.60M,214.00M,,0.50M,214.50M,237.34M,399.10M,93.40M,305.70M,,1.22,,,1.350,1.22,,1.22,,,1.350,1.22,,175.20M,176.20M,0.18,,AOR,Restated
2012-03,1.141B,1.141B,288.70M,852.00M,,463.30M,463.30M,59.60M,,,-33.50M,17.60M,3.10M,-14.50M,,522.90M,329.10M,3.10M,17.60M,-14.50M,-33.50M,-14.50M,281.10M,72.20M,208.90M,,0.70M,209.60M,234.49M,395.50M,96.80M,298.70M,,1.18,,,1.320,1.18,,1.17,,,1.309,1.17,,177.40M,178.50M,0.18,,AOR,Restated
2011-12,1.167B,1.167B,303.20M,864.10M,,441.20M,441.20M,64.90M,,,-156.80M,16.20M,3.50M,-12.70M,,506.10M,358.00M,3.50M,16.20M,-12.70M,-156.80M,-12.70M,188.50M,32.40M,156.10M,,0.50M,156.60M,286.45M,299.00M,94.30M,204.70M,,0.88,,,1.607,0.88,,0.88,,,1.604,0.88,,178.60M,179.40M,,,AOR,Restated
2011-09,1.032B,1.032B,251.90M,779.60M,,444.00M,444.00M,61.00M,,,-8.00M,13.00M,1.30M,-11.70M,,505.00M,274.60M,1.30M,13.00M,-11.70M,-8.00M,-11.70M,254.90M,63.70M,191.20M,,0.30M,191.50M,197.50M,358.80M,90.90M,267.90M,,1.02,0.00,,1.052,1.02,,1.01,0.00,,1.042,1.01,,187.70M,188.80M,,,AOR,Restated
2011-06,1.137B,1.137B,287.90M,849.50M,,520.00M,520.00M,56.90M,,,-13.50M,13.10M,3.30M,-9.80M,,576.90M,272.60M,3.30M,13.10M,-9.80M,-13.50M,-9.80M,249.30M,45.50M,203.80M,,0.00,203.80M,214.84M,351.00M,88.60M,262.40M,,1.06,0.00,,1.118,1.06,,1.06,0.00,,1.117,1.06,,191.50M,192.70M,,,AOR,Restated
2011-03,1.116B,1.116B,279.00M,836.60M,,,458.30M,55.60M,,,-25.50M,13.00M,2.00M,-11.00M,,513.90M,322.70M,2.00M,13.00M,-11.00M,-25.50M,-11.00M,286.20M,77.30M,208.90M,,0.00,208.90M,227.51M,385.30M,86.10M,299.20M,,1.08,0.00,,1.177,1.08,,1.08,0.00,,1.176,1.08,,192.60M,193.80M,,,AOR,Restated
2010-12,1.135B,1.135B,274.10M,860.60M,,393.50M,393.50M,56.50M,,,-287.70M,,,-99.60M,,450.00M,410.60M,,,-99.60M,-287.70M,-99.60M,109.50M,74.60M,34.90M,,0.00,34.90M,221.90M,198.20M,90.70M,107.50M,,0.19,,,1.142,0.19,,0.19,,,1.137,0.19,,196.40M,197.50M,,,AOR,Restated
2010-09,965.00M,965.00M,219.10M,745.90M,,412.00M,412.00M,57.30M,,,-5.00M,,,14.20M,,469.30M,276.60M,,,14.20M,-5.00M,14.20M,257.40M,66.30M,191.10M,,0.00,191.10M,194.81M,360.30M,83.70M,276.60M,,0.96,0.00,,0.9787,0.96,,0.96,0.00,,0.9786,0.96,,198.70M,199.70M,,,AOR,
2010-06,1.058B,1.058B,250.60M,807.10M,,513.30M,513.30M,54.20M,,,-11.50M,,,14.30M,,567.50M,239.60M,,,14.30M,-11.50M,14.30M,213.80M,48.30M,165.50M,,,165.50M,174.40M,320.50M,80.90M,239.60M,,0.82,0.00,,0.8641,0.82,,0.82,0.00,,0.8639,0.82,,201.90M,203.00M,,,AOR,Restated
2010-03,1.063B,1.063B,268.40M,794.40M,,,447.20M,50.50M,,,-2.60M,,,14.60M,,497.70M,296.70M,,,14.60M,-2.60M,14.60M,279.50M,74.10M,205.40M,,,205.40M,207.31M,381.60M,84.90M,296.70M,,1.01,0.00,,1.019,1.01,,1.01,0.00,,1.019,1.01,,203.00M,204.20M,,,AOR,Restated
2009-12,1.107B,1.107B,274.40M,832.90M,,460.10M,460.10M,51.70M,,,-82.60M,,,-8.70M,,511.80M,321.10M,,,-8.70M,-82.60M,-8.70M,229.80M,74.60M,155.20M,,,155.20M,210.99M,408.90M,87.80M,321.10M,,0.74,0.00,,1.005,0.74,,0.73,0.00,,0.9944,0.73,,210.20M,211.00M,,,AOR,Restated
2009-09,975.60M,975.60M,249.30M,726.30M,,447.90M,447.90M,52.20M,,,-22.20M,,,-4.20M,,500.10M,226.20M,,,-4.20M,-22.20M,-4.20M,199.80M,49.90M,149.90M,,,149.90M,166.56M,314.40M,88.20M,226.20M,,0.70,0.00,,0.7780,0.70,,0.70,0.00,,0.7776,0.70,,213.60M,214.50M,,,AOR,Restated
2009-06,1.020B,1.020B,236.80M,783.10M,,,432.30M,49.90M,,,-4.40M,,,-4.00M,,482.20M,300.90M,,,-4.00M,-4.40M,-4.00M,292.50M,82.40M,210.10M,,,210.10M,213.26M,382.70M,81.80M,300.90M,,0.98,0.00,,0.9947,0.98,,0.98,0.00,,0.9947,0.98,,214.70M,215.50M,,,AOR,Restated
2009-03,992.60M,992.60M,230.20M,762.40M,,,423.70M,51.90M,,,-7.00M,,,-3.70M,,475.60M,286.80M,,,-3.70M,-7.00M,-3.70M,276.10M,73.90M,202.20M,,,202.20M,207.33M,366.40M,79.60M,286.80M,,0.91,0.00,,0.9331,0.91,,0.91,0.00,,0.9331,0.91,,221.50M,222.10M,,,AOR,Restated
2008-12,1.030B,1.030B,243.10M,787.10M,,456.00M,456.00M,48.30M,,,-43.10M,,,-4.20M,,504.30M,282.80M,,,-4.20M,-43.10M,-4.20M,235.50M,67.90M,167.60M,,-0.10M,167.50M,198.17M,361.90M,79.10M,282.80M,,0.75,0.00,,0.8871,0.75,,0.75,0.00,,0.8869,0.75,,223.70M,224.10M,,,AOR,Restated
2008-09,952.20M,952.20M,237.20M,715.00M,,451.20M,451.20M,47.90M,,,-5.60M,,,28.20M,,499.10M,215.90M,,,28.20M,-5.60M,28.20M,238.50M,23.50M,215.00M,,-0.30M,214.70M,219.75M,282.70M,66.80M,215.90M,,0.96,0.00,,0.9825,0.96,,0.95,0.00,,0.9724,0.95,,224.70M,225.60M,,,,Restated
2008-06,1.080B,1.080B,262.30M,817.20M,,,448.00M,48.30M,,,-12.50M,,,6.80M,,496.30M,320.90M,,,6.80M,-12.50M,6.80M,315.20M,87.80M,227.40M,,-0.30M,227.10M,236.12M,388.30M,67.40M,320.90M,,0.99,0.00,,1.029,0.99,,0.99,0.00,,1.029,0.99,,228.40M,229.50M,,,,Restated
2008-03,1.059B,1.059B,254.70M,804.50M,,,417.80M,47.80M,,,-7.30M,,,1.00M,,465.60M,338.90M,,,1.00M,-7.30M,1.00M,332.60M,93.10M,239.50M,,-0.20M,239.30M,244.56M,400.70M,61.80M,338.90M,,1.03,0.00,,1.053,1.03,,1.02,0.00,,1.042,1.02,,232.50M,233.90M,,,,Restated
2007-12,1.074B,1.074B,253.90M,819.60M,,,401.20M,50.80M,,,-15.70M,,,,0.00,452.00M,367.60M,,,,-15.70M,,353.00M,89.00M,263.80M,,-0.20M,263.80M,275.54M,430.00M,62.40M,367.60M,,1.12,0.00,,1.170,1.12,,1.12,0.00,,1.170,1.12,,233.10M,234.80M,,,,
2007-09,903.20M,903.20M,199.20M,704.00M,,,352.60M,53.00M,,,-172.40M,,,,169.50M,575.10M,128.90M,,,,-172.40M,,127.80M,83.40M,44.50M,,0.10M,44.50M,156.56M,187.10M,58.20M,128.90M,,0.19,0.00,,0.6671,0.19,,0.19,0.00,,0.6632,0.19,,234.90M,236.80M,,,,
2007-06,970.60M,970.60M,216.40M,754.20M,,,374.30M,53.50M,,,-3.90M,,,,,427.80M,326.40M,,,,-3.90M,,323.80M,92.20M,231.50M,,-0.10M,231.50M,234.29M,382.40M,56.00M,326.40M,,0.98,0.00,,0.9918,0.98,,0.97,0.00,,0.9817,0.97,,236.90M,239.20M,,,,
2007-03,950.20M,950.20M,206.40M,743.80M,,,361.60M,52.30M,,,-2.70M,,,,,413.90M,329.90M,,,,-2.70M,,327.00M,93.30M,233.40M,,-0.30M,233.40M,235.33M,383.30M,53.40M,329.90M,,0.99,0.00,,0.9981,0.99,,0.98,0.00,,0.9881,0.98,,236.90M,239.20M,,,,
2006-12,933.60M,933.60M,207.50M,726.10M,,,345.60M,45.60M,,,3.40M,,,,,391.20M,334.90M,,,,3.40M,,339.80M,95.00M,244.70M,,-0.10M,244.70M,242.25M,387.50M,52.60M,334.90M,,1.02,0.00,,1.010,1.02,,1.01,0.00,,0.9998,1.01,,238.20M,241.20M,,,,
2006-09,819.80M,819.80M,183.20M,636.60M,,,330.40M,46.70M,,,-5.00M,,,,,377.10M,259.50M,,,,-5.00M,,255.10M,71.90M,183.30M,,0.10M,183.30M,186.89M,310.80M,51.30M,259.50M,,0.76,0.00,,0.7749,0.76,,0.76,0.00,,0.7748,0.76,,240.40M,242.60M,,,,
2006-06,881.60M,881.60M,200.00M,681.60M,,,344.80M,48.60M,,,-6.30M,,,,,393.40M,288.20M,,,,-6.30M,,283.10M,82.00M,200.90M,,-0.20M,200.90M,205.38M,335.50M,47.30M,288.20M,,0.82,0.00,,0.8382,0.82,,0.81,0.00,,0.8281,0.81,,245.50M,247.70M,,,,
2006-03,860.40M,860.40M,189.40M,671.00M,,,334.90M,47.40M,,,1.80M,,,,,382.30M,288.70M,,,,1.80M,,291.00M,85.10M,205.60M,,-0.30M,205.60M,204.33M,334.90M,46.20M,288.70M,,0.83,0.00,,0.8249,0.83,,0.82,0.00,,0.8149,0.82,,247.80M,250.10M,,,,
2005-12,848.30M,848.30M,185.80M,662.50M,,,313.70M,45.90M,,,-21.90M,,,,,359.60M,302.90M,,,,-21.90M,,280.20M,80.30M,199.60M,,-0.30M,199.60M,215.22M,352.60M,49.70M,302.90M,,0.80,0.00,,0.8630,0.80,,0.80,0.00,,0.8625,0.80,,248.00M,250.10M,,,,
2005-09,762.50M,762.50M,174.50M,588.00M,,,295.80M,43.90M,,,-7.70M,,,,,339.70M,248.30M,,,,-7.70M,,238.50M,69.70M,168.60M,,-0.20M,168.60M,174.05M,293.90M,45.60M,248.30M,,0.68,0.00,,0.7020,0.68,,0.67,0.00,,0.6918,0.67,,247.40M,250.20M,,,,
2005-06,846.80M,846.80M,188.80M,658.00M,,,328.50M,43.60M,,,-10.10M,,,,,372.10M,285.90M,,,,-10.10M,,271.60M,80.70M,190.70M,,-0.20M,190.70M,197.80M,331.20M,45.30M,285.90M,,0.77,0.00,,0.7987,0.77,,0.76,0.00,,0.7884,0.76,,247.00M,249.90M,,,,
2005-03,828.50M,828.50M,190.30M,638.20M,,,321.60M,42.10M,,,-16.90M,,,,,363.70M,274.50M,,,,-16.90M,,250.40M,76.60M,173.60M,,-0.20M,173.60M,185.33M,319.60M,45.10M,274.50M,,0.71,0.00,,0.7577,0.71,,0.70,0.00,,0.7471,0.70,,246.10M,249.20M,,,,
2004-12,801.10M,801.10M,189.40M,611.70M,,,308.70M,47.30M,,,-14.10M,,,,,356.00M,255.70M,,,,-14.10M,,235.70M,35.40M,200.00M,,-0.30M,200.00M,211.98M,302.40M,46.70M,255.70M,,0.82,0.00,,0.8688,0.82,,0.81,0.00,,0.8581,0.81,,245.30M,249.30M,,,,
2004-09,700.20M,700.20M,169.10M,531.10M,,,286.20M,41.40M,,,-11.50M,,,,,327.60M,203.50M,,,,-11.50M,,184.30M,56.40M,127.90M,,,127.90M,135.88M,250.80M,47.30M,203.50M,,0.52,0.00,,0.5526,0.52,,0.52,0.00,,0.5522,0.52,,245.00M,248.20M,,,,
