,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2011-09,5.987B,5.987B,438.00M,579.00M,1.017B,52.00M,-52.00M,45.00M,1.062B,52.00M,-52.00M,17.00M,-52.00M,1.092B,356.00M,736.00M,,736.00M,736.00M,,1.144B,,0.79,0.00,,0.79,0.79,,0.785,0.00,,0.785,0.785,,931.82M,935.59M,0.15,,AOR,Restated
2011-06,5.088B,5.088B,427.00M,565.00M,992.00M,46.00M,-46.00M,45.00M,1.037B,46.00M,-46.00M,16.00M,-46.00M,444.00M,170.00M,274.00M,,274.00M,274.00M,,490.00M,,0.295,0.00,,0.295,0.295,,0.29,0.00,,0.29,0.29,,933.00M,939.50M,0.15,,AOR,Restated
2011-03,5.117B,5.117B,422.00M,534.00M,956.00M,45.00M,-45.00M,42.00M,998.00M,45.00M,-45.00M,30.00M,-45.00M,591.00M,202.00M,389.00M,,389.00M,389.00M,,636.00M,,0.415,0.00,,0.415,0.415,,0.415,0.00,,0.415,0.415,,936.02M,944.21M,0.15,,AOR,Restated
2010-12,5.22B,5.22B,,,,44.00M,-44.00M,-26.00M,-26.00M,44.00M,-44.00M,,-44.00M,643.00M,222.00M,421.00M,,421.00M,421.00M,,687.00M,,0.445,,,0.445,0.445,,0.445,,,0.445,0.445,,939.02M,947.53M,0.15,,AOR,Restated
2010-09,5.394B,5.394B,412.00M,505.00M,917.00M,39.00M,-39.00M,38.00M,955.00M,39.00M,-39.00M,13.00M,-39.00M,1.055B,365.00M,690.00M,,690.00M,690.00M,,1.094B,,0.735,0.00,,0.735,0.735,,0.73,0.00,,0.73,0.73,,939.74M,947.14M,0.14,,AOR,Restated
2010-06,4.98B,4.98B,398.00M,508.00M,906.00M,33.00M,-33.00M,38.00M,944.00M,33.00M,-33.00M,9.00M,-33.00M,889.00M,308.00M,581.00M,,581.00M,581.00M,,922.00M,,0.62,0.00,,0.62,0.62,,0.615,0.00,,0.615,0.615,,937.65M,945.08M,0.14,,AOR,Restated
2010-03,5.065B,5.065B,403.00M,481.00M,884.00M,33.00M,-33.00M,37.00M,921.00M,33.00M,-33.00M,37.00M,-33.00M,974.00M,338.00M,636.00M,,636.00M,636.00M,,1.007B,,0.68,0.00,,0.68,0.68,,0.675,0.00,,0.675,0.675,,935.85M,944.90M,0.14,,AOR,Restated
2009-12,4.597B,4.597B,410.00M,572.00M,982.00M,26.00M,-26.00M,40.00M,1.022B,26.00M,-26.00M,6.00M,-26.00M,342.00M,90.00M,252.00M,,252.00M,252.00M,,368.00M,,0.27,0.00,,0.27,0.27,,0.265,0.00,,0.265,0.265,,934.24M,942.24M,0.14,,AOR,Restated
2009-09,4.526B,4.526B,388.00M,487.00M,875.00M,25.00M,-25.00M,44.00M,919.00M,25.00M,-25.00M,16.00M,-25.00M,549.00M,186.00M,363.00M,,363.00M,363.00M,,574.00M,,0.39,0.00,,0.39,0.39,,0.385,0.00,,0.385,0.385,,933.17M,939.43M,0.14,,AOR,Restated
2009-06,4.313B,4.313B,381.00M,,381.00M,14.00M,-14.00M,35.00M,416.00M,14.00M,-14.00M,33.00M,-14.00M,473.00M,159.00M,314.00M,,314.00M,314.00M,,487.00M,,0.335,0.00,,0.335,0.335,,0.335,0.00,,0.335,0.335,,932.80M,936.57M,0.14,,AOR,Restated
2009-03,4.818B,4.818B,389.00M,,389.00M,8.00M,-8.00M,32.00M,421.00M,8.00M,-8.00M,24.00M,-8.00M,871.00M,302.00M,569.00M,,569.00M,569.00M,,879.00M,,0.61,0.00,,0.61,0.61,,0.61,0.00,,0.61,0.61,,932.19M,934.26M,0.14,,AOR,Restated
2008-12,4.26B,4.26B,385.00M,,385.00M,8.00M,-8.00M,35.00M,420.00M,8.00M,-8.00M,4.00M,-8.00M,300.00M,103.00M,197.00M,,197.00M,197.00M,,308.00M,,0.215,0.00,,0.215,0.215,,0.215,0.00,,0.215,0.215,,930.78M,937.84M,0.12,,AOR,Restated
2008-09,3.691B,3.691B,355.00M,,355.00M,7.00M,-7.00M,30.00M,385.00M,7.00M,-7.00M,4.00M,-7.00M,148.00M,48.00M,100.00M,,100.00M,100.00M,,155.00M,,0.105,0.00,,0.105,0.105,,0.105,0.00,,0.105,0.105,,950.71M,961.49M,0.12,,AOR,Restated
2008-06,4.336B,4.336B,362.00M,,362.00M,7.00M,-7.00M,36.00M,398.00M,7.00M,-7.00M,16.00M,-7.00M,740.00M,257.00M,483.00M,,483.00M,483.00M,,747.00M,,0.51,0.00,,0.51,0.51,,0.50,0.00,,0.50,0.50,,948.77M,961.66M,0.12,,AOR,Restated
2008-03,4.267B,4.267B,358.00M,,358.00M,7.00M,-7.00M,605.00M,963.00M,7.00M,-7.00M,12.00M,-7.00M,726.00M,252.00M,474.00M,,474.00M,474.00M,,733.00M,,0.495,0.00,,0.495,0.495,,0.49,0.00,,0.49,0.49,,956.28M,968.83M,0.12,,AOR,Restated
2007-12,4.017B,4.017B,345.00M,,345.00M,7.00M,-7.00M,-1.482B,-1.137B,7.00M,-7.00M,18.00M,-7.00M,586.00M,203.00M,383.00M,,383.00M,383.00M,,593.00M,,0.395,0.00,,0.395,0.395,,0.39,0.00,,0.39,0.39,,971.99M,984.44M,0.1025,,AOR,Restated
2007-09,3.861B,3.861B,331.00M,,331.00M,6.00M,-6.00M,551.00M,882.00M,6.00M,-6.00M,8.00M,-6.00M,642.00M,222.00M,420.00M,,420.00M,420.00M,,648.00M,,0.43,0.00,,0.43,0.43,,0.425,0.00,,0.425,0.425,,974.13M,985.64M,0.1025,,AOR,Restated
2007-06,3.764B,3.764B,326.00M,,326.00M,6.00M,-6.00M,531.00M,857.00M,6.00M,-6.00M,15.00M,-6.00M,635.00M,220.00M,415.00M,,415.00M,415.00M,,641.00M,,0.425,0.00,,0.425,0.425,,0.42,0.00,,0.42,0.42,,975.80M,988.45M,0.1025,,AOR,Restated
2007-03,3.751B,3.751B,,,,8.00M,-8.00M,358.00M,358.00M,8.00M,-8.00M,16.00M,-8.00M,636.00M,220.00M,416.00M,,416.00M,416.00M,,644.00M,,0.425,0.00,,0.425,0.425,,0.42,0.00,,0.42,0.42,,981.11M,993.32M,0.0925,,AOR,Restated
2006-12,3.687B,3.687B,,,,5.00M,-5.00M,-943.00M,-943.00M,5.00M,-5.00M,12.00M,-5.00M,508.00M,175.00M,333.00M,,333.00M,333.00M,,513.00M,,0.335,0.00,,0.335,0.335,,0.33,0.00,,0.33,0.33,,985.16M,997.06M,0.08,,AOR,Restated
2006-09,3.672B,3.672B,,,,4.00M,-4.00M,349.00M,349.00M,4.00M,-4.00M,11.00M,-4.00M,557.00M,190.00M,367.00M,,367.00M,367.00M,,561.00M,,0.37,0.00,,0.37,0.37,,0.365,0.00,,0.365,0.365,,989.85M,1.002B,0.065,,AOR,Restated
2006-06,3.697B,3.697B,,,,5.00M,-5.00M,351.00M,351.00M,5.00M,-5.00M,12.00M,-5.00M,624.00M,216.00M,408.00M,,408.00M,408.00M,,629.00M,,0.41,0.00,,0.41,0.41,,0.405,0.00,,0.405,0.405,,993.90M,1.007B,0.065,,AOR,Restated
2006-03,3.559B,3.559B,,,,5.00M,-5.00M,347.00M,347.00M,5.00M,-5.00M,16.00M,-5.00M,575.00M,200.00M,375.00M,,375.00M,375.00M,,580.00M,,0.375,0.00,,0.375,0.375,,0.37,0.00,,0.37,0.37,,996.07M,1.009B,0.065,,AOR,Restated
2005-12,3.567B,3.567B,,,,6.00M,-6.00M,-959.00M,-959.00M,6.00M,-6.00M,11.00M,-6.00M,559.00M,195.00M,364.00M,,364.00M,364.00M,,565.00M,,0.365,0.00,,0.365,0.365,,0.36,0.00,,0.36,0.36,,998.18M,1.012B,0.055,,AOR,Restated
2005-09,3.669B,3.669B,,,,6.00M,-6.00M,341.00M,341.00M,6.00M,-6.00M,10.00M,-6.00M,645.00M,190.00M,455.00M,,455.00M,455.00M,,651.00M,,0.455,0.00,,0.455,0.455,,0.45,0.00,,0.45,0.45,,1.001B,1.015B,0.055,,AOR,Restated
2005-06,3.567B,3.567B,,,,6.00M,-6.00M,358.00M,358.00M,6.00M,-6.00M,18.00M,-6.00M,516.00M,180.00M,336.00M,,336.00M,336.00M,,522.00M,,0.335,0.00,,0.335,0.335,,0.33,0.00,,0.33,0.33,,1.003B,1.016B,0.055,,AOR,Restated
2005-03,3.559B,3.559B,,,,6.00M,-6.00M,357.00M,357.00M,6.00M,-6.00M,1.00M,-6.00M,506.00M,178.00M,328.00M,,328.00M,328.00M,,512.00M,,0.325,0.00,,0.325,0.325,,0.32,0.00,,0.32,0.32,,1.005B,1.019B,0.055,,AOR,Restated
2004-12,3.447B,3.447B,,,,6.00M,-6.00M,-892.00M,-892.00M,6.00M,-6.00M,4.00M,-6.00M,441.00M,31.00M,385.00M,,410.00M,410.00M,,447.00M,,0.405,0.00,,0.405,0.405,,0.40,0.00,,0.40,0.40,,1.009B,1.026B,0.0475,,AOR,Restated
2004-09,3.321B,3.321B,,,,6.00M,-6.00M,334.00M,334.00M,6.00M,-6.00M,16.00M,-6.00M,451.00M,158.00M,293.00M,,293.00M,293.00M,,457.00M,,0.29,0.00,,0.29,0.29,,0.285,0.00,,0.285,0.285,,1.013B,1.031B,0.0475,,AOR,Restated
2004-06,3.233B,3.233B,,,,6.00M,-6.00M,330.00M,330.00M,6.00M,-6.00M,-14.00M,-6.00M,413.00M,155.00M,258.00M,,258.00M,258.00M,,419.00M,,0.255,0.00,,0.255,0.255,,0.25,0.00,,0.25,0.25,,1.017B,1.036B,0.0475,,AOR,Restated
2004-03,3.28B,3.28B,,,,6.00M,-6.00M,333.00M,333.00M,6.00M,-6.00M,27.00M,-6.00M,466.00M,162.00M,304.00M,,304.00M,304.00M,,472.00M,,0.30,0.00,,0.30,0.30,,0.295,0.00,,0.295,0.295,,1.020B,1.039B,0.0475,,AOR,Restated
2003-12,2.847B,2.847B,,,,6.00M,-6.00M,-818.00M,-818.00M,6.00M,-6.00M,-6.00M,-6.00M,79.00M,34.00M,45.00M,,45.00M,45.00M,,85.00M,,0.045,0.00,,0.045,0.045,,0.045,0.00,,0.045,0.045,,1.022B,1.040B,0.04,,AOR,Restated
2003-09,2.931B,2.931B,,,,6.00M,-6.00M,305.00M,305.00M,6.00M,-6.00M,9.00M,-6.00M,371.00M,134.00M,237.00M,,237.00M,237.00M,,377.00M,,0.23,0.00,,0.23,0.23,,0.225,0.00,,0.225,0.225,,1.027B,1.042B,0.04,,AOR,Restated
2003-06,2.861B,2.861B,,,,5.00M,-5.00M,304.00M,304.00M,5.00M,-5.00M,24.00M,-5.00M,377.00M,129.00M,248.00M,,248.00M,248.00M,,382.00M,,0.24,0.00,,0.24,0.24,,0.24,0.00,,0.24,0.24,,1.027B,1.045B,0.035,,AOR,Restated
2003-03,2.807B,2.807B,,,,5.00M,-5.00M,292.00M,292.00M,5.00M,-5.00M,12.00M,-5.00M,370.00M,133.00M,237.00M,,237.00M,237.00M,,375.00M,,0.23,0.00,,0.23,0.23,,0.225,0.00,,0.225,0.225,,1.029B,1.049B,0.035,,AOR,Restated
2002-12,2.666B,2.666B,,,,6.00M,-6.00M,-714.00M,-714.00M,6.00M,-6.00M,0.00,-6.00M,295.00M,109.00M,186.00M,,186.00M,186.00M,,301.00M,,0.185,0.00,,0.185,0.185,,0.175,0.00,,0.175,0.175,,1.031B,1.052B,0.03,,AOR,Restated
2002-09,2.707B,2.707B,,,,5.00M,-5.00M,293.00M,293.00M,5.00M,-5.00M,39.00M,-5.00M,357.00M,117.00M,240.00M,,240.00M,240.00M,,362.00M,,0.23,0.00,,0.23,0.23,,0.225,0.00,,0.225,0.225,,1.034B,1.056B,0.03,,AOR,
2002-06,2.513B,2.513B,,,,5.00M,-5.00M,283.00M,283.00M,5.00M,-5.00M,22.00M,-5.00M,322.00M,110.00M,212.00M,,212.00M,212.00M,,327.00M,,0.205,0.00,,0.205,0.205,,0.20,0.00,,0.20,0.20,,1.036B,1.059B,0.03,,AOR,
2002-03,2.371B,2.371B,,,,4.00M,-4.00M,263.00M,263.00M,4.00M,-4.00M,,-4.00M,285.00M,102.00M,183.00M,,183.00M,183.00M,,289.00M,,0.175,0.00,,0.175,0.175,,0.17,0.00,,0.17,0.17,,1.039B,1.059B,0.025,,AOR,
2001-12,2.404B,2.404B,,,,4.00M,-4.00M,-748.00M,-748.00M,4.00M,-4.00M,-29.00M,-4.00M,264.00M,102.00M,162.00M,,162.00M,162.00M,,268.00M,,0.155,0.00,,0.155,0.155,,0.155,0.00,,0.155,0.155,,1.044B,1.065B,0.025,,AOR,Restated
2001-09,2.446B,2.446B,,,,5.00M,-5.00M,273.00M,273.00M,5.00M,-5.00M,47.00M,-5.00M,294.00M,101.00M,193.00M,,193.00M,193.00M,,299.00M,,0.185,0.00,,0.185,0.185,,0.18,0.00,,0.18,0.18,,1.049B,1.072B,0.025,,AOR,
2001-06,2.348B,2.348B,,,,5.00M,-5.00M,272.00M,272.00M,5.00M,-5.00M,-10.00M,-5.00M,249.00M,96.00M,153.00M,,153.00M,153.00M,,254.00M,,0.145,0.00,,0.145,0.145,,0.14,0.00,,0.14,0.14,,1.052B,1.078B,0.025,,AOR,Restated
2001-03,2.421B,2.421B,,,,5.00M,-5.00M,272.00M,272.00M,5.00M,-5.00M,11.00M,-5.00M,274.00M,96.00M,178.00M,,178.00M,178.00M,,279.00M,,0.17,0.00,,0.17,0.17,,0.165,0.00,,0.165,0.165,,1.056B,1.084B,0.0212,,AOR,
2000-12,2.479B,2.479B,,,,5.00M,-5.00M,-658.00M,-658.00M,5.00M,-5.00M,8.00M,-5.00M,257.00M,91.00M,166.00M,,166.00M,166.00M,,262.00M,,0.16,0.00,,0.16,0.16,,0.15,0.00,,0.15,0.15,,1.060B,1.092B,0.0212,,AOR,Restated
2000-09,2.472B,2.472B,,,,5.00M,-5.00M,283.00M,283.00M,5.00M,-5.00M,8.00M,-5.00M,252.00M,89.00M,163.00M,,163.00M,163.00M,,257.00M,,0.155,0.00,,0.155,0.155,,0.15,0.00,,0.15,0.15,,1.060B,1.089B,0.0212,,AOR,Restated
2000-06,2.355B,2.355B,,,,5.00M,-5.00M,174.00M,174.00M,5.00M,-5.00M,11.00M,-5.00M,259.00M,57.00M,202.00M,,202.00M,202.00M,,264.00M,,0.19,0.00,,0.19,0.19,,0.185,0.00,,0.185,0.185,,1.062B,1.090B,0.0212,,AOR,Restated
2000-03,2.398B,2.398B,,,,5.00M,-5.00M,272.00M,272.00M,5.00M,-5.00M,4.00M,-5.00M,243.00M,87.00M,156.00M,,156.00M,156.00M,,248.00M,,0.145,0.00,,0.145,0.145,,0.145,0.00,,0.145,0.145,,1.062B,1.089B,0.0188,,AOR,Restated
1999-12,2.365B,2.365B,,,,5.00M,-5.00M,,,5.00M,-5.00M,-974.00M,-5.00M,778.00M,57.00M,102.00M,,102.00M,102.00M,,783.00M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,1.064B,1.098B,0.0188,,AOR,Restated
1999-09,2.196B,2.196B,,,,5.00M,-5.00M,,,5.00M,-5.00M,349.00M,-5.00M,0.00,76.00M,144.00M,,144.00M,144.00M,,5.00M,,0.135,0.00,,0.135,0.135,,0.13,0.00,,0.13,0.13,,1.062B,1.098B,0.0188,,,
1999-06,2.032B,2.032B,,,,5.00M,-5.00M,,,5.00M,-5.00M,,-5.00M,0.00,67.00M,130.00M,,130.00M,130.00M,,5.00M,,0.125,0.00,,0.125,0.125,,0.12,0.00,,0.12,0.12,,1.063B,1.104B,0.0188,,,
