,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,3.847B,86.98B,90.83B,892.00M,,,892.00M,91.72B,448.00M,,,,118.24B,120.91B,141.99B,,,4.069B,3.712B,7.781B,7.781B,,,,,7.781B,5.299B,16.00M,5.315B,4.524B,5.60B,15.44B,118.19B,,135.00M,30.81B,2.117B,12.11B,4.813B,-195.00M,-1.766B,,2.852B,23.80B,,AOR,Restated
2018-03,4.08B,90.14B,94.22B,906.00M,,,906.00M,95.13B,448.00M,,,,123.52B,126.62B,147.36B,,,4.407B,5.368B,9.775B,9.775B,,,,,9.775B,5.352B,20.00M,5.372B,4.63B,6.084B,16.09B,123.07B,,135.00M,30.18B,2.089B,11.80B,5.185B,-197.00M,-1.303B,,3.685B,24.29B,,AOR,Restated
2017-12,3.491B,84.31B,87.80B,827.00M,,,827.00M,88.63B,434.00M,,,,116.77B,119.22B,137.22B,,,4.745B,606.00M,5.351B,5.351B,548.00M,,548.00M,548.00M,5.899B,4.719B,22.00M,4.741B,4.392B,5.959B,15.09B,112.62B,,135.00M,29.90B,2.052B,11.51B,5.941B,-163.00M,-1.75B,,4.028B,24.60B,,AOR,Restated
2017-09,4.927B,83.21B,88.13B,937.00M,,,937.00M,89.07B,439.00M,,,,115.20B,117.72B,136.08B,,,6.195B,522.00M,6.717B,6.717B,0.00,,0.00,0.00,6.717B,5.23B,18.00M,5.248B,4.368B,6.262B,15.88B,114.11B,,67.00M,27.49B,2.077B,11.19B,5.414B,-168.00M,-1.715B,,3.531B,21.98B,,AOR,Restated
2017-06,4.264B,83.00B,87.27B,871.00M,,,871.00M,88.14B,442.00M,,,,115.62B,118.14B,135.39B,,,6.057B,663.00M,6.72B,6.72B,0.00,,0.00,0.00,6.72B,5.234B,18.00M,5.252B,4.281B,6.547B,16.08B,113.89B,,67.00M,26.94B,2.048B,10.96B,5.15B,-169.00M,-1.58B,,3.401B,21.50B,,AOR,Restated
2017-03,4.205B,80.20B,84.40B,618.00M,,,618.00M,85.02B,444.00M,,,,114.60B,117.15B,133.65B,,,5.626B,1.482B,7.108B,7.108B,0.00,,0.00,0.00,7.108B,5.23B,20.00M,5.25B,4.23B,6.825B,16.30B,113.31B,,67.00M,26.40B,2.008B,10.77B,4.452B,-170.00M,-1.65B,,2.632B,20.34B,,AOR,Restated
2016-12,4.859B,76.70B,81.56B,669.00M,,,669.00M,82.23B,433.00M,,,,110.05B,113.09B,129.82B,,,5.387B,526.00M,5.913B,5.913B,649.00M,,649.00M,649.00M,6.562B,4.69B,21.00M,4.711B,4.045B,6.916B,15.67B,109.34B,,67.00M,25.98B,1.976B,10.17B,4.781B,-168.00M,-1.983B,,2.63B,20.48B,,AOR,Restated
2016-09,5.27B,83.80B,89.07B,689.00M,,,689.00M,89.76B,476.00M,,,,122.57B,126.51B,144.10B,,,6.247B,1.053B,7.30B,7.30B,,,,,7.30B,5.743B,22.00M,5.765B,4.346B,8.401B,18.51B,121.32B,,67.00M,25.40B,1.936B,9.986B,6.101B,-143.00M,-594.00M,,5.364B,22.78B,,AOR,Restated
2016-06,3.70B,83.32B,87.02B,758.00M,,,758.00M,87.77B,467.00M,,,,121.66B,125.85B,141.29B,,,6.714B,826.00M,7.54B,7.54B,,,,,7.54B,4.987B,22.00M,5.009B,4.261B,8.726B,18.00B,118.74B,,67.00M,24.94B,1.905B,9.798B,6.422B,-143.00M,-847.00M,,5.432B,22.55B,,AOR,Restated
2016-03,3.449B,74.91B,78.36B,723.00M,,,723.00M,79.08B,443.00M,,,,110.42B,113.46B,127.77B,,,5.106B,830.00M,5.936B,5.936B,,,,,5.936B,4.965B,19.00M,4.984B,3.99B,8.286B,17.26B,107.74B,,67.00M,24.56B,1.866B,9.413B,4.66B,-140.00M,-1.584B,,2.936B,20.02B,,AOR,Restated
2015-12,4.35B,67.79B,72.14B,705.00M,,,705.00M,72.85B,427.00M,,,,101.25B,103.63B,118.26B,,,4.34B,941.00M,5.281B,5.281B,,,,,5.281B,4.951B,20.00M,4.971B,3.802B,7.857B,16.63B,100.55B,,67.00M,24.01B,1.828B,8.819B,2.96B,-139.00M,-2.196B,,625.00M,17.71B,,AOR,Restated
2015-09,3.52B,67.40B,70.92B,762.00M,,,762.00M,71.68B,430.00M,,,,101.13B,103.74B,117.46B,,,4.474B,907.00M,5.381B,5.381B,,,,,5.381B,4.993B,16.00M,5.009B,3.809B,8.121B,16.94B,100.20B,,67.00M,23.45B,1.807B,8.598B,3.186B,-125.00M,-2.533B,,528.00M,17.26B,,AOR,Restated
2015-06,3.103B,66.68B,69.79B,839.00M,,,839.00M,70.63B,422.00M,,,,99.98B,102.40B,115.58B,,,4.697B,1.023B,5.72B,5.72B,300.00M,,300.00M,300.00M,6.02B,5.112B,13.00M,5.125B,3.695B,8.102B,16.92B,98.56B,,67.00M,23.05B,1.772B,8.38B,3.357B,-125.00M,-2.725B,,507.00M,17.02B,,AOR,Restated
2015-03,4.363B,69.91B,74.27B,700.00M,,,700.00M,74.97B,428.00M,,,,104.17B,107.11B,121.40B,,,5.322B,2.615B,7.937B,7.937B,300.00M,,300.00M,300.00M,8.237B,5.968B,14.00M,5.982B,3.673B,8.46B,18.12B,102.76B,,67.00M,22.65B,1.745B,8.155B,4.998B,-126.00M,-2.54B,,2.332B,18.64B,,AOR,Restated
2014-12,4.658B,68.27B,72.93B,842.00M,,,842.00M,73.77B,429.00M,,,,102.51B,105.06B,119.77B,,,5.293B,2.193B,7.486B,7.486B,300.00M,,300.00M,300.00M,7.786B,4.968B,14.00M,4.982B,3.63B,8.626B,17.24B,101.42B,,67.00M,22.16B,1.711B,7.566B,4.646B,-126.00M,-2.541B,,1.979B,18.35B,,AOR,Restated
2014-09,2.666B,70.28B,72.95B,870.00M,,,870.00M,73.82B,449.00M,,,,108.02B,110.23B,127.25B,,,4.469B,7.025B,11.49B,11.49B,300.00M,,300.00M,300.00M,11.79B,4.252B,6.00M,4.258B,3.829B,9.742B,17.83B,109.40B,,67.00M,21.63B,1.726B,7.068B,3.385B,-80.00M,-1.805B,,1.50B,17.85B,,AOR,Restated
2014-06,2.252B,71.02B,73.27B,884.00M,,,884.00M,74.16B,482.00M,,,,112.15B,114.46B,127.87B,,,4.917B,2.972B,7.889B,7.889B,,,,,7.889B,4.918B,7.00M,4.925B,3.941B,10.72B,19.58B,110.31B,,67.00M,21.09B,1.698B,6.902B,2.904B,-82.00M,-1.216B,,1.606B,17.56B,,AOR,Restated
2014-03,1.994B,67.32B,69.31B,732.00M,,,732.00M,70.04B,481.00M,,,,108.18B,110.50B,123.29B,,,4.258B,3.313B,7.571B,7.571B,,,,,7.571B,4.908B,5.00M,4.913B,3.875B,10.78B,19.57B,107.62B,,67.00M,20.45B,1.667B,6.812B,1.931B,-82.00M,-1.542B,,307.00M,15.68B,,AOR,Restated
2013-12,2.543B,61.04B,63.58B,1.165B,,,1.165B,64.75B,481.00M,,,,105.45B,107.54B,121.31B,,,3.718B,5.82B,9.538B,9.538B,,,,,9.538B,4.891B,6.00M,4.897B,3.763B,10.64B,19.30B,106.69B,,67.00M,19.88B,1.644B,6.413B,1.023B,-81.00M,-1.505B,,-563.00M,14.62B,,AOR,Restated
2013-09,2.749B,59.89B,62.64B,950.00M,,,950.00M,63.58B,510.00M,,,,103.49B,105.80B,119.92B,,,3.255B,628.00M,3.883B,3.883B,,,,,3.883B,4.946B,7.00M,4.953B,3.853B,11.60B,20.41B,105.26B,,67.00M,19.38B,1.605B,5.933B,135.00M,-178.00M,-418.00M,,-461.00M,14.66B,,AOR,Restated
2013-06,2.388B,58.67B,61.05B,889.00M,,,889.00M,61.94B,510.00M,,,,101.38B,103.02B,116.31B,,,3.363B,1.506B,4.869B,4.869B,,,,,4.869B,4.939B,7.00M,4.946B,3.76B,11.55B,20.26B,102.62B,,67.00M,18.84B,1.562B,5.934B,-209.00M,-178.00M,-453.00M,,-840.00M,13.70B,,AOR,Restated
2013-03,2.596B,59.43B,62.03B,1.71B,,,1.71B,63.74B,527.00M,,,,104.64B,106.09B,120.54B,,,3.799B,207.00M,4.006B,4.006B,,,,,4.006B,4.276B,7.00M,4.283B,3.877B,11.96B,20.12B,105.00B,,67.00M,18.11B,1.532B,5.829B,1.972B,-180.00M,-141.00M,,1.651B,15.54B,,AOR,Restated
2012-12,2.041B,61.58B,63.62B,976.00M,,,976.00M,64.60B,564.00M,,,,116.00B,117.40B,131.09B,,,3.858B,6.277B,10.14B,10.14B,,,,,10.14B,4.343B,9.00M,4.352B,4.034B,11.90B,20.29B,115.12B,,67.00M,17.39B,1.505B,5.696B,2.565B,-183.00M,333.00M,,2.715B,15.98B,,AOR,Restated
2012-09,2.985B,185.00M,3.17B,1.005B,,,1.005B,4.175B,625.00M,,,,121.23B,122.77B,137.84B,,6.591B,3.263B,,9.854B,9.854B,,,,,9.854B,4.401B,,4.401B,4.267B,2.315B,10.98B,121.86B,,66.00M,16.97B,1.473B,5.61B,2.265B,-189.00M,1.011B,,3.087B,15.98B,,AOR,Restated
2012-06,2.13B,176.00M,2.306B,747.00M,,,747.00M,3.053B,603.00M,,,,107.12B,108.56B,122.21B,,192.00M,2.635B,,2.827B,2.827B,,,,,2.827B,3.672B,,3.672B,4.057B,2.068B,9.797B,108.03B,,66.00M,16.11B,1.453B,5.619B,1.474B,-168.00M,865.00M,,2.171B,14.18B,,AOR,Restated
2012-03,2.21B,161.00M,2.371B,744.00M,,,744.00M,3.115B,591.00M,,,,100.89B,102.31B,115.55B,,193.00M,2.599B,,2.792B,2.792B,,,,,2.792B,3.964B,,3.964B,3.885B,1.854B,9.703B,101.91B,,66.00M,15.78B,1.433B,5.635B,1.449B,-167.00M,718.00M,,2.00B,13.64B,,AOR,Restated
2011-12,2.249B,54.04B,56.28B,680.00M,,,680.00M,56.96B,617.00M,,,,101.04B,102.55B,116.24B,,,2.308B,838.00M,3.146B,3.146B,,,,,3.146B,3.275B,10.00M,3.285B,3.981B,1.704B,8.97B,103.29B,,66.00M,15.15B,1.408B,5.641B,1.152B,-171.00M,984.00M,,1.965B,12.95B,,AOR,Restated
2011-09,1.862B,166.00M,2.028B,1.028B,,,1.028B,3.056B,626.00M,,,,98.95B,100.49B,114.72B,,858.00M,2.212B,,3.07B,3.07B,,,,,3.07B,3.301B,,3.301B,4.033B,1.554B,8.888B,102.01B,,66.00M,15.19B,1.388B,5.613B,708.00M,-135.00M,1.109B,,1.682B,12.71B,,AOR,Restated
2011-06,1.291B,5.279B,6.57B,879.00M,,,879.00M,7.449B,611.00M,,,,91.69B,93.30B,106.23B,,338.00M,2.186B,,2.524B,2.524B,,,,,2.524B,3.048B,,3.048B,3.855B,1.306B,8.209B,94.25B,,66.00M,14.59B,1.372B,5.591B,758.00M,-125.00M,914.00M,,1.547B,11.98B,,AOR,Restated
2011-03,2.088B,138.00M,2.226B,738.00M,,,738.00M,2.964B,604.00M,,,,86.35B,87.88B,101.14B,,244.00M,1.877B,,2.121B,2.121B,,,,,2.121B,3.017B,,3.017B,3.735B,1.232B,7.984B,90.12B,,66.00M,14.45B,1.35B,5.556B,-21.00M,-126.00M,862.00M,,715.00M,11.02B,,AOR,Restated
2010-12,2.121B,135.00M,2.256B,661.00M,,,661.00M,2.917B,620.00M,,,,86.11B,87.78B,101.04B,,191.00M,1.969B,,2.16B,2.16B,,,,,2.16B,3.038B,,3.038B,3.719B,1.197B,7.954B,89.98B,,66.00M,14.19B,1.32B,5.386B,64.00M,-128.00M,926.00M,,862.00M,11.06B,,AOR,Restated
2010-09,2.434B,,2.434B,640.00M,,,640.00M,3.074B,610.00M,,,,83.03B,84.52B,97.84B,,147.00M,2.146B,,2.293B,2.293B,,,,,2.293B,3.008B,,3.008B,3.662B,1.118B,7.788B,86.71B,,66.00M,13.76B,1.289B,5.274B,592.00M,-107.00M,809.00M,,1.294B,11.13B,,AOR,Restated
2010-06,2.184B,,2.184B,659.00M,,,659.00M,2.843B,594.00M,,,,77.24B,78.64B,91.24B,,636.00M,1.964B,,2.60B,2.60B,,,,,2.60B,2.653B,,2.653B,3.437B,1.002B,7.092B,81.21B,,66.00M,13.34B,1.271B,5.276B,136.00M,-106.00M,599.00M,,629.00M,10.03B,,AOR,Restated
2010-03,1.611B,,1.611B,671.00M,,,671.00M,2.282B,583.00M,,,,72.28B,73.61B,85.18B,,486.00M,1.629B,,2.115B,2.115B,,,,,2.115B,2.584B,,2.584B,3.298B,937.00M,6.819B,76.19B,,66.00M,12.89B,1.248B,5.31B,-214.00M,-105.00M,412.00M,,93.00M,8.987B,,AOR,Restated
2009-12,2.323B,114.00M,2.437B,764.00M,,,764.00M,3.201B,593.00M,,,,70.87B,71.84B,84.11B,,483.00M,1.653B,,2.136B,2.136B,,,,,2.136B,2.599B,,2.599B,3.27B,926.00M,6.795B,75.69B,,66.00M,12.41B,1.228B,5.316B,-640.00M,-107.00M,776.00M,,29.00M,8.417B,,AOR,Restated
2009-09,1.804B,,1.804B,849.00M,,,849.00M,2.653B,599.00M,,,,69.72B,70.68B,82.62B,,106.00M,1.361B,,1.467B,1.467B,,,,,1.467B,2.231B,,2.231B,3.315B,929.00M,6.475B,74.73B,,66.00M,12.29B,1.216B,5.322B,-1.112B,-118.00M,862.00M,,-368.00M,7.882B,,AOR,Restated
2009-06,1.689B,90.00M,1.779B,840.00M,,,840.00M,2.619B,579.00M,,,,63.88B,64.80B,76.04B,,593.00M,880.00M,,1.473B,1.473B,,,,,1.473B,1.992B,,1.992B,3.128B,847.00M,5.967B,69.69B,,66.00M,12.06B,1.201B,5.323B,-2.126B,-117.00M,591.00M,,-1.652B,6.35B,,AOR,Restated
2009-03,1.196B,84.00M,1.28B,667.00M,,,667.00M,1.947B,570.00M,,,,60.53B,61.47B,71.82B,,,368.00M,,368.00M,368.00M,,,,,368.00M,1.684B,,1.684B,3.013B,824.00M,5.521B,66.62B,,66.00M,11.88B,1.19B,5.324B,-2.491B,,,,-2.491B,5.199B,,AOR,Restated
2008-12,941.00M,,941.00M,920.00M,,,920.00M,1.861B,597.00M,,,,67.52B,68.50B,79.33B,,1.733B,1.201B,,2.934B,2.934B,,,,,2.934B,1.721B,,1.721B,3.118B,874.00M,5.713B,72.69B,,66.00M,11.31B,1.184B,5.335B,-1.211B,-121.00M,750.00M,,-582.00M,6.639B,,AOR,Restated
2008-09,514.00M,76.00M,590.00M,823.00M,,,823.00M,1.413B,542.00M,,,,60.21B,61.09B,70.46B,,,1.44B,,1.44B,1.44B,,,,,1.44B,2.90B,,2.90B,2.80B,781.00M,6.481B,63.96B,,66.00M,11.35B,335.00M,4.664B,-520.00M,-69.00M,,,-589.00M,6.50B,,AOR,Restated
2008-06,1.387B,69.00M,1.456B,777.00M,,225.00M,1.002B,2.458B,529.00M,,,,59.50B,60.36B,70.55B,,,2.053B,,2.053B,2.053B,,,,,2.053B,3.079B,,3.079B,2.643B,745.00M,6.467B,62.65B,,66.00M,11.37B,1.132B,4.674B,78.00M,-69.00M,,,9.00M,7.899B,,AOR,Restated
2008-03,908.00M,,908.00M,665.00M,,,665.00M,1.573B,548.00M,,,,53.04B,62.77B,72.27B,,991.00M,2.097B,,3.088B,3.088B,,,,,3.088B,1.606B,,1.606B,54.84B,781.00M,57.22B,64.14B,,66.00M,11.00B,1.09B,4.646B,,,,,627.00M,8.134B,,AOR,Restated
2007-12,1.563B,61.00M,1.624B,732.00M,,,732.00M,2.356B,496.00M,,,,55.49B,56.30B,65.80B,,,2.531B,,2.531B,2.531B,,,,,2.531B,2.273B,,2.273B,2.455B,693.00M,5.421B,57.01B,,66.00M,10.64B,1.054B,3.896B,1.003B,-69.00M,,,934.00M,8.795B,,AOR,Restated
2007-09,1.328B,,1.328B,688.00M,,,688.00M,2.016B,480.00M,,,,45.68B,54.53B,63.58B,,656.00M,2.26B,,2.916B,2.916B,,,,,2.916B,1.454B,,1.454B,48.65B,682.00M,50.79B,55.12B,,66.00M,10.35B,1.019B,3.78B,,,,,792.00M,8.451B,,AOR,Restated
2007-06,1.406B,,1.406B,523.00M,,,523.00M,1.929B,457.00M,,,,42.88B,51.53B,60.11B,,1.082B,2.36B,,3.442B,3.442B,,,,,3.442B,1.392B,,1.392B,45.09B,631.00M,47.11B,51.92B,,66.00M,10.03B,978.00M,3.673B,,,,,785.00M,8.19B,,AOR,Restated
2007-03,834.00M,,834.00M,502.00M,,,502.00M,1.336B,471.00M,,,,43.95B,53.19B,61.19B,,989.00M,2.475B,,3.464B,3.464B,,,,,3.464B,1.434B,,1.434B,46.00B,655.00M,48.08B,52.70B,,66.00M,9.72B,924.00M,3.578B,,,,,1.357B,8.489B,,AOR,Restated
2006-12,1.203B,,1.203B,535.00M,,,535.00M,1.738B,458.00M,,,,50.71B,51.45B,59.80B,,807.00M,2.462B,,3.269B,3.269B,,,,,3.269B,1.426B,,1.426B,2.39B,645.00M,4.461B,51.46B,,66.00M,9.304B,895.00M,3.35B,1.45B,-78.00M,54.00M,,1.426B,8.341B,,AOR,Restated
2006-09,1.378B,55.00M,1.433B,522.00M,,,522.00M,1.955B,450.00M,,,,40.90B,50.02B,58.35B,,440.00M,2.26B,,2.70B,2.70B,,,,,2.70B,1.439B,,1.439B,44.33B,639.00M,46.41B,50.33B,,66.00M,9.005B,866.00M,3.222B,,,,,1.312B,8.027B,,AOR,Restated
2006-06,924.00M,61.00M,985.00M,507.00M,,1.00M,508.00M,1.493B,454.00M,,,,40.48B,49.59B,57.43B,,966.00M,1.927B,,2.893B,2.893B,,,,,2.893B,1.071B,,1.071B,42.82B,628.00M,44.52B,50.26B,,66.00M,8.701B,846.00M,3.10B,,,,,656.00M,7.169B,,AOR,Restated
2006-03,1.155B,61.00M,1.216B,402.00M,,,402.00M,1.618B,447.00M,,,,39.27B,48.41B,56.14B,,467.00M,2.132B,,2.599B,2.599B,,,,,2.599B,1.40B,,1.40B,41.30B,614.00M,43.31B,48.56B,,66.00M,8.358B,819.00M,3.013B,,,,,1.346B,7.576B,,AOR,Restated
2005-12,1.297B,,1.297B,584.00M,,,584.00M,1.881B,448.00M,,,,47.64B,48.35B,56.36B,,622.00M,2.577B,,3.199B,3.199B,,,,,3.199B,1.395B,,1.395B,2.504B,594.00M,4.493B,48.43B,,65.00M,8.048B,791.00M,2.934B,1.917B,-37.00M,77.00M,,1.957B,7.927B,,AOR,Restated
2005-09,1.862B,134.00M,1.996B,695.00M,,,695.00M,2.691B,466.00M,,,,39.56B,48.83B,57.45B,,322.00M,2.67B,,2.992B,2.992B,,,,,2.992B,1.70B,,1.70B,41.14B,595.00M,43.44B,49.45B,,65.00M,7.738B,754.00M,2.827B,,,,,2.276B,8.006B,,AOR,Restated
2005-06,1.428B,48.00M,1.476B,579.00M,,,579.00M,2.055B,477.00M,,,,40.41B,49.90B,58.00B,,901.00M,3.049B,,3.95B,3.95B,,,,,3.95B,1.369B,,1.369B,41.15B,578.00M,43.10B,49.54B,,65.00M,7.339B,730.00M,2.749B,,,,,3.074B,8.459B,,AOR,Restated
2005-03,992.00M,47.00M,1.039B,436.00M,,,436.00M,1.475B,491.00M,,,,39.96B,49.58B,57.04B,,507.00M,2.623B,,3.13B,3.13B,,,,,3.13B,1.398B,,1.398B,41.43B,586.00M,43.41B,49.26B,,65.00M,7.058B,698.00M,2.66B,,,,,2.615B,7.776B,,AOR,Restated
2004-12,3.813B,,3.813B,418.00M,,,418.00M,4.231B,515.00M,,,,48.10B,48.96B,59.33B,,2.887B,2.445B,,5.332B,5.332B,,,,,5.332B,1.429B,,1.429B,2.355B,593.00M,4.377B,51.75B,,65.00M,6.785B,676.00M,2.561B,2.417B,-28.00M,222.00M,,2.611B,7.576B,,AOR,Restated
2004-09,1.388B,,1.388B,415.00M,,,415.00M,1.803B,490.00M,,,,36.58B,45.45B,52.91B,,237.00M,2.649B,,2.886B,2.886B,,,,,2.886B,1.37B,,1.37B,39.78B,553.00M,41.70B,45.67B,,65.00M,6.622B,457.00M,2.455B,,,,,2.558B,7.247B,,AOR,Restated
2004-06,1.072B,,1.072B,470.00M,,,470.00M,1.542B,505.00M,,,,36.23B,44.90B,52.13B,,1.033B,2.096B,,3.129B,3.129B,,,,,3.129B,1.395B,,1.395B,39.81B,542.00M,41.74B,45.95B,,65.00M,6.369B,447.00M,2.364B,,,,,1.662B,6.179B,,AOR,Restated
2004-03,1.169B,,1.169B,442.00M,,,442.00M,1.611B,521.00M,,,,37.12B,46.08B,53.29B,,895.00M,2.449B,,3.344B,3.344B,,,,,3.344B,1.423B,,1.423B,39.94B,540.00M,41.90B,46.30B,,65.00M,6.152B,431.00M,2.324B,,,,,2.669B,6.993B,,AOR,Restated
2003-12,1.052B,,1.052B,547.00M,,,547.00M,1.599B,518.00M,,,,42.97B,43.83B,50.96B,,374.00M,2.189B,,2.563B,2.563B,,,,,2.563B,1.409B,,1.409B,2.115B,516.00M,4.04B,44.32B,,65.00M,5.885B,417.00M,2.214B,2.316B,-36.00M,213.00M,,2.493B,6.646B,,AOR,Restated
2003-09,1.176B,,1.176B,495.00M,,,495.00M,1.671B,503.00M,,,,34.13B,42.37B,49.24B,,729.00M,2.312B,,3.041B,3.041B,,,,,3.041B,1.376B,,1.376B,36.65B,489.00M,38.51B,42.57B,,65.00M,5.854B,405.00M,2.098B,,,216.00M,2.225B,2.441B,6.667B,,AOR,Restated
2003-06,1.735B,,1.735B,463.00M,,,463.00M,2.198B,472.00M,,,,32.63B,40.74B,47.83B,,1.263B,2.75B,,4.013B,4.013B,,,,,4.013B,1.312B,,1.312B,33.56B,454.00M,35.33B,40.26B,,65.00M,5.658B,392.00M,2.04B,,,238.00M,3.254B,3.492B,7.567B,,AOR,Restated
2003-03,985.00M,,985.00M,405.00M,,,405.00M,1.39B,478.00M,,,,31.50B,39.23B,45.34B,,102.00M,2.721B,,2.823B,2.823B,,,,,2.823B,1.311B,,1.311B,32.84B,444.00M,34.60B,38.33B,,65.00M,5.445B,378.00M,1.953B,,,218.00M,2.859B,3.077B,7.012B,,AOR,Restated
