,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2010-06,47.18M,,,-28.94M,,,43.08M,23.08M,,0.635M,4.284M,,5.883M,-9.781M,-2.657M,19.17M,,,0.00,6.736M,7.866M,,2010-06,-6.331M,11.01M,11.01M,,-123.64M,,-1.20M,,2010-06,89.50M,-0.037M,89.46M,0.613M,-0.057M,0.556M,,-8.247M,,-0.072M,,2010-06,181.74M,41.51M,215.66M,,2010-06,0.613M,139.00M,-49.54M,-0.057M,2010-06,AOR,Restated
2010-03,19.64M,,,,,,,20.00M,,0.635M,3.315M,,3.95M,2.977M,-11.96M,16.66M,,,-0.024M,7.65M,-1.845M,,2010-03,-7.501M,,,,-3.089M,,,,2010-03,-30.14M,-0.037M,-30.17M,12.43M,-0.938M,11.50M,,-8.227M,,0.024M,,2010-03,179.71M,6.757M,181.74M,,2010-03,12.43M,32.00M,-62.17M,-0.938M,2010-03,AOR,Restated
2009-12,32.92M,,,,,,22.82M,22.82M,,1.776M,3.702M,,0.07M,-16.10M,7.488M,-24.93M,,,,-33.32M,7.415M,,2009-12,-10.70M,0.00,0.00,,0.00,,0.00,,2009-12,-18.54M,,-18.54M,3.982M,0.00,3.982M,,-8.173M,,0.199M,,2009-12,150.59M,29.83M,179.71M,,2009-12,3.982M,67.00M,-85.54M,0.00,2009-12,AOR,Restated
2009-09,3.493M,,,-7.848M,,,13.85M,13.85M,,0.635M,2.118M,,18.06M,-12.28M,1.948M,-6.026M,,,,-16.36M,20.45M,,2009-09,-2.177M,0.00,0.00,,-52.70M,,0.00,,2009-09,51.99M,0.081M,52.07M,0.183M,-0.032M,0.151M,,-8.17M,,-0.002M,,2009-09,151.34M,-5.21M,150.59M,,2009-09,0.183M,142.50M,-90.43M,-0.032M,2009-09,AOR,Restated
2009-06,23.24M,,,0.00,,,22.42M,22.42M,,0.635M,4.363M,,0.00,-23.52M,-1.259M,14.32M,,,,-10.46M,-3.924M,,2009-06,-7.52M,0.00,0.00,,-20.91M,,0.00,,2009-06,-22.05M,-0.071M,-22.12M,1.775M,-0.01M,1.765M,,-8.153M,,0.101M,,2009-06,162.05M,-20.63M,151.34M,,2009-06,1.775M,92.00M,-114.12M,-0.01M,2009-06,AOR,Restated
2009-03,14.68M,,,7.848M,,,21.68M,21.68M,,0.635M,3.812M,,0.215M,21.45M,-12.65M,-39.66M,,,,-30.85M,-3.068M,,2009-03,-5.123M,,,,-28.31M,,1.412M,,2009-03,33.43M,-0.01M,33.42M,0.304M,-14.58M,-14.27M,,-8.205M,,-0.076M,,2009-03,179.11M,-6.721M,162.05M,,2009-03,0.304M,105.00M,-71.58M,-14.58M,2009-03,AOR,Restated
2008-12,32.03M,-1.158M,,-6.909M,-67.64M,-1.431M,19.54M,19.54M,,2.239M,19.34M,,-14.13M,-11.25M,5.111M,17.04M,,35.96M,,46.86M,3.677M,,2008-12,-9.979M,,33.42M,,-3.406M,-1.158M,0.21M,,2008-12,-9.518M,,-37.01M,0.306M,-18.38M,-18.07M,,-8.267M,0.342M,-13.75M,,2008-12,188.81M,-2.45M,179.11M,,2008-12,0.306M,626.00M,-635.52M,-18.38M,2008-12,,Restated
2008-09,45.42M,1.158M,,7.214M,67.64M,1.431M,25.16M,25.16M,,-0.797M,-8.272M,,4.689M,-7.639M,-3.523M,-4.458M,,-35.96M,,-51.58M,1.518M,,2008-09,-15.52M,,-33.42M,,-0.746M,0.00,0.174M,,2008-09,-3.159M,0.499M,24.83M,25.07M,-56.73M,-31.66M,,-8.318M,-0.108M,-1.61M,,2008-09,193.45M,0.947M,188.81M,,2008-09,25.07M,-515.50M,512.84M,-56.73M,2008-09,,
2008-06,30.19M,-1.158M,,-0.574M,-21.99M,-0.381M,21.54M,21.54M,,0.797M,8.272M,,3.827M,2.565M,0.455M,1.501M,,22.14M,,26.67M,-2.398M,,2008-06,-10.64M,,7.256M,,-10.27M,0.269M,0.144M,,2008-06,3.159M,-0.499M,-47.34M,17.72M,0.00,17.72M,,-8.251M,0.108M,-11.10M,,2008-06,185.26M,8.385M,193.45M,,2008-06,17.72M,515.50M,-512.84M,0.00,2008-06,,Restated
2008-03,20.14M,,,-0.889M,21.99M,0.381M,22.37M,22.37M,,,,,5.242M,4.634M,-12.22M,-2.046M,,-22.14M,,-31.77M,0.514M,,2008-03,-7.256M,,-7.256M,,-76.23M,0.889M,-0.144M,,2008-03,,,50.00M,0.646M,-0.408M,0.238M,,-8.236M,,-0.597M,,2008-03,203.35M,-25.80M,185.26M,,2008-03,0.646M,,,-0.408M,2008-03,,
2007-12,52.56M,,,31.24M,20.85M,0.122M,20.98M,20.98M,,,,,-29.15M,-31.96M,9.202M,26.30M,,35.61M,1.604M,40.76M,0.211M,,2007-12,-8.99M,0.00,-8.99M,,-272.88M,,1.465M,,2007-12,,,270.86M,2.154M,-26.94M,-24.79M,,-8.294M,,-11.42M,,2007-12,160.90M,40.72M,203.35M,,2007-12,2.154M,,,-26.94M,2007-12,,
2007-09,30.74M,,,-10.65M,18.98M,0.518M,19.50M,19.50M,,,,,12.17M,-7.149M,-2.405M,3.996M,,-22.77M,-0.069M,-28.40M,-0.003M,,2007-09,-10.47M,0.00,-10.47M,,-0.642M,,0.228M,,2007-09,,,9.226M,17.44M,-28.93M,-11.48M,,-8.287M,,4.137M,,2007-09,150.04M,6.079M,160.90M,,2007-09,17.44M,,,-28.93M,2007-09,,
2007-06,33.69M,,,-10.93M,19.08M,0.744M,19.82M,19.82M,,,,,4.618M,-3.002M,2.445M,4.21M,,19.13M,-0.235M,22.55M,-0.007M,,2007-06,-16.12M,10.79M,-5.337M,,-1.877M,,0.233M,,2007-06,,,53.51M,6.611M,-87.08M,-80.47M,,-8.493M,,0.732M,,2007-06,119.56M,28.83M,150.04M,,2007-06,6.611M,,,-87.08M,2007-06,,
2007-03,14.69M,,,5.539M,19.08M,1.451M,20.54M,20.54M,,,,,2.888M,12.46M,-8.901M,-10.16M,,-19.80M,,-26.40M,-0.004M,,2007-03,-11.39M,,-11.39M,,-40.47M,,,,2007-03,,,25.44M,6.17M,-60.03M,-53.86M,,-8.63M,,0.703M,,2007-03,191.06M,-70.96M,119.56M,,2007-03,6.17M,,,-60.03M,2007-03,,
2006-12,41.73M,,,-5.345M,18.25M,0.074M,18.32M,18.32M,,,,,9.051M,-9.657M,2.197M,8.305M,,30.17M,-0.301M,30.72M,0.622M,,2006-12,-13.47M,-2.209M,-15.68M,,-35.55M,-0.412M,6.178M,,2006-12,,,-53.37M,4.135M,0.00,4.135M,,-8.604M,,-1.959M,,2006-12,207.07M,-20.18M,191.06M,,2006-12,4.135M,,,0.00,2006-12,,
2006-09,29.52M,,,0.419M,17.53M,0.075M,17.61M,17.61M,,,,,3.023M,-14.87M,-6.745M,11.28M,,-11.99M,-0.845M,-23.17M,-0.591M,,2006-09,-9.551M,0.00,-9.551M,,-78.79M,24.04M,0.63M,,2006-09,,,-0.209M,0.24M,-73.73M,-73.49M,,-8.877M,,0.367M,,2006-09,323.76M,-118.61M,207.07M,,2006-09,0.24M,,,-73.73M,2006-09,,
2006-06,26.32M,,,-6.412M,16.93M,0.073M,17.00M,17.00M,,,,,7.316M,9.618M,0.854M,-9.049M,,9.531M,-4.601M,6.353M,-0.291M,,2006-06,-12.21M,7.085M,-5.125M,,-31.29M,,2.327M,,2006-06,,,-17.33M,2.316M,0.00,2.316M,,-8.858M,,-0.154M,,2006-06,321.84M,-7.825M,323.76M,,2006-06,2.316M,,,0.00,2006-06,,
