,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2016-12,359.26M,359.26M,425.59M,425.59M,79.19M,6.561M,161.10M,246.85M,,99.25M,1.190B,0.00,4.25M,162.78M,260.87M,,427.90M,-282.41M,145.49M,2.248B,420.22M,2.668B,,,273.07M,3.087B,4.277B,,2016-12,168.03M,204.96M,381.19M,,1.172M,1.172M,162.99M,162.99M,26.97M,603.36M,1.045B,,1.045B,,,459.54M,1.520B,2.123B,,2016-12,109.62M,2.119B,26.13M,,-100.86M,2.154B,,2016-12
2016-09,311.66M,311.66M,443.28M,443.28M,101.82M,20.45M,183.78M,306.04M,,92.59M,1.154B,,,,,525.40M,525.40M,-350.17M,175.23M,2.314B,452.46M,2.766B,1.539M,,207.87M,3.151B,4.305B,,2016-09,162.32M,382.34M,544.66M,,1.16M,1.16M,,,2.17M,547.99M,1.132B,,1.132B,,,489.22M,1.621B,2.169B,,2016-09,109.51M,2.061B,19.21M,,-54.78M,2.135B,,2016-09
2016-06,248.08M,248.08M,435.82M,435.82M,102.08M,17.23M,180.96M,300.26M,,94.78M,1.079B,,,,,508.95M,508.95M,-341.76M,167.20M,2.272B,454.41M,2.727B,1.448M,,219.80M,3.115B,4.194B,,2016-06,156.44M,401.49M,557.93M,,1.147M,1.147M,,,2.10M,561.18M,1.057B,,1.057B,,,487.68M,1.545B,2.106B,,2016-06,109.39M,2.011B,13.13M,,-45.35M,2.088B,,2016-06
2016-03,210.73M,210.73M,436.76M,436.76M,101.84M,20.19M,192.03M,314.06M,,88.27M,1.050B,,,,,507.77M,507.77M,-339.65M,168.12M,2.296B,481.60M,2.778B,1.379M,,213.65M,3.161B,4.211B,,2016-03,159.48M,391.83M,551.31M,,1.135M,1.135M,,,2.10M,554.55M,1.120B,,1.120B,,,486.86M,1.607B,2.161B,,2016-03,109.02M,1.955B,0.00,,-14.36M,2.049B,,2016-03
2015-12,237.93M,237.93M,415.06M,415.06M,85.10M,5.919M,168.47M,259.49M,,64.35M,1.033B,0.00,0.802M,156.04M,244.90M,,401.74M,-264.18M,137.56M,2.237B,485.64M,2.722B,,,273.07M,3.133B,4.166B,,2015-12,140.98M,201.51M,345.37M,,1.123M,1.123M,163.01M,163.01M,20.01M,561.48M,1.012B,,1.012B,,,465.49M,1.494B,2.056B,,2015-12,112.03M,1.991B,52.93M,,-45.96M,2.110B,,2015-12
2015-09,195.07M,195.07M,414.19M,414.19M,104.74M,22.09M,186.22M,313.05M,,151.53M,1.074B,,,,,494.77M,494.77M,-330.59M,164.18M,2.254B,424.24M,2.678B,1.574M,,113.90M,2.958B,4.032B,,2015-09,149.68M,401.38M,551.07M,,1.107M,1.107M,,,2.10M,554.28M,1.027B,,1.027B,,,395.80M,1.423B,1.977B,,2015-09,111.90M,1.931B,44.79M,,-33.40M,2.054B,,2015-09
2015-06,192.17M,192.17M,425.70M,425.70M,101.97M,21.90M,180.89M,304.75M,,147.71M,1.070B,,,,,492.50M,492.50M,-326.18M,166.32M,2.276B,454.25M,2.730B,1.633M,,114.33M,3.012B,4.083B,,2015-06,170.68M,399.58M,570.26M,,1.974M,1.974M,,,2.109M,574.34M,986.45M,,986.45M,,,401.06M,1.388B,1.962B,,2015-06,113.36M,1.884B,110.24M,,13.31M,2.121B,,2015-06
2015-03,168.92M,168.92M,415.38M,415.38M,98.04M,20.11M,172.97M,291.12M,,147.11M,1.023B,,,,,485.10M,485.10M,-316.60M,168.50M,2.253B,470.01M,2.723B,1.598M,,112.42M,3.006B,4.028B,,2015-03,157.47M,389.90M,547.37M,,1.083M,1.083M,,,2.13M,550.58M,1.015B,,1.015B,,,403.14M,1.418B,1.968B,,2015-03,113.19M,1.843B,102.67M,,1.074M,2.060B,,2015-03
2014-12,174.82M,174.82M,470.56M,470.56M,96.17M,18.78M,170.50M,285.46M,,137.71M,1.069B,0.00,0.906M,175.04M,316.87M,,492.81M,-316.62M,176.19M,2.284B,490.26M,2.774B,1.568M,,106.92M,3.059B,4.128B,,2014-12,173.95M,201.10M,384.85M,,1.075M,1.075M,168.93M,168.93M,2.137M,597.31M,1.045B,,1.045B,,,442.77M,1.488B,2.085B,,2014-12,112.48M,1.811B,94.28M,,24.80M,2.042B,,2014-12
2014-09,203.68M,203.68M,427.01M,427.01M,98.74M,17.45M,165.43M,281.62M,,161.39M,1.074B,,,,,505.90M,505.90M,-328.58M,177.32M,2.123B,396.47M,2.520B,1.391M,,113.71M,2.812B,3.886B,,2014-09,160.51M,403.53M,564.04M,,1.157M,1.157M,,,2.241M,567.43M,858.58M,,858.58M,,,397.70M,1.256B,1.824B,,2014-09,112.96M,1.788B,114.22M,,47.95M,2.063B,,2014-09
2014-06,205.26M,205.26M,443.72M,443.72M,97.29M,17.36M,163.34M,277.99M,,151.72M,1.081B,,,,,507.70M,507.70M,-328.02M,179.68M,2.142B,417.31M,2.559B,1.327M,,115.79M,2.856B,3.937B,,2014-06,155.42M,419.00M,574.41M,,1.051M,1.051M,,,3.135M,578.60M,894.28M,,894.28M,,,407.70M,1.302B,1.881B,,2014-06,112.88M,1.753B,108.96M,,80.90M,2.056B,,2014-06
2014-03,224.11M,224.11M,442.98M,442.98M,97.82M,18.19M,163.02M,279.03M,,151.46M,1.098B,,,,,507.46M,507.46M,-324.80M,182.67M,2.142B,437.88M,2.580B,1.30M,,109.17M,2.873B,3.971B,,2014-03,168.04M,432.37M,600.41M,,2.626M,2.626M,,,2.425M,605.46M,926.90M,,926.90M,,,409.28M,1.336B,1.942B,,2014-03,113.10M,1.711B,127.47M,,78.19M,2.029B,,2014-03
2013-12,173.24M,173.24M,466.75M,466.75M,92.71M,15.50M,152.64M,260.86M,,140.34M,1.045B,0.00,1.019M,171.39M,325.70M,,498.11M,-314.92M,183.19M,2.143B,460.43M,2.604B,1.319M,,113.82M,2.902B,3.947B,,2013-12,166.88M,212.58M,391.24M,,2.624M,2.624M,164.72M,164.72M,3.239M,602.80M,932.10M,,932.10M,,,417.32M,1.349B,1.952B,,2013-12,112.63M,1.684B,119.91M,,77.59M,1.994B,,2013-12
2013-09,132.30M,132.30M,428.53M,428.53M,101.56M,15.50M,161.29M,278.35M,,109.24M,948.42M,,,,,508.41M,508.41M,-313.72M,194.70M,2.131B,481.42M,2.612B,1.22M,,94.72M,2.903B,3.852B,,2013-09,162.52M,423.86M,586.39M,,2.622M,2.622M,,,0.381M,589.39M,933.29M,,933.29M,,,409.27M,1.343B,1.932B,,2013-09,112.38M,1.625B,112.60M,,69.20M,1.920B,,2013-09
2013-06,112.47M,112.47M,434.80M,434.80M,93.11M,15.75M,150.60M,259.47M,,99.77M,906.50M,,,,,528.05M,528.05M,-313.92M,214.13M,2.117B,487.31M,2.604B,1.139M,,85.14M,2.905B,3.811B,,2013-06,170.12M,390.44M,560.57M,,2.215M,2.215M,,,0.50M,563.28M,1.002B,,1.002B,,,386.29M,1.388B,1.951B,,2013-06,112.00M,1.593B,102.34M,,52.46M,1.860B,,2013-06
2013-03,125.87M,125.87M,410.78M,410.78M,78.61M,12.77M,168.38M,259.76M,,100.28M,896.69M,,,,,519.17M,519.17M,-306.50M,212.67M,2.112B,506.54M,2.618B,1.18M,,79.44M,2.911B,3.808B,,2013-03,172.17M,393.02M,565.19M,,7.301M,7.301M,,,0.865M,573.35M,1.019B,,1.019B,,,381.02M,1.400B,1.974B,,2013-03,111.86M,1.573B,96.18M,,53.40M,1.834B,,2013-03
2012-12,171.44M,171.44M,457.01M,457.01M,74.92M,12.77M,160.00M,247.69M,,95.61M,971.75M,0.00,8.05M,180.82M,324.61M,,513.48M,-302.96M,210.52M,2.123B,529.90M,2.653B,1.149M,,65.65M,2.930B,3.902B,,2012-12,168.94M,196.57M,381.60M,,1.772M,1.772M,154.25M,154.25M,0.995M,581.10M,938.82M,,938.82M,,,442.03M,1.381B,1.962B,,2012-12,115.04M,1.549B,209.61M,,66.59M,1.940B,,2012-12
2012-09,170.83M,170.83M,394.94M,394.94M,82.90M,14.15M,164.34M,261.40M,,113.63M,940.99M,,,,,,501.33M,-299.68M,201.65M,2.092B,606.10M,2.698B,1.144M,,47.73M,2.949B,3.890B,,2012-09,155.73M,423.97M,579.70M,,1.47M,1.47M,,,1.111M,582.28M,930.86M,,930.86M,,,434.39M,1.365B,1.948B,,2012-09,114.60M,1.572B,196.57M,,58.89M,1.942B,,2012-09
2012-06,171.40M,171.40M,389.47M,389.47M,76.95M,12.52M,154.96M,244.44M,,92.29M,897.80M,,,,,,456.83M,-289.65M,167.18M,2.080B,613.01M,2.693B,1.102M,,41.82M,2.903B,3.801B,,2012-06,174.03M,412.54M,586.57M,,,,,,1.115M,587.68M,911.04M,,911.04M,,,416.88M,1.328B,1.916B,,2012-06,114.06M,1.551B,182.32M,,38.13M,1.885B,,2012-06
2012-03,144.76M,144.76M,407.87M,407.87M,77.72M,13.77M,160.37M,251.86M,,103.38M,908.06M,,,,,,458.23M,-286.55M,171.68M,2.103B,638.76M,2.742B,1.113M,,41.56M,2.956B,3.864B,,2012-03,163.00M,438.57M,601.58M,,,,,,1.21M,602.79M,933.97M,,933.97M,,,444.90M,1.379B,1.982B,,2012-03,113.83M,1.525B,175.42M,,68.19M,1.883B,,2012-03
2011-12,142.34M,142.34M,409.89M,409.89M,72.91M,14.66M,153.19M,240.76M,,89.86M,883.05M,0.00,8.027M,147.18M,296.74M,,451.95M,-277.39M,174.57M,2.094B,661.61M,2.756B,1.105M,,41.08M,2.973B,3.856B,,2011-12,173.15M,209.47M,419.16M,,,,138.47M,138.47M,1.429M,598.68M,944.91M,,944.91M,,,469.84M,1.415B,2.013B,,2011-12,113.16M,1.511B,164.29M,,54.09M,1.842B,,2011-12
2011-09,248.10M,248.10M,359.67M,359.67M,79.25M,12.84M,136.46M,228.55M,,93.30M,929.82M,,,,,,441.73M,-275.87M,165.86M,1.758B,512.28M,2.271B,1.023M,,34.55M,2.472B,3.402B,,2011-09,150.81M,365.60M,516.41M,,358.00M,358.00M,,,1.547M,875.96M,150.00M,,150.00M,,,430.84M,580.84M,1.457B,,2011-09,113.08M,1.703B,160.00M,,-31.22M,1.945B,,2011-09
2011-06,395.21M,395.21M,382.72M,382.72M,73.91M,13.46M,134.87M,222.24M,,75.78M,1.076B,,,,,,442.60M,-275.35M,167.25M,1.781B,534.96M,2.316B,1.177M,,35.17M,2.520B,3.596B,,2011-06,149.21M,408.48M,557.69M,,,,,,1.659M,559.35M,671.00M,,671.00M,,,409.05M,1.080B,1.639B,,2011-06,113.08M,1.676B,157.11M,,10.40M,1.956B,,2011-06
2011-03,415.85M,415.85M,345.49M,345.49M,72.52M,14.36M,137.95M,224.83M,,101.30M,1.088B,,,,,,432.00M,-266.90M,165.10M,1.585B,432.47M,2.018B,1.389M,,34.08M,2.218B,3.306B,,2011-03,149.20M,358.02M,507.22M,,2.25M,2.25M,,,1.743M,511.21M,514.00M,,514.00M,,,372.95M,886.95M,1.398B,,2011-03,112.71M,1.655B,146.09M,,-6.083M,1.908B,,2011-03
2010-12,420.09M,420.09M,356.76M,356.76M,70.45M,12.66M,123.75M,206.85M,,100.68M,1.085B,0.00,8.058M,134.48M,274.29M,,416.84M,-255.02M,161.82M,1.505B,424.25M,1.929B,1.35M,,32.10M,2.124B,3.209B,,2010-12,161.04M,345.65M,506.69M,,2.255M,2.255M,,,6.256M,515.20M,424.00M,,424.00M,,,344.35M,768.35M,1.284B,,2010-12,115.72M,1.535B,224.01M,,51.03M,1.925B,,2010-12
2010-09,250.99M,250.99M,323.54M,323.54M,75.10M,12.01M,123.05M,210.16M,,192.90M,977.58M,,,,,,414.34M,-253.29M,161.05M,1.528B,439.44M,1.968B,1.228M,,140.62M,2.270B,3.248B,,2010-09,143.01M,317.15M,460.16M,,0.15M,0.15M,,,53.53M,513.84M,670.13M,,670.13M,,,357.00M,1.027B,1.541B,,2010-09,118.03M,1.359B,274.72M,,-44.92M,1.707B,,2010-09
2010-06,215.66M,215.66M,365.18M,365.18M,88.43M,20.22M,123.83M,232.48M,,110.55M,923.87M,,,,,,595.25M,-389.66M,205.59M,1.525B,459.43M,1.985B,1.138M,,30.92M,2.222B,3.146B,,2010-06,174.94M,333.58M,508.52M,,0.147M,0.147M,,,5.247M,513.91M,620.14M,,620.14M,,,368.30M,988.43M,1.502B,,2010-06,117.91M,1.354B,269.86M,,-98.15M,1.644B,,2010-06
2010-03,181.74M,181.74M,359.58M,359.58M,87.07M,20.12M,119.42M,226.61M,,123.13M,891.07M,,,,,,597.02M,-394.42M,202.60M,1.440B,443.14M,1.884B,2.324M,,47.42M,2.136B,3.027B,,2010-03,168.48M,322.43M,490.91M,,0.147M,0.147M,,,7.302M,498.36M,528.16M,,528.16M,,,369.10M,897.26M,1.396B,,2010-03,117.79M,1.305B,264.96M,,-56.03M,1.631B,,2010-03
2009-12,179.71M,179.71M,320.18M,320.18M,61.49M,11.89M,105.28M,178.67M,,205.46M,884.02M,0.00,7.35M,125.21M,260.11M,,392.66M,-239.64M,153.03M,1.419B,442.68M,1.862B,2.287M,,157.55M,2.175B,3.059B,,2009-12,133.79M,310.06M,443.85M,,0.146M,0.146M,,,53.20M,497.20M,558.20M,,558.20M,,,374.68M,932.88M,1.430B,,2009-12,117.02M,1.289B,250.60M,,-27.25M,1.629B,,2009-12
2009-09,150.59M,150.59M,348.40M,348.40M,84.61M,21.55M,118.26M,224.43M,,127.85M,851.26M,,,,,,608.86M,-397.50M,211.36M,1.474B,474.61M,1.948B,2.19M,,45.82M,2.208B,3.059B,,2009-09,158.96M,336.54M,495.49M,,0.146M,0.146M,,,17.29M,512.93M,576.73M,,576.73M,,,367.37M,944.10M,1.457B,,2009-09,116.72M,1.257B,244.67M,,-16.48M,1.602B,,2009-09
2009-06,151.34M,151.34M,328.23M,328.23M,83.06M,20.47M,112.79M,216.32M,,124.07M,819.95M,,,,,,581.47M,-380.60M,200.87M,1.425B,456.36M,1.882B,2.031M,,41.22M,2.126B,2.946B,,2009-06,153.90M,326.21M,480.12M,,,,,,16.69M,496.81M,524.00M,,524.00M,,,350.73M,874.73M,1.372B,,2009-06,116.70M,1.251B,242.98M,,-36.63M,1.574B,,2009-06
2009-03,162.05M,162.05M,292.10M,292.10M,79.36M,18.73M,106.08M,204.17M,,122.20M,780.52M,,,,,,560.55M,-362.20M,198.34M,1.385B,449.49M,1.835B,3.078M,,41.78M,2.078B,2.858B,,2009-03,143.35M,308.80M,452.15M,,0.04M,0.04M,,,16.66M,468.84M,544.03M,,544.03M,,,333.22M,877.25M,1.346B,,2009-03,116.45M,1.238B,237.14M,,-79.11M,1.512B,,2009-03
2008-12,179.11M,179.11M,330.92M,330.92M,79.13M,16.40M,104.66M,200.19M,,120.54M,830.75M,0.00,18.41M,182.35M,373.58M,,574.35M,-369.30M,205.05M,1.396B,452.47M,1.849B,3.459M,,43.75M,2.101B,2.932B,,2008-12,171.21M,333.72M,504.93M,,0.04M,0.04M,,,11.27M,516.24M,509.04M,,509.04M,,,338.54M,847.58M,1.364B,,2008-12,117.11M,1.236B,246.55M,,-31.24M,1.568B,,2008-12
2008-09,188.81M,188.81M,345.25M,345.25M,80.07M,19.80M,119.00M,218.87M,,112.14M,865.07M,,,,,,610.03M,-400.92M,209.12M,1.419B,466.82M,1.886B,,,61.24M,2.156B,3.021B,,2008-09,184.86M,330.85M,515.71M,,0.04M,0.04M,,,5.222M,520.97M,544.05M,,544.05M,,,321.16M,865.20M,1.386B,,2008-09,118.08M,1.213B,256.82M,-63.95M,47.13M,1.635B,,2008-09
2008-06,193.45M,193.45M,349.69M,349.69M,81.96M,17.73M,122.94M,222.64M,,116.92M,882.69M,,,,,,610.30M,-403.26M,207.03M,1.442B,483.58M,1.926B,,,60.68M,2.194B,3.076B,,2008-06,194.70M,369.76M,564.46M,,0.043M,0.043M,,,6.084M,570.58M,521.06M,,521.06M,,,329.32M,850.38M,1.421B,,2008-06,118.74M,1.169B,282.90M,-62.49M,84.47M,1.656B,,2008-06
2008-03,185.26M,185.26M,353.49M,353.49M,82.40M,16.48M,124.58M,223.46M,,113.93M,876.15M,,,,,,582.38M,-378.88M,203.50M,1.438B,493.98M,1.932B,,,67.16M,2.202B,3.079B,,2008-03,189.80M,366.04M,555.84M,,0.549M,0.549M,,,1.338M,557.72M,566.07M,,566.07M,,,336.89M,902.96M,1.461B,,2008-03,117.85M,1.154B,262.91M,-67.88M,83.14M,1.618B,,2008-03
2007-12,203.35M,203.35M,337.66M,337.66M,75.20M,14.12M,113.07M,202.39M,,99.55M,842.95M,0.00,18.56M,156.79M,404.42M,,579.77M,-378.88M,200.89M,1.356B,479.21M,1.835B,,,70.64M,2.106B,2.949B,,2007-12,186.39M,276.42M,462.81M,,0.562M,0.562M,83.18M,83.18M,1.049M,547.60M,516.08M,,516.08M,,,310.38M,826.46M,1.374B,,2007-12,117.58M,1.142B,257.85M,-54.46M,57.71M,1.575B,,2007-12
2007-09,160.90M,160.90M,287.08M,287.08M,76.91M,15.76M,117.89M,210.56M,,96.47M,755.01M,,,,,,557.71M,-363.10M,194.62M,1.178B,406.59M,1.585B,,,57.14M,1.836B,2.591B,,2007-09,158.64M,285.72M,444.36M,,0.935M,0.935M,,,,445.29M,246.10M,,246.10M,,,363.73M,609.83M,1.055B,,2007-09,118.46M,1.098B,282.53M,-64.32M,37.44M,1.536B,,2007-09
2007-06,150.04M,150.04M,271.47M,271.47M,73.71M,15.25M,115.10M,204.06M,,86.62M,712.19M,,,,,,544.06M,-353.33M,190.74M,1.159B,414.74M,1.574B,,,55.96M,1.820B,2.532B,,2007-06,151.93M,296.93M,448.86M,,0.898M,0.898M,,,,449.76M,234.50M,,234.50M,,,351.90M,586.41M,1.036B,,2007-06,118.30M,1.075B,286.66M,-63.67M,15.99M,1.496B,,2007-06
2007-03,119.56M,119.56M,267.63M,267.63M,73.50M,15.01M,116.08M,204.60M,,82.86M,674.64M,,,,,,532.51M,-344.15M,188.36M,1.156B,421.23M,1.578B,,,57.28M,1.823B,2.498B,,2007-03,147.71M,271.94M,419.64M,,1.627M,1.627M,,,,421.27M,178.12M,,178.12M,,,356.76M,534.87M,956.15M,,2007-03,121.30M,1.050B,359.05M,-64.29M,11.51M,1.542B,,2007-03
