,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-09,366.18M,366.18M,213.24M,152.94M,91.54M,19.66M,7.013M,0.19M,,,,-0.369M,117.85M,35.10M,,,,0.19M,,21.63M,6.863M,14.77M,-0.50M,,14.27M,21.54M,35.10M,,2003-09,0.12,,0.1190,0.11,,2003-09,,,0.1190,2003-09,126.29M,128.03M,0.07,,2003-09,,
2003-06,377.12M,377.12M,224.54M,152.58M,97.48M,21.88M,7.043M,3.836M,,,,-1.108M,125.29M,27.30M,,,,3.836M,,15.86M,5.155M,10.71M,-2.31M,,8.398M,23.06M,27.30M,,2003-06,0.09,,0.0694,0.07,,2003-06,,,0.0596,2003-06,125.71M,126.90M,0.07,,2003-06,,
2003-03,358.45M,358.45M,219.28M,139.17M,92.88M,20.85M,7.195M,1.025M,,,,-0.58M,120.35M,18.82M,,,,1.025M,,4.921M,1.599M,3.322M,-0.96M,,2.362M,21.67M,18.82M,,2003-03,0.03,,0.0245,0.02,,2003-03,,,0.0245,2003-03,125.65M,126.38M,0.07,,2003-03,,
2002-12,409.58M,409.58M,241.08M,168.50M,87.05M,21.54M,,-32.56M,,,,,131.70M,36.80M,,,,-32.56M,,-0.975M,-1.673M,0.698M,-3.326M,0.00,-2.628M,24.57M,36.80M,,2002-12,0.22,,0.3747,-0.02,,2002-12,0.0017,,0.3747,2002-12,126.27M,126.27M,0.07,,2002-12,,
2002-09,366.01M,366.01M,219.26M,146.76M,109.56M,20.50M,,-4.731M,,,,,130.06M,16.69M,,,,-4.731M,,11.96M,2.213M,9.75M,-2.604M,,7.146M,27.54M,16.69M,,2002-09,0.06,,0.0905,0.06,,2002-09,,,0.0904,2002-09,126.24M,126.78M,0.07,,2002-09,,
2002-06,383.10M,383.10M,223.20M,159.90M,112.83M,22.60M,7.057M,,,,,,142.49M,17.41M,,,,,,8.987M,2.912M,6.075M,-15.17M,,-9.096M,21.19M,17.41M,,2002-06,0.05,,0.05,-0.07,,2002-06,,,0.05,2002-06,124.90M,125.56M,0.07,,2002-06,,
2002-03,305.08M,305.08M,197.58M,107.49M,109.40M,22.26M,,-15.33M,,,,1.50M,133.16M,-25.67M,,,,-15.33M,,-39.50M,-10.22M,-29.28M,3.324M,,-29.56M,22.81M,-25.67M,,2002-03,-0.23,-0.0288,-0.1390,-0.24,,2002-03,,-0.0288,-0.1390,2002-03,124.86M,124.86M,0.07,,2002-03,,
2001-12,210.70M,210.70M,99.17M,111.52M,117.82M,20.23M,,-71.70M,,,,,138.04M,-26.52M,,,,-71.70M,,-98.22M,-8.457M,-89.76M,40.14M,,-49.62M,6.869M,-26.52M,,2001-12,-0.88,,-0.3167,-0.51,,2001-12,,,-0.3283,2001-12,116.33M,118.78M,0.07,,2001-12,,
2001-09,348.32M,348.32M,192.65M,155.67M,87.00M,18.49M,,-1.986M,,,,,105.49M,50.19M,,,,-1.986M,,48.20M,14.22M,33.99M,-2.767M,,31.22M,23.71M,50.19M,,2001-09,0.33,,0.3438,0.30,,2001-09,,,0.3434,2001-09,101.13M,104.34M,0.07,,2001-09,,
2001-06,390.81M,390.81M,215.89M,174.92M,106.42M,20.36M,,-2.463M,,,,-4.461M,122.32M,52.60M,,,,-2.463M,,45.68M,14.80M,30.88M,-1.467M,,29.41M,26.31M,52.60M,,2001-06,0.31,,0.3265,0.29,,2001-06,,,0.3160,2001-06,100.62M,104.10M,0.07,,2001-06,,
2001-03,425.70M,425.70M,246.80M,178.89M,106.74M,23.86M,,-0.732M,,,,-3.887M,126.71M,52.19M,,,,-0.732M,,37.46M,13.96M,23.50M,,,23.50M,27.38M,52.19M,,2001-03,0.235,,0.2396,0.235,,2001-03,,,0.2294,2001-03,100.01M,104.10M,0.07,,2001-03,,
2000-12,734.21M,734.21M,372.82M,361.38M,147.69M,29.88M,,-5.003M,,,,,264.38M,97.00M,,,,-5.003M,,91.09M,34.80M,56.29M,-19.67M,,36.62M,37.51M,97.00M,,2000-12,0.62,,0.6509,0.33,,2000-12,,,0.6204,2000-12,100.07M,101.57M,0.07,,2000-12,,
2000-09,340.14M,340.14M,189.86M,150.28M,97.52M,18.55M,,-36.77M,,,,0.909M,116.98M,33.30M,,,,-36.77M,,-2.552M,7.723M,-10.28M,12.36M,,2.08M,13.92M,33.30M,,2000-09,-0.10,,0.1240,0.03,,2000-09,,,0.1145,2000-09,98.50M,102.85M,0.07,,2000-09,,
2000-06,369.51M,369.51M,216.33M,153.18M,92.94M,19.42M,,0.55M,,,,-1.416M,110.94M,42.24M,,,,0.55M,,41.37M,11.36M,30.01M,1.108M,,31.12M,17.33M,42.24M,,2000-06,0.31,,0.3059,0.37,,2000-06,,,0.2961,2000-06,98.07M,101.59M,0.07,,2000-06,,
2000-03,402.29M,402.29M,246.72M,155.57M,95.68M,21.30M,,-3.522M,,,,-7.796M,109.18M,46.39M,,,,-3.522M,,27.31M,11.07M,16.24M,,,16.24M,18.96M,46.39M,,2000-03,0.17,,0.1918,0.17,,2000-03,,,0.1810,2000-03,96.93M,100.82M,0.07,,2000-03,,
1999-12,427.20M,427.20M,227.80M,199.40M,108.20M,21.20M,,-10.30M,,,,,143.30M,56.10M,,,,-10.30M,,45.70M,16.80M,28.90M,3.90M,,32.80M,13.90M,56.10M,,1999-12,0.295,,0.3649,0.35,,1999-12,,,0.3649,1999-12,93.19M,93.19M,0.07,,1999-12,,
1999-09,388.40M,388.40M,228.10M,160.30M,95.70M,20.30M,,-30.80M,,,,,138.50M,21.80M,,,,-30.80M,,-8.90M,-3.10M,-5.80M,109.60M,,103.80M,22.50M,21.80M,,1999-09,-0.065,,0.1545,1.135,,1999-09,,,0.1545,1999-09,91.45M,91.45M,0.07,,1999-09,,
1999-06,304.26M,304.26M,182.50M,121.76M,71.20M,16.30M,,-20.70M,,,,,105.40M,16.36M,,,,-20.70M,,-4.20M,-1.50M,-2.70M,6.30M,,3.60M,14.30M,16.36M,,1999-06,-0.03,,0.1179,0.04,,1999-06,,,0.1179,1999-06,90.00M,90.00M,0.07,,1999-06,,
1999-03,243.22M,243.22M,145.30M,97.92M,52.09M,13.40M,,-4.632M,,,,,80.89M,17.03M,,,,-4.632M,,12.40M,4.354M,8.042M,6.045M,,14.09M,15.40M,17.03M,,1999-03,0.09,,0.1231,0.155,,1999-03,,,0.1231,1999-03,90.88M,90.88M,0.07,,1999-03,,
1998-12,233.80M,233.80M,130.70M,103.10M,49.30M,13.60M,,-4.20M,,,,,77.60M,25.50M,,,,-4.20M,,21.20M,7.30M,13.90M,6.50M,,20.40M,14.70M,25.50M,,1998-12,0.145,,0.1765,0.235,,1998-12,,,0.1753,1998-12,87.54M,90.96M,0.07,,1998-12,,
1998-09,191.50M,191.50M,112.90M,78.60M,46.20M,10.40M,,3.50M,,,,,68.50M,10.10M,,,,3.50M,,13.60M,4.90M,8.70M,6.70M,,15.40M,11.40M,10.10M,,1998-09,0.095,,0.0703,0.17,,1998-09,,,0.0710,1998-09,90.59M,93.33M,0.07,,1998-09,,
1998-06,209.40M,209.40M,125.50M,83.90M,53.30M,10.90M,,30.30M,,,,,75.30M,8.60M,,,,30.30M,,39.00M,11.20M,27.80M,3.90M,,31.70M,10.20M,8.60M,,1998-06,0.305,,0.0699,0.345,,1998-06,,,0.0683,1998-06,91.88M,93.24M,0.07,,1998-06,,
