,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,1.919B,1.919B,1.243B,676.00M,351.00M,22.00M,,43.00M,1.00M,-42.00M,-2.00M,371.00M,305.00M,1.00M,43.00M,-42.00M,1.00M,-42.00M,264.00M,42.00M,233.00M,0.00,,-14.00M,219.00M,219.00M,384.00M,77.00M,307.00M,,1.60,0.00,,,1.60,1.60,,1.57,0.00,,,1.57,1.57,,136.00M,139.00M,0.50,,AOR,Restated
2018-03,1.884B,1.884B,1.226B,658.00M,363.00M,22.00M,,41.00M,0.00,-41.00M,1.00M,386.00M,272.00M,0.00,41.00M,-41.00M,-2.00M,-41.00M,229.00M,52.00M,189.00M,,,-12.00M,177.00M,177.00M,344.00M,74.00M,270.00M,,1.30,,,,1.30,1.30,,1.27,,,,1.27,1.27,,136.00M,139.00M,0.50,,AOR,Restated
2017-12,1.865B,1.865B,1.194B,671.00M,382.00M,20.00M,,39.00M,0.00,-39.00M,0.00,402.00M,269.00M,0.00,39.00M,-39.00M,4.00M,-39.00M,234.00M,-23.00M,267.00M,,,-13.00M,254.00M,254.00M,346.00M,73.00M,273.00M,,1.86,,,,1.86,1.86,,1.82,,,,1.82,1.82,,137.00M,140.00M,0.45,,AOR,Restated
2017-09,1.856B,1.856B,1.19B,666.00M,348.00M,19.00M,,39.00M,1.00M,-38.00M,1.00M,368.00M,298.00M,1.00M,39.00M,-38.00M,-2.00M,-38.00M,258.00M,92.00M,175.00M,,,-14.00M,161.00M,161.00M,366.00M,69.00M,297.00M,,1.18,,,,1.18,1.18,,1.15,,,,1.15,1.15,,137.00M,140.00M,0.45,,AOR,Restated
2017-06,1.864B,1.864B,1.17B,694.00M,358.00M,18.00M,,38.00M,,-38.00M,-1.00M,375.00M,319.00M,,38.00M,-38.00M,11.00M,-38.00M,292.00M,94.00M,207.00M,,,-14.00M,193.00M,193.00M,396.00M,66.00M,330.00M,,1.40,,,,1.40,1.40,,1.37,,,,1.37,1.37,,137.00M,140.00M,0.45,,AOR,Restated
2017-03,1.817B,1.817B,1.165B,652.00M,355.00M,17.00M,,37.00M,1.00M,-36.00M,1.00M,373.00M,279.00M,1.00M,37.00M,-36.00M,3.00M,-36.00M,246.00M,78.00M,175.00M,,,-11.00M,164.00M,164.00M,345.00M,62.00M,283.00M,,1.19,,,,1.19,1.19,,1.16,,,,1.16,1.16,,137.00M,141.00M,0.45,,AOR,Restated
2016-12,1.56B,1.56B,1.16B,400.00M,99.00M,18.00M,0.00,36.00M,0.00,-36.00M,7.00M,124.00M,276.00M,0.00,36.00M,-36.00M,2.00M,-36.00M,242.00M,84.00M,167.00M,,,-12.00M,155.00M,155.00M,341.00M,63.00M,278.00M,,1.11,,,,1.11,1.11,,1.09,,,,1.09,1.09,,137.00M,139.00M,0.45,,AOR,Restated
2016-09,1.885B,1.885B,1.157B,728.00M,409.00M,18.00M,0.00,37.00M,0.00,-37.00M,-21.00M,406.00M,322.00M,0.00,37.00M,-37.00M,4.00M,-37.00M,289.00M,95.00M,205.00M,,,-13.00M,192.00M,192.00M,389.00M,63.00M,326.00M,,1.37,,,,1.37,1.37,,1.34,,,,1.34,1.34,,139.00M,142.00M,0.40,,AOR,Restated
2016-06,1.906B,1.906B,1.155B,751.00M,430.00M,17.00M,118.00M,35.00M,1.00M,-34.00M,,447.00M,304.00M,1.00M,35.00M,-34.00M,113.00M,-34.00M,383.00M,183.00M,209.00M,,,-14.00M,195.00M,124.20M,479.00M,61.00M,418.00M,,1.38,,,,0.8743,1.38,,1.37,,,,0.8714,1.37,,140.00M,142.00M,0.40,,AOR,Restated
2016-03,1.863B,1.863B,1.144B,719.00M,442.00M,19.00M,,36.00M,0.00,-36.00M,1.00M,462.00M,257.00M,0.00,36.00M,-36.00M,-49.00M,-36.00M,172.00M,67.00M,115.00M,,,-12.00M,103.00M,103.00M,270.00M,62.00M,208.00M,,0.72,,,,0.72,0.72,,0.71,,,,0.71,0.71,,143.00M,144.00M,0.40,,AOR,Restated
2015-12,1.849B,1.849B,1.15B,699.00M,429.00M,20.00M,0.00,36.00M,0.00,-36.00M,,460.00M,239.00M,0.00,36.00M,-36.00M,3.00M,-36.00M,206.00M,14.00M,200.00M,,,-12.00M,188.00M,188.00M,316.00M,74.00M,242.00M,,1.31,0.00,,,1.31,1.31,,1.29,0.00,,,1.29,1.29,,144.00M,145.00M,0.38,,AOR,Restated
2015-09,1.88B,1.88B,1.162B,718.00M,402.00M,20.00M,334.00M,35.00M,0.00,-35.00M,-1.00M,421.00M,297.00M,0.00,35.00M,-35.00M,330.00M,-35.00M,592.00M,239.00M,354.00M,,,-12.00M,342.00M,141.60M,704.00M,77.00M,627.00M,,2.37,,,,0.9783,2.37,,2.35,,,,0.9679,2.35,,144.00M,145.00M,0.38,,AOR,Restated
2015-06,1.925B,1.925B,1.182B,743.00M,429.00M,20.00M,0.00,37.00M,0.00,-37.00M,-7.00M,442.00M,301.00M,0.00,37.00M,-37.00M,-64.00M,-37.00M,200.00M,78.00M,129.00M,,,-11.00M,118.00M,118.00M,312.00M,75.00M,237.00M,,0.82,,,,0.82,0.82,,0.81,,,,0.81,0.81,,144.00M,145.00M,0.38,,AOR,Restated
2015-03,1.839B,1.839B,1.163B,676.00M,419.00M,21.00M,,45.00M,,-45.00M,8.00M,448.00M,228.00M,,45.00M,-45.00M,-78.00M,-45.00M,105.00M,42.00M,70.00M,,,-9.00M,61.00M,61.00M,228.00M,78.00M,150.00M,,0.42,,,,0.42,0.42,,0.42,,,,0.42,0.42,,144.00M,146.00M,0.38,,AOR,Restated
2014-12,1.883B,1.883B,1.184B,699.00M,427.00M,23.00M,,43.00M,1.00M,-42.00M,-8.00M,442.00M,257.00M,1.00M,43.00M,-42.00M,1.00M,-42.00M,216.00M,28.00M,195.00M,,,-10.00M,190.00M,185.00M,338.00M,79.00M,259.00M,,1.27,0.03,,,1.27,1.30,,1.26,0.03,,,1.26,1.29,,148.00M,148.00M,0.33,,AOR,Restated
2014-09,1.904B,1.904B,1.178B,726.00M,446.00M,24.00M,,42.00M,1.00M,-41.00M,,470.00M,256.00M,1.00M,42.00M,-41.00M,-1.00M,-41.00M,214.00M,82.00M,139.00M,,,-10.00M,129.00M,129.00M,335.00M,79.00M,256.00M,,0.89,,,,0.89,0.89,,0.88,,,,0.88,0.88,,145.00M,145.00M,0.33,,AOR,Restated
2014-06,1.902B,1.902B,1.174B,728.00M,440.00M,25.00M,,42.00M,0.00,-42.00M,1.00M,466.00M,262.00M,0.00,42.00M,-42.00M,9.00M,-42.00M,229.00M,87.00M,142.00M,,,-9.00M,133.00M,133.00M,352.00M,81.00M,271.00M,,0.92,,,,0.92,0.92,,0.92,,,,0.92,0.92,,144.00M,145.00M,0.33,,AOR,Restated
2014-03,1.746B,1.746B,1.101B,645.00M,415.00M,22.00M,,40.00M,1.00M,-39.00M,,437.00M,208.00M,1.00M,40.00M,-39.00M,7.00M,-39.00M,176.00M,65.00M,111.00M,,,-7.00M,104.00M,104.00M,291.00M,75.00M,216.00M,,0.72,,,,0.72,0.72,,0.71,,,,0.71,0.71,,144.00M,145.00M,0.33,,AOR,Restated
2013-12,1.756B,1.756B,1.051B,705.00M,415.00M,20.00M,0.00,40.00M,1.00M,-39.00M,0.00,435.00M,270.00M,1.00M,40.00M,-39.00M,-17.00M,-39.00M,214.00M,87.00M,151.00M,0.00,,-8.00M,143.00M,143.00M,326.00M,72.00M,254.00M,,0.98,-0.01,,,0.98,0.97,,0.97,-0.01,,,0.97,0.97,,149.00M,149.00M,0.30,,AOR,Restated
2013-09,1.788B,1.788B,1.089B,699.00M,423.00M,20.00M,474.00M,41.00M,1.00M,-40.00M,41.00M,484.00M,215.00M,1.00M,41.00M,-40.00M,482.00M,-40.00M,657.00M,245.00M,412.00M,2.00M,,-9.00M,405.00M,106.28M,767.00M,69.00M,698.00M,,2.68,0.02,,,0.7018,2.70,,2.66,0.02,,,0.6949,2.68,,150.00M,151.00M,0.30,,AOR,Restated
2013-06,1.815B,1.815B,1.094B,721.00M,418.00M,20.00M,,40.00M,0.00,-40.00M,-6.00M,432.00M,289.00M,0.00,40.00M,-40.00M,7.00M,-40.00M,256.00M,95.00M,161.00M,13.00M,,-9.00M,165.00M,152.00M,368.00M,72.00M,296.00M,,0.99,0.08,,,0.99,1.07,,0.99,0.08,,,0.99,1.07,,153.00M,154.00M,0.30,,AOR,Restated
2013-03,1.787B,1.787B,1.092B,695.00M,448.00M,19.00M,,41.00M,1.00M,-40.00M,1.00M,468.00M,227.00M,1.00M,41.00M,-40.00M,10.00M,-40.00M,197.00M,73.00M,124.00M,20.00M,,-8.00M,136.00M,116.00M,308.00M,70.00M,238.00M,,0.73,0.13,,,0.73,0.86,,0.72,0.13,,,0.72,0.85,,158.00M,159.00M,0.30,,AOR,Restated
2012-12,1.774B,1.774B,1.073B,701.31M,420.81M,18.79M,0.00,41.42M,1.078M,-40.34M,-3.50M,436.10M,265.21M,1.078M,41.42M,-40.34M,6.354M,-40.34M,231.22M,81.73M,149.49M,-84.02M,,-9.379M,56.10M,140.11M,344.34M,71.70M,272.64M,,0.88,-0.53,,,0.88,0.35,,0.87,-0.53,,,0.87,0.34,,160.45M,160.45M,0.30,,AOR,Restated
2012-09,1.822B,1.822B,1.081B,740.73M,416.85M,18.58M,0.00,41.45M,0.642M,-40.81M,0.68M,436.11M,304.62M,0.642M,41.45M,-40.81M,7.164M,-40.81M,270.98M,103.98M,167.00M,4.541M,,-8.456M,163.08M,158.54M,383.70M,71.27M,312.43M,,0.99,0.03,,,0.99,1.02,,0.98,0.03,,,0.98,1.01,,158.78M,160.70M,0.17,,AOR,Restated
2012-06,1.878B,1.878B,1.102B,776.43M,424.08M,18.81M,,42.37M,0.621M,-41.75M,0.183M,443.08M,333.35M,0.621M,42.37M,-41.75M,6.117M,-41.75M,297.72M,113.73M,183.99M,2.48M,,-8.768M,177.70M,175.22M,411.94M,71.86M,340.09M,,1.10,0.02,,,1.10,1.12,,1.09,0.02,,,1.09,1.11,,158.48M,159.78M,0.17,,AOR,Restated
2012-03,1.909B,1.909B,1.109B,799.53M,483.25M,18.82M,,42.76M,0.659M,-42.10M,-0.363M,501.71M,297.82M,0.659M,42.76M,-42.10M,12.36M,-42.10M,268.08M,102.56M,165.52M,2.995M,,-9.397M,159.12M,156.12M,383.02M,72.17M,310.84M,,0.98,0.02,,,0.98,1.00,,0.97,0.02,,,0.97,0.99,,158.29M,159.71M,0.17,,AOR,Restated
2011-12,1.761B,1.761B,1.045B,715.78M,385.76M,13.16M,0.815M,42.43M,0.348M,-42.08M,-0.265M,398.65M,317.13M,0.348M,42.43M,-42.08M,9.946M,-42.08M,285.00M,98.89M,186.11M,13.13M,,-9.372M,189.87M,176.21M,399.00M,71.57M,327.43M,,1.12,0.08,,,1.117,1.20,,1.10,0.08,,,1.097,1.18,,159.09M,159.09M,0.17,,AOR,Restated
2011-09,1.906B,1.906B,1.117B,789.83M,446.60M,19.40M,-2.677M,44.06M,0.651M,-43.41M,1.781M,467.78M,322.05M,0.651M,44.06M,-43.41M,4.624M,-43.41M,283.27M,101.13M,182.14M,-0.25M,,-10.04M,171.85M,173.82M,400.68M,73.35M,327.33M,,1.08,0.00,,,1.091,1.08,,1.08,-0.01,,,1.091,1.07,,157.82M,159.00M,0.10,,AOR,Restated
2011-06,1.903B,1.903B,1.104B,798.81M,462.79M,18.59M,-0.346M,46.58M,,-46.58M,0.572M,481.95M,316.85M,,46.58M,-46.58M,7.523M,-46.58M,277.80M,105.76M,172.03M,-0.507M,,-8.384M,163.14M,163.86M,397.10M,72.72M,324.38M,,1.03,0.00,,,1.031,1.03,,1.02,0.00,,,1.021,1.02,,157.61M,159.35M,0.10,,AOR,Restated
2011-03,1.822B,1.822B,1.097B,724.58M,447.86M,9.849M,2.208M,38.28M,0.351M,-37.93M,235.91M,693.62M,30.96M,0.351M,38.28M,-37.93M,9.907M,-37.93M,2.938M,49.23M,-46.29M,-0.374M,,-7.199M,-53.86M,-54.92M,104.58M,63.36M,41.22M,,-0.33,0.00,,,-0.3389,-0.33,,-0.33,0.00,,,-0.3389,-0.33,,161.49M,161.49M,0.10,,AOR,Restated
2010-12,1.715B,1.715B,1.039B,676.51M,382.14M,4.569M,,35.39M,0.442M,-34.94M,7.545M,394.25M,282.26M,0.442M,35.39M,-34.94M,10.28M,-34.94M,257.59M,96.20M,161.39M,12.84M,,-8.476M,165.76M,152.92M,356.50M,63.52M,292.98M,,0.89,0.07,,,0.89,0.96,,0.89,0.07,,,0.89,0.96,,170.37M,171.82M,0.10,,AOR,Restated
2010-09,1.865B,1.865B,1.091B,773.19M,426.56M,9.915M,3.15M,36.47M,0.272M,-36.20M,-0.154M,436.32M,336.87M,0.272M,36.47M,-36.20M,10.35M,-36.20M,311.02M,102.90M,208.12M,-0.36M,,-9.681M,198.08M,196.33M,411.63M,64.14M,347.49M,,1.14,0.00,,,1.128,1.14,,1.13,0.00,,,1.118,1.13,,173.23M,174.32M,0.10,,AOR,
2010-06,1.875B,1.875B,1.079B,795.76M,419.41M,9.27M,-7.119M,36.64M,0.273M,-36.37M,1.18M,429.86M,365.89M,0.273M,36.64M,-36.37M,0.266M,-36.37M,329.79M,125.65M,204.14M,-0.266M,,-9.261M,194.62M,199.29M,429.41M,62.97M,366.43M,,1.08,0.00,,,1.105,1.08,,1.07,0.00,,,1.094,1.07,,178.92M,180.76M,0.10,,AOR,Restated
2010-03,1.806B,1.806B,1.066B,739.13M,430.73M,9.359M,6.012M,36.53M,0.575M,-35.96M,0.476M,440.57M,298.56M,0.575M,36.53M,-35.96M,13.98M,-35.96M,276.58M,105.38M,171.20M,-0.052M,,-8.705M,162.45M,158.78M,376.45M,63.33M,313.11M,,0.90,0.00,,,0.8794,0.90,,0.89,0.00,,,0.8696,0.89,,180.22M,182.38M,0.10,,AOR,Restated
2009-12,1.848B,1.848B,1.070B,778.03M,432.99M,9.526M,-10.96M,35.02M,0.275M,-34.75M,5.123M,447.64M,330.39M,0.275M,35.02M,-34.75M,-3.281M,-34.75M,292.36M,101.60M,190.76M,-0.196M,,-8.972M,181.59M,188.94M,390.41M,63.02M,327.39M,,0.99,0.00,,,1.029,0.99,,0.97,0.00,,,1.008,0.97,,184.03M,186.33M,0.10,,AOR,Restated
2009-09,1.897B,1.897B,1.098B,799.61M,441.57M,9.154M,2.45M,34.76M,1.693M,-33.06M,0.608M,451.33M,348.28M,1.693M,34.76M,-33.06M,11.02M,-33.06M,326.24M,125.14M,201.09M,0.543M,,-9.416M,192.22M,190.17M,424.61M,63.62M,361.00M,,1.03,0.00,,,1.022,1.03,,1.02,0.00,,,1.012,1.02,,185.12M,187.16M,0.10,,AOR,Restated
2009-06,1.902B,1.902B,1.100B,801.61M,448.76M,9.377M,-45.94M,36.96M,0.115M,-36.85M,-15.90M,442.23M,359.38M,0.115M,36.96M,-36.85M,-37.56M,-36.85M,321.82M,123.54M,198.28M,0.088M,,-10.17M,188.20M,216.42M,423.96M,65.19M,358.78M,,1.01,0.00,,,1.163,1.01,,1.00,0.00,,,1.151,1.00,,185.27M,187.00M,0.10,,AOR,Restated
2009-03,1.808B,1.808B,1.053B,754.52M,424.30M,9.005M,-2.709M,39.84M,0.436M,-39.41M,0.148M,433.45M,321.06M,0.436M,39.84M,-39.41M,5.861M,-39.41M,287.52M,110.19M,177.33M,-1.671M,,-8.554M,167.10M,170.44M,392.22M,64.86M,327.36M,,0.89,-0.01,,,0.8988,0.88,,0.89,-0.01,,,0.8988,0.88,,189.37M,190.70M,0.10,,AOR,Restated
2008-12,1.800B,1.800B,1.041B,759.38M,435.64M,9.323M,-9.466M,,,,-2.639M,442.32M,317.06M,,,,-2.851M,,263.08M,93.48M,169.60M,0.217M,,-8.221M,169.81M,175.70M,364.87M,65.76M,299.11M,,0.87,0.00,,,0.9015,0.87,,0.87,0.00,,,0.9013,0.87,,193.49M,194.74M,0.10,,AOR,
2008-09,1.827B,1.827B,1.073B,753.48M,428.18M,8.79M,-11.98M,,,,-0.424M,436.54M,316.94M,,,,-4.455M,,260.32M,100.64M,159.68M,-48.93M,,-8.604M,110.74M,167.03M,383.08M,66.14M,316.94M,,0.82,-0.25,,,0.8577,0.57,,0.81,-0.25,,,0.8473,0.56,,194.97M,197.19M,0.10,,,
2008-06,1.838B,1.838B,1.083B,754.42M,438.04M,9.916M,0.548M,46.88M,1.444M,-45.43M,-1.656M,446.30M,308.12M,1.444M,46.88M,-45.43M,8.14M,-45.43M,270.83M,100.79M,170.04M,-0.89M,,-7.826M,161.33M,161.87M,385.13M,67.42M,317.71M,,0.83,0.00,,,0.8282,0.83,,0.83,-0.01,,,0.8282,0.82,,194.53M,196.12M,0.10,,,Restated
2008-03,1.785B,1.785B,1.059B,726.01M,436.48M,9.264M,-1.037M,,,,,445.75M,280.26M,,,,6.962M,,232.55M,91.86M,140.69M,-1.087M,,-7.054M,139.61M,141.32M,345.52M,65.26M,280.26M,,0.72,0.00,,,0.7232,0.72,,0.72,-0.01,,,0.7232,0.71,,194.14M,195.78M,0.10,,,
2007-12,1.770B,1.770B,1.043B,727.75M,408.63M,9.162M,-1.816M,,,,-2.103M,415.68M,312.06M,,,,5.099M,,253.72M,99.71M,154.01M,-159.26M,,-7.399M,-5.251M,155.11M,380.69M,68.62M,312.06M,,0.80,-0.83,,,0.8057,-0.03,,0.79,-0.83,,,0.7956,-0.03,,193.56M,195.72M,0.10,,,
2007-09,1.767B,1.767B,1.027B,740.47M,424.33M,8.932M,-0.719M,,,,1.214M,434.48M,305.99M,,,,5.834M,,247.72M,97.40M,150.32M,-52.36M,,-6.628M,97.96M,150.76M,370.02M,64.02M,305.99M,,0.78,-0.27,,,0.7823,0.51,,0.77,-0.27,,,0.7722,0.50,,193.38M,195.59M,0.10,,,
2007-06,1.641B,1.641B,968.74M,672.41M,395.10M,5.35M,0.787M,,,,-0.45M,400.00M,272.41M,,,,7.384M,,233.83M,91.85M,141.98M,-0.647M,,-6.353M,141.33M,141.50M,327.31M,54.90M,272.41M,,0.74,0.00,,,0.7375,0.74,,0.73,0.00,,,0.7275,0.73,,192.65M,194.48M,0.10,,,
2007-03,1.526B,1.526B,931.78M,594.42M,389.09M,4.46M,2.008M,,,,,393.55M,200.87M,,,,8.912M,,177.12M,69.61M,107.52M,-1.622M,,-6.13M,105.89M,106.30M,251.20M,50.34M,200.87M,,0.56,-0.01,,,0.5537,0.55,,0.55,-0.01,,,0.5438,0.54,,193.38M,195.26M,0.10,,,
2006-12,1.549B,1.549B,919.41M,629.86M,372.73M,3.203M,15.90M,,,,-25.18M,350.75M,279.10M,,,,23.11M,,247.95M,96.67M,151.28M,-1.989M,,-6.589M,149.29M,141.57M,328.49M,49.39M,279.10M,,0.78,-0.01,,,0.7301,0.77,,0.77,-0.01,,,0.7206,0.76,,194.37M,196.42M,0.10,,,
2006-09,1.583B,1.583B,933.74M,649.47M,354.63M,3.045M,-2.292M,,,,-1.07M,356.61M,292.86M,,,,4.329M,,267.27M,103.41M,163.85M,-3.331M,,-6.053M,160.52M,165.26M,342.25M,49.39M,292.86M,,0.83,-0.02,,,0.8371,0.81,,0.82,-0.02,,,0.8270,0.80,,197.16M,200.13M,0.10,,,
2006-06,1.583B,1.583B,926.70M,656.38M,357.86M,2.257M,-11.63M,,,,-1.06M,359.06M,297.33M,,,,-4.994M,,262.79M,106.83M,155.96M,-23.98M,,-5.85M,131.98M,162.94M,346.89M,49.56M,297.33M,,0.79,-0.12,,,0.8252,0.67,,0.78,-0.12,,,0.8148,0.66,,198.01M,200.59M,0.10,,,
2006-03,1.553B,1.553B,916.16M,636.94M,375.89M,2.338M,17.44M,,,,,378.23M,258.72M,,,,25.45M,,255.27M,100.67M,154.60M,-9.967M,,-5.408M,144.64M,144.04M,307.78M,49.06M,258.72M,,0.78,-0.05,,,0.7268,0.73,,0.77,-0.05,,,0.7175,0.72,,198.40M,201.03M,0.10,,,
2005-12,1.427B,1.427B,856.59M,570.71M,316.60M,1.931M,7.53M,,,,,310.25M,260.46M,,,,14.21M,,241.63M,92.52M,149.11M,-18.78M,,-4.577M,130.33M,144.47M,307.60M,47.14M,260.46M,,0.74,-0.09,,,0.7168,0.65,,0.73,-0.09,,,0.7072,0.64,,200.34M,203.48M,0.09,,,
2005-09,1.361B,1.361B,799.07M,562.04M,303.57M,0.888M,-13.56M,,,,7.228M,311.69M,250.36M,,,,-7.712M,,226.04M,93.39M,139.83M,-4.586M,,-4.833M,135.25M,147.97M,293.81M,43.46M,250.36M,,0.69,-0.02,,,0.7302,0.67,,0.68,-0.02,,,0.7195,0.66,,202.68M,206.13M,0.09,,,
2005-06,1.378B,1.378B,798.68M,578.85M,316.76M,0.933M,-0.544M,,,,-0.047M,317.65M,261.20M,,,,5.896M,,249.34M,100.25M,149.09M,,,-5.072M,149.09M,149.42M,304.20M,43.00M,261.20M,,0.74,0.00,,,0.7416,0.74,,0.72,0.00,,,0.7216,0.72,,202.60M,206.55M,0.09,,,
2005-03,1.319B,1.319B,780.08M,539.40M,308.35M,0.931M,0.544M,,,,0.211M,309.49M,229.91M,,,,7.758M,,220.09M,88.48M,131.61M,,,-5.013M,131.61M,131.28M,272.44M,42.53M,229.91M,,0.65,0.00,,,0.6484,0.65,,0.64,0.00,,,0.6384,0.64,,201.72M,206.14M,0.09,,,
