,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-06,314.00M,314.00M,947.00M,947.00M,,83.00M,156.00M,,,1.50B,,,,,,,,,,1.045B,6.08B,949.00M,7.029B,451.00M,,146.00M,8.671B,10.17B,,,,,,,,912.00M,,,5.00M,,5.00M,,917.00M,3.732B,,3.732B,,,36.00M,80.00M,709.00M,4.521B,5.438B,,2.00M,6.847B,2.565B,4.657B,,,,-60.00M,4.697B,,AOR,Restated
2017-03,367.00M,367.00M,960.00M,960.00M,,77.00M,154.00M,,,1.558B,,,,,,,,,,1.027B,6.001B,933.00M,6.934B,443.00M,,147.00M,8.551B,10.11B,,,,,,,,979.00M,,,6.00M,,6.00M,,985.00M,3.725B,,3.725B,,,33.00M,78.00M,658.00M,4.461B,5.446B,,2.00M,6.715B,2.542B,4.561B,,,,-68.00M,4.63B,,AOR,Restated
2016-12,359.00M,359.00M,926.00M,926.00M,,82.00M,155.00M,,,1.531B,0.00,28.00M,379.00M,2.296B,,193.00M,533.00M,3.429B,-2.40B,1.029B,6.00B,949.00M,6.949B,443.00M,,148.00M,8.569B,10.10B,,231.00M,62.00M,3.00M,2.00M,298.00M,647.00M,945.00M,30.00M,6.00M,36.00M,,36.00M,,981.00M,3.728B,,3.728B,,,32.00M,77.00M,654.00M,4.459B,5.44B,,2.00M,6.613B,2.545B,4.46B,,,,-72.00M,4.628B,,AOR,Restated
2016-09,406.00M,406.00M,966.00M,966.00M,,82.00M,179.00M,,,1.642B,,,,,,,,,,952.00M,6.00B,972.00M,6.972B,452.00M,,155.00M,8.531B,10.17B,,,,,,,,1.039B,,,7.00M,,7.00M,,1.046B,3.815B,,3.815B,,,31.00M,76.00M,542.00M,4.433B,5.479B,,2.00M,6.52B,2.526B,4.324B,,,,-61.00M,4.663B,,AOR,Restated
2016-06,283.00M,283.00M,975.00M,975.00M,,80.00M,163.00M,,,1.51B,,,,,,,,,,937.00M,5.996B,990.00M,6.986B,453.00M,,223.00M,8.599B,10.11B,,,,,,,,1.104B,,,7.00M,,7.00M,,1.111B,3.835B,,3.835B,,,32.00M,74.00M,520.00M,4.429B,5.54B,,2.00M,6.384B,2.472B,4.265B,,,,-56.00M,4.537B,,AOR,Restated
2016-03,128.00M,128.00M,952.00M,952.00M,,82.00M,138.00M,,,1.493B,,,,,,,,,,925.00M,5.996B,1.008B,7.004B,471.00M,,204.00M,8.604B,10.10B,,,,,,,,932.00M,,,158.00M,,158.00M,,1.09B,3.74B,,3.74B,,,30.00M,72.00M,529.00M,4.341B,5.431B,,2.00M,6.244B,2.493B,4.063B,,,,-40.00M,4.636B,,AOR,Restated
2015-12,133.00M,133.00M,901.00M,901.00M,,84.00M,207.00M,,,1.501B,0.00,28.00M,370.00M,2.163B,,136.00M,535.00M,3.232B,-2.307B,925.00M,5.905B,984.00M,6.889B,473.00M,,174.00M,8.461B,9.962B,,279.00M,55.00M,4.00M,2.00M,340.00M,674.00M,1.014B,,,159.00M,,159.00M,,1.173B,3.492B,,3.492B,,,29.00M,70.00M,514.00M,4.076B,5.249B,,2.00M,6.199B,2.481B,3.96B,,,,-38.00M,4.684B,,AOR,Restated
2015-09,123.00M,123.00M,914.00M,914.00M,,86.00M,194.00M,165.00M,,1.648B,,,,,,,,,,886.00M,5.895B,1.004B,6.899B,478.00M,,163.00M,8.426B,10.07B,,,,,,,,973.00M,,,160.00M,,160.00M,,1.133B,3.571B,,3.571B,,,32.00M,69.00M,680.00M,4.32B,5.453B,,2.00M,6.066B,2.469B,3.917B,,,,-31.00M,4.589B,,AOR,Restated
2015-06,150.00M,150.00M,937.00M,937.00M,,109.00M,173.00M,161.00M,,1.53B,,,,,,,,,,906.00M,5.987B,1.022B,7.009B,,,275.00M,8.19B,9.72B,,,,,,,,1.074B,,,168.00M,,168.00M,,1.242B,3.568B,,3.568B,,,30.00M,,566.00M,4.134B,5.376B,,2.00M,5.793B,2.444B,3.90B,,,,-25.00M,4.314B,,AOR,Restated
2015-03,974.00M,974.00M,949.00M,949.00M,,106.00M,188.00M,158.00M,,2.375B,,,,,,,,,,902.00M,5.986B,1.041B,7.027B,,,309.00M,8.238B,10.61B,,,,,,,,1.046B,,,1.043B,,1.043B,,2.089B,3.688B,,3.688B,,,28.00M,,565.00M,4.253B,6.342B,,2.00M,5.729B,2.427B,3.885B,,,,-30.00M,4.243B,,AOR,Restated
2014-12,192.00M,192.00M,932.00M,932.00M,,110.00M,186.00M,169.00M,,1.603B,0.00,28.00M,367.00M,2.061B,,132.00M,538.00M,3.126B,-2.193B,933.00M,6.032B,1.071B,7.103B,46.00M,,172.00M,8.254B,9.857B,,257.00M,48.00M,63.00M,56.00M,424.00M,767.00M,1.191B,,,518.00M,,518.00M,,1.709B,3.224B,,3.224B,,,29.00M,0.00,594.00M,3.818B,5.527B,,2.00M,5.723B,2.418B,3.815B,,,,-27.00M,4.301B,,AOR,Restated
2014-09,170.00M,170.00M,953.00M,953.00M,,111.00M,164.00M,165.00M,,1.563B,,,,,,,,,,888.00M,6.026B,1.095B,7.121B,,,229.00M,8.238B,9.801B,,,,,,,,1.058B,,,132.00M,,132.00M,,1.19B,3.732B,,3.732B,,,28.00M,,669.00M,4.401B,5.591B,,2.00M,5.581B,2.406B,3.792B,,,,-15.00M,4.182B,,AOR,Restated
2014-06,144.00M,144.00M,963.00M,963.00M,,109.00M,125.00M,164.00M,,1.505B,,,,,,,,,,884.00M,6.024B,1.117B,7.141B,,,227.00M,8.252B,9.757B,,,,,,,,1.038B,,,220.00M,,220.00M,,1.258B,3.738B,,3.738B,,,27.00M,,642.00M,4.38B,5.638B,,2.00M,5.50B,2.394B,3.796B,,,,-8.00M,4.092B,,AOR,Restated
2014-03,144.00M,144.00M,977.00M,977.00M,,99.00M,115.00M,153.00M,,1.488B,,,,,,,,,,851.00M,5.92B,1.078B,6.998B,,,213.00M,8.062B,9.55B,,,,,,,,969.00M,,,223.00M,,223.00M,,1.192B,3.724B,,3.724B,,,28.00M,,614.00M,4.338B,5.53B,,2.00M,5.415B,2.381B,3.795B,,,,-11.00M,3.992B,,AOR,Restated
2013-12,187.00M,187.00M,852.00M,852.00M,,91.00M,105.00M,148.00M,,1.383B,0.00,30.00M,365.00M,1.829B,,130.00M,452.00M,2.806B,-2.001B,805.00M,5.649B,896.00M,6.545B,,,215.00M,7.565B,8.948B,,258.00M,43.00M,7.00M,1.00M,309.00M,611.00M,920.00M,,,212.00M,,212.00M,,1.132B,3.12B,,3.12B,,,25.00M,,723.00M,3.843B,4.975B,,2.00M,5.358B,2.379B,3.783B,,,,-8.00M,3.948B,,AOR,Restated
2013-09,158.28M,158.28M,920.83M,920.83M,,85.19M,108.52M,152.83M,,1.426B,,,,,,,,,,749.36M,5.629B,903.90M,6.533B,,,219.83M,7.502B,8.928B,,,,,,,,994.29M,,,244.70M,,244.70M,,1.239B,3.122B,,3.122B,,,28.91M,,694.74M,3.817B,5.056B,,2.154M,5.260B,2.306B,3.718B,,,,-7.988M,3.843B,,AOR,Restated
2013-06,148.34M,148.34M,946.75M,946.75M,,89.44M,126.38M,158.79M,,1.470B,,,,,,,,,,751.81M,5.666B,929.42M,6.595B,,,219.41M,7.566B,9.036B,,,,,,,,915.93M,,,374.76M,,374.76M,,1.291B,3.122B,,3.122B,,,26.61M,,685.33M,3.807B,5.098B,,2.154M,4.898B,2.327B,3.303B,,,,-12.77M,3.912B,,AOR,Restated
2013-03,133.60M,133.60M,929.97M,929.97M,,89.82M,97.81M,158.68M,,1.457B,,,,,,,,,,753.94M,5.630B,899.42M,6.530B,,,565.54M,7.849B,9.306B,,,,,,,,935.02M,,,254.42M,,254.42M,18.78M,1.208B,3.147B,,3.147B,,,27.40M,,663.45M,3.871B,5.079B,,2.153M,4.779B,2.365B,2.956B,,,,10.10M,4.200B,,AOR,Restated
2012-12,296.00M,296.00M,867.00M,867.00M,,93.00M,91.00M,174.00M,,1.561B,0.00,28.00M,353.00M,1.733B,,74.00M,436.00M,2.624B,-1.868B,756.00M,5.536B,872.00M,6.408B,,,559.00M,7.723B,9.284B,,204.00M,,78.00M,,282.00M,734.00M,1.016B,,,10.00M,,10.00M,22.00M,1.048B,3.354B,,3.354B,,,23.00M,,636.00M,4.05B,5.098B,,2.00M,4.69B,2.371B,2.914B,,,,14.00M,4.163B,,AOR,Restated
2012-09,191.77M,191.77M,930.73M,930.73M,,94.51M,86.25M,169.01M,,1.472B,,,,,,,,,,782.81M,5.837B,1.003B,6.840B,,,223.95M,7.846B,9.319B,,,,,,,,915.99M,,,154.65M,,154.65M,,1.071B,3.376B,,3.376B,,,26.32M,,674.77M,4.050B,5.121B,,2.151M,4.682B,2.361B,2.889B,,,,13.97M,4.171B,,AOR,Restated
2012-06,173.74M,173.74M,941.47M,941.47M,,90.10M,108.41M,163.46M,,1.477B,,,,,,,,,,788.63M,5.823B,1.016B,6.839B,,,288.20M,7.916B,9.393B,,,,,,,,880.22M,,,444.50M,,444.50M,,1.325B,3.378B,,3.378B,,,25.93M,,668.80M,4.047B,5.372B,,2.151M,4.546B,2.358B,2.903B,,,,-8.369M,3.995B,,AOR,Restated
2012-03,145.44M,145.44M,973.89M,973.89M,,88.26M,139.20M,171.82M,,1.519B,,,,,,,,,,781.43M,5.835B,1.042B,6.877B,,,274.82M,7.933B,9.451B,,,,,,,,971.09M,,,554.36M,,554.36M,,1.525B,3.365B,,3.365B,,,26.76M,,664.68M,4.030B,5.555B,,2.151M,4.396B,2.347B,2.886B,,,,10.56M,3.869B,,AOR,Restated
2011-12,164.89M,164.89M,906.46M,906.46M,,89.13M,87.46M,153.33M,,1.401B,0.00,35.79M,372.20M,1.668B,,43.78M,423.13M,2.543B,-1.744B,799.77M,5.796B,1.036B,6.831B,,,280.97M,7.912B,9.313B,,215.34M,,4.591M,,219.93M,686.83M,906.76M,85.00M,569.40M,654.40M,,654.40M,,1.561B,3.371B,,3.371B,,,22.13M,,666.70M,4.037B,5.598B,,2.146M,4.264B,2.348B,2.912B,,,,-8.067M,3.693B,,AOR,Restated
2011-09,110.82M,110.82M,936.26M,936.26M,,84.95M,97.33M,166.91M,,1.396B,,,,,,,,,,806.04M,5.796B,1.055B,6.851B,,,273.35M,7.930B,9.326B,,,,,,,,928.16M,,,835.91M,,835.91M,,1.764B,3.368B,,3.368B,,,22.58M,,649.59M,4.017B,5.782B,,2.146M,4.101B,2.331B,2.907B,,,,-5.444M,3.522B,,AOR,Restated
2011-06,184.22M,184.22M,929.37M,929.37M,,87.97M,109.66M,166.74M,,1.478B,,,,,,,,,,820.59M,5.817B,1.082B,6.899B,,,233.50M,7.953B,9.431B,,,,,,,,998.68M,,,994.68M,,994.68M,,1.993B,3.333B,,3.333B,,,21.45M,,654.31M,3.987B,5.981B,,2.146M,3.945B,2.317B,2.869B,,,,34.04M,3.429B,,AOR,Restated
2011-03,994.24M,994.24M,940.36M,940.36M,,71.74M,111.39M,182.26M,,2.300B,,,,,,,,,,821.53M,5.119B,795.38M,5.914B,,,188.93M,6.925B,9.225B,,,,,,,,1.137B,,,629.24M,,629.24M,,1.767B,3.595B,,3.595B,,,23.41M,,625.52M,4.220B,5.987B,,2.146M,3.798B,2.306B,2.923B,,,,32.21M,3.215B,,AOR,Restated
2010-12,449.30M,449.30M,845.30M,845.30M,,76.57M,91.78M,142.47M,,1.605B,0.00,35.79M,369.51M,1.634B,,53.39M,394.30M,2.487B,-1.653B,834.38M,5.102B,796.40M,5.898B,,,189.49M,6.922B,8.528B,,212.49M,,,,212.49M,353.94M,566.43M,,,349.00M,,349.00M,,1.214B,2.641B,,2.641B,,,20.64M,,618.08M,3.259B,4.474B,,2.142M,3.867B,2.311B,2.158B,,,,10.63M,4.033B,,AOR,Restated
2010-06,447.89M,447.89M,869.64M,869.64M,,78.43M,101.98M,133.40M,,1.631B,,,,,,,,,,804.19M,5.063B,799.83M,5.863B,,,183.27M,6.850B,8.482B,,,,,,,,824.38M,,,171.13M,,171.13M,,995.50M,2.974B,,2.974B,,,22.56M,,565.56M,3.539B,4.535B,,2.142M,3.538B,2.291B,1.858B,,,,-48.23M,3.924B,,AOR,Restated
2010-03,463.24M,463.24M,865.16M,865.16M,,79.46M,106.43M,130.96M,,1.645B,,,,,,,,,,811.88M,5.082B,817.45M,5.900B,,,159.38M,6.871B,8.516B,,,,,,,,906.09M,,,170.40M,,170.40M,,1.076B,2.945B,,2.945B,,,25.04M,,565.71M,3.510B,4.587B,,2.142M,3.361B,2.276B,1.713B,,,,-22.63M,3.904B,,AOR,Restated
2009-12,534.26M,534.26M,827.34M,827.34M,,91.39M,94.64M,131.80M,,1.679B,0.00,35.79M,360.68M,1.517B,,51.12M,374.92M,2.339B,-1.513B,825.95M,5.084B,823.66M,5.908B,,,150.66M,6.884B,8.564B,,207.33M,,,,207.33M,681.38M,888.70M,,,170.51M,,170.51M,,1.059B,2.937B,,2.937B,,,21.82M,,556.18M,3.493B,4.552B,,2.141M,3.217B,2.302B,1.511B,,,,-20.96M,3.990B,,AOR,Restated
2009-09,247.03M,247.03M,888.29M,888.29M,,80.86M,99.52M,154.98M,,1.471B,,,,,,,,,,831.95M,5.091B,829.65M,5.920B,,,142.67M,6.895B,8.366B,,,,,,,,886.97M,,,103.87M,,103.87M,,990.84M,2.878B,,2.878B,,,25.34M,,559.04M,3.437B,4.428B,,2.141M,3.053B,2.283B,1.412B,,,,-13.93M,3.913B,,AOR,Restated
2009-06,119.29M,119.29M,896.54M,896.54M,,79.72M,89.54M,154.02M,,1.339B,,,,,,,,,,843.76M,5.067B,819.32M,5.887B,,,141.99M,6.872B,8.211B,,,,,,,,818.91M,,,204.97M,,204.97M,,1.024B,2.878B,,2.878B,,,24.50M,,544.15M,3.422B,4.446B,,2.141M,2.880B,2.273B,1.358B,,,,-55.59M,3.741B,,AOR,Restated
2009-03,204.22M,204.22M,888.25M,888.25M,,86.50M,98.60M,206.98M,,1.485B,,,,,,,,,,861.90M,5.043B,813.81M,5.856B,,,143.69M,6.862B,8.347B,,,,,,,,1.261B,,,5.014M,,5.014M,,1.266B,3.077B,,3.077B,,,,,470.78M,3.548B,4.814B,,2.141M,2.710B,2.259B,1.375B,,,,-87.54M,3.532B,,AOR,Restated
2008-12,253.95M,253.95M,832.87M,832.87M,,102.12M,89.46M,218.42M,,1.497B,259.85M,35.79M,365.48M,1.182B,,57.48M,348.82M,2.250B,-1.370B,879.69M,5.055B,827.40M,5.882B,,,145.00M,6.907B,8.404B,,191.22M,,,,191.22M,1.028B,1.220B,,,5.142M,,5.142M,,1.225B,3.078B,,3.078B,189.57M,189.57M,,,306.51M,3.574B,4.799B,,2.141M,2.562B,2.262B,1.153B,,,,-68.07M,3.605B,,AOR,
2008-09,286.68M,286.68M,888.12M,888.12M,,98.82M,95.90M,182.06M,,1.552B,,,,,,,,2.068B,-1.194B,873.43M,5.134B,846.03M,5.980B,,,164.00M,7.017B,8.569B,,1.191B,,,,1.191B,,1.191B,,,49.92M,,49.92M,,1.241B,3.078B,,3.078B,,,,,517.52M,3.596B,4.837B,,2.141M,2.411B,2.247B,913.66M,,,,-14.50M,3.732B,,,
2008-06,143.40M,143.40M,922.51M,922.51M,,98.33M,91.66M,161.18M,,1.417B,,,,,,,,2.088B,-1.194B,893.07M,5.220B,873.63M,6.093B,,,163.47M,7.150B,8.567B,,1.080B,,,,1.080B,,1.080B,,,50.36M,,50.36M,,1.131B,3.209B,,3.209B,,,,,559.48M,3.769B,4.899B,,2.141M,2.320B,2.237B,938.51M,,,,46.95M,3.668B,,,Restated
2008-03,170.02M,170.02M,947.74M,947.74M,,97.36M,95.88M,153.63M,,1.465B,,,,,,,,2.101B,-1.194B,906.10M,5.230B,884.09M,6.114B,,,161.85M,7.182B,8.646B,,1.144B,,,,1.144B,,1.144B,,,48.79M,,48.79M,,1.193B,3.379B,,3.379B,,,,,572.86M,3.952B,5.144B,,2.141M,2.178B,2.224B,953.52M,,,,51.64M,3.502B,,,
2007-12,167.59M,167.59M,881.97M,881.97M,,95.23M,79.72M,149.84M,,1.374B,0.00,36.27M,678.99M,1.043B,255.41M,92.92M,,2.106B,-1.194B,912.00M,5.220B,886.73M,6.107B,,,172.50M,7.191B,8.566B,,205.07M,,,,205.07M,919.65M,1.125B,,,163.58M,,163.58M,,1.288B,3.377B,,3.377B,,,,,575.94M,3.953B,5.241B,,2.137M,2.058B,2.211B,971.74M,,31.33M,-6.053M,25.28M,3.324B,,,
2007-09,164.62M,164.62M,962.86M,962.86M,,92.45M,87.76M,141.55M,,1.449B,,,,,,,,1.906B,-1.014B,891.54M,5.181B,891.66M,6.073B,,,169.27M,7.133B,8.583B,,910.59M,,,,910.59M,,910.59M,,,292.38M,,292.38M,,1.203B,3.472B,,3.472B,,,,,579.83M,4.052B,5.255B,,2.138M,2.082B,2.204B,994.83M,,,,34.33M,3.328B,,,
2007-06,122.30M,122.30M,973.07M,973.07M,,96.84M,87.19M,135.81M,,1.415B,,,,,,,,1.903B,-1.014B,888.87M,5.128B,901.51M,6.029B,,,160.47M,7.079B,8.494B,,792.45M,,,,792.45M,,792.45M,,,367.10M,,367.10M,,1.160B,3.545B,,3.545B,,,,,600.11M,4.145B,5.305B,,2.137M,2.004B,2.197B,1.019B,,,,5.114M,3.189B,,,
2007-03,158.40M,158.40M,810.58M,810.58M,,87.72M,82.76M,107.50M,,1.247B,,,,,,,,1.775B,-1.014B,760.86M,3.725B,312.04M,4.037B,,,141.93M,4.940B,6.187B,,800.70M,,,,800.70M,,800.70M,,,767.04M,,767.04M,,1.568B,1.238B,,1.238B,,,,,351.31M,1.590B,3.157B,,2.137M,1.882B,2.184B,1.039B,,,,0.593M,3.029B,,,
2006-12,149.64M,149.64M,774.41M,774.41M,,78.56M,67.86M,120.54M,,1.191B,0.00,36.27M,596.71M,886.06M,189.08M,58.27M,,1.766B,-1.014B,752.36M,3.391B,193.35M,3.584B,,,133.72M,4.470B,5.661B,,215.72M,,,,215.72M,618.28M,834.00M,,,316.87M,,316.87M,,1.151B,1.239B,,1.239B,,,,,252.34M,1.491B,2.642B,,2.138M,1.800B,2.185B,968.23M,,0.512M,-0.577M,-0.065M,3.019B,,,
2006-09,105.12M,105.12M,857.03M,857.03M,,77.32M,80.23M,122.26M,,1.242B,,,,,,,,1.638B,-896.78M,741.68M,3.390B,194.75M,3.584B,,,136.85M,4.463B,5.705B,,860.71M,,,,860.71M,,860.71M,,,316.91M,,316.91M,,1.178B,1.239B,,1.239B,,,,,219.64M,1.459B,2.636B,,2.137M,1.670B,2.188B,794.67M,,,,2.418M,3.069B,,,
