,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2017-06,78.30M,-0.60M,-1.30M,,-1.90M,,,95.30M,95.30M,,,4.40M,8.00M,25.00M,254.70M,-64.90M,,-153.50M,61.30M,,245.40M,2017-06,-36.30M,,,-75.80M,-1.10M,,-113.20M,,250.00M,-80.50M,169.50M,14.60M,0.00,14.60M,-70.20M,-70.20M,-14.80M,99.10M,,2017-06,231.30M,15.60M,2.069B,,14.60M,1.405B,-1.236B,0.00,26.60M,31.80M,,AOR,Restated
2017-03,242.00M,1.50M,-1.40M,,0.10M,,,93.80M,93.80M,,,4.10M,8.90M,-1.559B,1.113B,98.20M,,14.70M,-333.40M,,15.50M,2017-03,-29.30M,,,-135.70M,-5.20M,,-170.20M,,,89.20M,89.20M,20.30M,0.00,20.30M,-71.40M,-71.40M,-18.20M,19.90M,,2017-03,-134.80M,19.20M,1.822B,,20.30M,955.00M,-865.80M,0.00,12.20M,30.10M,,AOR,Restated
2016-12,86.30M,41.10M,-1.90M,,39.20M,,,89.30M,89.30M,,,3.80M,14.50M,-750.50M,665.40M,-16.90M,,149.60M,47.60M,,280.70M,2016-12,-79.00M,,,-95.90M,-9.60M,,-184.50M,,50.00M,18.70M,68.70M,8.80M,0.00,8.80M,-67.90M,-67.90M,-11.10M,-1.50M,,2016-12,94.70M,-101.00M,1.938B,,8.80M,1.170B,-1.102B,0.00,13.90M,30.30M,,AOR,Restated
2016-09,130.40M,-5.90M,-1.50M,,-7.40M,,,88.90M,88.90M,,,3.80M,7.20M,396.70M,-372.80M,-2.70M,,-4.60M,16.60M,,239.50M,2016-09,-35.70M,,103.10M,-45.50M,-10.30M,,-91.50M,,0.00,51.60M,51.60M,15.90M,0.00,15.90M,-67.90M,-67.90M,-25.10M,-25.50M,,2016-09,122.50M,-1.80M,531.80M,,15.90M,597.00M,-545.40M,0.00,13.10M,28.30M,,AOR,Restated
2016-06,155.70M,-33.40M,-0.90M,,-34.30M,,,88.60M,88.60M,,,3.80M,15.90M,-362.60M,584.20M,-111.80M,,-310.10M,-200.30M,,29.40M,2016-06,-41.20M,,-41.20M,-51.40M,-5.50M,,-98.10M,,276.00M,-66.20M,209.80M,14.10M,-70.60M,-56.50M,-67.50M,-67.50M,-28.50M,57.30M,,2016-06,-11.40M,-2.90M,411.10M,,14.10M,966.50M,-756.70M,-70.60M,25.30M,25.20M,,AOR,Restated
2016-03,57.90M,-7.10M,-2.20M,,-9.30M,,,84.00M,84.00M,,,3.30M,0.20M,-60.80M,-117.60M,85.90M,,56.40M,-36.10M,,100.00M,2016-03,-61.90M,,-61.90M,-42.80M,-6.50M,,-111.20M,,,66.70M,66.70M,6.80M,-30.40M,-23.60M,-68.90M,-68.90M,-16.10M,-41.90M,,2016-03,-53.10M,-1.90M,425.40M,,6.80M,332.00M,-265.30M,-30.40M,13.80M,29.00M,,AOR,Restated
2015-12,68.20M,149.40M,0.40M,,149.80M,,,93.80M,93.80M,,,3.00M,8.50M,-123.00M,26.70M,9.00M,,123.60M,36.30M,,359.60M,2015-12,-27.20M,,71.80M,-72.60M,-8.90M,,-108.70M,,0.00,61.50M,61.50M,4.30M,0.00,4.30M,-65.00M,-65.00M,-33.70M,-32.90M,,2015-12,218.00M,-62.80M,1.892B,,4.30M,334.50M,-273.00M,0.00,22.50M,22.90M,,AOR,Restated
2015-09,140.90M,-90.70M,-3.60M,,-94.30M,,,81.90M,81.90M,,,3.10M,15.20M,172.30M,-74.60M,-23.60M,,17.10M,91.20M,,238.00M,2015-09,-26.30M,,-26.30M,-105.50M,-12.90M,,-144.70M,,,32.00M,32.00M,10.80M,,10.80M,-65.80M,-65.80M,-12.60M,-35.60M,,2015-09,57.70M,-9.70M,369.70M,,10.80M,275.40M,-243.40M,,7.40M,28.90M,,AOR,Restated
2015-06,147.60M,8.90M,-3.50M,,5.40M,,,82.30M,82.30M,,,2.90M,12.70M,-179.30M,393.40M,-116.80M,,-373.00M,-275.70M,,-24.80M,2015-06,-27.70M,,-27.70M,-41.10M,-6.40M,,-75.20M,,0.00,38.70M,38.70M,170.10M,0.00,170.10M,-64.00M,-64.00M,-3.60M,141.20M,,2015-06,41.20M,3.70M,321.70M,,170.10M,246.00M,-207.30M,0.00,35.50M,23.30M,,AOR,Restated
2015-03,32.40M,-67.80M,0.10M,,-67.70M,,,76.20M,76.20M,,,2.20M,14.80M,-79.30M,-111.80M,96.70M,,149.80M,55.40M,,113.30M,2015-03,-17.80M,,-17.80M,-21.20M,-1.30M,,-40.30M,,,-53.30M,-53.30M,18.10M,0.00,18.10M,-62.70M,-62.70M,-6.50M,-104.40M,,2015-03,-31.40M,-6.20M,276.80M,,18.10M,17.00M,-70.30M,0.00,12.90M,28.80M,,AOR,Restated
2014-12,75.60M,-108.50M,0.20M,,-108.30M,,,73.60M,73.60M,,,2.80M,-14.40M,145.40M,20.00M,-27.00M,,10.70M,149.10M,,178.40M,2014-12,-21.80M,,-21.80M,-78.60M,-0.60M,,-101.00M,,0.00,-35.80M,-35.80M,36.40M,,36.40M,-58.80M,-58.80M,-9.10M,-67.30M,,2014-12,10.10M,13.80M,314.40M,,36.40M,163.70M,-199.50M,,21.30M,22.80M,,AOR,Restated
2014-09,93.60M,-66.90M,1.70M,,-65.20M,,,72.90M,72.90M,,,2.70M,31.50M,99.90M,-0.50M,-66.20M,,-133.30M,-100.10M,,35.40M,2014-09,-17.60M,,-17.60M,-432.20M,0.50M,,-449.30M,,-100.00M,-108.70M,-208.70M,12.60M,,12.60M,-58.20M,-58.20M,-10.00M,-264.30M,,2014-09,-678.20M,-4.80M,290.50M,,12.60M,-55.70M,-153.00M,,17.90M,31.90M,,AOR,Restated
2014-06,109.00M,27.20M,-3.90M,,23.30M,,,59.50M,59.50M,,,2.70M,13.40M,-197.80M,246.10M,-36.70M,,-80.80M,-69.20M,,138.70M,2014-06,-22.30M,,-22.30M,-1.378B,-16.90M,,-1.417B,,700.00M,-75.40M,624.60M,929.90M,,929.90M,-56.80M,-56.80M,-4.10M,1.494B,,2014-06,215.40M,18.90M,973.50M,,929.90M,1.342B,-717.40M,,18.50M,8.30M,,AOR,Restated
2014-03,49.30M,6.20M,-21.00M,,-14.80M,,,52.90M,52.90M,,,2.40M,9.90M,47.80M,-200.70M,-20.60M,,157.90M,-15.60M,,84.10M,2014-03,-19.80M,,-19.80M,-21.60M,-3.10M,,-44.50M,,600.00M,-163.10M,436.90M,18.10M,,18.10M,-49.30M,-49.30M,-4.20M,401.50M,,2014-03,441.10M,0.00,739.20M,,18.10M,967.40M,-530.50M,,15.20M,19.50M,,AOR,Restated
2013-12,60.00M,9.30M,0.50M,,9.80M,,,50.30M,50.30M,,,2.30M,24.60M,-147.70M,116.30M,14.10M,,-35.80M,-53.10M,,93.90M,2013-12,-23.80M,,-23.80M,-392.50M,-4.90M,,-421.20M,,0.00,395.00M,395.00M,11.70M,,11.70M,-46.60M,-46.60M,-21.40M,338.70M,,2013-12,11.40M,-0.20M,298.10M,,11.70M,445.00M,-50.00M,,12.10M,8.80M,,AOR,Restated
2013-09,74.60M,0.60M,-5.10M,,-4.50M,,,45.10M,45.10M,,,2.20M,4.50M,220.70M,-172.00M,-47.50M,,81.70M,82.90M,,204.80M,2013-09,-33.90M,,-33.90M,-219.20M,-12.10M,,-265.20M,,0.00,135.50M,135.50M,13.10M,,13.10M,-45.90M,-45.90M,1.40M,104.10M,,2013-09,43.70M,3.20M,286.90M,,13.10M,217.50M,-82.00M,,13.40M,17.10M,,AOR,Restated
2013-06,93.50M,-0.40M,-2.90M,,-3.30M,,,42.80M,42.80M,,,2.30M,1.00M,-181.00M,211.90M,27.40M,,-172.00M,-113.70M,,22.60M,2013-06,-26.60M,,-26.60M,-92.30M,-13.60M,,-132.50M,,200.00M,-50.00M,150.00M,24.40M,,24.40M,-45.90M,-45.90M,0.90M,129.40M,,2013-06,19.50M,-3.50M,240.00M,,24.40M,410.00M,-260.00M,,13.90M,5.70M,,AOR,Restated
2013-03,40.50M,-0.20M,-9.60M,,-9.80M,,,40.40M,40.40M,,,0.90M,6.60M,22.60M,-37.60M,-51.40M,,39.00M,-27.40M,,51.20M,2013-03,-9.30M,,-9.30M,-18.20M,-5.30M,,-32.80M,,0.00,-79.00M,-79.00M,27.00M,,27.00M,-44.20M,-44.20M,4.00M,-92.20M,,2013-03,-73.80M,-4.30M,224.00M,,27.00M,18.00M,-97.00M,,9.80M,17.60M,,AOR,Restated
2012-12,33.50M,1.00M,-2.50M,,-1.50M,,,36.70M,36.70M,,,2.00M,4.30M,-63.60M,89.90M,40.20M,,22.10M,88.60M,,163.60M,2012-12,-14.90M,,-14.90M,-203.70M,-9.20M,,-227.80M,,0.00,129.00M,129.00M,21.40M,,19.90M,-84.70M,-84.70M,-3.20M,61.00M,,2012-12,-3.20M,0.10M,302.10M,,21.40M,141.00M,-12.00M,,23.00M,4.20M,,AOR,Restated
2012-09,61.70M,0.60M,-0.70M,,-0.10M,,,36.50M,36.50M,,,2.20M,5.70M,373.70M,-408.90M,-24.00M,,69.60M,10.40M,,116.40M,2012-09,-9.50M,,-9.50M,-60.10M,-2.50M,,-72.10M,,50.00M,-48.00M,2.00M,12.30M,,12.30M,-41.10M,-41.10M,1.50M,-25.30M,,2012-09,19.00M,4.10M,305.20M,,12.30M,50.00M,-48.00M,,12.30M,16.60M,,AOR,Restated
2012-06,71.70M,0.10M,0.00,,0.10M,,,36.40M,36.40M,,,2.30M,-2.50M,-271.60M,384.40M,8.90M,,-117.10M,4.60M,,112.60M,2012-06,-13.60M,,-13.60M,-56.40M,0.00,,-70.00M,,0.00,-44.00M,-44.00M,21.90M,,21.90M,-39.80M,-39.80M,2.40M,-59.50M,,2012-06,-16.90M,-2.80M,282.10M,,21.90M,5.00M,-49.00M,,7.30M,5.00M,,AOR,Restated
2012-03,28.10M,0.20M,-0.70M,,-0.50M,,,30.80M,30.80M,,,1.00M,4.20M,-27.00M,-18.10M,27.30M,,-95.40M,-113.20M,,-49.60M,2012-03,-13.00M,,-13.00M,-12.50M,13.20M,,-12.30M,,,82.00M,82.00M,26.70M,,26.70M,-38.80M,-38.80M,-0.20M,69.70M,,2012-03,7.80M,2.80M,301.80M,,26.70M,157.00M,-75.00M,,4.90M,16.40M,,AOR,Restated
2011-12,40.50M,0.20M,,1.20M,-4.10M,,,33.90M,33.90M,,-5.30M,2.90M,6.60M,-36.50M,58.70M,-57.00M,,58.70M,23.90M,,98.40M,2011-12,-10.60M,,-10.60M,-21.70M,-10.80M,,-43.10M,,0.00,10.00M,10.00M,19.10M,-0.10M,19.00M,-37.20M,-37.20M,1.50M,-6.70M,,2011-12,48.60M,1.20M,291.20M,,19.10M,49.00M,-39.00M,-0.10M,1.00M,4.60M,,AOR,Restated
2011-09,46.70M,-0.20M,,2.40M,2.20M,,,29.40M,29.40M,,1.50M,2.60M,-4.30M,302.70M,-330.60M,36.10M,,3.00M,11.20M,,89.30M,2011-09,-13.00M,,-13.00M,-26.50M,-3.80M,,-43.30M,,0.00,-35.00M,-35.00M,8.10M,0.00,8.10M,-37.00M,-37.00M,0.20M,-63.70M,,2011-09,-17.70M,-4.10M,241.40M,,8.10M,17.00M,-52.00M,0.00,9.80M,16.40M,,AOR,Restated
2011-06,41.70M,0.30M,,-3.70M,-3.40M,,,27.40M,27.40M,,2.20M,8.00M,-2.50M,-259.60M,327.70M,-3.90M,,-32.90M,31.30M,,104.70M,2011-06,-14.00M,,-14.00M,-184.60M,0.00,,-198.60M,,0.00,35.00M,35.00M,20.40M,-0.80M,19.60M,-36.90M,-36.90M,0.30M,18.00M,,2011-06,-75.90M,5.90M,263.20M,,20.40M,85.00M,-50.00M,-0.80M,13.40M,4.20M,,AOR,Restated
2011-03,15.20M,,,0.10M,0.10M,,,24.50M,24.50M,,1.60M,0.80M,0.80M,45.50M,-122.00M,16.70M,,8.40M,-51.40M,,-8.40M,2011-03,-8.30M,,-8.30M,-18.00M,0.10M,,-26.20M,,125.00M,0.00,125.00M,26.30M,-0.30M,26.00M,-34.70M,-34.70M,1.70M,118.00M,,2011-03,83.40M,,333.20M,,26.30M,125.00M,0.00,-0.30M,7.80M,13.20M,,AOR,Restated
2010-12,44.30M,,,5.50M,0.40M,,,24.10M,24.10M,,-4.80M,2.30M,6.90M,-14.00M,-84.30M,-21.50M,,62.70M,-57.10M,1.00M,17.10M,2010-12,-7.00M,,-7.00M,-32.70M,-3.70M,,-43.40M,,0.00,0.00,0.00,10.30M,-0.20M,10.10M,-33.80M,-33.80M,0.30M,-23.40M,,2010-12,-49.70M,,249.80M,,10.30M,0.00,0.00,-0.20M,16.40M,4.50M,,AOR,Restated
2010-09,46.20M,,,-2.20M,-2.20M,,,22.80M,22.80M,,1.50M,2.80M,-3.90M,214.50M,-150.90M,-6.50M,,-1.50M,55.60M,0.00,122.80M,2010-09,-5.10M,,-5.10M,-19.20M,-0.10M,,-24.40M,,0.00,0.00,0.00,3.30M,-0.30M,3.00M,-33.80M,-33.80M,-1.30M,-32.10M,,2010-09,66.30M,,296.30M,,3.30M,0.00,0.00,-0.30M,8.40M,12.90M,,AOR,Restated
2010-06,41.90M,,,1.50M,1.50M,,,24.60M,24.60M,,1.90M,2.90M,-0.90M,-236.50M,281.30M,21.50M,,-51.10M,15.20M,-1.00M,86.10M,2010-06,-7.00M,,-7.00M,-20.70M,0.30M,,-27.40M,,0.00,-35.00M,-35.00M,11.10M,-0.10M,11.00M,-33.10M,-33.10M,1.30M,-55.80M,,2010-06,2.90M,,230.00M,,11.10M,13.00M,-48.00M,-0.10M,8.90M,4.50M,,AOR,Restated
2010-03,29.20M,,,-4.80M,-4.80M,,,21.60M,21.60M,,1.40M,1.00M,1.90M,33.30M,-80.70M,-5.20M,,5.80M,-46.80M,,3.50M,2010-03,-6.00M,,-6.00M,-4.30M,12.90M,,2.60M,,0.00,35.00M,35.00M,12.00M,-0.20M,11.80M,-32.80M,-32.80M,1.10M,15.10M,,2010-03,21.20M,,227.10M,,12.00M,35.00M,,-0.20M,3.90M,12.80M,,AOR,Restated
2009-12,19.40M,,0.90M,-0.90M,0.00,,,22.40M,22.40M,,1.70M,3.50M,1.50M,-33.50M,-45.90M,55.00M,,-9.90M,-34.30M,1.70M,15.90M,2009-12,-5.90M,,-5.90M,-9.90M,-20.20M,,-36.00M,,,-131.00M,19.00M,1.70M,-0.30M,1.40M,,-32.60M,0.30M,-11.90M,,2009-12,-32.00M,,205.90M,,1.70M,172.00M,-153.00M,-0.30M,4.60M,0.40M,,AOR,Restated
2009-09,41.60M,,-0.90M,0.90M,0.00,,,21.50M,21.50M,,1.40M,2.50M,-1.80M,363.20M,-370.70M,45.50M,,11.80M,49.80M,3.00M,118.00M,2009-09,-4.10M,,-4.10M,-1.90M,-7.50M,,-13.50M,,,-62.00M,-62.00M,2.10M,-0.40M,1.70M,,-32.40M,0.00,-92.70M,,2009-09,11.80M,,237.90M,,2.10M,27.00M,-89.00M,-0.40M,7.70M,13.20M,,AOR,Restated
2009-06,43.80M,,-0.10M,,-0.10M,,,21.60M,21.60M,,1.80M,2.80M,2.00M,-459.70M,509.70M,-44.90M,,35.20M,40.30M,-3.00M,111.60M,2009-06,-8.20M,,-8.20M,-7.50M,0.10M,,-15.60M,,,-29.00M,-29.00M,1.90M,-0.10M,1.80M,,-32.10M,-3.10M,-62.40M,,2009-06,33.60M,,226.10M,,1.90M,15.00M,-44.00M,-0.10M,15.40M,14.30M,,AOR,Restated
2009-03,28.30M,,1.00M,,1.00M,,,20.10M,20.10M,,1.30M,1.10M,2.40M,151.60M,-222.80M,-11.80M,,-3.80M,-86.80M,1.00M,-34.00M,2009-03,-5.30M,,-5.30M,-24.40M,0.20M,,-29.50M,,,90.00M,90.00M,2.60M,-0.20M,2.40M,,-30.80M,,61.60M,,2009-03,-1.90M,,192.50M,,2.60M,90.00M,,-0.20M,,,,AOR,Restated
2008-12,11.70M,,8.50M,-2.70M,5.80M,,,21.50M,21.50M,,1.70M,3.00M,4.70M,-26.20M,-34.80M,50.80M,,13.00M,2.80M,-6.90M,39.60M,2008-12,-7.00M,,-7.00M,-76.00M,2.70M,,-80.30M,,,14.00M,14.00M,1.90M,-0.10M,1.80M,,-30.40M,0.10M,-14.50M,,2008-12,-55.20M,,194.40M,,1.90M,45.00M,-31.00M,-0.10M,5.90M,1.70M,,,Restated
2008-09,41.70M,,-0.20M,2.70M,2.50M,,,18.20M,18.20M,,1.30M,2.80M,33.20M,313.90M,-342.40M,81.20M,,-14.60M,38.10M,-22.20M,102.00M,2008-09,-8.60M,,-8.60M,-65.20M,-5.10M,,-78.90M,,,13.00M,13.00M,7.80M,-0.10M,7.70M,,-29.90M,2.80M,-6.40M,,2008-09,16.70M,,249.60M,,7.80M,53.00M,-40.00M,-0.10M,10.00M,13.30M,,,Restated
2008-06,41.70M,,0.20M,,0.20M,,,18.20M,18.20M,,2.30M,3.10M,-23.70M,-294.60M,326.80M,-30.30M,,15.80M,17.70M,18.80M,82.40M,2008-06,-8.20M,,-8.20M,-62.80M,10.80M,,-60.20M,,,49.00M,49.00M,4.40M,-0.50M,3.90M,,-29.70M,2.30M,25.50M,,2008-06,47.70M,,232.90M,,4.40M,64.00M,-15.00M,-0.50M,14.50M,0.70M,,,Restated
2008-03,16.30M,,,,,,,15.80M,15.80M,,1.60M,2.50M,4.10M,79.40M,-93.10M,-62.30M,,-5.90M,-81.90M,-17.70M,-63.40M,2008-03,-8.20M,,-8.20M,-37.10M,2.60M,,-42.70M,,,56.00M,56.00M,8.50M,-0.60M,7.90M,,-28.50M,,35.40M,,2008-03,-70.70M,,185.20M,,8.50M,70.00M,-14.00M,-0.60M,9.70M,12.90M,,,Restated
2007-12,35.10M,,,,14.10M,58.60M,6.70M,22.40M,22.40M,5.30M,,,-2.60M,-52.50M,13.40M,80.60M,-15.50M,4.20M,30.20M,-1.30M,103.20M,2007-12,-14.70M,,-14.70M,-98.90M,8.90M,0.00,-104.70M,,,,0.00,2.80M,-67.70M,-64.90M,,-29.10M,0.00,-94.00M,,2007-12,-95.50M,,255.90M,,2.80M,,,-67.70M,,,,,
2007-09,55.90M,,,,8.10M,-30.70M,-3.70M,8.50M,8.50M,-4.20M,,,8.70M,250.80M,-339.50M,61.70M,33.60M,-6.00M,0.60M,-1.50M,76.10M,2007-09,-8.90M,,-8.90M,-19.30M,-0.20M,0.70M,-27.70M,,,,170.40M,6.40M,-56.20M,-49.80M,,-29.50M,1.00M,92.10M,,2007-09,140.50M,,351.40M,,6.40M,,,-56.20M,,,,,
2007-06,43.80M,,,,-7.40M,15.20M,2.30M,17.50M,17.50M,-62.80M,,,5.70M,-181.20M,283.50M,-30.30M,40.90M,4.50M,117.40M,,114.20M,2007-06,-7.20M,,-7.20M,-18.00M,0.30M,,-24.90M,,,,109.30M,5.40M,-122.20M,-116.80M,,-30.70M,1.00M,-37.20M,,2007-06,52.10M,,210.90M,,5.40M,,,-122.20M,,,,,
2007-03,19.80M,,,,-4.10M,15.50M,1.40M,16.90M,16.90M,57.50M,,,0.50M,127.30M,-109.60M,-43.20M,-102.50M,-3.80M,-131.80M,,-41.20M,2007-03,-9.90M,,-9.90M,-78.80M,0.10M,,-88.60M,,,,116.80M,7.60M,-15.70M,-8.10M,,-29.50M,1.40M,80.60M,,2007-03,-49.20M,,158.80M,,7.60M,,,-15.70M,,,,,
