,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2016-12,58.16B,58.16B,,4.925B,,,798.00M,-798.00M,31.83B,36.75B,798.00M,-798.00M,41.11B,-798.00M,9.314B,2.959B,6.355B,,-69.00M,6.286B,6.286B,2.296B,10.11B,2.549,,,,2.549,2.549,2.549,,,,2.549,2.549,2.466B,2.466B
2016-09,58.84B,58.84B,,4.424B,,,1.043B,-1.043B,32.12B,36.54B,1.043B,-1.043B,42.45B,-1.043B,10.52B,3.192B,7.333B,,-135.00M,7.198B,7.198B,2.246B,11.57B,2.9189999999999996,,,,2.9189999999999996,2.9189999999999996,2.9189999999999996,,,,2.9189999999999996,2.9189999999999996,2.466B,2.466B
2016-06,54.25B,54.25B,,4.509B,,,727.00M,-727.00M,31.56B,36.07B,727.00M,-727.00M,40.97B,-727.00M,7.372B,2.29B,5.082B,,-81.00M,5.001B,5.001B,2.234B,8.099B,2.028,,,,2.028,2.028,2.028,,,,2.028,2.028,2.466B,2.466B
2016-03,52.16B,52.16B,,4.115B,,,1.173B,-1.173B,29.88B,34.00B,1.173B,-1.173B,38.52B,-1.173B,6.456B,799.00M,5.657B,,-68.00M,5.589B,5.589B,2.125B,7.629B,2.267,,,,2.267,2.267,2.267,,,,2.267,2.267,2.465B,2.465B
2015-12,51.94B,51.94B,,3.956B,,,808.00M,-808.00M,29.33B,33.29B,808.00M,-808.00M,37.83B,-808.00M,7.381B,1.834B,5.547B,,-69.00M,5.478B,5.478B,1.978B,8.189B,2.222,,,,2.222,2.222,2.222,,,,2.222,2.222,2.465B,2.465B
2015-09,58.99B,58.99B,,4.13B,,,865.00M,-865.00M,30.05B,34.18B,865.00M,-865.00M,39.51B,-865.00M,14.07B,4.545B,9.527B,,-99.00M,9.428B,9.428B,1.989B,14.94B,3.825,,,,3.825,3.825,3.825,,,,3.825,3.825,2.465B,2.465B
2015-06,51.37B,51.37B,,3.78B,,,967.00M,-967.00M,30.33B,34.11B,967.00M,-967.00M,39.04B,-967.00M,5.846B,1.739B,4.107B,,-94.00M,4.013B,4.013B,1.941B,6.813B,1.6280000000000001,,,,1.6280000000000001,1.6280000000000001,1.6280000000000001,,,,1.6280000000000001,1.6280000000000001,2.465B,2.465B
2015-03,48.64B,48.64B,,3.443B,,,875.00M,-875.00M,27.89B,31.33B,875.00M,-875.00M,36.05B,-875.00M,7.647B,2.414B,5.233B,,-69.00M,5.164B,5.164B,1.871B,8.522B,2.095,,,,2.095,2.095,2.095,,,,2.095,2.095,2.464B,2.464B
2014-12,48.28B,48.28B,,3.732B,,,830.00M,-830.00M,28.40B,32.13B,830.00M,-830.00M,36.60B,-830.00M,5.841B,1.623B,4.218B,,-63.00M,4.155B,4.155B,1.934B,6.671B,1.6869999999999998,,,,1.6869999999999998,1.6869999999999998,1.686,,,,1.686,1.686,2.464B,2.464B
2014-09,51.20B,51.20B,,3.384B,,,817.00M,-817.00M,28.51B,31.89B,817.00M,-817.00M,37.10B,-817.00M,6.75B,2.029B,4.721B,,-104.00M,4.617B,4.617B,1.854B,7.567B,1.874,,,,1.874,1.874,1.874,,,,1.874,1.874,2.464B,2.464B
2014-06,49.76B,49.76B,,3.389B,,,824.00M,-824.00M,27.95B,31.34B,824.00M,-824.00M,36.01B,-824.00M,8.916B,2.458B,6.458B,,-63.00M,6.395B,6.395B,1.81B,9.74B,2.593,,,,2.593,2.593,2.593,,,,2.593,2.593,2.467B,2.467B
2014-03,45.45B,45.45B,,3.265B,,,782.00M,-782.00M,26.11B,29.37B,782.00M,-782.00M,33.18B,-782.00M,6.598B,1.825B,4.773B,,-68.00M,4.705B,4.705B,1.772B,7.38B,1.9080000000000001,,,,1.9080000000000001,1.9080000000000001,1.9080000000000001,,,,1.9080000000000001,1.9080000000000001,2.466B,2.466B
2013-12,47.05B,47.05B,,3.587B,,,718.00M,-718.00M,26.90B,30.49B,718.00M,-718.00M,34.32B,-718.00M,7.232B,2.169B,5.063B,,-73.00M,4.99B,4.99B,1.675B,7.95B,2.024,,,,2.024,2.024,2.024,,,,2.024,2.024,2.466B,2.466B
2013-09,46.54B,46.54B,,3.248B,,,706.00M,-706.00M,26.20B,29.45B,706.00M,-706.00M,33.67B,-706.00M,7.378B,2.225B,5.153B,,-100.00M,5.053B,5.053B,1.616B,8.084B,2.049,,,,2.049,2.049,2.049,,,,2.049,2.049,2.466B,2.466B
2013-06,44.69B,44.69B,,3.285B,,,691.00M,-691.00M,25.84B,29.12B,691.00M,-691.00M,32.97B,-691.00M,6.891B,2.279B,4.612B,,-71.00M,4.541B,4.541B,1.616B,7.582B,1.8419999999999999,,,,1.8419999999999999,1.8419999999999999,1.8419999999999999,,,,1.8419999999999999,1.8419999999999999,2.465B,2.465B
2013-03,43.87B,43.87B,,3.21B,,,686.00M,-686.00M,24.69B,27.90B,686.00M,-686.00M,31.43B,-686.00M,7.295B,2.278B,5.017B,,-125.00M,4.892B,4.892B,1.601B,7.981B,1.985,,,,1.985,1.985,1.985,,,,1.985,1.985,2.465B,2.465B
2012-12,44.72B,44.72B,,4.393B,,,665.00M,-665.00M,23.68B,28.08B,665.00M,-665.00M,31.33B,-665.00M,6.754B,2.093B,4.661B,,-110.00M,4.551B,4.551B,2.34B,7.419B,1.838,,,,1.838,1.838,1.838,,,,1.838,1.838,2.476B,2.476B
2012-09,41.05B,41.05B,,2.573B,,,692.00M,-692.00M,23.61B,26.18B,692.00M,-692.00M,30.04B,-692.00M,5.936B,1.882B,4.054B,,-134.00M,3.92B,3.92B,1.296B,6.628B,1.5819999999999999,,,,1.5819999999999999,1.5819999999999999,1.5819999999999999,,,,1.5819999999999999,1.5819999999999999,2.478B,2.478B
2012-06,38.55B,38.55B,,2.476B,,,696.00M,-696.00M,23.29B,25.76B,696.00M,-696.00M,29.27B,-696.00M,4.615B,1.384B,3.231B,,-123.00M,3.108B,3.108B,1.265B,5.311B,1.255,,,,1.255,1.255,1.255,,,,1.255,1.255,2.477B,2.477B
2012-03,38.15B,38.15B,,2.428B,,,691.00M,-691.00M,22.12B,24.54B,691.00M,-691.00M,27.74B,-691.00M,4.931B,1.565B,3.366B,,-121.00M,3.245B,3.245B,1.253B,5.622B,1.311,,,,1.311,1.311,1.311,,,,1.311,1.311,2.476B,2.476B
2011-12,37.96B,37.96B,,2.408B,,,675.00M,-675.00M,66.35B,68.76B,675.00M,-675.00M,27.89B,-675.00M,4.452B,1.261B,3.191B,,-143.00M,3.048B,3.048B,2.074B,5.127B,1.2309999999999999,,,,1.2309999999999999,1.2309999999999999,1.2309999999999999,,,,1.2309999999999999,1.2309999999999999,2.476B,2.476B
2011-09,33.74B,33.74B,,2.105B,,,669.00M,-669.00M,6.371B,8.476B,669.00M,-669.00M,27.01B,-669.00M,3.363B,953.00M,2.41B,,-132.00M,2.278B,2.278B,1.142B,4.032B,0.92,0.0,,,0.92,0.92,0.92,0.0,,,0.92,0.92,2.477B,2.477B
2011-06,38.27B,38.27B,,2.122B,,,662.00M,-662.00M,6.312B,8.434B,662.00M,-662.00M,26.44B,-662.00M,5.265B,1.725B,3.54B,,-123.00M,3.417B,3.417B,1.141B,5.927B,1.381,0.0,,,1.381,1.381,1.381,0.0,,,1.381,1.381,2.474B,2.474B
2011-03,33.72B,33.72B,,2.035B,,,658.00M,-658.00M,6.176B,8.211B,658.00M,-658.00M,24.70B,-658.00M,2.234B,629.00M,1.605B,,-94.00M,1.511B,1.511B,1.135B,2.892B,0.6113,0.0,,,0.6113,0.6113,0.6113,0.0,,,0.6113,0.6113,2.473B,2.473B
2010-12,36.16B,36.16B,,2.054B,,,660.00M,-660.00M,61.75B,63.80B,660.00M,-660.00M,25.01B,-660.00M,6.481B,9.206B,4.473B,,-96.00M,4.377B,4.377B,1.17B,7.141B,1.775,,,,1.775,1.775,1.771,,,,1.771,1.771,2.472B,2.472B
2010-09,36.27B,36.27B,,1.896B,,,668.00M,-668.00M,5.988B,7.884B,668.00M,-668.00M,25.27B,-668.00M,4.534B,1.415B,3.119B,,-130.00M,2.989B,2.989B,1.094B,5.202B,1.209,0.0,,,1.209,1.209,1.209,0.0,,,1.209,1.209,2.471B,2.471B
2010-06,31.71B,31.71B,,1.915B,,,637.00M,-637.00M,5.879B,7.794B,637.00M,-637.00M,24.72B,-637.00M,2.938B,848.00M,2.09B,,-122.00M,1.968B,1.968B,1.10B,3.575B,0.7967,0.0,,,0.7967,0.7967,0.7967,0.0,,,0.7967,0.7967,2.471B,2.471B
2010-03,32.04B,32.04B,,1.839B,,,593.00M,-593.00M,688.00M,2.527B,593.00M,-593.00M,21.19B,-593.00M,5.098B,-1.336B,3.812B,,-179.00M,3.633B,3.633B,915.00M,5.691B,1.515,0.0,,,1.515,1.515,1.515,0.0,,,1.515,1.515,2.399B,2.399B
2009-12,30.20B,30.20B,,2.066B,,,500.00M,-500.00M,55.76B,57.83B,500.00M,-500.00M,20.21B,-500.00M,4.465B,1.431B,3.154B,,-98.00M,3.056B,3.056B,812.00M,4.965B,1.3130000000000002,,,,1.3130000000000002,1.3130000000000002,1.3130000000000002,,,,1.3130000000000002,1.3130000000000002,2.328B,2.328B
2009-09,29.90B,29.90B,,2.015B,,,494.00M,-494.00M,2.881B,4.896B,494.00M,-494.00M,19.71B,-494.00M,4.839B,1.601B,3.349B,,-111.00M,3.238B,3.238B,779.00M,5.333B,1.391,0.0,,,1.391,1.391,1.391,0.0,,,1.391,1.391,2.328B,2.328B
2009-06,29.61B,29.61B,,2.073B,,,510.00M,-510.00M,2.718B,4.791B,510.00M,-510.00M,18.92B,-510.00M,4.791B,1.52B,3.384B,,-89.00M,3.295B,3.295B,778.00M,5.301B,1.415,0.0,,,1.415,1.415,1.415,0.0,,,1.415,1.415,2.328B,2.328B
2009-03,22.78B,22.78B,,1.963B,,,488.00M,-488.00M,3.048B,5.011B,488.00M,-488.00M,17.85B,-488.00M,-2.543B,-1.014B,-1.446B,,-88.00M,-1.534B,-1.534B,758.00M,-2.055B,-0.66,0.0,,,-0.66,-0.66,-0.66,0.0,,,-0.66,-0.66,2.324B,2.324B
2008-12,24.59B,24.59B,,2.282B,,,480.00M,-480.00M,57.31B,59.60B,480.00M,-480.00M,21.48B,-480.00M,148.00M,-167.00M,315.00M,,-198.00M,117.00M,117.00M,739.00M,628.00M,0.05,,,,0.05,0.05,0.05,,,,0.05,0.05,2.324B,2.324B
2008-09,27.93B,27.93B,,1.861B,,,514.00M,-514.00M,3.394B,5.255B,514.00M,-514.00M,21.41B,-514.00M,1.502B,294.00M,1.208B,,-151.00M,1.057B,1.057B,,2.016B,0.4547,0.0,,,0.4547,0.4547,0.4547,0.0,,,0.4547,0.4547,2.324B,2.324B
2008-06,30.09B,30.09B,,2.049B,,,493.00M,-493.00M,3.303B,5.352B,493.00M,-493.00M,20.78B,-493.00M,4.471B,1.443B,3.028B,,-148.00M,2.88B,2.88B,,4.964B,1.239,0.0,,,1.239,1.239,1.239,0.0,,,1.239,1.239,2.323B,2.323B
2008-03,25.18B,25.18B,,1.86B,,,476.00M,-476.00M,3.351B,5.211B,476.00M,-476.00M,18.87B,-476.00M,1.453B,408.00M,1.045B,,-105.00M,940.00M,940.00M,,1.929B,0.4047,0.0,,,0.4047,0.4047,0.4047,0.0,,,0.4047,0.4047,2.323B,2.323B
2007-12,28.04B,28.04B,1.964B,1.964B,,,497.00M,-497.00M,15.58B,17.54B,497.00M,-497.00M,19.08B,-497.00M,4.426B,1.392B,3.034B,,-87.00M,2.947B,2.947B,,4.923B,1.2690000000000001,0.0,,,1.2690000000000001,1.2690000000000001,1.2690000000000001,,,,1.2690000000000001,1.2690000000000001,2.321B,2.322B
2007-09,29.94B,29.94B,,1.732B,,,481.00M,-481.00M,15.61B,17.34B,481.00M,-481.00M,17.75B,-481.00M,6.847B,2.197B,4.65B,,-97.00M,4.553B,4.553B,,7.328B,1.9609999999999999,0.0,,,1.9609999999999999,1.9609999999999999,1.9609999999999999,0.0,,,1.9609999999999999,1.9609999999999999,2.321B,2.321B
2007-06,27.35B,27.35B,,1.761B,,,469.00M,-469.00M,15.32B,17.09B,469.00M,-469.00M,17.79B,-469.00M,4.816B,1.617B,3.199B,,-81.00M,3.118B,3.118B,,5.285B,1.345,0.0,,,1.345,1.345,1.345,0.0,,,1.345,1.345,2.318B,2.318B
2007-03,32.92B,32.92B,,1.641B,,,463.00M,-463.00M,14.16B,15.80B,463.00M,-463.00M,16.30B,-463.00M,4.072B,1.388B,2.684B,,-89.00M,2.595B,2.595B,,4.535B,1.121,0.0,,,1.121,1.121,1.121,0.0,,,1.121,1.121,2.314B,2.314B
2006-12,26.23B,26.23B,1.554B,1.554B,,,453.00M,-453.00M,12.89B,14.44B,453.00M,-453.00M,16.16B,-453.00M,5.262B,1.604B,3.841B,,,3.583B,3.583B,,5.715B,1.5490000000000002,0.0,,,1.5490000000000002,1.5490000000000002,1.548,,,,1.548,1.548,2.314B,2.314B
2006-09,25.36B,25.36B,,1.56B,,,463.00M,-463.00M,14.46B,16.02B,463.00M,-463.00M,17.62B,-463.00M,4.301B,1.451B,2.772B,,,2.772B,2.772B,,4.764B,1.198,0.0,,,1.198,1.198,1.198,0.0,,,1.198,1.198,2.313B,2.313B
2006-06,24.18B,24.18B,,1.44B,,,446.00M,-446.00M,13.82B,15.26B,446.00M,-446.00M,16.77B,-446.00M,3.602B,1.208B,2.30B,,47.00M,2.347B,2.347B,,4.048B,1.015,0.0,,,1.015,1.015,1.015,0.0,,,1.015,1.015,2.312B,2.312B
2006-03,22.76B,22.76B,,1.378B,,,362.00M,-362.00M,12.81B,14.19B,362.00M,-362.00M,15.41B,-362.00M,3.613B,1.242B,2.255B,,58.00M,2.313B,2.313B,,3.975B,1.001,0.0,,,1.001,1.001,1.001,0.0,,,1.001,1.001,2.311B,2.311B
2005-12,25.37B,25.37B,,1.506B,,,169.00M,-169.00M,13.28B,14.78B,169.00M,-169.00M,15.76B,-169.00M,7.829B,2.636B,5.234B,,-145.00M,5.13B,5.13B,,7.998B,2.221,0.0,,,2.221,2.221,2.22,,,,2.22,2.22,2.311B,2.311B
2005-09,20.53B,20.53B,,1.289B,,,193.00M,-193.00M,11.07B,12.36B,193.00M,-193.00M,13.14B,-193.00M,835.00M,232.00M,569.00M,,17.00M,586.00M,586.00M,,1.028B,0.254,0.0,,,0.254,0.254,0.254,0.0,,,0.254,0.254,2.310B,2.310B
2005-06,18.13B,18.13B,,1.242B,,,195.00M,-195.00M,10.32B,11.56B,195.00M,-195.00M,12.36B,-195.00M,2.154B,691.00M,1.435B,,14.00M,1.449B,1.449B,,2.349B,0.6273,0.0,,,0.6273,0.6273,0.6273,0.0,,,0.6273,0.6273,2.309B,2.309B
2005-03,17.63B,17.63B,,1.291B,,,166.00M,-166.00M,9.365B,10.66B,166.00M,-166.00M,11.26B,-166.00M,1.973B,600.00M,1.353B,,10.00M,1.363B,1.363B,,2.139B,0.5907,0.0,,,0.5907,0.5907,0.5907,0.0,,,0.5907,0.5907,2.309B,2.309B
2004-12,20.03B,20.03B,,1.335B,,,131.00M,-131.00M,13.02B,14.35B,131.00M,-131.00M,13.45B,-131.00M,4.928B,1.57B,3.398B,,-99.00M,3.339B,3.339B,,5.059B,1.4480000000000002,,,,1.4480000000000002,1.4480000000000002,1.4469999999999998,,,,1.4469999999999998,1.4469999999999998,2.307B,2.308B
2004-09,19.17B,19.17B,1.231B,1.231B,,,112.00M,-112.00M,9.265B,10.50B,112.00M,-112.00M,11.37B,-112.00M,1.794B,649.00M,1.137B,,8.00M,1.137B,1.137B,,1.906B,0.4927,0.0,,,0.4927,0.4927,0.4927,0.0,,,0.4927,0.4927,2.307B,2.307B
2004-06,18.00B,18.00B,,1.241B,,,245.00M,-245.00M,9.766B,11.01B,245.00M,-245.00M,12.10B,-245.00M,1.914B,617.00M,1.267B,,15.00M,1.282B,1.282B,,2.159B,0.556,0.0,,,0.556,0.556,0.556,0.0,,,0.556,0.556,2.306B,2.306B
2004-03,17.18B,17.18B,,1.182B,,,233.00M,-233.00M,8.763B,9.945B,233.00M,-233.00M,10.88B,-233.00M,2.30B,733.00M,1.533B,,17.00M,1.55B,1.55B,,2.533B,0.672,0.0,,,0.672,0.672,0.672,0.0,,,0.672,0.672,2.306B,2.306B
2003-12,19.86B,19.86B,,1.294B,,,118.00M,-118.00M,10.38B,11.68B,118.00M,-118.00M,11.14B,-118.00M,3.553B,1.156B,2.503B,,-117.00M,2.386B,2.386B,,3.671B,1.036,,,,1.036,1.036,1.035,,,,1.035,1.035,2.304B,2.305B
2003-09,18.23B,18.23B,,1.195B,,,98.00M,-98.00M,9.521B,10.72B,98.00M,-98.00M,11.70B,-98.00M,2.582B,766.00M,1.796B,,10.00M,1.806B,1.806B,,2.68B,0.784,0.0,,,0.784,0.784,0.784,0.0,,,0.784,0.784,2.303B,2.303B
2003-06,14.40B,14.40B,,919.00M,,,124.00M,-124.00M,4.896B,5.815B,124.00M,-124.00M,6.69B,-124.00M,3.335B,1.078B,2.201B,,28.00M,2.229B,2.229B,,3.459B,0.968,0.0,,,0.968,0.968,0.968,0.0,,,0.968,0.968,2.303B,2.303B
2003-03,11.38B,11.38B,,820.00M,,,132.00M,-132.00M,2.991B,3.811B,132.00M,-132.00M,4.558B,-132.00M,2.55B,805.00M,1.715B,,15.00M,1.73B,1.73B,,2.682B,0.7513,0.0,,,0.7513,0.7513,0.7513,0.0,,,0.7513,0.7513,2.302B,2.302B
2002-12,25.38B,25.38B,,690.00M,,,180.00M,-180.00M,,690.00M,180.00M,-180.00M,,-180.00M,,626.00M,0.00,,-36.00M,-36.00M,,,770.00M,0.514,,,,0.514,0.514,,,,,0.514,,2.302B,2.302B
2002-09,5.852B,5.852B,809.00M,809.00M,,,176.00M,-176.00M,,809.00M,176.00M,-176.00M,,-176.00M,,515.00M,0.00,,-8.00M,-8.00M,,,683.00M,0.496,0.0,,,0.496,0.496,0.496,0.0,,,0.496,0.496,2.301B,2.301B
2002-06,9.886B,9.886B,776.00M,776.00M,0.00,,49.00M,-49.00M,3.081B,3.857B,49.00M,-49.00M,4.078B,-49.00M,1.547B,485.00M,1.045B,,17.00M,1.045B,1.045B,0.00,1.596B,0.45399999999999996,0.0,,,0.45399999999999996,0.45399999999999996,0.45399999999999996,0.0,,,0.45399999999999996,0.45399999999999996,2.301B,2.301B
2002-03,9.255B,9.255B,758.00M,758.00M,0.00,,46.00M,-46.00M,2.643B,3.401B,46.00M,-46.00M,3.279B,-46.00M,1.39B,460.00M,916.00M,,14.00M,916.00M,916.00M,0.00,1.436B,0.3987,0.0,,,0.3987,0.3987,0.3987,0.0,,,0.3987,0.3987,2.296B,2.296B
2001-12,22.22B,22.22B,,490.00M,,,251.00M,-251.00M,,490.00M,251.00M,-251.00M,,-251.00M,,139.00M,0.00,,-80.00M,-80.00M,,,310.00M,0.042,,,,0.042,0.042,,,,,0.042,,2.292B,2.292B
2001-09,5.312B,5.312B,759.00M,759.00M,,,254.00M,-254.00M,,759.00M,254.00M,-254.00M,,-254.00M,,-361.00M,0.00,,-6.00M,-6.00M,,,-113.00M,-0.2967,0.0,,,-0.2967,-0.2967,-0.2967,0.0,,,-0.2967,-0.2967,2.291B,2.291B
2001-06,6.062B,6.062B,756.00M,756.00M,,,57.00M,-57.00M,,756.00M,57.00M,-57.00M,,-57.00M,,473.00M,0.00,,21.00M,21.00M,,,551.00M,0.3373,0.0,,,0.3373,0.3373,0.3373,0.0,,,0.3373,0.3373,2.291B,2.291B
2001-03,8.135B,8.135B,730.00M,730.00M,142.00M,,60.00M,-60.00M,2.301B,3.173B,60.00M,-60.00M,2.764B,-60.00M,957.00M,339.00M,606.00M,,12.00M,606.00M,606.00M,142.00M,1.017B,0.2647,0.0,,,0.2647,0.2647,0.2647,0.0,,,0.2647,0.2647,2.290B,2.290B
2000-12,13.44B,13.44B,,534.00M,346.00M,,811.00M,-811.00M,4.101B,4.981B,811.00M,-811.00M,4.172B,-811.00M,1.792B,680.00M,1.325B,,-454.00M,1.084B,1.084B,346.00M,2.603B,0.474,,,,0.474,0.474,0.4735,,,,0.4735,0.4735,2.289B,2.289B
2000-09,8.426B,8.426B,413.00M,413.00M,124.00M,,38.00M,-38.00M,415.00M,952.00M,38.00M,-38.00M,1.35B,-38.00M,1.376B,479.00M,797.00M,,100.00M,797.00M,797.00M,124.00M,1.414B,0.3487,0.0,,,0.3487,0.3487,0.3487,0.0,,,0.3487,0.3487,2.286B,2.286B
2000-06,6.553B,6.553B,378.00M,378.00M,123.00M,,34.00M,-34.00M,337.00M,838.00M,34.00M,-34.00M,1.13B,-34.00M,1.114B,395.00M,640.00M,,79.00M,640.00M,640.00M,123.00M,1.148B,0.2807,0.0,,,0.2807,0.2807,0.2807,0.0,,,0.2807,0.2807,2.282B,2.282B
2000-03,6.474B,6.474B,378.00M,378.00M,122.00M,,33.00M,-33.00M,1.088B,1.588B,33.00M,-33.00M,1.25B,-33.00M,1.305B,464.00M,807.00M,,34.00M,807.00M,807.00M,122.00M,1.338B,0.354,0.0,,,0.354,0.354,0.354,0.0,,,0.354,0.354,2.281B,2.281B
