,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,AsOriginallyReported,Restated
2018-03,892.91M,963.56M,357.21M,606.36M,487.74M,16.41M,51.65M,-59.27M,35.06M,-35.06M,,555.80M,50.56M,35.06M,-35.06M,-58.37M,-35.06M,-42.87M,-23.28M,-19.59M,,-19.59M,23.68M,60.24M,68.06M,2018-03,-0.22,,,0.2554,2018-03,-0.22,,,0.2554,2018-03,91.00M,91.00M,AOR,Restated
2017-12,839.86M,1.015B,398.38M,616.13M,465.37M,18.26M,53.26M,-16.35M,39.32M,-36.31M,,536.89M,79.24M,39.32M,-36.31M,-14.55M,-36.31M,28.38M,-78.93M,107.31M,,107.31M,117.11M,139.22M,71.52M,2017-12,1.18,,,1.288,2017-12,1.16,,,1.262,2017-12,91.11M,96.40M,AOR,Restated
2017-09,828.08M,828.08M,332.21M,495.88M,421.16M,17.34M,51.22M,-30.50M,38.76M,-38.76M,,489.73M,6.151M,38.76M,-38.76M,-29.33M,-38.76M,-61.94M,-13.76M,-48.18M,,-48.18M,-24.45M,45.39M,68.56M,2017-09,-0.53,,,-0.2682,2017-09,-0.53,,,-0.2682,2017-09,90.62M,90.62M,AOR,Restated
2017-06,843.73M,843.73M,352.00M,491.73M,408.23M,18.06M,65.50M,-98.33M,43.96M,-43.96M,,491.78M,-0.056M,43.96M,-43.96M,-98.74M,-43.96M,-142.75M,-50.47M,-92.28M,,-92.28M,-28.76M,-15.24M,83.56M,2017-06,-1.03,,,-0.3186,2017-06,-1.03,,,-0.3186,2017-06,89.30M,89.30M,AOR,Restated
2017-03,625.17M,625.17M,237.61M,387.56M,304.24M,10.24M,6.29M,-13.27M,5.906M,-5.906M,,320.77M,66.79M,5.906M,-5.906M,-12.38M,-5.906M,48.50M,12.06M,36.43M,,36.43M,46.40M,70.93M,16.53M,2017-03,0.44,,,0.5603,2017-03,0.43,,,0.5485,2017-03,82.84M,84.10M,AOR,Restated
2016-12,703.22M,703.22M,279.06M,424.15M,289.86M,9.782M,6.183M,-9.64M,8.271M,-5.822M,,305.83M,118.33M,8.271M,-5.822M,-6.32M,-5.822M,106.18M,39.70M,66.48M,,66.48M,72.52M,130.42M,15.96M,2016-12,0.80,,,0.8730,2016-12,0.79,,,0.8619,2016-12,82.64M,84.00M,AOR,Restated
2016-09,574.06M,574.06M,223.12M,350.94M,269.90M,9.531M,6.221M,-16.56M,5.932M,-5.932M,,285.65M,65.28M,5.932M,-5.932M,-14.60M,-5.932M,44.75M,14.26M,30.48M,,30.48M,41.76M,66.43M,15.75M,2016-09,0.37,,,0.5064,2016-09,0.36,,,0.4945,2016-09,82.64M,83.80M,AOR,Restated
2016-06,610.00M,610.00M,231.42M,378.58M,272.01M,9.025M,6.21M,-8.033M,7.356M,-7.356M,,287.24M,91.33M,7.356M,-7.356M,-6.785M,-7.356M,77.19M,25.56M,51.63M,,51.63M,57.00M,99.78M,15.24M,2016-06,0.63,,,0.6951,2016-06,0.62,,,0.6842,2016-06,82.56M,83.71M,AOR,Restated
2016-03,557.27M,557.27M,212.04M,345.22M,257.41M,8.834M,6.183M,-8.368M,6.006M,-6.006M,,272.43M,72.80M,6.006M,-6.006M,-6.484M,-6.006M,60.31M,15.32M,44.99M,,44.99M,51.23M,81.33M,15.02M,2016-03,0.55,,,0.6257,2016-03,0.54,,,0.6148,2016-03,82.45M,83.46M,AOR,Restated
2015-12,643.77M,643.77M,257.22M,386.55M,258.81M,8.85M,6.359M,-10.91M,7.779M,-6.013M,,274.02M,112.53M,7.779M,-6.013M,-9.853M,-6.013M,96.67M,30.90M,65.76M,,65.76M,73.19M,119.66M,15.21M,2015-12,0.80,,,0.8898,2015-12,0.78,,,0.8685,2015-12,82.68M,83.92M,AOR,Restated
2015-09,500.17M,500.17M,193.60M,306.56M,236.36M,8.51M,2.737M,-6.488M,6.049M,-6.049M,,247.60M,58.96M,6.049M,-6.049M,-1.121M,-6.049M,51.79M,21.43M,30.37M,,30.37M,34.26M,70.03M,12.19M,2015-09,0.37,,,0.4169,2015-09,0.36,,,0.4063,2015-09,82.99M,84.11M,AOR,Restated
2015-06,547.94M,547.94M,210.50M,337.44M,237.99M,8.44M,2.107M,-3.683M,5.24M,-5.24M,,248.54M,88.90M,5.24M,-5.24M,-4.151M,-5.24M,79.51M,28.36M,51.16M,,51.16M,53.52M,95.30M,9.606M,2015-06,0.61,,,0.6385,2015-06,0.61,,,0.6381,2015-06,83.20M,84.27M,AOR,Restated
2015-03,471.19M,471.19M,177.76M,293.42M,229.52M,7.989M,2.139M,-5.092M,3.48M,-3.48M,,239.65M,53.77M,3.48M,-3.48M,-6.054M,-3.48M,44.24M,15.89M,28.35M,,28.35M,31.61M,57.85M,10.13M,2015-03,0.33,,,0.3677,2015-03,0.32,,,0.3572,2015-03,86.54M,87.77M,AOR,Restated
2014-12,583.98M,583.98M,235.88M,348.10M,235.89M,8.061M,2.463M,-5.852M,4.714M,-3.301M,,246.41M,101.69M,4.714M,-3.301M,-6.103M,-3.301M,92.29M,33.14M,59.14M,,59.14M,62.89M,107.53M,10.52M,2014-12,0.67,,,0.7128,2014-12,0.66,,,0.7021,2014-12,87.64M,89.06M,AOR,Restated
2014-09,470.94M,470.94M,188.06M,282.88M,217.02M,7.945M,2.505M,-6.015M,2.656M,-2.656M,,227.48M,55.41M,2.656M,-2.656M,-6.302M,-2.656M,46.45M,12.60M,33.85M,,33.85M,38.23M,59.55M,10.45M,2014-09,0.38,,,0.4295,2014-09,0.38,,,0.4289,2014-09,88.51M,89.71M,AOR,Restated
2014-06,519.82M,519.82M,203.18M,316.64M,218.54M,7.721M,1.979M,-6.644M,2.68M,-2.68M,,228.24M,88.40M,2.68M,-2.68M,-6.469M,-2.68M,79.26M,26.22M,53.04M,,53.04M,57.48M,91.64M,9.70M,2014-06,0.59,,,0.6397,2014-06,0.58,,,0.6290,2014-06,89.52M,90.74M,AOR,Restated
2014-03,446.70M,446.70M,170.82M,275.88M,204.62M,7.459M,1.279M,-3.356M,2.25M,-2.25M,,213.36M,62.53M,2.25M,-2.25M,-3.585M,-2.25M,56.69M,18.96M,37.74M,,37.74M,39.97M,67.68M,8.738M,2014-03,0.41,,,0.4344,2014-03,0.40,,,0.4240,2014-03,91.67M,93.21M,AOR,Restated
2013-12,520.71M,520.71M,210.11M,310.60M,212.80M,7.621M,1.357M,-0.059M,3.684M,-2.133M,,221.78M,88.82M,3.684M,-2.133M,-0.211M,-2.133M,86.47M,25.05M,61.42M,,61.42M,61.46M,99.13M,8.978M,2013-12,0.67,,,0.6705,2013-12,0.65,,,0.6504,2013-12,92.20M,94.02M,AOR,Restated
2013-09,410.70M,410.70M,161.74M,248.97M,181.55M,7.258M,1.351M,-0.072M,2.124M,-2.124M,,190.16M,58.82M,2.124M,-2.124M,-0.067M,-2.124M,56.62M,18.43M,38.19M,,38.19M,38.24M,67.36M,8.609M,2013-09,0.41,,,0.4105,2013-09,0.40,,,0.4005,2013-09,92.69M,94.36M,AOR,Restated
2013-06,446.05M,446.05M,177.90M,268.14M,185.63M,7.017M,1.404M,-0.106M,2.144M,-2.144M,,194.05M,74.09M,2.144M,-2.144M,-0.386M,-2.144M,71.56M,25.05M,46.51M,,46.51M,46.58M,82.13M,8.421M,2013-06,0.50,,,0.5007,2013-06,0.49,,,0.4907,2013-06,93.57M,95.19M,AOR,Restated
2013-03,406.75M,406.75M,163.74M,243.02M,180.48M,7.10M,1.334M,-0.10M,2.436M,-2.436M,,188.91M,54.10M,2.436M,-2.436M,0.111M,-2.436M,51.78M,15.10M,36.68M,,36.68M,36.75M,62.65M,8.434M,2013-03,0.39,,,0.3908,2013-03,0.38,,,0.3807,2013-03,93.60M,95.54M,AOR,Restated
2012-12,474.75M,474.75M,200.21M,274.54M,186.22M,6.991M,1.373M,-0.294M,3.348M,-2.302M,,194.58M,79.96M,3.348M,-2.302M,0.256M,-2.302M,77.91M,19.09M,58.82M,,58.82M,59.04M,89.62M,8.364M,2012-12,0.63,,,0.6324,2012-12,0.61,,,0.6123,2012-12,93.49M,96.00M,AOR,Restated
2012-09,374.41M,374.41M,151.14M,223.26M,164.89M,6.301M,1.362M,-0.944M,2.209M,-2.209M,,172.55M,50.71M,2.209M,-2.209M,-1.692M,-2.209M,46.81M,15.44M,31.38M,,31.38M,32.01M,56.68M,7.663M,2012-09,0.34,,,0.3468,2012-09,0.33,,,0.3366,2012-09,93.52M,95.61M,AOR,Restated
2012-06,397.48M,397.48M,161.25M,236.24M,165.22M,6.182M,0.928M,-1.182M,2.153M,-2.153M,,172.33M,63.90M,2.153M,-2.153M,-1.258M,-2.153M,60.49M,19.01M,41.48M,,41.48M,42.29M,69.76M,7.11M,2012-06,0.44,,,0.4487,2012-06,0.43,,,0.4385,2012-06,93.35M,95.42M,AOR,Restated
2012-03,369.17M,369.17M,146.46M,222.71M,162.52M,5.895M,0.739M,0.00,2.195M,-2.195M,,169.15M,53.56M,2.195M,-2.195M,-0.978M,-2.195M,50.38M,16.16M,34.22M,,34.22M,34.22M,59.21M,6.634M,2012-03,0.37,,,0.37,2012-03,0.36,,,0.36,2012-03,93.42M,96.20M,AOR,Restated
2011-12,427.69M,427.69M,180.28M,247.41M,170.82M,6.396M,0.737M,1.494M,,-2.104M,,177.95M,69.46M,,-2.104M,-0.417M,-2.104M,66.94M,21.92M,45.02M,,45.02M,44.02M,75.93M,7.133M,2011-12,0.48,0.00,,0.4694,2011-12,0.46,0.00,,0.4496,2011-12,94.69M,96.98M,AOR,Restated
2011-09,345.78M,345.78M,142.70M,203.09M,148.46M,6.638M,0.739M,-0.541M,,-2.282M,,155.84M,47.25M,,-2.282M,-0.541M,-2.282M,44.43M,13.96M,30.46M,,30.46M,30.83M,54.63M,7.377M,2011-09,0.32,0.00,,0.3239,2011-09,0.31,0.00,,0.3138,2011-09,96.06M,98.26M,AOR,Restated
2011-06,365.54M,365.54M,152.46M,213.08M,152.76M,6.234M,2.522M,-0.571M,2.797M,-2.797M,,161.51M,51.57M,2.797M,-2.797M,-0.571M,-2.797M,48.20M,15.98M,32.22M,,32.22M,32.60M,59.75M,8.756M,2011-06,0.33,0.00,,0.3339,2011-06,0.32,0.00,,0.3238,2011-06,96.89M,99.34M,AOR,Restated
2011-03,329.57M,329.57M,133.32M,196.25M,141.67M,6.271M,2.527M,-0.382M,2.784M,-2.784M,,150.47M,45.78M,2.784M,-2.784M,-0.382M,-2.784M,42.62M,13.42M,29.19M,,29.19M,29.45M,54.20M,8.798M,2011-03,0.30,0.00,,0.3027,2011-03,0.29,0.00,,0.2926,2011-03,96.44M,99.45M,AOR,Restated
2010-12,382.30M,382.30M,164.96M,217.34M,154.80M,6.131M,2.531M,-1.549M,7.203M,-6.047M,,163.46M,53.89M,7.203M,-6.047M,-1.113M,-6.047M,46.73M,10.03M,36.69M,,36.69M,37.91M,62.59M,8.662M,2010-12,0.39,,,0.4027,2010-12,0.36,,,0.3721,2010-12,95.89M,100.58M,AOR,Restated
2010-09,296.12M,296.12M,125.90M,170.22M,127.49M,6.194M,2.531M,-1.622M,3.005M,-3.005M,,136.21M,34.01M,3.005M,-3.005M,-1.622M,-3.005M,29.38M,9.31M,20.08M,,20.08M,21.18M,41.12M,8.725M,2010-09,0.21,0.00,,0.2216,2010-09,0.20,0.00,,0.2112,2010-09,95.47M,98.80M,AOR,Restated
2010-06,314.20M,314.20M,138.34M,175.86M,130.32M,6.44M,2.537M,-2.973M,3.18M,-3.18M,,139.30M,36.56M,3.18M,-3.18M,-2.973M,-3.18M,30.41M,10.29M,20.11M,,20.11M,22.08M,42.56M,8.977M,2010-06,0.21,0.00,,0.2306,2010-06,0.20,0.00,,0.2199,2010-06,95.66M,98.86M,AOR,Restated
2010-03,295.83M,295.83M,123.05M,172.79M,130.57M,6.584M,2.926M,-1.759M,3.384M,-3.384M,,140.08M,32.71M,3.384M,-3.384M,-1.759M,-3.384M,27.57M,8.163M,19.40M,,19.40M,20.64M,40.46M,9.51M,2010-03,0.20,0.00,,0.2129,2010-03,0.19,0.00,,0.2024,2010-03,95.69M,99.65M,AOR,Restated
2009-12,328.83M,328.83M,146.50M,182.33M,131.02M,6.211M,0.416M,-3.348M,3.757M,-2.927M,,137.65M,44.68M,3.757M,-2.927M,-3.348M,-2.927M,38.40M,12.69M,25.72M,,25.72M,27.96M,48.79M,6.627M,2009-12,0.27,0.00,,0.2935,2009-12,0.26,0.00,,0.2825,2009-12,95.49M,99.54M,AOR,Restated
2009-09,267.47M,267.47M,118.12M,149.35M,115.05M,6.363M,0.416M,-0.127M,4.914M,-4.914M,,121.83M,27.52M,4.914M,-4.914M,-0.127M,-4.914M,22.48M,2.413M,20.07M,,20.07M,20.18M,34.17M,6.779M,2009-09,0.21,0.00,,0.2112,2009-09,0.21,0.00,,0.2112,2009-09,94.87M,97.66M,AOR,Restated
2009-06,269.97M,269.97M,117.10M,152.87M,115.37M,6.338M,0.405M,-1.132M,4.011M,-4.011M,,122.11M,30.76M,4.011M,-4.011M,-1.132M,-4.011M,25.62M,8.433M,17.18M,,17.18M,17.94M,36.37M,6.743M,2009-06,0.18,0.00,,0.1880,2009-06,0.18,0.00,,0.1879,2009-06,94.37M,96.52M,AOR,Restated
2009-03,273.53M,273.53M,116.64M,156.89M,115.56M,6.475M,0.399M,-1.246M,4.18M,-4.18M,,122.44M,34.45M,4.18M,-4.18M,-1.246M,-4.18M,29.02M,9.029M,20.00M,,20.00M,20.85M,40.08M,6.874M,2009-03,0.21,0.00,,0.2191,2009-03,0.21,0.00,,0.2190,2009-03,93.90M,95.76M,AOR,Restated
2008-12,347.32M,347.32M,169.75M,177.57M,114.51M,6.88M,0.40M,0.129M,,,,121.79M,55.78M,,,0.129M,,51.31M,17.67M,33.65M,0.00,33.65M,33.56M,65.82M,6.408M,2008-12,0.36,0.00,,0.3591,2008-12,0.35,0.00,,0.3491,2008-12,93.81M,96.86M,AOR,Restated
2008-09,297.71M,297.71M,124.34M,173.36M,131.85M,6.427M,0.40M,-0.86M,,,,138.68M,34.68M,,,-0.86M,,28.82M,10.04M,18.78M,,18.78M,19.34M,41.93M,7.251M,2008-09,0.20,0.00,,0.2059,2008-09,0.19,0.00,,0.1957,2008-09,94.54M,98.55M,,
2008-06,343.94M,343.94M,152.15M,191.79M,137.75M,6.064M,0.401M,-0.15M,,,,144.21M,47.58M,,,-0.15M,,42.46M,12.34M,30.13M,-0.228M,29.90M,30.23M,54.30M,6.729M,2008-06,0.32,0.00,,0.3211,2008-06,0.30,0.00,,0.3011,2008-06,94.84M,98.90M,,
2008-03,290.10M,290.10M,125.96M,164.14M,130.89M,6.509M,0.414M,0.523M,,,,137.81M,26.33M,,,0.523M,,22.14M,7.545M,14.59M,,14.59M,14.25M,33.44M,7.107M,2008-03,0.15,0.07,,0.1465,2008-03,0.14,0.07,,0.1366,2008-03,97.79M,101.36M,,
2007-12,327.67M,327.67M,135.67M,192.00M,120.90M,6.296M,0.457M,1.114M,,,,118.57M,73.42M,,,1.114M,,60.18M,24.25M,35.93M,,38.82M,35.26M,77.20M,5.597M,2007-12,0.37,0.01,,0.3634,2007-12,0.35,0.01,,0.3437,2007-12,101.94M,106.21M,,Restated
2007-09,273.12M,273.12M,127.21M,145.91M,115.56M,6.255M,0.509M,0.303M,,,,122.33M,23.58M,,,0.303M,,18.66M,6.166M,12.49M,0.831M,13.32M,12.29M,30.59M,7.006M,2007-09,0.11,0.01,,0.1081,2007-09,0.10,0.01,,0.0981,2007-09,104.73M,109.20M,,
2007-06,303.49M,303.49M,144.21M,159.28M,120.52M,6.012M,0.596M,-7.27M,,,9.084M,136.22M,23.06M,,,-7.27M,,19.48M,5.433M,14.05M,,14.05M,19.29M,29.89M,6.829M,2007-06,0.13,0.00,,0.1803,2007-06,0.13,0.00,,0.1778,2007-06,104.26M,109.57M,,
2007-03,264.20M,264.20M,123.36M,140.84M,115.11M,5.735M,0.529M,-0.038M,,,,121.37M,19.47M,,,-0.038M,,13.17M,4.192M,8.977M,,8.977M,9.003M,26.43M,6.957M,2007-03,0.09,-0.01,,0.0902,2007-03,0.09,-0.01,,0.0902,2007-03,103.52M,108.26M,,
2006-12,303.94M,303.94M,146.44M,157.50M,110.11M,5.846M,0.47M,0.265M,,,,117.88M,39.62M,,,0.265M,,37.45M,14.88M,22.57M,,22.57M,22.41M,46.96M,7.337M,2006-12,0.20,0.00,,0.1986,2006-12,0.19,0.00,,0.1886,2006-12,111.48M,116.78M,,
2006-09,241.36M,241.36M,116.26M,125.10M,99.81M,5.84M,3.484M,-0.541M,,,,109.14M,15.96M,,,-0.541M,,11.57M,1.966M,9.608M,,9.608M,10.06M,25.49M,9.527M,2006-09,0.08,0.00,,0.0840,2006-09,0.08,0.00,,0.0839,2006-09,113.52M,116.26M,,
2006-06,284.09M,284.09M,137.28M,146.81M,106.70M,6.098M,3.416M,0.173M,,,,116.22M,30.60M,,,0.173M,,26.29M,8.045M,18.24M,,18.24M,18.12M,40.31M,9.716M,2006-06,0.16,0.00,,0.1589,2006-06,0.16,0.00,,0.1590,2006-06,113.52M,115.74M,,
2006-03,230.93M,230.93M,105.35M,125.58M,99.47M,5.66M,3.383M,-2.144M,,,1.45M,109.96M,15.62M,,,-2.144M,,10.56M,2.793M,7.77M,,7.77M,9.347M,24.86M,9.244M,2006-03,0.07,0.00,,0.0839,2006-03,0.07,0.00,,0.0836,2006-03,113.77M,115.80M,,
2005-12,289.30M,289.30M,138.71M,150.59M,80.17M,6.786M,3.377M,-31.41M,,,30.51M,120.85M,29.74M,,,-31.41M,,25.55M,10.74M,14.81M,,14.81M,33.66M,40.10M,10.36M,2005-12,0.13,0.00,,0.2964,2005-12,0.13,0.00,,0.2964,2005-12,113.27M,113.27M,,
2005-09,225.31M,225.31M,112.10M,113.21M,100.31M,6.214M,3.451M,-2.185M,,,2.046M,112.02M,1.186M,,,-2.185M,,-2.073M,-0.352M,-1.721M,,-1.721M,0.0930M,12.08M,10.89M,2005-09,-0.02,0.00,,-0.0039,2005-09,-0.02,0.00,,-0.0039,2005-09,112.54M,112.54M,,
2005-06,274.57M,274.57M,140.52M,134.05M,102.73M,6.423M,3.37M,-18.72M,,,16.39M,128.91M,5.138M,,,-18.72M,,-0.501M,0.318M,-0.819M,,-0.819M,10.41M,14.93M,9.571M,2005-06,-0.01,0.00,,0.0904,2005-06,-0.01,0.00,,0.0904,2005-06,111.88M,111.88M,,
2005-03,199.82M,199.82M,95.28M,104.55M,91.55M,6.079M,0.028M,-23.09M,,,17.68M,115.33M,-10.79M,,,-23.09M,,-17.54M,-2.834M,-14.71M,,-14.71M,4.652M,-4.457M,6.329M,2005-03,-0.13,0.00,,0.0439,2005-03,-0.13,0.00,,0.0439,2005-03,111.32M,111.32M,,
2004-12,255.41M,255.41M,124.44M,130.97M,110.10M,6.28M,-0.642M,-1.11M,,,,115.74M,15.22M,,,-1.11M,,12.78M,7.548M,5.237M,,5.237M,5.903M,20.86M,5.633M,2004-12,0.05,0.00,,0.0560,2004-12,0.04,0.00,,0.0459,2004-12,110.28M,112.54M,,
2004-09,201.89M,201.89M,100.20M,101.69M,89.42M,6.589M,0.203M,-2.373M,,,,96.22M,5.477M,,,-2.373M,,2.502M,2.342M,0.16M,,0.16M,1.584M,12.27M,6.797M,2004-09,0.00,0.00,,0.0117,2004-09,0.00,0.00,,0.0115,2004-09,121.77M,124.32M,,
2004-06,227.86M,227.86M,114.39M,113.47M,81.59M,6.844M,0.19M,-9.367M,,,9.063M,97.68M,15.79M,,,-9.367M,,15.85M,4.824M,11.03M,,11.03M,17.54M,22.82M,7.034M,2004-06,0.08,0.00,,0.1293,2004-06,0.08,0.00,,0.1282,2004-06,132.13M,135.34M,,
2004-03,208.67M,208.67M,95.48M,113.19M,87.63M,7.937M,0.936M,-13.61M,,,10.51M,107.02M,6.171M,,,-13.61M,,3.323M,2.859M,0.464M,,0.464M,8.628M,15.04M,8.873M,2004-03,0.00,0.00,,0.0626,2004-03,0.00,0.00,,0.0613,2004-03,130.31M,133.18M,,
2003-12,243.94M,243.94M,110.52M,133.43M,89.88M,8.21M,0.212M,-25.06M,,,24.29M,122.59M,10.84M,,,-25.06M,,9.886M,3.009M,6.877M,,6.877M,24.31M,19.26M,8.422M,2003-12,0.05,0.00,,0.1876,2003-12,0.05,,,0.1876,2003-12,126.74M,126.74M,,
2003-09,196.90M,196.90M,94.38M,102.53M,79.17M,9.046M,0.32M,-0.046M,,,,88.54M,13.99M,,,-0.046M,,8.171M,2.697M,5.474M,,5.474M,5.505M,23.36M,9.366M,2003-09,0.07,0.00,,0.0704,2003-09,0.07,0.00,,0.0702,2003-09,78.03M,128.93M,,
2003-06,213.32M,213.32M,103.44M,109.88M,80.73M,8.964M,0.338M,5.452M,,,,90.03M,19.85M,,,5.452M,,19.76M,6.902M,12.85M,,12.85M,9.307M,29.15M,9.302M,2003-06,0.16,0.00,,0.1152,2003-06,0.13,0.00,,0.1023,2003-06,79.23M,127.96M,,
2003-03,204.28M,204.28M,102.33M,101.95M,83.50M,9.825M,0.405M,-4.86M,,,5.426M,99.16M,2.789M,,,-4.86M,,-2.257M,-0.745M,-1.512M,,-1.512M,1.744M,13.02M,10.23M,2003-03,-0.02,0.00,,0.0204,2003-03,-0.02,0.00,,0.0204,2003-03,80.49M,80.49M,,
2002-12,229.81M,229.81M,108.60M,121.21M,90.31M,11.15M,0.482M,-34.00M,,,32.17M,134.10M,-12.89M,,,-34.00M,,-20.02M,-5.604M,-14.42M,,-14.42M,10.06M,4.476M,17.36M,2002-12,-0.18,0.00,,0.1208,2002-12,-0.18,0.00,,0.1208,2002-12,81.38M,81.38M,,
2002-09,232.11M,220.53M,93.50M,127.02M,85.74M,11.66M,0.499M,-11.75M,,,0.00,97.90M,29.12M,,,-11.75M,,23.63M,8.034M,15.60M,,15.60M,23.35M,41.28M,12.16M,2002-09,0.19,0.00,,0.2845,2002-09,0.14,0.00,,0.2003,2002-09,82.13M,128.73M,,
2002-06,232.67M,236.16M,106.04M,130.11M,84.41M,10.58M,0.445M,1.409M,,,,95.43M,34.68M,,,1.409M,,27.32M,9.061M,18.26M,,18.26M,17.31M,45.70M,11.02M,2002-06,0.22,0.00,,0.2088,2002-06,0.16,0.00,,0.1529,2002-06,83.72M,132.30M,,
