,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-09,-1.721M,,,5.614M,25.56M,1.228M,10.89M,10.89M,-0.194M,,,,,,,-2.104M,-8.133M,-4.881M,2.063M,12.09M,,,13.63M,,2005-09,-3.979M,,-3.979M,-1.572M,1.30M,-3.523M,,2005-09,,-0.075M,4.702M,-4.532M,0.17M,,,0.00,0.095M,2005-09,70.48M,10.20M,-0.222M,,2005-09,4.702M,,,-4.532M,,,
2005-06,-0.819M,,,1.84M,-6.107M,-0.222M,9.571M,9.571M,-5.142M,,,,,,,23.27M,2.563M,10.31M,5.438M,-46.88M,-0.768M,,-0.614M,,2005-06,-3.21M,,-3.21M,-157.25M,,-160.42M,,2005-06,,69.12M,5.92M,,5.92M,,,-1.082M,73.96M,2005-06,158.72M,-87.08M,-1.158M,,2005-06,5.92M,,,,,,
2005-03,-14.71M,,,5.509M,6.107M,0.222M,6.329M,6.329M,-0.295M,,,,,,,20.25M,-3.676M,-31.29M,0.959M,30.74M,0.768M,,14.58M,,2005-03,-4.063M,,-4.063M,-2.501M,,-6.714M,,2005-03,,-10.00M,3.604M,,3.604M,,,,-6.396M,2005-03,160.13M,1.475M,-2.88M,,2005-03,3.604M,,,,,,
2004-12,5.237M,,,-7.043M,-21.96M,-0.744M,5.633M,5.633M,-9.022M,,,,,,,-35.64M,5.427M,33.65M,-5.228M,8.91M,,,1.927M,,2004-12,-6.068M,,-6.068M,,,-9.938M,,2004-12,,-12.82M,11.44M,346.15M,357.59M,,,-343.33M,1.442M,2004-12,156.64M,-6.569M,10.05M,,2004-12,11.44M,,,346.15M,,,
2004-09,0.16M,,,6.281M,21.96M,0.744M,6.797M,6.797M,0.001M,,,,,,,-0.789M,-6.738M,-1.474M,-2.884M,3.613M,,,4.967M,,2004-09,-9.839M,,-9.839M,,,-9.839M,,2004-09,,200.00M,18.62M,-346.15M,-327.53M,,,-2.821M,-130.35M,2004-09,291.00M,-135.22M,0.866M,,2004-09,18.62M,,,-346.15M,,,
2004-06,11.03M,,,3.88M,,,7.034M,7.034M,-0.134M,,,,,,,19.75M,1.313M,-6.024M,-0.232M,-20.00M,,,16.61M,,2004-06,-6.192M,,-6.192M,,,-6.192M,,2004-06,,,21.58M,-2.113M,19.47M,,,,19.47M,2004-06,262.74M,29.89M,-1.634M,,2004-06,21.58M,,,-2.113M,,,
2004-03,0.464M,,,5.201M,,,8.873M,8.873M,0.542M,,,,,,,30.39M,-0.79M,-24.76M,2.494M,2.285M,,,24.70M,,2004-03,-3.005M,,-3.005M,,,-3.005M,,2004-03,,,16.27M,-4.00M,12.27M,,,,12.27M,2004-03,229.96M,33.96M,-1.18M,,2004-03,16.27M,,,-4.00M,,,
2003-12,6.877M,,,3.373M,,,8.422M,8.422M,-4.655M,,,,,,,-38.67M,-3.695M,43.04M,-2.861M,7.497M,,,20.41M,,2003-12,-12.53M,,-12.53M,,-1.96M,-12.98M,,2003-12,,,20.70M,-11.05M,9.645M,,,-0.612M,9.033M,2003-12,206.94M,16.46M,6.563M,,2003-12,20.70M,,,-11.05M,,,
2003-09,5.474M,,,7.696M,,,9.366M,9.366M,0.02M,,,,,,,4.595M,-3.789M,1.609M,24.75M,-11.96M,,,37.75M,,2003-09,-6.636M,,-6.636M,,1.50M,-6.643M,,2003-09,,,18.38M,-8.876M,9.505M,,,-0.35M,9.155M,2003-09,166.68M,40.27M,-0.014M,,2003-09,18.38M,,,-8.876M,,,
2003-06,12.85M,,,0.728M,,,9.302M,9.302M,0.063M,,,,,,,38.12M,8.886M,-4.447M,-26.31M,5.257M,,,44.45M,,2003-06,-6.408M,,-6.408M,,-1.50M,-2.444M,,2003-06,,,0.554M,-16.70M,-16.14M,,,-0.22M,-16.36M,2003-06,135.43M,25.64M,5.612M,,2003-06,0.554M,,,-16.70M,,,
2003-03,-1.512M,,,6.042M,,,10.23M,10.23M,0.005M,,,,,,,25.93M,2.427M,-5.943M,1.80M,-5.257M,,,33.73M,,2003-03,-3.357M,,-3.357M,,,-3.357M,,2003-03,,,2.021M,-6.808M,-4.787M,,,,-4.787M,2003-03,109.66M,25.58M,0.192M,,2003-03,2.021M,,,-6.808M,,,
2002-09,15.60M,,,49.08M,,,12.16M,12.16M,3.909M,,,,,,,-7.952M,-8.946M,15.34M,4.453M,,,,32.76M,,2002-09,-5.938M,0.00,-5.938M,0.102M,0.002M,-7.342M,,2002-09,,0.00,2.144M,-12.94M,-10.79M,,,0.00,-10.79M,2002-09,109.89M,14.62M,0.28M,,2002-09,2.144M,,,-12.94M,,,
2002-06,18.26M,,,-29.17M,,,11.02M,11.02M,-0.52M,,,,,,,37.42M,4.43M,9.761M,6.182M,,,,57.38M,,2002-06,-4.788M,0.239M,-4.549M,-3.861M,-0.239M,-8.649M,,2002-06,,0.00,3.833M,-20.91M,-17.08M,,,-2.797M,-19.87M,2002-06,78.78M,28.86M,2.248M,,2002-06,3.833M,,,-20.91M,,,
2002-03,-4.316M,,,34.87M,,,10.85M,10.85M,-0.145M,,,,,,,19.76M,17.18M,-33.55M,3.857M,,,,48.50M,,2002-03,-3.853M,,-3.853M,-0.778M,6.262M,1.631M,,2002-03,,0.00,10.90M,-12.15M,-1.25M,,,2.559M,1.309M,2002-03,27.43M,51.44M,-0.096M,,2002-03,10.90M,,,-12.15M,,,
2001-12,19.04M,,,-16.05M,,,10.43M,10.43M,0.822M,,,,,,,-18.05M,13.41M,0.815M,-3.516M,,,,6.904M,,2001-12,-5.06M,,-5.06M,,,-5.06M,,2001-12,,-15.00M,5.286M,-1.047M,4.239M,,,,-10.76M,2001-12,37.13M,-8.917M,-0.78M,,2001-12,5.286M,,,-1.047M,,,
2001-09,-8.066M,,,59.88M,,-38.65M,14.59M,14.59M,-35.38M,,,,,,,-19.39M,-34.67M,52.56M,-8.943M,,,0.00,20.58M,,2001-09,-13.41M,,-13.41M,-3.169M,0.961M,-5.12M,,2001-09,,15.00M,2.847M,-32.41M,-29.57M,,,,-19.63M,2001-09,39.29M,-4.17M,2.007M,,2001-09,2.847M,,,-32.41M,,,
2001-06,-8.454M,,,-8.231M,,38.65M,14.06M,14.06M,-0.161M,,,,,,,25.79M,6.977M,8.931M,3.394M,,,-2.357M,39.95M,,2001-06,-16.21M,,-16.21M,0.00,2.681M,-13.53M,,2001-06,,-15.32M,1.575M,-2.485M,-0.91M,,,,-16.23M,2001-06,31.44M,10.19M,-2.341M,,2001-06,1.575M,,,-2.485M,,,
2001-03,-53.58M,,,71.95M,,,13.79M,13.79M,-0.196M,,,,,,,24.01M,-2.214M,-14.88M,5.428M,,,-17.91M,26.40M,,2001-03,-6.722M,,-6.722M,-8.842M,2.191M,-13.37M,,2001-03,,-9.679M,4.032M,0.007M,4.039M,,,,-5.64M,2001-03,24.32M,7.386M,-0.266M,,2001-03,4.032M,,,0.007M,,,
2000-12,3.897M,,,-18.28M,,,10.80M,10.80M,0.765M,,,,,,,-10.78M,3.864M,-33.46M,9.464M,,,-13.94M,-47.66M,,2000-12,-21.20M,,-21.20M,,8.604M,-12.60M,,2000-12,,25.00M,0.641M,-3.002M,-2.361M,,,,22.64M,2000-12,61.70M,-37.62M,0.246M,,2000-12,0.641M,,,-3.002M,,,
2000-09,3.913M,,,63.16M,,-29.48M,11.36M,11.36M,-11.92M,,,,,,,-52.77M,-0.173M,52.76M,-33.63M,,,-16.91M,15.79M,,2000-09,-20.58M,,-20.58M,-5.088M,30.85M,25.53M,,2000-09,,-31.67M,4.338M,0.001M,4.339M,,,-3.993M,-31.33M,2000-09,53.30M,9.996M,-1.602M,,2000-09,4.338M,,,0.001M,,,
2000-06,2.383M,,,10.75M,,29.48M,9.844M,9.844M,1.66M,,,,,,,14.02M,-4.327M,-8.158M,0.738M,10.96M,,-13.19M,24.69M,,2000-06,96.18M,,96.18M,-110.07M,59.63M,9.485M,,2000-06,,-27.39M,-0.133M,-19.97M,-20.10M,,,-1.361M,-48.85M,2000-06,69.49M,-14.68M,-1.503M,,2000-06,-0.133M,,,-19.97M,,,
2000-03,2.75M,,,43.60M,,,10.74M,10.74M,-0.299M,,,,,,0.10M,-28.88M,,5.614M,-7.904M,1.936M,,,27.66M,,2000-03,-88.47M,,-88.47M,,-11.29M,-83.86M,,2000-03,,49.06M,7.603M,-0.01M,7.593M,,,-0.739M,55.92M,2000-03,70.40M,-0.282M,-0.626M,,2000-03,7.603M,,,-0.01M,,,
1999-12,16.50M,,,-59.00M,,,8.90M,8.90M,0.40M,,,,,,-0.10M,16.00M,,23.30M,13.00M,-12.90M,,,6.10M,,1999-12,-41.70M,,-41.70M,,-8.10M,-49.80M,,1999-12,,60.00M,1.30M,-29.90M,-28.60M,,,-6.10M,25.30M,1999-12,88.90M,-18.40M,-0.10M,,1999-12,1.30M,,,-29.90M,,,
1999-09,2.971M,,,80.43M,,,8.333M,8.333M,8.248M,,,,,,0.10M,-40.63M,,22.55M,-20.17M,12.60M,,,74.82M,,1999-09,30.85M,,30.85M,,62.99M,36.17M,,1999-09,,,5.875M,-344.62M,-338.74M,,,-20.42M,-234.18M,1999-09,211.20M,-123.20M,0.846M,,1999-09,5.875M,,,-344.62M,,,
1999-06,26.40M,,,-7.20M,,,8.10M,8.10M,-0.40M,,,,,,-0.10M,7.60M,,-5.70M,3.20M,-2.90M,,,29.00M,,1999-06,-22.80M,,-22.80M,,8.60M,-11.40M,,1999-06,,,4.60M,0.00,4.60M,,,4.60M,9.20M,1999-06,0.00,26.80M,-0.60M,,1999-06,4.60M,,,0.00,,,
1999-03,28.80M,,,29.80M,,,7.80M,7.80M,-1.20M,,,,,,,-4.60M,,-30.30M,2.00M,1.70M,,,34.00M,,1999-03,-14.50M,,-14.50M,,12.30M,-2.80M,,1999-03,,,3.30M,0.00,3.30M,,,8.40M,11.70M,1999-03,0.00,42.90M,-0.90M,,1999-03,3.30M,,,0.00,,,
1998-12,30.10M,,,-22.70M,,,7.40M,7.40M,,,,,,,,-3.00M,,-1.20M,6.90M,-11.40M,,,6.10M,,1998-12,-25.30M,,-25.30M,,6.70M,-20.90M,,1998-12,,,9.10M,-1.20M,7.90M,,,-8.40M,-0.50M,1998-12,157.70M,-15.30M,0.60M,,1998-12,9.10M,,,-1.20M,,,
1998-09,19.60M,,,,,,7.40M,7.40M,,,,,,,26.30M,,,,,,,,35.50M,,1998-09,-28.40M,,-23.40M,,5.40M,-20.80M,,1998-09,,,53.30M,-13.90M,39.40M,,,-37.50M,1.90M,1998-09,0.00,16.60M,0.90M,,1998-09,53.30M,,,-13.90M,,,
1998-06,23.00M,,,,,,7.10M,7.10M,,,,,,,19.90M,,,,,,,,50.00M,,1998-06,-13.60M,,-13.60M,,-14.60M,-45.20M,,1998-06,,,6.70M,-34.90M,-28.20M,,,25.40M,-2.80M,1998-06,0.00,2.00M,-0.40M,,1998-06,6.70M,,,-34.90M,,,
1998-03,20.10M,,,,,,6.70M,6.70M,,,,,,,-4.20M,,,,,,,,22.60M,,1998-03,-23.30M,,-23.30M,,-48.20M,-54.50M,,1998-03,,,12.70M,34.90M,47.60M,,,-24.10M,23.50M,1998-03,0.00,-8.40M,-0.20M,,1998-03,12.70M,,,34.90M,,,
