,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2018-03,189.98M,,189.98M,1.135B,,1.135B,175.20M,,2.311B,,,,,,,,223.09M,2.957B,1.248B,4.204B,,176.87M,4.604B,6.915B,,2018-03,,,,,,789.72M,,789.72M,1.720B,1.720B,143.96M,3.186B,2.186B,,2.186B,,,,,,555.54M,2.742B,5.927B,,2018-03,0.082M,2.447B,,,32.22M,987.57M,AOR,Restated
2017-12,538.91M,,538.91M,1.177B,,1.177B,124.63M,,2.589B,0.00,,256.30M,,175.72M,432.02M,-210.51M,221.51M,2.987B,1.292B,4.279B,31.07M,65.15M,4.695B,7.283B,,2017-12,49.00M,46.76M,316.36M,412.12M,,379.72M,,379.72M,1.630B,1.630B,145.84M,2.823B,2.899B,115.84M,3.015B,206.34M,16.20M,222.54M,118.87M,,54.36M,3.477B,6.300B,,2017-12,0.082M,2.427B,,,1.508M,983.46M,AOR,Restated
2017-09,630.02M,,630.02M,874.28M,,874.28M,164.92M,,1.812B,,,,,,,,216.02M,3.145B,1.564B,4.710B,,273.68M,5.199B,7.011B,,2017-09,,,,,,419.60M,,419.60M,1.512B,1.512B,,2.482B,2.922B,,2.922B,,,,,,743.82M,3.666B,6.148B,,2017-09,0.082M,2.424B,,,-1.216M,863.41M,AOR,Restated
2017-06,589.28M,,589.28M,886.39M,,886.39M,141.24M,,1.760B,,,,,,,,197.13M,3.170B,1.595B,4.765B,,272.52M,5.235B,6.995B,,2017-06,,,,,,277.58M,,277.58M,1.449B,1.449B,,2.244B,3.140B,,3.140B,,,,,,757.00M,3.897B,6.141B,,2017-06,0.082M,2.418B,,,-48.89M,853.68M,AOR,Restated
2017-03,1.228B,,1.228B,716.49M,,716.49M,91.55M,,2.176B,,,,,,,,126.42M,855.33M,81.21M,936.54M,,126.65M,1.190B,3.365B,,2017-03,,,,,,29.37M,,29.37M,1.109B,1.109B,,1.470B,1.599B,,1.599B,,,,,,192.80M,1.792B,3.262B,,2017-03,0.078M,2.411B,,,-47.83M,102.82M,AOR,Restated
2016-12,474.23M,,474.23M,643.01M,,643.01M,84.54M,,1.343B,0.00,,209.52M,,96.60M,306.12M,-184.52M,121.61M,738.45M,76.80M,815.25M,27.28M,14.05M,1.024B,2.367B,,2016-12,41.01M,20.38M,196.25M,257.63M,,30.00M,,30.00M,989.48M,989.48M,,1.460B,664.39M,38.04M,702.43M,22.52M,11.29M,33.81M,67.75M,,22.48M,846.21M,2.306B,,2016-12,0.078M,2.397B,,,-49.68M,60.88M,AOR,Restated
2016-09,465.73M,,465.73M,560.20M,,560.20M,107.32M,,1.246B,,,,,,,,118.79M,742.93M,81.77M,824.70M,,88.31M,1.032B,2.278B,,2016-09,,,,,,40.00M,,40.00M,1.029B,1.029B,,1.417B,696.40M,,696.40M,,,,,,174.41M,870.81M,2.288B,,2016-09,0.078M,2.391B,,,-47.78M,-10.50M,AOR,Restated
2016-06,445.05M,,445.05M,613.80M,,613.80M,63.72M,,1.234B,,,,,,,,117.26M,742.75M,99.27M,842.02M,,111.59M,1.071B,2.305B,,2016-06,,,,,,70.00M,,70.00M,1.030B,1.030B,,1.387B,756.02M,,756.02M,,,,,,214.09M,970.11M,2.357B,,2016-06,0.078M,2.391B,,,-48.00M,-52.83M,AOR,Restated
2016-03,403.94M,,403.94M,602.88M,,602.88M,54.33M,,1.179B,,,,,,,,108.63M,718.03M,90.55M,808.59M,,115.02M,1.032B,2.212B,,2016-03,,,,,,57.50M,,57.50M,986.30M,986.30M,,1.291B,832.50M,,832.50M,,,,,,200.46M,1.033B,2.324B,,2016-03,0.078M,2.387B,,,-49.43M,-112.67M,AOR,Restated
2015-12,372.98M,,372.98M,580.76M,,580.76M,62.43M,,1.141B,0.00,,187.27M,,87.10M,274.37M,-165.64M,108.73M,715.36M,96.54M,811.90M,26.42M,38.30M,1.028B,2.169B,,2015-12,31.57M,13.71M,195.60M,240.88M,,35.00M,,35.00M,900.80M,900.80M,,1.323B,783.83M,,783.83M,,7.603M,22.81M,62.68M,,94.32M,977.42M,2.301B,,2015-12,0.078M,2.357B,,,-44.40M,-132.40M,AOR,Restated
2015-09,371.24M,,371.24M,482.30M,,482.30M,114.06M,,1.061B,,,,,,,,109.56M,723.95M,96.17M,820.12M,,100.46M,1.030B,2.092B,,2015-09,,,,,,20.00M,,20.00M,925.06M,925.06M,,1.235B,820.00M,,820.00M,,,,,,196.03M,1.016B,2.251B,,2015-09,0.078M,2.302B,,,-49.27M,-159.59M,AOR,Restated
2015-06,357.58M,,357.58M,527.62M,,527.62M,82.66M,,1.066B,,,,,,,,107.11M,583.00M,27.11M,610.11M,,77.75M,794.97M,1.861B,,2015-06,,,,,,20.00M,,20.00M,922.23M,922.23M,,1.205B,695.00M,,695.00M,,,,,,131.67M,826.67M,2.031B,,2015-06,0.078M,2.285B,,,-35.62M,-170.16M,AOR,Restated
2015-03,281.65M,,281.65M,526.38M,,526.38M,88.21M,,1.001B,,,,,,,,104.37M,579.91M,28.46M,608.37M,,75.98M,788.72M,1.789B,,2015-03,,,,,,285.00M,,285.00M,895.43M,895.43M,,1.421B,380.00M,,380.00M,,,,,,128.15M,508.15M,1.929B,,2015-03,0.078M,2.183B,,,-42.33M,-139.51M,AOR,Restated
2014-12,365.30M,,365.30M,552.11M,,552.11M,63.87M,,1.097B,0.00,,181.51M,,78.09M,259.61M,-161.62M,97.99M,586.66M,30.69M,617.35M,25.74M,18.36M,807.69M,1.904B,,2014-12,16.80M,18.54M,174.85M,210.19M,,20.00M,,20.00M,841.46M,841.46M,,1.215B,385.00M,,385.00M,,7.056M,23.72M,64.99M,2.90M,42.84M,527.96M,1.743B,,2014-12,0.078M,1.857B,,,-21.17M,161.17M,AOR,Restated
2014-09,341.22M,,341.22M,449.92M,,449.92M,87.49M,,959.23M,,,,,,,,93.62M,593.21M,33.52M,626.73M,,89.37M,809.72M,1.769B,,2014-09,,,,,,245.00M,,245.00M,847.33M,847.33M,,1.359B,125.00M,,125.00M,,,,,,132.56M,257.56M,1.616B,,2014-09,0.078M,1.816B,,,-2.001M,152.52M,AOR,Restated
2014-06,317.92M,,317.92M,493.22M,,493.22M,71.94M,,971.77M,,,,,,,,95.83M,598.73M,36.42M,635.15M,,94.06M,825.04M,1.797B,,2014-06,,,,,,246.25M,,246.25M,847.88M,847.88M,,1.346B,128.75M,,128.75M,,,,,,125.00M,253.75M,1.599B,,2014-06,0.078M,1.738B,,,9.953M,197.51M,AOR,Restated
2014-03,283.28M,,283.28M,497.00M,,497.00M,67.78M,,945.67M,,,,,,,,94.21M,589.79M,34.54M,624.32M,,93.51M,812.04M,1.758B,,2014-03,,,,,,222.50M,,222.50M,832.56M,832.56M,,1.267B,132.50M,,132.50M,,,,,,121.87M,254.37M,1.521B,,2014-03,0.078M,1.634B,,,8.552M,236.72M,AOR,Restated
2013-12,423.99M,,423.99M,490.92M,,490.92M,63.68M,,1.085B,0.00,,170.66M,,70.26M,240.92M,-149.17M,91.76M,519.20M,6.107M,525.31M,29.25M,4.51M,698.70M,1.784B,,2013-12,17.67M,14.39M,143.41M,175.47M,,68.75M,,68.75M,766.11M,766.11M,,1.160B,136.25M,,136.25M,,8.959M,27.09M,58.00M,6.505M,24.91M,262.34M,1.422B,,2013-12,0.078M,1.457B,,,8.345M,361.32M,AOR,Restated
2013-09,374.52M,,374.52M,392.17M,,392.17M,91.07M,,935.16M,,,,,,,,90.20M,518.56M,7.535M,526.09M,,76.96M,693.24M,1.628B,,2013-09,,,,,,65.00M,,65.00M,754.12M,754.12M,,1.044B,140.00M,,140.00M,,,,,,122.77M,262.77M,1.307B,,2013-09,0.078M,1.422B,,,6.734M,321.64M,AOR,Restated
2013-06,333.36M,,333.36M,432.01M,,432.01M,80.10M,,923.36M,,,,,,,,89.42M,516.14M,8.834M,524.98M,,76.04M,690.43M,1.614B,,2013-06,,,,,,61.25M,,61.25M,749.24M,749.24M,,1.015B,143.75M,,143.75M,,,,,,126.50M,270.25M,1.285B,,2013-06,0.078M,1.364B,,,2.358M,328.69M,AOR,Restated
2013-03,269.06M,,269.06M,441.40M,,441.40M,81.64M,,875.04M,,,,,,,,88.51M,516.52M,10.48M,527.00M,,76.84M,692.36M,1.567B,,2013-03,,,,,,57.50M,,57.50M,736.70M,736.70M,,975.09M,147.50M,,147.50M,,,,,,125.65M,273.15M,1.248B,,2013-03,0.078M,1.318B,,,2.763M,319.16M,AOR,Restated
2012-12,299.85M,,299.85M,463.97M,,463.97M,75.71M,,927.47M,0.00,,165.07M,,64.35M,229.42M,-140.33M,89.09M,519.51M,11.82M,531.33M,25.30M,3.344M,693.81M,1.621B,,2012-12,27.34M,18.90M,117.90M,164.14M,,90.00M,,90.00M,692.24M,692.24M,,1.07B,115.00M,,115.00M,,5.508M,25.09M,54.78M,10.02M,22.95M,244.60M,1.315B,,2012-12,0.078M,1.288B,,,5.968M,306.67M,AOR,Restated
2012-09,255.39M,,255.39M,,,370.95M,89.77M,,781.98M,,,,,,,,80.34M,519.20M,13.14M,532.34M,,84.48M,697.17M,1.479B,,2012-09,,,,,,80.00M,,80.00M,682.60M,682.60M,,968.89M,120.00M,,120.00M,,,,,,128.79M,248.79M,1.218B,,2012-09,0.078M,1.268B,,,8.673M,261.46M,AOR,Restated
2012-06,150.53M,,150.53M,,,389.41M,78.10M,,686.35M,,,,,,,,77.80M,515.00M,14.05M,529.05M,,86.92M,693.76M,1.380B,,2012-06,,,,,,70.09M,,70.09M,659.74M,659.74M,,908.36M,130.00M,,130.00M,,,,,,126.77M,256.77M,1.165B,,2012-06,0.078M,1.268B,,,3.623M,214.99M,AOR,Restated
2012-03,138.98M,,138.98M,,,384.12M,78.24M,,676.82M,,,,,,,,69.66M,510.93M,6.321M,517.25M,,86.11M,673.03M,1.350B,,2012-03,,,,,,100.29M,,100.29M,650.67M,650.67M,,911.05M,140.00M,,140.00M,,,,,,127.02M,267.02M,1.178B,,2012-03,0.078M,1.265B,,,8.447M,171.78M,AOR,Restated
2011-12,142.74M,,142.74M,421.03M,,421.03M,63.52M,,705.78M,0.00,,165.56M,,63.77M,229.33M,-161.20M,68.13M,508.55M,7.06M,515.61M,26.66M,18.70M,674.09M,1.380B,,2011-12,27.57M,15.92M,104.52M,148.01M,,50.00M,,50.00M,611.65M,611.65M,,921.14M,150.00M,,150.00M,,4.572M,25.62M,47.33M,9.891M,23.98M,276.95M,1.198B,,2011-12,0.078M,1.213B,,,5.793M,181.78M,AOR,Restated
2011-09,156.90M,,156.90M,,,349.29M,66.87M,,633.69M,,,,,,,,57.11M,510.23M,7.798M,518.02M,,95.61M,670.74M,1.304B,,2011-09,,,,,,52.50M,,52.50M,598.39M,598.39M,,834.49M,157.50M,,157.50M,,,,,,118.37M,275.87M,1.110B,,2011-09,0.078M,1.146B,,,5.81M,194.07M,AOR,Restated
2011-06,125.34M,,125.34M,,,360.56M,73.84M,,625.61M,,,,,,,,52.92M,516.03M,8.537M,524.56M,,92.88M,670.36M,1.296B,,2011-06,,,,,,55.00M,,55.00M,572.05M,572.05M,,799.37M,165.00M,,165.00M,,,,,,115.79M,280.79M,1.080B,,2011-06,0.078M,1.094B,,,14.36M,215.82M,AOR,Restated
2011-03,109.00M,,109.00M,,,345.04M,92.22M,,616.24M,,,,,,,,45.44M,514.68M,11.06M,525.74M,,87.96M,659.13M,1.275B,,2011-03,,,,,,82.67M,,82.67M,558.03M,558.03M,,784.22M,172.50M,,172.50M,,,,,,108.63M,281.13M,1.065B,,2011-03,0.078M,1.061B,,,16.29M,210.03M,AOR,Restated
2010-12,120.18M,,120.18M,,,364.82M,64.15M,,621.10M,0.00,,156.08M,,46.52M,202.60M,-154.98M,47.61M,510.26M,13.58M,523.85M,,93.09M,664.56M,1.286B,,2010-12,17.79M,15.03M,121.30M,154.12M,,40.16M,,40.16M,523.26M,523.26M,,811.15M,180.00M,,180.00M,,,,,,107.45M,287.45M,1.099B,,2010-12,0.078M,1.045B,,,14.64M,187.06M,AOR,Restated
2010-09,148.41M,,148.41M,,,299.99M,69.63M,,571.85M,,,,,,,,44.27M,509.65M,16.12M,525.77M,,94.48M,664.52M,1.236B,,2010-09,,,,,,248.50M,,248.50M,496.35M,496.35M,,927.38M,51.50M,,51.50M,,,,,,103.27M,154.77M,1.082B,,2010-09,0.078M,1.029B,,,14.50M,154.22M,AOR,Restated
2010-06,122.36M,,122.36M,,,284.10M,57.03M,,517.97M,,,,,,,,45.20M,503.82M,18.64M,522.46M,,88.64M,656.30M,1.174B,,2010-06,,,,,,279.75M,,279.75M,450.15M,450.15M,,892.50M,77.25M,,77.25M,,,,,,97.54M,174.79M,1.067B,,2010-06,0.078M,1.040B,,,6.463M,106.98M,AOR,Restated
2010-03,105.91M,,105.91M,,,303.16M,61.72M,,534.27M,,,,,,,,48.09M,509.76M,21.18M,530.94M,,67.53M,646.56M,1.181B,,2010-03,,,,,,264.00M,,264.00M,463.24M,463.24M,,882.45M,103.00M,,103.00M,,,,,,79.42M,182.42M,1.065B,,2010-03,0.078M,1.010B,,,9.401M,115.95M,AOR,Restated
2009-12,116.57M,,116.57M,,,317.60M,53.40M,,557.82M,0.00,,150.67M,,46.94M,197.62M,-145.15M,52.47M,513.61M,24.11M,537.72M,,67.26M,657.45M,1.215B,,2009-12,14.31M,17.69M,123.71M,155.72M,,205.00M,,205.00M,437.21M,437.21M,,898.17M,124.00M,,124.00M,,,,,,80.57M,204.57M,1.103B,,2009-12,0.078M,999.12M,,,11.32M,112.54M,AOR,Restated
2009-09,112.78M,,112.78M,,,251.05M,47.56M,,455.71M,,,,,,,,52.36M,406.33M,0.93M,407.26M,,81.51M,541.13M,996.84M,,2009-09,,,,,,120.00M,,120.00M,401.41M,401.41M,,696.21M,145.00M,,145.00M,,,,,,80.81M,225.81M,922.02M,,2009-09,0.078M,1.003B,,,10.39M,74.82M,AOR,Restated
2009-06,96.96M,,96.96M,,,252.23M,42.83M,,435.99M,,,,,,,,55.62M,401.93M,1.345M,403.27M,,77.32M,536.22M,972.21M,,2009-06,,,,,,119.25M,,119.25M,378.54M,378.54M,,661.89M,197.25M,,197.25M,,,,,,76.96M,274.21M,936.10M,,2009-06,0.078M,1.009B,,,5.912M,36.11M,AOR,Restated
2009-03,70.26M,,70.26M,,,259.04M,42.14M,,418.21M,,,,,,,,57.80M,397.46M,1.616M,399.07M,,73.61M,530.48M,948.69M,,2009-03,,,,,,116.00M,,116.00M,373.76M,373.76M,,641.55M,222.00M,,222.00M,,,,,,80.67M,302.67M,944.22M,,2009-03,0.078M,1.013B,,,-0.025M,4.472M,AOR,Restated
2008-12,140.93M,,140.93M,,,318.51M,42.94M,,554.52M,0.00,,158.19M,,49.11M,207.30M,-145.43M,61.87M,398.74M,2.015M,400.75M,,75.92M,538.54M,1.093B,,2008-12,12.13M,29.51M,89.42M,131.06M,,177.75M,,177.75M,395.28M,395.28M,,792.41M,238.50M,,238.50M,,,,,,83.47M,321.97M,1.114B,,2008-12,0.078M,1.017B,,,-1.741M,-21.32M,AOR,Restated
2008-09,145.17M,,145.17M,303.66M,,303.66M,51.09M,43.90M,543.83M,,,,,,229.59M,-165.16M,64.43M,411.68M,2.425M,414.11M,,93.05M,571.59M,1.115B,,2008-09,193.79M,,,193.79M,,169.50M,,169.50M,433.86M,433.86M,,797.15M,255.00M,,255.00M,,,,,,78.22M,333.22M,1.130B,,2008-09,0.078M,994.96M,,,19.40M,-14.96M,,
2008-06,136.90M,,136.90M,313.26M,,313.26M,41.65M,48.83M,540.64M,,,,,,231.68M,-165.16M,66.52M,417.52M,2.829M,420.35M,,93.42M,580.29M,1.121B,,2008-06,180.49M,,,180.49M,,198.25M,,198.25M,428.06M,428.06M,,806.80M,271.50M,,271.50M,,,,,,84.24M,355.74M,1.163B,,2008-06,0.078M,993.05M,,,27.25M,-41.61M,,
2008-03,95.94M,,95.94M,327.24M,,327.24M,46.09M,51.54M,520.81M,,,,,,229.54M,-165.16M,64.37M,416.56M,3.23M,419.80M,,90.82M,574.99M,1.096B,,2008-03,154.05M,,,154.05M,,268.00M,,268.00M,450.28M,450.28M,,872.32M,153.00M,,153.00M,,,,,,88.09M,241.09M,1.113B,,2008-03,0.078M,924.86M,,,20.49M,-17.61M,,
2007-12,109.94M,,109.94M,,,354.93M,39.38M,,557.79M,0.00,,181.40M,,50.31M,231.72M,-165.16M,66.55M,416.18M,3.645M,419.83M,55.84M,33.20M,575.42M,1.133B,,2007-12,11.26M,22.45M,83.26M,116.98M,,236.50M,,236.50M,423.52M,423.52M,,876.01M,157.50M,,157.50M,,,,,,82.20M,239.70M,1.116B,,2007-12,0.078M,874.05M,,,23.64M,17.50M,,Restated
2007-09,117.71M,,117.71M,,,314.84M,59.57M,38.70M,530.82M,,,,,,232.17M,-165.08M,67.09M,414.84M,4.111M,418.95M,,89.22M,575.26M,1.106B,,2007-09,179.33M,,,179.33M,,205.00M,,205.00M,402.08M,402.08M,,786.41M,162.00M,,162.00M,,,,,,86.42M,248.42M,1.035B,,2007-09,0.078M,774.45M,,,20.20M,71.25M,,
2007-06,102.84M,,102.84M,,,303.51M,65.79M,43.52M,515.66M,,,,,,225.73M,-165.08M,60.65M,410.96M,4.613M,415.57M,,87.62M,563.85M,1.080B,,2007-06,177.90M,,,177.90M,,193.50M,,193.50M,377.18M,377.18M,,748.59M,166.50M,,166.50M,,,,,,83.96M,250.46M,999.04M,,2007-06,0.078M,747.83M,,,17.46M,80.46M,,
2007-03,91.09M,,91.09M,,,309.75M,57.08M,41.84M,499.77M,,,,,,223.84M,-165.08M,58.76M,409.16M,5.224M,414.38M,,84.52M,557.66M,1.057B,,2007-03,141.74M,,,141.74M,,234.00M,,234.00M,390.87M,390.87M,,766.61M,171.00M,,171.00M,,,,,,84.39M,255.39M,1.022B,,2007-03,0.078M,778.84M,,,12.15M,35.43M,,
2006-12,67.80M,,67.80M,328.38M,,328.38M,41.03M,46.82M,484.03M,0.00,47.26M,177.54M,,,224.79M,-165.08M,59.72M,408.54M,5.978M,414.52M,53.32M,28.20M,555.76M,1.040B,,2006-12,13.33M,,,13.33M,,220.00M,,220.00M,375.88M,375.88M,,803.88M,150.00M,,150.00M,,,,,,59.59M,209.59M,1.013B,,2006-12,0.078M,778.34M,,,10.89M,26.32M,,
2006-09,92.91M,,92.91M,284.88M,,284.88M,43.88M,31.27M,452.95M,,,,,,219.85M,-162.37M,57.48M,408.75M,6.007M,414.76M,,88.41M,560.65M,1.014B,,2006-09,192.00M,,,192.00M,,60.00M,,60.00M,361.38M,361.38M,,613.38M,160.00M,,160.00M,,,,,,53.54M,213.54M,826.92M,,2006-09,0.078M,589.28M,,,9.69M,186.67M,,
2006-06,69.07M,,69.07M,285.68M,,285.68M,36.38M,31.18M,422.30M,,,,,,220.03M,-162.37M,57.67M,407.61M,9.373M,416.98M,,87.80M,562.45M,984.75M,,2006-06,186.07M,,,186.07M,,60.00M,,60.00M,339.44M,339.44M,,585.51M,170.00M,,170.00M,,,,,,54.01M,224.01M,809.52M,,2006-06,0.078M,583.09M,,,8.405M,175.24M,,
2006-03,65.64M,,65.64M,,,277.18M,41.38M,35.58M,419.77M,,,,,,220.30M,-162.37M,57.93M,404.00M,12.64M,416.64M,,85.14M,559.70M,979.48M,,2006-03,172.13M,,,172.13M,,68.33M,,68.33M,355.22M,355.22M,,595.68M,175.00M,,175.00M,,,,,,54.27M,229.27M,824.96M,,2006-03,0.077M,567.30M,,,4.093M,154.52M,,
2005-12,70.28M,,70.28M,,,313.20M,35.84M,42.80M,462.12M,0.00,46.12M,178.01M,,,224.14M,-162.37M,61.77M,404.03M,15.79M,419.83M,,82.90M,564.50M,1.027B,,2005-12,243.04M,,,243.04M,,66.67M,,66.67M,333.06M,333.06M,,642.77M,180.00M,,180.00M,,,,,,57.26M,237.26M,880.03M,,2005-12,0.077M,551.87M,,,-0.332M,146.59M,,
2005-09,80.46M,,80.46M,,,238.74M,53.64M,28.08M,400.92M,,,,,,235.44M,-179.35M,56.09M,,429.84M,429.84M,,74.73M,560.66M,961.58M,,2005-09,229.40M,,,229.40M,,65.00M,,65.00M,330.10M,330.10M,,624.49M,185.00M,,185.00M,,,,,,28.21M,213.21M,837.71M,,2005-09,0.076M,545.12M,,,1.706M,123.88M,,
2005-06,70.48M,,70.48M,236.82M,,236.82M,42.51M,29.60M,379.42M,,,,,,238.09M,-179.35M,58.74M,,435.44M,435.44M,,76.44M,570.62M,950.04M,,2005-06,210.32M,,,210.32M,,60.02M,,60.02M,318.78M,318.78M,,589.12M,190.05M,,190.05M,,,,,,50.91M,240.96M,830.08M,,2005-06,0.075M,545.41M,,,1.819M,119.97M,,
2005-03,158.72M,,158.72M,233.28M,,233.28M,39.85M,32.02M,463.87M,,,,,,240.68M,-179.35M,61.33M,,230.25M,230.25M,,73.67M,365.25M,829.12M,,2005-03,148.50M,,,148.50M,,40.00M,,40.00M,333.70M,333.70M,,522.20M,140.00M,,140.00M,,,,,,51.41M,191.41M,713.61M,,2005-03,0.075M,547.85M,,,3.336M,115.51M,,
