,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2017-12,159.00M,,,,157.00M,157.00M,207.00M,,27.00M,2.00M,155.00M,0.00,,76.00M,,67.00M,298.00M,850.00M,,-77.00M,2.00M,-75.00M,,0.00,-3.00M,-78.00M,,-130.00M,,-130.00M,,-195.00M,-195.00M,-182.00M,-182.00M,6.00M,-1.00M,-502.00M,,2.289B,270.00M,1.00M,2.56B,,,,-130.00M,-195.00M,,,,AOR,Restated
2017-09,181.00M,,,,161.00M,161.00M,-3.00M,,32.00M,1.00M,-10.00M,-32.00M,,-14.00M,,-79.00M,-135.00M,237.00M,,-124.00M,,-124.00M,,0.00,-8.00M,-132.00M,,-22.00M,,-22.00M,,-166.00M,-166.00M,-184.00M,-184.00M,29.00M,-20.00M,-363.00M,,2.543B,-258.00M,4.00M,2.289B,,,,-22.00M,-166.00M,,,,AOR,Restated
2017-06,114.00M,,,,176.00M,176.00M,-9.00M,7.00M,27.00M,10.00M,-75.00M,56.00M,,-25.00M,,-38.00M,-82.00M,243.00M,,-104.00M,,-104.00M,,-37.00M,19.00M,-122.00M,,-219.00M,,-219.00M,,-212.00M,-212.00M,-187.00M,-187.00M,3.00M,-2.00M,-617.00M,,3.031B,-496.00M,8.00M,2.543B,,,0.00,-219.00M,-212.00M,,,,AOR,Restated
2017-03,194.00M,,,,182.00M,182.00M,9.00M,26.00M,37.00M,-1.00M,68.00M,-30.00M,,-46.00M,,-13.00M,-21.00M,426.00M,,-94.00M,0.00,-94.00M,,0.00,-9.00M,-103.00M,,1.135B,,1.135B,,0.00,0.00,-186.00M,-186.00M,36.00M,-1.00M,984.00M,,1.72B,1.307B,4.00M,3.031B,,,1.232B,-97.00M,0.00,,,,AOR,Restated
2016-12,297.00M,,,,191.00M,191.00M,2.00M,9.00M,33.00M,25.00M,117.00M,-94.00M,,49.00M,,27.00M,99.00M,656.00M,,-96.00M,,-96.00M,,6.00M,-5.00M,-95.00M,,0.00,,0.00,,-147.00M,-147.00M,-188.00M,-188.00M,12.00M,-1.00M,-324.00M,,1.495B,237.00M,-12.00M,1.72B,,,,0.00,-147.00M,,,,AOR,Restated
2016-09,167.00M,,,,200.00M,200.00M,1.00M,,40.00M,-7.00M,12.00M,-46.00M,,190.00M,,34.00M,190.00M,591.00M,,-140.00M,,-140.00M,,,1.00M,-139.00M,,0.00,,0.00,,-101.00M,-101.00M,0.00,0.00,35.00M,-23.00M,-89.00M,,1.132B,363.00M,,1.495B,,,,0.00,-101.00M,,,,AOR,Restated
2016-06,70.00M,,,,200.00M,200.00M,-3.00M,1.00M,25.00M,-1.00M,-67.00M,60.00M,,-36.00M,,20.00M,-23.00M,269.00M,,-146.00M,0.00,-146.00M,0.00,0.00,0.00,-146.00M,,0.00,,0.00,,0.00,0.00,-188.00M,-188.00M,1.00M,-1.00M,-188.00M,,1.20B,-65.00M,-3.00M,1.132B,,,0.00,0.00,0.00,,,,AOR,Restated
2016-03,-20.00M,,,,198.00M,198.00M,1.00M,25.00M,30.00M,-1.00M,147.00M,117.00M,,-282.00M,,-10.00M,-28.00M,205.00M,,-95.00M,,-95.00M,0.00,0.00,10.00M,-85.00M,,-7.00M,,-7.00M,,-29.00M,-29.00M,-188.00M,-188.00M,37.00M,-1.00M,-188.00M,,1.265B,-68.00M,3.00M,1.20B,,,0.00,-7.00M,-29.00M,,,,AOR,Restated
2015-12,164.00M,,,,209.00M,209.00M,0.00,0.00,32.00M,1.00M,171.00M,73.00M,,-237.00M,,-31.00M,-24.00M,382.00M,,-137.00M,0.00,-137.00M,-634.00M,0.00,,-771.00M,,0.00,,0.00,,-78.00M,-78.00M,-188.00M,-188.00M,1.00M,-1.00M,-266.00M,,1.915B,-655.00M,-2.00M,1.265B,,,,0.00,-78.00M,,,,AOR,Restated
2015-09,34.00M,,,,208.00M,208.00M,,,33.00M,10.00M,213.00M,-105.00M,,489.00M,,-58.00M,539.00M,824.00M,,-209.00M,,-209.00M,,,,-209.00M,,-15.00M,,-15.00M,,-983.00M,-983.00M,-163.00M,-163.00M,40.00M,-57.00M,-1.178B,,2.479B,-563.00M,-1.00M,1.915B,,,,-15.00M,-983.00M,,,,AOR,Restated
2015-06,137.00M,1.00M,,23.00M,212.00M,212.00M,5.00M,0.00,31.00M,0.00,4.00M,90.00M,,-310.00M,,39.00M,-177.00M,231.00M,,-201.00M,,-201.00M,-3.00M,0.00,-15.00M,-219.00M,,208.00M,,208.00M,,-180.00M,-180.00M,-171.00M,-171.00M,7.00M,0.00,-136.00M,,2.604B,-124.00M,2.00M,2.486B,,,698.00M,-490.00M,-180.00M,,,,AOR,Restated
2015-03,291.00M,1.00M,,1.00M,203.00M,203.00M,1.00M,0.00,33.00M,-12.00M,65.00M,46.00M,,-236.00M,,-18.00M,-143.00M,374.00M,,-159.00M,,-159.00M,0.00,0.00,-56.00M,-215.00M,,-1.00M,,-1.00M,,-706.00M,-706.00M,-176.00M,-176.00M,42.00M,0.00,-841.00M,,3.296B,-682.00M,-10.00M,2.604B,,,0.00,-1.00M,-706.00M,,,,AOR,Restated
2014-12,933.00M,,,38.00M,208.00M,208.00M,-6.00M,,31.00M,5.00M,87.00M,-58.00M,,164.00M,,41.00M,234.00M,1.443B,,-215.00M,,-215.00M,0.00,9.00M,-28.00M,-234.00M,,87.00M,,87.00M,,-18.00M,-18.00M,-177.00M,-177.00M,10.00M,0.00,-98.00M,,2.19B,1.111B,-5.00M,3.296B,,,498.00M,-411.00M,-18.00M,,,,AOR,Restated
2014-09,381.00M,,,14.00M,218.00M,218.00M,2.00M,,42.00M,-2.00M,-158.00M,-49.00M,,212.00M,,-58.00M,-53.00M,602.00M,,-172.00M,,-172.00M,-450.00M,9.00M,-6.00M,-619.00M,,-124.00M,,-124.00M,,-183.00M,-183.00M,-140.00M,-140.00M,39.00M,-12.00M,-420.00M,,2.634B,-437.00M,-7.00M,2.19B,,,,-124.00M,-183.00M,,,,AOR,Restated
2014-06,320.00M,2.00M,0.00,76.00M,211.00M,211.00M,-50.00M,,31.00M,-2.00M,-15.00M,-28.00M,,-12.00M,,46.00M,-9.00M,577.00M,,-131.00M,,-128.00M,-285.00M,44.00M,-5.00M,-374.00M,,329.00M,,329.00M,,-26.00M,-26.00M,-140.00M,-140.00M,9.00M,0.00,172.00M,,2.259B,375.00M,0.00,2.634B,,,990.00M,-661.00M,-26.00M,,,,AOR,Restated
2014-03,395.00M,-2.00M,0.00,5.00M,211.00M,211.00M,-2.00M,,30.00M,8.00M,-14.00M,102.00M,,-253.00M,,-39.00M,-204.00M,443.00M,,-124.00M,,-124.00M,0.00,0.00,-1.00M,-125.00M,,-64.00M,,-64.00M,,-184.00M,-184.00M,-140.00M,-140.00M,37.00M,0.00,-351.00M,,2.293B,-33.00M,-1.00M,2.259B,,,0.00,-64.00M,-184.00M,,,,AOR,Restated
2013-12,428.00M,-2.00M,-32.00M,-34.00M,229.00M,229.00M,-14.00M,,30.00M,4.00M,201.00M,-77.00M,,-89.00M,,178.00M,213.00M,856.00M,,-143.00M,,-143.00M,0.00,515.00M,-9.00M,363.00M,,791.00M,,791.00M,,-1.52B,-1.52B,-142.00M,-142.00M,22.00M,-1.00M,-850.00M,,1.924B,369.00M,0.00,2.293B,,,791.00M,0.00,-1.52B,,,,AOR,Restated
2013-09,427.00M,-2.00M,,-2.00M,228.00M,228.00M,-1.00M,,27.00M,4.00M,49.00M,-17.00M,,84.00M,,-117.00M,-1.00M,682.00M,,-161.00M,,-161.00M,0.00,-6.00M,-19.00M,-186.00M,,0.00,,0.00,,-182.00M,-182.00M,-135.00M,-135.00M,39.00M,-4.00M,-282.00M,,1.708B,214.00M,2.00M,1.924B,,,,0.00,-182.00M,,,,AOR,Restated
2013-06,348.00M,-2.00M,-10.00M,98.00M,222.00M,222.00M,-56.00M,,20.00M,11.00M,164.00M,-21.00M,,-122.00M,,-276.00M,-255.00M,388.00M,,-128.00M,0.00,-128.00M,0.00,-17.00M,1.00M,-144.00M,,183.00M,,183.00M,,-42.00M,-42.00M,-137.00M,-137.00M,26.00M,1.00M,31.00M,,1.433B,275.00M,0.00,1.708B,,,986.00M,-803.00M,-42.00M,,,,AOR,Restated
2013-03,416.00M,-26.00M,-18.00M,-19.00M,221.00M,221.00M,-3.00M,,20.00M,-4.00M,-219.00M,-33.00M,,7.00M,,297.00M,52.00M,683.00M,,-231.00M,25.00M,-206.00M,0.00,-20.00M,-2.00M,-228.00M,,-363.00M,,-363.00M,,-102.00M,-102.00M,-4.00M,-4.00M,65.00M,0.00,-404.00M,,1.383B,51.00M,-1.00M,1.433B,,,0.00,-363.00M,-102.00M,,,,AOR,Restated
2012-12,492.00M,-2.00M,0.00,4.00M,218.00M,218.00M,-6.00M,,19.00M,-12.00M,340.00M,46.00M,,-163.00M,,-111.00M,112.00M,844.00M,,-164.00M,0.00,-164.00M,0.00,-16.00M,-8.00M,-188.00M,,-58.00M,,-58.00M,,-871.00M,-871.00M,-250.00M,-250.00M,11.00M,0.00,-1.168B,,1.894B,-512.00M,1.00M,1.383B,,,0.00,-58.00M,-871.00M,,,,AOR,Restated
2012-09,582.00M,-6.00M,-33.00M,-39.00M,212.00M,212.00M,-5.00M,,17.00M,17.00M,648.00M,110.00M,,-430.00M,,37.00M,365.00M,1.132B,,-263.00M,4.00M,-259.00M,-36.00M,36.00M,-6.00M,-265.00M,,,,,,-639.00M,-639.00M,-127.00M,-127.00M,157.00M,-72.00M,-681.00M,,1.707B,186.00M,1.00M,1.894B,,,,,-639.00M,,,,AOR,Restated
2012-06,1.013B,-7.00M,0.00,-7.00M,217.00M,217.00M,-23.00M,,13.00M,0.00,77.00M,-68.00M,,48.00M,,175.00M,232.00M,1.445B,,-139.00M,9.00M,-130.00M,0.00,-4.00M,-15.00M,-149.00M,,0.00,,0.00,,-1.254B,-1.254B,-106.00M,-106.00M,130.00M,3.00M,-1.227B,,1.638B,69.00M,0.00,1.707B,,,,0.00,-1.254B,,,,AOR,Restated
2012-03,1.146B,-4.00M,-12.00M,-4.00M,224.00M,224.00M,-1.00M,,12.00M,-3.00M,-853.00M,-14.00M,,697.00M,,-266.00M,-436.00M,938.00M,,-136.00M,2.00M,-134.00M,0.00,5.00M,7.00M,-122.00M,,-76.00M,,-76.00M,,-981.00M,-981.00M,-112.00M,-112.00M,163.00M,3.00M,-1.003B,,1.825B,-187.00M,0.00,1.638B,,,,-76.00M,-981.00M,,,,AOR,Restated
2011-12,563.00M,-4.00M,,-4.00M,191.00M,191.00M,-4.00M,,14.00M,0.00,-179.00M,134.00M,,-248.00M,,252.00M,-41.00M,719.00M,,-143.00M,1.00M,-142.00M,-561.00M,14.00M,-5.00M,-694.00M,,-560.00M,,-560.00M,,-63.00M,-63.00M,-76.00M,-76.00M,25.00M,,-674.00M,,2.474B,-649.00M,0.00,1.825B,,,,-560.00M,-63.00M,,,,AOR,Restated
2011-09,140.00M,-10.00M,,-5.00M,182.00M,182.00M,,,12.00M,10.00M,49.00M,47.00M,,-286.00M,,11.00M,-179.00M,160.00M,,-218.00M,8.00M,-210.00M,0.00,47.00M,14.00M,-149.00M,,-34.00M,,-34.00M,,-128.00M,-128.00M,-78.00M,-78.00M,26.00M,,-214.00M,,2.677B,-203.00M,0.00,2.474B,,,,-34.00M,-128.00M,,,,AOR,Restated
2011-06,511.00M,-19.00M,,-19.00M,187.00M,187.00M,11.00M,,13.00M,-376.00M,-270.00M,-38.00M,,187.00M,,111.00M,-10.00M,317.00M,,-158.00M,75.00M,-83.00M,0.00,-196.00M,1.00M,-278.00M,,588.00M,,588.00M,-48.00M,-112.00M,-160.00M,,-74.00M,,0.00,437.00M,,2.201B,476.00M,,2.677B,,-48.00M,588.00M,0.00,-112.00M,,,,AOR,Restated
2011-03,,-1.00M,,1.00M,188.00M,188.00M,8.00M,,12.00M,98.00M,-2.00M,-26.00M,,-92.00M,,8.00M,-112.00M,195.00M,,-125.00M,2.00M,-123.00M,0.00,5.00M,-5.00M,-123.00M,,-15.00M,,-15.00M,24.00M,-405.00M,-381.00M,,0.00,,-3.00M,-399.00M,,2.528B,-327.00M,,2.201B,,24.00M,0.00,-15.00M,-405.00M,,,,AOR,Restated
2010-12,-149.00M,-3.00M,,-3.00M,190.00M,190.00M,19.00M,,13.00M,300.00M,120.00M,-65.00M,,230.00M,,-148.00M,137.00M,507.00M,,-202.00M,,-202.00M,0.00,-5.00M,6.00M,-201.00M,,736.00M,,736.00M,8.00M,-305.00M,-297.00M,,0.00,,,439.00M,,1.783B,745.00M,,2.528B,,8.00M,736.00M,0.00,-305.00M,,,,AOR,Restated
2010-09,149.00M,,,24.00M,189.00M,189.00M,8.00M,,13.00M,-7.00M,-111.00M,14.00M,,33.00M,,-67.00M,-131.00M,245.00M,,-358.00M,,-358.00M,,-31.00M,10.00M,-379.00M,,-362.00M,,-362.00M,16.00M,,16.00M,,,,,-346.00M,,2.263B,-480.00M,,1.783B,,16.00M,,-362.00M,,,,,AOR,Restated
2010-06,379.00M,,,,780.00M,196.00M,-46.00M,-7.00M,19.00M,16.00M,51.00M,-72.00M,,-278.00M,,70.00M,-229.00M,324.00M,,-267.00M,,-246.00M,,-38.00M,-21.00M,-305.00M,,510.00M,0.00,510.00M,-81.00M,-333.00M,-414.00M,,,86.00M,0.00,182.00M,,2.062B,201.00M,,2.263B,,-81.00M,587.00M,-77.00M,-333.00M,,,,AOR,Restated
2010-03,518.00M,,,,-396.00M,188.00M,4.00M,0.00,13.00M,0.00,-118.00M,-40.00M,,-31.00M,,43.00M,-146.00M,577.00M,,-180.00M,,-180.00M,,-13.00M,19.00M,-174.00M,,-5.00M,-15.00M,-20.00M,81.00M,-251.00M,-170.00M,,,-42.00M,0.00,-232.00M,,1.891B,171.00M,,2.062B,,81.00M,0.00,-20.00M,-251.00M,,,,AOR,Restated
2009-12,533.00M,,,,192.00M,192.00M,5.00M,0.00,14.00M,19.00M,-91.00M,-23.00M,,100.00M,,4.00M,-10.00M,753.00M,,-103.00M,,-103.00M,,-106.00M,0.00,-209.00M,,-46.00M,-200.00M,-246.00M,,0.00,0.00,,,16.00M,47.00M,-183.00M,,1.53B,361.00M,,1.891B,,,0.00,-246.00M,0.00,,,,AOR,Restated
2009-09,179.00M,,,,204.00M,204.00M,1.00M,64.00M,11.00M,3.00M,-209.00M,-35.00M,,42.00M,,18.00M,-184.00M,278.00M,,-89.00M,,-89.00M,,17.00M,8.00M,-64.00M,,-334.00M,-135.00M,-469.00M,,,,,,26.00M,332.00M,-111.00M,,1.427B,103.00M,,1.53B,,,15.00M,-484.00M,,,,,AOR,Restated
2009-06,-83.00M,,,,224.00M,224.00M,11.00M,0.00,13.00M,9.00M,-162.00M,-10.00M,,-79.00M,,269.00M,18.00M,192.00M,,-80.00M,,-73.00M,,15.00M,-48.00M,-106.00M,,364.00M,0.00,364.00M,,0.00,0.00,,0.00,9.00M,,-11.00M,,1.352B,75.00M,,1.427B,,,399.00M,-35.00M,0.00,1.00M,10.00M,,AOR,Restated
2009-03,-275.00M,,,,226.00M,226.00M,-10.00M,0.00,17.00M,7.00M,166.00M,219.00M,,258.00M,,-369.00M,274.00M,239.00M,,-59.00M,,-59.00M,,18.00M,4.00M,-37.00M,,-5.00M,0.00,-5.00M,,0.00,0.00,,-15.00M,9.00M,,-11.00M,,1.161B,191.00M,,1.352B,,,0.00,-5.00M,0.00,4.00M,50.00M,,AOR,Restated
2008-12,-2.824B,,,,228.00M,228.00M,305.00M,2.32B,26.00M,0.00,352.00M,113.00M,,-975.00M,,543.00M,33.00M,88.00M,,-214.00M,,-214.00M,,12.00M,-8.00M,-210.00M,,-15.00M,350.00M,335.00M,,,,,-58.00M,1.00M,,278.00M,,1.005B,156.00M,,1.161B,,,350.00M,-15.00M,,3.00M,8.00M,,,Restated
2008-09,57.00M,,,,253.00M,253.00M,,0.00,27.00M,-8.00M,16.00M,36.00M,,304.00M,,-381.00M,-25.00M,304.00M,,-280.00M,,-280.00M,,3.00M,12.00M,-265.00M,,0.00,0.00,0.00,,,,,-59.00M,35.00M,,-24.00M,,990.00M,15.00M,,1.005B,,,0.00,0.00,,2.00M,50.00M,,,Restated
2008-06,160.00M,,,,213.00M,213.00M,-7.00M,,-86.00M,108.00M,-59.00M,128.00M,,-410.00M,167.00M,181.00M,7.00M,395.00M,,-293.00M,0.00,-293.00M,0.00,-12.00M,-1.00M,-306.00M,,34.00M,,0.00,178.00M,-195.00M,-17.00M,,-57.00M,-172.00M,4.00M,-242.00M,,1.143B,-153.00M,,990.00M,,178.00M,,34.00M,-195.00M,-28.00M,-71.00M,,,
2008-03,344.00M,,,,211.00M,211.00M,5.00M,0.00,86.00M,-59.00M,241.00M,-243.00M,,286.00M,-74.00M,-132.00M,78.00M,665.00M,,-275.00M,5.00M,-270.00M,0.00,147.00M,-2.00M,-125.00M,,-34.00M,0.00,-34.00M,-132.00M,-784.00M,-916.00M,,-52.00M,172.00M,0.00,-830.00M,,1.433B,-290.00M,,1.143B,,-132.00M,0.00,-34.00M,-784.00M,28.00M,71.00M,,,Restated
2007-12,403.00M,,,,215.00M,215.00M,12.00M,,,7.00M,-116.00M,-67.00M,,225.00M,76.00M,-31.00M,87.00M,724.00M,,-212.00M,24.00M,-188.00M,-72.00M,-82.00M,20.00M,-322.00M,,,,,70.00M,-251.00M,-181.00M,,-53.00M,,2.00M,-232.00M,,1.263B,170.00M,,1.433B,,70.00M,,,-251.00M,,,,,
2007-09,355.00M,,,,205.00M,205.00M,,,,42.00M,-133.00M,31.00M,,250.00M,-2.00M,6.00M,152.00M,754.00M,,-150.00M,,-150.00M,-6.00M,-79.00M,-3.00M,-238.00M,,,,,62.00M,-249.00M,-187.00M,,-54.00M,,,-241.00M,,988.00M,275.00M,,1.263B,,62.00M,,,-249.00M,,,,,
2007-06,542.00M,,,-23.00M,201.00M,201.00M,,,,68.00M,-14.00M,38.00M,,-96.00M,-41.00M,63.00M,-50.00M,373.00M,,-218.00M,26.00M,-192.00M,0.00,146.00M,-4.00M,-50.00M,,,,16.00M,12.00M,-202.00M,-190.00M,,-54.00M,,-16.00M,-244.00M,,909.00M,79.00M,,988.00M,,12.00M,,,-202.00M,,,,,
2007-03,212.00M,,,23.00M,236.00M,236.00M,,,,28.00M,-108.00M,-61.00M,,-28.00M,-90.00M,57.00M,-230.00M,269.00M,,-222.00M,1.00M,-221.00M,-178.00M,164.00M,-15.00M,-250.00M,,,,-5.00M,103.00M,-249.00M,-146.00M,,-54.00M,,-1.00M,-206.00M,,1.096B,-187.00M,,909.00M,,103.00M,,,-249.00M,,,,,
2006-12,140.00M,,,,215.00M,215.00M,,,,57.00M,78.00M,171.00M,,-23.00M,-75.00M,-81.00M,70.00M,482.00M,,-239.00M,28.00M,-211.00M,,335.00M,-23.00M,101.00M,,,,-416.00M,55.00M,-925.00M,-870.00M,,-58.00M,,1.00M,-1.343B,,1.856B,-760.00M,,1.096B,,55.00M,,,-925.00M,,,,,
2006-09,19.00M,,,,199.00M,199.00M,,,,74.00M,78.00M,-42.00M,,-244.00M,-251.00M,-14.00M,-473.00M,-181.00M,,-227.00M,,-227.00M,,30.00M,-6.00M,-203.00M,,,,1.477B,49.00M,-150.00M,-101.00M,,-46.00M,,,1.33B,,910.00M,946.00M,,1.856B,,49.00M,,,-150.00M,,,,,
2006-06,7.00M,,,-30.00M,176.00M,176.00M,,,,,-132.00M,5.00M,,17.00M,13.00M,25.00M,-72.00M,162.00M,,-402.00M,,-402.00M,297.00M,211.00M,4.00M,110.00M,,,,0.00,12.00M,,-387.00M,,-40.00M,,30.00M,-397.00M,,1.035B,-125.00M,,910.00M,,12.00M,,,,,,,,
2006-03,274.00M,,,4.00M,150.00M,150.00M,,,,,-61.00M,-44.00M,,125.00M,107.00M,-28.00M,99.00M,527.00M,,-253.00M,,-253.00M,0.00,-7.00M,-29.00M,-289.00M,,,,0.00,68.00M,,68.00M,,-39.00M,,0.00,29.00M,,768.00M,267.00M,,1.035B,,68.00M,,,,,,,,
2005-12,287.00M,,,17.00M,149.00M,149.00M,,,,,25.00M,-28.00M,,57.00M,87.00M,-32.00M,109.00M,562.00M,,-184.00M,,-184.00M,-13.00M,-21.00M,-48.00M,-266.00M,,,,-340.00M,10.00M,,10.00M,,-38.00M,,9.00M,-359.00M,,831.00M,-63.00M,,768.00M,,10.00M,,,,,,,,
