,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,2.835B,2.835B,1.931B,904.00M,140.00M,259.00M,6.00M,6.00M,54.00M,15.00M,-39.00M,405.00M,499.00M,15.00M,54.00M,-39.00M,6.00M,-39.00M,466.00M,5.00M,461.00M,,461.00M,455.06M,657.00M,137.00M,520.00M,,1.61,,1.589,1.61,,1.57,,1.550,1.57,,288.00M,295.00M,0.63,,AOR,Restated
2018-03,2.803B,2.803B,1.956B,847.00M,135.00M,254.00M,6.00M,-11.00M,60.00M,10.00M,-50.00M,395.00M,452.00M,10.00M,60.00M,-50.00M,-9.00M,-50.00M,393.00M,12.00M,381.00M,,381.00M,391.66M,596.00M,143.00M,453.00M,,1.33,,1.367,1.33,,1.31,,1.347,1.31,,286.00M,291.00M,0.63,,AOR,Restated
2017-12,2.914B,2.914B,2.037B,877.00M,142.00M,250.00M,19.00M,-33.00M,61.00M,6.00M,-55.00M,411.00M,466.00M,6.00M,61.00M,-55.00M,-40.00M,-55.00M,371.00M,212.00M,159.00M,,159.00M,186.39M,589.00M,157.00M,432.00M,,0.55,,0.6451,0.55,,0.55,,0.6441,0.55,,288.00M,291.00M,0.63,,AOR,Restated
2017-09,2.632B,2.632B,1.896B,736.00M,145.00M,263.00M,22.00M,-51.00M,61.00M,7.00M,-54.00M,430.00M,306.00M,7.00M,61.00M,-54.00M,-64.00M,-54.00M,188.00M,7.00M,181.00M,,181.00M,230.10M,410.00M,161.00M,249.00M,,0.62,,0.7893,0.62,,0.62,,0.7882,0.62,,290.00M,292.00M,0.63,,AOR,Restated
2017-06,2.406B,2.406B,1.74B,666.00M,149.00M,288.00M,19.00M,-14.00M,62.00M,5.00M,-57.00M,456.00M,210.00M,5.00M,62.00M,-57.00M,-33.00M,-57.00M,120.00M,6.00M,114.00M,,114.00M,127.30M,358.00M,176.00M,182.00M,,0.39,,0.4354,0.39,,0.38,,0.4245,0.38,,293.00M,299.00M,0.63,,AOR,Restated
2017-03,2.674B,2.674B,1.858B,816.00M,150.00M,324.00M,28.00M,-48.00M,60.00M,5.00M,-55.00M,502.00M,314.00M,5.00M,60.00M,-55.00M,-47.00M,-55.00M,212.00M,18.00M,194.00M,,194.00M,237.92M,454.00M,182.00M,272.00M,,0.66,,0.8084,0.66,,0.65,,0.7964,0.65,,296.00M,300.00M,0.63,,AOR,Restated
2016-12,2.894B,2.894B,2.003B,891.00M,155.00M,305.00M,28.00M,-33.00M,50.00M,1.00M,-49.00M,488.00M,403.00M,1.00M,50.00M,-49.00M,-44.00M,-49.00M,310.00M,13.00M,297.00M,,297.00M,328.62M,551.00M,191.00M,360.00M,,1.00,,1.107,1.00,,1.00,,1.106,1.00,,296.00M,298.00M,0.63,,AOR,Restated
2016-09,2.797B,2.797B,1.996B,801.00M,155.00M,315.00M,28.00M,-82.00M,50.00M,1.00M,-49.00M,498.00M,303.00M,1.00M,50.00M,-49.00M,-81.00M,-49.00M,173.00M,6.00M,167.00M,,167.00M,246.16M,423.00M,200.00M,223.00M,,0.56,,0.8247,0.56,,0.55,,0.8130,0.55,,299.00M,301.00M,0.63,,AOR,Restated
2016-06,2.654B,2.654B,1.992B,662.00M,144.00M,307.00M,29.00M,-80.00M,51.00M,1.00M,-50.00M,480.00M,182.00M,1.00M,51.00M,-50.00M,-79.00M,-50.00M,53.00M,-17.00M,70.00M,,70.00M,136.40M,304.00M,200.00M,104.00M,,0.23,,0.4543,0.23,,0.23,,0.4521,0.23,,296.00M,299.00M,0.63,,AOR,Restated
2016-03,2.595B,2.595B,2.071B,524.00M,150.00M,298.00M,29.00M,-20.00M,47.00M,1.00M,-46.00M,477.00M,47.00M,1.00M,47.00M,-46.00M,8.00M,-46.00M,9.00M,30.00M,-21.00M,,-21.00M,-4.40M,254.00M,198.00M,56.00M,,-0.07,,-0.0143,-0.07,,-0.07,,-0.0143,-0.07,,298.00M,298.00M,0.63,,AOR,Restated
2015-12,2.986B,2.986B,2.245B,741.00M,160.00M,304.00M,31.00M,-17.00M,48.00M,1.00M,-47.00M,495.00M,246.00M,1.00M,48.00M,-47.00M,-19.00M,-47.00M,180.00M,15.00M,165.00M,,165.00M,180.58M,437.00M,209.00M,228.00M,,0.55,,0.6021,0.55,,0.55,,0.6018,0.55,,299.00M,301.00M,0.63,,AOR,Restated
2015-09,2.925B,2.925B,2.236B,689.00M,182.00M,328.00M,34.00M,-59.00M,47.00M,1.00M,-46.00M,544.00M,145.00M,1.00M,47.00M,-46.00M,-68.00M,-46.00M,31.00M,-3.00M,34.00M,,34.00M,82.97M,286.00M,208.00M,78.00M,,0.11,,0.2722,0.11,,0.11,,0.2690,0.11,,302.00M,308.00M,0.54,,AOR,Restated
2015-06,2.928B,2.928B,2.152B,776.00M,203.00M,324.00M,34.00M,-8.00M,55.00M,2.00M,-53.00M,561.00M,215.00M,2.00M,55.00M,-53.00M,-13.00M,-53.00M,149.00M,12.00M,137.00M,,137.00M,144.36M,416.00M,212.00M,204.00M,,0.44,,0.4631,0.44,,0.43,,0.4528,0.43,,318.00M,322.00M,0.54,,AOR,Restated
2015-03,3.33B,3.33B,2.375B,955.00M,219.00M,346.00M,33.00M,-14.00M,48.00M,1.00M,-47.00M,598.00M,357.00M,1.00M,48.00M,-47.00M,-6.00M,-47.00M,304.00M,13.00M,291.00M,,291.00M,304.40M,555.00M,203.00M,352.00M,,0.90,,0.9415,0.90,,0.88,,0.9206,0.88,,323.00M,330.00M,0.54,,AOR,Restated
2014-12,3.696B,3.696B,2.669B,1.027B,218.00M,341.00M,32.00M,617.00M,50.00M,1.00M,-49.00M,591.00M,436.00M,1.00M,50.00M,-49.00M,739.00M,-49.00M,1.126B,193.00M,933.00M,,933.00M,421.76M,1.384B,208.00M,1.176B,,2.84,,1.281,2.84,,2.78,,1.258,2.78,,328.00M,336.00M,0.54,,AOR,Restated
2014-09,3.785B,3.785B,2.734B,1.051B,216.00M,342.00M,31.00M,-6.00M,54.00M,1.00M,-53.00M,589.00M,462.00M,1.00M,54.00M,-53.00M,-17.00M,-53.00M,392.00M,11.00M,381.00M,,381.00M,386.83M,664.00M,218.00M,446.00M,,1.17,,1.188,1.17,,1.13,,1.147,1.13,,327.00M,337.00M,0.43,,AOR,Restated
2014-06,3.301B,3.301B,2.376B,925.00M,161.00M,323.00M,27.00M,-4.00M,50.00M,1.00M,-49.00M,511.00M,414.00M,1.00M,50.00M,-49.00M,-81.00M,-49.00M,284.00M,-36.00M,320.00M,0.00,320.00M,323.32M,545.00M,211.00M,334.00M,,0.98,,0.9901,0.98,,0.95,,0.9599,0.95,,328.00M,335.00M,0.43,,AOR,Restated
2014-03,3.406B,3.406B,2.447B,959.00M,190.00M,297.00M,26.00M,-2.00M,52.00M,1.00M,-51.00M,513.00M,446.00M,1.00M,52.00M,-51.00M,-5.00M,-51.00M,390.00M,-5.00M,395.00M,0.00,395.00M,396.66M,653.00M,211.00M,442.00M,,1.21,,1.215,1.21,,1.17,,1.175,1.17,,327.00M,338.00M,0.43,,AOR,Restated
2013-12,3.528B,3.528B,2.541B,987.00M,190.00M,312.00M,25.00M,-16.00M,49.00M,1.00M,-48.00M,527.00M,460.00M,1.00M,49.00M,-48.00M,30.00M,-48.00M,442.00M,14.00M,428.00M,0.00,428.00M,443.49M,720.00M,229.00M,491.00M,,1.27,,1.316,1.27,,1.24,,1.285,1.24,,336.00M,346.00M,0.43,,AOR,Restated
2013-09,3.489B,3.489B,2.514B,975.00M,181.00M,294.00M,20.00M,-2.00M,44.00M,5.00M,-39.00M,495.00M,480.00M,5.00M,44.00M,-39.00M,-1.00M,-39.00M,440.00M,13.00M,427.00M,0.00,427.00M,428.94M,712.00M,228.00M,484.00M,,1.20,,1.205,1.20,,1.16,,1.165,1.16,,357.00M,368.00M,0.38,,AOR,Restated
2013-06,3.424B,3.424B,2.485B,939.00M,178.00M,294.00M,20.00M,0.00,51.00M,2.00M,-49.00M,492.00M,447.00M,2.00M,51.00M,-49.00M,-95.00M,-49.00M,303.00M,-45.00M,348.00M,0.00,348.00M,348.00M,576.00M,222.00M,354.00M,,0.97,,0.97,0.97,,0.94,,0.94,0.94,,358.00M,370.00M,0.38,,AOR,Restated
2013-03,3.526B,3.526B,2.578B,948.00M,168.00M,294.00M,20.00M,-1.00M,53.00M,2.00M,-51.00M,482.00M,466.00M,2.00M,53.00M,-51.00M,15.00M,-51.00M,430.00M,14.00M,416.00M,0.00,416.00M,416.97M,704.00M,221.00M,483.00M,,1.16,,1.163,1.16,,1.13,,1.133,1.13,,358.00M,369.00M,0.38,,AOR,Restated
2012-12,3.668B,3.668B,2.676B,992.00M,139.00M,277.00M,20.00M,-1.00M,55.00M,2.00M,-53.00M,436.00M,556.00M,2.00M,55.00M,-53.00M,-4.00M,-53.00M,499.00M,7.00M,492.00M,0.00,492.00M,492.99M,772.00M,218.00M,554.00M,,1.33,,1.333,1.33,,1.30,,1.303,1.30,,369.00M,379.00M,0.32,,AOR,Restated
2012-09,3.732B,3.732B,2.671B,1.061B,150.00M,268.00M,19.00M,0.00,55.00M,2.00M,-53.00M,437.00M,624.00M,2.00M,55.00M,-53.00M,29.00M,-53.00M,600.00M,18.00M,582.00M,0.00,582.00M,582.00M,867.00M,212.00M,655.00M,,1.48,,1.48,1.48,,1.42,,1.42,1.42,,394.00M,409.00M,0.32,,AOR,Restated
2012-06,4.482B,4.482B,2.998B,1.484B,140.00M,269.00M,18.00M,0.00,56.00M,3.00M,-53.00M,427.00M,1.057B,3.00M,56.00M,-53.00M,9.00M,-53.00M,1.013B,0.00,1.013B,0.00,1.013B,1.013B,1.286B,217.00M,1.069B,,2.46,,2.46,2.46,,2.37,,2.37,2.37,,411.00M,429.00M,0.25,,AOR,Restated
2012-03,4.45B,4.45B,2.809B,1.641B,142.00M,270.00M,18.00M,-1.00M,59.00M,2.00M,-57.00M,430.00M,1.211B,2.00M,59.00M,-57.00M,5.00M,-57.00M,1.159B,13.00M,1.146B,0.00,1.146B,1.147B,1.442B,224.00M,1.218B,,2.57,,2.572,2.57,,2.48,,2.482,2.48,,446.00M,463.00M,0.25,,AOR,Restated
2011-12,3.195B,3.195B,2.185B,1.01B,141.00M,259.00M,2.00M,-3.00M,58.00M,2.00M,-56.00M,402.00M,608.00M,2.00M,58.00M,-56.00M,6.00M,-56.00M,558.00M,-5.00M,563.00M,0.00,563.00M,565.49M,807.00M,191.00M,616.00M,,1.32,,1.326,1.32,,1.28,,1.286,1.28,,427.00M,439.00M,0.18,,AOR,Restated
2011-09,2.811B,2.811B,2.262B,549.00M,105.00M,208.00M,0.00,0.00,69.00M,1.00M,-68.00M,313.00M,236.00M,1.00M,69.00M,-68.00M,-16.00M,-68.00M,152.00M,12.00M,140.00M,0.00,140.00M,140.00M,403.00M,182.00M,221.00M,,0.33,,0.33,0.33,,0.32,,0.32,0.32,,421.00M,433.00M,0.18,,AOR,Restated
2011-06,2.859B,2.859B,2.308B,551.00M,128.00M,229.00M,0.00,17.00M,63.00M,1.00M,-62.00M,357.00M,194.00M,1.00M,63.00M,-62.00M,-3.00M,-62.00M,129.00M,10.00M,119.00M,,119.00M,103.32M,379.00M,187.00M,192.00M,,0.28,,0.2433,0.28,,0.26,,0.2246,0.26,,427.00M,443.00M,0.18,,AOR,Restated
2011-03,2.695B,2.695B,2.179B,516.00M,110.00M,224.00M,0.00,-3.00M,59.00M,2.00M,-57.00M,334.00M,182.00M,2.00M,59.00M,-57.00M,-3.00M,-57.00M,122.00M,29.00M,93.00M,,93.00M,95.29M,369.00M,188.00M,181.00M,,0.21,0.00,0.2152,0.21,,0.21,0.00,0.2150,0.21,,437.00M,453.00M,0.00,,AOR,Restated
2010-12,2.719B,2.719B,2.19B,529.00M,102.00M,213.00M,1.00M,6.00M,46.00M,2.00M,-44.00M,316.00M,213.00M,2.00M,46.00M,-44.00M,6.00M,-44.00M,175.00M,25.00M,150.00M,,150.00M,144.86M,411.00M,190.00M,221.00M,,0.32,0.00,0.3090,0.32,,0.31,0.00,0.2994,0.31,,469.00M,486.00M,0.00,,AOR,Restated
2010-09,2.697B,2.697B,2.147B,550.00M,105.00M,209.00M,1.00M,-38.00M,46.00M,2.00M,-44.00M,315.00M,235.00M,2.00M,46.00M,-44.00M,-38.00M,-44.00M,153.00M,4.00M,149.00M,,149.00M,186.01M,388.00M,189.00M,199.00M,,0.32,0.00,0.3986,0.32,,0.31,0.00,0.3860,0.31,,471.00M,487.00M,0.00,,AOR,Restated
2010-06,2.657B,2.657B,1.93B,727.00M,114.00M,219.00M,4.00M,-2.00M,47.00M,2.00M,-45.00M,337.00M,390.00M,2.00M,47.00M,-45.00M,-5.00M,-45.00M,340.00M,-39.00M,379.00M,,379.00M,380.66M,583.00M,196.00M,387.00M,,0.80,,0.8035,0.80,,0.76,,0.7633,0.76,,479.00M,499.00M,0.00,,AOR,Restated
2010-03,3.049B,3.049B,2.148B,901.00M,105.00M,224.00M,8.00M,-3.00M,41.00M,2.00M,-39.00M,337.00M,564.00M,2.00M,41.00M,-39.00M,-3.00M,-39.00M,522.00M,4.00M,518.00M,,518.00M,520.98M,751.00M,188.00M,563.00M,,1.05,0.00,1.056,1.05,,1.00,0.00,1.006,1.00,,493.00M,520.00M,0.00,,AOR,Restated
2009-12,3.027B,3.027B,2.104B,923.00M,110.00M,227.00M,8.00M,-11.00M,41.00M,1.00M,-40.00M,345.00M,578.00M,1.00M,41.00M,-40.00M,-11.00M,-40.00M,527.00M,-6.00M,533.00M,,533.00M,542.13M,760.00M,192.00M,568.00M,,1.07,0.00,1.088,1.07,,1.03,0.00,1.048,1.03,,498.00M,520.00M,0.00,,AOR,Restated
2009-09,2.663B,2.663B,2.01B,653.00M,106.00M,208.00M,8.00M,-107.00M,45.00M,1.00M,-44.00M,322.00M,331.00M,1.00M,45.00M,-44.00M,-107.00M,-44.00M,180.00M,1.00M,179.00M,,179.00M,285.41M,429.00M,204.00M,225.00M,,0.36,0.00,0.5754,0.36,,0.35,0.00,0.5578,0.35,,494.00M,512.00M,0.00,,AOR,Restated
2009-06,2.353B,2.353B,1.938B,415.00M,113.00M,215.00M,14.00M,-90.00M,41.00M,2.00M,-39.00M,342.00M,73.00M,2.00M,41.00M,-39.00M,-90.00M,-39.00M,-56.00M,27.00M,-83.00M,,-83.00M,-9.20M,209.00M,224.00M,-15.00M,,-0.15,0.00,0.0003,-0.15,,-0.15,0.00,0.0003,-0.15,,491.00M,491.00M,0.00,,AOR,Restated
2009-03,2.15B,2.15B,1.997B,153.00M,134.00M,243.00M,13.00M,-20.00M,37.00M,3.00M,-34.00M,390.00M,-237.00M,3.00M,37.00M,-34.00M,-20.00M,-34.00M,-291.00M,-16.00M,-275.00M,,-275.00M,-256.10M,-28.00M,226.00M,-254.00M,,-0.56,0.00,-0.5213,-0.56,,-0.56,0.00,-0.5213,-0.56,,489.00M,489.00M,0.03,,AOR,Restated
2008-12,2.27B,2.27B,1.954B,316.00M,142.00M,235.00M,14.00M,-2.406B,32.00M,5.00M,-27.00M,391.00M,-75.00M,5.00M,32.00M,-27.00M,-2.406B,-27.00M,-2.508B,316.00M,-2.824B,,-2.824B,-851.08M,-2.248B,228.00M,-2.476B,,-5.80,0.00,-1.749,-5.80,,-5.80,0.00,-1.749,-5.80,,487.00M,487.00M,0.12,,,Restated
2008-09,3.033B,3.033B,2.507B,526.00M,148.00M,260.00M,14.00M,-37.00M,33.00M,7.00M,-26.00M,422.00M,104.00M,7.00M,33.00M,-26.00M,-37.00M,-26.00M,41.00M,-16.00M,57.00M,,57.00M,87.34M,327.00M,253.00M,74.00M,,0.12,0.00,0.1826,0.12,,0.12,0.00,0.1814,0.12,,485.00M,494.00M,0.12,,,Restated
2008-06,2.899B,2.899B,2.208B,691.00M,175.00M,270.00M,13.00M,-27.00M,,,,458.00M,233.00M,,,,-27.00M,,182.00M,22.00M,160.00M,,160.00M,183.74M,434.00M,213.00M,221.00M,,0.35,0.00,0.3992,0.35,,0.34,0.00,0.3870,0.34,,482.00M,505.00M,0.12,,,
2008-03,3.104B,3.104B,2.288B,816.00M,164.00M,254.00M,15.00M,-20.00M,30.00M,16.00M,-14.00M,433.00M,383.00M,16.00M,30.00M,-14.00M,-20.00M,-14.00M,349.00M,5.00M,344.00M,,344.00M,363.71M,590.00M,211.00M,379.00M,,0.68,0.00,0.7189,0.68,,0.65,0.00,0.6872,0.65,,507.00M,530.00M,0.10,,,Restated
2007-12,3.42B,3.42B,2.531B,889.00M,167.00M,262.00M,13.00M,-9.00M,,,,442.00M,447.00M,,,,-9.00M,,423.00M,20.00M,403.00M,,403.00M,411.57M,662.00M,215.00M,447.00M,,0.77,0.00,0.7863,0.77,,0.73,0.00,0.7454,0.73,,526.00M,556.00M,0.10,,,
2007-09,3.285B,3.285B,2.476B,809.00M,153.00M,242.00M,13.00M,-10.00M,,,,408.00M,401.00M,,,,-10.00M,,375.00M,20.00M,355.00M,,355.00M,364.47M,606.00M,205.00M,401.00M,,0.67,0.00,0.6878,0.67,,0.64,0.00,0.6569,0.64,,531.00M,560.00M,0.10,,,
2007-06,2.744B,2.744B,2.15B,594.00M,143.00M,221.00M,13.00M,-25.00M,,,,377.00M,217.00M,,,,-25.00M,,172.00M,-370.00M,542.00M,,542.00M,562.00M,418.00M,201.00M,217.00M,,0.98,0.00,1.017,0.98,,0.94,0.00,0.9755,0.94,,540.00M,563.00M,0.10,,,
2007-03,2.828B,2.828B,2.225B,603.00M,126.00M,214.00M,13.00M,-2.00M,,,,353.00M,250.00M,,,,-2.00M,,230.00M,18.00M,212.00M,,212.00M,213.84M,486.00M,236.00M,250.00M,,0.39,0.00,0.3934,0.39,,0.37,0.00,0.3732,0.37,,546.00M,577.00M,0.10,,,
2006-12,2.996B,2.996B,2.45B,546.00M,141.00M,226.00M,12.00M,8.00M,,,,379.00M,167.00M,,,,8.00M,,145.00M,5.00M,140.00M,,140.00M,132.28M,382.00M,215.00M,167.00M,,0.25,0.00,0.2365,0.25,,0.23,0.00,0.2171,0.23,,571.00M,598.00M,0.10,,,
2006-09,2.793B,2.793B,2.351B,442.00M,180.00M,243.00M,11.00M,7.00M,,,,434.00M,8.00M,,,,7.00M,,14.00M,-5.00M,19.00M,,19.00M,14.80M,207.00M,199.00M,8.00M,,0.03,0.00,0.0227,0.03,,0.03,0.00,0.0230,0.03,,576.00M,602.00M,0.08,,,
2006-06,2.529B,2.529B,2.074B,455.00M,144.00M,232.00M,,0.00,,,,383.00M,72.00M,,,,0.00,,83.00M,76.00M,7.00M,,7.00M,7.00M,248.00M,176.00M,72.00M,,-0.02,0.00,-0.02,-0.02,,-0.03,0.00,-0.03,-0.03,,531.00M,563.00M,0.08,,,
2006-03,2.289B,2.289B,1.733B,556.00M,108.00M,195.00M,,12.00M,,,,303.00M,253.00M,,,,12.00M,,277.00M,3.00M,274.00M,,274.00M,262.13M,403.00M,150.00M,253.00M,,0.56,0.00,0.5357,0.56,,0.53,0.00,0.5072,0.53,,489.00M,521.00M,0.08,,,
2005-12,2.30B,2.30B,1.709B,591.00M,108.00M,199.00M,,4.00M,,,,307.00M,284.00M,,,,4.00M,,291.00M,4.00M,287.00M,,287.00M,283.05M,433.00M,149.00M,284.00M,,0.60,0.00,0.5918,0.60,,0.57,0.00,0.5622,0.57,,482.00M,507.00M,0.08,,,
2005-09,2.088B,2.088B,1.553B,535.00M,86.00M,180.00M,,1.00M,,,,266.00M,269.00M,,,,1.00M,,272.00M,,272.00M,,272.00M,271.40M,406.00M,137.00M,269.00M,,0.57,0.00,0.5687,0.57,,0.54,0.00,0.5388,0.54,,479.00M,506.00M,0.08,,,
2005-06,2.179B,2.179B,1.639B,540.00M,87.00M,171.00M,,9.00M,,,,258.00M,282.00M,,,,9.00M,,291.00M,11.00M,280.00M,,280.00M,271.34M,401.00M,119.00M,282.00M,,0.59,0.00,0.5717,0.59,,0.56,0.00,0.5430,0.56,,474.00M,508.00M,0.08,,,
2005-03,1.969B,1.969B,1.492B,477.00M,78.00M,164.00M,,5.00M,,,,242.00M,235.00M,,,,5.00M,,237.00M,8.00M,229.00M,,229.00M,224.17M,347.00M,112.00M,235.00M,,0.49,0.00,0.4798,0.49,,0.45,0.00,0.4405,0.45,,472.00M,507.00M,0.06,,,
2004-12,1.847B,1.847B,1.467B,380.00M,75.00M,158.00M,,5.00M,,,,233.00M,147.00M,,,,5.00M,,148.00M,4.00M,144.00M,,144.00M,139.14M,268.00M,121.00M,147.00M,,0.31,0.00,0.2996,0.31,,0.29,0.00,0.2803,0.29,,466.00M,500.00M,0.06,,,
2004-09,1.558B,1.558B,1.283B,275.00M,65.00M,152.00M,,3.00M,,,,217.00M,58.00M,,,,3.00M,,56.00M,2.00M,54.00M,,54.00M,51.11M,170.00M,112.00M,58.00M,,0.12,0.00,0.1137,0.12,,0.11,0.00,0.1041,0.11,,462.00M,494.00M,0.06,,,
2004-06,1.336B,1.336B,1.107B,229.00M,66.00M,161.00M,,-26.00M,,,,227.00M,2.00M,,,,-26.00M,,-30.00M,4.00M,-34.00M,,-34.00M,-18.40M,95.00M,93.00M,2.00M,,-0.08,0.00,-0.0459,-0.08,,-0.08,0.00,-0.0485,-0.08,,458.00M,495.00M,0.06,,,
2004-03,1.388B,1.388B,1.087B,301.00M,73.00M,169.00M,,-6.00M,,,,242.00M,59.00M,,,,-6.00M,,46.00M,-113.00M,159.00M,,159.00M,162.60M,164.00M,105.00M,59.00M,,0.35,0.00,0.3579,0.35,,0.32,0.00,0.3272,0.32,,455.00M,498.00M,0.06,,,
2003-12,1.76B,1.76B,1.299B,461.00M,73.00M,166.00M,,-4.00M,,,,239.00M,222.00M,,,,-4.00M,,211.00M,6.00M,205.00M,,205.00M,208.89M,222.00M,,222.00M,,0.46,0.00,0.4686,0.46,,0.41,0.00,0.4178,0.41,,450.00M,500.00M,0.04,,,
2003-09,1.74B,1.74B,1.272B,468.00M,78.00M,169.00M,,-12.00M,,,,247.00M,221.00M,,,,-12.00M,,201.00M,3.00M,198.00M,,198.00M,209.82M,221.00M,,221.00M,,0.44,0.00,0.4666,0.44,,0.40,0.00,0.4237,0.40,,445.00M,499.00M,0.04,,,
