,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.853B,4.00M,1.857B,1.184B,,1.184B,329.00M,347.00M,377.00M,,1.053B,4.00M,,212.00M,4.31B,0.00,55.00M,1.805B,7.472B,,193.00M,,9.525B,-7.733B,1.792B,1.237B,188.00M,1.425B,1.275B,417.00M,191.00M,5.10B,9.41B,,1.728B,181.00M,,1.909B,529.00M,2.438B,499.00M,499.00M,,499.00M,,,,3.19B,4.32B,,4.32B,,,125.00M,,100.00M,4.555B,7.745B,,0.00,-4.696B,6.377B,-16.00M,1.665B,,AOR,Restated
2018-03,2.926B,,2.926B,1.076B,,1.076B,308.00M,322.00M,372.00M,,1.002B,,,243.00M,5.247B,0.00,,,,,,9.436B,9.436B,-7.716B,1.72B,1.238B,204.00M,1.442B,,398.00M,205.00M,3.765B,9.012B,,1.645B,,,1.645B,719.00M,2.364B,,503.00M,,503.00M,,,,3.055B,4.319B,,4.319B,,,125.00M,,139.00M,4.593B,7.648B,,6.347B,-4.975B,,-8.00M,1.364B,,AOR,Restated
2017-12,2.556B,,2.556B,1.055B,,1.055B,303.00M,296.00M,415.00M,,1.014B,,,285.00M,4.91B,,,,,,,,9.422B,-7.66B,1.762B,1.238B,222.00M,1.46B,,402.00M,216.00M,3.84B,8.75B,,1.62B,179.00M,,1.799B,571.00M,2.37B,,560.00M,,560.00M,,,,3.113B,4.316B,,4.316B,,,125.00M,,123.00M,4.576B,7.689B,,6.246B,-5.174B,,-11.00M,1.061B,,AOR,Restated
2017-09,2.285B,,2.285B,1.209B,,1.209B,327.00M,275.00M,412.00M,,1.014B,,,316.00M,4.824B,0.00,,,,,,9.529B,9.529B,-7.712B,1.817B,1.237B,255.00M,1.492B,,609.00M,214.00M,4.132B,8.956B,,1.539B,,,1.539B,769.00M,2.308B,,,,,,,,2.458B,5.002B,,5.002B,,,119.00M,,120.00M,5.256B,7.714B,,6.213B,-4.958B,,-13.00M,1.242B,,AOR,Restated
2017-06,2.539B,,2.539B,1.199B,,1.199B,350.00M,257.00M,375.00M,,982.00M,,,321.00M,5.041B,0.00,54.00M,1.899B,7.536B,,144.00M,,9.633B,-7.758B,1.875B,1.238B,281.00M,1.519B,0.00,609.00M,224.00M,4.227B,9.268B,,1.626B,184.00M,,1.81B,579.00M,2.389B,,,,,,,,2.626B,5.021B,,5.021B,,,120.00M,,122.00M,5.278B,7.904B,,0.00,-4.771B,6.152B,-17.00M,1.364B,,AOR,Restated
2017-03,3.026B,0.00,3.026B,1.156B,,1.156B,382.00M,262.00M,394.00M,,1.038B,,,240.00M,5.46B,0.00,,,,,,9.709B,9.709B,-7.798B,1.911B,1.237B,323.00M,1.56B,,605.00M,203.00M,4.279B,9.739B,,1.591B,187.00M,,1.778B,608.00M,2.386B,,158.00M,,158.00M,,,,2.789B,5.073B,,5.073B,,,111.00M,,142.00M,5.342B,8.131B,,6.122B,-4.487B,,-27.00M,1.608B,,AOR,Restated
2016-12,1.716B,0.00,1.716B,1.211B,,1.211B,312.00M,362.00M,334.00M,,1.008B,,,205.00M,4.14B,0.00,,,,,,9.799B,9.799B,-7.787B,2.012B,1.237B,364.00M,1.601B,,614.00M,194.00M,4.421B,8.561B,,1.631B,186.00M,,1.817B,610.00M,2.427B,,,,,,,,2.681B,4.093B,,4.093B,,,108.00M,,143.00M,4.357B,7.038B,,6.049B,-4.493B,,-33.00M,1.523B,,AOR,Restated
2016-09,1.489B,5.00M,1.494B,1.307B,,1.307B,287.00M,279.00M,348.00M,,914.00M,,,213.00M,3.928B,0.00,,,,,,9.898B,9.898B,-7.805B,2.093B,1.237B,406.00M,1.643B,,615.00M,216.00M,4.567B,8.495B,,1.568B,,,1.568B,824.00M,2.392B,,,,,,,,2.608B,4.092B,,4.092B,,,105.00M,,155.00M,4.363B,6.971B,,6.004B,-4.456B,,-24.00M,1.524B,,AOR,Restated
2016-06,1.125B,6.00M,1.131B,1.318B,,1.318B,307.00M,297.00M,264.00M,,868.00M,,,216.00M,3.533B,0.00,69.00M,1.90B,7.681B,,234.00M,,9.884B,-7.724B,2.16B,1.237B,448.00M,1.685B,,616.00M,219.00M,4.68B,8.213B,,1.517B,,,1.517B,548.00M,2.065B,,,,,,,,2.249B,4.091B,,4.091B,,,102.00M,,164.00M,4.371B,6.62B,,0.00,-4.311B,5.929B,-25.00M,1.593B,,AOR,Restated
2016-03,1.193B,6.00M,1.199B,1.25B,,1.25B,353.00M,243.00M,332.00M,,928.00M,,0.00,223.00M,3.60B,0.00,,,,,,9.808B,9.808B,-7.643B,2.165B,1.238B,492.00M,1.73B,,619.00M,260.00M,4.774B,8.374B,,1.504B,,,1.504B,585.00M,2.089B,,,,,,,,2.259B,4.13B,,4.13B,,,97.00M,,177.00M,4.432B,6.691B,,5.903B,-4.192B,,-28.00M,1.683B,,AOR,Restated
2015-12,1.258B,6.00M,1.264B,1.398B,,1.398B,330.00M,281.00M,435.00M,,1.046B,,0.00,223.00M,3.931B,0.00,,,,,,9.845B,9.845B,-7.615B,2.23B,1.238B,535.00M,1.773B,,617.00M,245.00M,4.865B,8.796B,,1.759B,,,1.759B,605.00M,2.364B,,,,,,,,2.539B,4.14B,,4.14B,,,104.00M,,165.00M,4.436B,6.975B,,5.836B,-3.983B,,-32.00M,1.821B,,AOR,Restated
2015-09,1.915B,6.00M,1.921B,1.522B,,1.522B,318.00M,315.00M,465.00M,,1.098B,,120.00M,221.00M,4.882B,0.00,,,,,,9.746B,9.746B,-7.499B,2.247B,874.00M,329.00M,1.203B,,497.00M,250.00M,4.197B,9.079B,,1.89B,,,1.89B,632.00M,2.522B,,,,,,,,2.718B,4.14B,,4.14B,,,101.00M,,172.00M,4.439B,7.157B,,5.803B,-3.851B,,-30.00M,1.922B,,AOR,Restated
2015-06,2.479B,6.00M,2.485B,1.735B,66.00M,1.801B,352.00M,239.00M,402.00M,,993.00M,,122.00M,167.00M,5.568B,0.00,48.00M,1.595B,7.44B,,547.00M,,9.63B,-7.352B,2.278B,874.00M,370.00M,1.244B,,496.00M,259.00M,4.277B,9.845B,,1.54B,,,1.54B,547.00M,2.087B,,,,,,,,2.343B,4.155B,,4.155B,,,113.00M,0.00,183.00M,4.484B,6.827B,,0.00,-2.686B,5.734B,-30.00M,3.018B,,AOR,Restated
2015-03,2.604B,6.00M,2.61B,1.769B,,1.769B,366.00M,288.00M,429.00M,,1.083B,4.00M,121.00M,244.00M,5.831B,0.00,,,,,,9.403B,9.403B,-7.221B,2.182B,871.00M,410.00M,1.281B,,499.00M,243.00M,4.205B,10.04B,,1.683B,,,1.683B,630.00M,2.313B,,474.00M,,474.00M,,,,3.043B,3.457B,,3.457B,,,126.00M,0.00,185.00M,3.802B,6.845B,,5.696B,-2.472B,,-33.00M,3.191B,,AOR,Restated
2014-12,3.296B,6.00M,3.302B,1.829B,,1.829B,326.00M,328.00M,475.00M,,1.129B,4.00M,123.00M,245.00M,6.632B,0.00,,,,,,9.263B,9.263B,-7.108B,2.155B,872.00M,449.00M,1.321B,,498.00M,208.00M,4.182B,10.81B,,1.736B,,,1.736B,811.00M,2.547B,,,,,,,,2.819B,3.932B,,3.932B,,,129.00M,0.00,186.00M,4.28B,7.099B,,5.621B,-1.881B,,-25.00M,3.715B,,AOR,Restated
2014-09,2.19B,11.00M,2.201B,1.909B,,1.909B,313.00M,314.00M,444.00M,,1.071B,4.00M,125.00M,273.00M,5.583B,0.00,,,,,,9.135B,9.135B,-6.979B,2.156B,873.00M,468.00M,1.341B,,499.00M,186.00M,4.182B,9.765B,,1.74B,,,1.74B,611.00M,2.351B,,,,,,,,2.596B,3.809B,,3.809B,,,128.00M,0.00,199.00M,4.223B,6.819B,,5.58B,-2.619B,,-15.00M,2.946B,,AOR,Restated
2014-06,2.634B,20.00M,2.654B,1.729B,112.00M,1.841B,324.00M,267.00M,394.00M,,985.00M,4.00M,126.00M,167.00M,5.777B,0.00,45.00M,1.452B,7.159B,,323.00M,,8.979B,-6.843B,2.136B,537.00M,359.00M,896.00M,,499.00M,184.00M,3.715B,9.492B,,1.549B,,,1.549B,553.00M,2.102B,,,,,,,,2.398B,3.92B,,3.92B,,,125.00M,0.00,127.00M,4.262B,6.66B,,0.00,-2.677B,5.511B,-2.00M,2.832B,,AOR,Restated
2014-03,2.259B,47.00M,2.306B,1.633B,124.00M,1.757B,246.00M,260.00M,340.00M,,846.00M,4.00M,116.00M,122.00M,5.151B,0.00,,,,,,8.807B,8.807B,-6.742B,2.065B,477.00M,304.00M,781.00M,,467.00M,195.00M,3.508B,8.659B,,1.345B,,,1.345B,605.00M,1.95B,,,,,,,,2.162B,3.514B,,3.514B,,,134.00M,0.00,121.00M,3.859B,6.021B,,5.471B,-2.831B,,-2.00M,2.638B,,AOR,Restated
2013-12,2.293B,46.00M,2.339B,1.615B,130.00M,1.745B,254.00M,255.00M,439.00M,,948.00M,4.00M,116.00M,137.00M,5.289B,0.00,,,,,,8.727B,8.727B,-6.599B,2.128B,477.00M,329.00M,806.00M,,465.00M,202.00M,3.601B,8.89B,,1.577B,,,1.577B,613.00M,2.19B,,,,,,,,2.457B,3.572B,,3.572B,,,141.00M,0.00,122.00M,3.938B,6.395B,,5.404B,-2.902B,,-7.00M,2.495B,,AOR,Restated
2013-09,1.924B,489.00M,2.413B,1.618B,319.00M,1.937B,212.00M,226.00M,433.00M,,871.00M,108.00M,114.00M,182.00M,5.625B,0.00,,,,,,8.624B,8.624B,-6.437B,2.187B,477.00M,369.00M,846.00M,,457.00M,230.00M,3.72B,9.345B,,1.683B,,,1.683B,610.00M,2.293B,,1.00M,,1.00M,,,,2.514B,2.772B,,2.772B,,,147.00M,11.00M,130.00M,3.142B,5.656B,,5.352B,-1.668B,,-6.00M,3.678B,,AOR,Restated
2013-06,1.708B,480.00M,2.188B,1.67B,329.00M,1.999B,213.00M,231.00M,410.00M,,854.00M,101.00M,115.00M,155.00M,5.412B,0.00,44.00M,1.401B,6.838B,,261.00M,,8.544B,-6.275B,2.269B,476.00M,405.00M,881.00M,,456.00M,225.00M,3.831B,9.243B,,1.69B,,,1.69B,583.00M,2.273B,,3.00M,,3.00M,,,,2.611B,2.774B,,2.774B,,,144.00M,11.00M,121.00M,3.126B,5.737B,,0.00,-1.778B,5.286B,-13.00M,3.495B,,AOR,Restated
2013-03,1.433B,476.00M,1.909B,1.562B,293.00M,1.855B,213.00M,228.00M,392.00M,,833.00M,101.00M,111.00M,178.00M,4.987B,0.00,,,,,,8.389B,8.389B,-6.133B,2.256B,476.00M,442.00M,918.00M,,413.00M,169.00M,3.756B,8.743B,,1.698B,,,1.698B,635.00M,2.333B,,4.00M,,4.00M,,,,2.601B,2.474B,,2.474B,,,138.00M,13.00M,131.00M,2.83B,5.431B,,5.239B,-1.947B,,7.00M,3.299B,,AOR,Restated
2012-12,1.383B,489.00M,1.872B,1.648B,297.00M,1.945B,219.00M,197.00M,384.00M,,800.00M,98.00M,112.00M,190.00M,5.017B,0.00,,,,,,8.241B,8.241B,-6.013B,2.228B,476.00M,480.00M,956.00M,,409.00M,132.00M,3.725B,8.742B,,1.685B,,,1.685B,668.00M,2.353B,,3.00M,,3.00M,,,,2.643B,2.815B,,2.815B,,,135.00M,14.00M,140.00M,3.174B,5.817B,,5.154B,-2.261B,,18.00M,2.911B,,AOR,Restated
2012-09,1.894B,476.00M,2.37B,1.684B,404.00M,2.088B,216.00M,198.00M,431.00M,,845.00M,100.00M,112.00M,234.00M,5.749B,0.00,,,,,,8.101B,8.101B,-5.858B,2.243B,475.00M,517.00M,992.00M,,403.00M,135.00M,3.773B,9.522B,,1.808B,,,1.808B,725.00M,2.533B,,3.00M,,3.00M,,,,2.753B,2.867B,,2.867B,,,128.00M,52.00M,152.00M,3.234B,5.987B,,5.124B,-1.658B,,17.00M,3.483B,,AOR,Restated
2012-06,1.707B,411.00M,2.118B,2.319B,601.00M,2.92B,265.00M,245.00M,399.00M,,909.00M,93.00M,104.00M,166.00M,6.31B,0.00,29.00M,1.233B,6.495B,,263.00M,,8.02B,-5.736B,2.284B,463.00M,506.00M,969.00M,,396.00M,147.00M,3.796B,10.11B,,2.286B,,,2.286B,766.00M,3.052B,,,,,,,,3.396B,2.863B,,2.863B,,,128.00M,0.00,138.00M,3.213B,6.609B,,0.00,-1.444B,4.95B,-9.00M,3.497B,,AOR,Restated
2012-03,1.638B,408.00M,2.046B,2.478B,,2.478B,366.00M,273.00M,202.00M,,841.00M,98.00M,97.00M,808.00M,6.368B,,,,,,,,7.799B,-5.62B,2.179B,464.00M,541.00M,1.005B,,378.00M,134.00M,3.696B,10.06B,,2.172B,,,2.172B,720.00M,2.892B,,,,,,,,3.154B,2.862B,,2.862B,,,234.00M,,140.00M,3.236B,6.39B,,4.804B,-1.121B,,-9.00M,3.674B,,AOR,Restated
2011-12,1.825B,407.00M,2.232B,1.627B,385.00M,2.012B,408.00M,162.00M,257.00M,,827.00M,93.00M,99.00M,137.00M,5.40B,,,,,,,,7.672B,-5.462B,2.21B,468.00M,576.00M,1.044B,,376.00M,141.00M,3.771B,9.171B,,1.461B,,,1.461B,656.00M,2.117B,,,,,,,,2.372B,2.925B,,2.925B,,,183.00M,,151.00M,3.334B,5.706B,,4.628B,-1.15B,,-13.00M,3.465B,,AOR,Restated
2011-09,2.474B,426.00M,2.90B,1.449B,,1.449B,268.00M,167.00M,390.00M,,825.00M,88.00M,97.00M,639.00M,5.998B,,,,,,,,7.479B,-5.289B,2.19B,,,,,374.00M,170.00M,2.734B,8.732B,,1.674B,,12.00M,1.686B,651.00M,2.337B,,560.00M,,560.00M,,,,3.039B,2.924B,,2.924B,,,152.00M,,119.00M,3.268B,6.307B,,4.019B,-1.574B,,-20.00M,2.425B,,AOR,Restated
2011-06,2.677B,474.00M,3.151B,1.495B,519.00M,2.014B,286.00M,201.00M,385.00M,,872.00M,102.00M,99.00M,187.00M,6.425B,0.00,29.00M,1.203B,5.988B,,163.00M,,7.383B,-5.138B,2.245B,31.00M,1.00M,32.00M,,374.00M,149.00M,2.80B,9.225B,,2.063B,,,2.063B,641.00M,2.704B,,560.00M,,560.00M,,,,3.463B,2.952B,,2.952B,,,159.00M,,121.00M,3.299B,6.762B,,0.00,-1.511B,3.98B,-6.00M,2.463B,,AOR,Restated
2011-03,2.201B,279.00M,2.48B,1.394B,,1.394B,281.00M,176.00M,377.00M,,834.00M,103.00M,107.00M,586.00M,5.504B,,,,,,,,7.267B,-5.059B,2.208B,,,,,373.00M,195.00M,2.776B,8.28B,,1.778B,,14.00M,1.792B,617.00M,2.409B,,560.00M,,560.00M,,,,3.105B,2.352B,,2.352B,68.00M,68.00M,163.00M,,105.00M,2.688B,5.793B,,3.93B,-1.441B,,-2.00M,2.487B,,AOR,Restated
2010-12,2.528B,286.00M,2.814B,1.392B,,1.392B,266.00M,159.00M,383.00M,,808.00M,,112.00M,700.00M,5.826B,,,,,,,,7.17B,-4.908B,2.262B,,,,,376.00M,194.00M,2.832B,8.658B,,1.832B,,10.00M,1.842B,647.00M,2.489B,,560.00M,,560.00M,,,,3.178B,2.365B,,2.365B,,,282.00M,,,2.704B,5.882B,,3.894B,-1.129B,,11.00M,2.776B,,AOR,Restated
2010-09,1.783B,283.00M,2.066B,1.511B,,1.511B,244.00M,152.00M,347.00M,,743.00M,,125.00M,711.00M,5.156B,,,,,,,,7.032B,-4.757B,2.275B,,,,,379.00M,178.00M,2.832B,7.988B,,1.776B,,6.00M,1.782B,647.00M,2.429B,,560.00M,,560.00M,,,,3.116B,1.614B,,1.614B,,,172.00M,,101.00M,1.949B,5.065B,,3.873B,-974.00M,,24.00M,2.923B,,AOR,Restated
2010-06,2.263B,252.00M,2.515B,1.40B,,1.40B,263.00M,145.00M,349.00M,,757.00M,114.00M,118.00M,514.00M,5.418B,0.00,22.00M,1.164B,5.309B,,347.00M,,6.842B,-4.579B,2.263B,,,,,395.00M,171.00M,2.829B,8.247B,,1.78B,,14.00M,1.794B,611.00M,2.405B,,329.00M,,329.00M,,,,2.997B,2.173B,,2.173B,,,242.00M,,111.00M,2.526B,5.523B,,0.00,-1.123B,3.851B,-4.00M,2.724B,,AOR,Restated
2010-03,2.062B,214.00M,2.276B,1.451B,,1.451B,241.00M,159.00M,285.00M,,685.00M,,81.00M,663.00M,5.156B,,,,,,,,6.516B,-4.462B,2.054B,,,,,384.00M,153.00M,2.591B,7.747B,,1.895B,,12.00M,1.907B,638.00M,2.545B,,377.00M,,377.00M,,,,3.136B,1.598B,,1.598B,,,201.00M,,95.00M,1.954B,5.09B,,3.827B,-1.169B,,-1.00M,2.657B,,AOR,Restated
2009-12,1.891B,201.00M,2.092B,1.333B,,1.333B,188.00M,165.00M,292.00M,,645.00M,118.00M,99.00M,594.00M,4.881B,,,,,,,,6.301B,-4.318B,1.983B,,,,,364.00M,160.00M,2.507B,7.388B,,1.81B,,13.00M,1.823B,667.00M,2.49B,,96.00M,,96.00M,,,,2.793B,1.895B,,1.895B,,,201.00M,,101.00M,2.26B,5.053B,,3.776B,-1.436B,,-5.00M,2.335B,,AOR,Restated
2009-09,1.53B,96.00M,1.626B,1.242B,,1.242B,217.00M,135.00M,270.00M,,622.00M,,99.00M,718.00M,4.307B,,,,6.189B,,,,6.189B,-4.15B,2.039B,,,,,369.00M,184.00M,2.592B,6.899B,,1.674B,,13.00M,1.687B,646.00M,2.333B,,322.00M,,322.00M,,,,2.797B,1.91B,,1.91B,,,212.00M,,134.00M,2.323B,5.12B,,3.748B,-1.969B,,0.00,1.779B,,AOR,Restated
2009-06,1.427B,114.00M,1.541B,1.033B,,1.033B,201.00M,120.00M,266.00M,,587.00M,508.00M,97.00M,528.00M,4.294B,0.00,22.00M,1.083B,5.034B,,128.00M,,6.267B,-4.038B,2.229B,,,73.00M,,372.00M,119.00M,2.793B,7.087B,,1.573B,,,1.573B,850.00M,2.423B,,771.00M,,771.00M,,,,3.194B,1.926B,,1.926B,,,293.00M,,120.00M,2.339B,5.533B,,0.00,-2.148B,3.708B,-6.00M,1.554B,,AOR,Restated
2009-03,1.352B,129.00M,1.481B,872.00M,,872.00M,206.00M,110.00M,261.00M,,577.00M,,150.00M,464.00M,3.544B,,,,,,,,6.274B,-3.919B,2.355B,31.00M,62.00M,93.00M,,453.00M,181.00M,3.082B,6.626B,,1.389B,,9.00M,1.398B,664.00M,2.062B,,670.00M,,670.00M,,,,2.849B,1.68B,,1.68B,,,230.00M,,116.00M,2.193B,5.042B,,3.628B,-2.036B,,-8.00M,1.584B,,AOR,Restated
2008-12,1.161B,148.00M,1.309B,1.04B,,1.04B,274.00M,93.00M,429.00M,,796.00M,,157.00M,486.00M,3.788B,,,,,,,,6.303B,-3.793B,2.51B,31.00M,78.00M,109.00M,,436.00M,217.00M,3.272B,7.06B,,1.37B,,,1.37B,967.00M,2.337B,,670.00M,,670.00M,,,,3.007B,1.684B,,1.684B,,,,,529.00M,2.213B,5.22B,,0.00,-1.748B,3.602B,-14.00M,1.84B,,,Restated
2008-09,1.005B,148.00M,1.153B,1.393B,403.00M,1.796B,380.00M,139.00M,390.00M,,909.00M,,272.00M,237.00M,4.367B,,,,,,,,6.104B,-3.595B,2.509B,2.349B,94.00M,2.443B,,616.00M,234.00M,5.802B,10.17B,,1.93B,,,1.93B,997.00M,2.927B,,660.00M,,660.00M,,,,3.587B,1.37B,,1.37B,,,,,567.00M,1.937B,5.524B,,0.00,1.102B,3.563B,-20.00M,4.645B,,,Restated
2008-06,990.00M,151.00M,1.141B,1.41B,,1.41B,352.00M,111.00M,482.00M,,945.00M,,274.00M,502.00M,4.272B,0.00,21.00M,992.00M,4.404B,,428.00M,,5.845B,-3.381B,2.464B,2.352B,111.00M,2.463B,,616.00M,305.00M,5.848B,10.12B,,1.652B,,,1.652B,1.275B,2.927B,,360.00M,,360.00M,,,,3.287B,1.67B,,1.67B,,,,,577.00M,2.247B,5.534B,,0.00,1.101B,3.501B,-16.00M,4.586B,,,
