,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2011-09,3.083B,452.00M,3.535B,8.33B,,8.33B,2.152B,237.00M,1.816B,4.205B,1.764B,,,17.83B,,,,,,,36.26B,-15.52B,20.74B,16.27B,17.86B,34.13B,1.50B,,,1.176B,,2011-09,11.52B,,971.00M,,12.50B,,12.50B,,,5.07B,,5.07B,,17.56B,21.78B,21.78B,5.17B,5.17B,426.00M,,51.38B,,2011-09,72.00M,39.71B,41.00M,,,-2.80B,23.58B,,2011-09,AOR,Restated
2011-06,2.913B,431.00M,3.344B,8.283B,,8.283B,2.296B,283.00M,1.96B,4.539B,1.751B,,,17.92B,,,,,,,35.98B,-15.12B,20.85B,16.30B,18.03B,34.33B,1.449B,,,1.133B,,2011-06,11.43B,,909.00M,,12.34B,,12.34B,,,5.715B,,5.715B,,18.06B,21.61B,21.61B,4.977B,4.977B,418.00M,,51.31B,,2011-06,72.00M,38.53B,41.00M,,,-2.254B,23.95B,,2011-06,AOR,Restated
2011-03,3.662B,367.00M,4.029B,6.937B,,6.937B,1.907B,173.00M,1.751B,3.831B,1.715B,,,16.51B,,,,,,,34.80B,-14.47B,20.33B,15.82B,17.90B,33.72B,1.408B,,,1.117B,,2011-03,10.24B,,341.00M,,10.58B,,10.58B,,,6.256B,,6.256B,,16.84B,20.94B,20.94B,4.972B,4.972B,1.689B,,49.41B,,2011-03,72.00M,37.47B,41.00M,,,-3.035B,21.98B,,2011-03,AOR,Restated
2010-12,5.943B,426.00M,6.369B,5.514B,953.00M,6.323B,1.654B,128.00M,1.59B,3.372B,1.505B,,,17.57B,0.00,1.976B,7.054B,22.09B,,1.92B,33.04B,-13.98B,19.06B,14.66B,13.81B,28.47B,2.021B,165.00M,203.00M,547.00M,,2010-12,3.865B,766.00M,71.00M,,4.702B,1.841B,6.543B,2.632B,2.266B,4.898B,,4.898B,2.672B,15.89B,20.00B,20.00B,4.057B,4.057B,312.00M,,46.68B,,2010-12,72.00M,37.09B,41.00M,,,-3.63B,21.16B,,2010-12,AOR,Restated
2010-09,5.577B,232.00M,5.809B,7.245B,,7.245B,1.689B,183.00M,1.487B,3.359B,1.488B,,,17.90B,,,,,,,31.78B,-13.24B,18.53B,13.90B,13.76B,27.67B,1.401B,,,1.199B,,2010-09,10.70B,,662.00M,,11.36B,,11.36B,,,5.756B,,5.756B,,17.12B,18.44B,18.44B,3.865B,3.865B,298.00M,,46.47B,,2010-09,72.00M,36.49B,41.00M,,,-4.358B,19.94B,,2010-09,AOR,Restated
2010-06,4.529B,225.00M,4.754B,6.88B,,6.88B,1.725B,252.00M,1.553B,3.53B,1.579B,,,16.74B,,,,,,,31.12B,-12.72B,18.40B,13.60B,13.88B,27.48B,1.373B,,,1.081B,,2010-06,9.843B,,236.00M,,10.08B,,10.08B,,,4.493B,,4.493B,,14.57B,19.59B,19.59B,4.159B,4.159B,288.00M,,45.16B,,2010-06,72.00M,35.33B,41.00M,,,-4.226B,19.63B,,2010-06,AOR,Restated
2010-03,3.949B,198.00M,4.147B,6.204B,,6.204B,1.644B,184.00M,1.455B,3.283B,1.631B,,,15.26B,,,,,,,31.28B,-12.43B,18.85B,13.16B,14.35B,27.51B,1.381B,,,1.142B,,2010-03,9.553B,,127.00M,,9.68B,,9.68B,,,1.974B,,1.974B,,11.65B,19.88B,19.88B,4.143B,4.143B,275.00M,,42.29B,,2010-03,72.00M,34.50B,41.00M,,,-3.569B,21.58B,,2010-03,AOR,Restated
2009-12,3.943B,192.00M,4.135B,4.624B,,4.624B,1.274B,165.00M,1.179B,2.618B,1.194B,,,12.57B,0.00,1.208B,5.08B,17.18B,,1.441B,24.91B,-12.24B,12.67B,6.534B,2.623B,9.157B,4.484B,,,965.00M,,2009-12,8.127B,,165.00M,,8.292B,,8.292B,,,464.00M,,464.00M,,8.756B,7.40B,7.40B,659.00M,659.00M,638.00M,,22.41B,,2009-12,71.00M,33.80B,41.00M,,,-3.794B,16.80B,,2009-12,AOR,Restated
2009-09,3.254B,206.00M,3.46B,5.294B,,5.216B,1.333B,267.00M,1.116B,2.716B,1.024B,,,12.42B,,,,,,,23.85B,-11.82B,12.03B,6.351B,2.545B,8.896B,4.339B,,,936.00M,,2009-09,8.141B,,643.00M,,8.784B,,8.784B,,,511.00M,,511.00M,,9.295B,7.434B,7.434B,347.00M,347.00M,537.00M,,22.79B,,2009-09,71.00M,33.08B,41.00M,,,-4.262B,15.29B,,2009-09,AOR,Restated
2009-06,2.214B,210.00M,2.424B,5.305B,,5.223B,1.369B,359.00M,1.224B,2.952B,1.031B,,,11.63B,,,,,,,23.37B,-11.52B,11.85B,5.248B,1.975B,7.223B,4.076B,,,2.273B,,2009-06,7.772B,,412.00M,,8.184B,,8.184B,,,435.00M,,435.00M,,8.619B,8.185B,8.185B,260.00M,260.00M,432.00M,,22.64B,,2009-06,71.00M,32.06B,41.00M,,,-4.438B,13.98B,,2009-06,AOR,Restated
2009-03,2.188B,199.00M,2.387B,4.67B,,4.601B,1.25B,232.00M,1.098B,2.58B,1.291B,,,10.86B,,,,,,,22.17B,-10.87B,11.31B,4.988B,1.792B,6.78B,3.782B,,,2.293B,,2009-03,7.556B,,180.00M,,7.736B,,7.736B,,,255.00M,,255.00M,,7.991B,9.241B,9.241B,234.00M,234.00M,395.00M,,22.94B,,2009-03,71.00M,31.11B,41.00M,,,-5.698B,11.68B,,2009-03,AOR,Restated
2008-12,2.064B,213.00M,2.277B,3.784B,969.00M,4.683B,1.228B,169.00M,1.125B,2.522B,1.324B,,,10.81B,0.00,868.00M,4.738B,15.17B,,1.773B,22.55B,-10.89B,11.66B,5.124B,1.86B,6.984B,3.883B,,,2.658B,,2008-12,8.273B,,145.00M,,8.418B,,8.418B,,,369.00M,,369.00M,,8.787B,7.858B,7.858B,226.00M,226.00M,476.00M,,23.41B,,2008-12,71.00M,30.64B,41.00M,,,-4.694B,12.11B,,2008-12,AOR,Restated
2008-09,1.517B,342.00M,1.859B,5.752B,,5.752B,1.314B,269.00M,1.221B,2.804B,939.00M,,,11.35B,,,,,,,23.31B,-11.31B,11.99B,5.37B,2.116B,7.486B,,,,7.626B,,2008-09,8.011B,,,,8.011B,,8.011B,,,1.203B,,1.203B,507.00M,9.721B,6.537B,6.537B,716.00M,716.00M,,-95.00M,22.31B,,2008-09,30.00M,30.58B,,,,-945.00M,16.15B,,2008-09,,Restated
2008-06,1.768B,305.00M,2.073B,5.617B,,5.617B,1.275B,331.00M,1.329B,2.935B,1.026B,,,11.65B,,,,,,,22.76B,-11.16B,11.60B,5.511B,2.222B,7.733B,,,,5.795B,,2008-06,7.986B,,,,7.986B,,7.986B,,,,,,353.00M,8.339B,6.053B,6.053B,752.00M,752.00M,,-94.00M,20.03B,,2008-06,30.00M,29.67B,,,,-473.00M,16.75B,,2008-06,,Restated
