,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2015-09,543.00M,,,111.00M,111.00M,569.00M,569.00M,144.00M,1.359B,64.00M,-7.00M,-91.00M,-244.00M,288.00M,107.00M,1.171B,,,,1.322B,,,2015-09,-631.00M,37.00M,37.00M,,-575.00M,21.00M,0.00,,2015-09,1.22B,-834.00M,386.00M,,-1.069B,-1.069B,-1.00M,-1.00M,,-1.035B,-17.00M,-1.659B,,2015-09,1.207B,-71.00M,8.698B,,2015-09,,2.424B,-1.07B,,2015-09,AOR,Restated
2015-06,1.994B,,,111.00M,111.00M,579.00M,579.00M,61.00M,,68.00M,-40.00M,-198.00M,-874.00M,-448.00M,-2.00M,1.24B,,,,-84.00M,,,2015-06,-562.00M,15.00M,15.00M,,-1.00M,73.00M,-3.00M,,2015-06,2.485B,-1.49B,995.00M,,-1.006B,-1.006B,-1.00M,-1.00M,,-995.00M,39.00M,-889.00M,,2015-06,1.124B,28.00M,7.562B,,2015-06,,1.00B,-1.007B,,2015-06,AOR,Restated
2015-03,1.231B,,,104.00M,104.00M,496.00M,496.00M,-19.00M,,76.00M,-38.00M,-74.00M,-435.00M,-414.00M,-262.00M,-395.00M,,,,-1.506B,,,2015-03,-270.00M,11.00M,11.00M,,59.00M,520.00M,,,2015-03,-2.052B,3.737B,1.685B,,-1.124B,-1.124B,-1.00M,-1.00M,,-978.00M,37.00M,-210.00M,,2015-03,380.00M,-104.00M,6.41B,,2015-03,,3.739B,-1.125B,,2015-03,AOR,Restated
2014-12,1.326B,,,299.00M,404.00M,831.00M,831.00M,-11.00M,0.00,90.00M,-28.00M,-387.00M,1.239B,370.00M,98.00M,-119.00M,,,,1.588B,,,2014-12,-1.319B,55.00M,55.00M,,10.00M,3.008B,-13.00M,,2014-12,488.00M,-4.136B,-3.648B,,-1.805B,-1.805B,-3.00M,-3.00M,,-985.00M,10.00M,-6.237B,,2014-12,-683.00M,-465.00M,6.134B,,2014-12,,-1.608B,-1.808B,,2014-12,AOR,Restated
2014-09,2.018B,,,125.00M,125.00M,632.00M,632.00M,-43.00M,0.00,67.00M,-22.00M,-99.00M,-28.00M,341.00M,134.00M,896.00M,,,,1.343B,,,2014-09,-619.00M,18.00M,18.00M,,13.00M,-1.926B,-2.00M,,2014-09,-531.00M,591.00M,60.00M,,-1.008B,-1.008B,-4.00M,-4.00M,,-993.00M,-7.00M,-1.772B,,2014-09,-267.00M,-58.00M,7.282B,,2014-09,,592.00M,-1.012B,,2014-09,AOR,Restated
2014-06,1.987B,,,124.00M,124.00M,630.00M,630.00M,-27.00M,,68.00M,-17.00M,-138.00M,-1.196B,-416.00M,82.00M,1.394B,,,,-136.00M,,,2014-06,-566.00M,35.00M,35.00M,,31.00M,-3.439B,0.00,,2014-06,1.371B,-577.00M,794.00M,,-950.00M,-950.00M,-1.00M,-1.00M,,-864.00M,14.00M,-797.00M,,2014-06,-2.245B,13.00M,7.607B,,2014-06,,806.00M,-951.00M,,2014-06,AOR,Restated
2014-03,1.227B,,,119.00M,119.00M,532.00M,532.00M,62.00M,,72.00M,-47.00M,-148.00M,-358.00M,-406.00M,-234.00M,-638.00M,,,,-1.636B,,,2014-03,-355.00M,7.00M,7.00M,,61.00M,59.00M,5.00M,,2014-03,338.00M,2.125B,2.463B,,-1.249B,-1.249B,-2.00M,-2.00M,,-888.00M,47.00M,542.00M,,2014-03,500.00M,-36.00M,9.839B,,2014-03,,4.115B,-1.251B,,2014-03,AOR,Restated
2013-12,1.754B,0.00,,201.00M,201.00M,848.00M,848.00M,-992.00M,,84.00M,-23.00M,-14.00M,1.174B,341.00M,105.00M,-452.00M,,,,1.168B,,,2013-12,-1.298B,58.00M,58.00M,,-68.00M,69.00M,-8.00M,,2013-12,-930.00M,977.00M,47.00M,,-960.00M,-960.00M,-2.00M,-2.00M,,-876.00M,5.00M,-1.654B,,2013-12,125.00M,46.00M,9.375B,,2013-12,,1.003B,-962.00M,,2013-12,AOR,Restated
2013-09,1.923B,0.00,,156.00M,156.00M,630.00M,630.00M,123.00M,,70.00M,-11.00M,-79.00M,-174.00M,322.00M,85.00M,602.00M,,,,835.00M,,,2013-09,-586.00M,21.00M,21.00M,,-23.00M,-4.00M,0.00,,2013-09,685.00M,-565.00M,120.00M,,-1.013B,-1.013B,-1.00M,-1.00M,,-881.00M,-1.00M,-1.608B,,2013-09,1.447B,-36.00M,9.204B,,2013-09,,1.124B,-1.014B,,2013-09,AOR,Restated
2013-06,2.025B,0.00,,157.00M,157.00M,634.00M,634.00M,-166.00M,,72.00M,-47.00M,-378.00M,-913.00M,-308.00M,-40.00M,1.277B,,,,16.00M,,,2013-06,-608.00M,22.00M,22.00M,,142.00M,-44.00M,-13.00M,,2013-06,-755.00M,906.00M,151.00M,,-402.00M,-402.00M,-2.00M,-2.00M,,-846.00M,25.00M,-700.00M,,2013-06,1.112B,-34.00M,7.793B,,2013-06,,923.00M,-404.00M,,2013-06,AOR,Restated
