,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-03,1.366B,1.366B,447.00M,919.00M,338.00M,97.00M,23.00M,,-2.00M,47.00M,6.00M,-41.00M,458.00M,461.00M,6.00M,47.00M,-41.00M,-3.00M,-41.00M,417.00M,67.00M,350.00M,2.00M,352.00M,360.39M,524.00M,60.00M,464.00M,,0.72,0.7373,0.72,,0.72,0.7371,0.72,,485.90M,489.80M,0.126,,AOR,Restated
2017-12,1.46B,1.46B,457.00M,1.003B,361.00M,110.00M,23.00M,,-13.00M,50.00M,5.00M,-45.00M,494.00M,509.00M,5.00M,50.00M,-45.00M,-34.00M,-45.00M,430.00M,350.00M,80.00M,1.00M,81.00M,96.00M,543.00M,63.00M,480.00M,,0.17,0.2008,0.17,,0.16,0.1906,0.16,,487.27M,490.94M,0.105,,AOR,Restated
2017-09,1.347B,1.347B,435.00M,912.00M,328.00M,96.00M,23.00M,,-12.00M,43.00M,3.00M,-40.00M,447.00M,465.00M,3.00M,43.00M,-40.00M,-12.00M,-40.00M,413.00M,117.00M,296.00M,2.00M,298.00M,311.62M,514.00M,58.00M,456.00M,,0.61,0.6379,0.61,,0.61,0.6377,0.61,,489.10M,492.40M,0.00,,AOR,Restated
2017-06,1.269B,1.269B,440.00M,829.00M,336.00M,86.00M,23.00M,,2.00M,41.00M,,-41.00M,445.00M,384.00M,,41.00M,-41.00M,2.00M,-41.00M,345.00M,98.00M,247.00M,,247.00M,251.30M,445.00M,59.00M,386.00M,,0.50,0.5088,0.50,,0.50,0.5087,0.50,,490.80M,494.00M,0.105,,AOR,Restated
2017-03,1.231B,1.231B,443.00M,788.00M,309.00M,90.00M,22.00M,,1.00M,41.00M,,-41.00M,421.00M,367.00M,,41.00M,-41.00M,11.00M,-41.00M,337.00M,98.00M,239.00M,-1.00M,238.00M,238.71M,440.00M,62.00M,378.00M,,0.48,0.4814,0.48,,0.48,0.4814,0.48,,492.40M,495.30M,0.21,,AOR,Restated
2016-12,1.277B,1.277B,468.00M,809.00M,361.00M,108.00M,21.00M,,-35.00M,41.00M,,-33.00M,490.00M,319.00M,,41.00M,-33.00M,-55.00M,-33.00M,231.00M,77.00M,154.00M,0.00,154.00M,195.33M,335.00M,63.00M,272.00M,,0.31,0.3937,0.31,,0.31,0.3932,0.31,,493.96M,496.50M,0.095,,AOR,Restated
2016-09,1.241B,1.241B,410.00M,831.00M,345.00M,90.00M,21.00M,,-5.00M,41.00M,,-41.00M,456.00M,375.00M,,41.00M,-41.00M,-1.00M,-41.00M,333.00M,96.00M,237.00M,2.00M,239.00M,246.12M,434.00M,60.00M,374.00M,,0.48,0.4944,0.48,,0.48,0.4943,0.48,,495.20M,497.90M,0.00,,AOR,Restated
2016-06,1.208B,1.208B,399.00M,809.00M,343.00M,88.00M,22.00M,,15.00M,41.00M,,-41.00M,453.00M,356.00M,,41.00M,-41.00M,17.00M,-41.00M,332.00M,108.00M,224.00M,0.00,224.00M,219.28M,433.00M,60.00M,373.00M,,0.45,0.4405,0.45,,0.45,0.4405,0.45,,496.30M,498.80M,0.095,,AOR,Restated
2016-03,1.162B,1.162B,389.00M,773.00M,315.00M,90.00M,21.00M,,31.00M,43.00M,,-43.00M,426.00M,347.00M,,43.00M,-43.00M,28.00M,-43.00M,332.00M,128.00M,204.00M,0.00,204.00M,190.49M,432.00M,57.00M,375.00M,,0.41,0.3828,0.41,,0.41,0.3830,0.41,,497.40M,499.50M,0.19,,AOR,Restated
2015-12,1.274B,1.274B,496.00M,778.00M,425.00M,109.00M,16.00M,,-46.00M,38.00M,,-38.00M,550.00M,228.00M,,38.00M,-38.00M,-121.00M,-38.00M,69.00M,49.00M,20.00M,2.00M,22.00M,100.00M,162.00M,55.00M,107.00M,,0.04,0.1966,0.04,,0.04,0.1958,0.04,,498.23M,500.58M,0.083,,AOR,Restated
2015-09,1.214B,1.214B,421.00M,793.00M,374.00M,91.00M,15.00M,,-13.00M,29.00M,,-29.00M,480.00M,313.00M,,29.00M,-29.00M,-11.00M,-29.00M,273.00M,83.00M,190.00M,-1.00M,189.00M,202.22M,348.00M,46.00M,302.00M,,0.38,0.4065,0.38,,0.38,0.4064,0.38,,499.20M,501.70M,0.083,,AOR,Restated
2015-06,1.175B,1.175B,427.00M,748.00M,379.00M,84.00M,15.00M,,-268.00M,29.00M,,-29.00M,478.00M,270.00M,,29.00M,-29.00M,-268.00M,-29.00M,-27.00M,9.00M,-36.00M,-1.00M,-37.00M,144.42M,52.00M,50.00M,2.00M,,-0.07,0.2927,-0.07,,-0.07,0.2927,-0.07,,500.20M,500.20M,0.083,,AOR,Restated
2015-03,1.102B,1.102B,394.00M,708.00M,354.00M,80.00M,15.00M,,-1.00M,28.00M,,-28.00M,449.00M,259.00M,,28.00M,-28.00M,-1.00M,-28.00M,230.00M,65.00M,165.00M,0.00,165.00M,171.45M,306.00M,48.00M,258.00M,,0.33,0.3429,0.33,,0.33,0.3428,0.33,,501.10M,503.20M,0.083,,AOR,Restated
2014-12,1.32B,1.32B,491.00M,829.00M,497.00M,124.00M,14.00M,,-13.00M,30.00M,,-30.00M,635.00M,194.00M,,30.00M,-30.00M,-9.00M,-30.00M,155.00M,29.00M,126.00M,0.00,126.00M,140.63M,238.00M,53.00M,185.00M,,0.25,0.2792,0.25,,0.25,0.2791,0.25,,501.56M,503.27M,0.072,,AOR,Restated
2014-09,1.21B,1.21B,434.00M,776.00M,394.00M,93.00M,16.00M,,-7.00M,29.00M,,-29.00M,503.00M,273.00M,,29.00M,-29.00M,-6.00M,-29.00M,238.00M,71.00M,167.00M,-1.00M,166.00M,175.83M,317.00M,50.00M,267.00M,,0.33,0.3496,0.33,,0.33,0.3496,0.33,,501.45M,502.44M,0.072,,AOR,Restated
2014-06,1.158B,1.158B,413.00M,745.00M,396.00M,92.00M,15.00M,,-12.00M,29.00M,,-29.00M,503.00M,242.00M,,29.00M,-29.00M,-13.00M,-29.00M,200.00M,61.00M,139.00M,-3.00M,136.00M,149.20M,280.00M,51.00M,229.00M,,0.27,0.2964,0.27,,0.27,0.2963,0.27,,500.98M,501.68M,0.072,,AOR,Restated
2014-03,1.097B,1.097B,379.00M,718.00M,356.00M,87.00M,15.00M,,-1.00M,29.00M,,-29.00M,458.00M,260.00M,,29.00M,-29.00M,-4.00M,-29.00M,227.00M,72.00M,155.00M,0.00,155.00M,161.83M,306.00M,50.00M,256.00M,,0.31,0.3237,0.31,,0.31,0.3236,0.31,,500.23M,500.70M,0.072,,AOR,Restated
2013-12,1.254B,1.254B,466.00M,788.00M,458.00M,121.00M,15.00M,,-36.00M,30.00M,,-30.00M,594.00M,194.00M,,30.00M,-30.00M,-38.00M,-30.00M,126.00M,22.00M,104.00M,1.00M,105.00M,141.32M,214.00M,58.00M,156.00M,,0.21,0.2826,0.21,,0.21,0.2826,0.21,,500.01M,500.59M,0.065,,AOR,Restated
2013-09,1.103B,1.103B,385.00M,718.00M,399.00M,93.00M,15.00M,,-4.00M,29.00M,,-29.00M,507.00M,211.00M,,29.00M,-29.00M,3.00M,-29.00M,185.00M,54.00M,131.00M,0.00,131.00M,133.83M,263.00M,49.00M,214.00M,,0.26,0.2657,0.26,,0.26,0.2657,0.26,,500.00M,500.35M,0.065,,AOR,Restated
2013-06,1.114B,1.114B,416.00M,698.00M,399.00M,95.00M,15.00M,,26.00M,32.00M,,-32.00M,509.00M,189.00M,,32.00M,-32.00M,30.00M,-32.00M,187.00M,59.00M,128.00M,0.00,128.00M,111.58M,270.00M,51.00M,219.00M,,0.26,0.2272,0.26,,0.26,0.2272,0.26,,500.00M,500.22M,0.065,,AOR,Restated
2013-03,1.09B,1.09B,402.00M,688.00M,357.00M,90.00M,15.00M,,-8.00M,22.00M,,-22.00M,462.00M,226.00M,,22.00M,-22.00M,-12.00M,-22.00M,192.00M,52.00M,140.00M,0.00,140.00M,153.12M,265.00M,51.00M,214.00M,,0.28,0.3062,0.28,,0.28,0.3062,0.28,,500.00M,500.11M,,,AOR,Restated
2012-12,1.176B,1.176B,433.00M,743.00M,453.00M,121.00M,16.00M,,-80.00M,8.00M,,-8.00M,590.00M,153.00M,,8.00M,-8.00M,-71.00M,-8.00M,74.00M,84.00M,-10.00M,0.00,-10.00M,42.00M,126.00M,44.00M,82.00M,,,0.084,-0.02,,,0.084,-0.02,,500.00M,500.00M,,,AOR,Restated
2012-09,1.019B,1.019B,359.00M,660.00M,335.00M,94.00M,16.00M,,-8.00M,7.00M,,-7.00M,445.00M,215.00M,,7.00M,-7.00M,5.00M,-7.00M,213.00M,52.00M,161.00M,1.00M,162.00M,167.29M,274.00M,54.00M,220.00M,,,0.3346,0.324,,,0.3346,0.324,,500.00M,500.00M,,,AOR,Restated
2012-06,1.094B,1.094B,378.00M,716.00M,344.00M,92.00M,16.00M,,-8.00M,8.00M,,-8.00M,452.00M,264.00M,,8.00M,-8.00M,-4.00M,-8.00M,252.00M,79.00M,173.00M,0.00,173.00M,180.56M,314.00M,54.00M,260.00M,,,0.3611,0.346,,,0.3611,0.346,,500.00M,500.00M,,,AOR,Restated
2012-03,1.047B,1.047B,393.00M,654.00M,338.00M,102.00M,16.00M,,-25.00M,8.00M,,-8.00M,456.00M,198.00M,,8.00M,-8.00M,-19.00M,-8.00M,171.00M,59.00M,112.00M,-1.00M,111.00M,127.38M,227.00M,48.00M,179.00M,,,0.2548,0.222,,,0.2548,0.222,,500.00M,500.00M,,,AOR,Restated
2011-12,1.127B,1.127B,419.00M,708.00M,427.00M,119.00M,18.00M,,-106.00M,9.00M,,-9.00M,564.00M,144.00M,,9.00M,-9.00M,-105.00M,-9.00M,30.00M,20.00M,10.00M,-1.00M,9.00M,77.90M,93.00M,54.00M,39.00M,,,0.1558,0.018,,,0.1558,0.018,,500.00M,500.00M,,,AOR,Restated
2011-09,1.049B,1.049B,398.00M,651.00M,331.00M,102.00M,17.00M,,-64.00M,9.00M,,-9.00M,450.00M,201.00M,,9.00M,-9.00M,-44.00M,-9.00M,148.00M,53.00M,95.00M,-1.00M,94.00M,135.08M,209.00M,52.00M,157.00M,,,0.2702,0.188,,,0.2702,0.188,,500.00M,500.00M,,,,
2011-06,1.074B,1.074B,454.00M,620.00M,360.00M,105.00M,18.00M,,-24.00M,9.00M,,-9.00M,483.00M,137.00M,,9.00M,-9.00M,-24.00M,-9.00M,104.00M,38.00M,66.00M,0.00,66.00M,81.23M,163.00M,50.00M,113.00M,,,0.1625,0.132,,,0.1625,0.132,,500.00M,500.00M,,,,
2011-03,983.00M,983.00M,381.00M,602.00M,335.00M,101.00M,16.00M,,-29.00M,9.00M,,-9.00M,452.00M,150.00M,,9.00M,-9.00M,-29.00M,-9.00M,112.00M,35.00M,77.00M,-1.00M,76.00M,95.94M,170.00M,49.00M,121.00M,,,0.1919,0.152,,,0.1919,0.152,,500.00M,500.00M,,,AOR,
