,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-12,20.00M,,55.00M,55.00M,-4.00M,12.00M,12.00M,-4.00M,92.00M,-61.00M,-13.00M,55.00M,107.00M,-34.00M,146.00M,278.00M,,-81.00M,,143.00M,,-654.00M,,-2.00M,-737.00M,,1.117B,-4.00M,1.113B,-53.00M,-53.00M,-41.00M,-41.00M,,7.00M,1.026B,,592.00M,567.00M,-5.00M,1.154B,,,-119.00M,-53.00M,49.00M,0.00,,AOR,Restated
2015-09,190.00M,,46.00M,46.00M,-8.00M,10.00M,10.00M,-15.00M,-79.00M,-30.00M,32.00M,-34.00M,23.00M,37.00M,-51.00M,204.00M,,-52.00M,,-52.00M,,0.00,,-8.00M,-60.00M,,0.00,4.00M,4.00M,-50.00M,-50.00M,-42.00M,-42.00M,,2.00M,-86.00M,,544.00M,58.00M,-10.00M,592.00M,,,0.00,-50.00M,54.00M,58.00M,,AOR,Restated
2015-06,-36.00M,,50.00M,50.00M,-70.00M,37.00M,11.00M,231.00M,-67.00M,-94.00M,24.00M,-25.00M,22.00M,20.00M,-120.00M,122.00M,,-46.00M,,-46.00M,,1.00M,,1.00M,-44.00M,,0.00,3.00M,3.00M,-52.00M,-52.00M,-43.00M,-43.00M,,1.00M,-91.00M,,559.00M,-13.00M,-2.00M,544.00M,,,0.00,-52.00M,69.00M,1.00M,,AOR,Restated
2015-03,165.00M,,48.00M,48.00M,-3.00M,1.00M,10.00M,4.00M,-4.00M,-77.00M,-26.00M,-5.00M,-82.00M,11.00M,-183.00M,60.00M,,-45.00M,,-45.00M,,-230.00M,,1.00M,-274.00M,,0.00,-5.00M,-5.00M,-48.00M,-48.00M,-42.00M,-42.00M,,1.00M,-94.00M,,882.00M,-308.00M,-15.00M,559.00M,,,0.00,-48.00M,52.00M,58.00M,,AOR,Restated
2014-12,126.00M,,53.00M,53.00M,11.00M,2.00M,10.00M,3.00M,30.00M,-3.00M,27.00M,-3.00M,92.00M,-55.00M,88.00M,387.00M,,-51.00M,,-51.00M,0.00,0.00,,1.00M,-50.00M,,,-3.00M,-3.00M,0.00,0.00,-37.00M,-37.00M,-2.00M,,-42.00M,,598.00M,295.00M,-11.00M,882.00M,,,,0.00,68.00M,1.00M,,AOR,Restated
2014-09,167.00M,,50.00M,50.00M,-56.00M,7.00M,9.00M,6.00M,15.00M,-67.00M,-61.00M,4.00M,21.00M,8.00M,-80.00M,103.00M,,-42.00M,,-42.00M,0.00,0.00,,0.00,-42.00M,,,-3.00M,-3.00M,0.00,0.00,-36.00M,-36.00M,1.00M,,-38.00M,,578.00M,23.00M,-3.00M,598.00M,,,,0.00,123.00M,60.00M,,AOR,Restated
2014-06,139.00M,,51.00M,51.00M,-6.00M,1.00M,8.00M,-15.00M,24.00M,-40.00M,-176.00M,-3.00M,-100.00M,38.00M,-19.00M,159.00M,,-57.00M,,-42.00M,-15.00M,0.00,,7.00M,-50.00M,,,-3.00M,-3.00M,0.00,0.00,-37.00M,-37.00M,1.00M,,-39.00M,,506.00M,70.00M,2.00M,578.00M,,,,0.00,74.00M,-2.00M,,AOR,Restated
2014-03,155.00M,,50.00M,50.00M,2.00M,0.00,5.00M,3.00M,,,,,,,-238.00M,-23.00M,,-45.00M,,-45.00M,,0.00,,,-45.00M,,,1.00M,1.00M,0.00,0.00,-36.00M,-36.00M,0.00,,-35.00M,,610.00M,-103.00M,-1.00M,506.00M,,,,0.00,13.00M,59.00M,,AOR,Restated
2013-12,104.00M,,58.00M,58.00M,70.00M,11.00M,6.00M,-62.00M,,,,,,,37.00M,298.00M,,-49.00M,,-49.00M,0.00,,,-2.00M,-51.00M,,0.00,5.00M,5.00M,,,-33.00M,-33.00M,0.00,0.00,-28.00M,,389.00M,219.00M,2.00M,610.00M,,0.00,,,57.00M,0.00,,AOR,Restated
2013-09,131.00M,,49.00M,49.00M,-28.00M,1.00M,6.00M,2.00M,,,,,,,-47.00M,114.00M,,-55.00M,,-55.00M,0.00,,,1.00M,-54.00M,,1.00M,-1.00M,0.00,,,-32.00M,-32.00M,0.00,0.00,-32.00M,,369.00M,28.00M,-8.00M,389.00M,,1.00M,,,51.00M,60.00M,,AOR,Restated
2013-06,128.00M,,51.00M,51.00M,-26.00M,0.00,20.00M,-2.00M,,,,,,,-183.00M,-12.00M,,-58.00M,,-58.00M,0.00,,,6.00M,-52.00M,,0.00,6.00M,6.00M,,,-33.00M,-33.00M,0.00,-5.00M,-32.00M,,468.00M,-96.00M,-3.00M,369.00M,,0.00,,,17.00M,0.00,,AOR,Restated
2013-03,140.00M,,51.00M,51.00M,7.00M,3.00M,11.00M,1.00M,,,,,,,68.00M,281.00M,,-22.00M,,-22.00M,,,,,-22.00M,,2.624B,6.00M,2.63B,,,0.00,0.00,,-2.738B,-108.00M,,317.00M,151.00M,0.00,468.00M,,2.624B,,,9.00M,0.00,,AOR,Restated
2012-12,-10.00M,,44.00M,44.00M,7.00M,1.00M,10.00M,5.00M,,,,,,,253.00M,310.00M,,-45.00M,,-45.00M,,,,-1.00M,-46.00M,,0.00,0.00,0.00,,,0.00,0.00,,-78.00M,-78.00M,,133.00M,186.00M,-2.00M,317.00M,,0.00,,,0.00,0.00,,AOR,Restated
2012-09,161.00M,,54.00M,54.00M,-55.00M,3.00M,6.00M,1.00M,,,,,,,-96.00M,74.00M,,-26.00M,,-26.00M,,1.00M,,-5.00M,-30.00M,,0.00,0.00,0.00,,,-1.00M,-1.00M,,-17.00M,-18.00M,,106.00M,26.00M,1.00M,133.00M,,0.00,,,129.00M,8.00M,,AOR,Restated
2012-06,173.00M,,54.00M,54.00M,-17.00M,5.00M,6.00M,-4.00M,,,,,,,-143.00M,74.00M,,-24.00M,0.00,-24.00M,,-1.00M,,-1.00M,-26.00M,,0.00,0.00,0.00,,,-10.00M,-10.00M,,-43.00M,-53.00M,,113.00M,-5.00M,-2.00M,106.00M,,0.00,,,79.00M,14.00M,,AOR,Restated
2012-03,112.00M,,48.00M,48.00M,-9.00M,1.00M,6.00M,1.00M,,,,,,,-163.00M,-4.00M,,-31.00M,,-31.00M,,,,-2.00M,-33.00M,,0.00,0.00,0.00,,,-52.00M,-52.00M,,123.00M,71.00M,,79.00M,34.00M,0.00,113.00M,,0.00,,,68.00M,9.00M,,AOR,Restated
2011-12,10.00M,1.00M,54.00M,54.00M,-8.00M,66.00M,4.00M,-3.00M,,,,,,,-10.00M,114.00M,,-54.00M,,-54.00M,,0.00,,28.00M,-26.00M,,-105.00M,,-105.00M,,,-367.00M,-367.00M,,320.00M,-152.00M,,144.00M,-64.00M,-1.00M,79.00M,,,-105.00M,,103.00M,-1.00M,,AOR,Restated
2011-09,95.00M,0.00,52.00M,52.00M,18.00M,2.00M,4.00M,0.00,,,,,,,10.00M,181.00M,,-24.00M,,-24.00M,,0.00,,4.00M,-20.00M,,0.00,,0.00,,,-49.00M,0.00,,-128.00M,-128.00M,,113.00M,33.00M,-2.00M,144.00M,,,0.00,,27.00M,11.00M,,,
2011-06,66.00M,0.00,50.00M,50.00M,-22.00M,6.00M,5.00M,0.00,,,,,,,34.00M,139.00M,,-23.00M,,-23.00M,,0.00,,-1.00M,-24.00M,,0.00,,0.00,,,,-49.00M,,-52.00M,-101.00M,,99.00M,14.00M,0.00,113.00M,,,0.00,,-30.00M,17.00M,,,
2011-03,77.00M,-1.00M,49.00M,49.00M,77.00M,4.00M,6.00M,2.00M,,,,,,,-151.00M,63.00M,,-34.00M,,-34.00M,,-345.00M,,,-379.00M,,-38.00M,,-38.00M,,,,0.00,,389.00M,351.00M,,63.00M,35.00M,1.00M,99.00M,,,-38.00M,,42.00M,10.00M,,AOR,
