,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,1.654B,,1.654B,943.00M,,943.00M,130.00M,541.00M,770.00M,1.441B,,,229.00M,4.267B,,,,,,,2.972B,-1.519B,1.453B,1.532B,1.28B,2.812B,80.00M,78.00M,4.423B,8.69B,,217.00M,61.00M,92.00M,,370.00M,419.00M,789.00M,,,,29.00M,1.00B,4.954B,,4.954B,246.00M,246.00M,15.00M,211.00M,5.715B,6.715B,,5.00M,2.399B,990.00M,1.005B,-429.00M,1.96B,,AOR,Restated
2017-12,1.564B,0.00,1.564B,998.00M,,998.00M,155.00M,484.00M,788.00M,1.427B,,,228.00M,4.217B,0.00,22.00M,934.00M,1.696B,,254.00M,2.906B,-1.471B,1.435B,1.51B,1.269B,2.779B,80.00M,75.00M,4.369B,8.586B,,261.00M,61.00M,60.00M,,382.00M,432.00M,814.00M,,,,44.00M,1.094B,4.953B,,4.953B,380.00M,380.00M,16.00M,201.00M,5.706B,6.80B,,5.00M,2.109B,1.013B,852.00M,-505.00M,1.77B,,AOR,Restated
2017-09,1.981B,,1.981B,1.009B,,1.009B,174.00M,522.00M,794.00M,1.49B,,,357.00M,4.894B,,,,,,,2.835B,-1.447B,1.388B,1.53B,1.318B,2.848B,94.00M,64.00M,4.394B,9.288B,,213.00M,0.00,128.00M,,341.00M,413.00M,754.00M,,750.00M,750.00M,40.00M,1.746B,4.952B,,4.952B,269.00M,269.00M,30.00M,213.00M,5.523B,7.269B,,5.00M,2.14B,1.032B,733.00M,-455.00M,1.989B,,AOR,Restated
2017-06,705.00M,,705.00M,975.00M,,975.00M,180.00M,534.00M,784.00M,1.498B,,,353.00M,3.584B,,,,,,,2.752B,-1.397B,1.355B,1.495B,1.21B,2.705B,93.00M,65.00M,4.218B,7.802B,,199.00M,52.00M,82.00M,,333.00M,406.00M,739.00M,,850.00M,850.00M,32.00M,1.784B,3.719B,,3.719B,261.00M,261.00M,31.00M,209.00M,4.272B,6.056B,,5.00M,1.843B,1.024B,615.00M,-542.00M,1.715B,,AOR,Restated
2017-03,629.00M,,629.00M,954.00M,,954.00M,204.00M,531.00M,800.00M,1.535B,,,265.00M,3.383B,,,,,,,2.803B,-1.435B,1.368B,1.497B,1.232B,2.729B,97.00M,72.00M,4.266B,7.649B,,231.00M,52.00M,100.00M,,383.00M,383.00M,766.00M,,750.00M,750.00M,31.00M,1.73B,3.718B,,3.718B,272.00M,272.00M,26.00M,215.00M,4.284B,6.014B,,5.00M,1.651B,1.015B,510.00M,-552.00M,1.609B,,AOR,Restated
2016-12,727.00M,,727.00M,913.00M,,913.00M,204.00M,499.00M,799.00M,1.502B,,,248.00M,3.39B,0.00,22.00M,923.00M,1.582B,,212.00M,2.739B,-1.358B,1.381B,1.481B,1.228B,2.709B,96.00M,73.00M,4.259B,7.649B,,265.00M,52.00M,71.00M,,388.00M,464.00M,852.00M,,,,41.00M,1.117B,4.468B,,4.468B,244.00M,244.00M,12.00M,248.00M,5.033B,6.15B,,5.00M,1.477B,1.024B,421.00M,-598.00M,1.487B,,AOR,Restated
2016-09,651.00M,,651.00M,915.00M,,915.00M,227.00M,562.00M,774.00M,1.563B,,,235.00M,3.364B,,,,,,,2.723B,-1.341B,1.382B,1.497B,1.282B,2.779B,119.00M,71.00M,4.351B,7.715B,,241.00M,0.00,95.00M,,336.00M,457.00M,793.00M,,,,42.00M,1.039B,4.467B,,4.467B,266.00M,266.00M,13.00M,252.00M,5.078B,6.117B,,5.00M,1.423B,1.014B,351.00M,-506.00M,1.585B,,AOR,Restated
2016-06,658.00M,,658.00M,888.00M,,888.00M,242.00M,527.00M,756.00M,1.525B,,,257.00M,3.328B,,,,,,,2.638B,-1.297B,1.341B,1.475B,1.217B,2.692B,91.00M,66.00M,4.19B,7.518B,,224.00M,47.00M,51.00M,,322.00M,512.00M,834.00M,,4.00M,4.00M,37.00M,1.039B,4.465B,,4.465B,292.00M,292.00M,14.00M,236.00M,5.108B,6.147B,,5.00M,1.19B,1.01B,294.00M,-554.00M,1.357B,,AOR,Restated
2016-03,675.00M,,675.00M,908.00M,,908.00M,214.00M,482.00M,765.00M,1.461B,,,236.00M,3.307B,,,,,,,2.565B,-1.248B,1.317B,1.459B,1.21B,2.669B,112.00M,48.00M,4.146B,7.453B,,210.00M,49.00M,118.00M,,377.00M,552.00M,929.00M,,4.00M,4.00M,64.00M,1.163B,4.464B,,4.464B,270.00M,270.00M,22.00M,246.00M,5.103B,6.266B,,5.00M,1.016B,1.007B,245.00M,-618.00M,1.165B,,AOR,Restated
2015-12,1.154B,,1.154B,937.00M,,937.00M,325.00M,384.00M,758.00M,1.467B,,,201.00M,3.83B,0.00,22.00M,874.00M,1.434B,,185.00M,2.515B,-1.208B,1.307B,1.455B,1.19B,2.645B,82.00M,49.00M,4.083B,7.913B,,293.00M,47.00M,63.00M,,403.00M,676.00M,1.079B,,405.00M,405.00M,63.00M,1.781B,4.463B,,4.463B,264.00M,264.00M,23.00M,251.00M,5.041B,6.822B,,5.00M,876.00M,1.012B,203.00M,-622.00M,1.068B,,AOR,Restated
2015-09,592.00M,,592.00M,1.038B,,1.038B,361.00M,360.00M,682.00M,1.403B,,127.00M,264.00M,3.45B,,,,,,,2.494B,-1.201B,1.293B,1.163B,679.00M,1.842B,58.00M,43.00M,3.236B,6.686B,,306.00M,0.00,91.00M,,397.00M,599.00M,996.00M,,408.00M,408.00M,57.00M,1.658B,3.226B,,3.226B,227.00M,227.00M,25.00M,258.00M,3.774B,5.432B,,5.00M,943.00M,993.00M,150.00M,-562.00M,1.229B,,AOR,Restated
2015-06,544.00M,,544.00M,993.00M,,993.00M,278.00M,424.00M,715.00M,1.417B,,127.00M,235.00M,3.316B,,,,,,,2.474B,-1.179B,1.295B,1.167B,697.00M,1.864B,65.00M,58.00M,3.282B,6.598B,,278.00M,0.00,59.00M,,337.00M,627.00M,964.00M,,404.00M,404.00M,39.00M,1.572B,3.243B,,3.243B,234.00M,234.00M,26.00M,288.00M,3.824B,5.396B,,5.00M,795.00M,980.00M,100.00M,-504.00M,1.176B,,AOR,Restated
2015-03,559.00M,,559.00M,905.00M,,905.00M,277.00M,354.00M,715.00M,1.346B,,87.00M,213.00M,3.11B,,,,,,,2.456B,-1.155B,1.301B,1.169B,735.00M,1.904B,57.00M,58.00M,3.32B,6.43B,,256.00M,42.00M,41.00M,,339.00M,426.00M,765.00M,,402.00M,402.00M,30.00M,1.37B,3.243B,,3.243B,256.00M,256.00M,27.00M,199.00M,3.755B,5.125B,,5.00M,832.00M,969.00M,49.00M,-479.00M,1.278B,,AOR,Restated
2014-12,882.00M,,882.00M,980.00M,,980.00M,261.00M,340.00M,688.00M,1.289B,,109.00M,205.00M,3.465B,0.00,36.00M,918.00M,1.342B,,167.00M,2.463B,-1.145B,1.318B,976.00M,727.00M,1.703B,54.00M,48.00M,3.123B,6.588B,,290.00M,42.00M,26.00M,,358.00M,475.00M,833.00M,,7.00M,7.00M,8.00M,1.086B,3.624B,,3.624B,277.00M,277.00M,26.00M,207.00M,4.165B,5.251B,,5.00M,709.00M,958.00M,0.00,-361.00M,1.311B,,AOR,Restated
2014-09,598.00M,,598.00M,1.057B,,1.057B,282.00M,277.00M,829.00M,1.388B,,106.00M,204.00M,3.353B,,,,,,,2.456B,-1.143B,1.313B,982.00M,757.00M,1.739B,55.00M,67.00M,3.174B,6.527B,,259.00M,0.00,86.00M,,345.00M,,345.00M,,10.00M,10.00M,442.00M,998.00M,3.642B,,3.642B,265.00M,265.00M,25.00M,176.00M,4.14B,5.138B,,5.00M,661.00M,938.00M,0.00,-240.00M,1.364B,,AOR,Restated
2014-06,578.00M,,578.00M,1.098B,,1.098B,245.00M,290.00M,801.00M,1.336B,,108.00M,207.00M,3.327B,,,,,,,2.423B,-1.114B,1.309B,984.00M,774.00M,1.758B,57.00M,71.00M,3.195B,6.522B,,337.00M,0.00,97.00M,,434.00M,,434.00M,,12.00M,12.00M,443.00M,1.061B,3.642B,,3.642B,314.00M,314.00M,23.00M,168.00M,4.178B,5.239B,,5.00M,531.00M,923.00M,0.00,-199.00M,1.26B,,AOR,Restated
2014-03,506.00M,,506.00M,1.10B,,1.10B,242.00M,284.00M,790.00M,1.316B,,95.00M,205.00M,3.222B,,,,,,,2.358B,-1.066B,1.292B,982.00M,787.00M,1.769B,57.00M,63.00M,3.181B,6.403B,,363.00M,36.00M,84.00M,,483.00M,,483.00M,,16.00M,16.00M,451.00M,1.127B,3.642B,,3.642B,319.00M,319.00M,22.00M,165.00M,4.177B,5.304B,,5.00M,395.00M,906.00M,,-229.00M,1.077B,,AOR,Restated
2013-12,610.00M,,610.00M,1.138B,,1.138B,213.00M,218.00M,862.00M,1.293B,,97.00M,219.00M,3.357B,0.00,36.00M,883.00M,1.205B,,199.00M,2.323B,-1.028B,1.295B,982.00M,803.00M,1.785B,63.00M,58.00M,3.201B,6.558B,,506.00M,36.00M,40.00M,,582.00M,570.00M,1.152B,,15.00M,15.00M,19.00M,1.415B,3.642B,,3.642B,322.00M,322.00M,22.00M,168.00M,4.181B,5.596B,,5.00M,276.00M,878.00M,0.00,-219.00M,940.00M,,AOR,Restated
2013-09,389.00M,,389.00M,1.11B,,1.11B,200.00M,203.00M,887.00M,1.29B,,66.00M,228.00M,3.083B,,,,,,,2.248B,-996.00M,1.252B,980.00M,815.00M,1.795B,70.00M,59.00M,3.176B,6.259B,,482.00M,33.00M,121.00M,,636.00M,,636.00M,,10.00M,10.00M,478.00M,1.308B,3.642B,,3.642B,269.00M,269.00M,23.00M,133.00M,4.085B,5.393B,,5.00M,207.00M,876.00M,,-245.00M,843.00M,,AOR,Restated
2013-06,369.00M,,369.00M,1.137B,,1.137B,186.00M,227.00M,844.00M,1.257B,,92.00M,227.00M,3.082B,,,,,,,2.226B,-974.00M,1.252B,982.00M,834.00M,1.816B,54.00M,57.00M,3.179B,6.261B,,587.00M,33.00M,83.00M,,703.00M,,703.00M,,12.00M,12.00M,449.00M,1.321B,3.64B,,3.64B,308.00M,308.00M,23.00M,131.00M,4.117B,5.438B,,5.00M,109.00M,869.00M,,-183.00M,800.00M,,AOR,Restated
2013-03,468.00M,,468.00M,861.00M,222.00M,1.083B,216.00M,205.00M,699.00M,1.12B,,83.00M,188.00M,2.942B,,,,,,,2.166B,-929.00M,1.237B,985.00M,855.00M,1.84B,63.00M,60.00M,3.20B,6.142B,,275.00M,33.00M,49.00M,383.00M,740.00M,,740.00M,,6.00M,6.00M,409.00M,1.287B,3.64B,,3.64B,337.00M,337.00M,15.00M,121.00M,4.131B,5.418B,,5.00M,13.00M,812.00M,,-121.00M,709.00M,,AOR,Restated
2012-12,317.00M,,317.00M,900.00M,,900.00M,214.00M,332.00M,799.00M,1.345B,,101.00M,201.00M,2.864B,0.00,35.00M,860.00M,1.198B,,159.00M,2.252B,-1.011B,1.241B,985.00M,868.00M,1.853B,216.00M,88.00M,3.398B,6.262B,,319.00M,0.00,30.00M,,349.00M,,349.00M,,73.00M,73.00M,507.00M,1.123B,509.00M,,509.00M,323.00M,323.00M,15.00M,107.00M,1.098B,2.221B,,0.00,0.00,0.00,,-157.00M,4.026B,,AOR,Restated
2012-09,133.00M,,133.00M,848.00M,,848.00M,189.00M,316.00M,767.00M,1.272B,,72.00M,230.00M,2.555B,,,,,,,,,1.204B,981.00M,877.00M,1.858B,218.00M,69.00M,3.349B,5.904B,,195.00M,,42.00M,,237.00M,,237.00M,,,,355.00M,737.00M,580.00M,,580.00M,299.00M,299.00M,15.00M,91.00M,1.058B,1.795B,,,,,,-169.00M,4.094B,,AOR,Restated
2012-06,106.00M,,106.00M,889.00M,,889.00M,177.00M,307.00M,688.00M,1.172B,,88.00M,222.00M,2.477B,,,,,,,,,1.199B,980.00M,888.00M,1.868B,168.00M,88.00M,3.323B,5.80B,,222.00M,,32.00M,,254.00M,103.00M,357.00M,,,,384.00M,741.00M,573.00M,,573.00M,323.00M,323.00M,16.00M,232.00M,1.128B,1.869B,,,,,,-193.00M,3.915B,,AOR,Restated
2012-03,113.00M,,113.00M,848.00M,,848.00M,191.00M,321.00M,718.00M,1.23B,,97.00M,238.00M,2.526B,,,,,,,,,1.242B,990.00M,915.00M,1.905B,145.00M,88.00M,3.38B,5.906B,,200.00M,,12.00M,,212.00M,140.00M,352.00M,,,,453.00M,805.00M,579.00M,,579.00M,322.00M,322.00M,16.00M,250.00M,1.151B,1.956B,,,,,,-31.00M,3.934B,,AOR,Restated
2011-12,79.00M,,79.00M,871.00M,,871.00M,171.00M,284.00M,608.00M,1.063B,,96.00M,202.00M,2.311B,0.00,31.00M,822.00M,1.145B,,151.00M,2.149B,-906.00M,1.243B,989.00M,928.00M,1.917B,143.00M,97.00M,3.40B,5.711B,,214.00M,,18.00M,,232.00M,,232.00M,,,,461.00M,843.00M,575.00M,,575.00M,311.00M,311.00M,16.00M,124.00M,1.132B,1.975B,,,,,,-65.00M,3.72B,,AOR,Restated
