,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,Restated
2013-12,430.64M,,430.64M,1.102B,1.102B,1.306B,130.65M,75.82M,,3.044B,0.00,277.26M,1.259B,1.405B,2.941B,-1.733B,1.209B,525.47M,303.41M,828.88M,,16.21M,168.39M,2.222B,5.266B,,2013-12,510.63M,6.33M,516.96M,0.00,66.86M,30.43M,97.29M,97.29M,,,,1.196B,445.51M,445.51M,113.58M,113.58M,184.60M,76.40M,,743.70M,1.939B,,2013-12,54.83M,5.823B,,,28.91M,3.250B,,Restated
2013-09,540.00M,,540.00M,1.082B,1.082B,1.257B,110.51M,59.63M,,3.049B,,,,,2.840B,-1.704B,1.136B,568.95M,,568.95M,,58.05M,439.13M,2.202B,5.252B,,2013-09,435.16M,18.04M,453.20M,,,,100.52M,100.52M,,,,1.074B,448.13M,448.13M,120.70M,120.70M,239.09M,80.57M,,807.92M,1.882B,,2013-09,54.83M,5.731B,,,18.25M,3.289B,,Restated
2013-06,488.74M,,488.74M,1.076B,1.076B,1.222B,119.67M,56.29M,,2.962B,,,,,2.791B,-1.672B,1.119B,513.54M,,513.54M,,53.41M,382.24M,2.068B,5.030B,,2013-06,452.18M,9.104M,461.28M,,,,95.51M,95.51M,,,,986.88M,452.45M,452.45M,118.33M,118.33M,230.28M,77.66M,,801.06M,1.788B,,2013-06,54.83M,5.586B,,,0.365M,3.165B,,Restated
2013-03,485.52M,,485.52M,1.032B,1.032B,1.231B,122.03M,53.35M,,2.923B,,,,,2.779B,-1.645B,1.133B,521.58M,,521.58M,,56.22M,379.10M,2.090B,5.014B,,2013-03,431.85M,64.47M,496.32M,,,,95.36M,95.36M,,,,989.42M,454.53M,454.53M,119.00M,119.00M,232.59M,89.31M,,806.12M,1.796B,,2013-03,54.83M,5.434B,,,31.86M,3.129B,,Restated
2012-12,452.06M,,452.06M,940.02M,940.02M,1.302B,150.66M,55.97M,,2.901B,0.00,265.22M,1.224B,1.271B,2.760B,-1.616B,1.145B,543.67M,242.74M,786.40M,,51.54M,131.44M,2.114B,5.015B,,2012-12,428.78M,12.94M,441.72M,,,,97.60M,97.60M,,,,1.080B,467.05M,467.05M,119.28M,119.28M,230.90M,93.45M,,817.23M,1.897B,,2012-12,54.83M,5.279B,,,53.58M,3.024B,,Restated
2012-09,420.80M,,420.80M,1.022B,1.022B,1.270B,112.93M,49.36M,,2.875B,,,,,2.681B,-1.588B,1.093B,526.63M,372.88M,899.51M,,116.08M,,2.109B,4.984B,,2012-09,439.60M,10.29M,449.89M,,,,82.39M,82.39M,,,,1.083B,479.70M,479.70M,109.01M,109.01M,343.47M,101.14M,,932.18M,2.015B,,2012-09,54.83M,5.179B,,,-8.268M,2.867B,,Restated
2012-06,249.75M,,249.75M,1.015B,1.015B,1.266B,119.60M,48.39M,,2.699B,,,,,2.633B,-1.555B,1.078B,523.39M,352.05M,875.44M,,109.62M,,2.063B,4.761B,,2012-06,473.04M,11.48M,484.52M,,,,75.04M,75.04M,,,,962.91M,473.50M,473.50M,103.03M,103.03M,327.71M,99.46M,,904.24M,1.867B,,2012-06,54.83M,5.080B,,,-34.82M,2.795B,,Restated
2012-03,338.76M,,338.76M,977.44M,977.44M,1.244B,102.17M,43.41M,,2.706B,,,,,2.606B,-1.534B,1.072B,514.42M,350.70M,865.12M,,108.11M,,2.045B,4.751B,,2012-03,447.66M,81.24M,528.89M,,,,332.14M,332.14M,,,,1.231B,191.55M,191.55M,102.03M,102.03M,353.21M,92.25M,,646.80M,1.878B,,2012-03,54.83M,4.947B,,,-8.584M,2.781B,,Restated
2011-12,335.49M,,335.49M,888.70M,888.70M,1.269B,154.66M,47.41M,,2.695B,0.00,252.16M,1.186B,1.127B,2.565B,-1.505B,1.060B,509.18M,247.43M,756.61M,,100.83M,103.42M,2.021B,4.716B,,2011-12,477.65M,23.16M,500.80M,50.00M,69.00M,222.50M,341.51M,341.51M,,,,1.388B,175.06M,175.06M,100.22M,100.22M,328.58M,95.49M,,603.86M,1.992B,,2011-12,54.83M,4.806B,,,-28.74M,2.629B,,Restated
2011-09,360.66M,,360.66M,944.98M,944.98M,1.114B,108.13M,49.63M,,2.578B,,,,,2.489B,-1.482B,1.008B,546.70M,315.72M,862.43M,,102.90M,,1.973B,4.551B,,2011-09,447.69M,15.81M,463.50M,,,,444.01M,444.01M,,,,1.375B,163.42M,163.42M,114.87M,114.87M,266.24M,92.54M,,544.53M,1.919B,,2011-09,54.83M,4.705B,,,-3.24M,2.539B,,Restated
2011-06,465.70M,,465.70M,870.44M,870.44M,996.60M,125.16M,48.36M,,2.506B,,,,,2.446B,-1.464B,981.34M,394.29M,229.08M,623.38M,,89.46M,,1.694B,4.200B,,2011-06,394.09M,13.02M,407.11M,,,,285.76M,285.76M,,,,1.079B,200.47M,200.47M,83.61M,83.61M,262.78M,86.50M,,546.86M,1.626B,,2011-06,54.83M,4.569B,,,65.81M,2.488B,,Restated
2011-03,334.70M,,334.70M,809.85M,809.85M,981.37M,88.84M,46.94M,,2.262B,,,,,2.403B,-1.438B,965.13M,390.36M,224.60M,614.96M,,91.64M,,1.672B,3.933B,,2011-03,362.00M,54.14M,416.14M,,,,76.56M,76.56M,,,,781.97M,413.34M,413.34M,87.14M,87.14M,251.75M,82.61M,,752.22M,1.534B,,2011-03,54.83M,4.446B,,,57.14M,2.317B,,Restated
2010-12,313.45M,,313.45M,762.90M,762.90M,991.58M,125.52M,44.63M,,2.238B,0.00,249.12M,1.133B,995.25M,2.378B,-1.414B,963.67M,387.23M,224.70M,611.93M,3.461M,87.24M,,1.666B,3.904B,,2010-12,344.30M,5.882M,350.18M,,,,73.83M,73.83M,,,,869.30M,420.45M,420.45M,82.50M,82.50M,244.46M,82.45M,,747.40M,1.617B,,2010-12,54.83M,4.327B,,,42.95M,2.205B,,Restated
2010-09,286.51M,,286.51M,784.92M,784.92M,935.22M,81.05M,59.86M,,2.148B,,,,,2.327B,-1.385B,942.35M,374.78M,231.58M,606.36M,3.332M,89.63M,,1.642B,3.789B,,2010-09,402.57M,16.11M,418.68M,,,,77.65M,77.65M,,,,895.26M,427.50M,427.50M,71.32M,71.32M,246.63M,79.86M,,745.45M,1.641B,,2010-09,54.83M,4.233B,,,32.54M,2.069B,,Restated
2010-06,388.06M,,388.06M,725.20M,725.20M,867.30M,98.86M,43.03M,,2.122B,,,,,2.293B,-1.358B,934.66M,379.15M,208.23M,587.37M,3.11M,84.34M,,1.609B,3.732B,,2010-06,347.50M,1.766M,349.27M,,,,95.64M,95.64M,,,,798.51M,412.71M,412.71M,64.26M,64.26M,236.23M,75.40M,,713.20M,1.512B,,2010-06,54.83M,4.121B,,,10.98M,2.145B,,Restated
2010-03,548.47M,,548.47M,688.63M,688.63M,852.52M,95.71M,42.49M,,2.228B,,,,,2.276B,-1.337B,939.44M,356.16M,212.17M,568.33M,3.533M,71.65M,,1.583B,3.811B,,2010-03,314.04M,42.87M,356.91M,,,,92.54M,92.54M,,,,733.91M,425.00M,425.00M,62.56M,62.56M,230.60M,63.63M,,718.16M,1.452B,,2010-03,54.83M,4.032B,,,31.53M,2.295B,,Restated
2009-12,459.87M,,459.87M,624.91M,624.91M,889.68M,115.03M,42.02M,,2.132B,0.00,237.87M,1.078B,950.19M,2.266B,-1.313B,953.27M,351.18M,207.38M,558.57M,3.508M,79.47M,,1.595B,3.726B,,2009-12,300.79M,6.732M,307.52M,,,,87.91M,87.91M,,,,776.80M,437.50M,437.50M,62.22M,62.22M,222.62M,63.48M,,722.33M,1.499B,,2009-12,54.83M,3.967B,,,12.37M,2.164B,,Restated
2009-09,672.04M,,672.04M,638.53M,638.53M,851.48M,75.06M,47.69M,,2.285B,,,,,2.217B,-1.278B,938.28M,328.13M,103.28M,431.42M,3.341M,87.21M,,1.460B,3.745B,,2009-09,279.66M,2.791M,282.45M,,,,79.91M,79.91M,,,,673.84M,454.90M,454.90M,34.21M,34.21M,218.87M,61.68M,,707.98M,1.382B,,2009-09,54.83M,3.904B,,,6.582M,2.302B,,Restated
2009-06,416.29M,,416.29M,582.43M,582.43M,899.84M,72.48M,53.98M,,2.025B,,,,,2.181B,-1.253B,928.80M,218.84M,102.74M,321.58M,19.64M,110.72M,,1.381B,3.406B,,2009-06,255.37M,2.564M,257.94M,,,,67.59M,67.59M,,,,581.61M,467.40M,467.40M,35.87M,35.87M,210.21M,,,713.48M,1.295B,,2009-06,54.83M,3.794B,,,-20.57M,2.111B,,Restated
2009-03,257.57M,,257.57M,559.32M,559.32M,956.56M,76.24M,54.60M,,1.904B,,,,,2.150B,-1.223B,927.67M,209.19M,104.50M,313.68M,19.18M,105.67M,,1.366B,3.271B,,2009-03,254.34M,36.82M,291.16M,,,,50.42M,50.42M,,,,570.78M,479.90M,479.90M,33.97M,33.97M,198.98M,,,712.84M,1.284B,,2009-03,54.83M,3.736B,,,-54.59M,1.987B,,Restated
2008-12,396.29M,,396.29M,589.42M,589.42M,1.010B,95.92M,52.56M,,2.144B,0.00,192.92M,1.048B,890.51M,2.132B,-1.202B,930.31M,213.16M,109.57M,322.72M,20.83M,97.44M,,1.371B,3.515B,,2008-12,290.80M,1.78M,292.58M,,,,41.22M,41.22M,,,,761.73M,488.23M,488.23M,33.22M,33.22M,198.43M,0.00,,719.88M,1.482B,,2008-12,54.83M,3.671B,,,-38.52M,2.034B,,Restated
2008-09,364.42M,,364.42M,721.39M,721.39M,961.09M,63.03M,61.40M,,2.171B,,,,,2.117B,-1.188B,928.50M,231.94M,,231.94M,,72.76M,131.92M,1.365B,3.536B,,2008-09,314.44M,,314.44M,,,,29.35M,29.35M,,,16.59M,734.86M,496.56M,496.56M,23.53M,23.53M,,,153.39M,673.49M,1.408B,,2008-09,54.83M,3.594B,,,46.10M,2.128B,,
2008-06,258.23M,,258.23M,677.70M,677.70M,968.29M,74.46M,59.26M,,2.038B,,,,,2.098B,-1.169B,929.51M,229.56M,,229.56M,,66.06M,127.51M,1.353B,3.391B,,2008-06,326.58M,,326.58M,,,,17.45M,17.45M,,,1.447M,666.37M,504.90M,504.90M,22.44M,22.44M,,,150.68M,678.01M,1.344B,,2008-06,54.83M,3.485B,,,64.73M,2.046B,,
2008-03,117.43M,,117.43M,644.93M,644.93M,966.33M,67.01M,58.82M,,1.855B,,,,,2.032B,-1.147B,885.56M,228.48M,,228.48M,,61.59M,125.67M,1.301B,3.156B,,2008-03,339.54M,,339.54M,,,,334.11M,334.11M,,,71.25M,993.51M,4.895M,4.895M,21.44M,21.44M,,,145.76M,172.10M,1.166B,,2008-03,54.83M,3.403B,,,62.27M,1.990B,,
2007-12,113.44M,20.07M,133.51M,602.65M,602.65M,946.33M,61.67M,56.66M,,1.801B,0.00,178.32M,977.84M,848.12M,2.004B,-1.126B,878.34M,233.03M,,233.03M,,54.66M,127.18M,1.293B,3.094B,,2007-12,297.93M,,297.93M,,,,106.65M,106.65M,,,10.46M,826.40M,4.895M,4.895M,20.73M,20.73M,,,143.90M,169.52M,995.92M,,2007-12,54.83M,3.317B,94.68M,-22.51M,72.17M,2.098B,,
2007-09,89.37M,19.83M,109.20M,674.79M,674.79M,889.17M,51.86M,53.70M,,1.779B,,,,,1.962B,-1.101B,860.64M,232.50M,,232.50M,,60.64M,127.45M,1.281B,3.060B,,2007-09,377.32M,,377.32M,,,,148.80M,148.80M,,,11.49M,877.51M,4.895M,4.895M,24.59M,24.59M,,,168.72M,198.20M,1.076B,,2007-09,54.83M,3.239B,,,-2.776M,1.984B,,
2007-06,389.39M,,389.39M,637.81M,637.81M,845.23M,75.20M,54.04M,,2.002B,,,,,1.900B,-1.075B,825.30M,223.71M,120.00M,343.72M,,60.22M,8.097M,1.237B,3.239B,,2007-06,386.90M,,386.90M,,,,10.81M,10.81M,,,3.985M,684.20M,4.895M,4.895M,24.41M,24.41M,,,162.88M,192.19M,876.39M,,2007-06,54.83M,3.161B,,,-29.30M,2.363B,,
2007-03,325.47M,,325.47M,611.13M,611.13M,815.89M,66.54M,50.20M,,1.869B,,,,,1.854B,-1.052B,802.37M,212.24M,,212.24M,,59.55M,129.66M,1.204B,3.073B,,2007-03,378.43M,,378.43M,,,,4.59M,4.59M,,,50.39M,674.54M,4.895M,4.895M,22.89M,22.89M,,,157.28M,185.06M,859.60M,,2007-03,54.83M,3.086B,,,-33.39M,2.213B,,
2006-12,348.47M,12.83M,361.30M,566.61M,566.61M,827.25M,58.80M,48.12M,,1.862B,0.00,167.22M,890.38M,769.51M,1.827B,-1.034B,792.94M,210.67M,,210.67M,,48.79M,131.60M,1.184B,3.046B,,2006-12,334.82M,,334.82M,,,,4.59M,4.59M,,,7.077M,706.32M,4.895M,4.895M,6.235M,6.235M,,,151.02M,162.15M,868.47M,,2006-12,54.83M,3.008B,26.25M,-58.04M,-31.78M,2.178B,,
