,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2018-03,241.00M,,11.00M,5.00M,,,64.00M,64.00M,-2.00M,,12.00M,12.00M,-94.00M,3.00M,-33.00M,57.00M,,-103.00M,-7.00M,-177.00M,147.00M,2018-03,-49.00M,,-49.00M,-8.00M,,26.00M,-31.00M,,-25.00M,80.00M,55.00M,,-173.00M,-173.00M,-72.00M,-72.00M,59.00M,-15.00M,-146.00M,,327.00M,-30.00M,5.00M,302.00M,2018-03,,100.00M,-45.00M,-173.00M,,2018-03,Restated
2017-12,162.37M,,-25.13M,10.03M,,,69.66M,69.66M,10.26M,9.541M,5.848M,52.29M,42.63M,-39.85M,-0.794M,114.27M,,-29.64M,-10.31M,76.30M,336.12M,2017-12,-45.82M,,191.18M,-12.57M,,12.02M,-46.36M,,-46.21M,36.52M,-9.686M,,-169.02M,-169.02M,-78.50M,-78.50M,19.74M,-10.45M,-247.91M,,284.58M,41.85M,0.719M,327.00M,2017-12,,17.05M,-26.74M,-169.02M,,2017-12,Restated
2017-09,170.82M,,10.64M,-9.065M,,,66.14M,66.14M,-7.922M,18.46M,7.122M,3.737M,-8.787M,4.915M,20.03M,31.56M,,48.63M,0.651M,96.99M,348.70M,2017-09,-60.04M,,-60.04M,-9.13M,,44.36M,-24.80M,,0.335M,-118.02M,-117.68M,,-122.42M,-122.42M,-73.87M,-73.87M,0.191M,-0.827M,-314.61M,,275.06M,9.289M,0.221M,284.58M,2017-09,,11.90M,-129.59M,-122.42M,,2017-09,Restated
2017-06,106.96M,,6.121M,29.62M,,,65.95M,65.95M,0.293M,,13.27M,4.674M,-41.42M,2.11M,1.711M,-48.10M,,45.18M,2.135M,-38.39M,191.23M,2017-06,-52.38M,,-52.38M,-6.233M,,21.31M,-37.31M,,410.19M,-293.16M,117.03M,,-154.42M,-154.42M,-79.52M,-79.52M,0.719M,-5.094M,-121.28M,,238.80M,32.64M,3.622M,275.06M,2017-06,,397.30M,-280.27M,-154.42M,,2017-06,Restated
2017-03,182.85M,,8.374M,-2.592M,,,62.25M,62.25M,-7.632M,,6.757M,0.302M,-95.42M,27.83M,-25.94M,91.28M,,-64.17M,1.52M,-64.91M,180.95M,2017-03,-78.77M,,-78.77M,-7.067M,,48.31M,-37.53M,,-2.318M,35.66M,33.34M,,-159.15M,-159.15M,-72.12M,-72.12M,26.34M,-11.62M,-183.20M,,274.15M,-39.78M,4.438M,238.80M,2017-03,,48.75M,-15.40M,-159.15M,,2017-03,Restated
2016-12,68.50M,,8.853M,6.781M,,,71.60M,71.60M,-30.26M,,8.455M,0.34M,77.92M,-45.94M,15.52M,38.12M,,68.37M,2.409M,156.40M,335.08M,2016-12,-70.38M,,-70.38M,-14.70M,,8.475M,-76.60M,,-5.949M,4.947M,-1.002M,,-176.80M,-176.80M,-81.87M,-81.87M,4.447M,-2.332M,-257.56M,,285.98M,0.914M,-12.76M,274.00M,2016-12,,9.374M,-10.38M,-176.80M,,2016-12,Restated
2016-09,193.41M,,10.33M,8.968M,,,63.90M,63.90M,19.69M,,6.41M,-0.828M,-25.53M,33.20M,9.621M,-15.09M,,43.89M,1.714M,47.81M,345.83M,2016-09,-107.90M,,-107.90M,-8.959M,,5.003M,-111.86M,,-4.354M,14.97M,10.62M,,-200.55M,-200.55M,-73.65M,-73.65M,3.362M,0.266M,-259.96M,,316.00M,-25.99M,-4.028M,285.98M,2016-09,,150.95M,-140.34M,-200.55M,,2016-09,Restated
2016-06,179.44M,,5.427M,-2.672M,,,57.20M,57.20M,-16.47M,,13.68M,-1.222M,-13.96M,-2.098M,-10.51M,-21.61M,,-7.704M,3.554M,-52.33M,182.46M,2016-06,-53.92M,,-53.92M,-3.141M,,28.91M,-28.15M,,388.07M,-196.53M,191.54M,,-240.60M,-240.60M,-74.85M,-74.85M,20.98M,-17.32M,-120.24M,,279.91M,34.07M,2.021M,316.00M,2016-06,,204.76M,-13.21M,-240.60M,,2016-06,Restated
2016-03,191.64M,,6.388M,-1.077M,,,56.29M,56.29M,21.04M,,7.456M,-8.29M,-84.44M,10.83M,4.37M,63.58M,,-104.55M,0.323M,-109.88M,160.64M,2016-03,-51.80M,,-51.80M,-7.199M,,13.61M,-45.38M,,-124.77M,215.61M,90.84M,,-172.05M,-172.05M,-72.63M,-72.63M,5.206M,10.38M,-138.25M,,290.14M,-23.00M,12.77M,279.91M,2016-03,,226.92M,-136.07M,-172.05M,,2016-03,Restated
2015-12,149.17M,,1.467M,4.941M,,,63.77M,63.77M,10.98M,,11.23M,-5.17M,66.70M,-50.36M,-12.07M,8.496M,,78.85M,-30.12M,61.49M,300.18M,2015-12,-120.67M,,-120.67M,-5.824M,,3.178M,-123.32M,,46.93M,141.94M,188.87M,,-222.83M,-222.83M,-75.53M,-75.53M,7.197M,-43.07M,-145.36M,,258.15M,31.51M,0.479M,290.14M,2015-12,,220.56M,-31.70M,-222.83M,,2015-12,Restated
2015-09,196.62M,,5.971M,5.313M,,,57.26M,57.26M,-8.901M,,8.584M,1.565M,-19.20M,-13.45M,20.93M,51.57M,,66.17M,-1.83M,104.19M,366.42M,2015-09,-82.32M,,-82.32M,-469.91M,,2.593M,-549.64M,,237.17M,184.04M,421.21M,,-734.65M,-734.65M,-77.04M,-77.04M,18.14M,7.309M,-365.03M,,819.79M,-548.25M,-13.39M,258.15M,2015-09,,448.63M,-27.42M,-734.65M,,2015-09,Restated
2015-06,225.24M,,4.302M,4.251M,,,54.53M,54.53M,0.263M,,17.88M,-0.187M,0.382M,28.88M,-27.50M,-85.56M,,-8.884M,1.935M,-90.75M,213.30M,2015-06,-71.38M,,-71.38M,-9.076M,,2.267M,-78.19M,,972.11M,-200.82M,771.29M,,-292.60M,-292.60M,-80.51M,-80.51M,30.67M,12.79M,441.63M,,243.43M,576.73M,-0.37M,819.79M,2015-06,,813.38M,-42.09M,-292.60M,,2015-06,Restated
2015-03,214.15M,,0.00,0.00,,,52.41M,52.41M,1.732M,,9.161M,-2.08M,-50.97M,-2.808M,34.43M,55.57M,,-160.24M,2.296M,-121.72M,156.21M,2015-03,-99.49M,,-99.49M,0.00,,7.285M,-92.20M,,-1.86M,176.05M,174.19M,,-149.99M,-149.99M,-73.39M,-73.39M,4.883M,4.319M,-40.00M,,226.64M,24.01M,-7.226M,243.43M,2015-03,,204.38M,-30.19M,-149.99M,,2015-03,Restated
2014-12,151.11M,,0.00,25.88M,,,60.58M,60.58M,-10.84M,,10.17M,0.356M,40.49M,-72.69M,-42.22M,77.55M,,,25.77M,37.60M,296.98M,2014-12,-147.19M,-9.062M,-156.26M,-20.11M,,27.23M,-149.13M,,31.92M,13.02M,44.94M,,-207.70M,-207.70M,-76.13M,-76.13M,7.118M,4.33M,-227.44M,,319.73M,-79.59M,-13.50M,226.64M,2014-12,,76.56M,-31.62M,-207.70M,,2014-12,Restated
2014-09,233.05M,,0.00,0.581M,,,53.96M,53.96M,6.708M,,9.871M,-3.02M,-64.50M,-6.258M,22.28M,76.46M,,,2.545M,30.52M,334.37M,2014-09,-83.99M,3.646M,-80.34M,-29.80M,,6.816M,-103.33M,,-97.78M,3.369M,-94.41M,,-81.57M,-81.57M,-74.38M,-74.38M,9.645M,7.265M,-233.45M,,331.71M,-2.416M,-9.557M,319.73M,2014-09,,87.98M,-182.39M,-81.57M,,2014-09,Restated
2014-06,209.08M,,0.00,14.58M,,,48.02M,48.02M,-6.934M,,17.73M,1.53M,-19.90M,-44.10M,-11.17M,-55.77M,,,5.535M,-125.42M,160.95M,2014-06,-90.55M,4.954M,-85.59M,19.20M,,-13.02M,-79.42M,,51.27M,-58.46M,-7.19M,,-85.29M,-85.29M,-76.20M,-76.20M,21.65M,15.37M,-131.67M,,375.56M,-50.14M,6.282M,331.71M,2014-06,,32.86M,-40.05M,-85.29M,,2014-06,Restated
2014-03,219.06M,,,,,,45.78M,45.78M,-2.671M,,11.26M,-0.287M,-78.68M,30.61M,6.564M,-67.70M,,,1.177M,-108.03M,167.52M,2014-03,-65.66M,0.462M,-65.20M,,,13.02M,-52.18M,,-5.807M,38.51M,32.70M,,-150.55M,-150.55M,-64.68M,-64.68M,10.17M,6.807M,-165.56M,,430.64M,-50.22M,-4.862M,375.56M,2014-03,,66.82M,-34.12M,-150.55M,,2014-03,Restated
2013-12,159.39M,,,-21.75M,,,54.45M,54.45M,-0.636M,,11.56M,2.026M,3.603M,-68.59M,-23.42M,58.34M,,45.81M,-4.083M,11.66M,246.07M,2013-12,-123.78M,-3.654M,-127.44M,-25.96M,,26.79M,-126.60M,,-2.524M,-3.785M,-6.309M,,-158.85M,-158.85M,-66.78M,-66.78M,2.90M,6.665M,-222.38M,,540.00M,-102.91M,-6.445M,430.64M,2013-12,,22.51M,-28.82M,-158.85M,,2013-12,Restated
2013-09,213.08M,,,0.46M,,,45.35M,45.35M,-7.609M,,12.66M,-1.207M,25.82M,-12.81M,8.921M,-20.85M,,81.95M,5.867M,88.89M,353.60M,2013-09,-65.19M,1.126M,-64.06M,-119.73M,,-0.26M,-184.05M,,-9.312M,3.164M,-6.148M,,-77.22M,-77.22M,-65.14M,-65.14M,18.37M,11.63M,-118.51M,,488.74M,51.05M,0.202M,540.00M,2013-09,,16.88M,-23.03M,-77.22M,,2013-09,Restated
2013-06,220.75M,,,-0.868M,,,41.87M,41.87M,-0.074M,,19.82M,0.518M,-54.08M,-2.351M,3.279M,-31.93M,,8.718M,2.468M,-73.90M,210.41M,2013-06,-40.21M,0.955M,-39.26M,-8.234M,,0.189M,-47.30M,,-1.095M,-5.192M,-6.287M,,-132.60M,-132.60M,-67.00M,-67.00M,24.68M,29.04M,-152.17M,,485.52M,10.93M,-7.706M,488.74M,2013-06,,69.24M,-75.53M,-132.60M,,2013-06,Restated
2013-03,214.53M,,,,,,38.94M,38.94M,-1.00M,,11.55M,-4.698M,-101.80M,60.12M,28.09M,60.76M,,-137.19M,5.62M,-84.40M,176.42M,2013-03,-42.96M,1.573M,-41.39M,,,-0.089M,-41.48M,,-3.75M,-3.832M,-7.582M,,-69.80M,-69.80M,-56.55M,-56.55M,23.46M,12.65M,-97.81M,,452.06M,37.12M,-3.672M,485.52M,2013-03,,36.17M,-43.75M,-69.80M,,2013-03,Restated
2012-12,158.49M,,,,,,45.71M,45.71M,18.66M,,12.68M,5.889M,85.10M,-26.99M,-38.30M,-11.12M,,-54.81M,34.32M,-11.80M,240.09M,2012-12,-94.70M,-5.035M,-99.73M,-40.42M,,8.572M,-131.58M,,-1.60M,0.264M,-1.336M,,-44.07M,-44.07M,-58.08M,-58.08M,17.82M,13.71M,-71.96M,,420.80M,36.54M,-5.279M,452.06M,2012-12,,67.65M,-68.99M,-44.07M,,2012-12,Restated
2012-09,157.80M,,,,,,39.90M,39.90M,-2.441M,,12.24M,-0.625M,-2.409M,7.198M,6.741M,-34.39M,,142.10M,9.592M,128.84M,337.89M,2012-09,-58.78M,1.085M,-57.70M,-0.048M,,0.377M,-57.37M,,52.23M,-48.12M,4.113M,,-85.48M,-85.48M,-56.64M,-56.64M,15.21M,8.675M,-114.12M,,249.75M,166.40M,4.659M,420.80M,2012-09,,20.60M,-16.49M,-85.48M,,2012-09,Restated
2012-06,193.10M,,,,,,36.76M,36.76M,-1.696M,,19.13M,-1.422M,-42.01M,-31.93M,-13.09M,-47.93M,,39.63M,-20.36M,-115.69M,131.98M,2012-06,-55.74M,3.348M,-52.39M,-24.34M,,-0.603M,-77.33M,,26.16M,2.359M,28.52M,,-149.22M,-149.22M,-58.34M,-58.34M,8.819M,17.32M,-152.91M,,338.76M,-98.26M,9.25M,249.75M,2012-06,,334.65M,-306.12M,-149.22M,,2012-06,Restated
2012-03,189.46M,,,,,,36.68M,36.68M,-2.178M,,11.44M,-1.426M,-86.64M,36.84M,52.99M,29.78M,,-185.59M,22.25M,-130.37M,106.24M,2012-03,-40.64M,0.602M,-40.03M,,,0.666M,-39.37M,,3.252M,1.651M,4.903M,,-61.76M,-61.76M,-47.02M,-47.02M,30.24M,18.18M,-55.44M,,335.49M,11.42M,-8.161M,338.76M,2012-03,,38.26M,-33.35M,-61.76M,,2012-03,Restated
2011-12,151.71M,,,,,,45.63M,45.63M,8.431M,,12.48M,-0.956M,53.64M,-164.15M,-47.33M,34.31M,,68.53M,23.67M,-31.33M,186.14M,2011-12,-65.64M,-0.186M,-65.82M,-10.95M,,13.80M,-62.98M,,-108.65M,8.908M,-99.74M,,-49.70M,-49.70M,,-47.81M,31.50M,20.52M,-145.23M,,360.66M,-22.07M,-3.106M,335.49M,2011-12,,44.32M,-144.06M,-49.70M,,2011-12,Restated
2011-09,184.05M,,,,,,37.53M,37.53M,3.214M,,12.12M,1.304M,-31.44M,-58.02M,22.42M,12.15M,,61.39M,3.793M,10.29M,250.50M,2011-09,-46.46M,2.421M,-44.04M,-347.76M,,-0.482M,-392.28M,,116.32M,9.933M,126.25M,,-50.61M,-50.61M,,-46.94M,14.91M,9.621M,53.23M,,465.70M,-88.54M,-16.50M,360.66M,2011-09,,206.52M,-80.27M,-50.61M,,2011-09,Restated
2011-06,171.57M,,,,,,33.47M,33.47M,-3.953M,,18.53M,-12.24M,-61.65M,-13.72M,-36.08M,-5.816M,,76.97M,11.40M,-28.90M,191.08M,2011-06,-51.81M,0.407M,-51.41M,-0.591M,,0.137M,-51.86M,,-7.126M,2.739M,-4.387M,,-0.098M,-0.098M,,-47.45M,24.05M,15.86M,-12.02M,,334.70M,127.20M,3.814M,465.70M,2011-06,,59.65M,-64.03M,-0.098M,,2011-06,Restated
2011-03,159.09M,,,,,,32.57M,32.57M,-6.026M,,10.88M,10.88M,-45.63M,16.21M,36.76M,62.57M,,-156.18M,6.824M,-79.44M,118.39M,2011-03,-33.03M,4.636M,-28.39M,,,0.442M,-27.95M,,-7.373M,2.98M,-4.393M,,-50.67M,-50.67M,,-38.33M,13.87M,6.095M,-73.43M,,313.45M,17.01M,4.232M,334.70M,2011-03,,80.86M,-85.25M,-50.67M,,2011-03,Restated
2010-12,133.20M,,,,,,40.46M,40.46M,20.63M,,11.63M,2.44M,26.02M,-50.08M,-44.82M,-71.73M,,41.58M,-5.647M,-104.68M,104.47M,2010-12,-62.26M,,-55.75M,-10.43M,,13.53M,-52.65M,,-13.34M,-1.599M,-14.94M,,-0.428M,-0.428M,,-38.21M,18.20M,6.401M,-28.97M,,286.51M,22.86M,4.091M,313.45M,2010-12,,10.91M,-25.85M,-0.428M,,2010-12,Restated
2010-09,151.30M,,,,,,37.32M,37.32M,-20.47M,,12.20M,-5.604M,-54.04M,-58.86M,18.42M,64.28M,,48.25M,10.40M,28.46M,205.69M,2010-09,-37.92M,,-37.92M,-10.60M,,,-48.52M,,-5.178M,2.865M,-2.313M,,-247.87M,-247.87M,,-39.50M,22.21M,4.932M,-262.54M,,388.06M,-105.38M,3.827M,286.51M,2010-09,,212.32M,-214.63M,-247.87M,,2010-09,Restated
2010-06,129.67M,,,,,,36.05M,36.05M,-8.708M,,16.83M,1.001M,-36.79M,-16.12M,-2.294M,-5.50M,,53.27M,5.625M,-1.817M,173.09M,2010-06,-13.12M,,-13.12M,-41.05M,,9.072M,-45.10M,,-12.27M,3.745M,-8.528M,,-250.14M,-250.14M,,-40.55M,14.24M,5.124M,-279.86M,,548.47M,-151.86M,-8.549M,388.06M,2010-06,,-0.914M,-7.614M,-250.14M,,2010-06,Restated
2010-03,99.42M,,,,,,35.85M,35.85M,2.995M,,9.134M,-0.892M,-62.98M,44.52M,19.89M,47.66M,,-93.52M,7.748M,-36.68M,113.19M,2010-03,-13.82M,,-13.82M,,,-9.072M,-22.89M,,-8.333M,0.487M,-7.846M,,-6.364M,-6.364M,,-34.08M,31.88M,9.193M,-7.217M,,459.87M,83.08M,5.515M,548.47M,2010-03,,12.98M,-20.83M,-6.364M,,2010-03,Restated
2009-12,97.36M,47.34M,,47.34M,,,43.44M,43.44M,12.55M,,8.925M,-28.11M,26.18M,-19.11M,-36.17M,19.86M,,59.87M,1.685M,52.31M,222.66M,2009-12,-52.58M,,-52.58M,-134.35M,,,-185.66M,,-10.52M,0.938M,-9.585M,,-245.03M,-245.03M,,-34.64M,31.22M,6.442M,-251.58M,,672.04M,-214.59M,2.428M,459.87M,2009-12,,7.154M,-16.74M,-245.03M,,2009-12,Restated
2009-09,144.56M,-47.34M,,-47.34M,,,35.59M,35.59M,23.54M,,9.535M,-10.58M,-30.01M,73.87M,0.987M,6.778M,,50.38M,8.665M,110.67M,277.13M,2009-09,-36.25M,,-36.25M,8.961M,,,-27.29M,,-8.333M,-0.576M,-8.909M,,0.00,0.00,,-34.88M,38.46M,7.176M,1.856M,,416.29M,251.70M,4.046M,672.04M,2009-09,,35.98M,-44.88M,0.00,,2009-09,Restated
2009-06,92.47M,,,,,,34.87M,34.87M,-6.665M,,15.33M,4.182M,-16.69M,73.28M,4.572M,-41.46M,,18.47M,11.73M,49.91M,190.09M,2009-06,-23.50M,,-23.50M,2.269M,,,-21.23M,,0.00,1.342M,1.342M,,0.00,0.00,,-34.56M,15.79M,4.615M,-12.82M,,257.57M,156.05M,2.67M,416.29M,2009-06,,1.289M,0.053M,0.00,,2009-06,Restated
2009-03,96.38M,,,,,,33.63M,33.63M,-7.739M,,9.508M,1.848M,23.31M,47.24M,19.43M,0.56M,,-181.66M,,-91.11M,42.52M,2009-03,-28.41M,,-28.41M,0.024M,,,-28.38M,,0.00,0.838M,0.838M,,-127.70M,-127.70M,,-30.62M,5.689M,0.797M,-150.99M,,396.29M,-136.85M,-1.866M,257.57M,2009-03,,1.707M,-0.869M,-127.70M,,2009-03,Restated
2008-12,107.92M,,,5.946M,-81.51M,-19.26M,38.80M,38.80M,23.61M,,,-42.14M,120.34M,-75.16M,-34.27M,-27.81M,,35.92M,-6.282M,12.74M,194.75M,2008-12,-49.76M,,-49.76M,-0.295M,-19.63M,19.91M,-49.78M,,,,3.594M,-41.10M,-86.70M,-127.80M,,-31.12M,,1.80M,-106.69M,,364.42M,38.28M,-6.41M,396.29M,2008-12,-41.10M,,,-86.70M,,2008-12,Restated
2008-09,140.02M,,,-0.50M,29.14M,6.729M,35.87M,35.87M,-7.739M,,,9.671M,-43.01M,4.747M,13.24M,-14.69M,,74.40M,4.582M,39.27M,216.60M,2008-09,-29.81M,,-29.81M,-27.13M,19.63M,-26.33M,-63.64M,,,,3.597M,9.212M,-36.60M,-27.39M,,-31.03M,,2.364M,-52.46M,,258.23M,100.49M,5.692M,364.42M,2008-09,9.212M,,,-36.60M,,2008-09,
2008-06,113.18M,,,-3.393M,27.03M,6.306M,33.34M,33.34M,-4.323M,,,24.78M,-33.99M,1.512M,-7.236M,-13.71M,,-10.44M,5.694M,-58.17M,105.41M,2008-06,-68.40M,,-68.40M,-6.868M,,-0.442M,-75.71M,,,,183.60M,28.33M,-74.51M,-46.18M,,-31.29M,,8.462M,114.60M,,117.43M,144.30M,-3.493M,258.23M,2008-06,28.33M,,,-74.51M,,2008-06,
2008-03,114.24M,,,-2.053M,25.33M,6.223M,31.56M,31.56M,-6.37M,,,12.84M,-48.94M,-23.62M,-5.355M,41.47M,,-99.69M,-0.778M,-136.91M,13.31M,2008-03,-33.38M,,-33.38M,,,19.87M,-13.50M,,,,227.78M,3.559M,-196.44M,-192.88M,,-28.06M,,0.907M,7.745M,,113.44M,7.549M,-3.557M,117.43M,2008-03,3.559M,,,-196.44M,,2008-03,
2007-12,104.39M,,,-1.77M,31.73M,6.674M,38.40M,38.40M,-11.20M,,,14.55M,63.33M,-57.70M,-9.752M,-78.62M,,67.18M,2.312M,-13.25M,131.12M,2007-12,-62.95M,,-50.87M,-0.014M,0.00,-2.201M,-53.08M,,,,-42.12M,-103.46M,0.00,-103.46M,,-28.33M,,117.15M,-56.77M,,89.37M,21.27M,2.803M,113.44M,2007-12,-103.46M,,,0.00,,2007-12,
2007-09,109.15M,,,-2.519M,26.60M,6.277M,32.87M,32.87M,-4.092M,,,12.46M,-36.72M,-34.49M,23.41M,-11.27M,,62.79M,5.832M,9.548M,157.42M,2007-09,-58.76M,,-58.76M,0.078M,-4.314M,-12.77M,-75.77M,,,,138.21M,8.145M,-500.00M,-491.85M,,-30.70M,,2.847M,-381.50M,,389.39M,-299.85M,-0.173M,89.37M,2007-09,8.145M,,,-500.00M,,2007-09,
2007-06,104.79M,,,-7.185M,24.63M,6.174M,30.80M,30.80M,-6.639M,,,17.10M,-22.41M,-17.38M,-8.266M,6.452M,,-14.82M,15.48M,-40.95M,97.92M,2007-06,-42.74M,,-42.74M,-4.762M,,-0.025M,-47.52M,,,,6.222M,64.04M,-48.60M,15.45M,,-29.55M,,17.42M,9.542M,,325.47M,59.94M,3.977M,389.39M,2007-06,64.04M,,,-48.60M,,2007-06,
