,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,2.853B,2.853B,,1.212B,1.212B,,31.00M,-24.00M,1.219B,1.00M,1.657B,1.024B,202.00M,822.00M,,-3.00M,44.00M,819.00M,838.27M,136.00M,1.361B,,1.00,,,,1.025,1.00,,0.99,,,,1.015,0.99,,775.84M,785.75M,0.375,,AOR,Restated
2018-03,2.784B,2.784B,,1.176B,1.176B,,33.00M,-28.00M,1.181B,0.00,1.633B,977.00M,186.00M,791.00M,,-3.00M,43.00M,788.00M,810.68M,138.00M,1.265B,,0.96,,,,0.9891,0.96,,0.94,,,,0.9687,0.94,,779.62M,791.00M,0.375,,AOR,Restated
2017-12,2.837B,2.837B,,900.00M,994.00M,,34.00M,-22.00M,1.126B,-1.00M,1.644B,876.00M,209.00M,667.00M,,-9.00M,44.00M,658.00M,674.75M,137.00M,1.13B,,0.78,,,,0.8014,0.78,,0.77,,,,0.7910,0.77,,783.60M,795.82M,0.33,,AOR,Restated
2017-09,2.781B,2.781B,,1.187B,1.187B,,34.00M,-47.00M,1.174B,0.00,1.647B,942.00M,294.00M,648.00M,,-8.00M,43.00M,640.00M,672.34M,139.00M,1.172B,,0.75,,,,0.7907,0.75,,0.74,,,,0.7801,0.74,,794.56M,806.12M,0.33,,AOR,Restated
2017-06,2.819B,2.819B,,1.20B,1.20B,,36.00M,-10.00M,1.226B,,1.635B,978.00M,304.00M,674.00M,,1.00M,44.00M,675.00M,681.89M,137.00M,1.167B,,0.78,,,,0.7885,0.78,,0.77,,,,0.7784,0.77,,808.98M,819.39M,0.30,,AOR,Restated
2017-03,2.75B,2.75B,,1.181B,1.181B,,38.00M,-428.00M,791.00M,,1.609B,530.00M,104.00M,426.00M,,-5.00M,43.00M,421.00M,765.11M,137.00M,696.00M,,0.47,,,,0.8949,0.47,,0.46,,,,0.8783,0.46,,809.90M,822.72M,0.30,,AOR,Restated
2016-12,2.591B,2.591B,,1.076B,1.076B,,38.00M,-13.00M,1.101B,1.00M,1.565B,930.00M,287.00M,643.00M,,-7.00M,44.00M,636.00M,644.99M,145.00M,1.11B,,0.73,,,,0.7411,0.73,,0.72,,,,0.7309,0.72,,810.64M,822.44M,0.30,,AOR,Restated
2016-09,2.759B,2.759B,,1.179B,1.179B,,38.00M,-43.00M,1.174B,0.00,1.61B,915.00M,273.00M,642.00M,,0.00,43.00M,642.00M,672.19M,141.00M,1.10B,,0.74,,,,0.7772,0.74,,0.73,,,,0.7667,0.73,,812.52M,823.11M,0.30,,AOR,Restated
2016-06,2.775B,2.775B,,1.232B,1.232B,,42.00M,-92.00M,1.182B,0.00,1.617B,839.00M,252.00M,587.00M,,-3.00M,43.00M,584.00M,648.40M,142.00M,1.027B,,0.67,,,,0.7491,0.67,,0.66,,,,0.7382,0.66,,814.26M,823.68M,0.28,,AOR,Restated
2016-03,2.573B,2.573B,,1.097B,1.097B,,32.00M,-22.00M,1.107B,45.00M,1.529B,816.00M,246.00M,570.00M,,-6.00M,37.00M,564.00M,579.38M,127.00M,1.008B,,0.67,,,,0.6897,0.67,,0.67,,,,0.6895,0.67,,781.19M,790.18M,0.27,,AOR,Restated
2015-12,2.534B,2.534B,,1.066B,1.066B,,32.00M,-50.00M,1.048B,0.00,1.504B,793.00M,251.00M,542.00M,,-3.00M,37.00M,539.00M,573.17M,123.00M,984.00M,,0.64,,,,0.6838,0.64,,0.64,,,,0.6832,0.64,,780.62M,790.59M,0.27,,AOR,Restated
2015-09,2.472B,2.472B,,1.05B,1.05B,,29.00M,-77.00M,1.002B,-2.00M,1.464B,755.00M,222.00M,533.00M,,-4.00M,37.00M,529.00M,583.36M,121.00M,941.00M,,0.64,,,,0.7111,0.64,,0.64,,,,0.7102,0.64,,764.44M,774.02M,0.27,,AOR,Restated
2015-06,2.358B,2.358B,,1.028B,1.028B,,23.00M,-197.00M,854.00M,-1.00M,1.312B,581.00M,80.00M,501.00M,,-10.00M,37.00M,491.00M,660.81M,110.00M,758.00M,,0.63,,,,0.8643,0.63,,0.62,,,,0.8512,0.62,,724.88M,734.53M,0.27,,AOR,Restated
2015-03,2.35B,2.35B,,1.006B,1.006B,,21.00M,-13.00M,1.014B,0.00,1.312B,788.00M,241.00M,547.00M,,-22.00M,37.00M,525.00M,534.02M,107.00M,969.00M,,0.68,,,,0.6925,0.68,,0.67,,,,0.6823,0.67,,721.64M,731.51M,0.24,,AOR,Restated
2014-12,2.37B,2.37B,,974.00M,974.00M,,22.00M,-18.00M,978.00M,0.00,1.335B,880.00M,277.00M,603.00M,,-15.00M,37.00M,588.00M,600.33M,108.00M,1.063B,,0.77,,,,0.7871,0.77,,0.76,,,,0.7769,0.76,,720.44M,730.71M,0.24,,AOR,Restated
2014-09,2.32B,2.32B,,979.00M,979.00M,,23.00M,-129.00M,873.00M,-5.00M,1.349B,725.00M,172.00M,553.00M,,-4.00M,37.00M,549.00M,647.43M,109.00M,917.00M,,0.71,,,,0.8467,0.71,,0.70,,,,0.8348,0.70,,720.12M,729.99M,0.24,,AOR,Restated
2014-06,2.309B,2.309B,,1.00B,1.00B,,23.00M,-13.00M,1.01B,0.00,1.343B,693.00M,216.00M,477.00M,,-16.00M,37.00M,461.00M,469.94M,103.00M,887.00M,,0.59,,,,0.6024,0.59,,0.58,,,,0.5923,0.58,,719.08M,728.45M,0.24,,AOR,Restated
2014-03,2.307B,2.307B,,965.00M,965.00M,,23.00M,-8.00M,980.00M,2.00M,1.347B,829.00M,256.00M,573.00M,,-40.00M,37.00M,533.00M,538.53M,104.00M,1.028B,,0.70,,,,0.7078,0.70,,0.68,,,,0.6876,0.68,,712.84M,724.28M,0.23,,AOR,Restated
2013-12,2.524B,2.524B,,1.007B,1.007B,,26.00M,-10.00M,1.023B,5.00M,1.362B,990.00M,401.00M,589.00M,,-14.00M,37.00M,575.00M,581.50M,108.00M,1.194B,,0.76,,,,0.7692,0.76,,0.75,,,,0.7591,0.75,,705.51M,717.61M,0.23,,AOR,Restated
2013-09,2.326B,2.326B,,982.00M,982.00M,,26.00M,-4.00M,1.004B,0.00,1.417B,759.00M,450.00M,309.00M,,-4.00M,37.00M,305.00M,307.60M,106.00M,981.00M,,0.38,,,,0.3837,0.38,,0.37,,,,0.3736,0.37,,704.13M,716.10M,0.23,,AOR,Restated
2013-06,2.483B,2.483B,,1.023B,1.023B,,27.00M,-27.00M,1.023B,23.00M,1.415B,797.00M,221.00M,576.00M,,-16.00M,13.00M,560.00M,579.52M,106.00M,1.025B,,0.78,,,,0.8078,0.78,,0.77,,,,0.7974,0.77,,702.08M,712.86M,0.23,,AOR,Restated
2013-03,2.424B,2.424B,,949.00M,949.00M,,27.00M,-5.00M,971.00M,23.00M,1.422B,737.00M,481.00M,256.00M,,-16.00M,30.00M,240.00M,243.25M,101.00M,974.00M,,0.30,,,,0.3046,0.30,,0.29,,,,0.2946,0.29,,700.28M,711.02M,0.23,,AOR,Restated
2012-12,2.52B,2.52B,,1.051B,1.051B,,28.00M,-13.00M,1.066B,0.00,1.476B,756.00M,207.00M,549.00M,,-13.00M,30.00M,536.00M,545.44M,102.00M,1.006B,,0.72,,,,0.7335,0.72,,0.71,,,,0.7233,0.71,,699.59M,710.19M,0.20,,AOR,Restated
2012-09,2.451B,2.451B,,963.00M,963.00M,,31.00M,-43.00M,951.00M,-1.00M,1.483B,673.00M,177.00M,496.00M,,-2.00M,25.00M,494.00M,525.69M,107.00M,910.00M,,0.67,,,,0.7153,0.67,,0.66,,,,0.7046,0.66,,699.09M,709.88M,0.20,,AOR,Restated
2012-06,2.44B,2.44B,,924.00M,924.00M,,29.00M,-2.00M,951.00M,-2.00M,1.462B,729.00M,191.00M,538.00M,,-20.00M,8.00M,518.00M,519.48M,96.00M,995.00M,,0.73,,,,0.7321,0.73,,0.72,,,,0.7221,0.72,,698.58M,708.45M,0.20,,AOR,Restated
2012-03,2.301B,2.301B,,860.00M,860.00M,,22.00M,-12.00M,870.00M,-9.00M,1.436B,634.00M,189.00M,445.00M,,-14.00M,,431.00M,439.42M,86.00M,941.00M,,0.62,,,,0.6321,0.62,,0.61,,,,0.6219,0.61,,697.68M,707.37M,0.20,,AOR,Restated
2011-12,2.436B,2.436B,,1.047B,1.047B,,24.00M,152.00M,1.223B,-198.00M,1.452B,484.00M,84.00M,400.00M,,-9.00M,,391.00M,265.38M,92.00M,801.00M,,0.56,,,,0.3798,0.56,,0.56,,,,0.3821,0.56,,697.12M,705.94M,0.16,,AOR,Restated
2011-09,2.106B,2.106B,,747.00M,747.00M,,24.00M,-55.00M,716.00M,84.00M,1.416B,439.00M,68.00M,371.00M,,-5.00M,,366.00M,412.48M,91.00M,773.00M,,0.52,0.00,,,0.5867,0.52,,0.52,0.00,,,0.5859,0.52,,697.05M,705.60M,0.16,,AOR,Restated
2011-06,2.151B,2.151B,,828.00M,828.00M,,25.00M,-12.00M,841.00M,16.00M,1.354B,418.00M,91.00M,327.00M,,-20.00M,,307.00M,316.39M,89.00M,754.00M,,0.44,0.00,,,0.4535,0.44,,0.44,0.00,,,0.4533,0.44,,696.62M,704.97M,0.16,,AOR,Restated
2011-03,2.00B,2.00B,,837.00M,837.00M,,26.00M,1.00M,864.00M,21.00M,1.285B,287.00M,53.00M,234.00M,,-9.00M,,225.00M,224.18M,91.00M,678.00M,,0.32,0.00,,,0.3188,0.32,,0.32,0.00,,,0.3188,0.32,,695.31M,704.10M,0.16,,AOR,Restated
2010-12,2.296B,2.296B,,834.00M,834.00M,,28.00M,-4.00M,858.00M,99.00M,1.332B,232.00M,15.00M,217.00M,,-9.00M,,208.00M,211.74M,94.00M,655.00M,,0.30,0.00,,,0.3054,0.30,,0.29,0.00,,,0.2953,0.29,,694.01M,702.50M,0.15,,AOR,Restated
2010-09,2.424B,2.424B,,784.00M,784.00M,,30.00M,-10.00M,804.00M,239.00M,1.314B,246.00M,27.00M,219.00M,,-9.00M,,210.00M,218.90M,94.00M,694.00M,,0.30,0.00,,,0.3128,0.30,,0.30,0.00,,,0.3127,0.30,,693.02M,701.54M,0.15,,AOR,
2010-06,2.399B,2.399B,,772.00M,772.00M,,32.00M,-38.00M,766.00M,219.00M,1.36B,249.00M,25.00M,224.00M,,-14.00M,,210.00M,244.18M,97.00M,708.00M,,0.30,0.00,,,0.3494,0.30,,0.30,0.00,,,0.3487,0.30,,692.11M,701.32M,0.15,,AOR,Restated
2010-03,2.158B,2.158B,,755.00M,755.00M,,32.00M,-17.00M,770.00M,-3.00M,1.314B,242.00M,48.00M,194.00M,,-6.00M,,188.00M,201.63M,97.00M,707.00M,,0.27,0.00,,,0.2897,0.27,,0.27,0.00,,,0.2895,0.27,,690.79M,698.68M,0.15,,AOR,Restated
2009-12,2.293B,2.293B,,825.00M,889.00M,,36.00M,108.00M,1.033B,-1.00M,1.323B,207.00M,13.00M,194.00M,,-9.00M,0.00,185.00M,83.78M,95.00M,704.00M,,0.27,0.00,,,0.1231,0.27,,0.27,0.00,,,0.1247,0.27,,689.24M,696.56M,0.30,,AOR,Restated
2009-09,2.177B,2.177B,,726.00M,726.00M,,29.00M,-21.00M,734.00M,31.00M,1.237B,148.00M,-9.00M,157.00M,,-5.00M,,152.00M,165.65M,86.00M,656.00M,,0.23,0.00,,,0.2505,0.23,,0.23,0.00,,,0.2503,0.23,,665.41M,672.46M,0.15,,AOR,Restated
2009-06,2.131B,2.131B,,763.00M,763.00M,,24.00M,1.00M,788.00M,19.00M,1.138B,249.00M,41.00M,208.00M,,-4.00M,83.00M,204.00M,203.16M,79.00M,751.00M,,0.20,0.00,,,0.1986,0.20,,0.20,0.00,,,0.1986,0.20,,602.73M,608.80M,0.00,,AOR,Restated
2009-03,2.177B,2.177B,,662.00M,662.00M,,25.00M,-12.00M,675.00M,150.00M,1.146B,432.00M,114.00M,318.00M,,-6.00M,41.00M,312.00M,320.83M,79.00M,965.00M,,0.48,0.00,,,0.4958,0.48,,0.48,0.00,,,0.4957,0.48,,559.80M,563.57M,0.47,,AOR,Restated
2008-12,1.872B,1.872B,,692.00M,692.00M,,,-4.00M,688.00M,41.00M,1.065B,340.00M,25.00M,315.00M,,,,305.00M,308.71M,75.00M,1.004B,,0.51,0.00,,,0.5167,0.51,,0.51,0.00,,,0.5167,0.51,,552.76M,556.56M,0.94,,AOR,Restated
2008-09,1.88B,1.88B,,552.00M,552.00M,,,-5.00M,547.00M,13.00M,1.088B,507.00M,149.00M,358.00M,,,,358.00M,361.53M,78.00M,1.212B,,0.65,0.00,,,0.6564,0.65,,0.65,0.00,,,0.6564,0.65,,549.76M,553.54M,0.47,,,
2008-06,1.895B,1.895B,,602.00M,602.00M,,25.00M,-1.00M,626.00M,10.00M,1.068B,606.00M,175.00M,431.00M,,-3.00M,,428.00M,428.71M,72.00M,1.328B,,0.78,0.00,,,0.7813,0.78,,0.78,0.00,,,0.7813,0.78,,546.63M,549.76M,0.46,,,Restated
2008-03,1.788B,1.788B,,583.00M,583.00M,,27.00M,-5.00M,605.00M,43.00M,1.017B,630.00M,201.00M,429.00M,,-1.00M,,428.00M,431.40M,73.00M,1.508B,,0.78,0.00,,,0.7862,0.78,,0.78,0.00,,,0.7862,0.78,,546.21M,548.95M,0.46,,,Restated
2007-12,1.709B,1.709B,,627.00M,627.00M,,,-3.00M,624.00M,1.00M,921.00M,583.00M,172.00M,411.00M,,,,411.00M,413.11M,73.00M,1.604B,,0.75,0.00,,,0.7539,0.75,,0.74,0.00,,,0.7438,0.74,,547.80M,550.56M,0.46,,,Restated
2007-09,1.653B,1.653B,,514.00M,514.00M,,,-7.00M,507.00M,6.00M,978.00M,660.00M,216.00M,444.00M,,,,444.00M,448.71M,71.00M,1.712B,,0.81,0.00,,,0.8186,0.81,,0.80,0.00,,,0.8085,0.80,,550.60M,555.34M,0.46,,,
2007-06,1.695B,1.695B,,540.00M,540.00M,,,-5.00M,535.00M,1.00M,966.00M,684.00M,226.00M,458.00M,,,,458.00M,461.35M,70.00M,1.679B,,0.84,0.00,,,0.8461,0.84,,0.83,0.00,,,0.8360,0.83,,548.38M,553.94M,0.42,,,
2007-03,1.597B,1.597B,,524.00M,524.00M,,,-6.00M,518.00M,-11.00M,945.00M,643.00M,222.00M,421.00M,,,,421.00M,424.93M,69.00M,1.589B,,0.78,0.00,,,0.7872,0.78,,0.77,0.00,,,0.7772,0.77,,541.85M,547.23M,0.42,,,
2006-12,-1.91B,-1.91B,,533.00M,533.00M,,,,533.00M,,956.00M,564.00M,313.00M,251.00M,,,,251.00M,251.00M,78.00M,1.474B,,0.47,0.00,,,0.47,0.47,,0.46,0.00,,,0.46,0.46,,540.83M,545.08M,0.42,,,Restated
2006-09,1.598B,1.598B,,524.00M,524.00M,,,-10.00M,514.00M,,938.00M,620.00M,203.00M,417.00M,,,,417.00M,423.73M,77.00M,1.485B,,0.77,0.00,,,0.7825,0.77,,0.77,0.00,,,0.7824,0.77,,538.91M,544.29M,0.42,,,
2006-06,1.568B,1.568B,,506.00M,506.00M,,,-2.00M,504.00M,,917.00M,650.00M,221.00M,429.00M,,,,429.00M,430.32M,30.00M,1.402B,,0.80,0.00,,,0.8025,0.80,,0.79,0.00,,,0.7924,0.79,,536.88M,541.61M,0.38,,,
2006-03,1.506B,1.506B,,514.00M,514.00M,,,3.00M,517.00M,,898.00M,639.00M,208.00M,431.00M,,,,431.00M,428.98M,107.00M,1.298B,,0.80,0.00,,,0.7963,0.80,,0.79,0.00,,,0.7863,0.79,,539.95M,543.44M,0.38,,,
2005-12,1.519B,1.519B,,467.89M,467.89M,,,6.158M,474.05M,,899.86M,631.60M,201.80M,429.80M,,,,429.80M,425.61M,80.63M,1.231B,,0.79,0.00,,,0.7823,0.79,,0.78,0.00,,,0.7724,0.78,,543.84M,548.58M,0.38,,,
2005-09,1.504B,1.504B,,451.26M,451.26M,,,1.824M,453.08M,0.193M,898.99M,660.17M,218.16M,442.01M,,,,442.01M,440.78M,76.51M,1.192B,,0.81,0.00,,,0.8078,0.81,,0.80,0.00,,,0.7978,0.80,,547.47M,552.06M,0.38,,,
2005-06,1.462B,1.462B,,450.73M,450.73M,,,-2.539M,448.19M,-0.006M,876.96M,581.17M,194.37M,386.80M,,,,386.80M,388.49M,100.83M,1.037B,,0.71,0.00,,,0.7131,0.71,,0.70,0.00,,,0.7031,0.70,,547.09M,551.25M,0.35,,,
2005-03,1.366B,1.366B,,415.12M,415.12M,,,2.557M,417.67M,0.007M,849.18M,594.05M,198.67M,395.38M,,,,395.38M,393.68M,75.04M,988.36M,,0.72,0.00,,,0.7169,0.72,,0.71,0.00,,,0.7069,0.71,,549.28M,553.65M,0.35,,,
2004-12,1.394B,1.394B,,383.74M,383.74M,,,1.382M,385.12M,-0.081M,845.82M,617.87M,201.36M,416.51M,,,,416.51M,415.58M,183.88M,960.21M,,0.75,0.00,,,0.7483,0.75,,0.75,0.00,,,0.7483,0.75,,552.06M,557.52M,0.35,,,
2004-09,1.388B,1.388B,,405.00M,405.00M,,,3.059M,408.06M,6.59M,855.66M,620.91M,208.03M,412.88M,,,,412.88M,410.85M,71.16M,924.19M,,0.75,0.00,,,0.7463,0.75,,0.74,0.00,,,0.7364,0.74,,553.94M,558.58M,0.35,,,
2004-06,1.402B,1.402B,,422.99M,422.99M,,,-0.791M,422.20M,0.002M,839.70M,598.71M,198.60M,400.11M,,,,400.11M,400.63M,83.31M,878.46M,,0.72,0.00,,,0.7210,0.72,,0.72,0.00,,,0.7209,0.72,,554.04M,557.49M,0.32,,,
2004-03,1.285B,1.285B,,422.97M,422.97M,,,-9.65M,413.32M,-0.511M,806.82M,484.52M,156.02M,328.50M,,,,328.50M,335.04M,63.66M,758.14M,,0.60,0.00,,,0.6120,0.60,,0.60,0.00,,,0.6119,0.60,,546.58M,550.55M,0.32,,,
2003-12,1.351B,1.351B,,374.79M,374.79M,,,-436.35M,-61.56M,-7.529M,879.95M,558.33M,253.30M,305.03M,,,,305.03M,566.84M,65.42M,834.19M,,0.56,0.00,,,1.040,0.56,,0.56,0.00,,,1.036,0.56,,545.26M,550.25M,0.32,,,
2003-09,1.319B,1.319B,,412.35M,412.35M,,,-22.82M,389.53M,-29.13M,806.46M,136.60M,20.70M,115.89M,,,,115.89M,135.25M,42.83M,428.70M,,0.21,0.00,,,0.2451,0.21,,0.21,0.00,,,0.2449,0.21,,551.02M,555.54M,0.32,,,
2003-06,1.165B,1.165B,,367.50M,367.50M,,,-10.78M,356.72M,109.50M,703.42M,452.10M,135.86M,316.24M,,,,316.24M,323.77M,56.82M,794.21M,,0.67,0.00,,,0.6860,0.67,,0.67,0.00,,,0.6859,0.67,,471.71M,475.29M,0.29,,,
2003-03,1.137B,1.137B,,352.70M,352.70M,,,,352.70M,34.23M,692.18M,470.01M,142.26M,327.75M,,,,327.75M,327.75M,42.72M,832.71M,,0.70,0.00,,,0.70,0.70,,0.69,0.00,,,0.69,0.69,,470.53M,474.35M,0.29,,,
2002-12,1.199B,1.199B,,350.21M,350.21M,,,-10.41M,339.80M,1.508M,708.07M,460.43M,123.17M,337.26M,0.00,,,337.26M,344.88M,31.38M,855.58M,,0.71,0.00,0.00,,0.7261,0.71,,0.70,0.00,-0.0000,,0.7159,0.70,,474.92M,480.08M,0.29,,,
2002-09,1.124B,1.124B,,323.12M,323.12M,,,-12.69M,310.42M,135.52M,702.09M,454.28M,126.12M,328.16M,,,,328.16M,337.33M,47.18M,879.18M,,0.69,0.00,,,0.7092,0.69,,0.68,0.00,,,0.6990,0.68,,477.11M,482.33M,0.29,,,
2002-06,1.094B,1.094B,,319.62M,319.62M,,,-1.554M,318.07M,19.67M,690.10M,458.81M,130.86M,327.95M,,,,327.95M,329.06M,41.65M,890.98M,,0.69,0.00,,,0.6923,0.69,,0.68,0.00,,,0.6823,0.68,,478.12M,484.01M,0.26,,,
2002-03,1.005B,1.005B,,304.89M,304.89M,,,,304.89M,13.41M,647.27M,417.18M,117.32M,299.86M,9.78M,,,309.64M,299.86M,38.77M,851.54M,,0.65,0.02,0.00,,0.65,0.67,,0.64,0.02,0.0209,,0.64,0.66,,462.90M,468.60M,0.26,,,
2001-12,996.90M,996.90M,,335.09M,370.61M,,,,370.61M,30.46M,632.87M,387.72M,109.78M,277.94M,,,,277.94M,277.94M,95.65M,891.31M,,0.61,0.00,,,0.61,0.61,,0.61,0.00,,,0.61,0.61,,452.71M,459.35M,0.26,,,
2001-09,957.67M,957.67M,,281.83M,281.83M,,,-67.20M,214.63M,2.423M,621.69M,307.26M,85.30M,221.97M,,,,221.97M,270.51M,35.40M,899.08M,,0.49,0.00,,,0.5968,0.49,,0.48,0.00,,,0.5854,0.48,,454.35M,460.39M,0.26,,,
2001-06,941.13M,941.13M,,282.48M,282.48M,,,-54.19M,228.29M,16.64M,594.47M,328.49M,91.26M,237.23M,,,,237.23M,276.36M,53.72M,962.04M,,0.53,0.00,,,0.6166,0.53,,0.52,0.00,,,0.6055,0.52,,451.71M,457.88M,0.23,,,
2001-03,917.46M,917.46M,,286.26M,286.26M,,,,286.26M,72.68M,585.45M,336.95M,100.45M,236.50M,,,,236.50M,236.50M,51.42M,1.023B,,0.53,0.00,,,0.53,0.53,,0.53,0.00,,,0.53,0.53,,409.20M,415.55M,0.23,,,
2000-12,852.03M,852.03M,,256.89M,293.99M,,,,293.99M,2.544M,574.42M,329.92M,98.19M,231.72M,,,,231.72M,231.72M,71.82M,1.033B,,0.52,0.00,,,0.52,0.52,,0.51,0.00,,,0.51,0.51,,448.01M,456.07M,0.23,,,
2000-09,676.87M,676.87M,,269.67M,269.67M,,,,269.67M,-180.78M,586.10M,100.07M,27.60M,72.47M,,,,72.47M,72.47M,38.41M,773.94M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,451.58M,456.73M,0.23,,,
2000-06,752.48M,752.48M,,241.80M,241.80M,,,,241.80M,-41.11M,539.70M,257.83M,83.74M,174.10M,,,,174.10M,174.10M,38.56M,847.32M,,0.41,0.00,,,0.41,0.41,,0.41,0.00,,,0.41,0.41,,421.19M,426.40M,0.20,,,
2000-03,754.75M,754.75M,,237.01M,237.01M,,,,237.01M,-0.104M,515.17M,279.29M,89.46M,189.84M,,,,189.84M,189.84M,43.93M,810.26M,,0.47,0.00,,,0.47,0.47,,0.46,0.00,,,0.46,0.46,,407.98M,412.61M,0.40,,,
1999-12,1.070B,1.070B,,338.77M,375.40M,,,,375.40M,2.57M,764.31M,360.31M,120.38M,239.92M,,,,239.92M,239.92M,65.69M,1.053B,,0.38,0.00,,,0.38,0.38,,0.37,0.00,,,0.37,0.37,,601.75M,612.82M,0.20,,,
