,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2016-03,46.97M,,,25.13M,8.691M,33.82M,33.82M,9.466M,,,11.97M,-5.433M,547.15M,-73.24M,-32.03M,-218.47M,,,-6.928M,216.48M,313.28M,,-31.22M,,-31.22M,,,3.626M,-27.59M,,,-75.53M,-75.53M,,-33.71M,-33.71M,-57.41M,-57.41M,8.153M,-12.84M,-171.33M,,976.75M,114.36M,4.77M,1.096B,,,,,-33.71M,34.33M,31.07M,,AOR,Restated
2015-12,174.39M,,,25.21M,8.392M,33.60M,33.60M,-8.718M,,,20.81M,-21.28M,154.76M,56.87M,43.60M,2.952M,,,44.81M,303.00M,501.81M,,-44.15M,,-44.15M,3.00M,,-3.704M,-44.85M,,,50.79M,50.79M,,-13.11M,-13.11M,-57.40M,-57.40M,9.393M,-19.10M,-29.44M,,551.29M,427.52M,-2.062M,976.75M,,,,,-13.11M,63.30M,15.05M,,AOR,Restated
2015-09,206.38M,,,35.64M,9.031M,44.68M,44.68M,-5.002M,,,11.36M,4.831M,-716.04M,-55.66M,39.09M,328.12M,,,-24.29M,-428.78M,-166.55M,,-30.16M,,-30.16M,-3.00M,,33.37M,0.209M,,,-53.68M,-53.68M,,-24.95M,-24.95M,-57.49M,-57.49M,-0.368M,2.866M,-133.63M,,858.46M,-299.96M,-7.201M,551.29M,,,,,-24.95M,44.11M,34.08M,,AOR,Restated
2015-06,40.28M,,,29.34M,13.35M,42.69M,42.69M,-1.828M,,,12.09M,-5.085M,-144.86M,-80.25M,6.754M,43.55M,,,7.487M,-167.33M,-79.18M,,-36.56M,,-36.56M,,,10.67M,-25.89M,,,-64.10M,-64.10M,,-22.65M,-22.65M,-57.43M,-57.43M,20.27M,4.076M,-119.83M,,1.081B,-224.90M,1.956M,858.46M,,,,,-22.65M,8.435M,13.04M,,AOR,Restated
2015-03,25.82M,,,21.40M,12.95M,34.36M,34.36M,-3.406M,,,9.624M,1.844M,478.33M,-20.31M,-6.319M,-206.03M,,,1.371M,247.04M,315.28M,,-31.15M,,-31.15M,,,-1.96M,-33.11M,,,-20.32M,-20.32M,,-26.51M,-26.51M,-53.47M,-53.47M,14.02M,3.79M,-82.49M,,893.17M,199.68M,-11.45M,1.081B,,,,,-26.51M,28.29M,30.94M,,AOR,Restated
2014-12,168.82M,,,22.72M,14.60M,37.33M,37.33M,29.18M,,,9.283M,6.313M,161.82M,143.55M,-6.277M,-52.26M,,,-70.16M,176.67M,427.58M,,-35.13M,,-35.13M,0.00,,44.49M,9.361M,,0.00,174.88M,174.88M,,-121.38M,-121.38M,-54.07M,-54.07M,17.07M,-4.603M,11.90M,,452.18M,448.85M,-7.868M,893.17M,,,0.00,0.00,-121.38M,116.87M,26.37M,,AOR,Restated
2014-09,180.16M,,,32.46M,12.81M,45.27M,45.27M,-36.32M,,,9.019M,13.80M,-616.60M,-29.39M,38.06M,268.92M,,,44.64M,-294.37M,-82.44M,,-26.62M,,-26.62M,,,69.44M,42.82M,,0.00,69.74M,69.74M,,-124.25M,-124.25M,-54.69M,-54.69M,16.67M,3.814M,-88.71M,,586.15M,-128.34M,-5.627M,452.18M,,,0.00,0.00,-124.25M,23.38M,29.36M,,AOR,Restated
2014-06,32.82M,,,28.57M,11.89M,40.46M,40.46M,-6.899M,,,10.79M,-4.057M,-188.00M,-101.11M,26.31M,71.45M,,,-14.54M,-205.89M,-132.77M,,-29.40M,,-29.40M,0.00,,3.811M,-25.59M,,134.99M,-3.605M,131.38M,,-134.02M,-134.02M,-55.71M,-55.71M,6.652M,0.938M,-50.76M,,792.25M,-209.12M,3.019M,586.15M,,,559.99M,-425.00M,-134.02M,4.938M,19.64M,,AOR,Restated
2014-03,31.51M,,,21.50M,13.40M,34.91M,34.91M,4.286M,,,7.059M,-0.393M,530.41M,-41.99M,-27.33M,-289.06M,,,-7.359M,164.67M,242.04M,,-22.24M,,-22.24M,0.00,,-4.839M,-27.08M,,,5.035M,5.035M,,-79.91M,-79.91M,-52.39M,-52.39M,20.12M,3.755M,-103.39M,,682.45M,111.58M,-1.776M,792.25M,,,,,-79.91M,36.97M,31.39M,,AOR,Restated
2013-12,128.28M,,,27.27M,40.51M,67.78M,67.78M,-19.79M,,,0.673M,3.862M,116.54M,96.23M,15.65M,-82.60M,,,27.19M,173.01M,353.82M,,-33.78M,,-33.78M,-0.743M,,1.865M,-32.66M,,0.00,-204.04M,-204.04M,,-16.52M,-16.52M,-51.96M,-51.96M,43.72M,2.987M,-225.81M,,588.67M,95.34M,-1.561M,682.45M,,,0.00,0.00,-16.52M,37.64M,13.90M,,AOR,Restated
2013-09,125.84M,,,32.34M,14.22M,46.57M,46.57M,9.966M,,,8.598M,9.961M,-563.90M,-81.15M,-23.80M,327.96M,,,-110.86M,-451.76M,-250.82M,,-24.69M,,-24.69M,-109.96M,,-1.338M,-135.98M,,0.00,19.91M,19.91M,,-31.04M,-31.04M,-52.04M,-52.04M,11.94M,3.172M,-48.06M,,1.022B,-434.86M,1.186M,588.67M,,,0.00,0.00,-31.04M,17.81M,31.57M,,AOR,Restated
2013-06,36.48M,,,23.83M,12.04M,35.87M,35.87M,-2.321M,,,7.315M,-1.484M,-155.21M,-41.33M,25.78M,101.58M,,,-5.986M,-75.18M,0.682M,,-29.35M,,-29.35M,,,0.861M,-28.49M,,62.60M,-31.15M,31.46M,,-33.72M,-33.72M,-52.12M,-52.12M,40.57M,6.036M,-7.784M,,1.067B,-35.60M,-9.099M,1.022B,,,0.00,62.60M,-33.72M,9.666M,13.66M,,AOR,Restated
2013-03,-6.671M,,,19.35M,11.42M,30.77M,30.77M,-7.041M,,,4.686M,-5.974M,515.95M,-11.25M,-22.64M,-206.84M,,,6.481M,281.69M,297.45M,,-24.20M,,-24.20M,,,3.598M,-20.60M,,-62.60M,,-62.60M,,-22.21M,-22.21M,0.00,0.00,21.90M,3.564M,-59.36M,,849.70M,217.50M,-0.158M,1.067B,,,,-62.60M,-22.21M,23.07M,31.46M,,AOR,Restated
2012-12,130.30M,,,24.60M,15.78M,40.38M,40.38M,-14.39M,,,1.394M,-2.232M,169.95M,148.02M,6.725M,-94.85M,,,5.885M,235.73M,391.18M,,-37.20M,,-37.20M,0.00,,3.361M,-33.83M,,,-40.27M,-40.27M,,-82.93M,-82.93M,-93.23M,-93.23M,14.30M,-2.50M,-204.63M,,696.73M,152.72M,0.253M,849.70M,,,,,-82.93M,60.10M,14.23M,,AOR,Restated
2012-09,164.85M,,,31.37M,12.64M,44.01M,44.01M,-2.606M,,,5.483M,-3.316M,-532.63M,-38.94M,59.49M,232.29M,,,14.20M,-265.59M,-57.16M,,-24.81M,,-24.81M,0.00,,-3.383M,-28.20M,,,43.62M,43.62M,,-5.153M,-5.153M,-46.91M,-46.91M,7.239M,0.541M,-0.663M,,779.93M,-86.02M,2.825M,696.73M,,,,,-5.153M,10.38M,32.51M,,AOR,Restated
2012-06,43.43M,,,24.43M,11.50M,35.93M,35.93M,-0.499M,,,7.468M,-1.094M,-203.59M,-28.58M,-13.92M,71.75M,,,5.149M,-169.19M,-83.96M,,-27.05M,,-27.05M,,,-0.732M,-27.78M,,,49.89M,49.89M,,-5.282M,-5.282M,-46.72M,-46.72M,16.85M,1.626M,16.36M,,883.82M,-95.38M,-8.514M,779.93M,,,,,-5.282M,10.17M,14.64M,,AOR,Restated
2012-03,-2.579M,,,19.31M,10.66M,29.96M,29.96M,1.411M,,,5.089M,-10.84M,594.96M,-57.95M,-45.77M,-231.55M,,,2.00M,261.69M,284.74M,,-23.03M,,-23.03M,,,6.673M,-16.36M,,,-10.14M,-10.14M,,-4.644M,-4.644M,-38.59M,-38.59M,16.58M,6.354M,-30.44M,,641.69M,237.93M,4.204M,883.82M,,,,,-4.644M,29.90M,32.57M,,AOR,Restated
2011-12,385.37M,,,28.78M,-3.813M,24.97M,24.97M,20.42M,,,-11.73M,-291.42M,208.05M,185.19M,-21.67M,-153.22M,,,49.06M,267.41M,395.02M,,-27.73M,,-27.73M,0.00,,-1.53M,-29.26M,,,167.35M,167.35M,,-38.21M,-38.21M,,-38.70M,4.077M,-4.755M,89.77M,,186.96M,455.53M,-0.808M,641.69M,,,,,-38.21M,51.21M,14.02M,,AOR,Restated
2011-09,-75.25M,,,36.39M,29.17M,65.56M,65.56M,-17.30M,-10.24M,,7.581M,219.39M,-458.04M,-113.51M,-33.27M,273.99M,,,-13.57M,-344.40M,-127.81M,,-20.56M,,-20.56M,-11.58M,10.00M,1.574M,-20.57M,,,1.962M,1.962M,,-212.62M,-212.62M,,-40.22M,2.405M,4.027M,-244.45M,,584.78M,-392.83M,-4.988M,186.96M,,,,,-212.62M,13.17M,31.82M,,AOR,Restated
2011-06,75.25M,,,28.33M,10.60M,38.92M,38.92M,-5.465M,7.121M,,9.225M,9.651M,-278.48M,-26.19M,-19.11M,107.44M,,,-39.15M,-255.50M,-147.64M,,-28.72M,,-28.72M,,-10.00M,5.365M,-33.36M,,,-25.60M,-25.60M,,-113.86M,-113.86M,,-40.81M,13.58M,3.074M,-163.61M,,927.42M,-344.60M,1.959M,584.78M,,,-23.62M,,-113.86M,13.73M,45.20M,,AOR,Restated
2011-03,,,,20.32M,10.70M,31.02M,31.02M,-0.584M,3.117M,,7.384M,17.20M,419.62M,-28.02M,-11.02M,-152.63M,,,-9.587M,218.36M,276.49M,,-22.40M,,-22.40M,,,-2.037M,-24.43M,,,23.62M,23.62M,,-58.32M,-58.32M,,-34.30M,9.732M,1.868M,-57.40M,,727.80M,194.67M,4.96M,927.42M,,,23.62M,,-58.32M,,,,AOR,Restated
2010-12,397.75M,,,22.93M,12.10M,35.03M,35.03M,12.40M,-5.034M,,9.158M,-287.72M,239.15M,100.78M,4.462M,-169.04M,,,25.27M,200.63M,362.22M,,-36.74M,,-36.74M,0.00,,6.604M,-30.14M,,0.00,-89.50M,-89.50M,,-8.566M,-8.566M,,-34.13M,27.89M,2.071M,-102.23M,,497.90M,229.84M,0.05M,727.80M,,,0.00,0.00,-8.566M,,,,AOR,Restated
2010-09,-102.57M,,,27.50M,15.61M,43.11M,43.11M,3.014M,5.034M,,8.042M,241.55M,-524.96M,-111.24M,13.37M,244.94M,,,-3.752M,-381.63M,-167.26M,,-26.16M,,-26.16M,0.00,,2.741M,-23.42M,,0.00,91.82M,91.82M,,-278.93M,-278.93M,,-34.80M,26.20M,7.357M,-188.36M,,872.28M,-379.04M,4.668M,497.90M,,,0.00,2.706M,-278.93M,,,,AOR,Restated
2010-06,43.63M,,,27.58M,11.32M,38.89M,38.89M,-5.34M,0.00,,9.01M,9.01M,-145.32M,-119.14M,11.96M,78.49M,,,-4.276M,-178.28M,-92.09M,,-28.91M,,-28.91M,,0.00,-0.604M,-29.51M,,-0.186M,-0.758M,-0.944M,,-256.47M,-256.47M,,-36.83M,27.57M,4.513M,-262.15M,,1.260B,-383.75M,-3.774M,872.28M,,,1.948M,-2.892M,-256.47M,,,,AOR,Restated
2010-03,58.94M,,,17.92M,11.38M,29.30M,29.30M,15.10M,0.00,,7.182M,7.182M,502.30M,-22.04M,-13.89M,-283.92M,,,-27.84M,154.60M,265.12M,,-20.78M,,-20.78M,,,-0.332M,-21.12M,,492.53M,-1.948M,490.58M,,-95.60M,-95.60M,,-27.29M,11.86M,2.592M,382.14M,,636.04M,626.14M,-2.391M,1.260B,,,490.58M,,-95.60M,,,,AOR,Restated
2009-12,165.56M,,,24.93M,25.40M,50.32M,50.32M,14.07M,0.00,,8.292M,8.292M,78.76M,194.36M,21.00M,-53.32M,,,-2.893M,237.91M,476.15M,,-30.42M,,-30.42M,371.48M,-373.48M,-1.106M,-33.52M,,0.00,-19.96M,-19.96M,,-61.02M,-61.02M,,-27.65M,4.676M,0.346M,-103.60M,,297.36M,339.02M,-0.338M,636.04M,,,-24.07M,0.00,-61.02M,107.95M,54.58M,,AOR,Restated
2009-09,150.36M,,,30.49M,20.96M,51.45M,51.45M,-7.494M,0.00,,7.157M,7.157M,-453.16M,-48.12M,38.08M,244.05M,,,-12.97M,-232.14M,-30.66M,,-22.17M,,-22.17M,-0.175M,-12.00M,-1.967M,-36.32M,,0.00,21.47M,21.47M,,-27.10M,-27.10M,,-27.98M,3.121M,0.33M,-30.16M,,392.03M,-97.14M,2.463M,297.36M,,,21.47M,0.00,-27.10M,-51.80M,-22.84M,,AOR,Restated
2009-06,39.28M,,,25.28M,18.79M,44.07M,44.07M,0.838M,,,8.443M,8.443M,-274.14M,-41.23M,44.74M,68.68M,,,-47.89M,-249.84M,-157.21M,,-27.00M,,-27.00M,-371.31M,-4.00M,-1.87M,-404.18M,,421.31M,-34.65M,386.66M,,0.00,0.00,,-27.97M,0.582M,-0.031M,359.24M,,590.39M,-202.15M,3.796M,392.03M,,,386.66M,0.00,0.00,51.80M,22.84M,,AOR,Restated
2009-03,19.73M,,,15.23M,19.89M,35.12M,35.12M,11.72M,,,6.02M,6.02M,225.98M,0.32M,-68.11M,-253.44M,,,,-95.25M,-22.66M,,-24.54M,,-24.54M,,,1.045M,-23.49M,,,37.26M,37.26M,,0.00,0.00,,-27.85M,0.814M,1.088M,11.30M,,630.39M,-34.84M,-5.159M,590.39M,,,37.26M,,0.00,,,,AOR,Restated
2008-12,93.58M,,,23.31M,19.44M,42.76M,42.76M,17.23M,,,9.445M,9.445M,281.66M,136.41M,23.22M,-51.77M,,,16.38M,405.90M,568.91M,,-32.24M,,-32.24M,0.00,0.00,2.488M,-29.75M,,135.09M,-358.66M,-223.57M,,-7.377M,-7.377M,,-27.85M,0.563M,0.075M,-258.16M,,356.51M,281.00M,-7.127M,630.39M,,,-222.92M,-0.645M,-7.377M,,,,AOR,Restated
2008-09,138.23M,,,28.79M,19.74M,48.53M,48.53M,11.26M,,,7.368M,7.368M,-405.33M,-102.91M,8.852M,294.18M,,,1.32M,-203.89M,1.494M,,-29.73M,,-29.73M,-154.76M,154.76M,3.35M,-26.38M,,-135.09M,40.07M,-95.03M,,-142.62M,-142.62M,,-28.35M,45.74M,11.26M,-209.00M,,594.62M,-233.89M,-4.221M,356.51M,,,40.07M,-135.09M,-142.62M,,,,,Restated
2008-06,37.49M,,,20.46M,20.64M,41.10M,41.10M,-2.896M,,,18.41M,8.491M,-173.34M,-84.96M,30.76M,11.63M,,,0.654M,-215.26M,-131.07M,,-30.41M,,-30.41M,67.17M,-154.76M,-3.576M,-121.58M,,0.00,182.86M,23.03M,-10.24M,-58.25M,-68.49M,,-27.95M,74.60M,12.94M,14.13M,,832.18M,-238.52M,0.964M,594.62M,,-10.24M,182.86M,,-58.25M,,,,,Restated
2008-03,37.47M,,,15.31M,18.44M,33.75M,33.75M,-0.606M,,,,9.917M,282.79M,-18.41M,11.90M,-197.89M,,,-5.069M,73.32M,153.85M,,-24.76M,,-24.76M,-67.17M,0.00,-2.282M,-94.21M,,,,159.83M,10.24M,-152.00M,-141.75M,,-22.92M,,0.48M,-4.36M,,774.46M,55.28M,2.442M,832.18M,,10.24M,,,-152.00M,,,,,
2007-12,133.73M,,,22.03M,14.19M,36.22M,36.22M,34.77M,,,,-22.57M,246.54M,137.16M,2.565M,-44.45M,,,1.442M,343.24M,554.80M,,-28.34M,-0.417M,-28.76M,,18.00M,0.614M,-28.15M,,,,-0.648M,-77.60M,54.68M,-22.92M,,-23.59M,,-199.53M,-164.02M,,410.94M,362.63M,0.889M,774.46M,,-77.60M,,,54.68M,,,,,Restated
2007-09,161.58M,,,28.15M,17.99M,46.14M,46.14M,1.417M,,,,7.549M,-461.38M,-36.24M,35.64M,233.72M,,,29.67M,-198.59M,18.09M,,-22.31M,0.237M,-22.07M,,-18.00M,-4.393M,-44.46M,,,,267.16M,11.72M,-345.25M,-333.54M,,-25.58M,,2.312M,-89.65M,,525.57M,-116.02M,1.389M,410.94M,,11.72M,,,-345.25M,,,,,
2007-06,4.801M,,,21.76M,17.57M,39.34M,39.34M,-0.192M,,,,44.31M,-86.88M,-84.59M,28.92M,-124.34M,210.43M,,-56.54M,-112.99M,-24.73M,,-21.59M,0.054M,-21.54M,,15.00M,-0.924M,-7.461M,,,,81.44M,33.67M,-228.41M,-194.74M,,-25.63M,,6.992M,-131.94M,,688.59M,-164.13M,1.11M,525.57M,,33.67M,,,-228.41M,,,,,
