,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-12,1.581B,,1.581B,1.405B,1.405B,,,,433.29M,214.00M,,,,3.634B,0.00,3.35M,193.94M,405.21M,79.26M,681.76M,-422.05M,259.71M,573.06M,217.38M,790.44M,605.90M,1.656B,5.290B,,348.48M,70.94M,57.16M,476.57M,609.22M,1.086B,,154.96M,,154.96M,,0.00,,1.252B,1.694B,1.694B,,,,,514.72M,2.208B,3.460B,,104.85M,4.260B,1.051B,3.346B,,,,-239.42M,1.830B,,AOR,Restated
2017-09,1.245B,,1.245B,1.656B,1.656B,,,,629.12M,232.59M,,,,3.762B,,,,,,680.86M,-417.00M,263.86M,572.76M,223.70M,796.46M,722.09M,1.782B,5.545B,,525.85M,,,525.85M,769.89M,1.296B,,189.01M,,189.01M,,,,1.485B,1.693B,1.693B,,,,0.00,410.38M,2.104B,3.588B,,104.85M,4.336B,1.044B,3.294B,,,,-234.79M,1.956B,,AOR,Restated
2017-06,1.434B,,1.434B,846.55M,846.55M,,,,557.51M,257.25M,,,,3.095B,,,,,,677.17M,-408.20M,268.97M,572.14M,230.19M,802.33M,746.63M,1.818B,4.913B,,368.31M,,,368.31M,567.16M,935.47M,,536.78M,,536.78M,,,,1.472B,1.199B,1.199B,,,,0.00,408.89M,1.608B,3.080B,,104.85M,4.142B,1.022B,3.209B,,,,-226.61M,1.832B,,AOR,Restated
2017-03,1.463B,,1.463B,676.94M,676.94M,,,,416.23M,243.48M,,,,2.800B,,,,,,662.92M,-392.90M,270.02M,570.94M,238.07M,809.01M,767.11M,1.846B,4.646B,,241.21M,,,241.21M,545.49M,786.71M,,415.11M,,415.11M,,,,1.202B,1.199B,1.199B,,,,0.00,393.52M,1.592B,2.794B,,104.85M,4.145B,1.009B,3.210B,,,,-197.17M,1.852B,,AOR,Restated
2016-12,1.282B,,1.282B,1.320B,1.320B,,,,387.68M,237.68M,,,,3.228B,0.00,3.096M,175.68M,390.72M,81.61M,651.11M,-383.71M,267.40M,570.56M,245.95M,816.50M,779.86M,1.864B,5.091B,,319.52M,63.50M,,383.03M,712.54M,1.096B,,522.30M,,522.30M,,,,1.618B,1.199B,1.199B,,,,22.70M,389.39M,1.611B,3.229B,,104.85M,4.149B,985.42M,3.182B,,,,-194.57M,1.863B,,AOR,Restated
2016-09,830.37M,,830.37M,1.453B,1.453B,,,,607.70M,255.98M,,,,3.147B,,,,,,630.73M,-383.50M,247.23M,604.70M,254.64M,859.34M,701.59M,1.808B,4.955B,,344.87M,,,344.87M,742.57M,1.087B,,528.28M,,528.28M,,,,1.616B,1.198B,1.198B,,,,34.83M,364.38M,1.598B,3.213B,,104.85M,4.019B,959.86M,3.138B,,,,-203.99M,1.742B,,AOR,Restated
2016-06,924.10M,,924.10M,703.82M,703.82M,,,,572.39M,323.05M,,,,2.523B,,,,,,617.91M,-375.30M,242.61M,592.81M,263.42M,856.23M,722.19M,1.821B,4.344B,,214.24M,,,214.24M,525.38M,739.62M,,5.40M,,5.40M,,,,745.02M,1.548B,1.548B,,,,36.46M,402.61M,1.987B,2.732B,,104.85M,3.825B,945.80M,3.089B,,,,-174.30M,1.613B,,AOR,Restated
2016-03,1.096B,,1.096B,670.66M,670.66M,,,,461.73M,295.81M,,,,2.524B,,,,,,606.85M,-365.60M,241.25M,592.79M,272.12M,864.91M,734.45M,1.841B,4.365B,,176.66M,,,176.66M,502.71M,679.37M,,89.00M,,89.00M,,,,768.37M,1.547B,1.547B,,,,39.15M,402.35M,1.989B,2.757B,,104.85M,3.837B,906.21M,3.077B,,,,-164.35M,1.607B,,AOR,Restated
2015-12,976.75M,,976.75M,1.218B,1.218B,,,,384.49M,286.51M,,,,2.866B,0.00,3.954M,176.98M,350.47M,69.72M,601.13M,-363.60M,237.53M,592.70M,280.81M,873.50M,744.09M,1.855B,4.721B,,241.21M,57.41M,,298.62M,601.47M,900.08M,,164.56M,,164.56M,,,,1.065B,1.547B,1.547B,,,,40.17M,404.88M,1.992B,3.057B,,104.85M,3.852B,893.63M,3.041B,,,,-146.00M,1.664B,,AOR,Restated
2015-09,551.29M,,551.29M,1.390B,1.390B,,,,447.09M,389.46M,,,,2.778B,,,,,,577.76M,-358.10M,219.66M,592.78M,289.20M,881.98M,700.49M,1.802B,4.580B,,282.77M,,,282.77M,653.75M,936.53M,,113.97M,,113.97M,,,,1.050B,1.560B,1.560B,,,,41.17M,385.84M,1.987B,3.037B,,104.85M,3.734B,863.54M,3.033B,,,,-126.18M,1.543B,,AOR,Restated
2015-06,858.46M,,858.46M,709.44M,709.44M,,,,403.79M,434.14M,,,,2.406B,,,,,,585.21M,-359.30M,225.91M,592.80M,298.23M,891.03M,708.33M,1.825B,4.231B,,185.63M,,,185.63M,452.40M,638.03M,,167.88M,,167.88M,,,,805.90M,1.560B,1.560B,,,,41.39M,395.42M,1.997B,2.803B,,104.85M,3.584B,850.58M,3.007B,,,,-103.48M,1.429B,,AOR,Restated
2015-03,1.081B,,1.081B,563.30M,563.30M,,,,340.65M,419.96M,,,,2.405B,,,,,,754.29M,-510.70M,243.59M,592.72M,311.58M,904.30M,707.64M,1.856B,4.261B,,142.95M,,,142.95M,445.87M,588.81M,,231.91M,,231.91M,,,,820.73M,1.560B,1.560B,,,,42.23M,392.48M,1.995B,2.815B,,104.85M,3.600B,825.49M,2.997B,,,,-87.00M,1.446B,,AOR,Restated
2014-12,893.17M,,893.17M,1.095B,1.095B,,,,339.57M,316.09M,,,,2.644B,0.00,6.784M,234.15M,447.43M,57.72M,746.09M,-508.60M,237.49M,593.44M,324.53M,917.97M,719.14M,1.875B,4.518B,,212.55M,53.62M,,266.17M,553.04M,819.20M,,252.48M,,252.48M,,,,1.072B,1.546B,1.546B,,,,42.73M,392.17M,1.981B,3.052B,,104.85M,3.630B,806.26M,2.980B,,,,-95.45M,1.466B,,AOR,Restated
2014-09,452.18M,,452.18M,1.314B,1.314B,,,,499.15M,380.83M,,,,2.646B,,,,,,741.72M,-513.70M,228.02M,593.72M,337.89M,931.61M,702.98M,1.863B,4.509B,,284.02M,,,284.02M,651.98M,936.00M,,78.02M,,78.02M,,,,1.014B,1.560B,1.560B,,,,43.95M,392.37M,1.996B,3.010B,,104.85M,3.514B,786.33M,2.869B,,,,-36.80M,1.499B,,AOR,Restated
2014-06,586.15M,,586.15M,738.90M,738.90M,,,,492.82M,386.33M,,,,2.204B,,,,,,749.08M,-512.20M,236.88M,594.32M,350.70M,945.02M,752.48M,1.934B,4.139B,,207.53M,,,207.53M,507.98M,715.50M,,9.188M,,9.188M,,,,724.69M,1.560B,1.560B,,,,44.19M,357.77M,1.962B,2.687B,,104.85M,3.387B,767.60M,2.756B,,,,-51.78M,1.452B,,AOR,Restated
2014-03,792.25M,,792.25M,552.47M,552.47M,,,,390.82M,406.56M,,,,2.142B,,,,,,746.80M,-509.90M,236.90M,594.36M,362.60M,956.96M,693.47M,1.887B,4.029B,,169.17M,,,169.17M,485.33M,654.51M,,439.21M,,439.21M,,,,1.094B,959.90M,959.90M,,,,44.18M,337.22M,1.341B,2.435B,,104.85M,3.408B,753.14M,2.623B,,,,-48.56M,1.594B,,AOR,Restated
2013-12,682.45M,,682.45M,1.094B,1.094B,,,,348.79M,355.59M,,,,2.480B,0.00,7.87M,241.89M,435.78M,51.21M,736.74M,-500.48M,236.26M,594.32M,376.00M,970.32M,715.23M,1.922B,4.402B,,198.80M,,,198.80M,727.76M,926.56M,,436.72M,,436.72M,,,,1.363B,959.90M,959.90M,,,,45.44M,351.30M,1.357B,2.720B,,104.85M,3.432B,734.18M,2.555B,,,,-34.14M,1.682B,,AOR,Restated
2013-09,588.67M,,588.67M,1.215B,1.215B,,,,447.11M,346.22M,,,,2.597B,,,,,,728.30M,-497.10M,231.20M,594.21M,414.03M,1.008B,753.42M,1.993B,4.590B,,263.09M,,,263.09M,742.44M,1.006B,,643.35M,,643.35M,,,,1.649B,959.90M,959.90M,,,,47.27M,410.67M,1.418B,3.067B,,104.85M,3.355B,709.00M,2.567B,,,,-78.72M,1.523B,,AOR,Restated
2013-06,1.022B,,1.022B,640.50M,640.50M,,,,359.97M,343.38M,,,,2.366B,,,,,,734.57M,-496.80M,237.77M,474.77M,393.21M,867.98M,706.34M,1.812B,4.178B,,199.78M,,,199.78M,471.56M,671.35M,,625.38M,,625.38M,,,,1.297B,959.90M,959.90M,,,,,465.66M,1.426B,2.722B,,104.85M,3.280B,694.77M,2.546B,,,,-77.87M,1.456B,,AOR,Restated
2013-03,1.067B,,1.067B,509.28M,509.28M,,,,323.75M,350.33M,,,,2.250B,,,,,,721.90M,-489.00M,232.90M,474.73M,405.24M,879.97M,697.38M,1.810B,4.061B,,118.42M,,,118.42M,461.29M,579.70M,,161.97M,,161.97M,,,,741.67M,1.394B,1.394B,,,,,461.50M,1.856B,2.598B,,104.85M,3.296B,667.93M,2.538B,,,,-68.17M,1.463B,,AOR,Restated
2012-12,849.70M,,849.70M,1.030B,1.030B,,,,316.05M,312.49M,,,,2.508B,0.00,7.197M,228.61M,426.99M,49.13M,711.93M,-481.51M,230.41M,474.92M,416.66M,891.58M,695.19M,1.817B,4.325B,,139.91M,,,139.91M,596.16M,736.07M,,224.36M,,224.36M,,,,960.44M,1.396B,1.396B,,,,0.00,461.15M,1.858B,2.818B,,104.85M,3.355B,655.94M,2.536B,,,,-72.31M,1.507B,,AOR,Restated
2012-09,696.73M,,696.73M,1.196B,1.196B,,,,463.43M,263.30M,,,,2.619B,,,,,,698.24M,-480.60M,217.64M,474.74M,432.40M,907.14M,702.53M,1.827B,4.446B,,237.40M,,,237.40M,624.47M,861.87M,,264.74M,,264.74M,,,,1.127B,1.399B,1.399B,,,,,393.87M,1.793B,2.919B,,104.85M,3.271B,648.24M,2.458B,,,,-38.24M,1.527B,,AOR,Restated
2012-06,779.93M,,779.93M,651.41M,651.41M,,,,416.90M,297.58M,,,,2.146B,,,,,,695.38M,-472.00M,223.38M,474.61M,445.07M,919.68M,725.83M,1.869B,4.015B,,161.78M,,,161.78M,456.30M,618.09M,,220.60M,,220.60M,,,,838.69M,1.400B,1.400B,,,,,376.98M,1.777B,2.615B,,104.85M,3.153B,641.01M,2.459B,,,,-39.64M,1.399B,,AOR,Restated
2012-03,883.82M,,883.82M,456.58M,456.58M,,,,396.98M,281.52M,,,,2.019B,,,,,,689.02M,-466.20M,222.82M,474.99M,456.64M,931.63M,723.78M,1.878B,3.897B,,129.52M,,,129.52M,425.18M,554.70M,,171.18M,,171.18M,,,,725.88M,1.401B,1.401B,,,,,372.92M,1.774B,2.500B,,104.85M,3.156B,630.06M,2.469B,,,,-24.23M,1.397B,,AOR,Restated
2011-12,641.69M,,641.69M,1.035B,1.035B,,,,333.99M,243.43M,,,,2.254B,0.00,7.038M,202.26M,405.91M,56.49M,671.70M,-453.68M,218.02M,474.79M,467.29M,942.08M,716.98M,1.877B,4.131B,,134.86M,,52.59M,187.45M,574.46M,761.91M,,180.43M,,180.43M,,,,942.34M,1.401B,1.401B,,,,,370.04M,1.771B,2.713B,,104.85M,3.205B,630.04M,2.487B,,,,-35.94M,1.418B,,AOR,Restated
2011-09,186.96M,,186.96M,1.261B,1.261B,,,,518.87M,243.96M,,,,2.210B,,,,,,668.31M,-447.90M,220.41M,475.04M,479.82M,954.86M,699.15M,1.874B,4.085B,,246.46M,,,246.46M,682.81M,929.28M,,13.17M,,13.17M,,,,942.44M,1.405B,1.405B,,,,,355.97M,1.761B,2.703B,,104.85M,3.105B,641.21M,2.455B,,,,-14.96M,1.381B,,AOR,Restated
2011-06,584.78M,,584.78M,837.97M,837.97M,,,,426.93M,196.42M,,,,2.046B,,,,,,688.99M,-449.79M,239.20M,475.45M,489.41M,964.86M,690.58M,1.895B,3.941B,,172.09M,,,172.09M,522.00M,694.10M,,12.43M,,12.43M,,,,706.52M,1.403B,1.403B,,,,,362.57M,1.766B,2.472B,,104.85M,2.972B,632.90M,2.246B,,,,4.169M,1.469B,,AOR,Restated
2011-03,927.42M,,927.42M,558.98M,558.98M,,,,401.31M,173.07M,,,,2.061B,,,,,,676.30M,-437.90M,238.40M,475.34M,489.91M,965.25M,675.90M,1.880B,3.940B,,142.88M,,,142.88M,445.73M,588.61M,,37.92M,,37.92M,,,,626.53M,1.397B,1.397B,,,,,386.13M,1.783B,2.409B,,104.85M,2.955B,624.67M,2.151B,,,,-1.763M,1.531B,,AOR,Restated
2010-12,727.80M,,727.80M,961.25M,961.25M,,,,364.19M,167.81M,,,,2.221B,0.00,6.726M,197.49M,459.55M,,663.77M,-430.19M,233.58M,474.81M,500.60M,975.41M,663.19M,1.872B,4.093B,,132.52M,,,132.52M,571.72M,704.23M,,14.57M,,14.57M,,,,718.80M,1.398B,1.398B,,,,,361.32M,1.759B,2.478B,,104.85M,2.978B,625.96M,2.102B,,,,8.149M,1.615B,,AOR,Restated
2010-09,497.90M,,497.90M,1.210B,1.210B,,,,467.95M,170.39M,,,,2.347B,,,,,,652.76M,-450.70M,202.06M,475.00M,512.69M,987.70M,679.14M,1.869B,4.216B,,267.18M,,,267.18M,607.69M,874.86M,,103.62M,,103.62M,,,,978.49M,1.405B,1.405B,,,,,345.26M,1.750B,2.728B,,104.85M,2.873B,606.98M,2.120B,,,,23.12M,1.487B,,AOR,Restated
2010-06,872.28M,,872.28M,663.48M,663.48M,,,,342.11M,201.96M,,,,2.080B,,,,,,654.65M,-435.80M,218.85M,474.00M,531.50M,1.005B,669.50M,1.894B,3.974B,,206.96M,,,206.96M,439.26M,646.22M,,10.63M,,10.63M,,,,656.86M,1.397B,1.397B,,,,,330.92M,1.728B,2.385B,,104.85M,2.751B,589.70M,1.885B,,,,27.80M,1.589B,,AOR,Restated
2010-03,1.260B,,1.260B,526.03M,526.03M,,,,226.78M,200.23M,,,,2.213B,,,,,,652.92M,-432.40M,220.52M,474.40M,542.94M,1.017B,627.32M,1.865B,4.078B,,128.78M,,,128.78M,412.97M,541.75M,,150.09M,,150.09M,,,,691.84M,1.390B,1.390B,,,,,325.84M,1.716B,2.408B,,104.85M,2.745B,516.49M,1.752B,,,,56.04M,1.670B,,AOR,Restated
2009-12,636.04M,,636.04M,1.039B,1.039B,,,,207.90M,162.29M,,,,2.045B,0.00,6.766M,199.60M,445.91M,,652.27M,-431.56M,220.71M,475.93M,554.57M,1.030B,600.66M,1.852B,3.897B,,173.39M,,,173.39M,628.39M,801.78M,,14.11M,,14.11M,,,,815.89M,1.132B,1.132B,,,,,354.23M,1.486B,2.302B,,104.85M,2.721B,467.18M,1.756B,,,,58.63M,1.595B,,AOR,Restated
2009-09,297.36M,,297.36M,1.116B,1.116B,,,,399.92M,178.60M,,,,1.992B,,,,,,647.16M,-430.90M,216.26M,476.24M,580.37M,1.057B,596.56M,1.869B,3.861B,,225.21M,,,225.21M,628.84M,854.05M,,33.06M,,33.06M,,,,887.12M,1.135B,1.135B,,,,,351.56M,1.486B,2.373B,,104.85M,2.582B,457.82M,1.700B,,,,42.59M,1.488B,,AOR,Restated
2009-06,392.03M,,392.03M,652.56M,652.56M,,,,346.81M,210.82M,,,,1.602B,,,,,,648.14M,-425.20M,222.94M,476.36M,601.16M,1.078B,575.49M,1.876B,3.478B,,165.13M,,,165.13M,435.64M,600.76M,,11.96M,,11.96M,,,,612.72M,1.135B,1.135B,,,,,341.06M,1.476B,2.089B,,104.85M,2.460B,450.24M,1.672B,,,,47.29M,1.390B,,AOR,Restated
2009-03,590.39M,,590.39M,365.04M,365.04M,,,,295.25M,199.15M,,,,1.450B,,,,,,623.12M,-405.20M,217.92M,473.85M,548.48M,1.022B,237.75M,1.478B,2.928B,,120.59M,,,120.59M,404.94M,525.54M,,45.72M,,45.72M,,,,571.25M,709.72M,709.72M,,,,,265.99M,975.72M,1.547B,,104.85M,2.448B,441.92M,1.673B,,,,58.78M,1.381B,,AOR,Restated
2008-12,630.39M,,630.39M,611.77M,611.77M,,,,300.46M,171.39M,,,,1.714B,0.00,6.578M,195.52M,412.69M,,614.79M,-403.08M,211.71M,474.50M,568.41M,1.043B,200.18M,1.455B,3.169B,,184.45M,,,184.45M,607.85M,792.31M,,7.586M,,7.586M,,,,799.89M,709.72M,709.72M,,,,,268.40M,978.12M,1.778B,,104.85M,2.457B,450.16M,1.683B,,,,62.26M,1.391B,,AOR,Restated
2008-09,356.51M,,356.51M,946.93M,946.93M,,,,461.60M,127.08M,,50.50M,,1.943B,,,,,,624.00M,-416.20M,207.80M,,,,1.256B,1.464B,3.407B,,261.90M,,,261.90M,610.86M,872.76M,,232.65M,,232.65M,,,,1.105B,709.72M,709.72M,,,,,235.47M,945.19M,2.051B,,104.85M,2.391B,440.58M,1.684B,,,,103.44M,1.356B,,,Restated
2008-06,594.62M,,594.62M,562.50M,562.50M,,,,375.03M,125.84M,,61.36M,,1.719B,,,,,,634.14M,-423.50M,210.64M,481.57M,608.10M,1.090B,185.65M,1.486B,3.205B,,183.28M,,,183.28M,427.71M,610.99M,,328.07M,,328.07M,,,,939.06M,709.72M,709.72M,,,,,248.31M,958.03M,1.897B,,104.85M,2.281B,413.19M,1.571B,,,,80.11M,1.308B,,,Restated
2008-03,832.18M,,832.18M,388.69M,388.69M,,,,291.20M,150.22M,,60.52M,,1.723B,,,,,,616.88M,-415.20M,201.68M,479.54M,538.43M,1.018B,184.01M,1.404B,3.126B,,163.61M,,,163.61M,425.71M,589.32M,,306.56M,,306.56M,,,,895.88M,709.72M,709.72M,,,,,254.16M,963.89M,1.860B,,104.85M,2.271B,381.33M,1.573B,,,,82.02M,1.267B,,,
2007-12,774.46M,,774.46M,654.79M,654.79M,,,,259.08M,199.91M,,,,1.888B,0.00,6.94M,192.93M,389.36M,,589.23M,-401.27M,187.96M,471.18M,486.23M,957.41M,203.45M,1.349B,3.237B,,186.20M,,,186.20M,555.92M,742.12M,,145.55M,,145.55M,,,,887.67M,709.72M,709.72M,,,,,254.58M,964.30M,1.852B,,104.85M,2.262B,369.09M,1.425B,,,,74.94M,1.385B,,,Restated
2007-09,410.94M,,410.94M,892.71M,892.71M,,,,395.47M,135.02M,,73.28M,,1.907B,,,,,,580.77M,-399.40M,181.37M,471.38M,500.48M,971.86M,225.52M,1.379B,3.286B,,208.21M,,,208.21M,616.96M,825.17M,,145.79M,,145.79M,,,,970.96M,709.72M,709.72M,,,,,252.57M,962.29M,1.933B,,104.85M,2.151B,361.40M,1.299B,,,,34.94M,1.353B,,,
2007-06,525.57M,,525.57M,417.69M,417.69M,,,,352.46M,159.25M,,78.98M,,1.534B,,,,,,575.90M,-391.00M,184.90M,470.65M,497.41M,968.06M,222.04M,1.375B,2.909B,,162.18M,,,162.18M,368.13M,530.31M,,89.05M,,89.05M,,,,619.36M,494.66M,494.66M,,,,,247.98M,742.64M,1.362B,,104.85M,2.013B,349.90M,946.89M,,,,26.25M,1.547B,,,
2007-03,688.59M,15.00M,703.59M,327.12M,327.12M,,,,265.40M,171.49M,,80.42M,,1.548B,,,,,,566.67M,-382.40M,184.27M,470.12M,514.32M,984.44M,175.39M,1.344B,2.892B,,100.34M,,,100.34M,514.30M,614.64M,,7.396M,,7.396M,,,,622.03M,494.86M,494.86M,,,,,242.98M,737.85M,1.360B,,104.85M,2.034B,330.51M,956.29M,,,,19.35M,1.532B,,,
2006-12,715.40M,,715.40M,556.29M,556.29M,,,,203.34M,243.29M,,,,1.718B,0.00,6.623M,186.52M,367.56M,,560.70M,-378.98M,181.73M,469.94M,532.26M,1.002B,194.67M,1.379B,3.097B,,160.02M,,,160.02M,735.30M,895.31M,,10.58M,,10.58M,,,,905.89M,494.92M,494.92M,,,,,158.20M,653.12M,1.559B,,104.85M,2.020B,322.25M,920.74M,,68.98M,-57.80M,11.19M,1.538B,,,
