,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2018-03,111.95M,,,16.08M,12.56M,28.64M,28.64M,1.071M,,9.892M,,9.892M,40.59M,-28.10M,-34.26M,-13.05M,,46.66M,11.84M,,175.84M,2018-03,-15.99M,,,,,911.83M,,895.84M,2018-03,-749.92M,-749.92M,,-282.37M,-282.37M,,24.29M,1.937M,-1.006B,,2018-03,65.62M,8.588M,716.52M,,,0.081M,-750.00M,-282.37M,,2018-03,AOR
2017-12,-353.17M,,,16.00M,11.76M,27.75M,27.75M,42.46M,,9.368M,,0.00,-77.37M,26.95M,26.24M,-3.379M,,-37.05M,-64.61M,,192.18M,2017-12,-30.22M,,,0.00,,-101.55M,,-131.76M,2017-12,39.85M,39.85M,,-86.80M,-86.80M,,24.97M,-2.391M,-24.38M,,2017-12,36.04M,2.467M,642.32M,,,1.35B,-1.310B,-86.80M,,2017-12,AOR
2017-09,136.10M,,,14.66M,11.19M,25.84M,25.84M,-2.162M,,12.27M,,0.00,11.41M,-7.048M,11.74M,-3.691M,,-30.27M,-17.86M,,154.20M,2017-09,-19.90M,,,0.00,,-90.24M,,-110.14M,2017-09,45.19M,45.19M,,-79.91M,-79.91M,,14.64M,2.871M,-17.21M,,2017-09,26.85M,9.70M,603.81M,,,45.19M,0.00,-79.91M,,2017-09,AOR
2017-06,131.82M,,,18.01M,11.44M,29.46M,29.46M,-0.96M,,9.139M,,0.00,6.835M,-8.696M,15.27M,-5.196M,,-0.618M,7.595M,,177.05M,2017-06,-22.65M,,,-5.00M,,-174.16M,,-196.80M,2017-06,44.95M,44.95M,,-76.66M,-76.66M,,19.92M,1.868M,-9.922M,,2017-06,-29.67M,12.48M,567.26M,,,45.00M,-0.052M,-76.66M,,2017-06,AOR
2017-03,105.56M,,,12.78M,10.17M,22.95M,22.95M,6.168M,,8.655M,,5.00M,35.11M,-10.47M,-50.07M,-4.057M,,55.37M,25.88M,,174.21M,2017-03,-17.71M,,,,,-79.34M,,-97.05M,2017-03,39.99M,39.99M,,-89.17M,-89.17M,,38.26M,-1.438M,-12.36M,,2017-03,64.80M,14.02M,584.44M,,,40.00M,-0.012M,-89.17M,,2017-03,AOR
2016-12,174.38M,,0.00,12.83M,11.26M,24.08M,24.08M,-3.72M,,8.394M,0.93M,9.324M,-71.19M,19.84M,36.02M,0.47M,,-15.30M,-30.16M,,173.90M,2016-12,-22.67M,,,0.00,0.045M,-26.62M,0.00,-49.24M,2016-12,45.12M,45.12M,,-83.84M,-83.84M,,3.617M,-0.876M,-35.97M,,2016-12,88.69M,-13.26M,505.63M,,,45.12M,0.00,-83.84M,,2016-12,AOR
2016-09,124.86M,,-1.50M,12.80M,11.49M,24.29M,24.29M,4.287M,,8.367M,9.397M,17.76M,7.153M,-14.98M,11.92M,-5.718M,,-19.47M,-21.10M,,148.60M,2016-09,-22.60M,,,0.00,-5.654M,-146.75M,4.00M,-171.00M,2016-09,24.92M,24.92M,,-69.53M,-69.53M,,35.30M,-1.994M,-11.31M,,2016-09,-33.72M,0.545M,430.21M,,,40.00M,-15.08M,-69.53M,,2016-09,AOR
2016-06,128.22M,,,13.70M,10.95M,24.65M,24.65M,-3.103M,,8.396M,1.898M,10.29M,-5.936M,-4.515M,2.532M,1.775M,,5.007M,-1.137M,,158.92M,2016-06,-25.04M,,,0.00,,-44.80M,,-69.85M,2016-06,39.76M,39.76M,,-76.90M,-76.90M,,15.08M,-7.341M,-29.40M,,2016-06,59.67M,-12.67M,463.38M,,,290.00M,-250.24M,-76.90M,,2016-06,AOR
2016-03,94.05M,,,12.36M,11.08M,23.43M,23.43M,3.74M,,15.84M,1.619M,17.46M,38.25M,-20.49M,-43.63M,1.037M,,47.65M,22.82M,,161.50M,2016-03,-24.65M,,,,,-173.17M,,-197.82M,2016-03,50.18M,50.18M,,-95.49M,-95.49M,,8.191M,-1.895M,-39.02M,,2016-03,-75.33M,4.056M,416.39M,,,110.18M,-60.00M,-95.49M,,2016-03,AOR
2015-12,151.05M,,0.00,12.08M,11.01M,23.09M,23.09M,4.76M,,8.411M,,-20.32M,-56.78M,15.52M,23.22M,-19.39M,,-0.878M,-38.30M,,166.61M,2015-12,-30.76M,,,,-14.09M,-60.38M,0.00,-105.23M,2015-12,40.15M,40.15M,,-79.59M,-79.59M,,23.11M,-8.295M,-24.63M,,2015-12,36.74M,-8.598M,487.66M,,,40.15M,0.00,-79.59M,,2015-12,AOR
2015-09,116.28M,,-1.377M,10.44M,11.32M,21.76M,21.76M,1.279M,,8.347M,,8.347M,-8.955M,-7.81M,26.52M,11.78M,,-28.73M,-7.194M,,139.09M,2015-09,-26.96M,,,,0.00,-8.198M,5.154M,-30.00M,2015-09,69.88M,69.88M,,-84.15M,-84.15M,,4.171M,0.737M,-9.366M,,2015-09,99.73M,-6.083M,459.52M,,,90.00M,-20.12M,-84.15M,,2015-09,AOR
2015-06,105.66M,,,11.32M,11.27M,22.59M,22.59M,-2.286M,,8.155M,,8.155M,-9.119M,-7.677M,3.231M,-7.82M,,0.229M,-21.16M,,112.96M,2015-06,-23.88M,,,,-9.408M,-174.77M,,-208.06M,2015-06,74.98M,74.98M,,-79.93M,-79.93M,,13.51M,3.166M,11.72M,,2015-06,-83.38M,8.458M,365.88M,,,75.00M,-0.019M,-79.93M,,2015-06,AOR
2015-03,96.06M,,,11.44M,11.10M,22.55M,22.55M,2.828M,,8.455M,,8.455M,24.96M,-20.00M,-25.52M,-1.776M,,47.03M,24.70M,,154.59M,2015-03,-21.41M,,,,,-35.04M,,-56.45M,2015-03,20.07M,20.07M,,-91.02M,-91.02M,,11.27M,-0.591M,-60.27M,,2015-03,37.87M,-19.25M,440.80M,,,120.07M,-100.00M,-91.02M,,2015-03,AOR
2014-12,151.29M,,,11.73M,11.95M,23.68M,23.68M,10.73M,0.625M,8.538M,,-12.07M,-53.02M,20.83M,-17.57M,3.564M,,0.193M,-46.01M,,161.72M,2014-12,-34.01M,,,-13.33M,-3.336M,-43.82M,,-79.61M,2014-12,35.24M,35.24M,,-75.87M,-75.87M,,30.56M,7.638M,-2.437M,,2014-12,79.68M,-14.47M,422.18M,,,45.24M,-10.01M,-75.87M,,2014-12,AOR
2014-09,113.50M,0.00,0.00,17.34M,12.09M,29.43M,29.43M,-1.239M,0.00,8.107M,,8.107M,-5.282M,-5.254M,9.614M,-2.51M,,-19.86M,-23.30M,,127.84M,2014-09,-28.09M,0.00,0.00,-1.80M,-20.06M,-100.52M,,-148.66M,2014-09,36.60M,36.60M,,-76.40M,-76.40M,,2.616M,-1.932M,-39.11M,,2014-09,-59.94M,-11.79M,356.97M,,,260.01M,-223.40M,-76.40M,,2014-09,AOR
2014-06,96.53M,,,8.505M,12.28M,20.78M,20.78M,-5.694M,4.093M,8.224M,,12.32M,-1.277M,-7.395M,5.764M,1.17M,,-17.98M,-19.72M,,106.33M,2014-06,-22.76M,,,,0.00,-31.06M,,-53.81M,2014-06,61.30M,61.30M,,-92.60M,-92.60M,,5.349M,0.578M,-25.37M,,2014-06,27.15M,6.163M,428.69M,,,66.37M,-5.072M,-92.60M,,2014-06,AOR
2014-03,70.30M,,,8.819M,11.52M,20.34M,20.34M,-2.218M,,8.129M,,8.129M,30.15M,-24.16M,-11.49M,-8.008M,,30.52M,17.00M,,115.76M,2014-03,-21.40M,,,,-3.615M,-94.94M,,-119.95M,2014-03,8.758M,8.758M,,-92.57M,-92.57M,,35.32M,8.193M,-40.30M,,2014-03,-44.49M,-0.921M,395.38M,,,10.05M,-1.295M,-92.57M,,2014-03,AOR
2013-12,141.58M,,,10.36M,11.08M,21.44M,21.44M,11.35M,,7.723M,,7.723M,-57.82M,19.39M,-3.441M,11.20M,,-6.806M,-37.47M,,143.29M,2013-12,-25.63M,,,,-14.96M,-94.77M,,-135.36M,2013-12,29.58M,29.58M,,-75.38M,-75.38M,,33.49M,9.778M,-2.531M,,2013-12,5.397M,4.398M,440.80M,,,30.19M,-0.601M,-75.38M,,2013-12,AOR
2013-09,98.05M,,,9.716M,10.86M,20.57M,20.57M,-7.009M,,8.678M,,8.678M,-3.381M,-9.96M,19.42M,-3.442M,,-19.77M,-17.13M,,104.76M,2013-09,-31.54M,,,0.00,-26.43M,-73.43M,,-131.40M,2013-09,25.85M,25.85M,,-55.12M,-55.12M,,16.30M,3.986M,-8.981M,,2013-09,-35.62M,11.58M,431.00M,,,40.85M,-15.00M,-55.12M,,2013-09,AOR
2013-06,89.31M,,,9.604M,9.818M,19.42M,19.42M,-3.181M,,7.876M,,7.876M,9.467M,-7.982M,1.233M,-2.223M,,-6.488M,-5.993M,,109.02M,2013-06,-30.64M,,,,0.00,-76.87M,,-107.51M,2013-06,34.68M,34.68M,,-69.71M,-69.71M,,11.69M,4.848M,-18.50M,,2013-06,-16.98M,-0.02M,455.04M,,,895.54M,-860.86M,-69.71M,,2013-06,AOR
2013-03,121.06M,,,8.487M,9.775M,18.26M,18.26M,-0.991M,,7.431M,,7.431M,16.50M,-12.84M,-45.34M,-0.506M,,22.42M,-19.77M,,127.80M,2013-03,-30.64M,,,,0.00,-59.82M,,-90.45M,2013-03,55.45M,55.45M,,-101.37M,-101.37M,,7.478M,3.857M,-34.58M,,2013-03,2.764M,-11.75M,472.05M,,,65.63M,-10.18M,-101.37M,,2013-03,AOR
2012-12,175.94M,,,10.32M,7.285M,17.61M,17.61M,-42.84M,,7.496M,,7.496M,-45.34M,25.63M,19.53M,-4.177M,,-14.28M,-18.64M,,131.65M,2012-12,-31.70M,,,,0.00,34.16M,,2.457M,2012-12,30.08M,30.08M,,-60.60M,-60.60M,,7.585M,9.794M,-13.14M,,2012-12,120.97M,3.771M,481.04M,,,30.25M,-0.172M,-60.60M,,2012-12,AOR
2012-09,99.11M,,,9.933M,10.69M,20.62M,20.62M,-2.235M,,7.306M,,7.306M,-0.423M,-7.231M,-0.235M,-2.46M,,-16.41M,-26.76M,,101.35M,2012-09,-26.13M,,,,-12.60M,-69.44M,,-108.17M,2012-09,46.35M,46.35M,,-63.96M,-63.96M,,2.599M,-1.844M,-16.86M,,2012-09,-23.68M,10.54M,356.29M,,,50.14M,-3.788M,-63.96M,,2012-09,AOR
2012-06,97.72M,,,9.405M,6.629M,16.03M,16.03M,-2.317M,,7.114M,,7.114M,-10.08M,-11.27M,2.57M,0.834M,,1.593M,-16.36M,,105.08M,2012-06,-31.39M,,,,0.00,-96.34M,,-127.73M,2012-06,77.74M,77.74M,,-103.24M,-103.24M,,4.131M,-3.171M,-24.54M,,2012-06,-47.19M,-10.56M,369.43M,,,87.84M,-10.10M,-103.24M,,2012-06,AOR
2012-03,88.67M,,,7.763M,6.806M,14.57M,14.57M,-4.83M,,7.267M,,7.267M,16.01M,-18.06M,-21.31M,-1.333M,,26.22M,1.541M,,111.20M,2012-03,-15.53M,,,,-18.41M,-29.01M,,-62.95M,2012-03,32.05M,32.05M,,-68.08M,-68.08M,,14.55M,9.478M,-12.00M,,2012-03,36.25M,6.947M,427.19M,,,50.09M,-18.04M,-68.08M,,2012-03,AOR
2011-12,,,,9.264M,7.078M,16.34M,16.34M,1.248M,,6.934M,,-275.72M,-22.57M,37.53M,0.092M,-0.223M,-20.97M,1.011M,-5.13M,,150.06M,2011-12,-34.09M,,51.34M,,-0.10M,-127.07M,,-161.26M,2011-12,21.22M,21.22M,-45.69M,-72.85M,-118.54M,,,14.69M,-22.47M,,2011-12,-33.67M,-6.267M,383.99M,,-45.69M,42.30M,-21.08M,-72.85M,,2011-12,AOR
2011-09,,,,9.328M,7.272M,16.60M,16.60M,-3.38M,,6.882M,,103.84M,2.849M,-10.18M,20.72M,0.469M,-10.38M,-0.671M,2.798M,,127.33M,2011-09,-16.07M,,-16.07M,,-11.00M,6.472M,,-20.60M,2011-09,131.46M,131.46M,2.713M,-144.16M,-141.45M,,,-3.235M,-13.23M,,2011-09,93.51M,-14.50M,423.93M,,2.713M,257.13M,-125.67M,-144.16M,,2011-09,AOR
2011-06,,,,9.299M,7.986M,17.28M,17.28M,-2.213M,,6.748M,,101.74M,-10.54M,-18.70M,-5.816M,1.785M,7.494M,-1.225M,-27.00M,,97.22M,2011-06,-18.43M,,-18.43M,,0.00,-34.57M,,-53.01M,2011-06,44.91M,44.91M,28.89M,-80.64M,-51.75M,,,9.365M,2.523M,,2011-06,46.73M,1.32M,344.91M,,28.89M,54.08M,-9.175M,-80.64M,,2011-06,AOR
2011-03,,,,8.64M,7.52M,16.16M,16.16M,-1.479M,,7.015M,,97.71M,17.73M,-17.35M,-26.84M,2.278M,23.86M,2.655M,2.33M,,122.76M,2011-03,-16.84M,,-16.84M,,0.00,-104.27M,,-121.11M,2011-03,27.18M,27.18M,14.08M,-73.18M,-59.10M,,,4.663M,-27.25M,,2011-03,-25.60M,13.96M,296.86M,,14.08M,245.02M,-217.84M,-73.18M,,2011-03,AOR
2010-12,381.76M,,,8.524M,8.516M,17.04M,17.04M,-10.37M,,6.294M,,-237.62M,-22.57M,-1.265M,15.71M,3.727M,-23.34M,17.16M,-10.58M,,134.09M,2010-12,-15.46M,,47.28M,,0.00,-63.62M,,-79.08M,2010-12,-21.22M,-21.22M,-26.85M,-51.40M,-78.25M,,,-2.478M,-1.363M,,2010-12,53.65M,-7.94M,308.50M,,-26.85M,0.525M,-21.74M,-51.40M,,2010-12,AOR
2010-09,,,,8.779M,6.453M,15.23M,15.23M,-0.655M,,6.244M,,96.92M,-7.861M,-10.60M,3.954M,1.863M,-3.706M,7.258M,-9.094M,,108.94M,2010-09,-26.05M,,-26.05M,,0.00,-130.72M,,-156.76M,2010-09,37.38M,37.38M,7.667M,-65.07M,-57.40M,,,1.287M,-18.73M,,2010-09,-66.56M,18.46M,262.79M,,7.667M,53.54M,-16.16M,-65.07M,,2010-09,AOR
2010-06,-75.52M,,,8.677M,6.624M,15.30M,15.30M,-2.064M,,6.283M,,162.90M,-6.622M,-9.035M,18.64M,1.491M,3.309M,-3.225M,4.555M,,111.67M,2010-06,-11.06M,,-11.06M,,,-48.42M,,-59.48M,2010-06,41.14M,41.14M,10.33M,-74.80M,-64.47M,,,1.655M,-21.68M,,2010-06,30.51M,-16.64M,310.88M,,10.33M,51.93M,-10.79M,-74.80M,,2010-06,AOR
2010-03,75.52M,,,8.441M,6.544M,14.98M,14.98M,-1.95M,,6.031M,,2.648M,-6.23M,-16.13M,13.72M,-4.679M,23.73M,-5.39M,5.019M,,103.16M,2010-03,-10.16M,,-10.16M,,,-106.02M,,-116.19M,2010-03,76.98M,76.98M,8.852M,-105.02M,-96.17M,,,0.709M,-18.48M,,2010-03,-31.51M,-12.59M,297.01M,,8.852M,209.64M,-132.66M,-105.02M,,2010-03,AOR
2009-12,104.12M,,,8.023M,6.677M,14.70M,14.70M,34.58M,,6.498M,,6.655M,-28.98M,11.80M,-11.74M,3.168M,-9.318M,-11.63M,-46.70M,,119.86M,2009-12,-13.40M,,-13.40M,,0.00,-101.42M,,-114.81M,2009-12,-12.88M,-12.88M,10.94M,-54.16M,-43.22M,,,5.75M,-50.35M,,2009-12,-45.31M,-4.00M,341.11M,,10.94M,15.28M,-28.16M,-54.16M,,2009-12,AOR
2009-09,75.94M,,,7.486M,6.179M,13.66M,13.66M,-3.311M,,7.251M,,2.074M,13.92M,-0.035M,25.74M,-0.315M,-3.902M,-6.443M,28.96M,,124.57M,2009-09,-22.64M,,-22.64M,,0.00,-40.50M,,-63.14M,2009-09,13.89M,13.89M,4.204M,-48.33M,-44.12M,,,-3.823M,-34.05M,,2009-09,27.38M,4.594M,390.42M,,4.204M,25.40M,-11.50M,-48.33M,,2009-09,AOR
2009-06,69.91M,,,7.933M,6.563M,14.50M,14.50M,6.984M,,7.158M,,2.195M,-7.387M,-0.792M,-0.451M,0.724M,,0.312M,-7.594M,,93.15M,2009-06,-35.60M,,-35.60M,,0.00,-104.12M,,-139.72M,2009-06,42.70M,42.70M,3.011M,-45.04M,-42.03M,,,7.489M,8.158M,,2009-06,-38.41M,8.703M,358.44M,,3.011M,48.86M,-6.164M,-45.04M,,2009-06,AOR
2009-03,73.35M,,,8.363M,6.048M,14.41M,14.41M,-1.977M,,7.348M,,2.152M,5.542M,-17.79M,-24.38M,1.659M,,20.38M,-14.59M,,80.69M,2009-03,-22.16M,,-22.16M,,-36.09M,-43.12M,,-101.36M,2009-03,48.04M,48.04M,0.944M,-63.85M,-62.90M,,,0.829M,-14.03M,,2009-03,-34.71M,-5.663M,388.15M,,0.944M,94.76M,-46.72M,-63.85M,,2009-03,AOR
2008-12,99.35M,,,7.019M,5.787M,12.81M,12.81M,-5.313M,,,,-19.05M,-6.516M,21.89M,-20.43M,-3.426M,6.977M,-4.851M,-6.357M,,112.22M,2008-12,-19.99M,,-19.99M,,-4.823M,0.00,,-24.81M,2008-12,,-491.87M,5.524M,-26.45M,-20.92M,,,-19.11M,-531.90M,,2008-12,-444.49M,-19.59M,428.52M,,5.524M,,,-26.45M,,2008-12,
2008-09,71.50M,,,6.441M,7.237M,13.68M,13.68M,-0.94M,,,,11.74M,6.091M,-8.822M,10.73M,1.064M,-5.626M,3.316M,6.757M,,102.74M,2008-09,-16.50M,,-16.50M,,-2.982M,0.00,,-19.49M,2008-09,,43.95M,6.875M,-56.72M,-49.84M,,,-2.087M,-7.979M,,2008-09,75.28M,-13.36M,892.60M,,6.875M,,,-56.72M,,2008-09,
2008-06,83.15M,,,8.497M,16.54M,25.04M,25.04M,-11.05M,,,,11.13M,3.939M,-15.10M,6.785M,0.85M,4.359M,-1.748M,-0.914M,,107.36M,2008-06,-18.27M,,-18.27M,,,57.97M,,39.70M,2008-06,,54.24M,3.702M,-77.58M,-73.88M,,,2.912M,-16.73M,,2008-06,130.33M,-0.207M,830.68M,,3.702M,,,-77.58M,,2008-06,
2008-03,68.48M,,,7.114M,6.633M,13.75M,13.75M,-2.325M,,,,10.73M,18.22M,-18.58M,-17.06M,2.059M,15.40M,5.259M,5.30M,,95.93M,2008-03,-14.30M,,-14.30M,,,37.71M,,23.41M,2008-03,,45.12M,12.54M,-76.76M,-64.21M,,,2.755M,-16.33M,,2008-03,103.01M,0.221M,700.56M,,12.54M,,,-76.76M,,2008-03,
2007-12,98.94M,,,6.959M,6.673M,13.63M,13.63M,8.145M,,,,9.432M,-41.31M,16.10M,-5.05M,-6.53M,-4.515M,14.76M,-26.54M,,103.61M,2007-12,-15.32M,,-15.32M,,-2.695M,-60.48M,0.724M,-77.77M,2007-12,,-26.34M,40.20M,-19.90M,20.30M,,,-6.445M,-12.48M,,2007-12,13.36M,-7.294M,597.33M,,40.20M,,,-19.90M,,2007-12,
2007-09,53.28M,,,7.281M,6.403M,13.68M,13.68M,-0.887M,,,,5.245M,13.54M,-11.22M,28.53M,2.111M,-10.21M,-13.90M,8.859M,,80.18M,2007-09,-17.72M,,-17.72M,,-6.381M,-35.23M,-0.724M,-60.05M,2007-09,,20.70M,19.00M,-24.25M,-5.25M,,,6.787M,22.23M,,2007-09,42.36M,4.597M,591.26M,,19.00M,,,-24.25M,,2007-09,
2007-06,59.91M,,,6.657M,6.439M,13.10M,13.10M,-1.963M,,,,12.00M,5.184M,-0.713M,11.40M,2.023M,1.856M,1.229M,20.98M,,104.02M,2007-06,-14.49M,,-14.49M,,-0.724M,115.82M,0.724M,101.33M,2007-06,,18.32M,7.145M,-74.98M,-67.84M,,,1.791M,-47.73M,,2007-06,157.62M,2.318M,544.30M,,7.145M,,,-74.98M,,2007-06,
2007-03,55.94M,,,6.57M,6.335M,12.90M,12.90M,0.651M,,,,9.58M,-3.679M,-10.54M,-2.572M,-0.636M,19.11M,1.936M,3.614M,,82.69M,2007-03,-12.82M,,-12.82M,,0.724M,-119.32M,,-131.41M,2007-03,,-31.96M,25.08M,-81.52M,-56.44M,,,6.687M,-81.71M,,2007-03,-130.43M,0.632M,384.36M,,25.08M,,,-81.52M,,2007-03,
2006-12,79.89M,,,5.801M,5.01M,10.81M,10.81M,6.209M,,,,16.38M,-42.62M,13.91M,-16.05M,-1.887M,-8.301M,-1.137M,-56.09M,,57.20M,2006-12,-12.85M,,-12.85M,,-62.77M,,,-75.63M,2006-12,,13.79M,12.99M,-21.43M,-8.445M,,,9.331M,14.68M,,2006-12,-3.745M,6.344M,514.17M,,12.99M,,,-21.43M,,2006-12,
2006-09,50.38M,,,7.31M,5.466M,12.78M,12.78M,-1.074M,,,,9.165M,11.36M,-14.62M,2.051M,2.30M,-8.95M,-1.089M,-8.948M,,62.30M,2006-09,-13.89M,,-13.89M,,-2.356M,,,-16.24M,2006-09,,27.96M,6.133M,-57.89M,-51.76M,,,-2.869M,-26.67M,,2006-09,19.38M,2.629M,511.57M,,6.133M,,,-57.89M,,2006-09,
2006-06,47.78M,,-11.22M,6.711M,4.958M,11.67M,11.67M,-2.577M,,,,19.27M,9.657M,-15.33M,13.34M,-1.551M,-0.179M,-5.19M,0.743M,,65.67M,2006-06,-14.70M,,-14.70M,,-0.12M,,,-14.82M,2006-06,,18.57M,10.10M,-79.76M,-69.66M,,,4.344M,-46.75M,,2006-06,4.099M,4.234M,489.56M,,10.10M,,,-79.76M,,2006-06,
