,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2005-03,268.30M,268.30M,111.80M,156.50M,80.60M,16.75M,1.282M,,,,,,98.62M,57.88M,,,,,,58.24M,11.65M,46.60M,,,46.60M,11.07M,57.88M,,2005-03,0.39,,0.39,0.39,,2005-03,,,0.38,2005-03,118.72M,121.16M,0.00,,2005-03,,
2004-12,324.15M,324.15M,130.14M,194.01M,80.92M,16.48M,1.236M,-5.011M,,,,3.997M,102.62M,91.39M,,,,-5.011M,,90.53M,19.01M,71.52M,,,71.52M,11.88M,91.39M,,2004-12,0.59,,0.6229,0.59,,2004-12,,,0.6122,2004-12,120.20M,122.77M,0.00,,2004-12,,
2004-09,264.81M,264.81M,111.01M,153.80M,71.97M,17.00M,1.228M,0.158M,,,,,90.20M,63.60M,,,,0.158M,,64.21M,12.27M,51.94M,,,51.94M,10.61M,63.60M,,2004-09,0.43,,0.4289,0.43,,2004-09,,,0.4190,2004-09,119.52M,122.60M,0.00,,2004-09,,
2004-06,260.49M,260.49M,106.18M,154.31M,75.84M,15.69M,0.996M,17.12M,,,,-17.12M,75.41M,78.90M,,,,17.12M,,79.90M,20.15M,59.75M,,,59.75M,9.725M,78.90M,,2004-06,0.50,,0.3921,0.50,,2004-06,,,0.3857,2004-06,118.69M,122.82M,0.00,,2004-06,,
2004-03,255.09M,255.09M,107.47M,147.61M,71.43M,16.07M,1.354M,-7.951M,,,,7.847M,96.70M,50.91M,,,,-7.951M,,51.04M,10.20M,40.84M,,,40.84M,9.713M,50.91M,,2004-03,0.34,,0.3929,0.34,,2004-03,,,0.3813,2004-03,120.18M,123.99M,0.00,,2004-03,,
2003-12,275.07M,275.07M,113.10M,161.97M,67.22M,16.79M,1.008M,-0.929M,,,,6.00M,91.01M,70.96M,,,,-0.929M,,-2.923B,18.11M,58.40M,,,58.40M,8.64M,70.96M,,2003-12,0.48,,0.4846,0.48,,2003-12,,,0.4745,2003-12,120.76M,124.61M,0.00,,2003-12,,
2003-09,230.38M,230.38M,95.04M,135.34M,66.74M,15.11M,1.179M,-5.025M,,,,,83.03M,52.31M,,,,-5.025M,,48.83M,12.42M,36.41M,,,36.41M,7.384M,52.31M,,2003-09,0.30,,0.3307,0.30,,2003-09,,,0.3196,2003-09,122.24M,126.71M,0.00,,2003-09,,
2003-06,231.75M,231.75M,95.49M,136.26M,68.68M,13.79M,1.027M,,,,,,83.50M,52.77M,,,,,,54.67M,12.57M,42.10M,,,42.10M,8.842M,52.77M,,2003-06,0.34,,0.34,0.34,,2003-06,,,0.33,2003-06,123.61M,128.25M,0.00,,2003-06,,
2003-03,221.00M,221.00M,94.21M,126.79M,61.61M,13.56M,1.028M,-7.745M,,,,6.531M,82.73M,44.06M,,,,-7.745M,,43.67M,9.692M,33.98M,,,33.98M,8.982M,44.06M,,2003-03,0.27,,0.3177,0.27,,2003-03,,,0.3061,2003-03,126.31M,130.78M,0.00,,2003-03,,
2002-12,256.39M,256.39M,151.15M,105.24M,20.18M,13.42M,0.903M,-21.06M,,,,7.545M,42.05M,63.20M,,,,-21.06M,,50.14M,9.892M,40.24M,0.00,,40.24M,9.422M,63.20M,,2002-12,0.32,,0.4514,0.31,,2002-12,-0.0002,,0.4266,2002-12,128.69M,133.52M,0.00,,2002-12,,
