,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-09,2.462B,228.60M,2.691B,870.40M,,938.40M,761.80M,602.20M,,1.364B,290.10M,,,5.283B,0.00,46.90M,481.70M,1.514B,2.730B,409.80M,6.401B,11.58B,-6.664B,4.920B,1.539B,441.40M,1.981B,1.024B,795.40M,362.80M,9.082B,14.37B,,782.50M,429.50M,226.60M,,1.439B,753.90M,2.192B,215.20M,,,,,1.288B,1.288B,,4.221B,,3.933B,,3.933B,,4.40M,4.40M,,6.90M,750.90M,4.688B,8.909B,,1.40M,5.563B,41.10M,,,,-155.60M,5.450B,,AOR,Restated
2017-06,2.716B,289.90M,3.006B,791.10M,,791.10M,837.60M,519.70M,,1.357B,354.80M,,,5.509B,0.00,46.80M,475.70M,1.477B,2.672B,362.20M,6.200B,11.23B,-6.534B,4.700B,1.549B,454.80M,2.004B,1.138B,805.90M,365.30M,9.013B,14.52B,,702.20M,361.40M,171.60M,,1.235B,736.60M,1.972B,211.50M,,,,,1.342B,1.342B,,4.026B,,3.936B,,3.936B,,,,,6.10M,711.20M,4.647B,8.673B,,1.40M,5.986B,41.10M,,,,-185.10M,5.843B,,AOR,Restated
2017-03,2.164B,231.00M,2.395B,791.00M,,791.00M,806.20M,517.40M,,1.324B,409.90M,,,4.919B,0.00,46.80M,468.20M,1.431B,2.587B,311.50M,6.042B,10.89B,-6.323B,4.564B,1.636B,467.70M,2.104B,1.461B,811.20M,368.00M,9.308B,14.23B,,686.90M,361.90M,201.80M,,1.251B,698.50M,1.949B,217.90M,25.00M,25.00M,,25.00M,1.340B,1.340B,,4.000B,,3.942B,,3.942B,,,,,6.40M,673.90M,4.616B,8.616B,,1.40M,5.769B,41.10M,,,,-206.40M,5.605B,,AOR,Restated
2016-12,2.035B,140.80M,2.175B,865.10M,,865.10M,706.80M,511.90M,,1.219B,357.00M,,,4.616B,0.00,46.50M,454.30M,1.389B,2.531B,266.70M,5.925B,10.61B,-6.133B,4.478B,1.599B,470.60M,2.070B,1.652B,806.10M,394.90M,9.401B,14.02B,,662.50M,364.20M,355.10M,,1.382B,768.10M,2.150B,211.60M,,,,,1.578B,1.578B,,4.397B,,3.186B,,3.186B,,,,,6.50M,631.20M,3.817B,8.214B,,1.50M,5.996B,41.10M,,,,-242.30M,5.797B,,AOR,Restated
2016-09,2.129B,134.40M,2.263B,768.80M,,768.80M,769.50M,609.00M,,1.378B,347.40M,,,4.758B,0.00,46.60M,458.40M,1.367B,2.537B,271.40M,5.893B,10.57B,-6.040B,4.534B,1.720B,516.30M,2.236B,1.496B,885.40M,403.30M,9.555B,14.31B,,730.60M,365.10M,368.40M,,1.464B,754.80M,2.219B,246.00M,399.90M,399.90M,,399.90M,1.171B,1.171B,,4.547B,,3.185B,,3.185B,,,,,6.70M,689.70M,3.875B,8.422B,,1.50M,5.950B,41.10M,,,,-108.40M,5.884B,,AOR,Restated
2016-06,2.142B,174.50M,2.316B,747.30M,,747.30M,811.60M,513.50M,,1.325B,467.50M,,,4.856B,0.00,46.60M,443.70M,1.376B,2.444B,292.80M,5.698B,10.30B,-5.943B,4.359B,1.705B,526.70M,2.232B,1.172B,822.80M,391.10M,8.977B,13.83B,,675.70M,293.30M,185.60M,,1.155B,691.30M,1.846B,238.60M,399.80M,399.80M,,399.80M,1.217B,1.217B,,4.245B,,3.202B,,3.202B,,,,,2.20M,661.60M,3.864B,8.109B,,1.50M,5.702B,146.90M,,,,-128.60M,5.722B,,AOR,Restated
2016-03,1.294B,123.20M,1.418B,743.70M,,743.70M,776.30M,516.80M,,1.293B,429.10M,,,3.884B,0.00,46.60M,428.70M,1.312B,2.397B,313.00M,5.594B,10.09B,-5.844B,4.247B,1.625B,515.20M,2.140B,937.40M,910.20M,401.20M,8.636B,12.52B,,662.70M,292.90M,184.80M,,1.140B,744.00M,1.884B,240.40M,548.90M,548.90M,,548.90M,1.204B,1.204B,,4.351B,,2.448B,,2.448B,,,,,1.80M,624.20M,3.072B,7.423B,,1.50M,5.241B,41.10M,,,,-189.20M,5.095B,,AOR,Restated
2015-12,2.264B,116.40M,2.380B,764.40M,,764.40M,715.20M,527.40M,,1.243B,340.80M,,,4.728B,0.00,46.60M,415.10M,1.275B,2.312B,268.20M,5.472B,9.788B,-5.666B,4.122B,1.572B,509.10M,2.081B,656.50M,938.50M,416.90M,8.216B,12.94B,,648.00M,297.10M,236.00M,,1.181B,691.00M,1.872B,237.50M,399.80M,399.80M,,399.80M,1.449B,1.449B,,4.420B,,1.948B,,1.948B,,,,,1.90M,592.10M,2.54B,6.960B,,1.50M,6.164B,41.10M,,,,-225.10M,5.982B,,AOR,Restated
2015-09,1.530B,81.30M,1.611B,719.00M,,719.00M,708.40M,598.00M,,1.306B,334.20M,,,3.971B,0.00,46.60M,411.50M,1.282B,2.250B,242.50M,5.410B,9.642B,-5.554B,4.088B,1.575B,520.40M,2.096B,664.50M,1.181B,415.90M,8.445B,12.42B,,684.20M,297.00M,259.00M,,1.240B,677.00M,1.917B,224.80M,,,,,983.80M,983.80M,,3.648B,,2.348B,,2.348B,,,,,1.80M,600.90M,2.948B,6.596B,,1.50M,5.975B,41.10M,,,,-199.40M,5.818B,,AOR,Restated
2015-06,2.080B,94.70M,2.175B,672.70M,,672.70M,699.20M,466.80M,,1.166B,413.80M,333.00M,,4.761B,0.00,46.60M,404.40M,1.234B,2.180B,289.60M,5.278B,9.432B,-5.454B,3.978B,1.561B,525.80M,2.086B,749.50M,851.20M,443.30M,8.108B,12.87B,,603.20M,238.50M,170.10M,,1.012B,735.40M,1.747B,214.70M,549.80M,549.80M,,549.80M,1.025B,1.025B,,4.049B,,2.347B,,2.347B,,,,,1.80M,613.90M,2.961B,7.010B,,1.50M,5.945B,41.10M,,,,-131.10M,5.856B,,AOR,Restated
2015-03,1.750B,99.40M,1.850B,655.60M,,655.60M,637.10M,424.00M,,1.061B,355.10M,323.80M,,4.245B,0.00,46.60M,410.80M,1.180B,2.101B,307.60M,5.149B,9.196B,-5.298B,3.898B,1.592B,547.00M,2.139B,662.10M,851.10M,395.20M,7.945B,12.19B,,601.30M,240.10M,188.10M,,1.030B,790.90M,1.820B,215.50M,,,,,1.018B,1.018B,,3.521B,,2.048B,,2.048B,,,,,2.00M,610.30M,2.659B,6.18B,,1.50M,6.083B,41.10M,,,,-116.90M,6.009B,,AOR,Restated
2014-12,1.857B,96.10M,1.953B,664.90M,,664.90M,560.90M,457.40M,,1.018B,600.50M,309.30M,,4.546B,0.00,46.70M,343.10M,1.150B,1.996B,379.40M,5.084B,9.000B,-5.178B,3.822B,1.585B,555.50M,2.140B,628.40M,831.70M,382.20M,7.805B,12.35B,,547.70M,240.10M,268.50M,,1.056B,615.70M,1.672B,217.20M,,,,,1.231B,1.231B,,3.558B,,2.048B,,2.048B,,,,,382.40M,587.40M,2.636B,6.193B,,0.80M,5.832B,39.40M,,,,-97.00M,5.775B,,AOR,Restated
2014-09,1.708B,135.40M,1.844B,631.00M,,631.00M,586.30M,504.60M,,1.091B,285.60M,317.40M,,4.169B,0.00,46.70M,278.10M,1.078B,1.904B,415.60M,4.858B,8.581B,-5.062B,3.519B,856.20M,273.50M,1.130B,833.30M,903.30M,198.90M,6.584B,10.75B,,533.70M,239.80M,272.00M,,1.046B,564.70M,1.610B,196.10M,,,,,794.50M,794.50M,,3.039B,,2.048B,,2.048B,,,,,1.70M,392.20M,2.440B,5.479B,,0.70M,5.207B,39.40M,,,,25.30M,5.272B,,AOR,Restated
2014-06,1.019B,176.90M,1.196B,580.90M,,580.90M,596.90M,428.90M,,1.026B,289.40M,264.50M,,3.357B,0.00,46.90M,278.20M,1.046B,1.865B,389.80M,4.744B,8.370B,-4.996B,3.374B,861.70M,278.70M,1.140B,1.374B,947.10M,193.00M,7.028B,10.39B,,474.50M,195.20M,150.80M,,820.50M,602.30M,1.423B,202.60M,,,,,830.80M,830.80M,,2.884B,,2.048B,,2.048B,,,,,2.00M,382.50M,2.431B,5.314B,,0.80M,4.958B,39.40M,,,,70.90M,5.069B,,AOR,Restated
2014-03,1.190B,299.20M,1.490B,590.00M,,590.00M,555.10M,399.60M,,954.70M,286.10M,258.70M,,3.579B,0.00,46.90M,277.90M,1.008B,1.828B,347.30M,4.611B,8.119B,-4.841B,3.278B,860.80M,277.20M,1.138B,962.60M,943.40M,195.90M,6.518B,10.10B,,472.60M,196.10M,133.60M,,802.30M,551.30M,1.354B,184.50M,,,,,816.30M,816.30M,,2.734B,,2.048B,,2.048B,,,,,2.00M,368.40M,2.416B,5.150B,,0.80M,4.705B,174.60M,,,,64.30M,4.945B,,AOR,Restated
2013-12,1.546B,157.00M,1.703B,589.80M,,589.80M,540.80M,402.50M,,943.30M,271.10M,252.40M,,3.759B,0.00,46.90M,279.30M,957.10M,1.782B,349.50M,4.522B,7.938B,-4.705B,3.233B,862.60M,276.10M,1.139B,969.30M,949.00M,205.80M,6.496B,10.26B,,444.20M,196.70M,231.60M,,872.50M,520.80M,1.393B,186.20M,,,,,1.013B,1.013B,,2.953B,,2.048B,,2.048B,,,,,2.10M,364.80M,2.413B,5.366B,,0.80M,4.474B,343.70M,,,,68.70M,4.887B,,AOR,Restated
2013-09,2.576B,658.10M,3.234B,561.40M,,561.40M,632.50M,478.70M,,1.111B,287.70M,277.30M,,5.471B,0.00,47.00M,259.60M,949.70M,1.752B,342.40M,4.432B,7.782B,-4.582B,3.200B,862.90M,274.80M,1.138B,554.80M,967.00M,185.30M,6.045B,11.52B,,491.70M,195.80M,125.00M,,812.50M,3.312B,4.125B,178.50M,,,,,653.70M,653.70M,,5.377B,,1.299B,,1.299B,,,,,2.10M,357.70M,1.657B,7.034B,,0.80M,4.130B,282.10M,,,,67.00M,4.480B,,AOR,Restated
2013-06,1.431B,613.50M,2.044B,506.80M,,506.80M,739.70M,434.10M,,1.174B,302.00M,212.80M,,4.240B,0.00,47.00M,258.60M,888.40M,1.683B,330.90M,4.252B,7.460B,-4.473B,2.987B,860.90M,268.80M,1.130B,488.90M,30.90M,186.10M,4.823B,9.062B,,415.20M,157.70M,82.40M,,655.30M,507.10M,1.162B,177.50M,,,,,682.00M,682.00M,,2.424B,28.40M,549.70M,,549.70M,,,207.50M,,6.10M,104.80M,890.40M,3.315B,,0.80M,5.558B,167.70M,,,,14.50M,5.742B,,AOR,Restated
2013-03,1.223B,474.50M,1.698B,520.00M,,520.00M,709.50M,415.00M,,1.124B,256.70M,211.30M,,3.810B,0.00,43.90M,246.20M,878.50M,1.610B,362.90M,4.137B,7.278B,-4.433B,2.845B,863.60M,267.40M,1.131B,468.90M,68.20M,179.20M,4.693B,8.503B,,355.70M,157.20M,81.70M,,594.60M,482.00M,1.077B,170.70M,,,,,667.90M,667.90M,,2.270B,33.50M,549.60M,,549.60M,,,206.00M,,6.10M,116.50M,905.60M,3.175B,,0.70M,5.299B,39.40M,,,,-17.30M,5.321B,,AOR,Restated
2012-12,1.852B,607.60M,2.460B,469.20M,,469.20M,735.30M,357.90M,,1.093B,178.30M,215.60M,,4.416B,0.00,44.00M,225.90M,860.00M,1.590B,300.00M,4.033B,7.053B,-4.342B,2.711B,400.20M,146.60M,546.80M,534.30M,98.20M,183.70M,4.074B,8.490B,,380.80M,157.30M,114.30M,,652.40M,460.10M,1.112B,169.10M,,,,,785.50M,785.50M,,2.391B,43.70M,549.60M,,549.60M,,,202.90M,,5.70M,128.00M,924.20M,3.315B,,0.70M,5.117B,39.40M,,,,11.90M,5.169B,,AOR,Restated
2012-09,1.189B,848.40M,2.037B,485.90M,,485.90M,837.70M,403.80M,,1.242B,196.50M,238.70M,,4.200B,0.00,46.20M,225.20M,836.20M,1.574B,264.10M,3.958B,6.903B,-4.244B,2.659B,399.10M,143.70M,542.80M,575.90M,97.30M,144.70M,4.020B,8.219B,,398.10M,157.40M,138.30M,,693.80M,456.50M,1.150B,167.70M,,,,,510.20M,510.20M,,2.210B,,549.60M,,549.60M,,,,,5.50M,345.30M,894.90M,3.105B,,0.70M,5.046B,39.40M,,,,22.70M,5.109B,,AOR,Restated
2012-06,1.501B,996.30M,2.498B,433.00M,,433.00M,1.116B,133.40M,,1.249B,172.90M,216.90M,,4.570B,0.00,44.80M,222.60M,2.294B,,210.30M,3.809B,6.580B,-4.136B,2.444B,336.70M,117.80M,454.50M,554.40M,,286.20M,3.739B,8.309B,,402.20M,129.10M,99.70M,,631.00M,125.70M,756.70M,,,,,,520.80M,520.80M,390.40M,2.018B,53.80M,549.60M,,549.60M,,,206.70M,,3.00M,92.60M,902.70M,2.921B,,0.80M,4.936B,450.90M,,,,-2.50M,5.385B,,AOR,Restated
2012-03,1.432B,802.10M,2.234B,437.40M,,437.40M,1.074B,131.30M,,1.205B,259.60M,215.20M,,4.352B,0.00,44.80M,221.60M,2.249B,,167.50M,3.753B,6.436B,-4.054B,2.382B,340.70M,112.50M,453.20M,539.70M,,279.60M,3.655B,8.006B,,388.30M,128.80M,76.60M,,593.70M,343.10M,936.80M,,,,,,530.90M,530.90M,155.90M,1.971B,53.20M,549.60M,,549.60M,,211.30M,211.30M,,2.80M,84.30M,898.40M,2.870B,,0.80M,4.732B,359.30M,,,,41.70M,5.134B,,AOR,Restated
2011-12,1.570B,703.60M,2.273B,431.00M,,431.00M,990.80M,133.20M,,1.124B,180.10M,228.80M,,4.237B,0.00,44.80M,218.90M,2.203B,,136.80M,3.665B,6.269B,-3.922B,2.347B,337.10M,110.80M,447.90M,528.10M,,275.20M,3.598B,7.836B,,365.90M,127.90M,151.70M,,645.50M,366.20M,1.012B,,,,,,673.80M,673.80M,156.00M,2.159B,51.90M,549.50M,,549.50M,,214.50M,214.50M,,2.50M,85.60M,901.50M,3.060B,,0.80M,4.551B,178.70M,,,,42.10M,4.773B,,AOR,Restated
2011-09,1.148B,902.60M,2.051B,386.50M,,386.50M,815.00M,150.80M,,965.80M,161.50M,230.40M,,3.795B,0.00,44.80M,218.50M,2.155B,,127.40M,3.618B,6.163B,-3.808B,2.355B,321.60M,111.90M,433.50M,479.30M,156.30M,141.40M,3.566B,7.360B,,540.00M,126.60M,109.20M,,775.80M,340.70M,1.116B,,,,,,449.30M,449.30M,145.60M,2.076B,,549.50M,,549.50M,,,,,2.40M,347.80M,897.30M,2.973B,,0.70M,4.297B,40.50M,,,,46.30M,4.385B,,AOR,Restated
2011-06,1.721B,231.70M,1.952B,361.50M,,361.50M,740.70M,116.00M,,856.70M,152.80M,263.50M,,3.587B,0.00,57.90M,270.10M,2.130B,,126.60M,3.575B,6.16B,-3.775B,2.385B,265.70M,74.50M,340.20M,473.70M,,312.10M,3.511B,7.098B,,339.90M,97.30M,82.10M,,519.30M,150.50M,669.80M,,,,,,489.90M,489.90M,347.80M,1.859B,50.40M,549.40M,,549.40M,,,222.70M,,2.60M,74.40M,896.90M,2.756B,,0.70M,4.066B,175.00M,,,,97.50M,4.339B,,AOR,Restated
2011-03,1.645B,282.30M,1.928B,355.70M,,355.70M,673.00M,99.40M,,772.40M,226.70M,258.00M,,3.540B,0.00,58.00M,269.80M,1.999B,,189.10M,3.526B,6.042B,-3.663B,2.378B,265.30M,72.60M,337.90M,447.50M,,323.40M,3.487B,7.028B,,330.20M,,63.90M,,394.10M,767.60M,1.162B,,,,,,487.00M,487.00M,145.50M,1.794B,,549.40M,,549.40M,,,,,9.40M,356.80M,906.20M,2.700B,,0.80M,3.884B,348.70M,,,,84.60M,4.318B,,AOR,Restated
2010-12,1.792B,258.60M,2.051B,316.10M,,316.10M,514.90M,105.60M,,620.50M,151.00M,262.20M,,3.400B,0.00,58.00M,267.80M,1.990B,,173.40M,3.468B,5.957B,-3.563B,2.394B,263.80M,71.90M,335.70M,483.50M,,317.90M,3.531B,6.931B,,296.80M,,115.80M,,412.60M,784.30M,1.197B,,,,,,608.20M,608.20M,151.30M,1.956B,,549.40M,,549.40M,,,,,8.60M,365.00M,914.40M,2.871B,,0.70M,3.720B,268.30M,,,,62.60M,4.052B,,AOR,Restated
2010-09,1.164B,285.70M,1.450B,302.70M,,302.70M,427.70M,115.60M,,543.30M,156.50M,304.20M,,2.756B,0.00,58.00M,265.70M,1.956B,,173.60M,3.436B,5.889B,-3.472B,2.416B,262.40M,70.80M,333.20M,533.30M,,346.50M,3.630B,6.386B,,282.60M,,100.20M,,382.80M,836.00M,1.219B,,,,,,414.10M,414.10M,146.20M,1.779B,,549.40M,,549.40M,,,,,7.60M,375.10M,924.50M,2.704B,,0.70M,3.471B,145.60M,,,,57.20M,3.675B,,AOR,Restated
