,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2014-12,,104.00M,104.00M,1.10B,,1.10B,,,,,64.00M,,109.00M,1.61B,0.00,457.00M,781.00M,775.00M,,365.00M,2.378B,-918.00M,1.46B,894.00M,1.351B,2.245B,224.00M,215.00M,819.00M,260.00M,5.223B,6.833B,,605.00M,605.00M,1.432B,2.037B,324.00M,324.00M,,,677.00M,3.038B,3.447B,,3.447B,,,,,,2.548B,5.995B,9.033B,,5.00M,4.286B,2.802B,9.223B,-70.00M,-2.20B,,AOR,Restated
2014-09,,150.00M,150.00M,1.03B,,1.03B,,,,,54.00M,207.00M,111.00M,1.552B,0.00,541.00M,771.00M,774.00M,,566.00M,2.652B,-916.00M,1.736B,894.00M,1.342B,2.236B,234.00M,215.00M,597.00M,277.00M,5.295B,6.847B,,612.00M,612.00M,759.00M,1.371B,7.00M,7.00M,,,1.36B,2.738B,3.521B,,3.521B,,,,,,2.43B,5.951B,8.689B,,5.00M,4.156B,2.753B,8.703B,-53.00M,-1.842B,,AOR,Restated
2014-06,,192.00M,192.00M,1.057B,,1.057B,,,,,58.00M,202.00M,28.00M,1.537B,0.00,541.00M,781.00M,788.00M,,455.00M,2.565B,-918.00M,1.647B,894.00M,1.334B,2.228B,229.00M,220.00M,617.00M,352.00M,5.293B,6.83B,,617.00M,617.00M,771.00M,1.388B,7.00M,7.00M,,,1.295B,2.69B,3.397B,,3.397B,,,,,,2.463B,5.86B,8.55B,,5.00M,4.03B,2.707B,8.423B,-39.00M,-1.72B,,AOR,Restated
2014-03,,184.00M,184.00M,1.035B,,1.035B,,,,,59.00M,235.00M,52.00M,1.565B,0.00,536.00M,777.00M,777.00M,,374.00M,2.464B,-895.00M,1.569B,874.00M,1.126B,2.00B,222.00M,141.00M,627.00M,541.00M,5.10B,6.665B,,616.00M,616.00M,732.00M,1.348B,7.00M,7.00M,,,1.241B,2.596B,3.295B,,3.295B,,,,,,2.399B,5.694B,8.29B,,5.00M,3.917B,2.664B,8.17B,-41.00M,-1.625B,,AOR,Restated
2013-12,,126.00M,126.00M,1.081B,,1.081B,,,,,67.00M,252.00M,27.00M,1.903B,0.00,535.00M,786.00M,789.00M,,338.00M,2.448B,-905.00M,1.543B,874.00M,1.131B,2.005B,222.00M,142.00M,647.00M,332.00M,4.891B,6.794B,,557.00M,557.00M,1.446B,2.003B,6.00M,6.00M,,,666.00M,2.675B,3.147B,,3.147B,,,,,,2.387B,5.534B,8.209B,,5.00M,3.837B,2.716B,7.929B,-44.00M,-1.415B,,AOR,Restated
2013-09,,144.00M,144.00M,972.00M,,972.00M,,,,,57.00M,217.00M,24.00M,1.646B,0.00,550.00M,731.00M,853.00M,,327.00M,2.461B,-972.00M,1.489B,874.00M,1.115B,1.989B,228.00M,137.00M,671.00M,320.00M,4.834B,6.48B,,496.00M,496.00M,733.00M,1.229B,52.00M,52.00M,,,1.141B,2.422B,3.104B,,3.104B,,,,,,2.363B,5.467B,7.889B,,5.00M,3.763B,2.67B,7.798B,-49.00M,-1.409B,,AOR,Restated
2013-06,,108.00M,108.00M,1.006B,,1.006B,,,,,60.00M,206.00M,24.00M,1.404B,0.00,600.00M,701.00M,868.00M,,480.00M,2.649B,-1.015B,1.634B,874.00M,1.117B,1.991B,228.00M,152.00M,665.00M,303.00M,4.973B,6.377B,,554.00M,554.00M,770.00M,1.324B,50.00M,50.00M,,,1.093B,2.467B,3.037B,,3.037B,,,,,,2.366B,5.403B,7.87B,,5.00M,3.662B,2.578B,7.684B,-54.00M,-1.493B,,AOR,Restated
2013-03,,221.00M,221.00M,1.08B,,1.08B,,,,11.00M,56.00M,247.00M,11.00M,1.626B,0.00,587.00M,696.00M,861.00M,,428.00M,2.572B,-998.00M,1.574B,874.00M,1.119B,1.993B,230.00M,170.00M,673.00M,257.00M,4.897B,6.523B,,517.00M,517.00M,698.00M,1.215B,49.00M,49.00M,,,1.094B,2.358B,3.206B,,3.206B,,,,,,2.336B,5.542B,7.90B,,5.00M,3.549B,2.542B,7.427B,-46.00M,-1.377B,,AOR,Restated
2012-12,,88.00M,88.00M,1.028B,,1.028B,,,,,57.00M,280.00M,22.00M,1.475B,0.00,590.00M,703.00M,854.00M,,383.00M,2.53B,-991.00M,1.539B,874.00M,1.115B,1.989B,216.00M,180.00M,676.00M,267.00M,4.867B,6.342B,,569.00M,569.00M,745.00M,1.314B,407.00M,407.00M,,,1.052B,2.773B,2.528B,,2.528B,,,,,,2.326B,4.854B,7.627B,,5.00M,3.509B,2.585B,7.34B,-44.00M,-1.285B,,AOR,Restated
2012-09,105.00M,105.00M,105.00M,756.00M,85.00M,841.00M,,,,11.00M,45.00M,146.00M,10.00M,1.158B,0.00,553.00M,682.00M,842.00M,,322.00M,2.399B,-978.00M,1.421B,874.00M,898.00M,1.772B,217.00M,171.00M,851.00M,275.00M,4.707B,5.865B,,594.00M,594.00M,668.00M,1.262B,408.00M,408.00M,,,1.02B,2.69B,2.101B,,2.101B,,,,,,2.37B,4.471B,7.161B,,5.00M,3.434B,2.515B,7.201B,-49.00M,-1.296B,,AOR,
2012-06,105.00M,105.00M,105.00M,861.00M,78.00M,939.00M,,,,12.00M,48.00M,181.00M,70.00M,1.355B,0.00,552.00M,679.00M,824.00M,,288.00M,2.343B,-960.00M,1.383B,874.00M,846.00M,1.72B,223.00M,197.00M,846.00M,283.00M,4.652B,6.007B,,592.00M,592.00M,633.00M,1.225B,407.00M,407.00M,,,1.01B,2.642B,2.153B,,2.153B,,,,,,2.336B,4.489B,7.131B,,5.00M,3.335B,2.464B,6.875B,-53.00M,-1.124B,,AOR,Restated
2012-03,290.00M,290.00M,290.00M,786.00M,77.00M,863.00M,,,,12.00M,62.00M,230.00M,7.00M,1.464B,0.00,555.00M,680.00M,826.00M,,255.00M,2.316B,-949.00M,1.367B,875.00M,852.00M,1.727B,268.00M,223.00M,849.00M,273.00M,4.707B,6.171B,,579.00M,579.00M,602.00M,1.181B,755.00M,755.00M,,,970.00M,2.906B,1.772B,,1.772B,,,,,,2.341B,4.113B,7.019B,,5.00M,3.249B,2.438B,6.502B,-38.00M,-848.00M,,AOR,Restated
2011-12,,102.00M,102.00M,875.00M,,875.00M,,,,11.00M,54.00M,282.00M,,1.324B,0.00,454.00M,667.00M,810.00M,,164.00M,2.095B,-927.00M,1.168B,875.00M,846.00M,1.721B,265.00M,298.00M,873.00M,261.00M,4.586B,5.91B,,548.00M,548.00M,,548.00M,355.00M,355.00M,,,1.005B,2.558B,1.816B,,1.816B,,,,,,2.317B,4.133B,6.691B,,5.00M,3.212B,2.513B,6.463B,-48.00M,-781.00M,,AOR,Restated
2011-09,220.00M,220.00M,220.00M,826.00M,185.00M,1.011B,,,,1.029B,85.00M,234.00M,99.00M,2.678B,0.00,612.00M,966.00M,1.075B,,159.00M,2.812B,-1.332B,1.48B,875.00M,841.00M,1.716B,271.00M,1.102B,1.005B,213.00M,5.787B,8.465B,,619.00M,619.00M,735.00M,1.354B,480.00M,480.00M,,,1.266B,3.10B,2.623B,,2.623B,,,,,,2.312B,4.935B,8.035B,,5.00M,3.165B,3.657B,6.381B,-16.00M,430.00M,,AOR,Restated
2011-06,117.00M,117.00M,117.00M,825.00M,181.00M,1.006B,,,,1.365B,93.00M,237.00M,120.00M,2.938B,0.00,614.00M,963.00M,1.067B,,143.00M,2.787B,-1.304B,1.483B,875.00M,844.00M,1.719B,278.00M,1.127B,910.00M,336.00M,5.853B,8.791B,,607.00M,607.00M,674.00M,1.281B,482.00M,482.00M,,,1.154B,2.917B,2.44B,,2.44B,,,,,,2.298B,4.738B,7.655B,,5.00M,3.401B,3.615B,5.874B,-11.00M,1.136B,,AOR,Restated
2011-03,144.00M,144.00M,144.00M,759.00M,185.00M,944.00M,133.00M,690.00M,636.00M,1.459B,104.00M,241.00M,107.00M,2.999B,0.00,548.00M,957.00M,1.05B,,130.00M,2.685B,-1.273B,1.412B,875.00M,802.00M,1.677B,313.00M,1.216B,919.00M,224.00M,5.761B,8.76B,,557.00M,557.00M,635.00M,1.192B,137.00M,137.00M,,,1.094B,2.423B,2.72B,,2.72B,,,,,,2.231B,4.951B,7.374B,,5.00M,3.31B,3.587B,5.518B,2.00M,1.386B,,AOR,Restated
2010-12,,505.00M,505.00M,,,938.00M,,,,1.489B,81.00M,246.00M,123.00M,3.382B,0.00,514.00M,854.00M,984.00M,,204.00M,2.556B,-1.249B,1.307B,875.00M,768.00M,1.643B,250.00M,1.264B,932.00M,205.00M,5.601B,8.983B,,634.00M,634.00M,692.00M,1.326B,138.00M,138.00M,,,1.037B,2.501B,2.691B,,2.691B,,,,,,2.206B,4.897B,7.398B,,5.00M,3.286B,3.644B,5.348B,-2.00M,1.585B,,AOR,Restated
2010-09,223.00M,223.00M,223.00M,750.00M,181.00M,931.00M,147.00M,738.00M,570.00M,1.455B,74.00M,223.00M,155.00M,3.061B,0.00,495.00M,869.00M,983.00M,,206.00M,2.553B,-1.226B,1.327B,875.00M,748.00M,1.623B,245.00M,1.295B,1.05B,188.00M,5.728B,8.789B,,509.00M,509.00M,714.00M,1.223B,126.00M,126.00M,,,1.147B,2.496B,2.60B,,2.60B,,,,,,2.338B,4.938B,7.434B,,5.00M,3.191B,3.58B,5.427B,6.00M,1.355B,,AOR,Restated
2010-06,100.00M,100.00M,100.00M,692.00M,264.00M,956.00M,148.00M,757.00M,562.00M,1.467B,93.00M,242.00M,93.00M,2.951B,0.00,455.00M,925.00M,984.00M,,199.00M,2.563B,-1.228B,1.335B,875.00M,735.00M,1.61B,245.00M,1.23B,1.074B,202.00M,5.696B,8.647B,,475.00M,475.00M,598.00M,1.073B,142.00M,142.00M,,,1.136B,2.351B,2.769B,,2.769B,,,,,,2.303B,5.072B,7.423B,,5.00M,3.13B,3.552B,5.458B,-5.00M,1.224B,,AOR,Restated
2010-03,118.00M,118.00M,118.00M,683.00M,263.00M,946.00M,,,,1.503B,110.00M,254.00M,84.00M,3.015B,0.00,453.00M,926.00M,985.00M,,173.00M,2.537B,-1.198B,1.339B,875.00M,743.00M,1.618B,243.00M,1.268B,1.091B,219.00M,5.778B,8.793B,,499.00M,499.00M,543.00M,1.042B,145.00M,145.00M,,,1.126B,2.313B,3.124B,,3.124B,,,,,,2.286B,5.41B,7.723B,,5.00M,3.038B,3.524B,5.497B,0.00,1.07B,,AOR,Restated
2009-12,,115.00M,115.00M,,,838.00M,,,,1.444B,68.00M,255.00M,131.00M,2.851B,0.00,454.00M,935.00M,996.00M,,163.00M,2.548B,-1.186B,1.362B,875.00M,731.00M,1.606B,249.00M,452.00M,1.02B,393.00M,5.082B,7.933B,,562.00M,562.00M,519.00M,1.081B,64.00M,64.00M,,,1.142B,2.287B,2.234B,,2.234B,,,,,,2.27B,4.504B,6.791B,,5.00M,3.103B,3.585B,5.564B,13.00M,1.142B,,AOR,Restated
2009-09,,130.00M,130.00M,,,908.00M,,,,1.465B,78.00M,257.00M,125.00M,2.963B,0.00,453.00M,907.00M,963.00M,,193.00M,2.516B,-1.145B,1.371B,875.00M,734.00M,1.609B,257.00M,612.00M,1.012B,443.00M,5.304B,8.267B,,559.00M,559.00M,1.282B,1.841B,137.00M,137.00M,75.00M,75.00M,438.00M,2.491B,2.523B,,2.523B,,,,231.00M,0.00,2.037B,4.791B,7.282B,,5.00M,3.038B,3.556B,5.622B,8.00M,985.00M,,AOR,Restated
2009-06,,125.00M,125.00M,,,863.00M,,,,2.001B,96.00M,175.00M,138.00M,3.398B,0.00,479.00M,916.00M,959.00M,,210.00M,2.564B,-1.109B,1.455B,875.00M,716.00M,1.591B,326.00M,681.00M,841.00M,451.00M,5.345B,8.743B,,579.00M,579.00M,1.18B,1.759B,136.00M,136.00M,70.00M,70.00M,440.00M,2.405B,2.713B,,2.713B,,,,222.00M,4.00M,1.984B,4.919B,7.324B,,5.00M,3.54B,3.538B,5.695B,-4.00M,1.415B,,AOR,Restated
2009-03,,168.00M,168.00M,,,832.00M,,,,1.994B,,175.00M,268.00M,3.437B,0.00,471.00M,849.00M,946.00M,,264.00M,2.53B,-1.081B,1.449B,875.00M,712.00M,1.587B,311.00M,648.00M,826.00M,446.00M,5.267B,8.704B,,599.00M,599.00M,1.157B,1.756B,143.00M,143.00M,65.00M,65.00M,442.00M,2.406B,2.834B,,2.834B,,,,211.00M,9.00M,1.916B,4.961B,7.367B,,5.00M,3.541B,3.52B,5.711B,-27.00M,1.328B,,AOR,Restated
2008-12,,134.00M,134.00M,,,898.00M,,,,1.981B,,186.00M,207.00M,3.406B,0.00,469.00M,852.00M,954.00M,,244.00M,2.519B,-1.076B,1.443B,875.00M,710.00M,1.585B,346.00M,830.00M,727.00M,566.00M,5.497B,8.903B,,704.00M,704.00M,633.00M,1.337B,120.00M,120.00M,,,1.076B,2.533B,2.975B,,2.975B,,,,,11.00M,2.004B,4.979B,7.512B,,5.00M,3.565B,3.59B,5.765B,-15.00M,1.38B,,,Restated
2008-09,,117.00M,117.00M,1.091B,,1.091B,,,,1.892B,,190.00M,317.00M,3.607B,0.00,421.00M,866.00M,932.00M,,272.00M,2.491B,-1.097B,1.394B,921.00M,721.00M,1.642B,,,616.00M,1.845B,5.497B,9.104B,,657.00M,657.00M,562.00M,1.219B,44.00M,44.00M,162.00M,162.00M,1.241B,2.666B,3.002B,,3.002B,,,,,14.00M,1.994B,4.996B,7.662B,,5.00M,3.61B,3.542B,5.777B,48.00M,1.428B,,,Restated
2008-06,,125.00M,125.00M,1.12B,,1.12B,,,,1.824B,,192.00M,351.00M,3.612B,0.00,413.00M,861.00M,916.00M,,252.00M,2.442B,-1.07B,1.372B,921.00M,712.00M,1.633B,,,636.00M,1.759B,5.40B,9.012B,,615.00M,615.00M,546.00M,1.161B,42.00M,42.00M,157.00M,157.00M,1.20B,2.56B,3.006B,,3.006B,,,,,,2.011B,5.017B,7.577B,,5.00M,3.549B,3.511B,5.701B,71.00M,1.435B,,,Restated
