,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-06,736.00M,3.689B,3.136B,553.00M,152.00M,152.00M,,20.00M,42.00M,6.00M,-36.00M,,184.00M,369.00M,6.00M,42.00M,-36.00M,22.00M,-36.00M,355.00M,115.00M,240.00M,,,,240.00M,226.48M,429.00M,32.00M,397.00M,,0.88,,,0.8304,0.88,,0.87,,,0.8212,0.87,,272.40M,277.30M,0.25,,AOR,Restated
2015-03,715.00M,3.513B,2.992B,521.00M,145.00M,145.00M,,,36.00M,8.00M,-28.00M,,189.00M,332.00M,8.00M,36.00M,-28.00M,3.00M,-28.00M,307.00M,100.00M,207.00M,,,,207.00M,207.00M,387.00M,44.00M,343.00M,,0.75,,,0.75,0.75,,0.73,,,0.73,0.73,,277.70M,283.50M,0.20,,AOR,Restated
2014-12,705.00M,3.559B,3.056B,503.00M,180.00M,180.00M,,4.00M,26.00M,13.00M,-13.00M,,212.00M,291.00M,13.00M,26.00M,-13.00M,4.00M,-13.00M,282.00M,85.00M,197.00M,,,,197.00M,194.21M,340.00M,32.00M,308.00M,,0.70,,,0.6901,0.70,,0.68,,,0.6703,0.68,,282.10M,289.00M,0.20,,AOR,Restated
2014-09,692.00M,3.46B,2.957B,503.00M,172.00M,172.00M,,1.00M,29.00M,8.00M,-21.00M,,205.00M,298.00M,8.00M,29.00M,-21.00M,13.00M,-21.00M,290.00M,98.00M,192.00M,,,,192.00M,191.34M,352.00M,33.00M,319.00M,,0.66,,,0.6577,0.66,,0.65,,,0.6478,0.65,,288.90M,295.40M,0.20,,AOR,Restated
2014-06,721.00M,3.484B,2.962B,522.00M,159.00M,159.00M,,3.00M,30.00M,4.00M,-26.00M,,206.00M,316.00M,4.00M,30.00M,-26.00M,-5.00M,-26.00M,285.00M,93.00M,192.00M,,,,192.00M,189.98M,362.00M,47.00M,315.00M,,0.66,,,0.6531,0.66,,0.64,,,0.6332,0.64,,292.50M,298.70M,0.20,,AOR,Restated
2014-03,623.00M,3.293B,2.855B,438.00M,148.00M,148.00M,,0.00,30.00M,5.00M,-25.00M,,184.00M,254.00M,5.00M,30.00M,-25.00M,2.00M,-25.00M,231.00M,59.00M,172.00M,,,,172.00M,172.00M,297.00M,36.00M,261.00M,,0.58,,,0.58,0.58,,0.57,,,0.57,0.57,,296.10M,303.30M,0.17,,AOR,Restated
2013-12,648.00M,3.219B,2.768B,451.00M,178.00M,178.00M,,-2.00M,32.00M,10.00M,-22.00M,,213.00M,238.00M,10.00M,32.00M,-22.00M,-6.00M,-22.00M,210.00M,59.00M,151.00M,,,,151.00M,152.44M,277.00M,35.00M,242.00M,,0.50,,,0.5048,0.50,,0.49,,,0.4943,0.49,,299.60M,331.60M,0.17,,AOR,Restated
2013-09,598.00M,3.16B,2.734B,426.00M,147.00M,147.00M,,1.00M,28.00M,5.00M,-23.00M,,181.00M,245.00M,5.00M,28.00M,-23.00M,1.00M,-23.00M,223.00M,63.00M,160.00M,,,,160.00M,159.28M,285.00M,34.00M,251.00M,,0.53,,,0.5276,0.53,,0.52,,,0.5176,0.52,,301.90M,301.90M,0.17,,AOR,Restated
2013-06,653.00M,3.263B,2.791B,472.00M,160.00M,160.00M,,10.00M,29.00M,5.00M,-24.00M,,193.00M,279.00M,5.00M,29.00M,-24.00M,8.00M,-24.00M,263.00M,84.00M,179.00M,,,,179.00M,172.21M,325.00M,33.00M,292.00M,,0.58,,,0.5579,0.58,,0.57,,,0.5479,0.57,,306.70M,306.70M,0.17,,AOR,Restated
2013-03,594.00M,3.142B,2.727B,415.00M,164.00M,164.00M,,3.00M,31.00M,3.00M,-28.00M,,189.00M,226.00M,3.00M,31.00M,-28.00M,3.00M,-28.00M,201.00M,65.00M,136.00M,,,,136.00M,133.97M,257.00M,25.00M,232.00M,,0.44,,,0.4335,0.44,,0.43,,,0.4237,0.43,,311.80M,320.00M,0.13,,AOR,Restated
2012-12,767.00M,3.757B,3.203B,554.00M,143.00M,143.00M,,2.00M,41.00M,7.00M,-34.00M,,245.00M,309.00M,7.00M,41.00M,-34.00M,-4.00M,-34.00M,271.00M,90.00M,181.00M,,,,181.00M,179.66M,314.00M,2.00M,312.00M,,0.58,,,0.5757,0.58,,0.56,,,0.5562,0.56,,309.40M,350.60M,0.13,,AOR,Restated
2012-09,519.00M,2.729B,2.384B,345.00M,132.00M,132.00M,7.00M,36.00M,29.00M,3.00M,-26.00M,,132.00M,213.00M,3.00M,29.00M,-26.00M,35.00M,-26.00M,222.00M,79.00M,143.00M,,,,143.00M,119.81M,284.00M,33.00M,251.00M,,0.45,,,0.3774,0.45,,0.44,,,0.3674,0.44,,319.40M,319.40M,0.13,,AOR,
2012-06,606.00M,2.776B,2.373B,403.00M,160.00M,160.00M,,5.00M,34.00M,3.00M,-31.00M,,160.00M,243.00M,3.00M,34.00M,-31.00M,-3.00M,-31.00M,209.00M,66.00M,143.00M,,,,143.00M,139.58M,281.00M,38.00M,243.00M,,0.44,,,0.4296,0.44,,0.42,,,0.4099,0.42,,327.90M,338.00M,0.13,,AOR,Restated
2012-03,517.00M,2.552B,2.23B,322.00M,147.00M,147.00M,,2.00M,33.00M,4.00M,-29.00M,,147.00M,175.00M,4.00M,33.00M,-29.00M,1.00M,-29.00M,147.00M,43.00M,104.00M,,,,104.00M,102.58M,209.00M,29.00M,180.00M,,0.31,,,0.3057,0.31,,0.30,,,0.2959,0.30,,333.70M,344.60M,0.10,,AOR,Restated
2011-12,1.01B,3.693B,3.192B,501.00M,254.00M,254.00M,,4.00M,47.00M,5.00M,-42.00M,,254.00M,247.00M,5.00M,47.00M,-42.00M,-3.00M,-42.00M,202.00M,61.00M,141.00M,,,,141.00M,138.21M,277.00M,28.00M,249.00M,,0.40,,,0.3916,0.40,,0.40,,,0.3926,0.40,,330.90M,379.70M,0.10,,AOR,Restated
2011-09,829.00M,2.874B,2.838B,36.00M,180.00M,180.00M,18.00M,-16.00M,39.00M,2.00M,-37.00M,,180.00M,-144.00M,2.00M,39.00M,-37.00M,-18.00M,-37.00M,-199.00M,-20.00M,-179.00M,,,,-179.00M,-164.61M,-120.00M,40.00M,-160.00M,,-0.52,,,-0.4783,-0.52,,-0.52,,,-0.4783,-0.52,,345.40M,345.40M,0.10,,AOR,Restated
2011-06,856.00M,2.972B,2.581B,391.00M,159.00M,159.00M,,3.00M,37.00M,3.00M,-34.00M,,159.00M,232.00M,3.00M,37.00M,-34.00M,3.00M,-34.00M,201.00M,66.00M,135.00M,,,,135.00M,132.99M,279.00M,41.00M,238.00M,,0.38,,,0.3744,0.38,,0.37,,,0.3645,0.37,,356.90M,369.40M,0.10,,AOR,Restated
2011-03,779.00M,2.778B,2.428B,350.00M,159.00M,159.00M,,2.00M,41.00M,4.00M,-37.00M,,159.00M,191.00M,4.00M,41.00M,-37.00M,-2.00M,-37.00M,152.00M,51.00M,101.00M,,,,101.00M,99.67M,228.00M,35.00M,193.00M,,0.27,,,0.2664,0.27,,0.26,,,0.2565,0.26,,367.10M,381.80M,0.0875,,AOR,Restated
2010-12,9.342B,3.642B,3.169B,473.00M,,351.00M,,28.00M,50.00M,8.00M,-42.00M,,351.00M,122.00M,8.00M,50.00M,-42.00M,30.00M,-42.00M,110.00M,-63.00M,173.00M,,,,173.00M,154.80M,217.00M,57.00M,160.00M,,0.48,,,0.4304,0.48,,0.46,,,0.4126,0.46,,366.70M,384.00M,0.0875,,AOR,Restated
2010-09,748.00M,2.648B,2.332B,316.00M,149.00M,149.00M,,3.00M,41.00M,4.00M,-37.00M,,149.00M,167.00M,4.00M,41.00M,-37.00M,-2.00M,-37.00M,128.00M,45.00M,83.00M,,,,83.00M,81.05M,209.00M,40.00M,169.00M,,0.23,,,0.2246,0.23,,0.22,,,0.2149,0.22,,363.10M,378.10M,0.04,,AOR,Restated
2010-06,831.00M,2.771B,2.403B,368.00M,142.00M,142.00M,,2.00M,44.00M,3.00M,-41.00M,,142.00M,226.00M,3.00M,44.00M,-41.00M,-1.00M,-41.00M,184.00M,65.00M,119.00M,,,,119.00M,117.71M,270.00M,42.00M,228.00M,,0.33,,,0.3264,0.33,,0.31,,,0.3066,0.31,,362.10M,377.40M,0.04,,AOR,Restated
2010-03,770.00M,2.63B,2.312B,318.00M,138.00M,138.00M,,1.00M,45.00M,4.00M,-41.00M,,138.00M,180.00M,4.00M,45.00M,-41.00M,-10.00M,-41.00M,129.00M,46.00M,83.00M,,,,83.00M,82.36M,213.00M,39.00M,174.00M,,0.23,,,0.2282,0.23,,0.22,,,0.2183,0.22,,359.40M,373.30M,0.04,,AOR,Restated
2009-12,8.735B,3.38B,2.329B,1.051B,,215.00M,,-3.00M,34.00M,5.00M,-29.00M,,215.00M,836.00M,5.00M,34.00M,-29.00M,119.00M,-29.00M,174.00M,68.00M,106.00M,,,0.00,106.00M,107.83M,269.00M,61.00M,208.00M,,0.30,,,0.3051,0.30,,0.30,,,0.3051,0.30,,358.50M,358.50M,0.00,,AOR,Restated
2009-09,713.00M,2.471B,2.824B,-353.00M,144.00M,144.00M,,-10.00M,27.00M,5.00M,-22.00M,,144.00M,-497.00M,5.00M,27.00M,-22.00M,-160.00M,-22.00M,-679.00M,-210.00M,-469.00M,,,3.00M,-466.00M,-459.09M,-609.00M,43.00M,-652.00M,,-1.31,,,-1.291,-1.31,,-1.31,,,-1.291,-1.31,,356.70M,356.70M,0.00,,AOR,Restated
2009-06,775.00M,2.562B,2.283B,279.00M,147.00M,147.00M,,-30.00M,28.00M,9.00M,-19.00M,,147.00M,132.00M,9.00M,28.00M,-19.00M,-34.00M,-19.00M,79.00M,44.00M,35.00M,,,2.00M,37.00M,56.50M,149.00M,42.00M,107.00M,,0.10,,,0.1547,0.10,,0.10,,,0.1533,0.10,,356.20M,366.00M,0.00,,AOR,Restated
2009-03,685.00M,2.495B,2.237B,258.00M,216.00M,216.00M,,23.00M,29.00M,6.00M,-23.00M,,216.00M,42.00M,6.00M,29.00M,-23.00M,-11.00M,-23.00M,8.00M,33.00M,-25.00M,,,2.00M,-23.00M,-37.95M,76.00M,39.00M,37.00M,,-0.06,,,-0.1022,-0.06,,-0.06,,,-0.1022,-0.06,,354.40M,354.40M,0.0856,,AOR,Restated
2008-12,3.784B,3.784B,3.385B,399.00M,,290.00M,,-38.00M,50.00M,11.00M,-39.00M,,290.00M,109.00M,11.00M,50.00M,-39.00M,-49.00M,-39.00M,21.00M,33.00M,-12.00M,0.00,,2.00M,-10.00M,14.70M,131.00M,60.00M,71.00M,,-0.0265,0.0000,,0.0437,-0.0264,,-0.0265,0.0000,,0.0334,-0.0264,,351.96M,412.36M,0.0856,,,Restated
2008-09,2.963B,2.963B,2.593B,370.00M,,167.00M,,7.00M,33.00M,8.00M,-25.00M,,167.00M,203.00M,8.00M,33.00M,-25.00M,9.00M,-25.00M,187.00M,103.00M,84.00M,0.00,,10.00M,94.00M,89.45M,263.00M,43.00M,220.00M,,0.2691,0.00,,0.2563,0.2691,,0.2492,0.00,,0.2363,0.2492,,355.01M,355.01M,0.0856,,,Restated
2008-06,3.185B,3.185B,2.688B,497.00M,,184.00M,,9.00M,38.00M,9.00M,-29.00M,,184.00M,313.00M,9.00M,38.00M,-29.00M,6.00M,-29.00M,290.00M,139.00M,151.00M,4.00M,,2.00M,157.00M,147.15M,374.00M,46.00M,328.00M,,0.4254,0.0099,,0.4090,0.4352,,0.4056,0.0099,,0.3893,0.4155,,358.68M,358.68M,0.0856,,,Restated
2008-03,2.947B,2.947B,2.59B,357.00M,,162.00M,,5.00M,42.00M,11.00M,-31.00M,,162.00M,195.00M,11.00M,42.00M,-31.00M,32.00M,-31.00M,196.00M,75.00M,121.00M,-1.00M,,1.00M,121.00M,118.91M,279.00M,41.00M,238.00M,,0.3363,0.00,,0.3277,0.3363,,0.3264,0.00,,0.3182,0.3264,,358.17M,375.96M,0.0734,,,Restated
2007-12,4.089B,4.089B,3.433B,656.00M,,267.00M,,20.00M,,,,,250.00M,406.00M,,,,26.00M,,370.00M,134.00M,236.00M,-60.00M,,0.00,176.00M,223.24M,469.00M,63.00M,406.00M,,0.6331,-0.1484,,0.5980,0.4847,,0.6034,-0.1484,,0.5751,0.4550,,364.00M,450.93M,0.0734,,,
2007-09,2.943B,2.943B,2.569B,374.00M,,164.00M,,30.00M,,,,27.00M,191.00M,183.00M,,,,38.00M,,214.00M,93.00M,122.00M,9.00M,,-1.00M,131.00M,102.50M,226.00M,43.00M,183.00M,,0.3264,0.0198,,0.2748,0.3462,,0.3066,0.0198,,0.2550,0.3264,,377.89M,377.89M,0.0734,,,
2007-06,3.21B,3.21B,2.703B,507.00M,,207.00M,,-4.00M,,,,,207.00M,300.00M,,,,-5.00M,,249.00M,42.00M,207.00M,,,,207.00M,210.33M,346.00M,46.00M,300.00M,,0.5342,0.00,,0.5427,0.5342,,0.5045,0.00,,0.5126,0.5045,,387.52M,410.32M,0.0734,,,
2007-03,2.836B,2.836B,2.452B,384.00M,,147.00M,,35.00M,,,,,147.00M,237.00M,,,,37.00M,,250.00M,86.00M,164.00M,18.00M,,,182.00M,141.04M,282.00M,45.00M,237.00M,,0.4152,0.0494,,0.3567,0.4647,,0.3955,0.0395,,0.3403,0.4350,,392.56M,416.02M,0.0612,,,
2006-12,3.696B,3.696B,3.078B,618.00M,,237.00M,,19.00M,,,,,237.00M,381.00M,,,,20.00M,,378.00M,157.00M,215.00M,,0.00,,220.00M,203.60M,443.00M,62.00M,381.00M,,0.5342,0.2770,0.00,0.5057,0.5441,,0.5045,0.2770,-0.0020,0.4774,0.5144,,400.40M,421.51M,0.0612,,,
2006-09,2.703B,2.703B,2.325B,378.00M,,149.00M,,13.00M,,,,,149.00M,229.00M,,,,12.00M,,223.00M,82.00M,141.00M,,,,141.00M,132.78M,273.00M,44.00M,229.00M,,0.3462,0.00,,0.3260,0.3462,,0.3264,0.00,,0.3074,0.3264,,407.26M,431.94M,0.0612,,,
2006-06,2.891B,2.891B,2.476B,415.00M,,141.00M,,9.00M,,,,,141.00M,274.00M,,,,15.00M,,271.00M,85.00M,186.00M,,,,186.00M,179.82M,316.00M,42.00M,274.00M,,0.4451,0.00,,0.4304,0.4451,,0.4254,0.00,,0.4112,0.4254,,417.85M,437.29M,0.0612,,,
2006-03,2.705B,2.705B,2.352B,353.00M,,150.00M,,36.00M,,,,2.122B,2.272B,-1.919B,,,,33.00M,,220.00M,56.00M,170.00M,,-109.00M,6.00M,61.00M,143.16M,-1.879B,40.00M,-1.919B,,0.4053,0.2570,0.00,0.3409,0.6624,,0.3856,0.2472,-0.2618,0.3254,0.6327,,416.33M,446.07M,0.0514,,,
2005-12,3.22B,3.22B,2.659B,561.00M,,224.00M,,80.00M,,,,,196.00M,365.00M,,,,98.00M,,412.00M,266.00M,112.00M,125.00M,,-34.00M,237.00M,64.00M,423.00M,58.00M,365.00M,,0.3349,0.3027,,0.2272,0.6376,,0.2473,0.2770,,0.1396,0.5243,,445.63M,445.63M,0.0514,,,
2005-09,2.714B,2.714B,2.43B,284.00M,,149.00M,,22.00M,,,,,149.00M,135.00M,,,,39.00M,,163.00M,33.00M,148.00M,1.00M,,18.00M,149.00M,130.45M,188.00M,53.00M,135.00M,,0.3363,0.00,,0.2967,0.3363,,0.3165,0.00,,0.2793,0.3165,,443.03M,470.71M,0.0514,,,
2005-06,2.661B,2.661B,2.336B,325.00M,,284.00M,,63.00M,,,,,284.00M,41.00M,,,,69.00M,,114.00M,-20.00M,138.00M,,,4.00M,138.00M,100.20M,77.00M,36.00M,41.00M,,0.3066,0.00,,0.2227,0.3066,,0.2869,0.00,,0.2083,0.2869,,450.03M,481.06M,0.0514,,,
2005-03,2.534B,2.534B,2.252B,282.00M,,124.00M,,-16.00M,,,,,124.00M,158.00M,,,,-21.00M,,140.00M,5.00M,145.00M,,,10.00M,145.00M,160.43M,195.00M,37.00M,158.00M,,0.3164,0.00,,0.3502,0.3164,,0.3015,0.00,,0.3334,0.3015,,456.18M,484.70M,0.0416,,,
2004-12,3.141B,3.141B,2.81B,331.00M,,222.00M,,63.00M,,,,,222.00M,109.00M,,,,72.00M,,199.00M,21.00M,188.00M,1.00M,,10.00M,189.00M,131.65M,160.00M,51.00M,109.00M,,0.4207,-0.0006,,0.2981,0.4202,,0.1632,-0.0006,,0.0465,0.3907,,459.72M,482.83M,0.0416,,,
2004-09,2.304B,2.304B,2.079B,225.00M,,126.00M,,43.00M,,,,,126.00M,99.00M,,,,35.00M,,144.00M,28.00M,132.00M,1.00M,,16.00M,133.00M,97.36M,138.00M,39.00M,99.00M,,0.2918,0.00,,0.2158,0.2918,,0.2720,0.00,,0.1999,0.2770,,455.78M,480.19M,0.0416,,,
2004-06,2.402B,2.402B,2.157B,245.00M,,127.00M,,45.00M,,,,,127.00M,118.00M,,,,46.00M,,179.00M,33.00M,160.00M,,,14.00M,160.00M,123.30M,155.00M,37.00M,118.00M,,0.3512,0.00,,0.2706,0.3512,,0.3314,0.00,,0.2554,0.3314,,455.63M,482.83M,0.0416,,,
2004-03,2.252B,2.252B,1.969B,283.00M,,132.00M,,7.00M,,,,,132.00M,151.00M,,,,-23.00M,,132.00M,18.00M,114.00M,,,,114.00M,107.95M,190.00M,39.00M,151.00M,,0.2472,0.00,,0.2341,0.2472,,0.2323,0.00,,0.2200,0.2323,,464.47M,491.38M,0.0367,,,
