,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData
2018-03,389.00M,10.00M,10.00M,192.00M,192.00M,-33.00M,,20.00M,,12.00M,76.00M,-56.00M,-103.00M,,-60.00M,-143.00M,0.00,447.00M,-155.00M,,,-219.00M,,,-374.00M,,0.00,0.00,,-522.00M,-522.00M,-87.00M,-87.00M,82.00M,-18.00M,-545.00M,3.394B,-472.00M,25.00M,2.947B,,0.00,,-522.00M,
2017-12,-176.00M,32.00M,32.00M,188.00M,188.00M,241.00M,,30.00M,,-31.00M,-2.00M,76.00M,47.00M,,-18.00M,103.00M,4.00M,391.00M,-206.00M,,,-8.00M,,,-204.00M,32.00M,,32.00M,,-289.00M,-289.00M,-87.00M,-87.00M,49.00M,-3.00M,-298.00M,3.517B,-111.00M,12.00M,3.403B,,32.00M,,-289.00M,
2017-09,248.00M,31.00M,31.00M,184.00M,184.00M,-10.00M,,31.00M,,103.00M,-11.00M,38.00M,76.00M,,-114.00M,-11.00M,29.00M,605.00M,-131.00M,,,-644.00M,,,-775.00M,0.00,,0.00,,-180.00M,-180.00M,-87.00M,-87.00M,98.00M,-6.00M,-175.00M,3.817B,-345.00M,45.00M,3.517B,,0.00,0.00,-180.00M,
2017-06,264.00M,31.00M,31.00M,184.00M,184.00M,-29.00M,,28.00M,,10.00M,-35.00M,-9.00M,150.00M,,-33.00M,73.00M,-32.00M,529.00M,-156.00M,,,-40.00M,,,-196.00M,633.00M,,633.00M,,-44.00M,-44.00M,-71.00M,-71.00M,89.00M,-4.00M,603.00M,2.858B,936.00M,23.00M,3.817B,,633.00M,,-44.00M,
2017-03,273.00M,31.00M,31.00M,194.00M,194.00M,9.00M,,18.00M,,-44.00M,78.00M,-29.00M,-262.00M,,-62.00M,-275.00M,-17.00M,189.00M,-123.00M,,,6.00M,,,-117.00M,,,,,-51.00M,-51.00M,-70.00M,-70.00M,111.00M,-27.00M,-37.00M,2.801B,35.00M,22.00M,2.858B,,,,-51.00M,
2016-12,240.00M,26.00M,26.00M,201.00M,201.00M,-4.00M,,31.00M,,94.00M,-7.00M,91.00M,129.00M,,-76.00M,137.00M,27.00M,713.00M,-200.00M,,,19.00M,,,-179.00M,2.00M,0.00,2.00M,,-247.00M,-247.00M,-71.00M,-71.00M,35.00M,1.00M,-280.00M,2.597B,254.00M,-50.00M,2.801B,,0.00,2.00M,-247.00M,
2016-09,127.00M,30.00M,30.00M,204.00M,204.00M,-151.00M,,30.00M,,199.00M,60.00M,14.00M,17.00M,,7.00M,98.00M,-5.00M,532.00M,-167.00M,,,1.00M,,,-166.00M,414.00M,-781.00M,-367.00M,,-45.00M,-45.00M,-71.00M,-71.00M,83.00M,-5.00M,-405.00M,2.63B,-39.00M,6.00M,2.597B,,1.58B,-1.166B,-45.00M,
2016-06,1.212B,30.00M,30.00M,206.00M,206.00M,-76.00M,,31.00M,,-1.007B,-54.00M,1.00M,95.00M,,137.00M,179.00M,167.00M,742.00M,-168.00M,,,-1.00M,,,-169.00M,-213.00M,31.00M,-182.00M,,0.00,0.00,-63.00M,-63.00M,84.00M,12.00M,-149.00M,2.211B,424.00M,-5.00M,2.63B,,0.00,-213.00M,0.00,
2016-03,3.387B,30.00M,30.00M,189.00M,189.00M,-71.00M,,23.00M,,-3.142B,16.00M,-26.00M,-438.00M,,-142.00M,-590.00M,-159.00M,-333.00M,-184.00M,,,-30.00M,,,-201.00M,41.00M,450.00M,491.00M,,0.00,0.00,-63.00M,-63.00M,84.00M,-2.00M,510.00M,2.213B,-24.00M,22.00M,2.211B,,61.00M,-20.00M,0.00,
2015-12,183.00M,57.00M,57.00M,166.00M,166.00M,-113.00M,,30.00M,-1.00M,50.00M,-9.00M,87.00M,222.00M,,-176.00M,124.00M,228.00M,724.00M,-253.00M,,,21.00M,,,-232.00M,-63.00M,-125.00M,-188.00M,,,,-63.00M,-63.00M,19.00M,4.00M,-228.00M,1.97B,264.00M,-21.00M,2.213B,,0.00,-63.00M,,109.00M
2015-09,2.00M,55.00M,55.00M,216.00M,216.00M,12.00M,,30.00M,-6.00M,198.00M,-45.00M,-35.00M,131.00M,,-124.00M,-73.00M,-179.00M,255.00M,-234.00M,,,19.00M,,,-215.00M,-2.772B,425.00M,-2.347B,,,,-283.00M,-283.00M,55.00M,-2.134B,-4.709B,6.68B,-4.669B,-41.00M,1.97B,,121.00M,-2.893B,,309.00M
2015-06,74.00M,55.00M,55.00M,190.00M,190.00M,3.00M,,37.00M,,-17.00M,0.00,-48.00M,189.00M,,-132.00M,9.00M,345.00M,696.00M,-210.00M,,,13.00M,,,-590.00M,5.521B,-1.236B,4.285B,,,,-282.00M,-282.00M,71.00M,-2.00M,4.072B,2.53B,4.178B,-28.00M,6.68B,,5.847B,-326.00M,,-43.00M
2015-03,134.00M,60.00M,60.00M,187.00M,187.00M,48.00M,,29.00M,,-87.00M,50.00M,-122.00M,-306.00M,,-21.00M,-399.00M,124.00M,96.00M,-214.00M,,,-3.00M,,,-770.00M,282.00M,361.00M,643.00M,,,,-282.00M,-282.00M,48.00M,-25.00M,384.00M,2.925B,-290.00M,-105.00M,2.53B,,900.00M,-618.00M,,91.00M
2014-12,127.00M,50.00M,50.00M,200.00M,200.00M,-182.00M,,35.00M,,50.00M,-82.00M,32.00M,130.00M,,78.00M,158.00M,720.00M,1.143B,-301.00M,,,-47.00M,,,3.00M,-503.00M,525.00M,22.00M,,-50.00M,-50.00M,-282.00M,-282.00M,49.00M,-14.00M,-275.00M,2.078B,871.00M,-24.00M,2.925B,,0.00,-503.00M,-50.00M,
2014-09,-746.00M,28.00M,28.00M,103.00M,103.00M,96.00M,,19.00M,,-94.00M,-14.00M,185.00M,94.00M,,-98.00M,167.00M,1.341B,914.00M,220.00M,,,133.00M,,,-619.00M,7.00M,200.00M,207.00M,,-50.00M,-50.00M,-282.00M,-282.00M,71.00M,-1.00M,-55.00M,1.866B,240.00M,-28.00M,2.078B,,7.00M,0.00,-50.00M,
2014-06,520.00M,70.00M,70.00M,253.00M,253.00M,-14.00M,,41.00M,,149.00M,-230.00M,-127.00M,17.00M,,-80.00M,-420.00M,,599.00M,-423.00M,,,-119.00M,,,-542.00M,-14.00M,150.00M,136.00M,,-200.00M,-200.00M,-265.00M,-265.00M,111.00M,-2.00M,-220.00M,2.049B,-163.00M,-20.00M,1.866B,,2.00M,-16.00M,-200.00M,
2014-03,556.00M,71.00M,71.00M,236.00M,236.00M,-17.00M,,31.00M,,1.00M,233.00M,-233.00M,-278.00M,,-41.00M,-319.00M,,559.00M,-421.00M,,,37.00M,,,-384.00M,-478.00M,0.00,-478.00M,,-250.00M,-250.00M,-266.00M,-266.00M,138.00M,4.00M,-852.00M,2.733B,-677.00M,-7.00M,2.049B,,32.00M,-510.00M,-250.00M,
2013-12,-1.371B,26.00M,26.00M,62.00M,62.00M,-270.00M,,11.00M,11.00M,79.00M,-54.00M,363.00M,231.00M,,86.00M,626.00M,,1.083B,331.00M,,,116.00M,,,-567.00M,124.00M,0.00,124.00M,,-50.00M,-50.00M,-266.00M,-266.00M,40.00M,2.00M,-150.00M,2.376B,366.00M,-9.00M,2.733B,,138.00M,-14.00M,-50.00M,
2013-09,544.00M,95.00M,95.00M,207.00M,207.00M,148.00M,,39.00M,-13.00M,-38.00M,58.00M,-106.00M,115.00M,,-83.00M,-16.00M,,966.00M,-398.00M,,,-3.681B,,,-4.079B,-213.00M,0.00,-213.00M,,-146.00M,-146.00M,-267.00M,-267.00M,127.00M,-1.00M,-500.00M,5.989B,-3.613B,0.00,2.376B,,9.00M,-222.00M,-146.00M,
2013-06,590.00M,93.00M,93.00M,183.00M,183.00M,-101.00M,,40.00M,-7.00M,42.00M,-73.00M,-125.00M,128.00M,,-7.00M,-77.00M,,763.00M,-347.00M,,,-20.00M,,,-367.00M,3.478B,-300.00M,3.178B,,-183.00M,-183.00M,-244.00M,-244.00M,145.00M,-1.00M,2.895B,2.689B,3.291B,9.00M,5.989B,,3.481B,-3.00M,-183.00M,
2013-03,552.00M,94.00M,94.00M,183.00M,183.00M,38.00M,,32.00M,-12.00M,10.00M,85.00M,-181.00M,-299.00M,,-116.00M,-511.00M,,386.00M,-292.00M,,,-57.00M,,,-349.00M,-293.00M,300.00M,7.00M,,-534.00M,-534.00M,-246.00M,-246.00M,196.00M,-23.00M,-600.00M,3.27B,-563.00M,-18.00M,2.689B,,8.00M,-301.00M,-534.00M,
2012-12,494.00M,,,178.00M,178.00M,-214.00M,,33.00M,-10.00M,155.00M,-113.00M,7.00M,322.00M,,-384.00M,-168.00M,,945.00M,-399.00M,,,87.00M,,-86.00M,-398.00M,11.00M,0.00,11.00M,,-415.00M,-415.00M,-246.00M,-246.00M,205.00M,-6.00M,-451.00M,3.191B,96.00M,-17.00M,3.27B,,15.00M,-4.00M,-415.00M,
2012-09,583.00M,,,179.00M,179.00M,78.00M,,34.00M,-6.00M,37.00M,-42.00M,-36.00M,-53.00M,,-27.00M,-158.00M,,747.00M,-259.00M,,,-116.00M,,12.00M,-363.00M,997.00M,-375.00M,622.00M,,-105.00M,-105.00M,-184.00M,-184.00M,127.00M,0.00,460.00M,2.353B,844.00M,-6.00M,3.191B,,1.01B,-13.00M,-105.00M,
2012-06,661.00M,,,180.00M,180.00M,65.00M,,35.00M,-1.00M,-59.00M,90.00M,-28.00M,59.00M,,-34.00M,87.00M,,968.00M,-264.00M,,,-42.00M,,31.00M,-275.00M,-2.00M,75.00M,73.00M,,-385.00M,-385.00M,-186.00M,-186.00M,19.00M,-97.00M,-576.00M,2.272B,117.00M,-36.00M,2.353B,,0.00,-2.00M,-385.00M,
2012-03,588.00M,,,175.00M,175.00M,54.00M,,28.00M,-7.00M,-25.00M,24.00M,-72.00M,-288.00M,,-31.00M,-367.00M,,446.00M,-239.00M,,,-337.00M,,43.00M,-533.00M,9.00M,50.00M,59.00M,,-575.00M,-575.00M,-188.00M,-188.00M,161.00M,-5.00M,-548.00M,2.905B,-635.00M,2.00M,2.272B,,12.00M,-3.00M,-575.00M,
2011-12,472.00M,,,167.00M,167.00M,-46.00M,,25.00M,-4.00M,121.00M,-127.00M,-43.00M,188.00M,,-298.00M,-280.00M,,892.00M,-317.00M,,,-344.00M,,,-661.00M,488.00M,175.00M,663.00M,,-170.00M,-170.00M,-175.00M,-175.00M,,-411.00M,355.00M,2.338B,586.00M,-19.00M,2.905B,,502.00M,-14.00M,-170.00M,
2011-09,578.00M,,,176.00M,176.00M,58.00M,,33.00M,-4.00M,85.00M,55.00M,-58.00M,34.00M,,-35.00M,-4.00M,,922.00M,-235.00M,,,79.00M,,-106.00M,-262.00M,-5.00M,75.00M,66.00M,,-298.00M,-298.00M,-176.00M,-176.00M,,102.00M,-306.00M,2.018B,354.00M,-34.00M,2.338B,,4.00M,-9.00M,-298.00M,
2011-06,629.00M,,,169.00M,169.00M,69.00M,,33.00M,-8.00M,10.00M,-89.00M,-153.00M,11.00M,,-39.00M,-270.00M,,632.00M,-210.00M,,,-188.00M,,106.00M,-292.00M,1.00M,,5.00M,,-478.00M,-478.00M,-178.00M,-178.00M,,153.00M,-498.00M,2.168B,-158.00M,8.00M,2.018B,,-2.00M,3.00M,-478.00M,
2011-03,577.00M,,,158.00M,158.00M,91.00M,,28.00M,-5.00M,8.00M,-68.00M,-61.00M,-135.00M,,-222.00M,-486.00M,,371.00M,-198.00M,,,-14.00M,,,-212.00M,-1.00M,,-1.00M,,-637.00M,-637.00M,-180.00M,-180.00M,,130.00M,-688.00M,2.685B,-529.00M,12.00M,2.168B,,2.00M,-3.00M,-637.00M,
2010-12,426.00M,,-588.00M,179.00M,179.00M,-93.00M,,28.00M,-6.00M,796.00M,-95.00M,114.00M,64.00M,,-30.00M,53.00M,,935.00M,-264.00M,,,-27.00M,,,-291.00M,-498.00M,,-498.00M,,-180.00M,-180.00M,-169.00M,-169.00M,,-272.00M,-738.00M,2.788B,-94.00M,-9.00M,2.685B,,48.00M,-546.00M,-180.00M,
2010-09,524.00M,,0.00,171.00M,171.00M,49.00M,,29.00M,-1.00M,135.00M,11.00M,25.00M,114.00M,,-51.00M,99.00M,,1.006B,-232.00M,,,-20.00M,,,-252.00M,2.00M,,2.00M,,-161.00M,-161.00M,-171.00M,-171.00M,,22.00M,-308.00M,2.30B,446.00M,42.00M,2.788B,,6.00M,-4.00M,-161.00M,
2010-06,477.00M,,0.00,169.00M,169.00M,29.00M,,33.00M,-3.00M,84.00M,-5.00M,-25.00M,-51.00M,,75.00M,-6.00M,,783.00M,-237.00M,,,-20.00M,,,-257.00M,-2.00M,,-2.00M,,-677.00M,-677.00M,-174.00M,-174.00M,,64.00M,-789.00M,2.673B,-263.00M,-110.00M,2.30B,,2.00M,-4.00M,-677.00M,
2010-03,,,588.00M,166.00M,166.00M,91.00M,,30.00M,-31.00M,-51.00M,-33.00M,-94.00M,-101.00M,,-286.00M,-514.00M,,279.00M,-230.00M,,,-234.00M,,,-464.00M,589.00M,,589.00M,,-435.00M,-435.00M,-174.00M,-174.00M,,139.00M,119.00M,2.786B,-66.00M,-47.00M,2.673B,,602.00M,-13.00M,-435.00M,
2009-12,576.00M,,79.00M,172.00M,172.00M,79.00M,0.00,34.00M,-8.00M,-34.00M,-59.00M,56.00M,78.00M,,13.00M,88.00M,,986.00M,-380.00M,,,0.00,,-13.00M,-393.00M,204.00M,,4.00M,,-250.00M,-250.00M,-157.00M,-157.00M,,74.00M,-329.00M,2.571B,264.00M,-49.00M,2.786B,,10.00M,194.00M,-250.00M,
2009-09,532.00M,,27.00M,164.00M,164.00M,53.00M,54.00M,32.00M,-7.00M,21.00M,-50.00M,-31.00M,101.00M,,-21.00M,-1.00M,,875.00M,-247.00M,,,-54.00M,8.00M,37.00M,-256.00M,291.00M,,291.00M,,-100.00M,-100.00M,-157.00M,-157.00M,,85.00M,119.00M,1.802B,738.00M,31.00M,2.571B,,501.00M,-210.00M,-100.00M,
2009-06,589.00M,,,154.00M,154.00M,76.00M,,36.00M,-3.00M,5.00M,-103.00M,1.00M,40.00M,,16.00M,-46.00M,,811.00M,-216.00M,,,-102.00M,-8.00M,25.00M,-301.00M,-16.00M,,-16.00M,,-300.00M,-300.00M,-158.00M,-158.00M,,65.00M,-409.00M,1.703B,101.00M,-2.00M,1.802B,,3.00M,-19.00M,-300.00M,
2009-03,518.00M,,,148.00M,148.00M,59.00M,,38.00M,-78.00M,9.00M,45.00M,-86.00M,-304.00M,,-112.00M,-457.00M,,237.00M,-171.00M,,,0.00,,-25.00M,-196.00M,194.00M,,194.00M,,-566.00M,-566.00M,-160.00M,-160.00M,,139.00M,-393.00M,2.131B,-352.00M,-76.00M,1.703B,,358.00M,-164.00M,-566.00M,
2008-12,569.00M,,0.00,150.00M,150.00M,116.00M,0.00,35.00M,-84.00M,31.00M,-12.00M,44.00M,-3.00M,,-226.00M,-197.00M,,620.00M,-339.00M,,,-26.00M,,15.00M,-350.00M,-47.00M,,153.00M,,-464.00M,-464.00M,-135.00M,-135.00M,,133.00M,-313.00M,2.191B,-43.00M,-17.00M,2.131B,,-39.00M,-8.00M,-464.00M,
2008-09,1.456B,,72.00M,165.00M,165.00M,54.00M,31.00M,38.00M,-28.00M,-968.00M,7.00M,-52.00M,18.00M,,20.00M,-7.00M,,813.00M,-615.00M,,,-12.00M,,367.00M,-260.00M,443.00M,,443.00M,,-589.00M,-589.00M,-136.00M,-136.00M,,-207.00M,-489.00M,2.147B,64.00M,-20.00M,2.191B,,710.00M,-267.00M,-589.00M,
2008-06,-432.00M,,0.00,160.00M,160.00M,49.00M,,35.00M,0.00,990.00M,-111.00M,-50.00M,87.00M,,-8.00M,-82.00M,,720.00M,157.00M,,,0.00,,-351.00M,-194.00M,-220.00M,,-220.00M,,-388.00M,-388.00M,-137.00M,-137.00M,,642.00M,-103.00M,1.736B,423.00M,-12.00M,2.147B,,-4.00M,-216.00M,-388.00M,
2008-03,432.00M,,53.00M,156.00M,156.00M,61.00M,,38.00M,0.00,6.00M,18.00M,-105.00M,-341.00M,,44.00M,-384.00M,,362.00M,-157.00M,,,-61.00M,,29.00M,-189.00M,-455.00M,,-455.00M,,-545.00M,-545.00M,-138.00M,-138.00M,,112.00M,-1.026B,2.539B,-853.00M,50.00M,1.736B,,4.00M,-459.00M,-545.00M,
2007-12,478.00M,,-108.00M,153.00M,153.00M,94.00M,,,,-104.00M,-164.00M,50.00M,86.00M,,60.00M,32.00M,,751.00M,-268.00M,,424.00M,-519.00M,,,-288.00M,,,377.00M,-500.00M,-214.00M,-714.00M,,-106.00M,,639.00M,196.00M,1.818B,659.00M,62.00M,2.539B,-500.00M,,,-214.00M,
2007-09,395.00M,,118.00M,141.00M,141.00M,14.00M,,,,36.00M,40.00M,-91.00M,6.00M,,-51.00M,-96.00M,,608.00M,-166.00M,,-166.00M,-17.00M,,,-183.00M,,,-236.00M,72.00M,-827.00M,-755.00M,,-109.00M,,,-1.10B,2.486B,-675.00M,7.00M,1.818B,72.00M,,,-827.00M,
2007-06,431.00M,,103.00M,147.00M,147.00M,31.00M,,,,36.00M,-56.00M,-42.00M,67.00M,,14.00M,-17.00M,,731.00M,-165.00M,,-165.00M,455.00M,-447.00M,,-157.00M,,,14.00M,227.00M,-544.00M,-317.00M,,-109.00M,,-25.00M,-437.00M,2.384B,137.00M,-35.00M,2.486B,227.00M,,,-544.00M,
2007-03,403.00M,,4.00M,140.00M,140.00M,-13.00M,,,,27.00M,-98.00M,-128.00M,-158.00M,,38.00M,-346.00M,,215.00M,-93.00M,,-93.00M,-31.00M,447.00M,,323.00M,,,-206.00M,201.00M,-270.00M,-69.00M,,-380.00M,,25.00M,-630.00M,2.485B,-92.00M,-9.00M,2.384B,201.00M,,,-270.00M,
2006-12,432.00M,,5.00M,144.00M,144.00M,-68.00M,,,,26.00M,-49.00M,73.00M,160.00M,,39.00M,223.00M,,762.00M,-190.00M,,-190.00M,187.00M,,-140.00M,-143.00M,,,-15.00M,77.00M,-258.00M,-181.00M,,-1.00M,,,-197.00M,2.067B,422.00M,-4.00M,2.485B,77.00M,,,-258.00M,
2006-09,374.00M,,7.00M,146.00M,146.00M,58.00M,,,,30.00M,18.00M,-58.00M,-22.00M,25.00M,-5.00M,-42.00M,,573.00M,-138.00M,,-138.00M,-3.00M,,115.00M,-26.00M,,,431.00M,120.00M,-87.00M,33.00M,,0.00,,,464.00M,1.061B,1.011B,-5.00M,2.067B,120.00M,,,-87.00M,
2006-06,309.00M,,62.00M,146.00M,146.00M,16.00M,,,,38.00M,-23.00M,13.00M,-32.00M,-25.00M,39.00M,-28.00M,,543.00M,-122.00M,,-122.00M,-11.00M,,25.00M,-108.00M,,,-31.00M,31.00M,-221.00M,-190.00M,,0.00,,,-221.00M,881.00M,214.00M,-34.00M,1.061B,31.00M,,,-221.00M,
2006-03,282.00M,,36.00M,139.00M,139.00M,2.00M,,,,,38.00M,-63.00M,-105.00M,,-24.00M,-154.00M,,305.00M,-76.00M,,-76.00M,11.00M,,,-65.00M,,,-928.00M,1.293B,-171.00M,1.122B,,-363.00M,,,-169.00M,841.00M,71.00M,-31.00M,881.00M,1.293B,,,-171.00M,
2005-12,292.00M,,71.00M,143.00M,143.00M,2.00M,,,,1.00M,60.00M,20.00M,-52.00M,95.00M,-396.00M,-273.00M,,236.00M,-165.00M,-49.00M,-214.00M,-33.00M,,124.00M,-123.00M,,,-1.02B,41.00M,,41.00M,,0.00,,,-979.00M,1.712B,-866.00M,-5.00M,841.00M,41.00M,,,,
2005-09,116.00M,,47.00M,145.00M,145.00M,80.00M,,,,-1.00M,98.00M,-22.00M,52.00M,-22.00M,42.00M,148.00M,1.00M,536.00M,-116.00M,49.00M,-67.00M,-14.00M,,-49.00M,-130.00M,,,-154.00M,45.00M,,45.00M,,0.00,,,-109.00M,1.428B,297.00M,-13.00M,1.712B,45.00M,,,,
2005-06,324.00M,,-12.00M,145.00M,145.00M,96.00M,,,,-41.00M,-24.00M,71.00M,-80.00M,-73.00M,102.00M,-4.00M,-2.00M,506.00M,-98.00M,,-98.00M,,,0.00,-98.00M,,,241.00M,37.00M,,37.00M,,-359.00M,,,-81.00M,1.106B,327.00M,-5.00M,1.428B,37.00M,,,,
2005-03,224.00M,,18.00M,147.00M,147.00M,23.00M,,,,41.00M,44.00M,19.00M,-245.00M,,,-182.00M,1.00M,272.00M,-65.00M,,-65.00M,,,49.00M,-16.00M,,,-331.00M,53.00M,,53.00M,,,,,-278.00M,1.109B,-22.00M,19.00M,1.106B,53.00M,,,,
2004-12,111.00M,,287.00M,156.00M,156.00M,97.00M,,,,,-34.00M,77.00M,-71.00M,231.00M,-3.00M,200.00M,-17.00M,834.00M,-195.00M,-31.00M,-226.00M,0.00,,26.00M,-200.00M,,,-365.00M,73.00M,0.00,73.00M,,0.00,,,-292.00M,822.00M,342.00M,-55.00M,1.109B,73.00M,,,0.00,
2004-09,259.00M,,4.00M,150.00M,150.00M,-35.00M,,,,,7.00M,31.00M,0.00,-115.00M,-24.00M,-101.00M,2.00M,279.00M,-134.00M,31.00M,-103.00M,0.00,,-31.00M,-134.00M,,,-90.00M,33.00M,0.00,33.00M,,0.00,,,-57.00M,760.00M,88.00M,-26.00M,822.00M,33.00M,,,0.00,
2004-06,-171.00M,,667.00M,147.00M,147.00M,-213.00M,,,,,-63.00M,-7.00M,21.00M,-55.00M,-20.00M,-124.00M,16.00M,322.00M,-140.00M,,-140.00M,-6.00M,,5.00M,-141.00M,,,-114.00M,44.00M,-7.00M,37.00M,,0.00,,,-77.00M,648.00M,104.00M,10.00M,760.00M,44.00M,,,-7.00M,
