,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2016-06,-45.00M,,,-1.00M,-1.00M,77.00M,77.00M,0.00,,3.00M,,7.00M,-36.00M,23.00M,-8.00M,21.00M,,-13.00M,-13.00M,28.00M,-16.00M,,-16.00M,,,0.00,,-16.00M,-65.00M,-65.00M,,,,,2.00M,-6.00M,-69.00M,194.00M,-57.00M,4.00M,141.00M,,,68.00M,-133.00M,,23.00M,73.00M
2016-03,-26.00M,,,-1.00M,-1.00M,77.00M,77.00M,3.00M,,9.00M,,8.00M,18.00M,12.00M,-15.00M,0.00,,11.00M,26.00M,96.00M,-19.00M,,-19.00M,,,-1.00M,,-20.00M,-80.00M,-80.00M,,,,,3.00M,,-77.00M,192.00M,-1.00M,3.00M,194.00M,,,,-80.00M,,29.00M,26.00M
2015-12,-27.00M,,,-1.00M,-1.00M,80.00M,80.00M,-104.00M,,6.00M,11.00M,5.00M,-5.00M,13.00M,-36.00M,26.00M,,38.00M,36.00M,6.00M,-35.00M,,-35.00M,,0.00,-1.00M,,-36.00M,-35.00M,-35.00M,,,,,3.00M,-11.00M,-43.00M,258.00M,-73.00M,7.00M,192.00M,,,,-35.00M,,6.00M,65.00M
2015-09,-29.00M,,,-3.00M,-3.00M,78.00M,78.00M,-13.00M,,7.00M,0.00,14.00M,24.00M,-3.00M,52.00M,-16.00M,,-15.00M,42.00M,96.00M,-38.00M,,-38.00M,,-3.00M,1.00M,,-40.00M,0.00,0.00,,,,,3.00M,0.00,3.00M,205.00M,59.00M,-6.00M,258.00M,,,,0.00,,11.00M,27.00M
2015-06,-77.00M,,,2.00M,2.00M,82.00M,82.00M,-25.00M,,9.00M,-9.00M,6.00M,35.00M,2.00M,-25.00M,-4.00M,,-12.00M,-4.00M,-16.00M,-23.00M,,-23.00M,,0.00,0.00,,-23.00M,-80.00M,-80.00M,,,,,3.00M,-4.00M,-81.00M,330.00M,-120.00M,-5.00M,205.00M,,,,-80.00M,,16.00M,64.00M
2015-03,-25.00M,,,-2.00M,-2.00M,80.00M,80.00M,,,9.00M,-2.00M,5.00M,-5.00M,-25.00M,-17.00M,-13.00M,,31.00M,-29.00M,36.00M,-26.00M,,-26.00M,,-49.00M,26.00M,,-49.00M,-50.00M,-50.00M,,,,,8.00M,2.00M,-40.00M,394.00M,-53.00M,-11.00M,330.00M,,,,-50.00M,,5.00M,27.00M
2014-12,-52.11M,,,2.752M,2.752M,53.78M,53.78M,-48.51M,-2.333M,9.696M,-0.221M,5.865M,-70.85M,16.61M,196.86M,-2.141M,,8.927M,149.40M,118.32M,-18.98M,,-18.98M,,-3.399B,456.87M,,-2.961B,3.189B,3.189B,,,,,12.91M,-27.65M,3.174B,60.21M,331.47M,2.14M,394.00M,,,,0.00,,4.344M,
2014-09,14.94M,,,-0.185M,-0.185M,9.127M,9.127M,1.53M,2.333M,3.194M,-1.832M,0.086M,-20.21M,-13.54M,30.94M,-13.44M,,6.829M,-9.433M,19.76M,-12.06M,,-12.06M,,0.00,-23.89M,,-35.95M,0.00,0.00,,,,,4.404M,1.681M,6.085M,70.35M,-10.10M,-0.033M,60.21M,,,,0.00,,5.029M,0.00
2014-06,27.56M,,,2.433M,2.433M,9.093M,9.093M,2.961M,,4.144M,-3.552M,0.037M,12.71M,-6.724M,10.30M,0.164M,,1.029M,17.48M,60.16M,-5.588M,,-5.588M,,0.00,-41.96M,,-47.55M,0.00,0.00,,,,,3.75M,2.577M,6.327M,51.42M,18.94M,-0.012M,70.35M,,,,0.00,,10.93M,0.00
2014-03,41.61M,,,,,9.003M,9.003M,0.018M,,2.966M,-0.395M,0.012M,3.353M,1.663M,-12.10M,2.419M,,1.215M,-3.455M,49.76M,-2.374M,,-2.374M,,0.00,-64.02M,,-66.39M,0.00,0.00,,,,,4.936M,0.395M,5.331M,62.83M,-11.31M,-0.095M,51.42M,,,,0.00,,-3.304M,0.00
2013-12,41.29M,,-0.172M,,-0.172M,8.688M,8.688M,3.112M,,3.628M,0.17M,3.798M,-3.399M,-13.70M,19.70M,-2.257M,,-0.05M,0.293M,57.01M,-6.978M,,-6.478M,-0.50M,,39.01M,,-62.97M,,,,-4.541M,-4.541M,,16.53M,-8.17M,3.819M,64.20M,-2.139M,0.683M,63.00M,,,,,-4.541M,7.049M,
2013-09,38.60M,,-0.01M,,-0.01M,7.90M,7.90M,0.449M,0.00,2.868M,-0.443M,2.425M,-2.101M,2.512M,-3.87M,0.944M,,-0.916M,-3.431M,45.93M,-5.975M,,-4.975M,-1.00M,,-4.649M,,-10.62M,,,,-29.90M,-29.90M,,2.366M,0.443M,-27.09M,55.89M,8.222M,0.088M,64.20M,,,,,-29.90M,5.605M,
2013-06,30.57M,,0.046M,,0.046M,8.04M,8.04M,3.449M,,4.358M,-3.369M,0.989M,-1.633M,7.247M,17.08M,1.45M,,-0.337M,23.80M,66.89M,-6.595M,,-6.595M,0.00,,-31.05M,,-37.64M,,,,-24.68M,-24.68M,,-1.809M,3.369M,-23.12M,49.59M,6.135M,0.159M,55.89M,,,,,-24.68M,3.075M,
2013-03,23.54M,,0.136M,,0.136M,7.372M,7.372M,0.99M,,2.146M,-0.358M,1.788M,0.133M,6.943M,-19.91M,-0.137M,,3.303M,-9.664M,24.16M,-2.452M,,-1.952M,-0.50M,,-39.31M,,-41.76M,,,,-3.888M,-3.888M,,5.913M,0.358M,2.383M,64.74M,-15.22M,0.07M,49.59M,,,,,-3.888M,2.271M,
2012-12,34.99M,-0.317M,0.133M,,-0.184M,7.271M,7.271M,5.312M,0.00,3.242M,-0.086M,3.156M,-0.915M,-0.451M,3.386M,-4.766M,,0.549M,-2.197M,48.35M,-5.803M,,-5.303M,-0.50M,-0.002M,-16.95M,,-22.75M,,,,-14.68M,-14.68M,,1.452M,0.086M,-13.14M,52.25M,12.46M,0.031M,64.74M,,,,,-14.68M,3.286M,
2012-09,27.10M,0.00,0.031M,,0.031M,6.942M,6.942M,2.388M,9.114M,3.44M,-0.134M,12.42M,-1.454M,-4.618M,-1.168M,11.54M,,-2.853M,1.45M,50.33M,-9.541M,,-6.541M,-3.00M,-46.08M,-34.70M,,-90.32M,,,,-15.05M,-15.05M,,1.767M,0.134M,-13.15M,105.37M,-53.14M,0.028M,52.25M,,,,,-15.05M,3.294M,
2012-06,30.65M,-0.613M,0.064M,,-0.549M,6.005M,6.005M,0.758M,,4.245M,-1.292M,2.953M,5.784M,9.43M,-0.757M,-8.868M,,2.693M,8.282M,48.10M,-2.945M,,-2.945M,0.00,0.00,33.80M,,30.86M,,,,-14.87M,-14.87M,,-1.856M,1.292M,-15.43M,41.94M,63.52M,-0.099M,105.37M,,,,,-14.87M,5.523M,
2012-03,30.16M,,0.083M,,0.083M,5.959M,5.959M,-0.391M,,3.80M,-0.066M,3.734M,4.273M,7.169M,-20.26M,9.395M,,-3.574M,-2.996M,36.55M,-7.654M,,-7.654M,0.00,13.79M,-29.45M,,-23.32M,,,,-9.775M,-9.775M,,1.998M,0.066M,-7.711M,36.42M,5.525M,0.00,41.94M,,,,,-9.775M,7.956M,
2011-12,35.04M,-1.992M,0.231M,,-1.761M,6.015M,6.015M,5.093M,-0.107M,3.035M,-0.127M,2.801M,-8.14M,-12.91M,13.97M,,,16.19M,-3.607M,43.58M,-10.12M,,-9.089M,-1.032M,0.00,-35.05M,,-45.17M,,,,-13.83M,-13.83M,,3.812M,0.127M,-9.888M,43.78M,-11.48M,2.734M,36.42M,0.00,,,,-13.83M,11.85M,
2011-09,45.00M,1.248M,0.048M,,1.296M,5.834M,5.834M,1.804M,0.326M,3.047M,-0.031M,3.342M,-15.97M,-1.931M,-7.855M,,,-4.282M,-30.04M,27.24M,-6.797M,,-6.597M,-0.20M,0.198M,-6.306M,,-12.90M,,,,-63.98M,-63.98M,,1.101M,0.031M,-62.85M,92.96M,-48.04M,-1.138M,43.78M,0.486M,,,,-63.98M,0.693M,
2011-06,32.96M,-0.788M,-0.004M,,-0.792M,6.219M,6.219M,1.359M,,3.525M,-0.589M,2.936M,-6.701M,2.432M,-26.10M,,,0.344M,-30.03M,12.66M,-7.31M,,-7.31M,,-3.00M,46.12M,,35.81M,,,,-40.82M,-40.82M,,5.339M,0.589M,-34.89M,79.68M,13.37M,-0.097M,92.96M,-0.204M,,,,-40.82M,43.86M,
2011-03,61.63M,-67.21M,0.009M,,-67.20M,5.932M,5.932M,2.54M,,4.488M,-0.645M,3.843M,12.56M,-7.136M,3.462M,,,-20.80M,-11.91M,-5.169M,-3.922M,,-3.922M,,164.01M,-84.60M,,75.49M,,,,-41.57M,-41.57M,,2.757M,0.645M,-38.16M,46.18M,33.17M,0.336M,79.68M,1.019M,,,,-41.57M,8.958M,
2010-12,28.22M,0.00,0.00,,0.00,7.511M,7.511M,-4.555M,0.00,3.716M,-0.161M,3.555M,26.84M,-17.91M,-7.80M,,,6.858M,5.371M,40.10M,-7.584M,,-6.969M,-0.615M,0.00,1.717M,,-5.867M,,,,-34.71M,-34.71M,,1.203M,0.161M,-33.34M,46.79M,0.242M,0.518M,47.55M,-0.647M,,,,-34.71M,16.80M,
2010-09,26.15M,0.00,0.00,,0.00,7.677M,7.677M,0.247M,0.00,3.00M,-0.067M,2.933M,-12.51M,-10.59M,16.92M,,,3.571M,-2.60M,34.41M,-9.947M,,-8.699M,-1.248M,0.00,-0.672M,,-10.62M,,,,-20.62M,-20.62M,,2.739M,0.067M,-17.81M,40.87M,5.737M,0.187M,46.79M,-0.241M,,,,-20.62M,0.292M,
2010-06,22.68M,0.00,0.024M,,0.024M,8.207M,8.207M,-0.574M,,2.924M,-0.013M,2.911M,-5.946M,-3.603M,16.83M,,1.618M,-4.991M,3.911M,37.16M,-10.87M,,-9.235M,-1.634M,0.00,4.263M,,-6.606M,,,,-25.94M,-25.94M,,0.842M,0.013M,-25.09M,35.99M,6.742M,-0.167M,40.87M,1.281M,,,,-25.94M,9.018M,
2010-03,24.73M,0.00,-0.082M,,-0.082M,7.814M,7.814M,3.535M,,2.231M,-0.003M,2.228M,3.99M,-1.78M,-3.953M,,-1.618M,-4.693M,-8.054M,30.17M,-5.818M,,-5.818M,,0.00,-10.71M,,-16.52M,,,,-20.82M,-20.82M,,4.191M,0.003M,-16.63M,38.94M,-2.979M,0.024M,35.99M,,,,,-20.82M,0.454M,
2009-12,17.63M,,,,0.472M,8.504M,8.504M,8.291M,0.958M,2.78M,-0.002M,3.736M,-5.05M,-0.317M,8.571M,,4.966M,-3.355M,4.082M,42.72M,-5.391M,,-5.391M,0.00,,-23.65M,,-29.04M,,,,-15.84M,-15.84M,,1.722M,0.002M,-14.11M,39.05M,-0.442M,0.337M,38.94M,,,,,-15.84M,0.978M,
2009-09,11.11M,,,,0.357M,8.462M,8.462M,2.549M,0.00,3.101M,-0.011M,3.09M,-3.715M,12.50M,-3.892M,,-2.03M,2.124M,4.986M,30.56M,-6.851M,,-6.851M,0.00,,-21.66M,,-28.51M,,,,-8.009M,-8.009M,,1.223M,0.011M,-6.775M,44.79M,-4.728M,-1.016M,39.05M,,,,,-8.009M,2.43M,
2009-06,9.011M,,,,,7.994M,7.994M,-1.553M,-1.058M,2.419M,0.00,1.361M,4.494M,11.53M,-0.567M,,-0.514M,1.883M,16.83M,33.64M,-5.846M,,-5.846M,0.00,,-7.536M,,-13.38M,,,,-13.01M,-13.01M,,0.859M,,-12.15M,34.70M,8.112M,1.981M,44.79M,,,,,-13.01M,-0.968M,
2009-03,9.352M,,0.00,,0.00,7.953M,7.953M,3.263M,,3.167M,0.00,3.167M,13.02M,-1.40M,-38.54M,,2.544M,-0.571M,-24.95M,-1.214M,-7.227M,,-6.802M,-0.425M,,37.51M,,30.28M,,,,-28.59M,-28.59M,,1.168M,,-27.42M,33.27M,1.645M,-0.213M,34.70M,,,,,-28.59M,8.302M,
2008-12,-117.36M,,,,0.00,10.16M,10.16M,-18.51M,,,,169.05M,7.763M,-3.647M,10.74M,,1.716M,0.621M,14.44M,57.78M,-12.64M,-14.80M,-26.05M,,-0.018M,3.732M,,-8.925M,,,-4.343M,-50.08M,-54.42M,,,0.005M,-47.27M,46.88M,1.58M,-15.19M,33.27M,,-4.343M,,,-50.08M,,
2008-09,25.77M,,,,-1.121M,9.811M,9.811M,-1.439M,,,,4.188M,0.126M,-7.821M,-5.556M,,4.852M,1.144M,-7.255M,29.95M,-8.915M,14.80M,5.881M,,-0.583M,27.89M,,33.19M,,,0.96M,-59.10M,-58.14M,,,0.056M,-58.09M,41.92M,5.054M,-0.093M,46.88M,,0.96M,,,-59.10M,,
2008-06,25.53M,,,,,9.519M,9.519M,0.368M,,,,3.039M,-8.387M,-10.92M,10.23M,,-17.65M,6.626M,-20.10M,18.35M,-14.81M,,-14.81M,,-17.99M,19.53M,,-13.27M,,,2.716M,-23.80M,-21.09M,,,0.08M,-21.01M,56.81M,-15.92M,1.027M,41.92M,,2.716M,,,-23.80M,,
2008-03,27.64M,,,,,9.088M,9.088M,-3.553M,,,,3.366M,-21.39M,-3.834M,2.901M,,22.36M,-4.379M,-4.341M,32.20M,-5.909M,,-5.909M,,,16.35M,,10.44M,,,0.667M,-24.60M,-23.93M,,,0.051M,-23.88M,38.21M,18.76M,-0.159M,56.81M,,0.667M,,,-24.60M,,
2007-12,30.80M,,,,0.00,7.718M,7.718M,-0.615M,,,,3.61M,5.503M,-0.391M,2.598M,,2.778M,-3.707M,6.781M,48.30M,-8.368M,,-8.368M,,-145.48M,174.32M,,20.46M,,,0.782M,-63.18M,-62.40M,,,0.124M,-62.28M,33.03M,6.485M,0.061M,38.21M,,0.782M,,,-63.18M,,
2007-09,26.96M,,,,0.00,6.941M,6.941M,-2.969M,,,,4.669M,-7.726M,-3.258M,1.006M,,13.69M,-2.263M,1.45M,37.05M,-7.599M,,-7.599M,,-13.85M,-3.32M,,-24.77M,,,1.211M,-42.86M,-41.65M,,,0.107M,-41.55M,63.21M,-29.26M,-0.914M,33.03M,,1.211M,,,-42.86M,,
2007-06,25.63M,,,,0.00,6.39M,6.39M,-0.796M,,,,3.008M,13.74M,0.736M,5.253M,,-7.824M,-0.201M,11.70M,45.94M,-5.57M,,-5.57M,,-0.226M,-21.31M,,-27.11M,,,2.045M,0.00,2.045M,,,0.211M,2.256M,39.94M,21.09M,0.817M,63.21M,,2.045M,,,0.00,,
2007-03,26.72M,,,,1.853M,5.853M,5.853M,-1.097M,,,,2.859M,-7.065M,2.779M,-12.28M,,6.497M,0.711M,-9.353M,26.83M,-5.333M,,-5.333M,,-127.20M,107.21M,,-25.32M,,,4.337M,-6.048M,-1.711M,,,0.479M,-1.232M,39.65M,0.274M,0.018M,39.94M,,4.337M,,,-6.048M,,
2006-12,21.45M,,,,0.767M,4.749M,4.749M,-5.392M,,,,13.55M,-3.146M,3.316M,-0.482M,,9.767M,2.924M,12.38M,47.50M,-4.557M,,-4.557M,,,22.51M,,15.27M,,,1.352M,-64.15M,-62.80M,,,-0.056M,-62.86M,39.56M,-0.087M,1.544M,41.01M,,1.352M,,,-64.15M,,
2006-09,-4.263M,,,,-1.319M,4.038M,4.038M,1.074M,,,,2.997M,-0.667M,-4.017M,0.971M,,-2.99M,-3.348M,-10.05M,-7.524M,-18.39M,,-18.39M,,,41.12M,,22.73M,,,0.924M,-4.069M,-3.145M,,,0.109M,-3.036M,27.63M,12.17M,-0.24M,39.56M,,0.924M,,,-4.069M,,
2006-06,27.67M,,,,2.013M,3.631M,3.631M,-2.513M,,,,0.705M,3.819M,-9.912M,-0.133M,,-1.791M,-0.835M,-8.852M,22.66M,-9.508M,,-9.508M,,,-5.251M,,-14.76M,,,1.233M,,1.233M,,,0.176M,1.409M,17.54M,9.306M,0.778M,27.63M,,1.233M,,,,,
2006-03,26.09M,,,,-2.013M,3.669M,3.669M,0.094M,,,,,-4.298M,-2.817M,-2.225M,,6.159M,0.963M,-2.218M,25.62M,-4.836M,,-4.836M,,,-36.93M,,-41.77M,,,6.893M,,6.893M,,,1.285M,8.178M,25.62M,-7.968M,-0.11M,17.54M,,6.893M,,,,,
2005-12,26.84M,,,,3.421M,3.545M,3.545M,-0.288M,,,,1.639M,-14.98M,-0.656M,3.656M,,-2.127M,-2.626M,-16.73M,18.43M,-18.80M,,-18.80M,,-0.14M,-7.344M,13.75M,-12.53M,,-0.131M,2.501M,0.00,2.501M,,,0.456M,2.826M,18.45M,8.72M,-1.548M,25.62M,,2.501M,,,0.00,,
2005-09,28.08M,,,,,3.16M,3.16M,-2.197M,,,,1.703M,6.683M,-0.206M,1.791M,,1.218M,1.069M,10.56M,41.30M,5.625M,,5.625M,,-0.002M,42.41M,-13.75M,34.28M,,-0.013M,2.652M,-70.42M,-67.77M,,,0.391M,-67.39M,10.10M,8.184M,0.167M,18.45M,,2.652M,,,-70.42M,,
2005-06,25.44M,,,,-0.807M,3.306M,3.306M,0.59M,,,,2.583M,-6.967M,-0.516M,-1.015M,5.311M,-11.39M,-6.826M,-21.40M,9.714M,-12.28M,,-12.28M,,0.045M,-5.856M,,-18.09M,,-0.014M,2.823M,,2.823M,,,0.612M,3.421M,15.35M,-4.951M,-0.302M,10.10M,,2.823M,,,,,
2005-03,25.82M,,,,0.807M,3.093M,3.093M,-0.158M,,,,,-5.157M,-4.826M,-0.64M,-5.311M,7.407M,,-8.527M,21.03M,-2.586M,,-2.586M,,-7.70M,-17.85M,,-28.13M,,-0.013M,3.777M,,3.777M,,,0.799M,4.563M,17.98M,-2.535M,-0.097M,15.35M,,3.777M,,,,,
2004-12,26.46M,,,,-6.314M,3.225M,3.225M,-2.45M,,,,,1.781M,-3.984M,0.715M,4.065M,8.625M,-2.006M,9.196M,33.44M,-5.945M,,-5.945M,,,-27.24M,,-33.18M,,-0.015M,1.871M,,1.871M,,,5.164M,7.02M,10.27M,7.274M,0.44M,17.98M,,1.871M,,,,,
2004-09,31.32M,,,,0.852M,2.95M,2.95M,0.18M,,,,,-0.776M,-6.945M,5.307M,-0.982M,2.054M,1.349M,0.007M,35.31M,-2.561M,,-2.561M,,,-33.24M,,-35.80M,,-0.411M,2.228M,,2.228M,,,-0.238M,1.579M,9.387M,1.085M,-0.203M,10.27M,,2.228M,,,,,
2004-06,29.43M,,,,2.368M,3.03M,3.03M,-1.774M,,,,,-13.59M,0.185M,-3.129M,0.047M,-4.301M,-2.269M,-23.06M,9.992M,-2.932M,,-2.932M,,,-19.29M,,-22.22M,,0.06M,4.504M,,4.504M,,,,4.564M,17.31M,-7.662M,-0.263M,9.387M,,4.504M,,,,,
