,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,323.00M,,323.00M,146.00M,,,,650.00M,,,,,,,,,,342.00M,,,,422.00M,11.41B,12.06B,233.00M,233.00M,233.00M,,,,,,233.00M,4.266B,,4.266B,,,29.00M,156.00M,281.00M,4.703B,4.936B,7.00M,-962.00M,8.109B,,-55.00M,7.099B
2017-12,913.00M,,913.00M,79.00M,,1.00M,,1.243B,,,,,,,,,,327.00M,,,,431.00M,10.45B,11.69B,283.00M,283.00M,283.00M,,,,,,283.00M,3.953B,1.00M,3.954B,,,29.00M,167.00M,287.00M,4.408B,4.691B,7.00M,-1.071B,8.097B,,-60.00M,6.973B
2017-09,789.00M,,789.00M,116.00M,,0.00,,972.00M,,,,,,,,,,319.00M,,,,466.00M,10.80B,11.77B,250.00M,250.00M,250.00M,,,,,,250.00M,3.961B,,3.961B,,,29.00M,157.00M,295.00M,4.413B,4.663B,7.00M,-974.00M,8.103B,,-57.00M,7.079B
2017-06,644.00M,,644.00M,120.00M,,2.00M,,864.00M,,,,,,,,,,307.00M,,,,432.00M,10.99B,11.85B,221.00M,221.00M,221.00M,,,,,75.00M,296.00M,3.992B,,3.992B,,,40.00M,156.00M,269.00M,4.417B,4.713B,7.00M,-931.00M,8.102B,,-77.00M,7.101B
2017-03,411.00M,,411.00M,133.00M,,2.00M,,684.00M,,,,,,,,,,295.00M,,,,415.00M,11.09B,11.78B,218.00M,218.00M,218.00M,,,,,74.00M,292.00M,3.988B,,3.988B,,,40.00M,161.00M,269.00M,4.418B,4.71B,7.00M,-992.00M,8.089B,,-78.00M,7.026B
2016-12,372.00M,,372.00M,55.00M,,2.00M,,579.00M,,,,,,,,,,286.00M,,,,398.00M,10.83B,11.41B,278.00M,278.00M,278.00M,,,,,,278.00M,3.648B,1.00M,3.649B,,,39.00M,165.00M,283.00M,4.097B,4.375B,7.00M,-1.007B,8.077B,,-83.00M,6.994B
2016-09,340.00M,,340.00M,106.00M,,2.00M,,453.00M,,,,,,,,,,307.00M,,,,403.00M,11.09B,11.54B,242.00M,242.00M,242.00M,,,,,,242.00M,3.752B,,3.752B,,,39.00M,138.00M,280.00M,4.17B,4.412B,7.00M,-948.00M,8.111B,,-79.00M,7.091B
2016-06,266.00M,,266.00M,114.00M,,3.00M,,418.00M,,,,,,,,,,311.00M,,,,411.00M,11.17B,11.59B,228.00M,228.00M,228.00M,,,,,4.00M,232.00M,3.715B,,3.715B,,,39.00M,147.00M,284.00M,4.146B,4.378B,7.00M,-907.00M,8.146B,,-71.00M,7.175B
2016-03,234.00M,,234.00M,135.00M,,15.00M,,414.00M,,,,,,,,,,313.00M,,,,412.00M,11.28B,11.69B,215.00M,215.00M,215.00M,,,,,2.00M,217.00M,3.961B,,3.961B,,,41.00M,156.00M,295.00M,4.412B,4.629B,7.00M,-1.107B,8.214B,,-94.00M,7.02B
2015-12,221.00M,,221.00M,56.00M,,15.00M,,347.00M,,,,,,,,,,324.00M,,,,402.00M,11.31B,11.66B,243.00M,243.00M,243.00M,,,,,,243.00M,3.867B,,3.867B,,,40.00M,143.00M,299.00M,4.309B,4.552B,8.00M,-1.139B,8.302B,,-107.00M,7.064B
2015-09,265.00M,,265.00M,130.00M,,14.00M,,433.00M,,,,,,,,,,400.00M,,,32.00M,432.00M,11.55B,11.98B,248.00M,248.00M,248.00M,,,,,,248.00M,4.278B,,4.278B,,,28.00M,148.00M,318.00M,4.744B,4.992B,7.00M,-1.152B,8.224B,,-119.00M,6.96B
2015-06,262.00M,,262.00M,135.00M,,3.00M,,400.00M,,,,,,,,,,419.00M,,,31.00M,415.00M,11.64B,12.04B,230.00M,230.00M,230.00M,,,,,,230.00M,4.053B,,4.053B,,,32.00M,186.00M,310.00M,4.549B,4.779B,7.00M,-1.089B,8.396B,,-84.00M,7.23B
2015-03,485.00M,,485.00M,149.00M,,,,634.00M,,,,,,,,,,387.00M,,,33.00M,461.00M,11.38B,12.01B,224.00M,224.00M,224.00M,,,,,,224.00M,3.968B,,3.968B,,,34.00M,191.00M,304.00M,4.463B,4.687B,8.00M,-1.151B,8.519B,,-87.00M,7.289B
2014-12,684.00M,,684.00M,70.00M,,0.00,,754.00M,,,,,,,,,,433.00M,,,,410.00M,11.42B,12.17B,298.00M,298.00M,298.00M,,,,,,298.00M,3.957B,,3.957B,,,32.00M,225.00M,324.00M,4.506B,4.804B,8.00M,-1.098B,8.476B,,-50.00M,7.336B
2014-09,387.00M,,387.00M,156.00M,,31.00M,,648.00M,,,,,,,,,,409.00M,,,37.00M,412.00M,11.49B,12.14B,244.00M,244.00M,244.00M,,,,,,244.00M,4.012B,,4.012B,,,35.00M,204.00M,325.00M,4.541B,4.785B,8.00M,-1.155B,8.494B,,-32.00M,7.315B
2014-06,440.00M,,440.00M,129.00M,,33.00M,,602.00M,,,,,,,,,,416.00M,,,39.00M,409.00M,11.61B,12.22B,202.00M,202.00M,202.00M,,,,,,202.00M,4.03B,,4.03B,,,36.00M,211.00M,388.00M,4.629B,4.831B,8.00M,-1.148B,8.485B,,3.00M,7.348B
2014-03,392.00M,,392.00M,111.00M,,33.00M,,536.00M,,,,,,,,,,412.00M,,,39.00M,405.00M,11.67B,12.21B,185.00M,185.00M,185.00M,,,,,,185.00M,4.093B,,4.093B,,,38.00M,196.00M,386.00M,4.675B,4.86B,8.00M,-1.189B,8.494B,,-2.00M,7.311B
2013-12,861.00M,,861.00M,52.00M,,32.00M,,945.00M,,,,,,,,,,415.00M,,,42.00M,417.00M,11.87B,12.81B,214.00M,214.00M,214.00M,,,,,,214.00M,4.759B,,4.759B,,,34.00M,190.00M,389.00M,5.338B,5.552B,8.00M,-1.263B,8.492B,,-9.00M,7.228B
2013-09,354.00M,,354.00M,85.00M,,36.00M,,517.00M,,,,,,,,,,425.00M,,,43.00M,468.00M,12.05B,12.56B,193.00M,193.00M,193.00M,,,,,,193.00M,4.56B,,4.56B,,,36.00M,175.00M,373.00M,5.108B,5.301B,8.00M,-1.288B,8.506B,,0.00,7.226B
2013-06,393.00M,,393.00M,130.00M,,35.00M,,558.00M,,,,,,,,,,392.00M,,,46.00M,468.00M,12.11B,12.66B,175.00M,175.00M,175.00M,,,,,,175.00M,4.724B,,4.724B,,,35.00M,168.00M,384.00M,5.276B,5.451B,7.00M,-1.216B,8.40B,,-12.00M,7.179B
2013-03,1.075B,,1.075B,96.00M,,35.00M,,1.206B,,,,,,,,,,337.00M,,,53.00M,457.00M,12.13B,13.34B,165.00M,165.00M,165.00M,,,,,,165.00M,5.534B,,5.534B,,,39.00M,175.00M,353.00M,6.062B,6.227B,7.00M,-1.253B,8.303B,,14.00M,7.071B
2012-12,417.00M,,417.00M,80.00M,,36.00M,,533.00M,,,,,,,,,,347.00M,,,53.00M,473.00M,12.46B,12.99B,194.00M,194.00M,194.00M,,,,,,194.00M,5.411B,,5.411B,,,34.00M,158.00M,372.00M,5.941B,6.135B,7.00M,-1.234B,8.04B,,12.00M,6.825B
2012-09,254.00M,,254.00M,98.00M,,35.00M,,387.00M,0.0,1.883B,13.79B,2.175B,,194.00M,18.04B,-6.313B,11.73B,411.00M,,,57.00M,456.00M,12.66B,13.04B,,,105.00M,,,,,341.00M,446.00M,5.495B,,5.495B,,,36.00M,,167.00M,5.662B,6.108B,7.00M,-1.126B,8.008B,,9.00M,6.898B
2012-06,465.00M,,465.00M,77.00M,,28.00M,,570.00M,0.0,1.876B,13.32B,2.15B,,157.00M,17.50B,-6.153B,11.35B,380.00M,,,54.00M,385.00M,12.17B,12.74B,,,95.00M,,,,,278.00M,373.00M,5.226B,,5.226B,,,36.00M,,160.00M,5.386B,5.759B,7.00M,-1.042B,7.983B,,-7.00M,6.941B
2012-03,1.312B,,1.312B,54.00M,,33.00M,388.00M,1.787B,0.0,1.859B,13.18B,2.111B,,201.00M,17.35B,-6.013B,11.34B,402.00M,,,57.00M,,11.80B,13.59B,,,152.00M,,,,,267.00M,419.00M,6.137B,,6.137B,,,38.00M,,171.00M,6.308B,6.727B,7.00M,-1.123B,7.92B,,18.00M,6.822B
2011-12,826.00M,,826.00M,37.00M,,36.00M,,899.00M,,,,,,,,,,197.00M,,,55.00M,556.00M,12.19B,13.09B,175.00M,175.00M,175.00M,,,,,,175.00M,5.753B,,5.753B,,,36.00M,158.00M,291.00M,6.202B,6.377B,7.00M,-1.079B,7.75B,,-1.00M,6.677B
2011-09,524.00M,,524.00M,34.00M,,36.00M,386.00M,980.00M,0.0,1.865B,13.12B,2.019B,,151.00M,17.16B,-5.715B,11.44B,337.00M,,,44.00M,,11.82B,12.80B,,,173.00M,,,,,225.00M,398.00M,5.488B,,5.488B,,,38.00M,,115.00M,5.603B,6.001B,7.00M,-1.032B,7.76B,,31.00M,6.766B
2011-06,634.00M,,634.00M,67.00M,,35.00M,331.00M,1.067B,0.0,1.842B,13.24B,2.00B,,125.00M,17.21B,-5.572B,11.64B,350.00M,,,45.00M,6.00M,12.04B,13.10B,,,178.00M,,,,,209.00M,387.00M,5.888B,,5.888B,,,40.00M,,174.00M,6.062B,6.449B,7.00M,-999.00M,7.566B,,40.00M,6.614B
2011-03,154.00M,,154.00M,54.00M,,41.00M,,249.00M,0.0,1.731B,13.08B,1.988B,,125.00M,16.92B,-5.439B,11.48B,379.00M,,,41.00M,339.00M,12.24B,12.49B,,,166.00M,,,,,,166.00M,5.538B,,5.538B,,,30.00M,,406.00M,5.944B,6.11B,7.00M,-1.039B,7.356B,,29.00M,6.353B
2010-12,1.113B,,1.113B,0.00,,41.00M,45.00M,1.199B,0.0,1.669B,12.08B,1.895B,,168.00M,15.81B,-5.298B,10.51B,300.00M,,,44.00M,354.00M,11.21B,12.41B,,,208.00M,,,,,203.00M,411.00M,5.477B,,5.477B,,,29.00M,,191.00M,5.668B,6.079B,7.00M,-965.00M,7.236B,,25.00M,6.303B
2010-09,838.00M,,838.00M,59.00M,,84.00M,334.00M,1.315B,0.0,1.645B,11.96B,1.874B,,92.00M,15.57B,-5.119B,10.45B,289.00M,,,39.00M,,10.78B,12.10B,,,187.00M,,,,,201.00M,388.00M,5.424B,,5.424B,,,33.00M,,154.00M,5.578B,5.966B,7.00M,-946.00M,7.026B,,9.00M,6.096B
2010-06,1.171B,,1.171B,,,43.00M,,1.214B,0.0,1.571B,11.56B,1.821B,,87.00M,15.04B,-4.986B,10.05B,135.00M,,54.00M,43.00M,457.00M,10.74B,11.96B,,,153.00M,,,,,,153.00M,5.395B,,5.395B,,,190.00M,,190.00M,5.585B,5.738B,7.00M,-887.00M,6.907B,,2.00M,6.029B
2010-03,1.245B,,1.245B,41.00M,,34.00M,3.00M,1.323B,0.0,1.571B,11.54B,1.802B,,84.00M,14.99B,-4.848B,10.14B,268.00M,,,46.00M,279.00M,10.74B,12.06B,,,164.00M,,,,,194.00M,358.00M,5.383B,,5.383B,,,184.00M,,,5.383B,5.741B,104.00M,-894.00M,6.916B,97.00M,9.00M,6.135B
2009-12,1.642B,,1.642B,0.00,,53.00M,29.00M,1.724B,0.0,1.574B,11.50B,1.794B,,104.00M,14.97B,-4.743B,10.23B,277.00M,,,49.00M,274.00M,10.83B,12.56B,,,174.00M,,,,,194.00M,368.00M,5.837B,,5.837B,,,22.00M,,139.00M,5.976B,6.344B,103.00M,-801.00M,6.875B,97.00M,12.00M,6.189B
2009-09,1.019B,,1.019B,52.00M,,49.00M,,1.12B,0.0,1.575B,11.43B,1.788B,,129.00M,14.92B,-4.582B,10.34B,283.00M,,,46.00M,282.00M,10.95B,12.07B,,,130.00M,,,,,201.00M,331.00M,5.539B,,5.539B,,,146.00M,,,5.539B,5.87B,103.00M,-575.00M,6.517B,97.00M,6.00M,6.051B
2009-06,1.346B,,1.346B,81.00M,,46.00M,55.00M,1.528B,0.0,1.582B,11.40B,1.769B,,156.00M,14.90B,-4.471B,10.43B,265.00M,,,51.00M,197.00M,10.94B,12.47B,,,86.00M,,,,,171.00M,257.00M,6.093B,,6.093B,,,138.00M,,,6.093B,6.35B,103.00M,-518.00M,6.397B,97.00M,2.00M,5.984B
2009-03,653.00M,,653.00M,62.00M,,38.00M,,753.00M,0.0,1.599B,11.44B,1.749B,,198.00M,14.98B,-4.40B,10.58B,295.00M,,,47.00M,196.00M,11.12B,11.87B,,,107.00M,,,,,163.00M,270.00M,5.893B,,5.893B,,,171.00M,,,5.893B,6.163B,102.00M,-448.00M,5.882B,97.00M,2.00M,5.538B
2008-12,508.00M,,508.00M,65.00M,,44.00M,,617.00M,0.0,1.613B,11.50B,1.749B,,174.00M,15.04B,-4.299B,10.74B,348.00M,,,46.00M,200.00M,11.33B,11.95B,,,119.00M,,,,,183.00M,302.00M,5.876B,,5.876B,,,24.00M,,158.00M,6.034B,6.336B,102.00M,-385.00M,5.868B,97.00M,5.00M,5.59B
2008-09,494.00M,,494.00M,99.00M,,55.00M,228.00M,876.00M,0.0,1.618B,11.34B,1.653B,,206.00M,14.82B,-4.089B,10.73B,331.00M,,,51.00M,,11.11B,11.99B,,,132.00M,,,,,206.00M,338.00M,5.906B,,5.906B,,,249.00M,,,5.906B,6.244B,102.00M,-288.00M,5.638B,97.00M,44.00M,5.496B
2008-06,505.00M,,505.00M,134.00M,,61.00M,227.00M,927.00M,0.0,1.619B,11.18B,1.613B,,253.00M,14.67B,-3.952B,10.72B,346.00M,,,54.00M,,11.12B,12.04B,,,84.00M,,,,,215.00M,299.00M,5.912B,,5.912B,,,279.00M,,,5.912B,6.211B,102.00M,-236.00M,5.64B,97.00M,49.00M,5.555B
2008-03,317.00M,202.00M,519.00M,92.00M,,68.00M,,679.00M,,,,,,,10.82B,,10.82B,202.00M,,,,,11.02B,11.76B,,,232.00M,,,,,,232.00M,5.618B,,5.618B,,,277.00M,97.00M,,5.715B,6.169B,5.00M,-424.00M,5.674B,,62.00M,5.317B
2007-12,488.00M,,488.00M,106.00M,,65.00M,198.00M,857.00M,0.0,1.621B,10.91B,1.53B,,230.00M,14.29B,-3.70B,10.59B,316.00M,,,51.00M,,10.96B,11.81B,,,315.00M,,,,,215.00M,530.00M,5.625B,,5.625B,,,216.00M,,,5.625B,6.155B,102.00M,-379.00M,5.673B,97.00M,45.00M,5.441B
2007-09,559.00M,,559.00M,,,130.00M,,689.00M,0.0,1.626B,10.75B,1.475B,,238.00M,14.09B,-3.555B,10.53B,185.00M,57.00M,,54.00M,327.00M,11.16B,11.84B,,,135.00M,,,,,225.00M,360.00M,5.725B,,5.725B,,,217.00M,,88.00M,5.813B,6.173B,102.00M,-357.00M,5.671B,97.00M,38.00M,5.454B
2007-06,497.00M,,497.00M,122.00M,,108.00M,,727.00M,,,,,,,10.64B,,10.64B,166.00M,,,,,10.81B,11.81B,,,196.00M,,,,,,196.00M,5.817B,,5.817B,,,214.00M,,,5.817B,6.248B,102.00M,-452.00M,5.67B,97.00M,29.00M,5.349B
2007-03,1.171B,,1.171B,89.00M,,175.00M,,1.435B,,,,,,,10.60B,,10.60B,161.00M,,,,,10.76B,12.44B,,,217.00M,,,,,,217.00M,6.467B,,6.467B,,,218.00M,,,6.467B,6.914B,5.00M,-493.00M,5.675B,,25.00M,5.309B
2006-12,364.00M,,364.00M,51.00M,,194.00M,199.00M,808.00M,0.0,1.622B,10.70B,1.414B,,166.00M,13.90B,-3.313B,10.58B,260.00M,,,60.00M,96.00M,11.00B,11.81B,,,243.00M,,,,,252.00M,495.00M,5.878B,,5.878B,,,28.00M,,185.00M,6.063B,6.558B,102.00M,-585.00M,5.68B,97.00M,25.00M,5.222B
2006-09,223.00M,151.00M,374.00M,31.00M,,129.00M,,534.00M,,,,,,,10.85B,,10.85B,151.00M,,,,,11.00B,11.66B,,,145.00M,,,,,,145.00M,5.839B,,5.839B,,,216.00M,,,5.839B,6.207B,5.00M,-543.00M,5.665B,,17.00M,5.241B
2006-06,524.00M,,524.00M,117.00M,,102.00M,,743.00M,,,,,,,10.47B,,10.47B,101.00M,,,,,10.57B,11.58B,,,215.00M,,,,,,215.00M,5.716B,,5.716B,,,216.00M,,,5.716B,6.162B,5.00M,-581.00M,5.656B,,21.00M,5.198B
2006-03,481.00M,,481.00M,81.00M,,88.00M,,650.00M,,,,,,,7.373B,,7.373B,24.00M,,,,,7.397B,8.485B,,,169.00M,,,,,,169.00M,5.064B,,5.064B,,,159.00M,,,5.064B,5.444B,4.00M,-812.00M,3.434B,,15.00M,2.882B
2005-12,184.00M,,184.00M,41.00M,,109.00M,,334.00M,,,,,,,7.577B,,7.577B,41.00M,,,,,7.618B,8.245B,,,165.00M,110.00M,110.00M,,,,275.00M,5.37B,,5.37B,,,26.00M,,,5.37B,5.802B,245.00M,-923.00M,3.08B,241.00M,15.00M,2.417B
2005-09,402.00M,,402.00M,66.00M,,165.00M,,633.00M,,,,,,,7.358B,,7.358B,42.00M,,,,,7.40B,8.248B,,,129.00M,97.00M,97.00M,,,,226.00M,5.501B,,5.501B,,,145.00M,,,5.501B,5.783B,3.00M,-908.00M,2.967B,,17.00M,2.32B
2005-06,404.00M,,404.00M,110.00M,,167.00M,,681.00M,,,,,,,7.38B,,7.38B,42.00M,,,,,7.422B,8.305B,,,145.00M,97.00M,97.00M,,,,242.00M,5.519B,,5.519B,,,147.00M,,,5.519B,5.837B,3.00M,-897.00M,2.961B,,13.00M,2.321B
2005-03,589.00M,,589.00M,95.00M,,319.00M,,1.003B,,,,,,,7.404B,,7.404B,64.00M,,,,,7.468B,8.654B,,,135.00M,97.00M,97.00M,,,,232.00M,5.861B,,5.861B,,,147.00M,,,5.861B,6.142B,3.00M,-941.00M,2.952B,,14.00M,2.365B
2004-12,347.00M,,347.00M,82.00M,,154.00M,,583.00M,,,,,,,7.425B,,7.425B,69.00M,,,,,7.494B,8.421B,,,113.00M,98.00M,98.00M,,,,211.00M,5.523B,,5.523B,,,208.00M,0.00,,5.523B,5.818B,340.00M,-911.00M,2.953B,337.00M,13.00M,2.395B
2004-09,317.00M,,317.00M,118.00M,,126.00M,,561.00M,,,,,,,7.542B,,7.542B,78.00M,,,,,7.62B,8.384B,,,134.00M,99.00M,99.00M,,,,233.00M,5.564B,,5.564B,,,212.00M,0.00,,5.564B,5.838B,340.00M,-962.00M,2.928B,337.00M,28.00M,2.334B
2004-06,771.00M,,771.00M,146.00M,,124.00M,,1.041B,,,,,,,7.187B,,7.187B,83.00M,,,,,7.27B,8.538B,,,93.00M,99.00M,99.00M,,,,192.00M,5.569B,,5.569B,,,221.00M,0.00,,5.569B,5.823B,440.00M,-884.00M,2.914B,436.00M,24.00M,2.494B
2004-03,526.00M,,526.00M,133.00M,,598.00M,,1.257B,,,,,,,7.02B,,7.02B,86.00M,,,,,7.106B,8.746B,,,121.00M,100.00M,100.00M,,,,221.00M,6.16B,,6.16B,,,94.00M,0.00,,6.16B,6.556B,342.00M,-891.00M,2.619B,339.00M,26.00M,2.096B
2003-12,764.00M,,764.00M,116.00M,,116.00M,,996.00M,,,,,,,7.085B,,7.085B,74.00M,,,,,7.159B,8.592B,,,108.00M,101.00M,101.00M,,,,209.00M,5.486B,,5.486B,,,219.00M,475.00M,,5.961B,6.237B,342.00M,-851.00M,2.617B,339.00M,28.00M,2.136B
2003-09,,,,,,134.00M,,134.00M,,,,,,,6.954B,,6.954B,,,,,,6.954B,8.332B,,,,,,,,,,5.581B,,5.581B,,,700.00M,,,5.581B,5.913B,3.00M,-993.00M,2.363B,,,1.719B
2003-08,547.00M,,547.00M,122.00M,,,,669.00M,,,,,,,,,6.954B,84.00M,,,,,7.038B,8.332B,,,148.00M,,,,,,148.00M,5.581B,,5.581B,,,113.00M,475.00M,,6.056B,6.50B,342.00M,-993.00M,2.363B,339.00M,7.00M,1.719B
2003-06,312.00M,,312.00M,153.00M,,130.00M,,595.00M,,,,,,,7.063B,,7.063B,88.00M,,,,,7.151B,8.251B,,,112.00M,,,,,,112.00M,5.686B,,5.686B,,,214.00M,475.00M,,6.161B,6.475B,342.00M,-896.00M,2.106B,339.00M,10.00M,1.562B
2003-03,313.00M,,313.00M,144.00M,,130.00M,,587.00M,,,,,,,6.973B,,6.973B,127.00M,,,,,7.10B,8.19B,,,109.00M,,,,,,109.00M,5.601B,,5.601B,,,220.00M,475.00M,,6.076B,6.395B,342.00M,-873.00M,2.10B,339.00M,6.00M,1.575B
2002-12,,,,,,133.00M,,133.00M,,,,,,,7.031B,,7.031B,,,,,,7.031B,8.316B,,,,102.00M,102.00M,,,,102.00M,5.523B,,5.523B,,,698.00M,,,5.523B,6.008B,3.00M,-830.00M,2.10B,,,1.61B
2002-09,,,,,,120.00M,,120.00M,,,,,,,7.102B,,7.102B,,,,,,7.102B,8.394B,,,,103.00M,103.00M,,,,103.00M,5.55B,,5.55B,,,715.00M,,,5.55B,6.057B,3.00M,-819.00M,2.10B,,,1.622B
2002-08,394.00M,,394.00M,116.00M,,,,510.00M,,,,,,,,,7.102B,139.00M,,,,,7.241B,8.394B,,,154.00M,,,,,,154.00M,5.653B,,5.653B,,,240.00M,475.00M,,6.128B,6.532B,342.00M,-819.00M,2.10B,339.00M,-1.00M,1.622B
2002-06,,,,,,124.00M,,124.00M,,,,,,,7.159B,,7.159B,,,,,,7.159B,8.459B,,,,105.00M,105.00M,,,,105.00M,5.545B,,5.545B,,,722.00M,,,5.545B,6.075B,3.00M,-773.00M,2.095B,,,1.662B
2002-05,243.00M,,243.00M,204.00M,,,,447.00M,,,,,,,,,7.159B,143.00M,,,,,7.302B,8.459B,,,115.00M,,,,,,115.00M,5.65B,,5.65B,,,247.00M,475.00M,,6.125B,6.55B,342.00M,-773.00M,2.095B,339.00M,-2.00M,1.662B
2002-03,341.00M,,341.00M,204.00M,,115.00M,,660.00M,,,,,,,6.939B,,6.939B,137.00M,,,,,7.076B,8.298B,,,124.00M,106.00M,106.00M,,,,230.00M,5.565B,,5.565B,,,213.00M,475.00M,,6.04B,6.466B,342.00M,-788.00M,2.068B,339.00M,-3.00M,1.619B
2001-12,,,,,,114.00M,,114.00M,,,,,,,6.999B,,6.999B,,,,,,6.999B,8.338B,,,,106.00M,106.00M,,,,106.00M,5.602B,,5.602B,,,685.00M,,,5.602B,5.705B,342.00M,-779.00M,2.051B,339.00M,,1.948B
