,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2015-06,1.357B,1.439B,948.00M,491.00M,,89.00M,89.00M,,30.00M,,51.00M,1.00M,-50.00M,,267.00M,224.00M,1.00M,51.00M,-50.00M,53.00M,-50.00M,227.00M,13.00M,214.00M,,,-2.00M,,212.00M,184.66M,456.00M,178.00M,278.00M,0.28,,,,0.2437,0.28,0.28,,,,0.2452,0.28,753.90M,785.50M,0.2
2015-03,1.221B,1.302B,920.00M,382.00M,,82.00M,82.00M,,10.00M,,49.00M,1.00M,-48.00M,,255.00M,127.00M,1.00M,49.00M,-48.00M,11.00M,-48.00M,90.00M,-9.00M,99.00M,,,-1.00M,,98.00M,93.20M,312.00M,173.00M,139.00M,0.13,,,,0.1237,0.13,0.13,,,,0.1237,0.13,756.00M,756.30M,0.2
2014-12,1.235B,1.287B,911.00M,376.00M,,82.00M,82.00M,,131.00M,,37.00M,1.00M,-44.00M,,251.00M,125.00M,1.00M,37.00M,-44.00M,168.00M,-44.00M,249.00M,-3.00M,252.00M,,,2.00M,,254.00M,166.25M,455.00M,169.00M,286.00M,0.34,0.0,,,0.2239,0.34,0.33,0.0,,,0.2302,0.33,755.70M,879.20M,0.2
2014-09,1.214B,1.294B,904.00M,390.00M,,78.00M,78.00M,,69.00M,,51.00M,1.00M,-50.00M,,256.00M,134.00M,1.00M,51.00M,-50.00M,67.00M,-50.00M,151.00M,6.00M,145.00M,,,-1.00M,,144.00M,78.70M,380.00M,178.00M,202.00M,0.19,,,,0.1036,0.19,0.19,,,,0.1037,0.19,755.60M,756.40M,0.2
2014-06,1.336B,1.431B,937.00M,494.00M,,94.00M,94.00M,,-3.00M,,53.00M,1.00M,-52.00M,,268.00M,226.00M,1.00M,53.00M,-52.00M,3.00M,-52.00M,174.00M,15.00M,159.00M,,,-4.00M,,155.00M,158.66M,401.00M,174.00M,227.00M,0.21,,,,0.2148,0.21,0.21,,,,0.2148,0.21,755.40M,755.90M,0.15
2014-03,1.213B,1.309B,922.00M,387.00M,,77.00M,77.00M,,105.00M,,55.00M,1.00M,-54.00M,,249.00M,138.00M,1.00M,55.00M,-54.00M,97.00M,-54.00M,181.00M,-4.00M,185.00M,,,-6.00M,,179.00M,110.75M,408.00M,172.00M,236.00M,0.24,,,,0.1496,0.24,0.24,,,,0.1531,0.24,754.90M,785.10M,0.14
2013-12,1.244B,1.331B,925.00M,406.00M,,75.00M,75.00M,,-25.00M,,73.00M,1.00M,-82.00M,,252.00M,154.00M,1.00M,73.00M,-82.00M,-12.00M,-82.00M,60.00M,2.00M,58.00M,68.00M,,-3.00M,,123.00M,47.27M,310.00M,177.00M,133.00M,0.07,0.09,,,0.0598,0.16,0.07,0.09,,,0.0598,0.16,754.90M,756.90M,0.13
2013-09,1.135B,1.211B,880.00M,331.00M,,77.00M,77.00M,,-3.00M,,62.00M,1.00M,-61.00M,,252.00M,79.00M,1.00M,62.00M,-61.00M,-5.00M,-61.00M,13.00M,11.00M,2.00M,16.00M,,1.00M,,19.00M,5.60M,250.00M,175.00M,75.00M,0.01,0.02,,,0.0135,0.03,0.01,0.02,,,0.0135,0.03,749.00M,749.70M,0.12
2013-06,1.309B,1.399B,921.00M,478.00M,,102.00M,102.00M,,-11.00M,,71.00M,1.00M,-70.00M,,273.00M,205.00M,1.00M,71.00M,-70.00M,-4.00M,-70.00M,131.00M,15.00M,116.00M,5.00M,,-2.00M,,119.00M,122.85M,374.00M,172.00M,202.00M,0.15,0.01,,,0.1619,0.16,0.15,0.01,,,0.1619,0.16,745.20M,745.90M,0.11
2013-03,1.131B,1.224B,888.00M,336.00M,,73.00M,73.00M,,0.00,,76.00M,1.00M,-75.00M,,246.00M,90.00M,1.00M,76.00M,-75.00M,12.00M,-75.00M,27.00M,-7.00M,34.00M,26.00M,0.00,-4.00M,,56.00M,20.90M,276.00M,173.00M,103.00M,0.04,0.04,0.0,,0.0275,0.08,0.04,0.04,0.0,,0.0277,0.08,728.20M,738.60M,0.1
2012-12,1.275B,1.644B,1.176B,468.00M,,94.00M,94.00M,,,,80.00M,12.00M,-80.00M,,362.00M,106.00M,12.00M,80.00M,-80.00M,2.00M,-80.00M,28.00M,21.00M,7.00M,8.00M,,0.00,,15.00M,10.25M,376.00M,268.00M,108.00M,0.02,0.0,,,0.0245,0.02,0.02,0.0,,,0.0244,0.02,725.70M,731.30M,0.09
2012-09,1.093B,1.158B,868.00M,290.00M,,74.00M,74.00M,,,,93.00M,4.00M,-89.00M,,229.00M,61.00M,4.00M,93.00M,-89.00M,-1.00M,-89.00M,-29.00M,11.00M,-40.00M,4.00M,,2.00M,,-34.00M,-38.00M,219.00M,153.00M,64.00M,-0.05,0.0,,,-0.05,-0.05,-0.05,0.0,,,-0.05,-0.05,721.30M,721.30M,0.08
2012-06,1.261B,1.326B,920.00M,406.00M,,76.00M,76.00M,,,,94.00M,3.00M,-91.00M,,229.00M,177.00M,3.00M,94.00M,-91.00M,6.00M,-91.00M,92.00M,12.00M,80.00M,3.00M,,-1.00M,,82.00M,78.13M,339.00M,152.00M,186.00M,0.11,0.0,,,0.1088,0.11,0.11,0.0,,,0.1088,0.11,718.10M,730.60M,0.07
2012-03,892.00M,952.00M,732.00M,220.00M,,55.00M,55.00M,,,,86.00M,4.00M,-82.00M,,204.00M,16.00M,4.00M,86.00M,-82.00M,-2.00M,-82.00M,-68.00M,-13.00M,-55.00M,55.00M,,-2.00M,,-2.00M,-57.00M,167.00M,149.00M,18.00M,-0.08,0.08,,,-0.08,0.0,-0.08,0.08,,,-0.08,0.0,703.10M,703.10M,0.06
2011-12,1.158B,1.408B,1.412B,-4.00M,,,-282.00M,,-8.00M,,97.00M,5.00M,-103.00M,,-108.00M,104.00M,5.00M,97.00M,-103.00M,9.00M,-103.00M,10.00M,8.00M,2.00M,14.00M,,1.00M,,17.00M,8.20M,281.00M,167.00M,107.00M,0.0,0.03,,,0.0074,0.03,0.0,0.03,,,0.0074,0.03,706.80M,706.80M,0.05
2011-09,1.131B,1.131B,739.00M,392.00M,,,191.00M,,1.00M,,87.00M,5.00M,-82.00M,,338.00M,54.00M,5.00M,87.00M,-82.00M,-4.00M,-82.00M,-32.00M,3.00M,-35.00M,0.00,,2.00M,,-33.00M,-33.65M,204.00M,149.00M,55.00M,-0.05,0.0,,,-0.0509,-0.05,-0.05,0.0,,,-0.0509,-0.05,702.10M,702.10M,0.04
2011-06,1.284B,1.284B,774.00M,510.00M,,,210.00M,,3.00M,,89.00M,5.00M,-84.00M,,358.00M,152.00M,5.00M,89.00M,-84.00M,7.00M,-84.00M,75.00M,8.00M,67.00M,-3.00M,,-2.00M,,62.00M,62.32M,316.00M,152.00M,164.00M,0.1,-0.01,,,0.0961,0.09,0.1,-0.01,,,0.0961,0.09,685.70M,687.10M,0.03
2011-03,893.00M,893.00M,582.00M,311.00M,,,174.00M,,3.00M,,82.00M,4.00M,-78.00M,,314.00M,-3.00M,4.00M,82.00M,-78.00M,1.00M,-78.00M,-80.00M,-20.00M,-60.00M,0.00,,0.00,,-60.00M,-62.25M,143.00M,141.00M,2.00M,-0.09,0.0,,,-0.0933,-0.09,-0.09,0.0,,,-0.0933,-0.09,677.30M,677.30M,0.02
2010-12,1.225B,1.424B,1.372B,52.00M,,,-210.00M,,8.00M,,102.00M,5.00M,-109.00M,,-37.00M,89.00M,5.00M,102.00M,-109.00M,7.00M,-109.00M,-13.00M,-10.00M,-3.00M,-3.00M,,0.00,0.00,-6.00M,-8.20M,262.00M,173.00M,89.00M,0.0,-0.01,,,-0.0078,-0.01,0.0,-0.01,,,-0.0078,-0.01,669.30M,669.30M,0.01
2010-09,1.003B,1.003B,666.00M,337.00M,,,180.00M,,-1.00M,,89.00M,2.00M,-87.00M,,314.00M,23.00M,2.00M,89.00M,-87.00M,-2.00M,-87.00M,-66.00M,-5.00M,-61.00M,0.00,,3.00M,,-58.00M,-57.08M,157.00M,134.00M,23.00M,-0.09,0.0,,,-0.0886,-0.09,-0.09,0.0,,,-0.0886,-0.09,654.50M,654.50M,0.01
2010-06,1.112B,1.112B,696.00M,416.00M,,,167.00M,,-3.00M,,82.00M,1.00M,-81.00M,,306.00M,110.00M,1.00M,82.00M,-81.00M,-3.00M,-81.00M,26.00M,6.00M,20.00M,0.00,,-1.00M,2.00M,19.00M,21.31M,247.00M,138.00M,108.00M,0.02,0.0,,,0.0235,0.02,0.02,0.0,,,0.0235,0.02,652.50M,654.10M,0.01
2010-03,823.00M,823.00M,549.00M,274.00M,,,140.00M,,-2.00M,,96.00M,1.00M,-95.00M,,276.00M,-2.00M,1.00M,96.00M,-95.00M,-7.00M,-95.00M,-104.00M,-22.00M,-82.00M,-2.00M,,0.00,2.00M,-84.00M,-80.42M,129.00M,137.00M,-8.00M,-0.13,0.0,,,-0.1276,-0.13,-0.13,0.0,,,-0.1276,-0.13,648.10M,648.10M,0.01
2009-12,1.326B,1.326B,874.00M,452.00M,,,233.00M,,1.00M,,115.00M,2.00M,-113.00M,,419.00M,33.00M,2.00M,115.00M,-113.00M,5.00M,-113.00M,-75.00M,-10.00M,-65.00M,-6.00M,,1.00M,3.00M,-70.00M,-64.87M,228.00M,188.00M,40.00M,-0.11,-0.01,,,-0.1114,-0.12,-0.11,-0.01,,,-0.1114,-0.12,639.10M,639.10M,0.0
2009-09,903.00M,903.00M,629.00M,274.00M,,,145.00M,,12.00M,,95.00M,1.00M,-94.00M,,282.00M,-8.00M,1.00M,95.00M,-94.00M,10.00M,-94.00M,-92.00M,-25.00M,-67.00M,9.00M,,3.00M,2.00M,-55.00M,-72.74M,141.00M,138.00M,3.00M,-0.11,0.02,,,-0.1244,-0.09,-0.11,0.0148,,,-0.1244,-0.094,606.10M,606.10M,0.0
2009-06,1.051B,1.051B,657.00M,394.00M,,,153.00M,,1.00M,,82.00M,2.00M,-80.00M,,290.00M,104.00M,2.00M,82.00M,-80.00M,-25.00M,-80.00M,-1.00M,10.00M,-11.00M,-58.00M,,1.00M,2.00M,-68.00M,-14.55M,279.00M,198.00M,81.00M,-0.02,-0.1,,,-0.0279,-0.12,-0.02,-0.1,,,-0.0279,-0.12,575.00M,575.00M,0.0
2009-03,864.00M,864.00M,559.00M,305.00M,,,130.00M,,1.00M,,87.00M,2.00M,-85.00M,,285.00M,20.00M,2.00M,87.00M,-85.00M,-3.00M,-85.00M,-68.00M,-14.00M,-54.00M,-6.00M,,1.00M,2.00M,-59.00M,-53.79M,198.00M,179.00M,19.00M,-0.11,-0.01,,,-0.1115,-0.12,-0.11,-0.01,,,-0.1115,-0.12,526.10M,526.10M,0.0
2008-12,1.581B,1.581B,1.85B,-269.00M,,,-659.00M,,1.00M,,113.00M,7.00M,-106.00M,,-486.00M,217.00M,7.00M,113.00M,-106.00M,-12.00M,-106.00M,99.00M,-14.00M,113.00M,-2.00M,,-1.00M,3.00M,110.00M,111.35M,417.00M,205.00M,212.00M,0.2199,0.0015,,,0.2186,0.2214,0.1999,0.0015,,,0.1986,0.2014,489.71M,511.68M,0.0489
2008-09,1.139B,1.139B,435.00M,704.00M,,,456.00M,,0.00,,90.00M,4.00M,-86.00M,,586.00M,118.00M,4.00M,90.00M,-86.00M,1.00M,-86.00M,33.00M,4.00M,29.00M,18.00M,,0.00,2.00M,47.00M,29.00M,253.00M,128.00M,123.00M,0.0489,0.0391,,,0.0489,0.0881,0.0489,0.0391,,,0.0489,0.0881,530.70M,531.01M,0.1957
2008-06,1.388B,1.388B,491.00M,897.00M,,,497.00M,,1.00M,,88.00M,4.00M,-84.00M,,625.00M,272.00M,4.00M,88.00M,-84.00M,2.00M,-84.00M,190.00M,13.00M,177.00M,16.00M,,-10.00M,2.00M,183.00M,166.07M,406.00M,126.00M,278.00M,0.3131,0.0294,,,0.3114,0.3425,0.3033,0.0294,,,0.3017,0.3327,531.92M,563.81M,0.1957
2008-03,1.053B,1.053B,654.00M,399.00M,,,143.00M,,1.00M,,83.00M,4.00M,-79.00M,,266.00M,133.00M,4.00M,83.00M,-79.00M,1.00M,-79.00M,55.00M,-7.00M,62.00M,1.00M,,-9.00M,2.00M,54.00M,52.35M,261.00M,123.00M,138.00M,0.0979,0.0,,,0.0966,0.0979,0.0979,0.0,,,0.0966,0.0979,534.07M,534.28M,0.1957
2007-12,1.804B,1.804B,1.942B,-138.00M,,,-675.00M,,-10.00M,,110.00M,10.00M,-100.00M,,-511.00M,373.00M,10.00M,110.00M,-100.00M,-4.00M,-100.00M,269.00M,2.00M,267.00M,27.00M,,,3.00M,294.00M,276.93M,543.00M,164.00M,379.00M,0.499,0.0489,,,0.5176,0.548,0.4795,0.0489,,,0.4969,0.5284,533.87M,570.25M,0.1957
2007-09,1.197B,1.197B,450.00M,747.00M,,,464.00M,,-2.00M,,82.00M,9.00M,-73.00M,,583.00M,164.00M,9.00M,82.00M,-73.00M,-2.00M,-73.00M,89.00M,-4.00M,93.00M,4.00M,,,2.00M,97.00M,94.30M,290.00M,116.00M,171.00M,0.1663,0.0098,,,0.1688,0.1761,0.1663,0.0098,,,0.1686,0.1761,533.76M,565.96M,0.1957
2007-06,1.381B,1.381B,488.00M,893.00M,,,494.00M,,-4.00M,,136.00M,12.00M,-124.00M,,612.00M,281.00M,12.00M,136.00M,-124.00M,-1.00M,-124.00M,156.00M,11.00M,145.00M,4.00M,,,2.00M,149.00M,148.72M,411.00M,119.00M,292.00M,0.2642,0.0098,,,0.2712,0.274,0.2544,0.0098,,,0.261,0.2642,533.56M,565.14M,0.1957
2007-03,1.029B,1.029B,385.00M,644.00M,,,67.00M,,1.00M,,,,,330.00M,513.00M,131.00M,,,,1.00M,,35.00M,-6.00M,41.00M,146.00M,,-11.00M,2.00M,187.00M,40.35M,248.00M,117.00M,131.00M,0.0685,0.274,,,0.0673,0.3425,0.0685,0.274,,,0.0673,0.3425,540.17M,540.17M,0.1957
2006-12,1.775B,1.697B,1.781B,-84.00M,,,-532.00M,,-43.00M,,152.00M,11.00M,-141.00M,,-388.00M,304.00M,11.00M,152.00M,-141.00M,-41.00M,-141.00M,152.00M,-9.00M,161.00M,35.00M,,,2.00M,196.00M,186.80M,448.00M,144.00M,304.00M,0.3131,0.0391,,,0.3602,0.3523,0.3131,0.0391,,,0.3602,0.3523,547.82M,547.82M,0.1957
2006-09,1.087B,1.11B,422.00M,688.00M,90.00M,361.00M,451.00M,,1.00M,,100.00M,8.00M,-92.00M,,567.00M,121.00M,8.00M,100.00M,-92.00M,-2.00M,-92.00M,26.00M,-4.00M,30.00M,10.00M,,-1.00M,2.00M,40.00M,29.40M,242.00M,116.00M,126.00M,0.0489,0.0196,,,0.0478,0.0685,0.0489,0.0196,,,0.0478,0.0685,554.77M,554.77M,0.1957
2006-06,1.181B,1.181B,423.00M,758.00M,,,77.00M,,1.00M,,,,,350.00M,531.00M,227.00M,,,,1.00M,,108.00M,17.00M,91.00M,239.00M,,-16.00M,,330.00M,90.16M,331.00M,104.00M,227.00M,0.1566,0.4795,,,0.1549,0.636,0.1566,0.4501,,,0.155,0.6067,503.11M,527.46M,0.1663
2006-03,832.00M,825.00M,513.00M,312.00M,,,54.00M,,-12.00M,-715.00M,,,,776.00M,202.00M,110.00M,,,,-11.00M,,13.00M,1.00M,12.00M,160.00M,,-13.00M,6.00M,172.00M,22.15M,197.00M,87.00M,110.00M,0.0196,0.411,,,0.0459,0.4305,0.0196,0.411,,,0.0459,0.4305,385.55M,385.55M,0.137
2005-12,1.335B,1.327B,495.00M,832.00M,,,17.00M,,-92.00M,-1.134B,,,,1.632B,639.00M,193.00M,,,,-90.00M,,71.00M,1.00M,70.00M,4.00M,,-4.00M,6.00M,74.00M,158.73M,322.00M,129.00M,193.00M,0.1761,0.0098,,,0.4152,0.1859,0.1761,0.0098,,,0.4152,0.1859,371.13M,371.13M,0.1174
2005-09,815.00M,811.00M,312.00M,499.00M,,,49.00M,,0.00,-744.00M,,,,1.045B,432.00M,67.00M,,,,-1.00M,,-23.00M,-15.00M,-8.00M,3.00M,,0.00,6.00M,-5.00M,-7.40M,149.00M,80.00M,67.00M,-0.0391,0.0098,,,-0.0375,-0.0294,-0.0391,0.0098,,,-0.0375,-0.0294,374.72M,374.72M,0.1076
2005-06,1.04B,958.00M,344.00M,614.00M,,,57.00M,,74.00M,-795.00M,,,,1.106B,451.00M,163.00M,,,,148.00M,,123.00M,38.00M,85.00M,6.00M,,-8.00M,7.00M,91.00M,-17.28M,246.00M,83.00M,163.00M,0.2055,0.0196,,,-0.0822,0.2251,0.1957,0.0196,,,-0.0795,0.2153,355.46M,371.62M,0.0979
2005-03,802.00M,790.00M,294.00M,496.00M,,,46.00M,,3.00M,-699.00M,,,,973.00M,401.00M,95.00M,,,,8.00M,,-10.00M,0.00,-10.00M,16.00M,,-4.00M,8.00M,6.00M,-18.00M,176.00M,81.00M,95.00M,-0.0489,0.0391,,,-0.0711,-0.0098,-0.0489,0.0391,,,-0.0711,-0.0098,360.20M,360.20M,0.0783
2004-12,1.20B,1.188B,454.00M,734.00M,,,71.00M,,-36.00M,-1.05B,,,,1.453B,586.00M,148.00M,,,,-27.00M,,17.00M,-8.00M,25.00M,36.00M,,-6.00M,9.00M,61.00M,41.20M,260.00M,112.00M,148.00M,0.0489,0.1076,,,0.0917,0.1566,0.0489,0.1076,,,0.0917,0.1566,378.36M,378.36M,0.0489
