,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2015-06,511.60M,-7.60M,-7.40M,,,419.70M,419.70M,-115.60M,,31.10M,-9.80M,5.10M,-77.00M,-40.80M,-13.10M,22.70M,40.60M,,-67.60M,-2.20M,764.90M,2015-06,-95.30M,5.60M,-89.70M,0.00,,14.70M,-75.00M,,-703.30M,-97.40M,-800.70M,,0.00,0.00,-59.70M,-59.70M,21.70M,9.80M,-828.90M,,864.60M,-139.00M,42.80M,768.40M,2015-06,,0.00,-703.30M,0.00,,2015-06,Restated
2015-03,385.10M,,0.50M,,,416.30M,416.30M,-102.40M,,28.20M,-39.20M,-2.20M,-124.70M,-81.30M,34.80M,-37.60M,-395.40M,,-604.20M,-2.10M,80.00M,2015-03,-97.20M,0.60M,-96.60M,-298.60M,,0.90M,-394.30M,,-851.40M,1.219B,367.50M,,-500.00M,-500.00M,-60.80M,-60.80M,60.00M,32.90M,-100.40M,,1.344B,-414.70M,-64.20M,864.60M,2015-03,,0.00,-851.40M,-500.00M,,2015-03,Restated
2014-12,604.00M,-1.00M,-0.70M,,,428.70M,428.70M,-38.00M,,30.50M,-4.50M,-2.10M,-28.10M,-0.70M,4.50M,-42.70M,3.60M,,-63.40M,-0.80M,953.70M,2014-12,-156.70M,29.60M,-127.10M,-2.20M,4.20M,-0.90M,-126.00M,,557.00M,-433.90M,123.10M,0.00,0.00,0.00,-60.00M,-60.00M,22.70M,3.50M,89.30M,,534.30M,917.00M,-107.80M,1.344B,2014-12,0.00,1.380B,-1.008B,0.00,,2014-12,Restated
2014-09,469.90M,-132.60M,-131.80M,,,455.70M,455.70M,-123.40M,,30.60M,-5.50M,-10.90M,36.40M,-55.30M,-6.70M,-53.10M,71.70M,,-7.00M,-1.60M,676.00M,2014-09,-90.70M,7.00M,-83.70M,469.70M,19.40M,12.00M,417.40M,,-978.00M,-103.00M,-1.081B,0.00,0.00,0.00,-60.10M,-60.10M,24.10M,2.90M,-1.114B,,584.90M,-20.70M,-29.90M,534.30M,2014-09,0.00,-93.40M,-987.60M,0.00,,2014-09,Restated
2014-06,278.50M,-3.30M,151.40M,,,434.80M,434.80M,-253.40M,,30.80M,-7.20M,3.70M,38.90M,-21.70M,13.20M,254.70M,-34.10M,,251.00M,-0.90M,888.70M,2014-06,-75.50M,9.30M,-66.20M,-6.10M,32.00M,34.10M,-6.20M,,-1.852B,73.80M,-1.778B,0.00,0.00,0.00,-59.80M,-59.80M,21.10M,2.30M,-1.814B,,1.497B,-931.70M,19.40M,584.90M,2014-06,0.00,92.20M,-1.87B,0.00,,2014-06,Restated
2014-03,543.10M,-758.50M,-610.90M,,,365.60M,365.60M,-207.00M,,25.20M,-48.40M,-2.30M,-192.60M,-32.10M,-9.80M,4.20M,267.20M,,36.90M,-1.00M,101.20M,2014-03,-104.70M,3.40M,-101.30M,-12.00B,33.00M,0.10M,-12.07B,,4.399B,213.20M,4.612B,2.942B,0.00,2.942B,-54.90M,-54.90M,87.50M,48.40M,7.635B,,5.826B,-4.332B,2.80M,1.497B,2014-03,2.942B,5.213B,-600.90M,0.00,,2014-03,Restated
2013-12,343.00M,0.00,0.00,,,249.30M,249.30M,-268.30M,,24.30M,-9.00M,-6.90M,7.40M,57.50M,-2.10M,237.70M,97.20M,,397.70M,-1.60M,728.50M,2013-12,-94.50M,4.80M,-89.70M,-5.90M,7.10M,18.50M,-70.00M,,3.168B,188.60M,3.356B,0.00,0.00,0.00,-54.20M,-54.20M,25.50M,-4.10M,3.324B,,1.846B,3.982B,-1.60M,5.826B,2013-12,0.00,3.368B,-11.40M,0.00,,2013-12,Restated
2013-09,317.70M,0.00,0.00,,,250.40M,250.40M,-139.50M,,22.90M,-9.20M,0.60M,-16.30M,-32.10M,15.80M,38.10M,58.70M,,64.20M,-1.60M,505.50M,2013-09,-56.30M,12.30M,-44.00M,-0.80M,0.00,-15.60M,-60.40M,,-0.20M,0.90M,0.70M,0.00,0.00,0.00,-54.10M,-54.10M,32.60M,5.20M,-15.60M,,1.363B,429.50M,53.40M,1.846B,2013-09,0.00,0.00,0.70M,0.00,,2013-09,Restated
2013-06,277.60M,0.00,12.00M,,,249.20M,249.20M,-49.00M,,23.30M,-14.40M,11.60M,-8.20M,-29.70M,-9.20M,-79.90M,96.00M,,-31.00M,-0.90M,478.40M,2013-06,-65.60M,0.60M,-65.00M,-0.90M,0.50M,-0.30M,-65.70M,,-0.20M,-0.10M,-0.30M,0.00,0.00,0.00,-53.90M,-53.90M,70.50M,13.60M,29.90M,,958.50M,442.60M,-38.40M,1.363B,2013-06,0.00,0.00,-0.30M,0.00,,2013-06,Restated
2013-03,340.80M,0.00,11.90M,,,251.00M,251.00M,-16.00M,,20.40M,-16.20M,-20.80M,-130.80M,-67.90M,42.50M,-27.20M,-88.60M,,-272.00M,-0.80M,298.30M,2013-03,-66.00M,3.00M,-63.00M,-3.80M,0.00,-0.40M,-67.20M,,-0.50M,-1.50M,-2.00M,0.00,-89.80M,-89.80M,-54.00M,-54.00M,101.80M,16.20M,-27.80M,,805.60M,203.30M,-50.40M,958.50M,2013-03,0.00,0.00,-2.00M,-89.80M,,2013-03,Restated
2012-12,385.80M,,12.30M,,,254.40M,254.40M,-58.30M,,20.40M,-9.90M,17.70M,28.20M,72.70M,-61.20M,-19.10M,24.30M,,44.90M,-7.20M,660.10M,2012-12,-104.40M,1.20M,-103.20M,-11.00M,,-13.90M,-70.80M,,-354.70M,9.60M,-345.10M,-131.30M,-350.00M,-481.30M,-46.90M,-46.90M,,11.80M,-607.40M,,798.30M,-18.10M,25.40M,805.60M,2012-12,-131.30M,-0.20M,-354.50M,-350.00M,,2012-12,Restated
2012-09,299.40M,,2.20M,,,245.20M,245.20M,-128.10M,,20.30M,-4.60M,4.50M,-4.50M,-29.30M,23.30M,-20.00M,83.50M,,53.00M,-12.00M,479.90M,2012-09,-76.00M,3.90M,-72.10M,-893.70M,,-33.00M,-995.40M,,1.282B,-350.60M,931.70M,67.50M,-400.00M,-332.50M,-47.60M,-47.60M,,7.10M,558.70M,,732.30M,43.20M,22.80M,798.30M,2012-09,67.50M,1.282B,,-400.00M,,2012-09,Restated
2012-06,292.40M,,11.90M,,,241.60M,241.60M,-72.00M,,20.30M,-0.50M,5.10M,46.70M,-26.30M,-19.40M,-26.90M,37.90M,,12.00M,-3.30M,507.50M,2012-06,-65.50M,3.70M,-61.80M,-178.20M,,1.90M,-238.50M,,0.40M,-136.90M,-136.50M,8.70M,-100.00M,-91.30M,-47.70M,-47.70M,,-8.50M,-284.00M,,788.30M,-15.00M,-41.00M,732.30M,2012-06,8.70M,,0.40M,-100.00M,,2012-06,Restated
2012-03,280.80M,,26.00M,,,242.50M,242.50M,-43.20M,,17.20M,-7.70M,3.20M,-58.40M,-77.00M,67.30M,-34.30M,-18.50M,,-120.90M,-5.90M,392.00M,2012-03,-69.20M,4.00M,-65.20M,-0.50M,,-0.90M,-66.20M,,-0.40M,-347.40M,-347.80M,55.10M,-300.00M,-244.90M,0.00,0.00,,7.70M,-585.00M,,1.016B,-259.20M,31.20M,788.30M,2012-03,55.10M,,-0.40M,-300.00M,,2012-03,Restated
2011-12,292.50M,,,,,245.60M,245.60M,59.20M,,19.40M,-0.30M,-52.90M,-25.20M,33.70M,4.80M,,47.40M,83.00M,6.90M,-2.90M,637.00M,2011-12,-80.70M,2.00M,-78.70M,0.80M,,-3.80M,-72.80M,,-0.80M,-100.10M,-100.90M,4.40M,-350.00M,-345.60M,,0.00,,0.10M,-446.40M,,890.30M,117.80M,8.20M,1.016B,2011-12,4.40M,-9.60M,-999.80M,-350.00M,,2011-12,Restated
2011-09,266.30M,,,,,228.80M,228.80M,-103.70M,,18.70M,-1.20M,35.80M,-8.10M,0.10M,-28.40M,,9.10M,-61.50M,-88.80M,4.80M,360.70M,2011-09,-62.80M,3.00M,-59.80M,-3.600B,,0.70M,-3.704B,,2.080B,999.40M,3.079B,11.90M,-225.00M,-213.10M,,0.00,,5.30M,2.871B,,1.356B,-471.60M,5.80M,890.30M,2011-09,11.90M,2.080B,998.90M,-225.00M,,2011-09,Restated
2011-06,217.40M,,,,,200.90M,200.90M,-35.60M,,20.30M,-9.00M,29.30M,-3.90M,0.70M,-10.90M,,-31.80M,-22.50M,-68.40M,-0.20M,354.70M,2011-06,-53.70M,2.30M,-51.40M,-2.054B,,-2.50M,-1.277B,,-419.00M,12.00M,-407.00M,97.30M,-225.00M,-127.70M,,0.00,,9.00M,-525.70M,,2.789B,-1.448B,15.40M,1.356B,2011-06,97.30M,7.20M,-417.00M,-225.00M,,2011-06,Restated
2011-03,247.20M,,,,,184.30M,184.30M,-43.00M,,21.60M,-6.40M,12.00M,-64.00M,-63.10M,68.30M,,-32.00M,1.00M,-89.80M,12.70M,338.60M,2011-03,-63.70M,0.90M,-62.80M,-23.70M,,-0.40M,-88.90M,,2.141B,-2.80M,2.138B,44.50M,-537.50M,-493.00M,,,,6.40M,1.652B,,917.10M,1.901B,-29.60M,2.789B,2011-03,44.50M,2.176B,-35.50M,-537.50M,,2011-03,Restated
2010-12,284.90M,,,,,184.70M,184.70M,-73.20M,,20.10M,-4.90M,34.30M,49.90M,34.30M,-45.00M,,,-59.30M,-20.10M,12.40M,438.20M,2010-12,-89.10M,6.00M,-83.10M,-60.80M,,-14.60M,-152.30M,,-2.40M,0.80M,-1.60M,24.70M,-350.00M,-325.30M,,,,4.90M,-322.00M,,930.20M,-36.10M,23.00M,917.10M,2010-12,24.70M,0.10M,-2.50M,-350.00M,,2010-12,Restated
2010-09,258.80M,,,,,182.40M,182.40M,-62.40M,,20.90M,-0.10M,14.20M,-30.40M,-11.10M,-4.10M,,,49.40M,3.80M,15.20M,432.80M,2010-09,-63.30M,1.80M,-61.50M,-257.60M,,4.30M,-316.10M,,-1.00M,-8.60M,-9.60M,3.20M,-475.00M,-471.80M,,,,0.10M,-481.30M,,1.307B,-364.60M,-12.60M,930.20M,2010-09,3.20M,-0.30M,-0.70M,-475.00M,,2010-09,
2010-06,228.70M,,,,,378.90M,185.30M,-87.40M,-3.40M,22.00M,-3.00M,18.90M,4.20M,-16.30M,-22.10M,21.90M,-19.20M,-56.20M,-87.70M,10.30M,283.70M,2010-06,-56.30M,1.40M,-54.90M,-58.70M,,-1.00M,-112.60M,,-152.00M,0.20M,-151.80M,22.60M,-187.50M,-164.90M,,,,3.00M,-313.70M,,1.432B,-142.60M,18.30M,1.307B,2010-06,22.60M,741.60M,-893.60M,-187.50M,,2010-06,Restated
2010-03,224.60M,,,,,,193.60M,-44.60M,3.40M,18.80M,-4.80M,16.80M,-103.70M,-34.60M,73.70M,-21.90M,19.20M,-4.90M,-72.20M,7.50M,343.10M,2010-03,-49.10M,1.00M,-48.10M,-229.10M,,0.80M,-277.90M,,-209.40M,-0.30M,-209.70M,26.80M,0.00,26.80M,,,,4.80M,-178.10M,,1.564B,-112.90M,-19.50M,1.432B,2010-03,26.80M,0.00,-209.40M,0.00,,2010-03,Restated
2009-12,274.30M,,,,,207.20M,207.20M,-66.00M,,11.70M,-0.90M,28.40M,80.00M,53.70M,-76.40M,-35.70M,82.60M,-20.10M,84.10M,-0.20M,538.60M,2009-12,-81.70M,3.80M,-77.90M,-480.10M,-0.60M,5.90M,-552.70M,,-182.50M,-7.70M,-190.20M,36.90M,0.00,36.90M,,,,0.90M,-152.40M,,1.746B,-166.50M,-26.50M,1.564B,2009-12,36.90M,744.00M,-934.20M,0.00,,2009-12,Restated
2009-09,221.20M,,,,,195.50M,195.50M,-65.00M,-11.30M,20.60M,-0.40M,33.50M,5.90M,34.00M,-3.10M,-17.30M,2.40M,-29.20M,-7.30M,-0.20M,386.60M,2009-09,-42.80M,2.00M,-40.80M,-9.50M,0.20M,-8.10M,-58.20M,,-0.30M,-13.80M,-14.10M,5.60M,0.00,5.60M,,,,0.40M,-8.10M,,1.417B,320.30M,8.00M,1.746B,2009-09,5.60M,0.10M,-13.80M,0.00,,2009-09,Restated
2009-06,206.90M,,,-190.30M,,194.30M,194.30M,-60.90M,11.30M,20.60M,-0.70M,11.40M,12.40M,32.30M,-46.90M,5.70M,-8.10M,-2.50M,-7.10M,-0.50M,375.30M,2009-06,-31.80M,4.20M,-27.60M,-127.30M,0.40M,1.60M,-152.90M,,0.60M,-0.20M,0.40M,6.70M,-414.60M,-407.90M,,,,0.70M,-406.80M,,1.561B,-184.40M,40.70M,1.417B,2009-06,6.70M,0.10M,-0.10M,-414.60M,,2009-06,Restated
2009-03,148.90M,,,190.30M,,190.30M,190.30M,-56.70M,,15.20M,-0.60M,16.70M,29.00M,-11.80M,81.50M,28.90M,-76.90M,-5.60M,45.10M,-0.20M,358.70M,2009-03,-51.20M,3.40M,-47.80M,-16.00M,0.00,-1.90M,-65.70M,,3.40M,0.60M,4.00M,5.20M,,5.20M,,,,0.60M,9.80M,,1.280B,302.80M,-22.20M,1.561B,2009-03,5.20M,4.00M,,,,2009-03,Restated
2008-12,287.50M,,,,,194.40M,194.40M,-13.40M,,13.60M,-5.30M,31.60M,22.30M,48.00M,-80.40M,-15.30M,-17.80M,-4.40M,-47.60M,-0.50M,460.30M,2008-12,-104.60M,5.60M,-99.00M,93.30M,0.00,-144.50M,-150.20M,,-133.50M,3.90M,-129.60M,3.40M,-85.40M,-82.00M,,,,5.30M,-206.30M,,1.240B,103.80M,-63.60M,1.280B,2008-12,3.40M,,-129.60M,-85.40M,,2008-12,Restated
2008-09,205.40M,,,,,199.70M,199.70M,-57.90M,,43.50M,-20.10M,17.20M,28.10M,-33.50M,-6.60M,-25.30M,-14.20M,31.60M,-19.90M,2.50M,370.40M,2008-09,-50.50M,4.30M,-46.20M,-251.80M,0.00,138.30M,-152.20M,,-2.60M,-19.30M,-6.30M,32.60M,0.00,32.60M,,,,7.90M,34.20M,,1.007B,252.40M,-19.00M,1.240B,2008-09,32.60M,,-21.90M,0.00,,2008-09,Restated
2008-06,249.50M,,,,,199.80M,199.80M,-51.80M,,,,6.20M,-5.10M,-19.50M,-82.40M,29.60M,67.90M,-43.90M,-53.40M,-3.80M,346.50M,2008-06,-55.20M,4.70M,-50.50M,-35.70M,0.00,-5.00M,-91.00M,,,,-14.30M,20.60M,0.00,20.60M,,,,5.10M,11.40M,,734.00M,266.90M,6.00M,1.007B,2008-06,20.60M,,,0.00,,2008-06,
2008-03,233.00M,,,,,198.80M,198.80M,-8.30M,,,,16.10M,-96.20M,-44.60M,45.50M,-29.60M,-67.90M,-4.00M,-196.80M,0.20M,243.00M,2008-03,-54.10M,0.80M,-53.30M,-3.80M,0.50M,-0.20M,-56.60M,,,,-1.30M,28.50M,-102.00M,-73.50M,,,,7.10M,-67.70M,,625.10M,118.70M,-9.80M,734.00M,2008-03,28.50M,,,-102.00M,,2008-03,
2007-12,239.80M,,,,,196.80M,196.80M,-80.30M,,,,-57.70M,47.10M,51.30M,-4.30M,9.40M,183.20M,,232.50M,-4.80M,535.30M,2007-12,-57.30M,4.30M,-53.00M,-397.00M,-0.10M,-0.10M,-450.20M,,,,-5.10M,36.90M,-357.80M,-320.90M,,,,32.80M,-293.20M,,830.80M,-208.10M,2.40M,625.10M,2007-12,36.90M,,,-357.80M,,2007-12,
