,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,,SECFilingLinks,AsOriginallyReported,Restated
2016-12,,786.00M,,786.00M,3.049B,,3.427B,466.00M,328.00M,1.419B,,2.213B,,595.00M,7.021B,0.00,306.00M,1.154B,2.956B,4.416B,-1.838B,2.578B,21.33B,13.97B,35.30B,1.012B,38.89B,45.91B,,2016-12,926.00M,2.199B,3.125B,,1.255B,,1.255B,486.00M,486.00M,,,4.866B,15.37B,15.37B,2.557B,2.557B,,1.573B,19.50B,24.37B,,2016-12,12.14B,2.306B,,,,,2016-12,AOR,Restated
2016-09,,1.97B,,1.97B,2.895B,,2.895B,498.10M,367.30M,1.526B,,2.391B,,948.40M,8.204B,0.00,291.20M,1.119B,3.055B,4.465B,-1.866B,2.599B,21.58B,14.52B,36.10B,1.105B,39.81B,48.01B,,2016-09,965.40M,1.830B,2.796B,,1.972B,,1.972B,492.20M,492.20M,,,5.260B,16.94B,16.94B,2.715B,2.715B,,1.437B,21.09B,26.35B,,2016-09,12.10B,2.055B,,,,,2016-09,AOR,Restated
2016-06,,663.10M,,663.10M,2.709B,,2.709B,437.50M,266.40M,1.382B,,2.086B,,872.50M,6.331B,0.00,268.70M,1.075B,2.927B,4.271B,-1.820B,2.452B,19.55B,12.84B,32.39B,1.082B,35.92B,42.25B,,2016-06,868.30M,1.786B,2.654B,,2.516B,,2.516B,358.50M,358.50M,,,5.528B,11.63B,11.63B,2.482B,2.482B,,1.348B,15.46B,20.99B,,2016-06,12.02B,2.027B,,,,,2016-06,AOR,Restated
2016-03,,826.80M,,826.80M,2.668B,,2.668B,467.90M,259.70M,1.427B,,2.155B,,889.00M,6.539B,0.00,277.50M,1.076B,2.878B,4.231B,-1.748B,2.483B,19.63B,13.24B,32.87B,1.060B,36.41B,42.95B,,2016-03,908.70M,1.671B,2.579B,,3.383B,,3.383B,360.50M,360.50M,,,6.323B,11.65B,11.65B,2.694B,2.694B,,1.358B,15.71B,22.03B,,2016-03,11.92B,2.026B,,,,,2016-03,AOR,Restated
2015-12,,452.10M,,452.10M,2.545B,,2.763B,421.10M,236.80M,1.334B,,1.992B,,534.40M,5.741B,0.00,276.40M,1.050B,2.787B,4.114B,-1.665B,2.449B,18.83B,12.76B,31.59B,1.058B,35.09B,40.83B,,2015-12,1.035B,1.742B,2.777B,,1.052B,,1.052B,317.90M,317.90M,,,4.146B,11.42B,11.42B,2.623B,2.623B,,1.295B,15.34B,19.48B,,2015-12,11.80B,1.008B,,,,,2015-12,AOR,Restated
2015-09,,503.40M,,503.40M,2.544B,,2.544B,460.80M,241.20M,1.285B,,1.987B,263.30M,728.10M,6.026B,0.00,278.90M,987.30M,2.766B,4.032B,-1.640B,2.392B,18.75B,13.02B,31.76B,967.60M,35.12B,41.15B,,2015-09,834.70M,1.546B,2.380B,,3.034B,,3.034B,320.90M,320.90M,,,5.735B,10.28B,10.28B,3.032B,3.032B,,1.252B,14.56B,20.30B,,2015-09,11.73B,1.007B,,,,,2015-09,AOR,Restated
2015-06,,768.40M,2.00M,770.40M,2.631B,,2.631B,470.90M,233.40M,1.258B,,1.962B,283.50M,589.40M,6.237B,0.00,279.40M,979.10M,2.733B,3.992B,-1.585B,2.407B,18.81B,13.38B,32.19B,940.30M,35.54B,41.77B,,2015-06,860.00M,1.546B,2.406B,,3.360B,,3.360B,334.30M,334.30M,,,6.100B,10.66B,10.66B,3.135B,3.135B,,1.196B,14.99B,21.09B,,2015-06,11.67B,988.70M,,,,,2015-06,AOR,Restated
2015-03,,864.60M,8.40M,873.00M,2.538B,,2.538B,459.60M,220.70M,1.218B,,1.899B,299.40M,571.30M,6.180B,0.00,280.20M,955.60M,2.633B,3.869B,-1.485B,2.384B,18.73B,13.62B,32.36B,937.20M,35.68B,41.86B,,2015-03,866.70M,1.501B,2.368B,,4.161B,,4.161B,332.90M,332.90M,,,6.861B,10.70B,10.70B,3.223B,3.223B,,1.162B,15.08B,21.94B,,2015-03,11.61B,988.20M,,,,,2015-03,AOR,Restated
2014-12,,1.344B,,1.344B,2.474B,,2.474B,441.60M,207.60M,1.210B,,1.860B,303.30M,559.90M,6.540B,0.00,281.80M,955.10M,2.632B,3.869B,-1.442B,2.426B,18.84B,14.11B,32.95B,933.10M,36.31B,42.85B,,2014-12,985.80M,1.840B,2.826B,,2.212B,,2.212B,311.90M,311.90M,,,5.350B,12.35B,12.35B,3.431B,3.431B,,1.172B,16.95B,22.30B,,2014-12,11.47B,455.90M,,,,,2014-12,AOR,Restated
2014-09,,534.30M,9.30M,543.60M,2.507B,,2.507B,444.30M,216.90M,1.252B,,1.914B,230.60M,524.90M,5.720B,0.00,287.20M,996.60M,2.550B,3.834B,-1.428B,2.406B,19.05B,14.70B,33.75B,819.70M,36.97B,42.69B,,2014-09,1.142B,1.666B,2.808B,,3.088B,,3.088B,325.90M,325.90M,,,6.222B,11.39B,11.39B,3.473B,3.473B,,1.096B,15.96B,22.18B,,2014-09,11.42B,455.40M,,,,,2014-09,AOR,Restated
2014-06,,584.90M,21.00M,605.90M,2.660B,,2.660B,461.30M,217.20M,1.255B,,1.934B,237.50M,507.10M,5.944B,0.00,294.90M,1.025B,2.569B,3.890B,-1.418B,2.472B,19.44B,15.62B,35.06B,836.10M,38.37B,44.31B,,2014-06,1.143B,1.675B,2.818B,,3.075B,,3.075B,342.50M,342.50M,,,6.236B,12.50B,12.50B,3.788B,3.788B,,1.129B,17.42B,23.65B,,2014-06,11.35B,443.10M,,,,,2014-06,AOR,Restated
2014-03,,1.497B,25.50M,1.523B,2.696B,,2.696B,452.10M,218.60M,1.390B,,2.060B,230.10M,797.30M,7.306B,0.00,294.60M,1.013B,2.528B,3.836B,-1.347B,2.489B,19.53B,15.98B,35.51B,833.00M,38.83B,46.13B,,2014-03,1.231B,1.658B,2.889B,,2.166B,,2.166B,336.60M,336.60M,,,5.392B,15.20B,15.20B,3.986B,3.986B,,1.129B,20.31B,25.70B,,2014-03,11.29B,442.60M,,,,,2014-03,AOR,Restated
2013-12,,5.826B,4.50M,5.830B,1.942B,,1.942B,347.40M,157.70M,989.40M,,1.494B,192.50M,420.90M,9.881B,0.00,212.20M,821.00M,2.048B,3.081B,-1.314B,1.767B,12.50B,7.071B,19.57B,640.70M,21.98B,31.86B,,2013-12,691.50M,1.248B,1.939B,,987.70M,,987.70M,198.90M,198.90M,,,3.126B,9.500B,9.500B,1.610B,1.610B,,771.80M,11.88B,15.01B,,2013-12,8.223B,412.20M,,,,,2013-12,AOR,Restated
2013-09,,1.846B,4.20M,1.850B,1.945B,,1.945B,373.20M,177.20M,996.40M,,1.547B,181.60M,687.10M,6.210B,0.00,213.30M,806.60M,1.973B,2.993B,-1.284B,1.709B,12.50B,7.248B,19.74B,609.90M,22.06B,28.27B,,2013-09,672.70M,1.189B,1.862B,,393.60M,,393.60M,197.90M,197.90M,,,2.453B,6.718B,6.718B,1.853B,1.853B,,811.70M,9.382B,11.84B,,2013-09,10.81B,3.110B,,,,,2013-09,AOR,Restated
2013-06,,1.409B,4.20M,1.413B,1.902B,,1.902B,365.40M,169.50M,952.20M,,1.487B,180.30M,659.50M,5.642B,0.00,211.70M,798.50M,1.888B,2.898B,-1.210B,1.689B,12.39B,7.330B,19.72B,578.80M,21.99B,27.63B,,2013-06,648.90M,1.106B,1.754B,,393.30M,,393.30M,215.20M,215.20M,,,2.363B,6.721B,6.721B,1.946B,1.946B,,796.90M,9.464B,11.83B,,2013-06,10.74B,3.106B,,,,,2013-06,AOR,Restated
2013-03,,1.004B,4.20M,1.008B,1.904B,,1.904B,363.50M,162.50M,948.60M,,1.475B,182.00M,566.70M,5.136B,0.00,211.70M,794.90M,1.843B,2.849B,-1.164B,1.686B,12.44B,7.561B,20.00B,583.80M,22.27B,27.41B,,2013-03,660.60M,1.022B,1.683B,,394.00M,,394.00M,226.10M,226.10M,,,2.303B,6.724B,6.724B,1.998B,1.998B,,786.40M,9.508B,11.81B,,2013-03,10.64B,3.106B,,,,,2013-03,AOR,Restated
2012-12,,805.60M,4.30M,809.90M,1.805B,,1.805B,362.00M,149.70M,931.60M,,1.443B,182.00M,594.70M,4.835B,0.00,216.60M,805.50M,1.830B,2.852B,-1.126B,1.726B,12.47B,7.804B,20.28B,604.40M,22.61B,27.44B,,2012-12,641.40M,1.162B,1.804B,,93.10M,,93.10M,196.50M,196.50M,,,2.093B,7.031B,7.031B,2.047B,2.047B,,808.20M,9.887B,11.98B,,2012-12,10.50B,2.997B,,,,,2012-12,AOR,Restated
2012-09,,832.20M,4.30M,836.50M,1.829B,,1.829B,380.50M,163.40M,973.10M,,1.517B,197.80M,566.80M,4.947B,0.00,213.80M,789.10M,1.751B,2.754B,-1.084B,1.670B,12.43B,7.972B,20.41B,554.80M,22.63B,27.58B,,2012-09,684.30M,816.30M,1.501B,,434.80M,,434.80M,208.40M,208.40M,,,2.522B,7.038B,7.038B,2.009B,2.009B,,718.20M,9.765B,12.29B,,2012-09,10.35B,2.647B,,,,,2012-09,AOR,Restated
2012-06,,732.30M,4.30M,736.60M,1.804B,,1.804B,346.40M,142.80M,901.50M,,1.391B,177.90M,558.30M,4.667B,0.00,179.10M,752.70M,1.721B,2.652B,-1.050B,1.602B,12.03B,7.516B,19.55B,545.50M,21.69B,26.36B,,2012-06,652.60M,749.20M,1.402B,,786.20M,,786.20M,215.30M,215.30M,,,2.703B,5.746B,5.746B,2.108B,2.108B,,709.70M,8.564B,11.27B,,2012-06,10.26B,2.246B,,,,,2012-06,AOR,Restated
2012-03,,788.30M,4.30M,792.60M,1.895B,,1.895B,367.90M,153.50M,900.90M,,1.422B,160.10M,499.70M,4.770B,0.00,190.10M,783.80M,1.707B,2.681B,-1.015B,1.665B,12.08B,7.739B,19.82B,564.30M,22.05B,26.82B,,2012-03,691.40M,700.60M,1.392B,,924.20M,,924.20M,227.40M,227.40M,,,2.845B,5.751B,5.751B,2.219B,2.219B,,718.60M,8.688B,11.53B,,2012-03,10.23B,2.146B,,,,,2012-03,AOR,Restated
2011-12,,1.016B,4.30M,1.021B,1.764B,,1.764B,335.20M,129.30M,865.60M,,1.330B,157.80M,549.70M,4.822B,0.00,179.90M,747.40M,1.648B,2.575B,-963.60M,1.611B,11.97B,7.816B,19.79B,611.30M,22.01B,26.83B,,2011-12,612.30M,1.036B,1.648B,,1.273B,,1.273B,192.50M,192.50M,,,3.113B,5.755B,5.755B,2.229B,2.229B,,698.00M,8.682B,11.80B,,2011-12,10.15B,1.837B,,,,,2011-12,AOR,Restated
2011-09,,890.30M,8.00M,898.30M,1.811B,,1.811B,363.70M,147.10M,895.30M,,1.406B,204.10M,415.10M,4.735B,,,,,2.594B,-965.20M,1.629B,12.00B,8.059B,20.06B,565.30M,22.26B,26.99B,,2011-09,610.60M,643.90M,1.254B,,1.019B,,1.019B,192.60M,192.60M,,,2.792B,6.115B,6.115B,2.262B,2.262B,,625.40M,9.003B,11.80B,,2011-09,10.13B,1.487B,,,,,2011-09,AOR,Restated
2011-06,,1.356B,7.60M,1.364B,1.683B,,1.683B,321.40M,139.30M,889.70M,,1.350B,195.20M,412.00M,5.005B,,,,,2.493B,-983.10M,1.510B,10.37B,6.651B,17.02B,536.20M,19.07B,24.07B,,2011-06,664.00M,666.50M,1.330B,,18.50M,,18.50M,205.00M,205.00M,,,1.817B,4.009B,4.009B,1.957B,1.957B,,625.70M,6.591B,8.408B,,2011-06,10.09B,1.262B,,,,,2011-06,AOR,Restated
2011-03,,2.789B,5.20M,2.794B,1.566B,,1.566B,297.30M,136.80M,829.90M,,1.264B,183.80M,382.10M,6.189B,,,,,2.283B,-894.40M,1.389B,9.038B,5.857B,14.90B,957.30M,17.24B,23.43B,,2011-03,649.30M,552.90M,1.202B,,2.499B,,2.499B,193.20M,193.20M,,,4.146B,1.801B,1.801B,1.606B,1.606B,,623.10M,4.030B,8.176B,,2011-03,10.09B,1.037B,,,,,2011-03,AOR,Restated
2010-12,,917.10M,8.90M,926.00M,1.474B,,1.474B,309.20M,108.40M,755.30M,,1.173B,181.30M,381.00M,4.135B,0.00,142.90M,667.40M,1.389B,2.199B,-839.00M,1.360B,8.996B,5.914B,14.91B,944.80M,17.21B,21.35B,,2010-12,546.70M,594.60M,1.141B,,105.80M,,105.80M,158.20M,158.20M,,,1.710B,2.031B,2.031B,1.626B,1.626B,,621.20M,4.279B,5.988B,,2010-12,10.02B,490.50M,,,,,2010-12,AOR,Restated
2010-06,,1.307B,9.20M,1.317B,1.472B,,1.472B,282.70M,120.50M,745.30M,,1.148B,162.90M,247.50M,4.348B,,,,,2.088B,-790.80M,1.298B,9.100B,6.053B,15.15B,482.10M,16.93B,21.28B,,2010-06,584.60M,248.90M,833.50M,,106.00M,,106.00M,163.80M,163.80M,,512.70M,1.616B,2.028B,2.028B,1.752B,1.752B,,539.70M,4.320B,5.936B,,2010-06,11.02B,770.90M,,,,,2010-06,AOR,Restated
2010-03,,1.432B,8.50M,1.440B,1.494B,,1.494B,269.30M,121.40M,763.90M,,1.155B,161.00M,279.00M,4.529B,,,,,2.078B,-766.20M,1.312B,9.109B,6.239B,15.35B,436.40M,17.10B,21.62B,,2010-03,659.70M,799.40M,1.459B,,148.80M,,148.80M,167.80M,167.80M,,,1.776B,1.930B,1.930B,1.898B,1.898B,,541.00M,4.369B,6.145B,,2010-03,11.10B,583.10M,,,,,2010-03,AOR,Restated
2009-12,,1.564B,7.10M,1.571B,1.410B,,1.410B,262.80M,115.50M,753.10M,,1.131B,160.00M,258.70M,4.531B,0.00,146.20M,674.60M,1.251B,2.072B,-738.40M,1.333B,8.983B,6.337B,15.32B,440.80M,17.09B,21.62B,,2009-12,562.00M,820.00M,1.382B,,117.50M,,117.50M,139.80M,139.80M,,,1.639B,2.066B,2.066B,1.934B,1.934B,,555.10M,4.555B,6.194B,,2009-12,11.14B,576.50M,,,,,2009-12,AOR,Restated
2009-09,,1.746B,10.60M,1.756B,1.482B,,1.482B,291.80M,123.50M,754.30M,,1.170B,162.30M,227.40M,4.798B,,,,,1.976B,-703.70M,1.272B,8.789B,6.144B,14.93B,416.00M,16.62B,21.42B,,2009-09,619.60M,764.60M,1.384B,,70.10M,,70.10M,139.50M,139.50M,,,1.594B,1.965B,1.965B,1.874B,1.874B,,586.90M,4.425B,6.019B,,2009-09,11.39B,574.20M,,,,,2009-09,AOR,Restated
2009-06,,1.417B,9.30M,1.427B,1.470B,,1.470B,315.30M,127.10M,742.70M,161.30M,1.346B,,223.50M,4.467B,,,,,1.936B,-663.90M,1.272B,8.770B,6.259B,15.03B,387.80M,16.69B,21.16B,,2009-06,634.60M,724.10M,1.359B,,16.30M,,16.30M,148.60M,148.60M,,,1.524B,2.028B,2.028B,1.921B,1.921B,,606.20M,4.556B,6.079B,,2009-06,11.36B,570.40M,,,,,2009-06,AOR,Restated
2009-03,,1.561B,9.00M,1.570B,1.423B,,1.423B,305.00M,126.30M,730.40M,,1.162B,152.40M,212.00M,4.519B,,,,,1.853B,-603.60M,1.249B,8.663B,6.231B,14.89B,370.60M,16.51B,21.03B,,2009-03,661.50M,676.90M,1.338B,,15.60M,,15.60M,145.60M,145.60M,,,1.500B,2.024B,2.024B,1.928B,1.928B,,588.20M,4.541B,6.041B,,2009-03,11.33B,155.60M,,,,,2009-03,AOR,Restated
2008-12,,1.280B,7.50M,1.288B,1.478B,,1.478B,310.60M,120.30M,740.50M,,1.171B,161.70M,246.70M,4.346B,0.00,143.40M,593.00M,1.118B,1.855B,-579.50M,1.275B,8.678B,6.423B,15.10B,367.90M,16.74B,21.09B,,2008-12,572.40M,817.70M,1.390B,,,14.80M,14.80M,135.30M,135.30M,,,1.540B,2.027B,2.027B,1.994B,1.994B,,601.70M,4.623B,6.164B,,2008-12,11.30B,151.30M,,,,,2008-12,,Restated
2008-09,,1.240B,9.20M,1.250B,1.543B,,1.543B,330.10M,134.90M,795.40M,,1.260B,165.40M,224.30M,4.443B,,,,,1.836B,-568.60M,1.268B,8.745B,6.721B,15.47B,422.90M,17.16B,21.60B,,2008-09,636.50M,922.50M,1.559B,,138.80M,,138.80M,142.20M,142.20M,,,1.84B,2.043B,2.043B,2.117B,2.117B,,464.20M,4.624B,6.464B,,2008-09,11.25B,64.70M,,,,,2008-09,,Restated
2008-06,,1.007B,13.50M,1.020B,1.599B,,1.599B,348.40M,117.80M,797.90M,,1.264B,167.90M,248.00M,4.300B,,,,,1.852B,-547.10M,1.304B,8.718B,6.950B,15.67B,408.50M,17.38B,21.68B,,2008-06,653.00M,925.40M,1.578B,,145.30M,,145.30M,156.40M,156.40M,,,1.880B,2.044B,2.044B,2.20B,2.20B,,486.40M,4.731B,6.611B,,2008-06,12.39B,1.282B,,,,,2008-06,,
2008-03,,734.00M,14.10M,748.10M,1.586B,,1.586B,323.40M,137.70M,785.60M,,1.247B,168.50M,239.80M,3.989B,,,,,1.802B,-504.90M,1.298B,8.718B,7.091B,15.81B,402.60M,17.51B,21.50B,,2008-03,729.20M,875.30M,1.604B,,150.80M,,150.80M,153.90M,153.90M,,,1.909B,2.046B,2.046B,2.256B,2.256B,,501.00M,4.803B,6.712B,,2008-03,12.34B,1.282B,,,,,2008-03,,
2007-12,,625.10M,14.10M,639.20M,1.45B,,1.45B,316.50M,118.40M,735.00M,,1.170B,195.80M,210.40M,3.665B,0.00,140.00M,536.10M,1.040B,1.716B,-449.10M,1.267B,8.713B,7.158B,15.87B,403.70M,17.54B,21.21B,,2007-12,676.90M,946.90M,1.624B,,149.30M,,149.30M,128.50M,128.50M,,,1.902B,2.046B,2.046B,2.280B,2.280B,,491.70M,4.818B,6.719B,,2007-12,12.28B,1.157B,,394.50M,-6.10M,,2007-12,,
2007-09,,830.80M,15.40M,846.20M,1.458B,,1.458B,321.60M,131.60M,753.00M,,1.206B,159.30M,238.60M,3.908B,,,,,1.637B,-398.20M,1.239B,8.549B,7.097B,15.65B,379.30M,17.26B,21.17B,,2007-09,661.50M,818.90M,1.480B,,19.60M,,19.60M,130.90M,130.90M,,,1.631B,2.181B,2.181B,2.366B,2.366B,,552.00M,5.099B,6.730B,,2007-09,12.20B,795.00M,,,,,2007-09,,
