,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,9.693B,9.693B,7.111B,2.582B,56.00M,446.00M,371.00M,-371.00M,,1.537B,1.045B,371.00M,-371.00M,28.00M,-371.00M,702.00M,59.00M,636.00M,,,-51.00M,,585.00M,533.70M,2.574B,1.501B,1.073B,0.61,,,,0.5569,0.61,0.6,,,,0.547,0.6,966.00M,968.00M,0.345
2017-12,8.378B,8.378B,5.875B,2.503B,212.00M,418.00M,366.00M,-366.00M,,1.432B,1.071B,366.00M,-366.00M,516.00M,-366.00M,1.221B,-727.00M,1.941B,,,-69.00M,,1.872B,1.745B,3.015B,1.428B,1.587B,1.94,,,,1.808,1.94,1.94,,,,1.808,1.94,965.00M,967.00M,0.3275
2017-09,8.768B,8.768B,5.817B,2.951B,6.00M,456.00M,386.00M,-386.00M,,1.458B,1.493B,386.00M,-386.00M,216.00M,-386.00M,1.323B,451.00M,865.00M,,,-42.00M,,823.00M,819.05M,3.117B,1.408B,1.709B,0.86,,,,0.8559,0.86,0.85,,,,0.8459,0.85,962.00M,965.00M,0.3275
2017-06,7.665B,7.665B,6.031B,1.634B,1.00M,420.00M,436.00M,-436.00M,,1.335B,299.00M,436.00M,-436.00M,178.00M,-436.00M,41.00M,-62.00M,94.00M,,,1.00M,,95.00M,94.40M,1.794B,1.317B,477.00M,0.1,,,,0.0994,0.1,0.1,,,,0.0994,0.1,934.00M,936.00M,0.3275
2017-03,8.747B,8.747B,6.337B,2.41B,230.00M,436.00M,373.00M,-373.00M,,1.332B,1.078B,373.00M,-373.00M,487.00M,-373.00M,1.192B,211.00M,971.00M,,,19.00M,,990.00M,800.71M,2.839B,1.274B,1.565B,1.07,,,,0.866,1.07,1.06,,,,0.8565,1.06,928.00M,930.00M,0.3275
2016-12,7.88B,7.88B,5.455B,2.425B,-89.00M,408.00M,357.00M,-357.00M,,1.523B,902.00M,357.00M,-357.00M,-169.00M,-357.00M,376.00M,128.00M,240.00M,,,-49.00M,,191.00M,249.70M,2.30B,1.567B,733.00M,0.22,,,,0.2835,0.22,0.22,,,,0.2831,0.22,924.00M,930.00M,0.318
2016-09,9.002B,9.002B,6.092B,2.91B,1.00M,449.00M,516.00M,-516.00M,,1.644B,1.266B,516.00M,-516.00M,121.00M,-516.00M,871.00M,340.00M,526.00M,,,-36.00M,,490.00M,489.39M,3.00B,1.613B,1.387B,0.53,,,,0.5293,0.53,0.53,,,,0.5293,0.53,925.00M,927.00M,0.318
2016-06,6.91B,6.91B,4.959B,1.951B,31.00M,394.00M,376.00M,-376.00M,,1.335B,616.00M,376.00M,-376.00M,175.00M,-376.00M,415.00M,102.00M,306.00M,,,-39.00M,,267.00M,243.63M,2.124B,1.333B,791.00M,0.29,,,,0.2647,0.29,0.29,,,,0.2648,0.29,924.00M,926.00M,0.318
2016-03,7.573B,7.573B,6.089B,1.484B,9.00M,325.00M,287.00M,-287.00M,,1.01B,474.00M,287.00M,-287.00M,123.00M,-287.00M,310.00M,184.00M,123.00M,,,50.00M,,173.00M,167.60M,1.66B,1.063B,597.00M,0.19,,,,0.1842,0.19,0.19,,,,0.1842,0.19,923.00M,925.00M,0.31
2015-12,6.701B,6.701B,5.077B,1.624B,8.00M,292.00M,278.00M,-278.00M,,924.00M,700.00M,278.00M,-278.00M,141.00M,-278.00M,563.00M,268.00M,291.00M,,,,,310.00M,305.20M,1.898B,1.057B,841.00M,0.34,,,,0.3348,0.34,0.33,,,,0.3248,0.33,923.00M,923.00M,0.31
2015-09,7.401B,7.401B,5.287B,2.114B,2.00M,310.00M,253.00M,-253.00M,,916.00M,1.198B,253.00M,-253.00M,-242.00M,-253.00M,703.00M,115.00M,587.00M,,,42.00M,,629.00M,627.33M,1.929B,973.00M,956.00M,0.69,,,,0.6882,0.69,0.69,,,,0.6882,0.69,913.00M,915.00M,0.31
2015-06,6.514B,6.514B,4.491B,2.023B,7.00M,294.00M,155.00M,-155.00M,,896.00M,1.127B,155.00M,-155.00M,-10.00M,-155.00M,962.00M,327.00M,633.00M,,,5.00M,,638.00M,633.38M,2.126B,1.009B,1.117B,0.74,,,,0.7346,0.74,0.74,,,,0.7347,0.74,863.00M,866.00M,0.31
2015-03,8.83B,8.83B,6.551B,2.279B,1.00M,304.00M,345.00M,-345.00M,,914.00M,1.365B,345.00M,-345.00M,81.00M,-345.00M,1.101B,363.00M,738.00M,,,-45.00M,,693.00M,692.33M,2.394B,948.00M,1.446B,0.8,,,,0.7992,0.8,0.8,,,,0.7992,0.8,862.00M,867.00M,0.31
2014-12,7.256B,7.256B,6.167B,1.089B,109.00M,267.00M,343.00M,-343.00M,,849.00M,240.00M,343.00M,-343.00M,218.00M,-343.00M,115.00M,20.00M,95.00M,,,-76.00M,,19.00M,-71.04M,1.47B,1.012B,458.00M,0.02,,,,-0.0847,0.02,0.02,,,,-0.0839,0.02,860.00M,867.00M,0.31
2014-09,6.912B,6.912B,4.63B,2.282B,339.00M,306.00M,258.00M,-258.00M,,883.00M,1.399B,258.00M,-258.00M,355.00M,-258.00M,1.496B,422.00M,1.074B,,,-81.00M,,993.00M,749.60M,2.685B,931.00M,1.754B,1.15,,,,0.8673,1.15,1.15,,,,0.868,1.15,861.00M,863.00M,0.31
2014-06,6.024B,6.024B,4.578B,1.446B,274.00M,288.00M,238.00M,-238.00M,,878.00M,568.00M,238.00M,-238.00M,504.00M,-238.00M,834.00M,277.00M,557.00M,,,-35.00M,,522.00M,338.97M,2.089B,1.017B,1.072B,0.61,,,,0.3972,0.61,0.6,,,,0.3882,0.6,860.00M,864.00M,0.31
2014-03,7.237B,7.237B,6.198B,1.039B,5.00M,293.00M,227.00M,-227.00M,,857.00M,182.00M,227.00M,-227.00M,84.00M,-227.00M,39.00M,-54.00M,93.00M,,,-3.00M,,90.00M,86.75M,1.174B,908.00M,266.00M,0.1,,,,0.0962,0.1,0.1,,,,0.0962,0.1,858.00M,861.00M,0.31
2013-12,6.163B,6.163B,4.46B,1.703B,,270.00M,246.00M,-246.00M,,817.00M,886.00M,246.00M,-246.00M,165.00M,-246.00M,805.00M,311.00M,494.00M,,,1.00M,,495.00M,495.00M,1.986B,935.00M,1.051B,0.58,,,,0.58,0.58,0.58,,,,0.58,0.58,856.00M,860.00M,0.31
2013-09,6.502B,6.502B,4.478B,2.024B,,277.00M,234.00M,-234.00M,,807.00M,1.217B,234.00M,-234.00M,192.00M,-234.00M,1.175B,439.00M,736.00M,,,2.00M,,738.00M,738.00M,2.281B,872.00M,1.409B,0.86,,,,0.86,0.86,0.86,,,,0.86,0.86,857.00M,860.00M,0.31
2013-06,6.141B,6.141B,4.311B,1.83B,,271.00M,252.00M,-252.00M,,804.00M,1.026B,252.00M,-252.00M,-38.00M,-252.00M,736.00M,239.00M,497.00M,,,-7.00M,,490.00M,490.00M,1.943B,955.00M,988.00M,0.57,,,,0.57,0.57,0.57,,,,0.57,0.57,856.00M,860.00M,0.31
2013-03,6.082B,6.082B,4.745B,1.337B,,277.00M,623.00M,-623.00M,,820.00M,517.00M,623.00M,-623.00M,163.00M,-623.00M,57.00M,56.00M,1.00M,,,-5.00M,,-4.00M,-4.00M,1.697B,1.017B,680.00M,-0.01,,,,-0.01,-0.01,-0.01,,,,-0.01,-0.01,855.00M,855.00M,0.525
2012-12,6.254B,6.254B,4.741B,1.513B,,282.00M,231.00M,-231.00M,,787.00M,726.00M,231.00M,-231.00M,71.00M,-231.00M,566.00M,182.00M,384.00M,,,-6.00M,,378.00M,378.00M,1.967B,1.17B,797.00M,0.45,,,,0.45,0.45,0.45,,,,0.45,0.45,852.00M,858.00M,0.525
2012-09,6.579B,6.579B,5.196B,1.383B,,290.00M,246.00M,-246.00M,,790.00M,593.00M,246.00M,-246.00M,111.00M,-246.00M,458.00M,161.00M,297.00M,,,-1.00M,,296.00M,296.00M,1.718B,1.014B,704.00M,0.35,,,,0.35,0.35,0.35,,,,0.35,0.35,854.00M,857.00M,0.525
2012-06,5.966B,5.966B,4.447B,1.519B,,254.00M,256.00M,-256.00M,,748.00M,771.00M,256.00M,-256.00M,-100.00M,-256.00M,415.00M,126.00M,289.00M,,,-3.00M,,286.00M,286.00M,1.79B,1.119B,671.00M,0.34,,,,0.34,0.34,0.33,,,,0.33,0.33,853.00M,856.00M,0.3792
2012-03,4.69B,4.69B,3.733B,957.00M,,194.00M,195.00M,-195.00M,,576.00M,381.00M,195.00M,-195.00M,172.00M,-195.00M,358.00M,158.00M,200.00M,,,0.00,,200.00M,200.00M,1.329B,776.00M,553.00M,0.28,,,,0.28,0.28,0.28,,,,0.28,0.28,705.00M,707.00M,0.6708
2011-12,4.358B,4.358B,6.615B,-2.257B,,183.00M,181.00M,-181.00M,,-3.32B,1.063B,181.00M,-181.00M,148.00M,-181.00M,1.03B,423.00M,607.00M,,,-1.00M,,606.00M,606.00M,1.825B,614.00M,1.211B,0.91,,,,0.91,0.91,0.91,,,,0.91,0.91,663.00M,668.00M,0.525
2011-09,5.254B,5.254B,2.121B,3.133B,-142.00M,207.00M,182.00M,-182.00M,,1.952B,1.181B,182.00M,-182.00M,-142.00M,-182.00M,857.00M,255.00M,602.00M,,,-1.00M,,601.00M,700.75M,1.627B,588.00M,1.039B,0.91,0.0,,,1.06,0.91,0.9,0.0,,,1.05,0.9,663.00M,665.00M,0.525
2011-06,4.496B,4.496B,1.716B,2.78B,101.00M,191.00M,182.00M,-182.00M,,1.746B,1.034B,182.00M,-182.00M,101.00M,-182.00M,953.00M,332.00M,621.00M,,,-1.00M,,620.00M,554.19M,1.697B,562.00M,1.135B,0.93,0.0,,,0.8307,0.93,0.93,0.0,,,0.8309,0.93,663.00M,664.00M,0.525
2011-03,4.956B,4.956B,2.001B,2.955B,94.00M,203.00M,181.00M,-181.00M,,1.753B,1.202B,181.00M,-181.00M,94.00M,-181.00M,1.115B,446.00M,669.00M,,,-1.00M,,668.00M,611.60M,1.848B,552.00M,1.296B,1.01,0.0,,,0.9248,1.01,1.01,0.0,,,0.9251,1.01,662.00M,664.00M,0.525
2010-12,4.494B,4.494B,6.293B,-1.799B,,193.00M,183.00M,-183.00M,,-2.739B,940.00M,183.00M,-183.00M,134.00M,-183.00M,891.00M,367.00M,524.00M,,,,,524.00M,524.00M,1.762B,688.00M,1.074B,0.8,,,,0.8,0.8,0.79,,,,0.79,0.79,661.00M,666.00M,0.525
2010-09,5.291B,5.291B,1.956B,3.335B,206.00M,232.00M,175.00M,-175.00M,,1.969B,1.366B,175.00M,-175.00M,206.00M,-175.00M,1.397B,552.00M,845.00M,,,,,845.00M,720.40M,2.372B,800.00M,1.572B,1.28,0.0,,,1.092,1.28,1.27,0.0,,,1.082,1.27,662.00M,663.00M,0.525
2010-06,4.398B,4.398B,1.527B,2.871B,-122.00M,186.00M,275.00M,-275.00M,,1.853B,1.018B,275.00M,-275.00M,-122.00M,-275.00M,621.00M,176.00M,445.00M,,,,,445.00M,532.42M,1.633B,737.00M,896.00M,0.67,0.0,,,0.8023,0.67,0.67,0.0,,,0.8021,0.67,661.00M,662.00M,0.525
2010-03,4.461B,4.461B,1.259B,3.202B,93.00M,197.00M,183.00M,-183.00M,,1.80B,1.402B,183.00M,-183.00M,93.00M,-183.00M,1.312B,563.00M,749.00M,,,,,749.00M,688.55M,2.213B,718.00M,1.495B,1.13,0.0,,,1.0390000000000001,1.13,1.13,0.0,,,1.0390000000000001,1.13,661.00M,662.00M,0.525
2009-12,4.116B,4.116B,1.241B,2.875B,60.00M,186.00M,176.00M,-176.00M,,1.799B,1.076B,176.00M,-176.00M,54.00M,-176.00M,954.00M,373.00M,581.00M,,,,,581.00M,544.46M,1.796B,666.00M,1.13B,0.88,0.0,,,0.8246,0.88,0.88,0.0,,,0.8251,0.88,659.00M,665.00M,0.525
2009-09,4.339B,4.339B,1.20B,3.139B,148.00M,212.00M,188.00M,-188.00M,1.039B,1.736B,1.403B,188.00M,-188.00M,140.00M,-188.00M,1.355B,598.00M,757.00M,,,,,757.00M,660.80M,2.225B,682.00M,1.543B,1.15,0.0,,,1.004,1.15,1.14,0.0,,,0.9947,1.14,660.00M,662.00M,0.525
2009-06,4.141B,4.141B,1.381B,2.76B,257.00M,180.00M,180.00M,-180.00M,1.125B,1.744B,1.016B,180.00M,-180.00M,251.00M,-180.00M,1.087B,430.00M,657.00M,,,,,657.00M,501.67M,1.898B,631.00M,1.267B,1.0,0.0,,,0.7643,1.0,0.99,0.0,,,0.755,0.99,659.00M,661.00M,0.525
2009-03,4.722B,4.722B,1.459B,3.263B,-37.00M,200.00M,187.00M,-187.00M,1.372B,2.008B,1.255B,187.00M,-187.00M,-45.00M,-187.00M,1.023B,311.00M,712.00M,,,,,712.00M,737.75M,1.832B,622.00M,1.21B,1.08,0.0,,,1.119,1.08,1.08,0.0,,,1.119,1.08,659.00M,661.00M,0.525
2008-12,4.493B,4.493B,1.409B,3.084B,-132.00M,181.00M,,,,1.751B,1.333B,,,-158.00M,,981.00M,295.00M,686.00M,21.00M,,,,707.00M,778.31M,1.483B,583.00M,900.00M,1.04,0.03,,,1.18,1.07,1.04,0.03,,,1.18,1.07,658.00M,659.00M,0.525
2008-09,5.228B,5.228B,2.045B,3.183B,-164.00M,218.00M,,,1.121B,1.77B,1.413B,,,-164.00M,,1.046B,346.00M,700.00M,,,,,700.00M,809.75M,2.698B,1.285B,1.413B,1.06,0.0,,,1.227,1.06,1.06,0.0,,,1.226,1.06,658.00M,662.00M,0.5
2008-06,4.622B,4.622B,1.518B,3.104B,-48.00M,186.00M,,,1.086B,1.674B,1.43B,,,-48.00M,,1.168B,419.00M,749.00M,-1.00M,,,,748.00M,779.78M,1.832B,-112.00M,1.43B,1.14,0.0,,,1.187,1.14,1.13,0.0,,,1.176,1.13,657.00M,662.00M,0.5
2008-03,4.517B,4.517B,1.61B,2.907B,-63.00M,193.00M,,,1.193B,1.784B,1.123B,,,-63.00M,,839.00M,258.00M,581.00M,,,,,581.00M,624.63M,1.675B,552.00M,1.123B,0.88,0.0,,,0.9462,0.88,0.88,0.0,,,0.9457,0.88,659.00M,664.00M,0.5
2007-12,4.554B,4.554B,1.916B,2.638B,350.00M,194.00M,,,1.175B,1.743B,895.00M,,,244.00M,,902.00M,339.00M,563.00M,0.00,,,,563.00M,344.54M,1.789B,540.00M,1.249B,0.85,0.0,,,0.5195,0.85,0.85,0.0,,,0.5225,0.85,661.00M,667.00M,0.44
2007-09,5.032B,5.032B,2.071B,2.961B,80.00M,208.00M,,,994.00M,1.61B,1.351B,,,80.00M,,1.238B,459.00M,779.00M,1.00M,,,,780.00M,728.66M,1.928B,577.00M,1.351B,1.16,0.0,,,1.085,1.16,1.15,0.0,,,1.0759999999999998,1.15,673.00M,678.00M,0.44
2007-06,4.501B,4.501B,1.64B,2.861B,,199.00M,,,1.062B,1.63B,1.231B,,,,,1.017B,314.00M,703.00M,-1.00M,,,,702.00M,703.00M,1.764B,533.00M,1.231B,1.04,0.0,,,1.04,1.04,1.03,0.0,,,1.03,1.03,675.00M,680.00M,0.44
2007-03,4.829B,4.829B,2.015B,2.814B,31.00M,196.00M,,,1.058B,1.623B,1.191B,,,31.00M,,1.015B,334.00M,681.00M,10.00M,,,,691.00M,660.20M,1.724B,533.00M,1.191B,1.01,0.01,,,0.979,1.02,1.01,0.01,,,0.9793,1.02,672.00M,677.00M,0.44
2006-12,3.695B,3.695B,1.212B,2.483B,-82.00M,189.00M,,,794.00M,1.335B,1.148B,,,-82.00M,,870.00M,277.00M,593.00M,-1.00M,,,,592.00M,648.89M,1.659B,511.00M,1.148B,0.88,0.0,,,0.9626,0.88,0.87,0.0,,,0.952,0.87,676.92M,681.79M,0.4
2006-09,4.401B,4.401B,1.485B,2.916B,101.00M,218.00M,,,1.86B,2.478B,438.00M,,,101.00M,,321.00M,366.00M,-45.00M,1.00M,,,,-44.00M,-105.60M,999.00M,561.00M,438.00M,-0.07,0.0,,,-0.1603,-0.07,-0.07,0.0,,,-0.1603,-0.07,671.00M,671.00M,0.4
2006-06,3.697B,3.697B,1.073B,2.624B,25.00M,170.00M,,,881.00M,1.422B,1.202B,,,25.00M,,1.004B,363.00M,641.00M,3.00M,,,,644.00M,625.04M,1.738B,536.00M,1.202B,0.96,0.0,,,0.9362,0.96,0.95,0.0,,,0.9264,0.95,670.00M,676.00M,0.4
2006-03,3.861B,3.861B,1.449B,2.412B,6.00M,194.00M,,,1.037B,1.594B,818.00M,,,6.00M,,600.00M,201.00M,399.00M,1.00M,,,,400.00M,395.01M,1.342B,524.00M,818.00M,0.6,0.0,,,0.594,0.6,0.59,0.0,,,0.5841,0.59,669.00M,675.00M,0.4
2005-12,3.838B,3.838B,1.634B,2.204B,,168.00M,,,2.121B,2.62B,-416.00M,,,,,-631.00M,165.00M,-796.00M,1.00M,,,,-837.00M,-796.00M,74.00M,490.00M,-416.00M,-1.19,0.0,,,-1.19,-1.25,-1.19,0.0,,,-1.19,-1.25,668.36M,686.71M,0.4
2005-09,4.473B,4.473B,1.681B,2.792B,-27.00M,211.00M,,,911.00M,1.48B,1.312B,,,-27.00M,,1.068B,344.00M,724.00M,1.00M,,,,725.00M,742.30M,1.828B,516.00M,1.312B,1.08,0.0,,,1.107,1.08,1.07,0.0,,,1.097,1.07,670.00M,677.00M,0.4
2005-06,3.484B,3.484B,1.14B,2.344B,37.00M,177.00M,,,945.00M,1.447B,897.00M,,,37.00M,,724.00M,207.00M,517.00M,-2.00M,,,1.00M,515.00M,490.58M,1.38B,483.00M,897.00M,0.77,0.0,,,0.7306,0.77,0.76,0.0,,,0.721,0.76,670.00M,677.00M,0.4
2005-03,3.561B,3.561B,1.19B,2.371B,-6.00M,172.00M,,,949.00M,1.44B,931.00M,,,-6.00M,,734.00M,227.00M,507.00M,14.00M,,,,521.00M,511.14M,1.409B,478.00M,931.00M,0.76,0.02,,,0.7662,0.78,0.75,0.02,,,0.7561,0.77,666.00M,675.00M,0.4
2004-12,3.312B,3.312B,1.148B,2.164B,-43.00M,162.00M,,,1.004B,1.487B,677.00M,,,-43.00M,,445.00M,52.00M,393.00M,-30.00M,0.00,3.00M,,363.00M,430.98M,1.161B,484.00M,677.00M,0.6,-0.04,0.0,,0.6572,0.55,0.58,-0.04,-0.0001,,0.636,0.53,663.97M,678.01M,0.4
2004-09,3.748B,3.748B,1.233B,2.515B,-144.00M,177.00M,,,778.00M,1.317B,1.198B,,,-144.00M,,856.00M,279.00M,577.00M,,-9.00M,3.00M,,568.00M,674.07M,2.442B,1.244B,1.198B,0.87,0.0,0.0,,1.0170000000000001,0.86,0.86,0.0,-0.0136,,1.005,0.85,661.00M,669.00M,0.305
2004-06,3.438B,3.438B,1.153B,2.285B,85.00M,182.00M,,,939.00M,1.432B,853.00M,,,85.00M,,726.00M,223.00M,503.00M,18.00M,,-1.00M,,521.00M,444.11M,1.164B,-240.00M,853.00M,0.76,0.03,,,0.6709,0.79,0.75,0.03,,,0.6617,0.78,661.00M,667.00M,0.275
2004-03,3.635B,3.635B,1.395B,2.24B,8.00M,189.00M,,,979.00M,1.469B,771.00M,,,8.00M,,556.00M,159.00M,397.00M,-17.00M,32.00M,,,412.00M,391.29M,1.216B,445.00M,771.00M,0.6,-0.02,0.0,,0.5913,0.63,0.59,-0.02,0.0481,,0.5814,0.62,659.00M,665.00M,0.275
2003-12,2.912B,2.912B,1.211B,1.701B,-106.00M,81.00M,,,553.00M,907.00M,794.00M,,,-106.00M,,504.00M,131.00M,373.00M,,0.00,28.00M,,274.00M,451.45M,1.222B,428.00M,794.00M,0.5598,-0.3209,0.0,,0.6804,0.4096,0.5598,-0.3209,-0.0016,,0.6781,0.4096,650.00M,663.00M,0.25
2003-09,4.441B,4.441B,1.863B,2.578B,5.00M,131.00M,,,2.148B,2.572B,6.00M,,,5.00M,,-214.00M,-112.00M,-102.00M,,,-8.00M,,-102.00M,-105.00M,450.00M,444.00M,6.00M,-0.16,0.0,,,-0.1646,-0.16,-0.16,0.0,,,-0.1646,-0.16,652.00M,652.00M,0.25
2003-06,3.721B,3.721B,1.387B,2.334B,15.00M,159.00M,,,1.10B,1.534B,800.00M,,,15.00M,,594.00M,222.00M,372.00M,,,-1.00M,,372.00M,362.61M,1.223B,423.00M,800.00M,0.57,0.0,,,0.5555,0.57,0.57,0.0,,,0.5557,0.57,650.00M,655.00M,0.23
2003-03,4.074B,4.074B,1.737B,2.337B,-135.00M,197.00M,,,1.109B,1.58B,757.00M,,,-135.00M,,397.00M,148.00M,249.00M,,112.00M,,,361.00M,333.67M,1.18B,423.00M,757.00M,0.385,0.17,0.0,,0.5157,0.555,0.385,0.17,0.1718,,0.5149,0.555,648.00M,652.00M,0.23
2002-12,3.71B,3.71B,1.266B,2.444B,27.00M,141.00M,,,1.093B,1.562B,882.00M,,,27.00M,,671.00M,274.00M,397.00M,,0.00,,,397.00M,380.80M,1.299B,417.00M,882.00M,0.6076,,0.0,,0.5825,0.6069,0.6076,0.325,0.0014,,0.5828,0.6069,644.00M,652.00M,0.22
2002-09,4.37B,4.37B,1.71B,2.66B,107.00M,201.00M,,,1.114B,1.66B,1.00B,,,107.00M,,848.00M,297.00M,551.00M,,,,,551.00M,481.48M,1.436B,436.00M,1.00B,0.855,0.0,,,0.7474,0.855,0.85,0.0,,,0.7427,0.85,646.00M,648.00M,0.22
2002-06,3.519B,3.519B,1.123B,2.396B,192.00M,181.00M,,,1.07B,1.583B,813.00M,,,192.00M,,764.00M,279.00M,485.00M,,,,,485.00M,363.12M,1.234B,421.00M,813.00M,0.75,0.0,,,0.5607,0.75,0.75,0.0,,,0.5619,0.75,644.00M,648.00M,0.22
2002-03,3.357B,3.357B,1.164B,2.193B,30.00M,186.00M,,,1.067B,1.588B,605.00M,,,30.00M,,386.00M,148.00M,238.00M,,-230.00M,,,8.00M,219.50M,1.032B,427.00M,605.00M,0.37,-0.36,0.0,,0.3412,0.01,0.365,-0.36,-0.3583,,0.3364,0.01,642.00M,646.00M,0.22
