,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,636.00M,,327.00M,271.00M,,1.501B,-14.00M,0.00,,-1.00M,133.00M,167.00M,-451.00M,,,-740.00M,-891.00M,1.502B,-1.88B,,,,-59.00M,82.00M,-1.857B,-111.00M,726.00M,615.00M,,,,,,-333.00M,-333.00M,12.00M,-30.00M,264.00M,1.19B,-91.00M,1.099B,,1.857B,-1.242B,
2017-12,1.941B,,-185.00M,-396.00M,,1.428B,-806.00M,85.00M,,60.00M,-654.00M,15.00M,203.00M,,,-69.00M,-505.00M,1.807B,-2.028B,,,-295.00M,-72.00M,167.00M,-2.228B,92.00M,219.00M,311.00M,0.00,,0.00,,,-315.00M,-315.00M,89.00M,-19.00M,66.00M,1.545B,-355.00M,1.19B,0.00,854.00M,-543.00M,
2017-09,862.00M,,-226.00M,-226.00M,,1.408B,331.00M,36.00M,,304.00M,-117.00M,-64.00M,219.00M,,,25.00M,63.00M,2.778B,-1.711B,,,,-70.00M,19.00M,-1.762B,706.00M,-1.047B,-341.00M,0.00,,0.00,,,-314.00M,-314.00M,18.00M,355.00M,-282.00M,811.00M,734.00M,1.545B,0.00,1.258B,-1.599B,
2017-06,95.00M,,74.00M,73.00M,,1.317B,-72.00M,435.00M,,232.00M,10.00M,-132.00M,-82.00M,,,-55.00M,-259.00M,1.821B,-1.836B,,,212.00M,-60.00M,-14.00M,-1.698B,-766.00M,-293.00M,-1.059B,1.15B,,1.15B,,,-304.00M,-304.00M,31.00M,-19.00M,-201.00M,889.00M,-78.00M,811.00M,1.15B,-65.00M,-994.00M,
2017-03,971.00M,,-128.00M,-132.00M,,1.274B,185.00M,-216.00M,,2.00M,291.00M,109.00M,-728.00M,,,-682.00M,-1.01B,1.074B,-2.009B,,,-212.00M,-66.00M,4.00M,-2.283B,698.00M,781.00M,1.479B,,,,,,-303.00M,-303.00M,12.00M,-4.00M,1.184B,914.00M,-25.00M,889.00M,,2.044B,-565.00M,
2016-12,240.00M,89.00M,-62.00M,27.00M,,1.567B,33.00M,32.00M,,241.00M,-136.00M,-14.00M,475.00M,,,-117.00M,-1.042B,1.098B,-2.185B,,,-27.00M,-63.00M,44.00M,-2.231B,-734.00M,696.00M,-38.00M,0.00,,0.00,0.00,0.00,-293.00M,-293.00M,19.00M,252.00M,-60.00M,1.897B,-1.193B,914.00M,0.00,273.00M,-311.00M,0.00
2016-09,526.00M,-1.00M,-223.00M,-224.00M,,1.613B,362.00M,35.00M,,201.00M,-382.00M,-68.00M,659.00M,,,88.00M,297.00M,2.81B,-1.879B,,,-254.00M,-62.00M,-147.00M,-2.342B,557.00M,-352.00M,205.00M,0.00,,0.00,-190.00M,-190.00M,-291.00M,-291.00M,19.00M,39.00M,-218.00M,1.647B,250.00M,1.897B,0.00,1.315B,-1.11B,-190.00M
2016-06,307.00M,-31.00M,242.00M,211.00M,,1.333B,134.00M,120.00M,,729.00M,-31.00M,-53.00M,208.00M,,,122.00M,246.00M,3.08B,-2.287B,,,3.00M,-60.00M,15.00M,-2.329B,2.922B,-2.689B,233.00M,0.00,,0.00,,,-295.00M,-295.00M,8.00M,-10.00M,-64.00M,960.00M,687.00M,1.647B,0.00,1.447B,-1.214B,
2016-03,123.00M,-9.00M,-162.00M,-171.00M,,1.063B,127.00M,119.00M,,1.027B,117.00M,142.00M,-571.00M,,,-503.00M,-815.00M,1.473B,-2.202B,,,-6.645B,303.00M,-4.00M,-8.548B,35.00M,1.77B,1.805B,,,,,,-287.00M,-287.00M,9.00M,6.00M,1.533B,6.502B,-5.542B,960.00M,,1.921B,-116.00M,
2015-12,291.00M,-8.00M,-94.00M,-102.00M,,1.057B,511.00M,11.00M,,516.00M,65.00M,-61.00M,-6.00M,,,-340.00M,-342.00M,1.942B,-2.181B,,,-12.00M,-66.00M,126.00M,-2.133B,-142.00M,-150.00M,-292.00M,0.00,,0.00,0.00,0.00,-286.00M,-286.00M,8.00M,-2.00M,-572.00M,7.265B,-763.00M,6.502B,0.00,650.00M,-942.00M,0.00
2015-09,587.00M,-2.00M,367.00M,365.00M,,973.00M,30.00M,1.00M,,-262.00M,-78.00M,-94.00M,425.00M,,,-242.00M,11.00M,1.705B,-1.983B,,,0.00,-63.00M,-97.00M,-2.143B,-35.00M,136.00M,101.00M,1.868B,,1.868B,0.00,0.00,-282.00M,-282.00M,8.00M,-6.00M,1.689B,6.014B,1.251B,7.265B,1.868B,138.00M,-37.00M,0.00
2015-06,634.00M,-7.00M,-371.00M,-378.00M,,1.009B,82.00M,24.00M,,654.00M,523.00M,-132.00M,-72.00M,,,135.00M,454.00M,2.479B,-1.676B,,,-13.00M,-57.00M,-49.00M,-1.795B,3.573B,235.00M,3.808B,,,,,,-268.00M,-268.00M,8.00M,-43.00M,3.505B,1.825B,4.189B,6.014B,,4.795B,-987.00M,
2015-03,738.00M,-1.00M,-138.00M,-139.00M,,948.00M,129.00M,0.00,,606.00M,-270.00M,291.00M,-468.00M,,,-345.00M,-792.00M,1.49B,-1.784B,,,-15.00M,-66.00M,114.00M,-1.751B,626.00M,-141.00M,485.00M,,,,,,-269.00M,-269.00M,8.00M,-16.00M,208.00M,1.878B,-53.00M,1.825B,,1.206B,-721.00M,
2014-12,95.00M,-81.00M,125.00M,44.00M,,1.012B,43.00M,525.00M,,-759.00M,-516.00M,-64.00M,371.00M,,,63.00M,-146.00M,814.00M,-1.963B,,,-319.00M,-72.00M,1.118B,-1.223B,-80.00M,-114.00M,-194.00M,0.00,,0.00,,,-266.00M,-266.00M,10.00M,-26.00M,-476.00M,2.763B,-885.00M,1.878B,0.00,137.00M,-331.00M,
2014-09,1.074B,-338.00M,-202.00M,-540.00M,,931.00M,326.00M,50.00M,,216.00M,150.00M,-166.00M,36.00M,,,-185.00M,-165.00M,1.892B,-1.613B,,,-1.00M,-60.00M,485.00M,-1.189B,1.089B,-57.00M,1.032B,0.00,,0.00,,,-266.00M,-266.00M,7.00M,-75.00M,698.00M,1.362B,1.401B,2.763B,0.00,1.055B,-23.00M,
2014-06,558.00M,-13.00M,-121.00M,-134.00M,,1.017B,181.00M,111.00M,,6.00M,654.00M,-230.00M,-515.00M,,,-62.00M,-153.00M,1.586B,-1.284B,,,-66.00M,34.00M,140.00M,-1.176B,1.109B,-345.00M,764.00M,,,,,,-267.00M,-267.00M,11.00M,-470.00M,38.00M,914.00M,448.00M,1.362B,,805.00M,-41.00M,
2014-03,93.00M,-5.00M,704.00M,699.00M,,908.00M,-48.00M,1.00M,,-386.00M,-606.00M,80.00M,157.00M,,,-733.00M,-1.102B,165.00M,-1.217B,,,0.00,282.00M,-76.00M,-1.011B,-200.00M,638.00M,438.00M,,,,,,-266.00M,-266.00M,7.00M,-28.00M,151.00M,1.609B,-695.00M,914.00M,,1.588B,-1.15B,
2013-12,494.00M,4.00M,-291.00M,-287.00M,,935.00M,283.00M,0.00,,424.00M,-151.00M,3.00M,127.00M,,,121.00M,100.00M,1.949B,-1.508B,,,0.00,-58.00M,27.00M,-1.424B,-409.00M,127.00M,-282.00M,,,,0.00,0.00,-268.00M,-268.00M,7.00M,-17.00M,-560.00M,1.644B,-35.00M,1.609B,,151.00M,-433.00M,0.00
2013-09,737.00M,-17.00M,-269.00M,-286.00M,,872.00M,304.00M,171.00M,,166.00M,-77.00M,-85.00M,340.00M,,,-86.00M,92.00M,2.056B,-1.369B,,,3.00M,-40.00M,-15.00M,-1.421B,982.00M,-667.00M,315.00M,,,,0.00,0.00,-265.00M,-265.00M,8.00M,-40.00M,18.00M,991.00M,653.00M,1.644B,,1.065B,-750.00M,0.00
2013-06,497.00M,,-377.00M,-377.00M,,955.00M,142.00M,,,265.00M,201.00M,-119.00M,-41.00M,,,-44.00M,-3.00M,1.479B,-1.071B,,,-3.00M,-65.00M,61.00M,-1.078B,-255.00M,429.00M,174.00M,,,,-93.00M,-93.00M,-266.00M,-266.00M,20.00M,-17.00M,-182.00M,772.00M,219.00M,991.00M,,789.00M,-615.00M,-93.00M
2013-03,1.00M,,322.00M,322.00M,,1.017B,-610.00M,,,42.00M,-70.00M,101.00M,-542.00M,,,598.00M,87.00M,859.00M,-1.447B,,,,-52.00M,28.00M,-1.471B,148.00M,233.00M,381.00M,,,,,,-450.00M,-450.00M,12.00M,-45.00M,-102.00M,1.486B,-714.00M,772.00M,,382.00M,-1.00M,
2012-12,384.00M,,-242.00M,-235.00M,,1.17B,352.00M,6.00M,,-136.00M,15.00M,14.00M,185.00M,,,-198.00M,16.00M,1.557B,-1.627B,,,,-56.00M,470.00M,-1.234B,55.00M,-73.00M,-18.00M,,,,0.00,0.00,-439.00M,-439.00M,11.00M,-91.00M,-537.00M,1.70B,-214.00M,1.486B,,469.00M,-487.00M,0.00
2012-09,297.00M,,-126.00M,-126.00M,,1.014B,36.00M,278.00M,,219.00M,-186.00M,-33.00M,246.00M,,,116.00M,143.00M,1.861B,-1.362B,,,,-42.00M,30.00M,-1.374B,626.00M,-318.00M,308.00M,,,,0.00,0.00,-453.00M,-453.00M,19.00M,-10.00M,-136.00M,1.349B,351.00M,1.70B,,529.00M,-221.00M,0.00
2012-06,290.00M,,-217.00M,-217.00M,,1.119B,126.00M,,,532.00M,20.00M,-59.00M,113.00M,,,-205.00M,-131.00M,1.719B,-1.304B,,,,-59.00M,35.00M,-1.328B,652.00M,38.00M,690.00M,,,,0.00,0.00,-474.00M,-474.00M,30.00M,-9.00M,237.00M,721.00M,628.00M,1.349B,,888.00M,-198.00M,0.00
2012-03,200.00M,,-176.00M,-176.00M,,776.00M,101.00M,,,770.00M,394.00M,104.00M,-1.176B,,,1.00M,-677.00M,994.00M,-1.496B,,,,-46.00M,902.00M,-640.00M,-451.00M,141.00M,-310.00M,,,,,,-350.00M,-350.00M,12.00M,-1.00M,-649.00M,1.016B,-295.00M,721.00M,,141.00M,-451.00M,
2011-12,607.00M,,215.00M,215.00M,,614.00M,449.00M,,-360.00M,-280.00M,54.00M,-14.00M,-386.00M,,,1.037B,691.00M,1.936B,-1.07B,,,380.00M,-18.00M,136.00M,-572.00M,-786.00M,-301.00M,-1.087B,,,,,,-349.00M,-349.00M,12.00M,5.00M,-1.419B,1.071B,-55.00M,1.016B,,161.00M,-786.00M,
2011-09,602.00M,,90.00M,90.00M,-1.114B,588.00M,418.00M,0.00,96.00M,376.00M,3.00M,-61.00M,-73.00M,,,-135.00M,-266.00M,1.904B,-987.00M,,,-380.00M,-58.00M,-532.00M,-1.957B,599.00M,322.00M,921.00M,,,,,,-349.00M,-349.00M,11.00M,-21.00M,562.00M,562.00M,509.00M,1.071B,,600.00M,-1.00M,
2011-06,621.00M,,,,562.00M,562.00M,250.00M,,116.00M,144.00M,-53.00M,-61.00M,-2.00M,,,-357.00M,-473.00M,1.22B,-835.00M,,,,-63.00M,3.00M,-895.00M,-1.00M,90.00M,89.00M,,,,,,-347.00M,-347.00M,7.00M,1.00M,-250.00M,487.00M,75.00M,562.00M,,0.00,-1.00M,
2011-03,669.00M,,,,552.00M,552.00M,340.00M,,148.00M,183.00M,53.00M,78.00M,207.00M,,,-2.437B,-2.099B,-207.00M,-1.15B,,,,-52.00M,23.00M,-1.179B,598.00M,50.00M,648.00M,,,,,,-348.00M,-348.00M,8.00M,-47.00M,261.00M,1.612B,-1.125B,487.00M,,599.00M,-1.00M,
2010-12,524.00M,,,,,688.00M,741.00M,,281.00M,-89.00M,-60.00M,-10.00M,215.00M,,,-965.00M,-820.00M,1.132B,-944.00M,,,0.00,-29.00M,-884.00M,-1.857B,-1.00M,-65.00M,-66.00M,,,,,,-347.00M,-347.00M,14.00M,1.00M,-398.00M,2.735B,-1.123B,1.612B,,0.00,-156.00M,
2010-09,845.00M,,,,,800.00M,613.00M,,-158.00M,82.00M,57.00M,-53.00M,-165.00M,,,-278.00M,-439.00M,1.743B,-798.00M,,,0.00,-10.00M,429.00M,-379.00M,782.00M,-224.00M,558.00M,,,,,,-348.00M,-348.00M,12.00M,-19.00M,203.00M,1.168B,1.567B,2.735B,,1.398B,-616.00M,
2010-06,445.00M,,,,,737.00M,-369.00M,,110.00M,301.00M,-269.00M,-66.00M,208.00M,,,-589.00M,-716.00M,508.00M,-706.00M,,,,-41.00M,-202.00M,-949.00M,-614.00M,33.00M,-581.00M,,,,,,-347.00M,-347.00M,11.00M,2.00M,-915.00M,2.524B,-1.356B,1.168B,,0.00,-614.00M,
2010-03,749.00M,,,,,718.00M,-4.00M,,-233.00M,36.00M,40.00M,67.00M,214.00M,,,274.00M,595.00M,1.861B,-878.00M,,,,-57.00M,226.00M,-709.00M,-403.00M,101.00M,-302.00M,,,,,,-347.00M,-347.00M,11.00M,,-638.00M,2.01B,514.00M,2.524B,,0.00,-403.00M,
2009-12,581.00M,,-207.00M,-207.00M,,666.00M,16.00M,0.00,-21.00M,371.00M,-101.00M,10.00M,484.00M,,,-334.00M,59.00M,1.465B,-1.021B,,,,-46.00M,-7.00M,-1.074B,-434.00M,15.00M,-419.00M,-28.00M,,-28.00M,,,-347.00M,-347.00M,42.00M,-3.00M,-755.00M,2.374B,-364.00M,2.01B,-28.00M,0.00,-363.00M,
2009-09,757.00M,,43.00M,43.00M,,682.00M,591.00M,0.00,-102.00M,-130.00M,49.00M,-34.00M,-121.00M,,,-153.00M,-259.00M,1.582B,-808.00M,,1.444B,,-51.00M,21.00M,-838.00M,39.00M,95.00M,134.00M,28.00M,,28.00M,,,-346.00M,-346.00M,-19.00M,-5.00M,-208.00M,1.838B,536.00M,2.374B,28.00M,1.502B,-1.534B,
2009-06,657.00M,,-43.00M,-43.00M,,631.00M,229.00M,0.00,-40.00M,295.00M,178.00M,-57.00M,-265.00M,,,-488.00M,-632.00M,1.097B,-732.00M,,-1.444B,,-70.00M,8.00M,-794.00M,-116.00M,-162.00M,-278.00M,,,,,,-346.00M,-346.00M,19.00M,-9.00M,-614.00M,2.149B,-311.00M,1.838B,,236.00M,-348.00M,
2009-03,712.00M,,,,,622.00M,-80.00M,223.00M,68.00M,116.00M,108.00M,132.00M,-381.00M,,,430.00M,289.00M,1.95B,-712.00M,,,,-59.00M,19.00M,-752.00M,16.00M,-4.00M,12.00M,,,,,,-346.00M,-346.00M,,14.00M,-320.00M,1.271B,878.00M,2.149B,,249.00M,-237.00M,
2008-12,707.00M,,,363.00M,,583.00M,263.00M,,,327.00M,-159.00M,49.00M,179.00M,,,387.00M,456.00M,2.184B,-835.00M,,2.282B,,,219.00M,-901.00M,,,145.00M,-122.00M,0.00,-122.00M,,,,-346.00M,,-1.00M,-194.00M,182.00M,1.089B,1.271B,-122.00M,,,0.00
2008-09,940.00M,,,222.00M,,1.285B,-33.00M,,,283.00M,296.00M,-114.00M,-173.00M,,,905.00M,914.00M,3.611B,-1.512B,,-1.512B,,,-38.00M,-1.55B,,,-1.806B,122.00M,-500.00M,-378.00M,,,,-330.00M,,400.00M,-2.114B,51.00M,-53.00M,182.00M,122.00M,,,-500.00M
2008-06,509.00M,,,-118.00M,,-112.00M,93.00M,,,-36.00M,-251.00M,-114.00M,303.00M,-11.00M,,-225.00M,-298.00M,38.00M,127.00M,,127.00M,,,51.00M,178.00M,,,87.00M,-44.00M,436.00M,392.00M,,,,-329.00M,,-293.00M,-143.00M,162.00M,73.00M,51.00M,-44.00M,,,436.00M
2008-03,581.00M,,,-104.00M,,552.00M,51.00M,,,296.00M,181.00M,70.00M,-391.00M,11.00M,,-529.00M,-658.00M,718.00M,-897.00M,,-897.00M,,,-208.00M,-1.105B,,,998.00M,44.00M,-436.00M,-392.00M,,,,-330.00M,,-38.00M,238.00M,311.00M,-149.00M,162.00M,44.00M,,,-436.00M
2007-12,563.00M,,,,,540.00M,-71.00M,,,148.00M,-110.00M,5.00M,426.00M,4.00M,,-522.00M,-197.00M,983.00M,-782.00M,,1.892B,,-215.00M,153.00M,-844.00M,,,-47.00M,-182.00M,0.00,-182.00M,,,,-291.00M,,252.00M,-268.00M,440.00M,-129.00M,311.00M,-182.00M,,,0.00
2007-09,780.00M,,,-120.00M,,577.00M,95.00M,,,249.00M,-171.00M,-65.00M,186.00M,23.00M,,333.00M,306.00M,1.887B,-608.00M,,-608.00M,,0.00,-90.00M,-698.00M,,,616.00M,37.00M,-1.171B,-1.134B,,,,-297.00M,,-69.00M,-884.00M,135.00M,305.00M,440.00M,37.00M,,,-1.171B
2007-06,702.00M,,,4.00M,,533.00M,-53.00M,,,199.00M,-9.00M,-72.00M,78.00M,-42.00M,,-382.00M,-427.00M,958.00M,-612.00M,,-612.00M,,0.00,-96.00M,-708.00M,,,-267.00M,47.00M,0.00,47.00M,,,,-296.00M,,21.00M,-495.00M,380.00M,-245.00M,135.00M,47.00M,,,0.00
2007-03,691.00M,,,116.00M,,533.00M,-75.00M,,,170.00M,-295.00M,141.00M,-200.00M,,,-413.00M,-767.00M,668.00M,-672.00M,,-672.00M,,95.00M,-82.00M,-659.00M,,,348.00M,98.00M,-37.00M,61.00M,,,,-296.00M,,34.00M,147.00M,224.00M,156.00M,380.00M,98.00M,,,-37.00M
2006-12,592.00M,,,-83.00M,,511.00M,93.00M,,,150.00M,-234.00M,-36.00M,374.00M,,,-85.00M,19.00M,1.282B,-666.00M,,-666.00M,,-2.00M,-60.00M,-728.00M,,,-255.00M,35.00M,-132.00M,-97.00M,,,,-268.00M,,11.00M,-609.00M,279.00M,-55.00M,224.00M,35.00M,,,-132.00M
2006-09,-44.00M,,,79.00M,,561.00M,61.00M,,,750.00M,-58.00M,-34.00M,99.00M,136.00M,,-185.00M,-42.00M,1.365B,-596.00M,,-596.00M,,1.00M,-79.00M,-674.00M,,,-436.00M,42.00M,-1.00M,41.00M,,,,-268.00M,,-31.00M,-694.00M,282.00M,-3.00M,279.00M,42.00M,,,-1.00M
2006-06,644.00M,,,-100.00M,,536.00M,-46.00M,,,15.00M,-23.00M,-54.00M,48.00M,-136.00M,,456.00M,291.00M,1.34B,-543.00M,,-543.00M,,1.00M,-105.00M,-647.00M,,,-355.00M,26.00M,1.00M,27.00M,,,,-268.00M,,11.00M,-585.00M,174.00M,108.00M,282.00M,26.00M,,,1.00M
2006-03,400.00M,,,21.00M,,524.00M,-35.00M,,,176.00M,253.00M,65.00M,-454.00M,,,-102.00M,-238.00M,848.00M,-613.00M,,-613.00M,,,-100.00M,-713.00M,,,119.00M,81.00M,-54.00M,27.00M,,,,-267.00M,,20.00M,-101.00M,140.00M,34.00M,174.00M,81.00M,,,-54.00M
2005-12,-837.00M,,,1.374B,,490.00M,6.00M,,,-188.00M,-66.00M,-64.00M,111.00M,-111.00M,-2.277B,2.163B,-244.00M,601.00M,-644.00M,5.274B,4.63B,0.00,,-5.432B,-802.00M,,,522.00M,29.00M,-100.00M,-71.00M,,,,-266.00M,,3.00M,188.00M,153.00M,-13.00M,140.00M,29.00M,,,-100.00M
2005-09,725.00M,,,-9.00M,,516.00M,-41.00M,,,215.00M,-266.00M,-80.00M,272.00M,136.00M,,-208.00M,-146.00M,1.26B,-514.00M,,-514.00M,0.00,-103.00M,75.00M,-542.00M,,,-622.00M,37.00M,-254.00M,-217.00M,,,,-269.00M,,-2.00M,-1.11B,545.00M,-392.00M,153.00M,37.00M,,,-254.00M
2005-06,514.00M,,,-4.00M,,483.00M,-106.00M,,,59.00M,-48.00M,-48.00M,19.00M,65.00M,2.045B,-1.684B,349.00M,1.295B,-518.00M,-2.00M,-520.00M,0.00,0.00,-57.00M,-577.00M,,,-266.00M,53.00M,0.00,53.00M,,,,-268.00M,,-52.00M,-533.00M,360.00M,185.00M,545.00M,53.00M,,,0.00
2005-03,521.00M,,,13.00M,,478.00M,634.00M,,,-10.00M,101.00M,74.00M,-230.00M,-201.00M,-2.045B,-344.00M,-2.645B,-1.009B,-489.00M,2.00M,-487.00M,-97.00M,103.00M,-85.00M,-566.00M,,,1.611B,103.00M,-8.00M,95.00M,,,,-267.00M,,-3.00M,1.436B,499.00M,-139.00M,360.00M,103.00M,,,-8.00M
2004-12,363.00M,,,128.00M,,484.00M,-112.00M,,,0.00,-117.00M,-40.00M,265.00M,-26.00M,-105.00M,404.00M,381.00M,1.244B,-626.00M,2.27B,1.644B,,,-2.176B,-532.00M,,,-515.00M,48.00M,-7.00M,41.00M,,,,-266.00M,,-2.00M,-742.00M,555.00M,-30.00M,499.00M,48.00M,,,-7.00M
2004-09,1.113B,,,-14.00M,,1.244B,228.00M,,,-24.00M,38.00M,-19.00M,-85.00M,100.00M,-12.00M,-17.00M,5.00M,2.552B,-926.00M,50.00M,-876.00M,,,-198.00M,-1.074B,,,-1.116B,192.00M,-75.00M,117.00M,,,,-358.00M,,-52.00M,-1.409B,27.00M,69.00M,555.00M,192.00M,,,-75.00M
2004-06,-24.00M,,,28.00M,,-240.00M,46.00M,,,22.00M,-94.00M,-72.00M,167.00M,118.00M,-45.00M,-155.00M,-81.00M,-249.00M,68.00M,-48.00M,20.00M,,-5.00M,223.00M,238.00M,,,43.00M,-106.00M,,-106.00M,,,,-26.00M,,85.00M,-4.00M,499.00M,-15.00M,27.00M,-106.00M,,,
2004-03,412.00M,,,21.00M,,445.00M,40.00M,,,-22.00M,50.00M,71.00M,-174.00M,-113.00M,-59.00M,180.00M,-45.00M,851.00M,-437.00M,48.00M,-389.00M,,5.00M,13.00M,-371.00M,,,-400.00M,106.00M,,106.00M,,,,-181.00M,,3.00M,-472.00M,493.00M,8.00M,499.00M,106.00M,,,
2003-12,274.00M,,,170.00M,,428.00M,26.00M,,,29.00M,-3.00M,1.00M,-95.00M,9.00M,-8.00M,,-96.00M,831.00M,-453.00M,,-453.00M,,,-424.00M,-886.00M,,,71.00M,42.00M,0.00,42.00M,,,,-159.00M,,-11.00M,-57.00M,616.00M,-112.00M,504.00M,42.00M,,,0.00
