,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,787.00M,,787.00M,4.19B,1.103B,5.348B,1.471B,,209.00M,,2.74B,11.53B,,,,,74.71B,6.677B,,6.677B,13.79B,385.00M,527.00M,,1.333B,105.48B,117.02B,3.207B,,,3.212B,1.569B,4.781B,,2.857B,2.857B,2.857B,202.00M,202.00M,,2.313B,10.15B,10.13B,33.29B,,33.29B,11.34B,579.00M,11.92B,5.547B,468.00M,2.334B,,3.218B,74.30B,84.45B,18.97B,14.35B,,123.00M,,-2.965B,30.23B
2017-12,1.105B,,1.105B,4.445B,1.132B,5.637B,1.651B,,,,2.527B,11.90B,999.00M,2.825B,95.27B,-21.06B,74.20B,6.677B,-27.00M,6.65B,13.91B,395.00M,337.00M,,1.357B,104.87B,116.77B,3.532B,,373.00M,3.91B,486.00M,4.396B,,3.017B,3.017B,3.017B,231.00M,231.00M,,2.176B,10.80B,10.03B,32.56B,,32.56B,11.24B,609.00M,11.84B,5.829B,409.00M,2.291B,,3.244B,73.78B,84.58B,18.96B,14.08B,,123.00M,,-3.026B,29.90B
2017-09,1.203B,,1.203B,3.854B,950.00M,4.885B,1.668B,1.25B,320.00M,,2.699B,12.72B,,,,,73.07B,6.677B,,6.677B,13.60B,407.00M,426.00M,,1.334B,105.75B,118.47B,3.132B,,,3.137B,3.08B,6.217B,,3.874B,3.874B,3.874B,283.00M,283.00M,,2.021B,12.40B,9.733B,32.09B,,32.09B,19.25B,656.00M,19.91B,6.032B,410.00M,2.217B,,3.041B,75.76B,88.16B,18.86B,11.95B,,123.00M,,-2.589B,28.10B
2017-06,536.00M,,536.00M,3.825B,958.00M,4.867B,1.601B,1.25B,252.00M,,2.893B,12.23B,,,,,72.75B,6.677B,,6.677B,13.28B,419.00M,464.00M,,1.34B,104.87B,117.10B,3.134B,,,3.142B,2.878B,6.02B,,5.376B,5.376B,5.376B,340.00M,340.00M,,2.229B,13.96B,9.848B,30.96B,,30.96B,18.52B,705.00M,19.23B,6.037B,417.00M,1.744B,,2.967B,73.85B,87.81B,18.86B,11.44B,,123.00M,,-2.633B,27.55B
2017-03,609.00M,,609.00M,3.886B,1.133B,5.122B,1.561B,1.25B,254.00M,,2.551B,12.19B,,,,,72.63B,6.677B,,6.677B,13.01B,432.00M,539.00M,,1.535B,104.87B,117.07B,3.011B,,,3.019B,3.007B,6.026B,,5.693B,5.693B,5.693B,388.00M,388.00M,,2.33B,14.44B,9.634B,31.68B,,31.68B,18.52B,779.00M,19.30B,6.01B,420.00M,1.761B,,2.989B,74.34B,88.78B,18.81B,12.72B,,2.327B,,-2.67B,26.53B
2016-12,635.00M,,635.00M,4.158B,1.201B,5.447B,1.638B,1.25B,253.00M,,2.272B,12.41B,1.027B,4.306B,90.72B,-19.17B,71.56B,6.677B,,6.677B,11.69B,447.00M,492.00M,,1.585B,102.49B,114.90B,3.441B,,723.00M,4.172B,1.538B,5.71B,,3.697B,3.697B,3.697B,407.00M,407.00M,,2.444B,13.46B,9.111B,32.22B,,32.22B,18.14B,830.00M,18.97B,6.096B,392.00M,1.775B,,2.851B,73.84B,87.29B,18.79B,12.03B,,2.327B,,-2.66B,25.84B
2016-09,1.897B,,1.897B,4.061B,1.013B,5.20B,1.562B,,321.00M,,2.474B,12.21B,,,,,71.21B,6.672B,,6.672B,11.67B,473.00M,669.00M,,1.609B,102.33B,114.54B,3.044B,,,3.052B,3.236B,6.288B,,3.079B,3.079B,3.079B,452.00M,452.00M,,2.339B,12.16B,9.348B,32.97B,,32.97B,18.12B,927.00M,19.04B,5.686B,422.00M,1.433B,26.00M,2.951B,74.92B,87.08B,18.76B,12.12B,,2.327B,,-2.523B,26.03B
2016-06,1.647B,,1.647B,3.671B,988.00M,4.728B,1.50B,,201.00M,,2.66B,11.50B,,,,,70.69B,6.696B,,6.696B,11.24B,461.00M,546.00M,,1.527B,101.28B,112.78B,2.826B,,,2.834B,2.757B,5.591B,,3.644B,3.644B,3.644B,508.00M,508.00M,,2.151B,11.89B,9.256B,32.18B,,32.18B,17.66B,1.011B,18.67B,5.667B,442.00M,1.542B,24.00M,2.899B,73.59B,85.48B,18.72B,11.93B,,2.327B,,-2.565B,25.76B
2016-03,960.00M,,960.00M,3.594B,1.138B,4.817B,1.514B,,218.00M,,2.67B,11.36B,,,,,69.41B,6.688B,,6.688B,10.98B,474.00M,841.00M,,1.581B,100.38B,111.74B,2.874B,,,2.882B,2.26B,5.142B,,5.698B,5.698B,5.698B,582.00M,582.00M,,2.348B,13.77B,8.755B,29.96B,,29.96B,17.47B,1.144B,18.62B,5.673B,408.00M,1.469B,19.00M,2.908B,70.79B,84.56B,18.69B,11.95B,,2.327B,,-2.596B,25.72B
2015-12,6.502B,,6.502B,3.187B,912.00M,4.185B,1.566B,0.00,205.00M,,1.511B,15.33B,1.181B,3.075B,73.81B,-16.38B,57.44B,2.672B,,2.672B,10.98B,484.00M,758.00M,,1.651B,80.05B,95.38B,2.883B,,293.00M,3.184B,1.069B,4.253B,,2.033B,2.033B,2.033B,100.00M,100.00M,,1.718B,9.118B,8.585B,24.29B,,24.29B,13.78B,117.00M,13.89B,5.003B,374.00M,1.501B,28.00M,2.512B,58.97B,68.09B,18.68B,12.07B,,2.327B,,-2.624B,25.79B
2015-09,7.265B,,7.265B,3.215B,1.107B,4.457B,1.516B,,341.00M,211.00M,1.957B,16.87B,,,,,55.81B,2.672B,,2.672B,10.72B,513.00M,801.00M,2.00M,1.736B,78.26B,95.13B,2.987B,,,2.995B,1.576B,4.571B,,1.572B,1.572B,1.572B,118.00M,118.00M,,1.586B,7.847B,8.405B,25.19B,,25.19B,13.48B,136.00M,13.62B,4.891B,360.00M,1.519B,,3.252B,59.99B,67.84B,18.65B,12.05B,,2.327B,,-2.596B,25.77B
2015-06,6.014B,,6.014B,3.227B,1.304B,4.687B,1.432B,,274.00M,173.00M,1.439B,15.42B,,,,,53.94B,2.672B,,2.672B,11.21B,526.00M,811.00M,2.00M,1.652B,76.79B,92.21B,2.727B,,,2.735B,1.366B,4.101B,,769.00M,769.00M,769.00M,141.00M,141.00M,,1.515B,6.526B,7.55B,25.87B,,25.87B,13.31B,166.00M,13.48B,4.984B,595.00M,1.563B,,3.549B,60.62B,67.14B,16.76B,11.70B,,2.327B,,-2.626B,23.51B
2015-03,1.825B,,1.825B,3.702B,1.077B,4.988B,1.301B,,297.00M,231.00M,1.597B,11.36B,,,,,53.00B,2.672B,,2.672B,11.28B,558.00M,913.00M,,1.542B,76.03B,87.39B,2.839B,,,2.847B,1.23B,4.077B,,1.569B,1.569B,1.569B,172.00M,172.00M,,1.556B,7.374B,7.446B,21.17B,,21.17B,13.22B,189.00M,13.41B,4.979B,491.00M,1.573B,,3.187B,55.38B,62.75B,16.73B,11.33B,,2.327B,,-2.673B,23.06B
2014-12,1.878B,,1.878B,3.482B,1.227B,4.963B,1.603B,,271.00M,,1.712B,11.85B,1.056B,2.167B,66.91B,-14.74B,52.17B,2.672B,,2.672B,11.08B,549.00M,773.00M,,1.242B,74.56B,86.42B,3.048B,,305.00M,3.361B,402.00M,3.763B,,2.262B,2.262B,2.262B,238.00M,238.00M,,1.667B,8.762B,7.295B,19.85B,,19.85B,12.78B,211.00M,12.99B,5.108B,403.00M,1.525B,0.00,3.168B,53.52B,62.28B,16.71B,10.91B,,2.327B,,-2.684B,22.61B
2014-09,2.763B,,2.763B,2.815B,898.00M,3.938B,1.591B,,318.00M,38.00M,1.796B,11.84B,,,,,51.63B,2.672B,,2.672B,10.94B,571.00M,524.00M,,1.504B,73.43B,85.26B,2.502B,,,2.524B,1.462B,3.986B,,2.626B,2.626B,2.626B,195.00M,221.00M,26.00M,1.598B,8.431B,7.003B,19.85B,,19.85B,13.18B,214.00M,13.40B,3.268B,291.00M,1.455B,,3.125B,51.78B,60.21B,16.68B,11.16B,,2.327B,,-1.917B,23.60B
2014-06,1.362B,,1.362B,2.973B,1.005B,4.242B,1.45B,,207.00M,426.00M,1.507B,9.823B,,,,,51.75B,2.674B,,2.674B,11.30B,593.00M,482.00M,,1.494B,73.83B,83.66B,2.633B,,,2.671B,1.382B,4.053B,,2.668B,2.668B,2.668B,239.00M,256.00M,17.00M,1.59B,8.567B,7.054B,18.78B,,18.78B,13.19B,260.00M,13.45B,3.223B,262.00M,1.376B,,3.154B,50.86B,59.43B,16.65B,10.44B,,2.327B,,-1.906B,22.85B
2014-03,914.00M,,914.00M,3.455B,871.00M,4.652B,1.023B,,207.00M,454.00M,1.669B,9.675B,,,,,47.74B,2.625B,,2.625B,10.97B,657.00M,571.00M,,1.363B,69.79B,79.47B,2.761B,,,2.855B,1.364B,4.219B,,1.353B,1.353B,1.353B,238.00M,260.00M,22.00M,1.519B,7.351B,5.261B,19.20B,,19.20B,12.81B,230.00M,13.04B,3.703B,287.00M,210.00M,,3.114B,49.34B,56.69B,16.75B,10.18B,,2.327B,,-2.036B,22.57B
2013-12,1.609B,,1.609B,2.981B,1.175B,4.53B,1.105B,,167.00M,573.00M,1.412B,10.14B,1.017B,1.89B,61.04B,-13.71B,47.33B,2.625B,,2.625B,11.18B,710.00M,607.00M,,1.422B,69.79B,79.92B,2.484B,,315.00M,2.915B,635.00M,3.55B,,1.85B,1.85B,1.85B,261.00M,301.00M,40.00M,1.344B,7.728B,5.194B,18.27B,,18.27B,12.90B,266.00M,13.17B,4.066B,300.00M,208.00M,,3.561B,49.26B,56.98B,16.74B,10.36B,,2.327B,,-2.04B,22.73B
2013-09,1.644B,,1.644B,2.761B,1.232B,4.453B,1.109B,,147.00M,292.00M,1.576B,9.951B,,,,,46.50B,2.625B,,2.625B,10.89B,803.00M,779.00M,,1.607B,69.71B,79.66B,2.477B,,,2.477B,1.54B,4.017B,0.00,1.857B,1.857B,1.857B,305.00M,355.00M,50.00M,1.278B,7.507B,5.118B,18.57B,,18.57B,11.93B,314.00M,12.24B,5.858B,218.00M,208.00M,0.00,3.535B,50.09B,57.59B,16.72B,10.13B,,2.327B,,-2.661B,21.86B
2013-06,991.00M,,991.00M,2.861B,1.224B,4.658B,1.019B,,114.00M,288.00M,1.494B,9.409B,,,,,45.99B,2.625B,,2.625B,10.53B,856.00M,772.00M,,1.713B,69.01B,78.42B,2.357B,,,2.357B,1.382B,3.739B,210.00M,2.693B,2.903B,2.903B,360.00M,405.00M,45.00M,1.327B,8.374B,5.202B,17.22B,,17.22B,11.52B,399.00M,11.92B,5.87B,178.00M,235.00M,0.00,3.655B,48.46B,56.83B,16.69B,9.66B,,2.327B,,-2.673B,21.35B
2013-03,772.00M,,772.00M,3.12B,1.11B,4.957B,913.00M,,148.00M,331.00M,1.487B,9.274B,,,,,45.78B,2.625B,,2.625B,10.64B,968.00M,706.00M,,1.72B,68.97B,78.24B,2.386B,1.00M,,2.387B,1.43B,3.817B,210.00M,2.397B,2.607B,2.607B,410.00M,439.00M,29.00M,1.458B,8.321B,5.149B,17.36B,,17.36B,11.32B,466.00M,11.78B,5.833B,259.00M,237.00M,87.00M,3.645B,48.60B,56.92B,16.65B,9.437B,,2.327B,,-2.673B,21.09B
2012-12,1.486B,,1.486B,3.087B,1.141B,5.114B,1.014B,,133.00M,131.00M,1.324B,10.14B,912.00M,1.926B,57.37B,-12.18B,45.19B,2.625B,,2.625B,10.30B,1.073B,937.00M,58.00M,1.742B,68.42B,78.56B,2.58B,,,2.692B,1.796B,4.488B,210.00M,1.047B,1.257B,1.257B,455.00M,513.00M,58.00M,1.533B,7.791B,5.074B,18.35B,,18.35B,11.55B,528.00M,12.08B,6.09B,281.00M,299.00M,87.00M,2.67B,49.04B,56.83B,16.63B,9.893B,,2.327B,,-2.767B,21.43B
2012-09,1.70B,0.00,1.70B,3.06B,1.216B,4.276B,1.031B,,140.00M,254.00M,2.999B,11.33B,,,55.80B,-11.89B,43.91B,2.625B,,2.625B,10.26B,,1.039B,1.822B,1.176B,67.02B,78.35B,2.491B,4.00M,,2.495B,1.502B,3.997B,225.00M,1.179B,1.404B,1.404B,,52.00M,52.00M,2.317B,7.77B,5.886B,18.24B,,18.24B,11.60B,,11.60B,5.521B,407.00M,282.00M,87.00M,2.312B,48.48B,56.25B,0.00,9.959B,16.59B,2.327B,,-2.405B,21.82B
2012-06,1.349B,0.00,1.349B,3.069B,1.252B,4.321B,999.00M,,117.00M,63.00M,2.302B,11.75B,,,53.98B,-11.37B,42.61B,2.625B,,2.625B,9.975B,,1.241B,1.967B,1.156B,65.68B,77.43B,2.302B,4.00M,,2.306B,1.452B,3.758B,225.00M,967.00M,1.192B,1.192B,,482.00M,482.00M,2.651B,8.083B,5.145B,18.17B,,18.17B,10.82B,,10.82B,5.313B,578.00M,289.00M,87.00M,2.483B,47.03B,55.11B,0.00,10.11B,16.56B,2.327B,,-2.313B,22.03B
2012-03,721.00M,0.00,721.00M,3.109B,1.339B,4.448B,942.00M,,110.00M,,2.404B,11.82B,,,53.35B,-11.24B,42.10B,2.625B,,2.625B,10.16B,,1.389B,2.238B,1.126B,65.81B,77.63B,2.263B,472.00M,,2.735B,1.492B,4.227B,225.00M,1.074B,1.299B,1.299B,,517.00M,517.00M,3.009B,9.052B,5.083B,17.46B,,17.46B,10.70B,,10.70B,5.241B,671.00M,286.00M,87.00M,2.605B,46.47B,55.53B,0.00,9.83B,16.51B,2.327B,,-2.199B,21.82B
2011-12,1.016B,,1.016B,1.613B,1.00B,2.629B,864.00M,,40.00M,0.00,732.00M,5.713B,439.00M,1.11B,43.53B,-10.96B,32.57B,2.625B,,2.625B,7.273B,424.00M,650.00M,0.00,1.222B,49.28B,55.00B,1.444B,349.00M,,1.793B,1.255B,3.048B,225.00M,991.00M,1.216B,1.216B,0.00,1.00M,1.00M,869.00M,5.134B,3.884B,12.19B,,12.19B,8.253B,0.00,8.253B,4.457B,126.00M,3.00M,87.00M,2.287B,35.47B,40.61B,9.107B,10.06B,,2.327B,,-2.45B,14.38B
2011-09,1.071B,0.00,1.071B,1.685B,930.00M,2.615B,851.00M,,565.00M,183.00M,524.00M,6.287B,,,50.87B,-18.98B,31.88B,2.625B,,2.625B,6.98B,,300.00M,,1.701B,47.87B,54.16B,1.388B,,,1.388B,1.053B,2.441B,225.00M,1.701B,1.926B,1.926B,,0.00,0.00,610.00M,4.977B,4.827B,12.56B,,12.56B,7.958B,,7.958B,3.846B,79.00M,3.00M,87.00M,1.857B,34.82B,39.80B,0.00,10.15B,9.077B,2.327B,,-2.54B,14.36B
2011-06,562.00M,0.00,562.00M,1.766B,697.00M,2.463B,786.00M,,35.00M,69.00M,634.00M,4.987B,,,41.35B,-10.49B,30.86B,2.625B,,2.625B,7.45B,,324.00M,,1.555B,47.00B,51.99B,1.297B,,,1.297B,878.00M,2.175B,225.00M,1.188B,1.413B,1.413B,,0.00,0.00,680.00M,4.268B,4.616B,12.15B,,12.15B,7.391B,,7.391B,3.806B,66.00M,3.00M,87.00M,1.777B,33.60B,37.87B,0.00,9.894B,9.054B,2.327B,,-2.509B,14.11B
2011-03,487.00M,0.00,487.00M,1.80B,547.00M,2.347B,728.00M,,22.00M,90.00M,523.00M,4.659B,,,40.96B,-10.41B,30.55B,2.625B,,2.625B,7.365B,,425.00M,,1.575B,46.72B,51.38B,1.331B,,,1.331B,852.00M,2.183B,225.00M,1.099B,1.324B,1.324B,,0.00,0.00,664.00M,4.171B,4.565B,12.15B,,12.15B,7.215B,,7.215B,3.767B,28.00M,3.00M,87.00M,1.091B,33.27B,37.44B,0.00,9.623B,9.032B,2.327B,,-2.397B,13.93B
2010-12,1.612B,0.00,1.612B,1.932B,1.196B,3.128B,806.00M,,30.00M,0.00,335.00M,6.398B,4.146B,1.29B,40.00B,-10.06B,29.94B,2.625B,,2.625B,7.14B,,409.00M,,1.587B,45.84B,52.24B,1.373B,1.00M,,1.374B,1.04B,2.414B,225.00M,599.00M,824.00M,824.00M,,85.00M,85.00M,917.00M,4.24B,4.512B,12.00B,,12.00B,6.621B,,6.621B,5.876B,21.00M,3.00M,87.00M,1.761B,34.44B,38.68B,0.00,9.304B,9.006B,2.327B,,-2.423B,13.56B
2010-03,2.524B,0.00,2.524B,2.067B,,2.067B,692.00M,,239.00M,,862.00M,6.384B,,,36.86B,-9.119B,27.74B,2.625B,,2.625B,7.609B,,867.00M,,5.519B,44.36B,50.74B,1.143B,,,1.143B,1.191B,2.334B,225.00M,1.487B,1.712B,1.712B,,220.00M,220.00M,624.00M,4.89B,,11.20B,,11.20B,5.983B,,5.983B,5.756B,8.00M,,87.00M,9.368B,32.40B,37.29B,0.00,8.534B,8.94B,2.328B,,-1.695B,13.45B
2009-12,2.01B,0.00,2.01B,1.563B,486.00M,2.049B,757.00M,,40.00M,,209.00M,5.441B,3.798B,1.263B,36.36B,-9.023B,27.34B,2.625B,,2.625B,7.393B,,649.00M,,859.00M,43.74B,49.18B,1.345B,,264.00M,1.609B,258.00M,1.867B,0.00,1.209B,1.209B,1.209B,,152.00M,152.00M,609.00M,4.238B,4.451B,11.38B,,11.38B,5.75B,,5.75B,5.805B,23.00M,0.00,87.00M,1.309B,32.30B,36.54B,0.00,8.134B,8.923B,2.328B,,-2.089B,12.64B
2009-09,2.374B,,2.374B,1.86B,,1.86B,784.00M,,43.00M,,834.00M,5.895B,,,35.49B,-8.836B,26.65B,2.625B,,2.625B,7.234B,,482.00M,,6.613B,43.61B,49.50B,1.075B,,,1.075B,888.00M,1.963B,,,1.604B,1.604B,,117.00M,117.00M,760.00M,4.444B,,12.43B,,12.43B,5.858B,,5.858B,6.03B,72.00M,,87.00M,8.093B,32.57B,37.01B,0.00,7.905B,8.896B,2.338B,,-1.973B,12.49B
2009-06,1.838B,,1.838B,2.028B,,2.028B,750.00M,,46.00M,,1.163B,5.825B,,,26.78B,-475.00M,26.30B,2.625B,,2.625B,6.573B,,663.00M,,6.988B,43.15B,48.98B,1.144B,,,1.144B,1.045B,2.189B,,,848.00M,848.00M,,176.00M,176.00M,953.00M,4.166B,,12.03B,,12.03B,5.26B,,5.26B,6.346B,74.00M,,87.00M,8.859B,32.66B,36.83B,0.00,7.494B,8.87B,2.338B,,-1.873B,12.15B
2009-03,2.149B,,2.149B,2.185B,,2.185B,699.00M,,52.00M,,1.258B,6.343B,,,34.33B,-8.398B,25.93B,2.625B,,2.625B,6.013B,,819.00M,,7.135B,42.52B,48.86B,1.121B,,,1.121B,1.177B,2.298B,,,771.00M,771.00M,,266.00M,266.00M,1.031B,4.366B,,13.41B,,13.41B,5.051B,,5.051B,6.309B,73.00M,,,7.556B,32.40B,36.76B,0.00,7.185B,8.845B,2.338B,,-1.68B,12.10B
2008-12,1.271B,480.00M,1.751B,2.252B,,2.252B,843.00M,,75.00M,,209.00M,5.13B,33.02B,1.038B,34.06B,-8.242B,25.81B,2.625B,,2.625B,6.215B,,679.00M,,7.084B,42.42B,47.55B,1.416B,,,1.416B,1.151B,2.567B,,,559.00M,559.00M,,77.00M,77.00M,608.00M,3.811B,,12.59B,,12.59B,4.939B,,4.939B,6.366B,23.00M,,87.00M,,24.01B,36.50B,0.00,6.82B,8.816B,2.338B,,-2.251B,11.05B
2008-09,182.00M,,182.00M,2.217B,,2.217B,866.00M,,,,1.106B,4.371B,,,33.15B,-7.811B,25.34B,,,2.625B,,,,,12.88B,40.84B,45.21B,1.278B,,,1.278B,2.30B,3.578B,,,709.00M,709.00M,,,,,4.287B,,12.28B,,12.28B,5.474B,,5.474B,,,,87.00M,,17.84B,33.63B,0.00,6.459B,8.791B,2.338B,,-1.325B,11.59B
