,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,,3.180B,2.668B,5.848B,2.899B,908.92M,3.808B,,10.22B,,,,,,,,471.60M,477.56M,164.23M,641.79M,20.13B,196.16M,-21.80M,19.92B,3.817B,231.82M,25.73B,36.36B,,195.56M,,5.931B,6.127B,,6.127B,,,,6.242B,2.450B,,2.450B,19.48B,1.006B,292.22M,92.69M,23.49B,30.11B,,1.561M,4.815B,1.781B,413.20M,-26.59M,6.157B,,AOR,Restated
2018-03,,3.140B,2.559B,5.699B,2.875B,911.53M,3.787B,,10.18B,,,,,,,,468.35M,478.93M,167.88M,646.81M,19.26B,194.85M,-25.66M,19.04B,3.935B,219.09M,24.95B,36.03B,,296.08M,,6.554B,6.850B,,6.850B,0.00,0.00,0.00,6.993B,2.451B,,2.451B,18.71B,901.72M,300.96M,101.24M,22.69B,29.99B,,1.559M,4.626B,1.748B,412.11M,-22.52M,5.941B,,AOR,Restated
2017-12,,3.898B,2.393B,6.291B,2.666B,861.58M,3.528B,,10.42B,,,,,,,,454.12M,479.78M,171.56M,651.34M,18.81B,191.27M,-30.23M,18.59B,3.556B,199.51M,24.11B,36.08B,,189.14M,,6.403B,6.592B,,6.592B,630.00M,630.00M,630.00M,7.451B,2.452B,,2.452B,18.73B,793.69M,356.50M,106.21M,22.54B,30.28B,,1.555M,4.420B,1.705B,410.03M,-20.45M,5.697B,,AOR,Restated
2017-09,,3.670B,2.188B,5.858B,2.767B,920.79M,3.688B,123.23M,10.39B,29.08M,324.45M,570.15M,,12.06M,935.74M,-498.36M,437.37M,410.72M,82.46M,493.18M,18.10B,190.44M,-31.18M,17.88B,3.325B,313.49M,22.20B,34.88B,,172.71M,,5.979B,6.152B,,6.152B,610.00M,610.00M,610.00M,6.983B,2.453B,,2.453B,17.73B,1.060B,356.96M,111.64M,21.82B,29.19B,,1.542M,4.340B,1.645B,390.08M,-15.20M,5.582B,,AOR,Restated
2017-06,2.614B,2.827B,2.011B,4.838B,2.673B,880.28M,3.553B,768.47M,9.935B,,,,,,,,421.17M,408.67M,86.44M,495.12M,17.72B,191.60M,-36.81M,17.50B,3.201B,382.75M,21.61B,33.43B,,1.049B,,5.773B,6.822B,,6.822B,0.216M,0.216M,0.216M,7.050B,2.653B,,2.653B,16.31B,903.59M,291.96M,111.48M,20.49B,27.93B,,1.54M,4.179B,1.624B,392.71M,-22.01M,5.389B,,AOR,Restated
2017-03,,2.835B,1.714B,4.550B,2.717B,743.65M,3.460B,787.59M,9.619B,,,,,,,,409.54M,407.01M,89.21M,496.22M,17.08B,186.23M,-39.83M,16.86B,2.935B,365.87M,20.70B,32.93B,,858.26M,,6.074B,6.932B,,6.932B,50.23M,50.23M,50.23M,7.205B,2.046B,,2.046B,16.38B,811.55M,285.90M,120.47M,19.99B,27.60B,,1.536M,4.028B,1.595B,389.60M,-27.43M,5.208B,,AOR,Restated
2016-12,2.528B,2.727B,1.164B,3.891B,2.602B,790.64M,3.393B,796.17M,8.737B,,,,,,,,382.30M,,,499.20M,16.91B,197.68M,-40.86M,16.67B,2.199B,318.16M,19.75B,31.67B,,757.39M,,6.028B,6.785B,,6.785B,208.65M,208.65M,208.65M,7.197B,2.388B,,2.388B,15.19B,701.30M,299.39M,123.72M,18.84B,26.46B,,1.53M,3.947B,1.553B,387.87M,-33.14M,5.081B,,AOR,Restated
2016-09,,1.650B,859.40M,2.510B,2.715B,991.18M,3.706B,130.58M,7.297B,24.15M,260.80M,472.81M,,3.711M,761.47M,-440.02M,321.46M,408.07M,94.97M,503.05M,16.29B,197.38M,-40.68M,16.05B,2.255B,322.02M,19.22B,31.49B,,306.12M,,7.001B,7.307B,,7.307B,0.267M,0.267M,0.267M,7.501B,2.289B,,2.289B,14.26B,898.18M,475.61M,146.43M,18.25B,26.42B,,1.513M,3.835B,1.499B,362.94M,-55.73M,4.917B,,AOR,Restated
2016-06,1.975B,2.235B,543.78M,2.778B,2.120B,768.57M,2.889B,726.03M,7.269B,,,,,,,,294.99M,322.19M,62.70M,384.89M,15.61B,196.88M,-41.09M,15.38B,2.009B,296.62M,18.06B,28.84B,,1.100B,,4.951B,6.051B,,6.051B,238.08M,238.08M,238.08M,6.555B,1.521B,,1.521B,13.73B,737.85M,430.77M,246.67M,16.71B,23.85B,,1.511M,3.689B,1.476B,363.74M,-55.88M,4.747B,,AOR,Restated
2016-03,1.477B,1.685B,547.44M,2.232B,2.220B,755.78M,2.976B,660.37M,6.693B,,,,,,,,282.28M,313.00M,63.96M,376.96M,15.13B,194.22M,-39.44M,14.90B,2.037B,272.64M,17.60B,27.75B,,1.140B,,5.031B,6.171B,,6.171B,0.30M,0.30M,0.30M,6.362B,1.779B,,1.779B,12.73B,673.20M,396.16M,241.95M,15.90B,22.88B,,1.507M,3.593B,1.453B,361.46M,-50.30M,4.635B,,AOR,Restated
2015-12,2.594B,2.764B,558.13M,3.322B,1.968B,619.25M,2.587B,763.30M,7.431B,,,,,,,,272.10M,,,374.41M,14.48B,185.46M,-35.15M,14.26B,1.681B,258.77M,16.58B,26.91B,,803.25M,,4.782B,5.586B,,5.586B,0.315M,0.315M,0.315M,5.831B,1.780B,,1.780B,12.66B,600.02M,352.58M,273.83M,15.62B,21.99B,,1.501M,3.496B,1.415B,214.51M,-50.64M,4.647B,,AOR,Restated
2015-09,2.598B,2.808B,513.73M,3.322B,2.185B,648.89M,2.834B,693.74M,7.714B,20.10M,241.46M,369.18M,,5.973M,636.71M,-380.84M,255.88M,307.64M,69.33M,376.96M,13.68B,172.26M,-32.42M,13.48B,1.862B,266.90M,15.97B,26.47B,,893.30M,,4.671B,5.564B,,5.564B,115.35M,115.35M,115.35M,6.012B,1.751B,,1.751B,11.92B,842.53M,389.46M,264.07M,15.19B,21.68B,,1.491M,3.420B,1.345B,203.46M,-40.50M,4.522B,,AOR,Restated
2015-06,2.579B,2.782B,443.98M,3.226B,2.152B,628.56M,2.781B,731.97M,7.484B,,,,,,,,249.02M,295.49M,59.16M,354.65M,12.73B,160.63M,-33.53M,12.53B,1.722B,259.49M,14.86B,24.81B,,960.36M,,4.197B,5.158B,,5.158B,129.22M,129.22M,129.22M,5.539B,1.763B,,1.763B,11.01B,746.49M,327.83M,273.62M,14.11B,20.06B,,1.489M,3.316B,1.328B,149.50M,-23.29M,4.473B,,AOR,Restated
2015-03,2.532B,2.756B,531.94M,3.288B,1.921B,597.60M,2.518B,713.32M,7.411B,,,,,,,,242.07M,295.49M,55.19M,350.67M,12.72B,160.01M,-34.09M,12.52B,1.985B,259.46M,15.10B,24.97B,,790.57M,,4.151B,4.942B,,4.942B,171.72M,171.72M,171.72M,5.391B,1.774B,,1.774B,11.27B,689.23M,421.85M,276.48M,14.53B,20.32B,,1.476M,3.211B,1.319B,133.33M,-22.80M,4.375B,,AOR,Restated
2014-12,2.643B,2.800B,544.63M,3.344B,2.004B,514.25M,2.518B,697.63M,7.330B,,,,,,,,242.54M,295.49M,56.99M,352.47M,12.45B,156.77M,-35.22M,12.26B,1.808B,236.92M,14.66B,24.25B,,837.20M,,4.039B,4.876B,,4.876B,105.17M,105.17M,105.17M,5.319B,1.724B,,1.724B,11.09B,589.58M,385.51M,287.47M,13.99B,19.70B,,1.469M,3.123B,1.285B,131.44M,-8.352M,4.271B,,AOR,Restated
2014-09,2.196B,2.350B,562.29M,2.912B,2.127B,651.30M,2.778B,655.26M,7.115B,20.10M,234.10M,328.15M,,3.295M,585.66M,-340.26M,245.40M,295.49M,58.78M,354.26M,11.57B,147.57M,-37.53M,11.39B,1.905B,231.32M,13.89B,23.33B,,979.76M,,3.956B,4.936B,,4.936B,154.92M,154.92M,154.92M,5.335B,1.735B,,1.735B,10.03B,814.36M,323.34M,292.02M,13.14B,18.89B,,1.444M,3.024B,1.239B,121.21M,-1.888M,4.141B,,AOR,Restated
2014-06,2.844B,2.985B,603.68M,3.589B,1.982B,646.35M,2.628B,656.85M,7.700B,,,,,,,,244.43M,295.49M,60.55M,356.04M,10.98B,142.31M,-37.96M,10.80B,1.880B,219.01M,13.28B,23.07B,,780.06M,,3.911B,4.691B,,4.691B,59.17M,59.17M,59.17M,5.037B,1.735B,,1.735B,10.27B,697.01M,318.25M,298.00M,13.27B,18.76B,,1.442M,2.910B,1.224B,127.46M,6.918M,4.015B,,AOR,Restated
2014-03,2.631B,2.777B,646.57M,3.424B,1.989B,577.31M,2.567B,629.39M,7.547B,,,,,,,,244.98M,295.49M,62.36M,357.85M,10.62B,137.94M,-39.19M,10.45B,1.963B,216.88M,13.01B,22.87B,,859.07M,,4.112B,4.971B,,4.971B,78.52M,78.52M,78.52M,5.428B,1.246B,,1.246B,10.41B,649.90M,289.27M,320.06M,12.80B,18.66B,,1.439M,2.810B,1.204B,126.06M,-1.234M,3.888B,,AOR,Restated
2013-12,2.800B,2.929B,659.54M,3.589B,1.899B,506.18M,2.405B,639.60M,7.482B,,,,,,,,241.11M,295.49M,64.14M,359.63M,9.905B,138.12M,-41.95M,9.725B,1.850B,199.00M,12.18B,21.92B,,682.01M,,4.189B,4.871B,,4.871B,78.77M,78.77M,78.77M,5.296B,1.246B,,1.246B,10.01B,574.78M,209.44M,343.51M,12.25B,17.80B,,1.436M,2.728B,1.172B,125.07M,5.545M,3.782B,,AOR,Restated
2013-09,2.594B,2.723B,698.84M,3.422B,1.983B,650.43M,2.634B,611.42M,7.627B,20.10M,235.24M,331.17M,,0.707M,587.22M,-342.80M,244.42M,295.49M,65.98M,361.46M,9.411B,136.50M,-43.94M,9.230B,2.016B,195.16M,11.85B,23.19B,,739.96M,,5.943B,6.683B,,6.683B,84.08M,84.08M,84.08M,7.068B,1.257B,,1.257B,9.295B,741.79M,250.34M,335.41M,11.77B,19.19B,,1.429M,2.635B,1.136B,120.56M,10.73M,3.663B,,AOR,Restated
2013-06,2.583B,2.720B,723.34M,3.444B,2.106B,585.91M,2.692B,623.43M,7.603B,,,,,,,,251.84M,295.49M,67.19M,362.68M,9.307B,142.39M,-50.75M,9.114B,1.831B,168.78M,11.56B,22.21B,,1.015B,,5.238B,6.253B,,6.253B,93.70M,93.70M,93.70M,6.595B,1.257B,,1.257B,9.130B,640.50M,265.52M,330.95M,11.40B,18.34B,,1.427M,2.537B,1.122B,123.76M,7.039M,3.544B,,AOR,Restated
2013-03,2.171B,2.283B,755.62M,3.039B,2.074B,759.54M,2.834B,671.13M,7.543B,,,,,,,,248.85M,295.49M,69.39M,364.87M,9.049B,150.29M,-57.55M,8.841B,2.546B,165.55M,12.00B,22.74B,,878.60M,,5.424B,6.303B,,6.303B,180.00M,180.00M,180.00M,6.881B,1.272B,,1.272B,9.074B,621.40M,375.54M,441.13M,11.64B,18.82B,,1.424M,2.473B,1.104B,122.50M,14.51M,3.471B,,AOR,Restated
2012-12,2.183B,2.354B,714.91M,3.069B,2.038B,458.76M,2.497B,660.47M,7.257B,,,,,,,,235.73M,302.42M,72.09M,374.51M,9.114B,148.02M,-66.03M,8.900B,2.464B,164.54M,11.97B,22.28B,,751.17M,,5.554B,6.305B,,6.305B,132.00M,132.00M,132.00M,6.810B,1.271B,,1.271B,8.947B,537.06M,431.81M,429.78M,11.39B,18.47B,,1.417M,2.413B,1.072B,121.66M,15.90M,3.380B,,AOR,Restated
2012-09,1.974B,2.144B,733.87M,2.878B,2.067B,652.95M,2.720B,605.57M,7.227B,19.75M,204.59M,299.77M,,6.782M,530.90M,-299.71M,231.20M,300.11M,61.14M,361.25M,8.655B,147.54M,-70.70M,8.437B,2.485B,168.19M,11.51B,21.16B,,731.90M,,4.585B,5.317B,,5.317B,0.00,0.00,0.00,5.665B,1.411B,,1.411B,8.600B,690.65M,458.26M,411.34M,11.39B,17.48B,,1.404M,2.347B,1.030B,118.76M,9.447M,3.269B,,AOR,Restated
2012-06,,1.729B,,1.729B,3.841B,,3.841B,966.27M,7.243B,,,,,,,,223.56M,286.37M,,286.37M,8.062B,149.08M,-74.76M,7.839B,2.528B,188.33M,11.02B,21.17B,,5.448B,,,5.448B,1.164B,6.612B,,,,7.306B,1.415B,,1.415B,8.277B,591.12M,,424.01M,10.28B,17.59B,,1.399M,2.281B,998.57M,118.68M,-4.996M,3.158B,,AOR,Restated
2012-03,,2.876B,,2.876B,2.585B,,2.585B,416.25M,6.217B,,,,,,,,181.75M,71.92M,,71.92M,2.854B,144.68M,-83.38M,2.625B,1.328B,179.89M,9.420B,19.28B,,5.363B,,,5.363B,719.48M,6.082B,,,,6.219B,1.555B,,1.555B,7.914B,,,328.02M,9.469B,15.86B,,1.396M,2.223B,974.89M,114.61M,3.315M,3.088B,,AOR,Restated
2011-12,,1.917B,,1.917B,2.522B,,2.522B,384.57M,5.224B,,,,,,,,173.90M,71.92M,,71.92M,7.211B,147.50M,-48.14M,7.015B,1.312B,185.92M,8.976B,17.89B,,5.561B,,,5.561B,652.90M,6.214B,,,,6.398B,697.10M,,697.10M,7.705B,,,326.28M,8.402B,14.93B,,1.28M,2.172B,586.50M,112.57M,-10.45M,2.637B,,AOR,Restated
2011-09,,2.440B,,2.440B,2.575B,,2.575B,363.22M,5.776B,18.64M,180.39M,234.42M,,2.237M,435.69M,-265.84M,169.85M,71.92M,1.043M,72.97M,6.739B,145.74M,-45.42M,6.548B,1.628B,171.91M,8.510B,18.01B,,5.616B,,,5.616B,762.57M,6.379B,,,,6.644B,711.95M,,711.95M,7.739B,,0.00,324.23M,8.451B,15.10B,,1.271M,2.126B,565.14M,95.00M,-9.605M,2.588B,,AOR,Restated
2011-06,,1.599B,,1.599B,2.820B,,2.820B,408.64M,5.298B,,,,,,,,172.35M,71.92M,,71.92M,6.442B,145.80M,-43.73M,6.252B,1.541B,206.71M,8.114B,16.12B,,4.537B,,,4.537B,798.50M,5.335B,,,,5.400B,711.21M,,711.21M,6.944B,,,306.58M,7.656B,13.25B,,1.267M,2.074B,553.92M,81.74M,10.90M,2.559B,,AOR,Restated
2011-03,,1.255B,,1.255B,2.734B,,2.734B,457.14M,4.836B,,,,,,,,168.83M,62.58M,,62.58M,6.218B,146.12M,-43.32M,6.028B,1.518B,187.02M,7.854B,15.28B,,4.477B,,,4.477B,643.97M,5.121B,,,,5.183B,463.34M,,463.34M,6.711B,,,311.62M,7.174B,12.46B,,1.264M,2.044B,538.02M,85.43M,9.931M,2.508B,,AOR,Restated
2010-12,,1.205B,,1.205B,2.407B,,2.407B,460.26M,4.528B,,,,,,,,171.57M,62.58M,,62.58M,6.294B,146.02M,-44.30M,6.104B,1.652B,181.10M,8.071B,14.85B,,3.979B,,,3.979B,607.28M,4.586B,,,,4.753B,492.61M,,492.61M,6.682B,,,311.19M,7.175B,12.13B,,1.254M,1.980B,503.65M,85.06M,4.204M,2.407B,,AOR,Restated
2010-09,,2.943B,76.49M,3.020B,,,2.525B,451.36M,6.341B,18.64M,174.68M,207.44M,4.585M,2.111M,407.46M,-236.69M,170.77M,62.58M,,62.58M,6.095B,,,6.095B,1.694B,165.21M,11.45B,17.88B,,,,,11.51B,418.59M,11.93B,,,,12.17B,2.989B,,2.989B,,,,294.05M,2.989B,15.29B,,4.363M,1.910B,476.36M,81.57M,-6.197M,2.303B,,AOR,Restated
2010-06,,866.20M,81.43M,947.63M,,,2.892B,326.89M,4.458B,,,,,,,,175.60M,62.58M,,62.58M,6.170B,,,6.170B,1.680B,177.96M,10.33B,14.88B,,,,,4.880B,338.29M,5.219B,,,,5.362B,497.00M,,497.00M,6.470B,,,246.53M,6.967B,12.41B,,1.234M,1.855B,466.98M,89.04M,-17.56M,2.219B,,AOR,Restated
2010-03,,928.99M,79.55M,1.009B,,,2.889B,337.35M,4.614B,,,,,,,,181.30M,62.58M,,62.58M,6.237B,,,6.237B,1.824B,184.16M,10.56B,15.28B,,,,,5.175B,278.85M,5.454B,,,,5.528B,490.52M,,490.52M,6.731B,,,235.95M,7.222B,12.88B,,1.23M,1.808B,452.45M,88.71M,-16.01M,2.160B,,AOR,Restated
2009-12,,1.019B,79.67M,1.098B,,,2.646B,323.00M,4.420B,,,,,,,,183.00M,62.58M,,62.58M,6.453B,,,6.453B,1.504B,171.84M,10.18B,14.69B,,,,,4.541B,222.89M,4.763B,,,,4.786B,491.13M,,491.13M,7.007B,,,222.91M,7.498B,12.38B,,4.425M,1.767B,435.79M,88.24M,-25.61M,2.093B,,AOR,Restated
2009-09,,2.306B,83.80M,2.390B,,,2.459B,260.43M,7.415B,18.64M,171.41M,204.36M,4.02M,1.325M,399.76M,-213.53M,186.23M,62.58M,,62.58M,6.594B,,,6.594B,1.586B,156.40M,10.74B,18.23B,,,,,14.04B,330.88M,14.37B,,,,14.47B,1.428B,,1.428B,,,,200.68M,1.428B,15.99B,,4.425M,1.738B,416.66M,84.41M,-41.80M,2.032B,,AOR,Restated
2009-06,,539.35M,84.22M,623.57M,,,2.494B,169.77M,3.851B,,,,,,,,187.57M,62.58M,,62.58M,7.076B,,,7.076B,1.433B,148.95M,13.92B,17.83B,,,,,7.433B,258.37M,7.692B,,,,7.776B,198.35M,,198.35M,7.638B,,,211.77M,7.836B,15.66B,,1.222M,1.708B,402.27M,85.88M,-67.17M,1.962B,,AOR,Restated
2009-03,,317.19M,88.10M,405.29M,,,2.218B,162.02M,3.791B,,,,,,,,189.18M,62.58M,,62.58M,7.550B,,,7.550B,1.393B,143.54M,14.27B,18.12B,,,,,7.006B,236.74M,7.243B,,,,7.246B,326.53M,,326.53M,8.369B,,,202.78M,8.696B,16.02B,,4.418M,1.680B,392.55M,85.24M,-95.04M,1.896B,,AOR,Restated
2008-12,,569.36M,,569.36M,,,2.298B,,4.170B,,,,,,,,190.74M,,,62.58M,7.828B,106.14M,-44.60M,7.677B,940.33M,,14.11B,18.28B,,,,,6.893B,,6.893B,,,,6.893B,255.97M,,255.97M,8.793B,,,244.82M,9.049B,16.17B,,1.21M,1.687B,367.70M,87.05M,-103.82M,1.865B,,,Restated
2008-09,,3.207B,94.24M,3.302B,,,3.057B,287.84M,7.597B,18.64M,158.62M,190.44M,13.28M,4.866M,385.84M,-193.39M,192.45M,62.58M,,62.58M,7.095B,,,7.095B,1.436B,108.76M,13.10B,20.71B,,,,,15.68B,345.78M,16.03B,,,,16.15B,2.315B,,2.315B,,,,237.32M,2.315B,18.59B,,1.202M,1.640B,355.27M,81.76M,-33.98M,1.884B,,,Restated
2008-06,,745.29M,,745.29M,,,3.613B,,5.332B,,,,,,,,184.66M,,,62.58M,6.797B,77.58M,-39.42M,6.680B,1.199B,,12.95B,18.28B,,,,,7.390B,,7.390B,,,,7.721B,414.10M,,414.10M,7.746B,,,239.49M,8.160B,16.19B,,1.197M,1.603B,334.09M,86.20M,-5.191M,1.847B,,,Restated
2008-03,,892.00M,,892.00M,,,2.963B,,5.192B,,,,,,,,176.23M,,,62.58M,6.276B,70.22M,-29.94M,6.176B,1.333B,,12.89B,18.08B,,,,,7.278B,,7.278B,,,,7.667B,438.42M,,438.42M,7.712B,,,234.29M,8.151B,16.08B,,1.193M,1.547B,317.52M,85.32M,-7.899M,1.772B,,,Restated
2007-12,,720.29M,,720.29M,,,3.284B,,4.657B,,,,,,,,171.43M,,,62.58M,5.731B,59.26M,-18.36M,5.654B,1.571B,,12.44B,17.10B,,,,,7.603B,,7.603B,,,,8.351B,232.02M,,232.02M,6.209B,,,248.11M,6.441B,15.04B,,1.184M,1.501B,294.47M,23.46M,32.87M,1.806B,,,
2007-09,,681.36M,,681.36M,,,3.541B,,5.517B,,,,,,,,166.96M,,,62.58M,4.724B,47.02M,-13.24M,4.664B,1.349B,,10.74B,16.25B,,,,,7.543B,,7.543B,,,,8.086B,239.12M,,239.12M,5.585B,,,229.67M,5.824B,14.27B,,1.176M,1.462B,277.10M,16.05M,33.70M,1.758B,,,
2007-06,,745.00M,,745.00M,,,2.131B,,2.876B,,,,,,,,155.06M,,,62.58M,3.463B,30.55M,-5.55M,3.427B,3.073B,,7.337B,15.67B,,,,,12.24B,,12.24B,,,,12.78B,667.04M,,667.04M,,,,241.36M,667.04M,13.75B,,1.173M,1.409B,262.36M,15.47M,22.61M,1.680B,,,
2007-03,,660.48M,,660.48M,,,1.376B,,3.764B,,,,,,,,149.08M,,,62.58M,3.039B,25.34M,-4.839M,3.009B,1.222B,,5.046B,14.17B,,,,,11.16B,,11.16B,,,,11.48B,630.36M,,630.36M,,,,207.12M,630.36M,12.36B,,1.169M,1.354B,246.36M,15.10M,15.52M,1.602B,,,
2006-12,,565.05M,,565.05M,,,1.320B,,2.405B,,,,,,,,159.59M,,,62.58M,2.689B,,,2.689B,1.347B,,4.624B,12.28B,,,,,9.405B,,9.405B,,,,9.753B,548.57M,,548.57M,,,,215.17M,548.57M,10.53B,,1.16M,1.306B,221.93M,14.28M,14.07M,1.529B,,,
