,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,NotesReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.055M,,1.055M,40.71M,40.71M,335.66M,335.66M,29.86M,,407.29M,,,,,,739.91M,,,138.28M,7.300B,7.707B,,74.34M,95.13M,21.97M,191.45M,38.20M,229.65M,355.00M,355.00M,355.00M,,,,584.65M,3.397B,,3.397B,,,11.26M,922.33M,34.52M,4.354B,4.939B,,48.88M,-1.929B,4.639B,46.20M,-1.407M,2.757B,,AOR,Restated
2018-03,1.083M,,1.083M,39.47M,39.47M,644.21M,644.21M,19.77M,,704.53M,,,,,,732.58M,,,120.22M,7.005B,7.709B,,83.05M,95.12M,24.13M,202.31M,28.85M,231.16M,275.00M,275.00M,275.00M,,,,506.16M,3.406B,,3.406B,,,8.318M,876.12M,35.32M,4.317B,4.823B,,48.88M,-1.809B,4.639B,46.20M,-1.276M,2.877B,,AOR,Restated
2017-12,2.038M,,2.038M,19.47M,19.47M,588.64M,588.64M,19.79M,,629.94M,,,,,,720.83M,,,124.10M,7.103B,7.733B,,102.96M,91.46M,18.35M,212.76M,33.43M,246.19M,,,,,,,246.19M,3.672B,,3.672B,,,9.564M,948.14M,31.92M,4.652B,4.898B,,48.88M,-1.872B,4.651B,46.20M,-2.681M,2.826B,,AOR,Restated
2017-09,1.788M,,1.788M,18.59M,18.59M,532.58M,532.58M,20.41M,,573.38M,,,,,,839.86M,,,127.02M,7.187B,7.761B,,96.01M,91.45M,35.34M,222.80M,30.19M,252.99M,,,,,,,252.99M,3.679B,,3.679B,,,7.878M,943.18M,32.62M,4.655B,4.908B,,48.88M,-1.843B,4.644B,46.20M,-4.167M,2.845B,,AOR,Restated
2017-06,1.411M,,1.411M,17.29M,17.29M,465.30M,465.30M,19.60M,,503.60M,,,,,,843.17M,,,129.58M,7.264B,7.768B,,92.16M,91.45M,19.60M,203.20M,28.48M,231.68M,,,,,,,231.68M,3.635B,,3.635B,,,5.853M,967.80M,35.34M,4.638B,4.869B,,49.13M,-1.793B,4.641B,46.46M,-4.395M,2.893B,,AOR,Restated
2017-03,2.46M,,2.46M,19.79M,19.79M,393.84M,393.84M,19.76M,,435.84M,,,,,,818.99M,,,114.00M,7.300B,7.736B,,74.61M,91.44M,23.10M,189.15M,27.89M,217.04M,220.00M,220.00M,220.00M,,,,437.04M,3.317B,,3.317B,,,3.746M,904.78M,36.89M,4.259B,4.696B,,49.13M,-1.645B,4.636B,46.46M,-4.288M,3.036B,,AOR,Restated
2016-12,2.112M,,2.112M,19.79M,19.79M,342.28M,342.28M,19.99M,,384.18M,,,,,,827.02M,,,118.54M,7.295B,7.680B,,103.84M,86.94M,17.39M,208.16M,29.26M,237.42M,,,,,,,237.42M,3.401B,,3.401B,,,3.86M,909.48M,34.24M,4.345B,4.583B,,49.13M,-1.586B,4.635B,46.46M,-5.609M,3.093B,,AOR,Restated
2016-09,3.301M,,3.301M,19.69M,19.69M,294.84M,294.84M,108.40M,,426.23M,,,,,,917.94M,,,121.48M,7.225B,7.651B,,91.60M,86.96M,36.03M,214.59M,28.14M,242.72M,,,,,,,242.72M,3.544B,,3.544B,,,3.092M,900.76M,37.30M,4.482B,4.725B,,49.13M,-1.747B,4.632B,46.46M,-11.15M,2.923B,,AOR,Restated
2016-06,5.167M,,5.167M,19.69M,19.69M,238.94M,238.94M,55.26M,,319.06M,,,,,,933.40M,,,126.42M,7.291B,7.610B,,91.28M,86.96M,23.17M,201.40M,26.74M,228.14M,,,,,,,228.14M,3.465B,,3.465B,,,2.193M,929.98M,37.92M,4.433B,4.661B,,49.13M,-1.712B,4.623B,46.46M,-12.97M,2.947B,,AOR,Restated
2016-03,3.668M,,3.668M,16.69M,16.69M,196.40M,196.40M,21.03M,,237.79M,,,,,,944.86M,,,129.98M,7.364B,7.602B,,77.68M,86.96M,16.15M,180.79M,28.59M,209.38M,,,,,,,209.38M,3.412B,,3.412B,,,0.886M,970.62M,36.00M,4.418B,4.628B,,49.13M,-1.685B,4.621B,46.46M,-12.04M,2.973B,,AOR,Restated
2015-12,6.742M,,6.742M,16.69M,16.69M,124.07M,124.07M,20.80M,,168.31M,,,,,,938.91M,,,137.30M,7.496B,7.664B,,81.36M,80.37M,18.79M,180.51M,29.16M,209.67M,,,,,,,209.67M,3.571B,,3.571B,,,0.856M,946.44M,36.33M,4.554B,4.763B,,49.08M,-1.584B,4.448B,46.46M,-12.68M,2.900B,,AOR,Restated
2015-09,1.321M,,1.321M,15.49M,15.49M,104.08M,104.08M,23.72M,,144.62M,,,,,,921.92M,,20.21M,114.59M,6.778B,6.923B,,56.40M,75.94M,32.33M,164.66M,23.58M,188.24M,,,,,,,188.24M,3.513B,,3.513B,,,0.859M,312.16M,33.88M,3.859B,4.048B,,49.08M,-1.610B,4.450B,46.46M,-14.19M,2.874B,,AOR,Restated
2015-06,2.99M,,2.99M,15.49M,15.49M,92.64M,92.64M,22.91M,,134.04M,,,,,,914.82M,,19.93M,96.26M,6.806B,6.940B,,72.05M,75.13M,18.26M,165.45M,27.74M,193.18M,,,,,,,193.18M,3.564B,,3.564B,,,0.86M,290.28M,33.37M,3.888B,4.081B,,49.16M,-1.525B,4.343B,46.57M,-9.19M,2.858B,,AOR,Restated
2015-03,6.274M,,6.274M,15.49M,15.49M,196.51M,196.51M,23.27M,,241.54M,,,,,,763.54M,,21.68M,96.71M,6.617B,6.859B,,63.86M,75.13M,21.85M,160.83M,23.46M,184.29M,,,,,,,184.29M,3.517B,,3.517B,,,0.86M,311.88M,34.62M,3.863B,4.047B,,49.16M,-1.558B,4.334B,46.57M,-15.44M,2.810B,,AOR,Restated
2014-12,15.22M,,15.22M,14.37M,14.37M,177.63M,177.63M,22.34M,,229.56M,,,,,,718.23M,,,110.08M,6.599B,6.829B,,91.28M,69.46M,15.98M,176.72M,34.22M,210.94M,,,,,,,210.94M,3.565B,,3.565B,,,0.853M,282.48M,34.06M,3.882B,4.093B,,49.12M,-1.529B,4.224B,46.57M,-8.855M,2.735B,,AOR,Restated
2014-09,14.60M,,14.60M,18.32M,18.32M,321.09M,321.09M,23.97M,,377.99M,,,,,,650.44M,,24.34M,117.15M,6.520B,6.898B,,82.23M,69.49M,29.40M,181.12M,27.13M,208.25M,,,,,,,208.25M,3.628B,,3.628B,,,0.858M,249.81M,32.71M,3.911B,4.119B,,49.12M,-1.494B,4.224B,46.57M,-0.866M,2.778B,,AOR,Restated
2014-06,26.82M,,26.82M,44.25M,44.25M,275.82M,275.82M,53.61M,,400.49M,,,,,,612.69M,,25.54M,171.97M,6.532B,6.932B,,89.57M,68.56M,16.54M,174.66M,29.16M,203.82M,,,,,,,203.82M,3.748B,,3.748B,,,0.862M,266.59M,30.80M,4.045B,4.249B,,49.09M,-1.479B,4.115B,46.57M,-2.305M,2.683B,,AOR,Restated
2014-03,15.89M,,15.89M,84.57M,84.57M,222.60M,222.60M,23.13M,,346.19M,,,,,,517.93M,,25.52M,131.80M,6.488B,6.834B,,76.01M,68.54M,20.17M,164.72M,27.75M,192.47M,,,,,,,192.47M,3.628B,,3.628B,,,0.86M,240.71M,30.73M,3.900B,4.092B,,49.08M,-1.415B,4.111B,46.57M,-3.704M,2.741B,,AOR,Restated
2013-12,30.25M,,30.25M,83.03M,83.03M,466.00M,466.00M,22.80M,,602.08M,,,,,,507.66M,,26.92M,137.88M,6.206B,6.808B,,118.68M,61.91M,13.85M,194.44M,32.28M,226.72M,,,,,,,226.72M,3.524B,,3.524B,,,0.856M,217.60M,27.20M,3.769B,3.995B,,49.08M,-1.342B,4.110B,46.57M,-5.125M,2.812B,,AOR,Restated
2013-09,11.15M,,11.15M,66.71M,66.71M,486.95M,486.95M,23.02M,,587.83M,,,,,,531.71M,,27.27M,135.81M,6.168B,6.756B,,98.61M,61.91M,29.05M,189.57M,26.70M,216.27M,,,,,,,216.27M,3.463B,,3.463B,,,0.886M,220.96M,26.76M,3.711B,3.927B,,49.08M,-1.321B,4.107B,46.57M,-6.608M,2.828B,,AOR,Restated
2013-06,9.035M,,9.035M,66.70M,66.70M,432.46M,432.46M,24.84M,,533.04M,,,,,,533.34M,,27.04M,137.55M,6.211B,6.744B,,111.06M,61.91M,14.59M,187.55M,29.60M,217.15M,,,,,,,217.15M,3.395B,,3.395B,,,0.923M,237.65M,26.73M,3.659B,3.876B,,49.08M,-1.279B,4.104B,46.57M,-7.811M,2.866B,,AOR,Restated
2013-03,7.121M,,7.121M,66.19M,66.19M,451.68M,451.68M,24.63M,,549.62M,,,,,,461.40M,,23.65M,133.15M,6.341B,6.891B,,83.06M,61.91M,11.13M,156.10M,29.40M,185.50M,,,,,,,185.50M,3.499B,,3.499B,,,0.92M,225.60M,48.45M,3.773B,3.959B,,49.08M,-1.210B,4.102B,46.57M,-9.499M,2.931B,,AOR,Restated
2012-12,12.12M,,12.12M,64.01M,64.01M,489.80M,489.80M,23.56M,,589.48M,,,,,,477.63M,,24.99M,125.65M,6.270B,6.859B,,104.57M,57.92M,14.08M,176.56M,30.94M,207.50M,,,,,,,207.50M,3.409B,,3.409B,,,0.916M,223.42M,25.02M,3.658B,3.865B,,49.07M,-1.144B,4.099B,46.57M,-11.26M,2.993B,,AOR,Restated
2012-09,82.38M,,82.38M,64.00M,64.00M,,,25.09M,,198.28M,7.496B,355.46M,7.851B,-1.843B,6.009B,579.34M,,,124.36M,6.713B,6.911B,,97.16M,57.92M,26.41M,181.49M,29.50M,210.99M,,,,29.46M,29.46M,,240.45M,3.343B,,3.343B,,,237.37M,,38.74M,3.381B,3.622B,,49.07M,-1.082B,4.098B,46.57M,-13.07M,3.052B,,AOR,Restated
2012-06,184.11M,,184.11M,39.41M,39.41M,,,24.58M,,276.68M,7.479B,282.01M,7.761B,-1.770B,5.992B,580.10M,,,124.13M,6.696B,6.973B,,102.79M,57.31M,13.09M,173.19M,31.16M,204.35M,,,,29.43M,29.43M,,233.78M,3.345B,,3.345B,,,248.13M,,35.53M,3.381B,3.614B,,49.07M,-1.024B,4.099B,46.57M,-13.60M,3.110B,,AOR,Restated
2012-03,3.558M,,3.558M,13.20M,13.20M,,,24.22M,,72.62M,7.372B,225.82M,7.598B,-1.688B,5.910B,548.96M,,,410.95M,6.870B,6.943B,,75.44M,53.99M,16.02M,145.44M,31.13M,176.57M,,,,,,,176.57M,3.913B,,3.913B,,29.45M,256.43M,,33.48M,3.976B,4.153B,,130.46M,-1.127B,3.543B,128.18M,-13.94M,2.533B,,AOR,Restated
2011-12,12.50M,,12.50M,0.00,0.00,246.23M,246.23M,24.63M,,283.37M,,,,,,213.04M,,30.07M,198.36M,6.438B,6.721B,,95.48M,51.02M,13.40M,159.90M,23.21M,183.11M,,,,,,,183.11M,3.918B,,3.918B,29.10M,29.10M,4.734M,236.48M,35.52M,4.219B,4.403B,,130.38M,-1.143B,3.340B,128.18M,-13.90M,2.314B,,AOR,Restated
2011-09,13.48M,0.00,13.48M,7.80M,7.80M,,,19.64M,,64.63M,7.988B,192.82M,8.181B,-1.794B,6.387B,187.18M,,,166.30M,6.740B,6.805B,,109.07M,47.49M,28.73M,185.28M,23.92M,209.21M,,,,29.11M,29.11M,,238.31M,3.989B,,3.989B,,,213.47M,,37.68M,4.027B,4.265B,,130.37M,-1.111B,3.323B,128.18M,-15.43M,2.326B,,AOR,Restated
2011-06,21.63M,0.00,21.63M,7.80M,7.80M,,,20.22M,,74.40M,7.142B,157.30M,7.299B,-1.726B,5.573B,177.40M,,,137.42M,5.887B,5.962B,,104.18M,42.65M,14.52M,161.36M,23.34M,184.70M,,,,29.01M,29.01M,,213.71M,3.700B,,3.700B,,,191.08M,,30.52M,3.730B,3.944B,,130.15M,-1.075B,2.783B,128.18M,-10.28M,1.827B,,AOR,Restated
2011-03,11.69M,0.00,11.69M,7.80M,7.80M,,,15.36M,,56.70M,6.807B,112.54M,6.919B,-1.719B,5.200B,149.10M,,,95.81M,5.445B,5.502B,,90.62M,37.44M,17.60M,145.67M,20.84M,166.51M,,,,,,,166.51M,3.519B,,3.519B,,28.93M,127.10M,,26.96M,3.575B,3.741B,,133.58M,-1.045B,2.549B,131.71M,-3.696M,1.634B,,AOR,Restated
2010-12,9.486M,3.866M,13.35M,7.80M,7.80M,,,15.45M,,63.87M,6.783B,97.91M,6.881B,-1.638B,5.243B,148.06M,,,74.60M,5.466B,5.530B,,105.92M,36.56M,14.58M,157.07M,20.89M,177.96M,,,,28.94M,28.94M,,206.90M,3.568B,,3.568B,,,122.74M,,26.05M,3.594B,3.800B,,133.54M,-973.86M,2.450B,131.71M,-3.469M,1.606B,,AOR,Restated
2010-09,10.11M,41.87M,51.98M,7.80M,7.80M,,,14.88M,,100.88M,,,6.853B,-1.560B,5.292B,16.39M,,,67.62M,5.376B,5.477B,,63.77M,36.58M,28.87M,129.22M,19.94M,149.16M,,,,,,,149.16M,3.480B,,3.480B,,28.82M,120.66M,,27.04M,3.536B,3.685B,,133.53M,-895.07M,2.437B,131.71M,-3.741M,1.672B,,AOR,Restated
2010-06,8.074M,37.88M,45.95M,7.80M,7.80M,,,9.744M,,89.00M,6.251B,153.97M,6.405B,-1.489B,4.916B,17.48M,,,57.02M,4.990B,5.079B,,59.58M,32.29M,15.22M,107.09M,20.00M,127.09M,,,,,,,127.09M,3.412B,,3.412B,,28.84M,117.37M,,24.92M,3.465B,3.593B,,133.34M,-822.06M,2.062B,131.71M,-3.605M,1.369B,,AOR,Restated
2010-03,19.92M,37.99M,57.91M,7.80M,7.80M,,,8.642M,,101.06M,6.115B,239.39M,6.354B,-1.416B,4.938B,13.24M,,,63.06M,5.015B,5.116B,,56.45M,32.00M,16.90M,105.34M,20.10M,125.44M,,,,,,,125.44M,3.414B,,3.414B,,28.82M,108.80M,,30.22M,3.473B,3.599B,,134.01M,-753.63M,2.028B,132.40M,,1.408B,,AOR,Restated
2009-12,5.985M,37.65M,43.64M,7.80M,7.80M,,,8.879M,,86.92M,5.995B,319.76M,6.315B,-1.351B,4.964B,14.13M,,,67.82M,5.046B,5.133B,,80.68M,30.86M,16.98M,128.52M,19.15M,147.66M,,,,,28.83M,,176.49M,3.427B,,3.427B,,,102.30M,,31.80M,3.458B,3.635B,,133.95M,-687.18M,1.949B,132.40M,0.002M,1.395B,,AOR,Restated
2009-09,24.95M,37.02M,61.97M,7.30M,7.30M,,,8.28M,,103.56M,5.836B,232.96M,6.069B,-1.284B,4.785B,53.60M,,,68.52M,4.907B,5.010B,,56.56M,30.81M,32.50M,119.87M,19.11M,138.98M,,,,,,30.77M,169.75M,3.275B,,3.275B,,28.83M,3.486M,,99.14M,3.403B,3.573B,,158.87M,-628.44M,1.906B,157.34M,-2.714M,1.434B,,AOR,Restated
2009-06,4.983M,33.98M,38.96M,7.30M,7.30M,,,8.795M,,81.62M,5.720B,248.34M,5.968B,-1.214B,4.754B,63.48M,,,71.85M,4.889B,4.971B,,58.45M,30.39M,18.66M,107.50M,18.72M,126.22M,,,,,28.84M,30.84M,185.90M,3.214B,,3.214B,,,3.442M,,65.30M,3.279B,3.465B,,158.84M,-522.94M,1.872B,157.34M,-5.112M,1.502B,,AOR,Restated
2009-03,37.13M,32.13M,69.26M,207.30M,207.30M,,,8.617M,,285.18M,,,5.904B,-1.147B,4.757B,47.42M,,29.26M,66.56M,4.900B,5.186B,,67.04M,49.82M,19.14M,136.00M,21.57M,157.58M,,,,,,30.16M,187.74M,3.360B,,3.360B,,28.84M,3.389M,,70.56M,3.460B,3.648B,,158.83M,-470.52M,1.857B,157.34M,-11.06M,1.535B,,AOR,Restated
2008-12,12.74M,0.00,12.74M,207.45M,207.45M,,,7.726M,,257.08M,5.645B,186.82M,5.832B,-1.079B,4.753B,47.05M,,,86.61M,4.887B,5.144B,,71.40M,190.19M,14.04M,275.62M,20.74M,296.36M,,,,,28.84M,30.03M,355.24M,3.261B,,3.261B,,,111.44M,,,3.261B,3.616B,,47.94M,-448.74M,1.718B,46.57M,-11.93M,1.416B,,AOR,Restated
2008-09,2.861M,,2.861M,207.45M,207.45M,,,10.07M,,220.38M,5.594B,121.56M,5.716B,-999.68M,4.716B,46.86M,,30.58M,86.24M,4.880B,5.100B,,37.14M,47.15M,28.84M,113.13M,24.72M,137.85M,,,,,28.85M,,166.70M,3.351B,,3.351B,,,100.33M,,33.28M,3.384B,3.551B,,47.85M,-198.95M,1.489B,46.57M,0.637M,1.449B,,AOR,Restated
2008-06,1.412M,,1.412M,224.78M,224.78M,,,8.515M,32.31M,267.01M,,,5.351B,-935.37M,4.415B,48.18M,,,305.79M,4.769B,5.036B,,36.93M,47.55M,16.25M,100.72M,23.74M,124.46M,,,,,28.81M,28.27M,181.54M,3.220B,,3.220B,,,103.66M,,2.147M,3.222B,3.403B,,47.85M,-148.61M,1.494B,46.57M,0.772M,1.529B,,AOR,Restated
2008-03,60.19M,,60.19M,219.81M,219.81M,,,9.082M,,323.40M,4.833B,350.25M,5.183B,-895.06M,4.288B,396.10M,,,62.61M,4.747B,5.070B,,38.10M,47.78M,15.21M,101.09M,26.95M,128.04M,,,,,28.80M,,156.84M,3.179B,,3.179B,,,107.55M,,29.91M,3.209B,3.366B,,182.86M,-106.88M,1.521B,181.57M,,1.597B,,AOR,Restated
2007-12,3.219M,,3.219M,12.66M,12.66M,,,4.847M,,54.86M,5.612B,344.73M,5.956B,-1.372B,4.585B,48.26M,,,113.28M,4.746B,4.801B,,52.07M,49.15M,8.922M,110.14M,28.00M,138.14M,,,,,28.69M,,166.83M,3.503B,,3.503B,,,62.05M,,50.17M,3.553B,3.720B,,183.01M,-917.09M,1.753B,181.57M,,1.019B,,AOR,Restated
2007-09,2.353M,,2.353M,6.50M,6.50M,,,5.883M,,52.52M,5.588B,321.62M,5.909B,-1.379B,4.530B,28.43M,,,63.23M,4.622B,4.675B,,39.04M,49.70M,40.45M,129.19M,28.65M,157.84M,,,,,,,157.84M,3.439B,,3.439B,,,59.25M,,31.17M,3.470B,3.628B,,182.91M,-840.11M,1.645B,181.57M,,987.71M,,AOR,Restated
2007-06,2.928M,,2.928M,6.50M,6.50M,,,5.259M,,52.06M,5.756B,258.79M,6.015B,-1.371B,4.644B,53.96M,,,53.73M,4.751B,4.804B,,43.18M,49.12M,25.12M,117.42M,28.85M,146.27M,,,,,,,146.27M,3.594B,,3.594B,,,57.90M,,32.09M,3.626B,3.773B,,182.92M,-871.47M,1.661B,181.57M,,972.89M,,AOR,Restated
2007-03,1.676M,,1.676M,6.50M,6.50M,,,6.168M,,50.32M,5.727B,177.55M,5.904B,-1.309B,4.596B,52.72M,,,46.32M,4.695B,4.745B,,37.27M,49.52M,21.21M,108.00M,26.18M,134.18M,,,,,,,134.18M,3.471B,,3.471B,,,65.22M,,29.90M,3.501B,3.635B,,183.33M,-827.72M,1.689B,181.97M,,1.045B,,AOR,Restated
2006-12,2.143M,,2.143M,10.50M,10.50M,,,5.602M,,52.90M,5.616B,204.31M,5.820B,-1.254B,4.566B,5.85M,,,50.73M,4.623B,4.676B,,52.89M,46.94M,12.21M,112.04M,34.18M,146.22M,,,,,,,146.22M,3.339B,,3.339B,,,88.83M,,46.78M,3.386B,3.532B,,183.32M,-810.88M,1.683B,181.97M,,1.055B,,AOR,Restated
2006-09,28.75M,,28.75M,10.00M,10.00M,,,5.591M,,75.11M,5.568B,161.65M,5.730B,-1.179B,4.551B,,,,56.30M,4.607B,4.682B,,51.16M,47.20M,37.56M,135.92M,22.43M,158.35M,,,,,,,158.35M,3.333B,,3.333B,,,86.34M,,25.31M,3.358B,3.517B,,183.32M,-789.93M,1.686B,181.97M,,1.079B,,AOR,Restated
2006-06,6.29M,,6.29M,13.96M,13.96M,,,5.012M,,55.98M,5.612B,204.30M,5.816B,-1.208B,4.608B,,,,54.91M,4.663B,4.719B,,44.27M,47.17M,25.02M,116.46M,27.66M,144.12M,,,,,,,144.12M,3.402B,,3.402B,,,79.81M,,27.71M,3.430B,3.574B,,183.32M,-803.35M,1.685B,181.97M,,1.065B,,AOR,Restated
2006-03,36.34M,,36.34M,36.12M,36.12M,,,4.809M,,107.70M,5.443B,129.85M,5.573B,-1.182B,4.391B,,,,32.49M,4.423B,4.531B,,32.75M,47.08M,21.21M,101.04M,24.18M,125.22M,,,,,,,125.22M,3.214B,,3.214B,,,81.15M,,32.01M,3.246B,3.371B,,183.31M,-789.53M,1.685B,181.97M,,1.078B,,AOR,Restated
2005-12,15.54M,,15.54M,64.80M,64.80M,,,4.583M,,115.97M,5.422B,90.91M,5.512B,-1.124B,4.389B,,,,37.03M,4.426B,4.542B,,53.16M,45.31M,22.41M,120.89M,26.67M,147.56M,,,,,,,147.56M,3.160B,,3.160B,,,83.82M,,42.71M,3.202B,3.350B,,183.31M,-755.70M,1.680B,181.97M,,1.108B,,AOR,Restated
2005-09,5.48M,,5.48M,95.94M,95.94M,,,4.418M,,132.38M,5.274B,102.98M,5.377B,-1.077B,4.300B,-0.124M,,,47.95M,4.348B,4.480B,,49.84M,45.88M,36.68M,132.40M,21.79M,154.19M,,,,,,,154.19M,3.057B,,3.057B,,,76.46M,,41.42M,3.098B,3.252B,,183.34M,-784.31M,1.758B,181.97M,,1.152B,,AOR,Restated
