,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,259.74M,259.74M,186.94M,72.81M,12.37M,12.37M,,-0.746M,,,31.60M,1.128M,-30.47M,2.825M,16.88M,55.92M,1.128M,31.60M,-30.47M,-2.778M,-30.47M,22.68M,0.233M,22.44M,,,-1.843M,0.971M,20.60M,21.34M,162.48M,108.20M,54.28M,,0.07,,,,0.0728,0.07,,0.07,,,,0.0727,0.07,,267.31M,268.89M,0.3225,,AOR,Restated
2018-03,253.30M,253.30M,188.89M,64.41M,11.76M,11.76M,,-0.94M,,,29.94M,2.759M,-27.18M,2.009M,15.46M,48.95M,2.759M,29.94M,-27.18M,67.68M,-27.18M,89.45M,0.227M,89.22M,,,-7.469M,0.955M,81.76M,12.57M,229.22M,109.83M,119.40M,,0.30,,,,0.0414,0.30,,0.30,,,,0.0430,0.30,,267.55M,269.21M,0.31,,AOR,Restated
2017-12,252.88M,252.88M,188.72M,64.16M,11.59M,11.59M,,-0.586M,,,34.21M,0.548M,-33.66M,3.05M,16.29M,47.87M,0.548M,34.21M,-33.66M,62.48M,-33.66M,76.69M,-1.065M,77.76M,,,-6.383M,0.924M,69.24M,71.73M,221.95M,111.05M,110.90M,,0.1013,,0.00,,0.1027,0.26,,0.1006,,0.1533,,0.1019,0.25,,267.28M,268.77M,0.00,,AOR,Restated
2017-09,251.09M,251.09M,187.54M,63.55M,12.47M,12.47M,,-2.056M,,,30.10M,0.481M,-29.61M,1.95M,16.00M,47.55M,0.481M,30.10M,-29.61M,-0.237M,-29.61M,17.70M,0.127M,17.57M,,0.00,-1.38M,0.926M,16.19M,18.23M,156.55M,108.76M,47.79M,,0.0572,,0.00,,0.0648,0.06,,0.0567,,0.00,,0.0643,0.06,,267.06M,269.06M,0.31,,AOR,Restated
2017-06,247.98M,247.98M,185.21M,62.77M,11.43M,11.43M,,-1.191M,,,33.87M,0.515M,-33.35M,2.369M,15.37M,47.40M,0.515M,33.87M,-33.35M,-2.617M,-33.35M,11.43M,0.366M,11.06M,,0.00,-0.905M,0.929M,10.16M,11.31M,155.31M,110.02M,45.29M,,0.0346,,0.00,,0.0389,0.03,,0.0343,,0.00,,0.0386,0.03,,266.97M,268.86M,0.31,,AOR,Restated
2017-03,243.84M,243.84M,181.46M,62.39M,13.08M,13.08M,,-0.502M,,,30.54M,0.427M,-30.11M,1.691M,16.37M,46.01M,0.427M,30.54M,-30.11M,10.70M,-30.11M,26.60M,0.332M,26.26M,,2.132M,-2.429M,0.929M,25.97M,24.33M,163.78M,106.64M,57.14M,,0.0859,,0.00,,0.0877,0.09,,0.0853,,0.0079,,0.0871,0.09,,266.79M,268.69M,0.31,,AOR,Restated
2016-12,243.01M,243.01M,177.94M,65.07M,13.26M,13.26M,,1.102M,,,29.30M,0.481M,-28.81M,2.369M,17.08M,47.98M,0.481M,29.30M,-28.81M,37.05M,-28.81M,56.22M,12.28M,43.93M,,215.81M,-22.32M,0.93M,237.42M,20.75M,189.51M,104.00M,85.51M,,0.1359,,0.0000,,0.1327,0.89,,0.1334,,0.7382,,0.1302,0.88,,266.50M,268.47M,0.295,,AOR,Restated
2016-09,243.25M,243.25M,182.31M,60.94M,11.83M,11.83M,,-0.205M,,,31.95M,0.478M,-31.48M,1.636M,14.99M,45.96M,0.478M,31.95M,-31.48M,15.08M,-31.48M,29.56M,0.094M,29.47M,,,-2.51M,0.929M,26.96M,27.16M,168.84M,107.33M,61.51M,,0.10,,,,0.1008,0.10,,0.10,,,,0.1008,0.10,,266.30M,268.30M,0.295,,AOR,Restated
2016-06,238.79M,238.79M,181.28M,57.50M,10.84M,10.84M,,-1.629M,,,30.68M,0.54M,-30.14M,1.892M,14.21M,43.29M,0.54M,30.68M,-30.14M,-1.304M,-30.14M,11.85M,-0.402M,12.25M,,7.315M,-1.618M,0.929M,17.95M,11.61M,149.95M,107.42M,42.52M,,0.0364,,0.00,,0.0401,0.06,,0.0362,,0.0273,,0.0398,0.06,,266.27M,268.17M,0.295,,AOR,Restated
2016-03,234.82M,234.82M,179.54M,55.27M,13.84M,13.84M,,0.00,,,31.10M,0.431M,-30.67M,1.752M,17.15M,38.12M,0.431M,31.10M,-30.67M,0.679M,-30.67M,8.131M,-0.403M,8.534M,,3.07M,-1.211M,0.929M,10.39M,7.323M,146.13M,106.89M,39.24M,,0.0244,,0.00,,0.0244,0.04,,0.0242,,0.0116,,0.0242,0.04,,262.46M,264.28M,0.295,,AOR,Restated
2015-12,237.60M,237.60M,179.41M,58.20M,17.99M,17.99M,,0.045M,,,33.17M,0.407M,-32.76M,3.534M,23.43M,34.77M,0.407M,33.17M,-32.76M,1.097M,-32.76M,3.104M,-1.424M,4.528M,,172.64M,-10.75M,0.93M,166.42M,-6.247M,143.08M,106.81M,36.27M,,0.62,0.00,0.0000,,0.6199,0.62,,0.61,0.00,0.6487,,0.6099,0.61,,260.86M,274.95M,0.2775,,AOR,Restated
2015-09,221.42M,221.42M,160.76M,60.66M,15.82M,15.82M,,-0.541M,,,30.23M,0.402M,-29.83M,2.639M,19.92M,40.74M,0.402M,30.23M,-29.83M,2.15M,-29.83M,13.06M,-0.633M,13.70M,,,-0.404M,0.93M,13.29M,13.62M,135.32M,92.02M,43.29M,,0.05,,,,0.0513,0.05,,0.05,,,,0.0512,0.05,,259.11M,261.21M,0.555,,AOR,Restated
2015-06,215.86M,215.86M,158.53M,57.34M,13.72M,13.72M,,-0.843M,,,29.67M,0.382M,-29.29M,1.769M,17.19M,40.14M,0.382M,29.67M,-29.29M,-1.416M,-29.29M,9.438M,-1.404M,10.84M,,79.04M,-3.029M,0.931M,86.86M,8.319M,131.16M,92.04M,39.11M,,0.0267,,0.00,,0.0287,0.33,,0.0262,,0.3008,,0.0281,0.33,,257.85M,262.81M,0.2775,,AOR,Restated
2015-03,219.75M,219.75M,157.94M,61.81M,12.15M,12.15M,,-0.996M,,,28.80M,0.36M,-28.44M,1.766M,15.54M,46.27M,0.36M,28.80M,-28.44M,58.16M,-28.44M,75.99M,-0.425M,76.42M,,,-2.595M,0.931M,73.82M,74.42M,195.19M,90.40M,104.79M,,0.28,,,,0.2823,0.28,,0.28,,,,0.2823,0.28,,256.83M,258.66M,0.26,,AOR,Restated
2014-12,209.55M,209.55M,159.19M,50.36M,11.72M,11.72M,,-0.041M,,,32.79M,-0.044M,-32.84M,2.174M,16.01M,34.35M,-0.044M,32.79M,-32.84M,-2.115M,-32.84M,-0.602M,-7.087M,6.485M,0.00,61.27M,-2.335M,0.931M,65.42M,4.177M,125.71M,93.52M,32.19M,,0.25,0.00,0.00,,0.2501,0.25,,0.25,0.00,0.2393,,0.2501,0.25,,254.01M,255.76M,0.26,,AOR,Restated
2014-09,206.75M,206.75M,158.72M,48.03M,11.55M,11.55M,,0.00,,,33.09M,9.061M,-24.03M,2.009M,14.95M,33.08M,9.061M,33.09M,-24.03M,-0.939M,-24.03M,8.119M,-2.492M,10.61M,0.079M,31.30M,-1.443M,0.931M,40.55M,9.168M,131.93M,90.72M,41.21M,,0.16,0.00,0.00,,0.16,0.16,,0.16,0.00,0.1234,,0.16,0.16,,251.66M,253.73M,0.26,,AOR,Restated
2014-06,203.71M,203.71M,154.96M,48.75M,12.53M,12.53M,,0.00,,,31.69M,1.426M,-30.26M,2.162M,15.88M,32.86M,1.426M,31.69M,-30.26M,-0.428M,-30.26M,2.169M,-2.19M,4.359M,0.018M,26.71M,-1.079M,0.931M,30.01M,3.28M,123.93M,90.07M,33.86M,,0.12,0.00,0.00,,0.12,0.12,,0.12,0.00,0.1059,,0.12,0.12,,250.26M,252.19M,0.26,,AOR,Restated
2014-03,198.04M,198.04M,156.03M,42.01M,11.99M,11.99M,,-0.50M,,,32.88M,1.415M,-31.47M,1.926M,15.00M,27.01M,1.415M,32.88M,-31.47M,-4.065M,-31.47M,-8.524M,-3.329M,-5.195M,-0.087M,24.29M,-0.651M,0.931M,18.36M,-5.541M,113.97M,89.61M,24.36M,,0.07,0.00,0.00,,0.0712,0.07,,0.07,0.00,0.0965,,0.0712,0.07,,250.18M,251.82M,0.235,,AOR,Restated
2013-12,193.42M,193.42M,153.67M,39.75M,11.53M,11.53M,,0.00,,,33.36M,1.328M,-32.03M,1.925M,16.74M,23.01M,1.328M,33.36M,-32.03M,5.666M,-32.03M,-3.358M,0.015M,-3.373M,41.38M,,-1.302M,0.931M,36.70M,-4.675M,121.93M,91.93M,30.00M,,-0.02,0.16,,,-0.02,0.14,,-0.02,0.16,,,-0.02,0.14,,249.99M,249.99M,0.235,,AOR,Restated
2013-09,191.12M,191.12M,149.67M,41.45M,11.36M,11.36M,,6.46M,,,30.94M,0.829M,-30.11M,1.775M,14.32M,27.14M,0.829M,30.94M,-30.11M,2.666M,-30.11M,-0.307M,-2.658M,2.351M,0.884M,0.00,-0.047M,0.931M,3.188M,-1.895M,116.07M,85.44M,30.63M,,0.01,0.00,0.00,,-0.0068,0.01,,0.01,0.00,0.00,,-0.0067,0.01,,249.98M,251.45M,0.235,,AOR,Restated
2013-06,189.50M,189.50M,148.79M,40.72M,9.866M,9.866M,,2.772M,,,30.80M,1.446M,-29.36M,1.80M,12.80M,27.91M,1.446M,30.80M,-29.36M,3.287M,-29.36M,1.841M,-2.683M,4.524M,0.83M,0.00,-0.162M,0.931M,5.192M,2.560M,118.91M,86.27M,32.64M,,0.01,0.01,0.00,,0.0028,0.02,,0.01,0.01,0.00,,0.0028,0.02,,249.98M,251.41M,0.235,,AOR,Restated
2013-03,184.88M,184.88M,146.02M,38.87M,9.476M,9.476M,,3.021M,,,30.98M,1.016M,-29.96M,1.636M,12.26M,26.61M,1.016M,30.98M,-29.96M,0.219M,-29.96M,-3.135M,-1.973M,-1.162M,0.853M,0.00,0.041M,0.931M,-0.268M,-3.085M,112.43M,84.59M,27.85M,,-0.01,0.0034,0.00,,-0.0179,-0.01,,-0.01,0.0034,0.00,,-0.0179,-0.01,,249.92M,249.92M,0.22,,AOR,Restated
2012-12,176.10M,176.10M,140.11M,35.99M,10.65M,10.65M,,-8.495M,,,30.66M,1.089M,-29.57M,1.434M,13.18M,22.82M,1.089M,30.66M,-29.57M,-11.25M,-29.57M,-18.01M,-1.628M,-16.38M,3.425M,,0.655M,0.931M,-12.30M,-7.998M,97.20M,84.55M,12.65M,,-0.05,0.00,,,-0.0191,-0.05,,-0.05,0.00,,,-0.0191,-0.05,,249.88M,249.88M,0.22,,AOR,Restated
2012-09,185.09M,185.09M,152.69M,32.39M,10.02M,10.02M,,0.00,,,31.84M,1.235M,-30.61M,1.467M,12.57M,19.83M,1.235M,31.84M,-30.61M,-0.719M,-30.61M,-11.50M,-2.96M,-8.543M,-1.133M,,0.645M,0.931M,-9.031M,-7.898M,109.64M,89.30M,20.34M,,-0.04,0.00,,,-0.04,-0.04,,-0.04,0.00,,,-0.04,-0.04,,249.82M,249.82M,0.22,,AOR,Restated
2012-06,180.19M,180.19M,146.50M,33.70M,13.74M,13.74M,,0.00,,,41.54M,0.506M,-41.04M,1.434M,16.19M,17.51M,0.506M,41.54M,-41.04M,-2.412M,-41.04M,-25.94M,-2.818M,-23.12M,179.43M,,-5.954M,1.84M,150.35M,-29.08M,101.09M,85.49M,15.60M,,-0.12,0.74,,,-0.12,0.62,,-0.12,0.74,,,-0.12,0.62,,234.03M,234.03M,0.22,,AOR,Restated
2012-03,175.23M,175.23M,147.94M,27.29M,9.379M,9.379M,,0.00,,,34.74M,0.694M,-34.05M,1.383M,11.68M,15.61M,0.694M,34.74M,-34.05M,-2.691M,-34.05M,-21.14M,-22.88M,1.741M,84.89M,,-3.472M,2.308M,83.16M,-1.731M,108.78M,95.16M,13.61M,,-0.02,0.38,,,-0.02,0.37,,-0.02,0.38,,,-0.02,0.37,,221.50M,221.50M,0.435,,AOR,Restated
2011-12,158.43M,158.43M,381.59M,-223.16M,,12.01M,,,,,39.58M,,-31.83M,1.645M,-221.39M,-1.767M,,39.58M,-31.83M,-2.092M,-31.83M,-35.69M,-5.82M,-29.87M,77.98M,,-1.62M,,46.50M,-31.49M,102.16M,98.27M,3.895M,,-0.12,0.36,,,-0.12,0.22,,-0.12,0.36,,,-0.12,0.22,,218.01M,218.01M,0.20,,AOR,Restated
2011-09,169.09M,169.09M,57.33M,111.75M,,11.86M,,,,,39.98M,,-39.97M,1.495M,100.17M,11.58M,,39.98M,-39.97M,-1.58M,-39.97M,-29.97M,0.059M,-30.03M,16.24M,,0.535M,,-13.25M,-29.49M,108.71M,98.70M,10.01M,,-0.15,0.08,,,-0.15,-0.07,,-0.15,0.08,,,-0.15,-0.07,,213.82M,213.82M,0.00,,AOR,Restated
2011-06,153.49M,153.49M,53.30M,100.19M,,12.88M,,,,,37.66M,,-37.66M,1.542M,95.31M,4.878M,,37.66M,-37.66M,-1.348M,-37.66M,-34.13M,0.00,-34.13M,49.04M,,-0.258M,0.931M,14.65M,-34.39M,95.68M,92.15M,3.53M,,-0.19,0.26,,,-0.19,0.06,,-0.19,0.26,,,-0.19,0.06,,190.48M,190.48M,0.20,,AOR,Restated
2011-03,142.35M,142.35M,52.82M,89.53M,,10.63M,,,,,39.16M,,-39.16M,,81.89M,7.642M,,39.16M,-39.16M,-1.332M,-39.16M,-32.85M,0.00,-32.85M,4.191M,,0.781M,2.368M,-27.88M,-32.07M,91.47M,85.16M,6.31M,,-0.19,0.02,,,-0.19,-0.17,,-0.19,0.02,,,-0.19,-0.17,,182.53M,182.53M,0.37,,AOR,Restated
2010-12,71.68M,84.18M,184.45M,-100.27M,,98.19M,,,,,32.70M,,-33.90M,1.431M,-106.35M,6.084M,,32.70M,-33.90M,-8.25M,-33.90M,-36.07M,,-33.54M,4.221M,,0.861M,,-28.46M,-32.68M,79.67M,83.04M,-3.37M,,-0.20,0.03,,,-0.20,-0.17,,-0.20,0.03,,,-0.20,-0.17,,180.90M,180.90M,0.185,,AOR,Restated
2010-09,152.33M,152.33M,57.56M,94.77M,,11.99M,,,,,37.08M,,-37.08M,1.403M,85.50M,9.272M,,37.08M,-37.08M,-0.835M,-37.08M,-28.64M,,-28.64M,4.037M,,0.839M,,-23.77M,-27.80M,85.22M,76.78M,8.437M,,-0.18,0.02,,,-0.18,-0.16,,-0.18,0.02,,,-0.18,-0.16,,165.40M,165.40M,0.18,,AOR,Restated
2010-06,148.70M,148.70M,55.53M,93.17M,,10.29M,,,,,37.18M,,-37.18M,1.457M,83.31M,9.86M,,37.18M,-37.18M,-1.185M,-37.18M,-28.50M,,-28.50M,0.861M,,1.019M,0.931M,-26.62M,-27.48M,83.71M,75.03M,8.675M,,-0.19,0.01,,,-0.19,-0.18,,-0.19,0.01,,,-0.19,-0.18,,160.89M,160.89M,0.18,,AOR,Restated
2010-03,146.62M,146.62M,57.08M,89.54M,,9.64M,,,,,36.10M,,-36.10M,,80.00M,9.541M,,36.10M,-36.10M,-0.737M,-36.10M,,,-27.30M,2.27M,,0.97M,2.379M,-24.06M,-26.33M,82.97M,73.43M,9.541M,,-0.18,0.01,,,-0.18,-0.17,,-0.18,0.01,,,-0.18,-0.17,,156.13M,156.13M,0.18,,AOR,Restated
2009-12,110.99M,100.38M,29.84M,70.54M,,11.72M,,,,,33.06M,,-33.06M,,65.23M,5.305M,,33.06M,-33.06M,-0.478M,-33.06M,,,-28.55M,2.763M,,0.916M,-0.074M,-24.87M,-27.63M,58.72M,72.08M,-13.36M,,-0.18,0.02,,,-0.18,-0.16,,-0.18,0.02,,,-0.18,-0.16,,152.71M,152.71M,0.18,,AOR,Restated
2009-09,149.76M,151.38M,57.46M,93.92M,,8.673M,,,,,38.64M,,-38.64M,,79.09M,14.83M,,38.64M,-38.64M,-16.74M,-38.64M,,,-40.56M,0.80M,,1.779M,2.80M,-37.98M,-38.78M,85.38M,70.55M,14.83M,,-0.28,0.01,,,-0.28,-0.27,,-0.28,0.01,,,-0.28,-0.27,,150.00M,150.00M,0.18,,AOR,Restated
2009-06,155.80M,155.80M,56.64M,99.16M,,8.905M,,,,,33.69M,,-33.69M,,79.45M,19.71M,,33.69M,-33.69M,-0.728M,-33.69M,-14.71M,0.00,-14.71M,2.053M,,0.602M,2.80M,-12.06M,-14.11M,89.52M,70.54M,18.98M,,-0.11,0.01,,,-0.11,-0.10,,-0.11,0.01,,,-0.11,-0.10,,149.44M,149.44M,0.00,,AOR,Restated
2009-03,155.64M,155.64M,57.36M,98.28M,,9.456M,,-0.241M,,,30.69M,,-30.69M,,79.84M,18.45M,,30.69M,-30.69M,-0.958M,-30.69M,-13.20M,0.051M,-13.26M,-0.168M,,0.794M,2.80M,-12.63M,-12.30M,87.87M,70.38M,17.49M,,-0.11,0.00,,,-0.1089,-0.11,,-0.11,0.00,,,-0.1089,-0.11,,144.18M,144.18M,0.305,,AOR,Restated
2008-12,155.36M,155.36M,307.77M,-152.41M,,17.64M,,-1.13M,,,28.22M,,-28.22M,,-161.00M,8.584M,,28.22M,-28.22M,-1.456M,-28.22M,-1.668M,15.46M,-17.12M,-0.735M,,2.521M,2.80M,-15.34M,-13.87M,99.90M,73.34M,26.55M,,-0.19,0.40,,,-0.1829,0.21,,-0.19,0.40,,,-0.1829,0.21,,103.08M,103.08M,0.66,,AOR,Restated
2008-09,157.38M,157.38M,57.05M,100.33M,,9.835M,,-0.833M,,,39.01M,,-39.01M,,76.53M,23.81M,,39.01M,-39.01M,-2.73M,-39.01M,-17.93M,-0.829M,-17.10M,6.736M,,0.45M,-0.136M,-9.914M,-15.86M,87.77M,66.69M,21.08M,,-0.12,0.05,,,-0.1142,-0.07,,-0.12,0.05,,,-0.1142,-0.07,,137.33M,137.33M,0.33,,AOR,Restated
2008-06,146.64M,146.64M,51.23M,95.42M,,9.931M,,,,,38.35M,,-38.35M,,73.38M,22.04M,,38.35M,-38.35M,-1.015M,-38.35M,-17.33M,-3.649M,-13.68M,13.32M,,-0.312M,3.209M,-0.677M,-13.99M,84.47M,63.45M,21.02M,,-0.13,0.10,,,-0.13,-0.03,,-0.13,0.10,,,-0.13,-0.03,,137.97M,137.97M,0.33,,AOR,Restated
2008-03,131.21M,131.21M,45.94M,85.28M,,9.769M,,,,,40.51M,,-40.51M,-3.069M,60.06M,25.21M,,40.51M,-40.51M,-0.374M,-40.51M,-15.67M,-1.265M,-14.40M,786.86M,,-48.74M,3.209M,723.72M,-63.14M,78.20M,53.36M,24.84M,,-0.12,5.17,,,-0.12,5.05,,-0.12,5.17,,,-0.12,5.05,,142.55M,142.55M,0.33,,AOR,Restated
2007-12,132.65M,117.26M,45.82M,71.44M,,11.22M,,,,,41.64M,,-41.64M,,63.11M,8.338M,,41.64M,-41.64M,,-41.64M,,,10.84M,16.46M,,,3.184M,103.99M,87.53M,145.65M,65.15M,80.50M,,0.61,0.02,,,0.61,0.63,,0.61,0.02,,,0.61,0.63,,177.28M,177.28M,0.33,,AOR,Restated
2007-09,128.19M,134.49M,47.69M,86.80M,,8.788M,,,,,42.17M,,-42.17M,,57.73M,29.07M,,42.17M,-42.17M,,-42.17M,,,12.53M,91.36M,,,3.26M,78.83M,-12.53M,94.70M,65.63M,29.07M,,-0.12,0.68,,,-0.12,0.56,,-0.12,0.68,,,-0.12,0.56,,133.85M,133.85M,0.33,,AOR,Restated
2007-06,127.24M,127.24M,44.45M,82.79M,,9.67M,,,,,38.23M,,-38.23M,,58.20M,24.59M,,38.23M,-38.23M,1.066M,-38.23M,,,-12.58M,19.27M,,,3.624M,6.696M,-12.58M,89.84M,65.25M,24.59M,,-0.13,0.14,,,-0.13,0.01,,-0.13,0.14,,,-0.13,0.01,,134.73M,134.73M,0.33,,AOR,Restated
2007-03,126.42M,126.42M,45.85M,80.56M,,9.892M,,,,,39.73M,,-39.73M,,55.08M,25.48M,,39.73M,-39.73M,1.004M,-39.73M,,,-13.24M,45.07M,,,3.842M,31.83M,-13.24M,90.50M,65.01M,25.48M,,-0.13,0.34,,,-0.13,0.21,,-0.13,0.34,,,-0.13,0.21,,134.51M,134.51M,0.3125,,AOR,Restated
2006-12,-33.33M,-33.33M,-16.16M,-17.17M,,10.22M,,,,,41.10M,,-41.10M,,10.91M,-28.09M,,41.10M,-41.10M,4.281M,-41.10M,,,-64.91M,89.97M,,,3.843M,25.06M,-64.91M,37.00M,65.08M,-28.09M,,-0.51,0.67,,,-0.51,0.16,,-0.51,0.67,,,-0.51,0.16,,133.95M,133.95M,0.3125,,AOR,Restated
2006-09,171.64M,171.64M,66.56M,105.08M,,7.381M,,,,,47.07M,,-47.07M,,65.67M,39.41M,,47.07M,-47.07M,0.762M,-47.07M,,,-6.893M,66.24M,,,3.842M,59.35M,-6.893M,102.10M,62.68M,39.41M,,-0.08,0.50,,,-0.08,0.42,,-0.08,0.50,,,-0.08,0.42,,133.71M,133.71M,0.3125,,AOR,Restated
