,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2017-09,17.57M,,0.00,-1.819M,-1.819M,108.76M,108.76M,,,,3.239M,2.966M,,,0.377M,17.63M,,18.01M,149.66M,,-41.51M,,,-34.66M,,-1.304M,-100.66M,,44.56M,,44.56M,,0.00,0.00,,,,-82.95M,-0.918M,-83.87M,-8.514M,-47.82M,,21.01M,1.188M,22.20M,,,45.66M,-1.094M,0.00,,,,AOR,Restated
2017-06,11.06M,,0.00,1.426M,1.426M,110.02M,110.02M,,,,3.454M,5.888M,,,-12.19M,-1.512M,,-13.70M,119.36M,,-30.16M,,,-43.32M,,2.50M,-119.89M,,98.56M,,98.56M,,0.00,0.00,,,,-82.90M,-0.933M,-83.83M,-15.39M,-0.668M,,22.22M,-1.204M,21.01M,,,323.21M,-224.66M,0.00,,,,AOR,Restated
2017-03,28.40M,,-2.132M,-11.20M,-13.33M,106.64M,106.64M,,,,3.379M,4.215M,,,4.034M,-14.53M,,-10.49M,120.26M,,-23.19M,,,-24.19M,,,-162.82M,,135.33M,,135.33M,,0.00,0.00,,,,-78.94M,-0.925M,-79.87M,-12.79M,42.67M,,22.11M,0.111M,22.22M,,,234.79M,-99.46M,0.00,,,,AOR,Restated
2016-12,259.75M,,-215.81M,-35.94M,-251.76M,104.00M,104.00M,,,,2.862M,33.00M,,,-18.75M,-13.46M,,-32.21M,153.45M,,-32.00M,,,-10.33M,,69.41M,158.88M,,-223.07M,,-223.07M,-0.027M,,-0.027M,,,,-78.83M,-0.934M,-79.76M,-11.46M,-314.32M,,3.301M,-1.993M,22.11M,,-0.027M,-71.92M,-151.14M,,,,,AOR,Restated
2016-09,29.47M,,0.00,-15.28M,-15.28M,107.33M,107.33M,0.805M,,,3.461M,0.928M,,,-2.095M,14.23M,,12.14M,156.65M,,-13.12M,,,-9.197M,,-69.41M,-149.15M,,80.41M,,80.41M,-0.045M,,-0.045M,,,,-78.58M,-0.925M,-79.51M,-10.23M,-9.371M,,5.167M,-1.866M,3.301M,,-0.045M,287.73M,-207.32M,,,,,AOR,Restated
2016-06,19.56M,,-7.315M,-0.325M,-7.64M,107.42M,107.42M,-0.402M,,,3.196M,3.065M,,,-6.698M,-6.48M,,-13.18M,113.71M,,-25.47M,,,-7.373M,,-3.00M,-77.23M,,52.88M,,52.88M,-0.017M,,-0.017M,,,,-78.81M,-0.934M,-79.74M,-8.099M,-34.98M,,3.668M,1.499M,5.167M,,-0.017M,134.20M,-81.32M,,,,,AOR,Restated
2016-03,11.60M,,-3.07M,-0.679M,-3.749M,106.89M,106.89M,-0.403M,,,3.879M,2.497M,,,-1.853M,-6.378M,,-8.231M,112.76M,,-25.58M,,,-13.26M,,,-45.23M,,-159.23M,,-159.23M,173.30M,,173.30M,,,,-72.70M,-0.924M,-73.63M,-11.05M,-70.61M,,6.742M,-3.074M,3.668M,,173.30M,0.00,-159.23M,,,,,AOR,Restated
2015-12,177.16M,,-172.64M,-1.052M,-173.69M,106.81M,106.81M,2.462M,,,3.578M,-2.37M,,,5.374M,6.485M,,11.86M,152.82M,,-34.65M,,,-21.04M,,-1.20M,-37.27M,,-19.61M,,-19.61M,-0.12M,,-0.12M,,,,-72.71M,-0.93M,-73.64M,-16.77M,-110.14M,,1.321M,5.421M,6.742M,,-0.12M,127.60M,-147.21M,,,,,AOR,Restated
2015-09,13.70M,,0.00,-2.691M,-2.691M,92.02M,92.02M,-0.633M,,,5.379M,-0.153M,,,-17.46M,-1.366M,,-18.82M,88.80M,,-33.70M,,,-12.53M,,0.00,-64.42M,,-50.11M,,-50.11M,101.39M,,101.39M,,,,-71.90M,-0.93M,-72.83M,-4.503M,-26.05M,,2.99M,-1.669M,1.321M,,101.39M,-5.19M,-44.92M,,,,,AOR,Restated
2015-06,89.88M,,-79.04M,0.573M,-78.47M,92.04M,92.04M,-1.404M,,,4.80M,2.873M,,,2.637M,8.62M,,11.26M,120.98M,,-28.24M,,,-158.62M,,0.00,-114.24M,,65.61M,,65.61M,-0.051M,,-0.051M,,,,-71.87M,-0.931M,-72.80M,-2.791M,-10.03M,,6.274M,-3.284M,2.99M,,-0.051M,68.00M,-2.391M,,,,,AOR,Restated
2015-03,76.42M,,,-59.16M,-59.16M,90.40M,90.40M,-0.425M,,,4.26M,3.06M,,,4.794M,-23.33M,,-18.54M,96.02M,,-20.87M,,,-25.46M,,-1.125M,-49.54M,,-90.98M,,-90.98M,108.79M,,108.79M,,,,-66.69M,-0.931M,-67.62M,-5.62M,-55.43M,,15.22M,-8.95M,6.274M,,108.79M,236.50M,-327.48M,,,,,AOR,Restated
2014-12,67.75M,,-61.27M,2.074M,-59.19M,93.52M,93.52M,-7.087M,,,,-7.348M,,,4.796M,3.984M,,8.78M,115.32M,,-15.57M,,,-51.77M,,3.949M,2.309M,,-44.07M,,-44.07M,-0.142M,,-0.142M,,,,-66.36M,-0.931M,-67.29M,-5.513M,-117.02M,,14.60M,0.619M,15.22M,,-0.142M,-7.50M,-36.57M,,,,,AOR,Restated
2014-09,41.99M,,-31.38M,0.939M,-30.44M,90.72M,90.72M,-2.49M,,,,6.898M,,,-11.55M,0.627M,,-10.92M,95.76M,,-26.12M,,,-46.60M,,25.92M,-21.34M,,-118.59M,,-118.59M,99.99M,,99.99M,,,,-65.40M,-0.931M,-66.34M,-1.708M,-86.64M,,26.82M,-12.21M,14.60M,,99.99M,-116.50M,-2.086M,,,,,AOR,Restated
2014-06,31.09M,,-26.71M,0.428M,-26.28M,90.07M,90.07M,-2.23M,,,,6.357M,,,-2.745M,7.436M,,4.691M,103.69M,,-29.15M,,,-99.08M,,40.34M,-142.86M,,120.59M,,120.59M,0.00,,0.00,,,,-65.39M,-0.931M,-66.32M,-4.172M,50.10M,,15.89M,10.92M,26.82M,,0.00,288.90M,-168.32M,,,,,AOR,Restated
2014-03,19.01M,,-24.29M,3.565M,-20.73M,89.61M,89.61M,-3.329M,,,,7.197M,,,8.422M,-17.66M,,-9.243M,82.52M,,-31.34M,,,-25.48M,,-1.535M,-136.71M,,105.57M,,105.57M,0.00,,0.00,,,,-58.95M,-0.931M,-59.88M,-5.854M,39.83M,,30.25M,-14.36M,15.89M,,0.00,292.05M,-186.49M,,,,,AOR,Restated
2013-12,38.00M,,,-5.666M,-47.58M,91.93M,91.93M,0.015M,,,,-3.998M,,,-2.592M,-8.17M,,-10.76M,78.60M,,-42.32M,,,-18.66M,,-16.35M,5.291M,,-2.039M,,-2.039M,,,,,,,-58.92M,-0.93M,-59.86M,-2.902M,-64.80M,,11.15M,19.10M,30.25M,,,0.00,-2.039M,,,,,AOR,Restated
2013-09,3.235M,,,3.794M,3.794M,85.44M,85.44M,-2.658M,,,,8.242M,,,-9.901M,0.754M,,-9.147M,88.91M,,-32.22M,,,-6.461M,,0.00,-92.59M,,69.47M,,69.47M,0.00,,0.00,,,,-58.82M,-0.932M,-59.75M,-3.93M,5.793M,,9.035M,2.114M,11.15M,,0.00,147.44M,-77.97M,,,,,AOR,Restated
2013-06,5.354M,,,-0.515M,-0.515M,86.27M,86.27M,-2.683M,,,,6.554M,,,0.627M,10.12M,,10.75M,105.73M,,-59.66M,,,-17.23M,,-0.50M,65.10M,,-103.36M,,-103.36M,,,,,,,-59.04M,-0.931M,-59.97M,-5.588M,-168.92M,,7.121M,1.914M,9.035M,,,58.50M,-161.86M,,,,,AOR,Restated
2013-03,-0.309M,,,2.802M,2.802M,84.59M,84.59M,-1.973M,,,,4.227M,,,-3.269M,-19.41M,,-22.68M,66.66M,,-27.11M,,,-0.936M,,-2.18M,-101.02M,,90.80M,,90.80M,,,,,,,-55.04M,-0.931M,-55.97M,-5.472M,29.36M,,12.12M,-4.994M,7.121M,,,94.00M,-3.199M,,,,,AOR,Restated
2012-12,-12.96M,,-0.156M,2.757M,2.601M,84.55M,84.55M,-1.628M,,,,16.21M,,,-4.724M,-6.558M,,-11.28M,77.50M,,-41.40M,,,37.80M,,0.00,-150.13M,,67.65M,,67.65M,-0.098M,,-0.098M,,0.00,0.00,-55.03M,-0.931M,-55.96M,-9.22M,2.366M,,82.38M,-70.26M,12.12M,,-0.098M,-3.601M,71.25M,0.00,,,,AOR,Restated
2012-09,-9.676M,,1.133M,0.719M,1.852M,89.30M,89.30M,-2.96M,,,,4.116M,,,-0.871M,16.19M,,15.32M,97.96M,,-42.72M,,,-23.38M,,-24.59M,-136.96M,,-1.318M,,-1.318M,-0.205M,,-0.205M,,0.00,0.00,-55.04M,-0.31M,-55.35M,-5.864M,-62.74M,,184.11M,-101.74M,82.38M,,-0.205M,1.281M,-2.599M,0.00,,,,AOR,Restated
2012-06,156.31M,,-172.01M,2.412M,-165.17M,85.49M,85.49M,-2.818M,,,,8.60M,,,14.97M,-15.66M,,-0.694M,81.72M,,-41.72M,,,-38.63M,,-26.21M,299.85M,,-606.20M,,-606.20M,555.82M,,555.82M,,-81.61M,-81.61M,-50.08M,-3.405M,-53.49M,-15.54M,-201.02M,,3.558M,180.55M,184.11M,,555.82M,2.382M,-608.58M,-81.61M,,,,AOR,Restated
2012-03,86.63M,,-80.52M,2.691M,-82.26M,95.16M,95.16M,-22.88M,,,,5.574M,,,3.272M,-15.49M,,-12.22M,70.01M,,-26.99M,,,-259.16M,,-13.20M,-224.35M,,-0.365M,,-0.365M,200.62M,,200.62M,,,,-47.31M,-2.308M,-49.62M,-5.242M,145.39M,,12.50M,-8.945M,3.558M,,200.62M,396.59M,-396.95M,,,,,AOR,Restated
2011-12,48.12M,56.06M,-120.26M,2.092M,-66.15M,98.27M,98.27M,-5.82M,-15.13M,0.00,,7.329M,,,-11.05M,-2.204M,,-13.25M,68.49M,,989.26M,-77.13M,936.49M,-56.80M,5.258M,11.21M,32.10M,,-50.59M,,-50.59M,11.61M,,11.61M,,0.00,0.00,-43.51M,-2.308M,-45.82M,-16.77M,-101.57M,,13.48M,-0.979M,12.50M,,11.61M,389.44M,-440.03M,0.00,,,,AOR,Restated
2011-09,-13.79M,-11.36M,-2.55M,1.58M,-12.34M,98.70M,98.70M,-0.815M,5.067M,-1.241M,,3.826M,,,-16.59M,8.853M,,-7.741M,67.85M,,-900.14M,47.77M,-812.16M,-14.26M,1.044M,40.77M,-820.72M,,253.43M,,253.43M,539.20M,,539.20M,,0.00,0.00,-39.02M,-2.307M,-41.33M,-6.577M,744.73M,,21.63M,-8.152M,13.48M,,539.20M,11.34M,242.09M,0.00,,-83.23M,,AOR,Restated
2011-06,14.91M,-44.66M,0.00,1.348M,-43.27M,92.15M,92.15M,0.485M,4.123M,1.241M,,5.364M,,,-5.787M,3.848M,,-1.939M,67.12M,,-138.54M,29.36M,-69.01M,-33.24M,5.362M,-72.30M,-209.20M,,-33.76M,,-33.76M,231.11M,33.65M,264.76M,,-1.229M,-1.229M,-67.91M,-4.696M,-72.61M,-5.138M,152.02M,,11.69M,9.942M,21.63M,,231.11M,305.99M,-339.75M,32.42M,,40.74M,,AOR,Restated
2011-03,-28.66M,-0.041M,-3.123M,1.332M,2.187M,85.16M,85.16M,0.503M,5.938M,,,5.938M,,,-4.854M,-12.90M,,-17.75M,47.95M,,-55.33M,0.00,-55.33M,,-1.865M,,-56.86M,,-49.51M,,-49.51M,97.83M,-33.65M,64.18M,,-2.368M,-2.368M,,,,-1.194M,11.11M,,9.486M,2.206M,11.69M,,97.83M,10.18M,-59.69M,-36.02M,,42.50M,,AOR,Restated
2010-12,-29.32M,4.034M,,1.447M,-3.244M,83.04M,83.04M,-2.533M,-6.283M,-2.036M,,15.19M,,,10.40M,-7.666M,,1.872M,56.69M,,400.11M,-20.69M,401.73M,-105.22M,39.49M,,-104.91M,,87.39M,,87.39M,0.548M,,0.548M,,0.00,0.00,-33.52M,-2.369M,-35.89M,-4.449M,47.59M,,10.11M,-0.621M,9.486M,,0.548M,255.55M,-168.16M,0.00,,-120.42M,,AOR,Restated
2010-09,-24.60M,-3.878M,,0.835M,-2.952M,76.78M,76.78M,,5.852M,0.828M,,-2.41M,,,-13.34M,15.55M,,2.215M,55.71M,,-377.58M,20.69M,-339.96M,-0.016M,0.00,,-356.66M,,-26.25M,,-26.25M,364.64M,,364.64M,,0.00,0.00,-30.12M,-2.368M,-32.48M,-2.933M,302.98M,,8.074M,2.033M,10.11M,,364.64M,10.95M,-37.20M,0.00,,41.43M,,AOR,Restated
2010-06,-27.64M,-0.197M,,1.185M,2.018M,75.03M,75.03M,-0.502M,5.883M,1.208M,,-6.251M,,,0.929M,4.305M,,5.234M,60.27M,,-59.44M,,-20.36M,-5.681M,0.148M,-0.328M,-64.82M,,-4.248M,,-4.248M,31.07M,28.05M,59.12M,,1.742M,1.742M,-57.09M,-4.751M,-61.84M,-2.066M,-7.293M,,19.92M,-11.85M,8.074M,,31.07M,23.83M,-28.08M,29.80M,,40.56M,,AOR,Restated
2010-03,-25.03M,0.041M,,0.737M,0.778M,73.43M,73.43M,0.502M,5.959M,,,5.959M,,,2.044M,-16.85M,,-14.81M,41.51M,,-41.41M,,-41.41M,-16.14M,-0.148M,0.328M,-57.37M,,-13.42M,,-13.42M,76.75M,-28.05M,48.70M,,-2.379M,-2.379M,,,,-3.11M,29.79M,,5.985M,13.94M,19.92M,,76.75M,177.24M,-190.66M,-30.43M,,38.43M,,AOR,Restated
2009-12,-25.78M,0.062M,,0.478M,-1.372M,72.08M,72.08M,,5.164M,,,-2.716M,,,-7.489M,-10.42M,,-14.11M,39.73M,,-62.46M,,29.21M,,-201.12M,,-62.34M,,21.28M,,21.28M,35.56M,117.02M,152.58M,,-13.10M,-13.10M,-144.58M,-11.20M,-149.85M,-7.275M,3.636M,,24.95M,-18.97M,5.985M,,35.56M,225.58M,-204.29M,103.92M,,-122.58M,,AOR,Restated
2009-09,-39.76M,-0.601M,,16.74M,16.14M,70.55M,70.55M,,4.725M,,,3.491M,,,-1.36M,13.69M,,12.33M,65.66M,,-99.26M,0.00,-142.63M,17.34M,-23.87M,,-105.80M,,115.84M,,115.84M,33.24M,-117.02M,-83.78M,,-8.40M,-8.40M,94.08M,5.60M,93.76M,-57.31M,60.11M,,4.983M,19.97M,24.95M,,33.24M,145.24M,-29.39M,-125.42M,,41.03M,,AOR,Restated
2009-06,-12.66M,-2.053M,,0.728M,-4.061M,70.54M,70.54M,-0.414M,5.074M,,,0.725M,,,-2.202M,-6.396M,,-8.598M,52.44M,,-74.44M,,-44.68M,-17.34M,201.08M,,109.30M,,-199.93M,,-199.93M,-0.918M,0.00,-0.918M,,0.00,0.00,-51.96M,-2.80M,-54.76M,61.71M,-193.89M,,37.13M,-32.15M,4.983M,,-0.918M,-31.44M,-168.48M,0.00,,81.55M,,AOR,Restated
2009-03,-13.42M,0.168M,,0.717M,-6.228M,70.38M,70.38M,0.414M,4.878M,,,1.354M,,,11.05M,3.132M,,14.18M,71.56M,,-67.20M,,-53.58M,,-32.02M,,-99.22M,,102.51M,,102.51M,-0.335M,-0.798M,-1.133M,,,,-42.12M,-2.80M,-44.92M,-4.404M,52.05M,,12.74M,24.39M,37.13M,,-0.335M,321.07M,-218.56M,-0.798M,,,,AOR,Restated
2008-12,-17.86M,0.736M,,0.326M,-16.65M,73.34M,73.34M,,4.077M,,,-1.342M,,,6.717M,-7.224M,,-0.507M,41.06M,,-108.67M,1.967M,39.78M,,4.69M,-5.205M,-107.22M,,258.63M,,258.63M,184.42M,-38.10M,146.33M,,17.55M,17.55M,,,-9.743M,-336.73M,76.03M,,2.861M,9.879M,12.74M,,184.42M,288.28M,-29.65M,-20.55M,,-93.63M,,AOR,Restated
2008-09,-10.36M,-6.705M,,1.897M,-7.331M,66.69M,66.69M,,-0.529M,,,0.123M,,,-9.955M,17.30M,,7.35M,55.94M,,-349.91M,10.62M,-339.29M,,-0.579M,249.12M,-90.75M,,112.22M,,112.22M,1.774M,-51.23M,-49.45M,,-23.56M,-23.56M,,,-2.93M,-0.021M,36.26M,,1.412M,1.449M,2.861M,,1.774M,82.68M,29.54M,-74.78M,,8.855M,,AOR,Restated
2008-06,-0.365M,-13.07M,,1.015M,-13.39M,63.45M,63.45M,,11.69M,,,-2.782M,,,1.595M,0.115M,,1.71M,60.32M,,-210.42M,23.44M,-186.99M,,-1.391M,111.53M,-76.84M,,36.20M,,36.20M,0.10M,-71.88M,-71.78M,,-3.209M,-3.209M,,,-3.031M,-0.419M,-42.25M,,60.19M,-58.78M,1.412M,,0.10M,61.80M,-25.60M,-75.09M,,42.73M,,AOR,Restated
2008-03,772.46M,-767.32M,,0.374M,-771.69M,53.36M,53.36M,,5.965M,,,-0.434M,,,0.111M,-37.34M,,-37.23M,22.43M,,-574.79M,1.451B,876.26M,,0.089M,-299.23M,577.12M,,-390.40M,,-390.40M,0.617M,-146.31M,-145.69M,,-3.209M,-3.209M,,,-2.962M,-0.326M,-542.58M,,3.219M,56.97M,60.19M,,0.617M,252.41M,-642.80M,-149.52M,,42.04M,,AOR,Restated
2007-12,103.99M,11.99M,,7.412M,-93.41M,65.15M,65.15M,,3.546M,,,3.546M,,,-7.954M,-1.154M,,-9.108M,74.21M,,-299.55M,328.97M,224.95M,,-35.12M,-56.22M,-61.92M,,147.11M,,147.11M,-1.93M,104.69M,102.76M,0.00,10.10M,10.10M,-175.92M,-13.31M,-179.94M,-93.97M,-11.42M,,2.353M,0.866M,3.219M,,-1.93M,233.71M,-86.60M,114.79M,,50.43M,,AOR,Restated
2007-09,78.83M,-86.80M,,4.371M,-81.58M,65.63M,65.63M,,6.581M,,,6.581M,,,-2.735M,10.41M,,7.678M,77.14M,,-160.81M,283.06M,123.28M,,-3.532M,29.06M,147.78M,,-232.67M,,-232.67M,1.012M,-63.45M,-62.44M,0.00,-2.45M,-2.45M,,,-2.987M,75.06M,-225.49M,,2.928M,-0.575M,2.353M,,1.012M,13.45M,-246.12M,-65.90M,,49.42M,,AOR,Restated
2007-06,6.697M,-13.38M,,0.038M,-9.228M,65.25M,65.25M,,1.924M,,,1.924M,,,1.774M,15.18M,,16.95M,81.59M,,-145.71M,66.06M,-127.97M,,5.929M,-3.687M,-77.41M,,85.33M,,85.33M,0.301M,-119.18M,-118.87M,135.00M,-147.30M,-12.30M,42.26M,3.842M,39.79M,3.126M,-2.931M,,1.676M,1.252M,2.928M,,135.30M,11.54M,73.79M,-266.48M,,46.98M,,AOR,Restated
2007-03,31.83M,-37.07M,,1.726M,-35.02M,65.01M,65.01M,,1.787M,,,1.787M,,,1.42M,-28.69M,,-27.27M,36.34M,,-130.35M,59.11M,-20.52M,,-1.929M,-25.37M,-98.54M,,110.26M,,110.26M,0.617M,0.00,0.617M,,,,-42.26M,-3.842M,-46.10M,-3.039M,61.73M,,2.143M,-0.467M,1.676M,,0.617M,205.41M,-95.15M,0.00,,50.89M,,AOR,Restated
2006-12,25.06M,-34.12M,0.00,1.491M,-32.63M,65.08M,65.08M,,-1.472M,,,-13.82M,,,10.34M,5.064M,,15.41M,65.16M,,-148.68M,-391.18M,-486.66M,,493.52M,,-53.16M,,13.50M,,13.50M,5.303M,0.00,5.303M,0.00,0.00,0.00,-42.42M,-3.843M,-46.26M,-11.14M,-38.60M,,28.75M,-26.60M,2.143M,,5.303M,166.80M,-153.30M,0.00,,,,AOR,Restated
2006-09,59.35M,-65.67M,-0.796M,3.541M,-62.92M,62.68M,62.68M,0.00,4.658M,,,4.658M,,,-6.83M,10.43M,,3.596M,67.37M,,-184.75M,259.19M,138.34M,,22.72M,,97.16M,,-86.83M,,-86.83M,-3.223M,0.00,-3.223M,0.00,0.00,0.00,-42.06M,-3.842M,-45.90M,-6.116M,-142.07M,,6.29M,22.46M,28.75M,,-3.223M,62.13M,-148.96M,0.00,,,,AOR,Restated
2006-06,32.19M,-33.48M,,1.882M,-31.60M,59.73M,59.73M,0.00,0.24M,,,0.24M,,,-7.858M,12.17M,,4.308M,64.86M,,-273.71M,102.86M,-117.13M,,-2.131M,,-172.99M,,139.92M,,139.92M,0.056M,0.00,0.056M,0.00,0.00,0.00,-42.08M,-3.843M,-45.92M,-15.98M,78.08M,,36.34M,-30.05M,6.29M,,0.056M,144.67M,-4.747M,0.00,,,,AOR,Restated
